name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,category_survey_email_address,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,reason_for_administrative,mailing_international_address
M&A TRANSPORTS LLC,LLC,Active,,1350641,2022-03-31,136 W HARTFORD RD,NEWINGTON,United States,06111,CT,matransportsllc@gmail.com,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
VYNE PHARMACEUTICALS INC.,Stock,Active,,1350718,2022-07-10,"520 U.S. HIGHWAY 22, STE 204",BRIDGEWATER,United States,08807,NJ,govdocs@unitedagentgroup.com,Foreign,2020-07-10,DE,DE,False,False,False,False,False,Drugs and Druggists' Sundries Merchant Wholesalers (424210),,2021-11-10 00:12:44.7300000,,2020-07-10,VYNE PHARMACEUTICALS INC.,United States,govdocs@unitedagentgroup.com,,,,,,,,,,,,,,,,,
ROYAL T'S AND CUSTOM APPAREL LLC,LLC,Active,Annual report past due,1350841,2021-03-31,1423 EAST ST,NEW BRITAIN,,06053,CT,CAMPBELLT188@GMAIL.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.6200000,,,,,,,,,,,,,,,,,,,,,,
"BARNVIEW, LLC",LLC,Active,Annual report past due,1350842,2021-03-31,42 TOWN HILL ROAD,GOSHEN,,06756,CT,,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:37.6200000,,,,,,,,,,,,,,,,,,,,,,
"AQR U.S. SMALL CAP DYNAMIC EQUITY FUND, LIMITED PARTNERSHIP",Limited Partnership,Active,,1350844,2022-07-10,C/O COGENCY GLOBAL INC. 850 NEW BURTON RD SUITE 201,"DOVER, KENT COUNTRY",,19904,DE,complianceteam@cogencyglobal.com,Foreign,2020-07-10,DE,DE,False,False,False,False,False,Open-End Investment Funds (525910),,2021-11-10 00:12:38.2900000,,2020-07-10,"AQR U.S. SMALL CAP DYNAMIC EQUITY FUND, L.P.",,,,,,,,,,,,,,,,,,,
BOUND LINE ROAD SOLAR LLC,LLC,Active,,1350846,2022-03-31,111 SPEEN ST STE 410,FRAMINGHAM,United States,01701,MA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-07-10,DE,DE,False,False,False,False,False,Engineering Services (541330),,2021-11-10 00:12:38.2900000,,2020-07-07,BOUND LINE ROAD SOLAR LLC,United States,,,"111 SPEEN ST STE 410, FRAMINGHAM, MA, 01701, United States",111 SPEEN ST STE 410,FRAMINGHAM,MA,01701,United States,"111 SPEEN ST STE 410, FRAMINGHAM, MA, 01701, United States",111 SPEEN ST STE 410,FRAMINGHAM,MA,01701,United States,,,,
"KAY HOLDINGS, LLC",LLC,Active,,1350857,2022-03-31,182 SCRIBNER AVENUE,NORWALK,United States,06854,CT,2rocklandrd@gmail.com,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:38.2900000,,,,,,,,,,,,,,,,,,,,,,
SAFE HAULING EQUIPMENT LLC,LLC,Dissolved,,1350657,2021-03-31,64 DOUGLAS ROAD,BRISTOL,United States,06010,CT,SHLEY614@GMAIL.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,All Other Support Activities for Transportation (488999),,2021-11-10 00:05:56.2166667,2020-10-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
AIR CARE PLUS LLC,LLC,Dissolved,,1350508,2021-03-31,105 HAYNES ROAD,WEST HARTFORD,United States,06107,CT,NOTE2IGOR@GMAIL.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,2021-11-10 00:05:55.4666667,2020-10-27T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
600 JONES HILL LLC,LLC,Dissolved,,1350465,2021-03-31,600 JONES HILL ROAD,WEST HAVEN,United States,06516,CT,CHRISTIANFELLOWSHIPCHURCH@OUTLOOK.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:05:13.3266667,2020-09-26T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
COLONIAL KTM HUSQVARNA POWER & SPORT LLC,LLC,Dissolved,,1350544,2021-03-31,480 BOSTON POST ROAD,MILFORD,United States,06460,CT,DALE@COLONIALTOYOTACT.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),,2021-11-10 00:03:18.7866667,2020-07-22T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
REUBER'S IT SERVICE & REPAIR LLC,LLC,Dissolved,,1350527,2021-03-31,"46 BRITTANY FARMS RD., APT. K30",NEW BRITAIN,United States,06053,CT,JREUB99@GMAIL.COM,Domestic,2020-07-10,CT,Connecticut,False,False,False,False,False,Consumer Electronics Repair and Maintenance (811211),,2021-11-10 00:03:18.6600000,2020-09-24T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
BLOOMING INTO GREATNESS INC.,Non-Stock,Active,,1350599,2022-10-08,575 BOSWELL AVE UNIT 6,NORWICH,United States,06360,CT,BLOOMINGINTOGREATNESS2@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,True,False,True,False,False,Child and Youth Services (624110),624110.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
MAMA BOUCH LLC,LLC,Active,Annual report past due,1350600,2021-03-31,5 HERITAGE FARM RD,EAST GRANBY,United States,06026,CT,CEBOUCHARD@HOTMAIL.COM,Domestic,2020-07-11,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
TENNEY ENTERPRISES LLC,LLC,Active,Annual report past due,1350601,2021-03-31,1167 NEW LONDON TPKE,GLASTONBURY,United States,06033,CT,TENNEYENTERPRISES@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Landscape Architectural Services (541320),541320.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
SANCHEZ GROCERY 1 LLC,LLC,Active,Annual report past due,1350602,2021-03-31,584 FRANKLIN AVENUE,HARTFORD,United States,06114,CT,MIGUEL.CORREA@SUNRISETAX.NET,Domestic,2020-07-11,CT,Connecticut,False,False,True,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
MASSBLASS ENTERTAINMENT LLC,LLC,Active,Annual report past due,1350604,2021-03-31,2 NORTH MAIN STREET BX166,BEACON FALLS,United States,06403,CT,MCDONOUGHKERRY98@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,True,False,False,True,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
VETERANS LANDSCAPE SERVICES LLC,LLC,Active,,1350605,2022-03-31,94 MILTON DRIVE,MERIDEN,United States,06450,CT,vetslandscapeservices@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,True,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
BRIT LIVELY LLC,LLC,Active,Annual report past due,1350606,2021-03-31,145 FIRST STREET,SUFFIELD,United States,06078,CT,BRITLIVELYY@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,True,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,
GERMAN GACIA SANTOS LLC,LLC,Active,Annual report past due,1350608,2021-03-31,18 CLEVELAND TER APT 3,NORWALK,United States,06854,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
RESULTSBYMIZZ LLC,LLC,Active,,1350609,2022-03-31,37 GLEN AVE,STAMFORD,United States,06906,CT,shaymarwalker01@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Fruit and Vegetable Canning (311421),,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
FORMAL ELEMENTS LLC,LLC,Active,Annual report past due,1350610,2021-03-31,7B QUEEN TERRACE,SOUTHINGTON,United States,06489,CT,NASH@FORMALELEMENTS.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Professional and Management Development Training (611430),611430.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
ANANDTECHSERVICES LLC,LLC,Active,,1350611,2022-03-31,37 FOREST DR,RIDGEFIELD,United States,06877,CT,anand6998@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
"WA HARDWOOD FLOORS, LLC",LLC,Active,,1350612,2022-03-31,969 BRIARWOOD AVE,BRIDGEPORT,United States,06604,CT,WILLIANEBANDEIRA@HOTMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
PERELOXO LLC,LLC,Active,,1350613,2022-03-31,7B QUEEN TERRACE,SOUTHINGTON,United States,06489,CT,dan@pereloxo.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
VIBRANT CIRCLE BOOKS LLC,LLC,Active,,1350614,2022-03-31,115 MAPLE ST,MANCHESTER,United States,06040,CT,warnergodan@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Book Publishers (511130),511130.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
"24 SURF AVENUE, LLC",LLC,Active,,1350615,2022-03-31,770 WOODEND ROAD,STRATFORD,United States,06615,CT,BRS441@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
KAT TRUCKIN' LLC,LLC,Active,Annual report past due,1350616,2021-03-31,7 COUNTY ROAD,STAFFORD SPRINGS,United States,06076,CT,KATTRUCKIN@YAHOO.COM,Domestic,2020-07-11,CT,Connecticut,True,False,True,False,False,"Specialized Freight (except Used Goods) Trucking, Local (484220)",484220.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
JGMS ROSE LLC,LLC,Active,,1350617,2022-03-31,625 W 57TH ST #856,NEW YORK,United States,10019,NY,robert@robertspropertiesllc.com,Domestic,2020-07-11,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
DWNSHFTCO DETAIL GARAGE LLC,LLC,Active,,1350618,2022-03-31,771 LAKEWOOD RD,WATERBURY,United States,06704,CT,dwnshftcowaterbury@gmail.com,Domestic,2020-07-11,CT,Connecticut,True,False,True,False,False,Car Washes (811192),811192.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND DISTRIBUTOR LLC,LLC,Active,Annual report past due,1350620,2021-03-31,66 SHELDON RD,MANCHESTER,United States,06042,CT,MCHERIHA@HOTMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Wholesale Trade Agents and Brokers (425120),425120.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
"THE RIANO FOUNDATION, INC.",Non-Stock,Active,First report past due,1350621,2020-10-09,No information provided,,,,,CAMILO@RIANO.COM,Domestic,2020-07-11,CT,Connecticut,False,False,True,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
JRS GROUP LLC,LLC,Active,,1350622,2022-03-31,25 ETHAN ALLEN HWY,RIDGEFIELD,United States,06877,CT,salzbrunn003@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),541320.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
GILDED GRIFFIN HOLDINGS LLC,LLC,Active,Annual report past due,1350623,2021-03-31,33 SAUNDERS DRIVE,NIANTIC,United States,06357-1964,CT,GILDEDGRIFFINHOLDINGS@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,True,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
GLOBALE TRADE LLC,LLC,Active,,1350624,2022-03-31,300 Pepes Farm Rd,Milford,United States,06460,CT,ous.bo1985@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Furniture Stores (442110),442110.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
ANTIQUE RETAIL LLC,LLC,Active,Annual report past due,1350625,2021-03-31,108 FIELDSTONE CROSSING,BERLIN,United States,06037,CT,BASSAMHAMMOUDE@YAHOO.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Furniture Stores (442110),442110.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,
C&R PRO PAINTBALLING LLC,LLC,Dissolved,,1350626,2021-03-31,828 MAIN ST 1ST FL,WILLIMANTIC,United States,06226,CT,CRPROPAINTBALLING@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",451120.0,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,
CONTENT HIPPO LLC,LLC,Active,Annual report past due,1350627,2021-03-31,545 CYPRESS RD.,NEWINGTON,United States,06111,CT,ELLENBILLARD1128@GMAIL.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,
E-QOM LLC,LLC,Active,,1350628,2022-03-31,98 HOYT STREET APT 3J,STAMFORD,United States,06905,CT,nuno@e-qom.com,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,
PINKY'S DONUTS LLC,LLC,Active,Annual report past due,1350630,2021-03-31,15 MAIN STREET,REDDING,United States,,CT,EATPINKYSDONUTS@YAHOO.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Baked Goods Stores (445291),445291.0,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
DQ&A LANDSCAPING LLC,LLC,Active,Annual report past due,1350648,2021-03-31,380 NEWRIDGE AVE,WATERBURY,United States,06708,CT,EFILE1234@INCFILE.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
LIFE SIZE BOUTEEK LLC,LLC,Active,,1350649,2022-03-31,19 ALTON ST,NEW HAVEN,United States,06513,CT,EFILE1234@INCFILE.COM,Domestic,2020-07-11,CT,Connecticut,False,False,False,False,False,Children's and Infants' Clothing Stores (448130),,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
KE.JE TRANSPORT LLC,LLC,Active,,1350650,2022-03-31,88 BRITTANY FARMS RD APT J120,NEW BRITAIN,United States,06053,CT,kejetransport@gmail.com,Domestic,2020-07-11,CT,Connecticut,True,False,True,False,False,"General Freight Trucking, Local (484110)",,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
PROVISION LIBERTY SALES LLC,LLC,Active,,1350651,2022-03-31,998 N MAIN ST.,DAYVILLE,United States,06241,CT,glennmaynard1962@gmail.com,Domestic,2020-07-11,CT,Connecticut,False,False,True,False,False,All Other General Merchandise Stores (452319),,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"STACEY ALLENS, LLC",LLC,Active,Annual report past due,1350865,2021-03-31,415 BOSTON POST ROAD STE 3-532,MILFORD,United States,06460,CT,CONTACTUS@SHOPSTACEYALLENS.COM,Domestic,2020-07-11,CT,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:12:39.0233333,,,,,,,,,,,,,,,,,,,,,,
"C & C UNITED ENTERPRISES, LLC",LLC,Active,Annual report past due,1346098,2021-03-31,1460 TUTTLE AVE,WALLINGFORD,United States,06492,CT,MUSHALEIN@COMCAST.NET,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Site Preparation Contractors (238910),238910.0,2021-11-10 00:08:45.5433333,,,,,,,,,,,,,,,,,,,,,,
989 FARMINGTON AVENUE LLC,LLC,Active,,1350631,2022-03-31,104 BELLEVUE AVE.,BRISTOL,United States,06010,CT,jaymin@gohappymart.com,Domestic,2020-07-13,CT,Connecticut,False,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
LOST LAKE PRODUCTIONS LLC,LLC,Active,Annual report past due,1350634,2021-03-31,265 WIESE ALBERT ROAD,HIGGANUM,United States,06441,CT,DARYLTUCKER@MAC.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
NORTHEASTERN ANALYTIC CONSULTING LLC,LLC,Active,,1350636,2022-03-31,181 OLD BOSTON,WILTON,United States,06897,CT,shuangge@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),541690.0,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
SAUL GODOY SERVICES LLC,LLC,Dissolved,,1350638,2021-03-31,"12 CLEVELAND TERRACE, FL 2",NORWALK,United States,06854,CT,ENAJULISSA@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:12:41.0866667,2021-05-26T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
DIPLOLENS LLC,LLC,Active,Annual report past due,1350643,2021-03-31,1 EAST HAYESTOWN RD UNIT 20,DANBURY,United States,06811,CT,DIPLOLENS@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,True,False,True,True,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
BVM LLC,LLC,Active,,1350644,2022-03-31,25A Cottrell Street,Mystic,United States,06355,CT,BLAKEMCHENRY@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Other Nonscheduled Air Transportation (481219),481219.0,2021-11-10 00:12:41.0866667,,,,,,,,,,,,,,,,,,,,,,
ORELLANA JANITORIAL SERVICES LLC,LLC,Active,Annual report past due,1350645,2021-03-31,34 JOHN ST FL1,EAST HARTFORD,United States,06108,CT,EJ742086@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"119 HILLANDALE, LLC",LLC,Active,,1350646,2022-03-31,"250 POST ROAD EAST, STE. 108",WESTPORT,United States,06880,CT,scottjbudd@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
WILLD TRANSPORTATION LLC,LLC,Active,Annual report past due,1350647,2021-03-31,839 CLEVELAND AVE,BRIDGEPORT,United States,06604,CT,TAXCENTERCT@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"EXPRESSABLE, INC.",Stock,Active,,1350652,2022-07-13,6218 BLARWOOD DRIVE,AUSTIN,United States,78745,TX,ben@expressable.io,Foreign,2020-07-13,DE,DE,False,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",,2021-11-10 00:12:42.1033333,,2020-07-13,"EXPRESSABLE, INC.",,,,,,,,,,,,,,,,,,,
GEORGIA'S SOUL FOOD LLC,LLC,Active,Annual report past due,1350653,2021-03-31,18 ALLEN ST,NEW BRITAIN,United States,06053,CT,GEORGIASSOULFOOD860@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"ACQUEST TECHNOLGIES, LLC",LLC,Active,,1350654,2022-03-31,2 HIGHWOOD ROAD,WESTPORT,United States,06880,CT,gschick@optonline.net,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
CORPORATE MAILING SERVICES LLC,LLC,Active,,1350655,2022-03-31,8 FOREST PARKWAY,SHELTON,United States,06484,CT,chuckchesler@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Postal Service (491110),491110.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
INTERGRATED PROPERTY AND CONSTRUCTION SOLUTIONS LLC,LLC,Active,Annual report past due,1350656,2021-03-31,18 ALLEN ST,NEW BRITAIN,United States,06053,CT,IPCS2431@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,True,False,True,False,False,Nonresidential Property Managers (531312),531312.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"KE CONSULTING, LLC",LLC,Active,,1350658,2022-03-31,167 WYNEDING HILL RD,MANCHESTER,United States,06040,CT,keconsulting001@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
"BIZICAM, LLC",LLC,Active,Annual report past due,1350659,2021-03-31,54 GLENN DRIVE,SOUTHINGTON,United States,06489,CT,FTCANACE@CANACELAW.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
ICON BURGER ACQUISITION LLC,LLC,Active,,1350660,2022-03-31,3900 E MEXICO AVE STE 1100,DENVER,United States,80210,CO,LICENSING@SMASHBURGER.COM,Foreign,2020-07-13,DE,DE,False,False,False,False,False,Full-Service Restaurants (722511),,2021-11-10 00:12:42.1033333,,2020-08-17,ICON BURGER ACQUISITION LLC,United States,,,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,
"500 HOWE AVENUE, LLC",LLC,Active,,1350661,2022-03-31,223 ELIZABETH STREET,DERBY,United States,06418,CT,accounting@aspmct.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
GROVE MOBILE INC,B Corp,Active,First report past due,1350662,2020-10-11,No information provided,,,,,EAKUB@CPAKHAN.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:42.1033333,,,,,,200.0,,,,,,,,,,,,,,,,
2 COOL GUYS LLC,LLC,Active,,1350663,2022-03-31,287 BOZRAH ST,BOZRAH,United States,06334,CT,2coolguyshvac@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",238220.0,2021-11-10 00:12:42.1033333,,,,,,,,,,,,,,,,,,,,,,
KITCHEN EQUIPEMENT LLC,LLC,Active,Annual report past due,1350664,2021-03-31,63 ELM ST UNIT A,BRANFORD,United States,06405,CT,OMARALPONEE0331@YAHOO.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Industrial Machinery and Equipment Merchant Wholesalers (423830),423830.0,2021-11-10 00:12:42.7900000,,,,,,,,,,,,,,,,,,,,,,
GILMAR ALVES FERREIRA LLC,LLC,Active,,1350665,2022-03-31,40 GRACE ST,HARTFORD,United States,06106,CT,monaspike@gmail.com,Domestic,2020-07-13,CT,Connecticut,False,False,True,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:42.7900000,,,,,,,,,,,,,,,,,,,,,,
SBA PAINTING LLC,LLC,Active,Annual report past due,1350666,2021-03-31,7 DORA STREET,STAMFORD,United States,06902,CT,SBAPAINTINGLLC@GMAIL.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:42.7900000,,,,,,,,,,,,,,,,,,,,,,
WAED AUTO REPAIR LLC,LLC,Active,Annual report past due,1350667,2021-03-31,63 ELM ST UNIT A,BRANFORD,United States,06405,CT,WAEDHAJIBRAHIM@YAHOO.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),441120.0,2021-11-10 00:12:42.7900000,,,,,,,,,,,,,,,,,,,,,,
CHAPMAN WIRELESS INC,B Corp,Active,First report past due,1350668,2020-10-11,No information provided,,,,,EAKUB@CPAKHAN.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:42.7900000,,,,,,200.0,,,,,,,,,,,,,,,,
POWER WASH LLC,LLC,Active,Annual report past due,1350669,2021-03-31,155 BENHAM AVE UNIT# 1,BRIDGEPORT,United States,06605,CT,ACCOUNTMANAGER@DURANGOAGENCY.COM,Domestic,2020-07-13,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:42.8066667,,,,,,,,,,,,,,,,,,,,,,
"IDENTITY ORGANIC HAIR STUDIO, LLC",LLC,Active,,1350670,2022-03-31,280 MAIN STREET STE B,NEW HARTFORD,United States,06057,CT,jmat72@yahoo.com,Domestic,2020-07-13,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:42.8066667,,,,,,,,,,,,,,,,,,,,,,
