name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,country_formation,billing_unit,dissolution_date,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting
MACAS HOME CARE LLC,LLC,Active,1338103,2022-03-31,28 CEDAR STREET,NEW HAVEN,United States,06519,CT,anz@macashomecare.com,Foreign,2020-03-03,NY,NY,False,False,False,False,False,Home Health Care Services (621610),621610.0,2021-11-10 00:08:34.3233333,,2020-02-02,MACAS HOME CARE LLC,,United States,,,,,"414 MADISON STREET, WESTBURY, NY, 11590, United States",414 MADISON STREET,WESTBURY,NY,11590,United States,"414 MADISON STREET, WESTBURY, NY, 11590, United States",414 MADISON STREET,WESTBURY,NY,11590,United States,
BROAD MAX LLC,LLC,Active,1338104,2022-03-31,28 DUNBAR ROAD,QUAKER HILL,United States,06375,CT,TASKOFFICEWORK@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424490.0,2021-11-10 00:08:34.3233333,,,,,,,,,,,,,,,,,,,,,,
CHUCK SMITH CONSULTING LLC,LLC,Active,1338105,2021-03-31,67 VISTA DRIVE,SHELTON,United States,06484,CT,SMITH.CHUCK58@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:34.3233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
RJS AUTOMOTIVE LLC,LLC,Active,1338106,2021-03-31,380 JOHN FITCH BLVD,SOUTH WINDSOR,United States,06074,CT,RJSAUTOMOTIVECT@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:08:34.3233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
C & H LLC,LLC,Active,1338107,2022-03-31,690 WASHINGTON AVE,NEW HAVEN,United States,06519,CT,dollarexpress20@outlook.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,2021-11-10 00:08:34.3233333,,,,,,,,,,,,,,,,,,,,,,
AMBER'S MASSAGE THERAPY AND WELLNESS LLC,LLC,Active,1338108,2021-03-31,774 BROAD ST EXT,WATERFORD,United States,06385,CT,AMBERSEARFOSSLMT@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:34.3233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
WPC CONSTRUCTION LLC,LLC,Active,1338109,2022-03-31,818 BALDWIN ST APT 3,WATERBURY,United States,06706,CT,VANIA.SIQUEIRA@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:34.3233333,,,,,,,,,,,,,,,,,,,,,,
ABSOLUTELY AWETISM LLC,LLC,Active,1338110,2021-03-31,332 CAMPFIELD AVE.,HARTFORD,United States,06114,CT,CWYNTER.ABSOLUTELYAWETISM@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,True,False,False,Child and Youth Services (624110),624110.0,2021-11-10 00:08:34.3566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"COMET REALTY, LLC",LLC,Active,1338112,2022-03-31,40 ORANGE AVENUE,WEST HAVEN,United States,06516,CT,SCHARR60@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
BLOOM CREATIVE STUDIO LLC,LLC,Active,1338113,2022-03-31,24 PARK POND CIRCLE,WALLINGFORD,United States,06492,CT,angela.dup@bloomcreative.graphics,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
G&P LANDSCAPING LLC,LLC,Active,1338114,2022-03-31,159 GRANBY ST,WATERBURY,United States,06708,CT,SSALAS@ROHUER.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
13 ARCHER COURT LLC,LLC,Active,1338115,2022-03-31,19 FARMINGTON AVENUE,NEW LONDON,United States,06320,CT,genie275x@yahoo.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
ANVIL CAPITAL PARTNERS LLC,LLC,Active,1338117,2021-03-31,C/O JOHN Y. TRENT 814 FULTON STREET,FARMINGDALE,United States,11735,NY,FILING@ACS123.COM,Foreign,2020-03-03,NY,NY,False,False,False,False,False,All Other Information Services (519190),519190.0,2021-11-10 00:08:34.3566667,Annual report past due,2020-03-03,ANVIL CAPITAL PARTNERS LLC,,United States,,,,,"C/O JOHN Y. TRENT & ASSOCIATES LLC 814 FULTON STREET, FARMINGDALE, NY, 11735, United States",C/O JOHN Y. TRENT & ASSOCIATES LLC 814 FULTON STREET,FARMINGDALE,NY,11735,United States,"C/O JOHN Y. TRENT & ASSOCIATES LLC 814 FULTON STREET, FARMINGDALE, NY, 11735, United States",C/O JOHN Y. TRENT & ASSOCIATES LLC 814 FULTON STREET,FARMINGDALE,NY,11735,United States,
"ALB TRUCKING, LLC",LLC,Active,1338118,2021-03-31,55 STOUGHTON STREET,THOMASTON,United States,06787,CT,ALBTRUCKING1@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,True,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:34.3566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
50/50 ATM LLP,LLP,Active,1338119,2021-03-03,39 NORTH TAYLOR AVE,NORWALK,United States,06854,CT,JEFFERSONCHARLES@ATMBROS.ORG,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",522320.0,2021-11-10 00:08:34.3566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CR SALON, INC",Stock,Active,1338120,2020-06-01,No information provided,,,,,CRSALONHAIR@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:34.3566667,First report past due,,,,,,,Failure to file First Report,5000.0,,,,,,,,,,,,,
DIL FIGARO LLC,LLC,Active,1338123,2021-03-31,188 ADAMS LANE,NEW CANAAN,United States,06840,CT,USMAN@DILFIGARO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,True,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:34.3566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CB7, LLC",LLC,Active,1338124,2022-03-31,125 SAINT FRANCIS WOODS ROAD,MADISON,United States,06443,CT,rbrinn@brinnlaw.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
"EFA RESEARCH & CONSULTING, LLC",LLC,Active,1338125,2022-03-31,903 MAIN STREET,MANCHESTER,United States,06040,CT,fatemabuet@gmail.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Engineering Services (541330),541330.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
NEW CANAAN WELLNESS LLC,LLC,Active,1338127,2022-03-31,7 Elm St,New Canaan,United States,06840-5502,CT,APISANO18@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:08:34.3566667,,,,,,,,,,,,,,,,,,,,,,
DPMS LLC,LLC,Active,1338128,2022-03-31,648 EAST ST,NEW BRITAIN,United States,06051,CT,MSVARANO@ACCOUNTSMGMT.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:34.3700000,,,,,,,,,,,,,,,,,,,,,,
DEEPSHORE LLC,LLC,Active,1338129,2022-03-31,8 THE GREEN STE A UNITED STATES,DOVER,United States,19901,DE,VINJVINJ@GMAIL.COM,Foreign,2020-03-03,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:34.3866667,,2020-02-01,DEEPSHORE LLC,,United States,,,,,"8 THE GREEN STE A UNITED STATES, DOVER, DE, 19901, United States",8 THE GREEN STE A UNITED STATES,DOVER,DE,19901,United States,"8 THE GREEN STE A UNITED STATES, DOVER, DE, 19901, United States",8 THE GREEN STE A UNITED STATES,DOVER,DE,19901,United States,
"GOAH WAY, LLC",LLC,Active,1338130,2022-03-31,300 SAVAGE HILL ROAD,BERLIN,United States,06037,CT,Goahwayllc@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:34.3866667,,,,,,,,,,,,,,,,,,,,,,
DOMINIC CHAMBERS STUDIO LLC,LLC,Active,1338131,2021-03-31,100 HOWE,NEW HAVEN,United States,06511,CT,DOMINIC.M.CHAMBERS@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:34.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
CRAFTBIRD CATERING LLC,LLC,Active,1338135,2022-03-31,87 CHURCH STREET,EAST HARTFORD,United States,06108,CT,roger@bennettcocpa.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Caterers (722320),722320.0,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
HIGHLAND HOME SERVICES LLC,LLC,Active,1338136,2021-03-31,409 GREENWICH AVE APT 2,GREENWICH,United States,,CT,T.O.BOBBITT@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:08:34.4033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SAREN CASSOTTO PHOTOGRAPHY LLC,LLC,Active,1338137,2021-03-31,147 HIGH VALLEY DRIVE,CANTON,United States,06019,CT,SARENRANDY@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,"Photography Studios, Portrait (541921)",541921.0,2021-11-10 00:08:34.4033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"19-7 GEORGIA, LLC",LLC,Active,1338138,2022-03-31,263 HARLAND ROAD,NORWICH,United States,06360,CT,kpbarbour@sbcglobal.net,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
"R2 HOLDINGS, LLC",LLC,Active,1338140,2022-03-31,256 POST ROAD EAST SUITE 210,WESTPORT,United States,06880,CT,brant.root@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
JSTRYCKER PLLC,LLC,Dissolved,1338142,2021-03-31,15 SPECTOR RD,WOODBRIDGE,United States,06525,CT,JSTRYCKERPLLC@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,True,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:34.4033333,,,,,,,2021-03-13T00:00:00.000,,,,,,,,,,,,,,,
GBJ LLC,LLC,Active,1338143,2022-03-31,13 CHERRY ST FL 1,WATERBURY,United States,06702,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
LOOKS BY LUCA LLC,LLC,Dissolved,1338144,2021-03-31,119 RAMSDELL ST,NEW HAVEN,United States,06515,CT,MS.MARYLUCA@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:34.4033333,,,,,,,2021-03-01T00:00:00.000,,,,,,,,,,,,,,,
NOANK FENCE LLC,LLC,Active,1338145,2022-03-31,58 WINTECHOG HILL RD,NORTH STONINGTON,United States,06359,CT,wilsonsterna3@gmail.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
FOUNTAIN OF BEAUTY LLC,LLC,Active,1338146,2021-03-31,454 PARK ST,HARTFORD,United States,06106,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:34.4033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BEE MOUNTAIN VINEYARDS LLC,LLC,Active,1338148,2022-03-31,146 SOUTH RD,NEW HARTFORD,United States,06057,CT,timothygh71@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,True,False,False,False,Grape Vineyards (111332),111332.0,2021-11-10 00:08:34.4033333,,,,,,,,,,,,,,,,,,,,,,
EYECONIC BEAUTY LLC,LLC,Active,1338149,2021-03-31,69 CLAIRMONT AVE,WATERBURY,United States,06708,CT,ERODRIGUEZ814@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,True,False,True,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SITTING PUPS DOG WALKING AND PET SITTING LLC,LLC,Active,1338150,2022-03-31,913 STRATFIELD ROAD,FAIRFIELD,United States,06825,CT,cailenferns@gmail.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Pet Care (except Veterinary) Services (812910),,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
BRAJA DISTRIBUTORS LLC,LLC,Active,1338151,2021-03-31,2145 STATE ST,HAMDEN,United States,06517,CT,BRAJADISTRIBUTORS10@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Tobacco Stores (453991),453991.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
MAS CONTRACTING & CONSTRUCTION ENTERPRISES LLC,LLC,Active,1338152,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"OCDETAILING & SANITATION, LLC",LLC,Active,1338153,2021-03-31,2 ELM TERRACE,STRATFORD,United States,06615,CT,SAMMOE94@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,True,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
MAISON INVESTMENTS L.L.C.,LLC,Active,1338154,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Foreign,2020-03-03,RI,RI,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:34.9666667,Annual report past due,2020-03-03,MAISON INVESTMENTS L.L.C.,,United States,,,,,"2289 CRANSTON STREET, CRANSTON, RI, 02920, United States",2289 CRANSTON STREET,CRANSTON,RI,02920,United States,"2289 CRANSTON STREET, CRANSTON, RI, 02920, United States",2289 CRANSTON STREET,CRANSTON,RI,02920,United States,
"JAN CONSULTING, LLC",LLC,Active,1338155,2022-03-31,20 FOOTE STREET,PAWCATUCK,United States,06379,CT,Consultwithjan@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
"SUGAR SWEETEASE DESSERT STUDIO, LLC",LLC,Active,1338156,2021-03-31,162 S MAIN ST,NORWALK,United States,06854,CT,SUGARSWEETEASE.CT@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Retail Bakeries (311811),311811.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
GT CONSULTING SERVICES LLC,LLC,Active,1338157,2022-03-31,34 COVE BROOK RD NONE,WEST HAVEN,United States,06516,CT,bradley3442@yahoo.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
"HAZELNUT CONSULTING, LLC",LLC,Active,1338158,2022-03-31,34 RUE NICOLE,BARKHAMSTED,United States,06063,CT,BOSSERTKAT@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
QUICKSALE HOME REALTY INC.,Stock,Active,1338160,2022-03-03,112-33 HANNIBAL ST,SAINT ALBANS,United States,11412,NY,quicksalehomerealty@gmail.com,Foreign,2020-03-03,NY,NY,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:08:34.9666667,,2020-03-31,QUICKSALE HOME REALTY INC.,,United States,,,,,,,,,,,,,,,,,
MR GENERAL SERVICES LLC,LLC,Active,1338161,2022-03-31,76 BEACON ST,HARTFORD,United States,06105,CT,MONASPIKE@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,False,False,True,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
MFJ HOME MANAGEMENT LLC,LLC,Active,1338162,2021-03-31,10 VILLWAY ROAD,NORWALK,United States,06855,CT,ED@FREERCPA.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"GZ TAX SERVICES, LLC",LLC,Active,1338163,2021-03-31,24 MITCHELL RD,TRUMBULL,United States,06611,CT,AGZHUNIOS@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,True,False,False,Tax Preparation Services (541213),541213.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
GLOBAL ELEVATOR CONSULTING & INSPECTIONS LLC,LLC,Active,1338164,2021-03-31,5100 SW 188TH AVE,SOUTHWEST RANCHES,United States,33332-1328,FL,CWALTON@GLOBALELEVATORCONSULTING.COM,Foreign,2020-03-03,FL,FL,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),541690.0,2021-11-10 00:08:34.9666667,Annual report past due,2020-03-01,GLOBAL ELEVATOR CONSULTING & INSPECTIONS LLC,,United States,,,,,"5100 SW 188TH AVE, SOUTHWEST RANCHES, FL, 33332-1328, United States",5100 SW 188TH AVE,SOUTHWEST RANCHES,FL,33332-1328,United States,"5100 SW 188TH AVE, SOUTHWEST RANCHES, FL, 33332-1328, United States",5100 SW 188TH AVE,SOUTHWEST RANCHES,FL,33332-1328,United States,
"SANTANDER CONSUMER INTERNATIONAL PUERTO RICO, LLC",LLC,Withdrawn,1338165,2021-03-31,"250 MUNOZ RIVERA AVENUE, SUITE 1200 AMERICAN INTERNATIONAL PLAZA",SAN JUAN,United States,00918,PR,SCI_REGULATORY@SANTANDERCONSUMERUSA.COM,Foreign,2020-03-03,PR,PR,False,False,False,False,False,,,2021-11-10 00:08:34.9666667,,2020-03-03,"SANTANDER CONSUMER INTERNATIONAL PUERTO RICO, LLC",,United States,,,,,"250 MUNOZ RIVERA AVENUE, SUITE 1200 AMERICAN INTERNATIONAL PLAZA, SAN JUAN, PR, 00918, United States","250 MUNOZ RIVERA AVENUE, SUITE 1200 AMERICAN INTERNATIONAL PLAZA",SAN JUAN,PR,00918,United States,"250 MUNOZ RIVERA AVENUE, SUITE 1200 AMERICAN INTERNATIONAL PLAZA, SAN JUAN, PR, 00918, United States","250 MUNOZ RIVERA AVENUE, SUITE 1200 AMERICAN INTERNATIONAL PLAZA",SAN JUAN,PR,00918,United States,
34 WARREN STREET LLC,LLC,Active,1338167,2021-03-31,26 ISLAND HEIGHTS,STAMFORD,United States,06902,CT,WRPALMERCPA@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
509-513 ELM STREET LLC,LLC,Active,1338168,2021-03-31,26 ISLAND HEIGHTS,STAMFORD,United States,06902,CT,WRPALMERCPA@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
GOURDET LLC,LLC,Active,1338173,2022-03-31,25 GILLETT ST. #AA1,HARTFORD,United States,06105,CT,g.jeandener@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
"CELEBRATION PARTY RENTAL, LLC",LLC,Active,1338174,2022-03-31,96 SOUTHBOROUGH RD,SOUTHINGTON,United States,06489,CT,mca201151@yahoo.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
MORGAN CONSULTING LLC,LLC,Active,1338176,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,All Other Insurance Related Activities (524298),,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
M7 HOLDINGS LLC,LLC,Active,1338177,2022-03-31,"- C/O STERN, 41 OXFORD BLVD",GREAT NECK,United States,11023,NY,chrisbmacri@gmail.com,Domestic,2020-03-03,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
ISSA GENERAL SERVICES LLC,LLC,Active,1338178,2022-03-31,203 GRAYS BRIDGE RD. APT. 2A,BROOKFIELD,United States,06804,CT,issageneralservicesllc@hotmail.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Exam Preparation and Tutoring (611691),812990.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
"PRECISE TRANSPORT, LLC",LLC,Active,1338179,2021-03-31,27 HILLSIDE PLACE UNIT 12,NEW BRITAIN,United States,06051,CT,QUALI104@YAHOO.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SWEETWATER BUILDING & MANAGEMENT LLC,LLC,Active,1338180,2021-03-31,50 GRASSY HILL ROAD,OLD LYME,United States,06371,CT,JGADON@SAYBROOKLAW.COM,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"MARKEST, LLC",LLC,Active,1338182,2022-03-31,2 HAMPDEN PL,WINDSOR,United States,06095,CT,markestllc@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
"PLAY & PLAY, LLC",LLC,Active,1338183,2021-03-31,800 VILLAGE WALK SUITE 307,GUILFORD,United States,06437,CT,DEAN.IRWIN@COMCAST.NET,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,"Doll, Toy, and Game Manufacturing (339930)",339930.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
MECO PROPERTIES LLC,LLC,Active,1338184,2021-03-31,10335 RUE CHANTEMAR,SAN DIEGO,United States,92131,CA,EDHEMPTON@GMAIL.COM,Domestic,2020-03-03,CA,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
NORTHSIDE PRODUCTION LLC,LLC,Active,1338185,2022-03-31,759 MIX AVE APT F,HAMDEN,United States,06514,CT,ubutt@bracctax.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Other Sound Recording Industries (512290),512290.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
SENIOR SOLUTIONS REHAB PLLC,LLC,Active,1338188,2022-03-31,251 S RIVER RD,TOLLAND,United States,06084,CT,kaitlynryan1@gmail.com,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Home Health Care Services (621610),621610.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
"GRACE & GOLD, LLC",LLC,Active,1338189,2022-03-31,166 ARUNDEL AVENUE,WEST HARTFDORD,United States,06107,CT,LUKASZ.HANDZEL@GMAIL.COM,Domestic,2020-03-03,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
LACHEE'S BEAUTY BAR LLC,LLC,Active,1338190,2022-03-31,904 DIXWELL AVE,HAMDEN,United States,06511,CT,Lacheestanley@yahoo.com,Domestic,2020-03-03,CT,Connecticut,True,False,True,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
BEEF OCTANE LLC,LLC,Active,1338191,2022-03-31,52 MARVIN ROAD,COLCHESTER,United States,06415,CT,sales@beefoctane.com,Domestic,2020-03-03,CT,Connecticut,False,False,False,False,False,Meat and Meat Product Merchant Wholesalers (424470),424470.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
HARTFORD MEAT CLUB PARTNERS LTD. LIABILITY CO.,LLC,Active,1338193,2022-03-31,59 PEBBLEBROOK,WINDSOR,United States,06095,CT,hmcpllc@gmail.com,Domestic,2020-03-03,CT,Connecticut,False,False,True,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
