name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,mailing_address
STANTON REP 90 PARK STREET HARTFORD GP LLC,LLC,Active,,1364926,2022-03-31,29 FARMSTEAD LANE,WEST HARTFORD,United States,06117,CT,DD@STANTONCAP.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
STANTON REP 90 PARK STREET HARTFORD LIMITED PARTNERS LLC,LLC,Active,,1364927,2022-03-31,29 FARMSTEAD LANE,WEST HARTFORD,United States,06117,CT,DD@STANTONCAP.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
SHAPED BY SHERRI LLC,LLC,Active,,1364928,2022-03-31,101 SOUNDVIEW AVE,FAIRFIELD,United States,06825,CT,ShapedBySherri@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
FIDUCIENT ADVISORS LLC,LLC,Active,Annual report past due,1364929,2021-03-31,500 W. MADISON STREET STE 1700,CHICAGO,,60661,IL,,Foreign,2020-11-02,IL,IL,False,False,False,False,False,,,2021-11-10 00:12:42.7600000,,,,2020-11-01,FIDUCIENT ADVISORS LLC,,"500 W. MADISON STREET STE 1700, CHICAGO, IL, 60661,",500 W. MADISON STREET STE 1700,CHICAGO,IL,60661,,"500 W. MADISON STREET STE 1700, CHICAGO, IL, 60661,",500 W. MADISON STREET STE 1700,CHICAGO,IL,60661,,,,,,,,
"THE SUSAN ELAINE FOUNDATION, INC.",Non-Stock,Active,,1364930,2022-11-04,7 RIVERSIDE AVENUE,OLD SAYBROOK,United States,06475,CT,ANNUALREPORTS@PULLCOM.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Grantmaking Foundations (813211),813211.0,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,cklaneski@pullcom.com,,,,,
"100 RAILROAD BEACON, LLC",LLC,Active,Annual report past due,1364931,2021-03-31,22 HOWLAND ROAD,NEW MILFORD,,06776,CT,,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
ROOF AND TREE SERVICE SANCHEZ LLC,LLC,Active,Annual report past due,1364939,2021-03-31,10 SPRING STREET,DANBURY,,06810,CT,FREDDYSITO73@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL TAE KWON DO LLC,LLC,Dissolved,,1364940,2022-03-31,54 IDLEWOOD,BETHEL,United States,06801,CT,antross73@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:12:43.4000000,2021-06-04T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,
"NELLA & ELLA'S SWEETS, LLC",LLC,Active,Annual report past due,1364947,2021-03-31,101 STONEFIELD DR. APARTMENT 8,WATERBURY,United States,06705,CT,TTIFFANYGGOMEZ@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
PROFOUNDANCE CONNECTIONS LLC,LLC,Active,Annual report past due,1364953,2021-03-31,24 TERRACE AVE,STAMFORD,,06905,CT,PROFOUNDANCE1@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
PMT TRNS INC,Stock,Active,First report past due,1364960,2021-01-31,No information provided,,,,,STATEEXPRESS.FORMS@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:44.0233333,,100.0,,,,,,,,,,,,,,,,,,,,,,,
SPENCER AVERY PARTNERS LLC,LLC,Active,Annual report past due,1364968,2021-03-31,71 LIMERICK ROAD,TRUMBULL,,06611,CT,,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
DEBROUILLARD VENTURES LLC,LLC,Domesticated,,1364984,2022-03-31,"149 BRADLEY ST, APT D",NEW HAVEN,United States,06511,CT,btclark@debrouillardventures.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Book Publishers (511130),,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
LOANSTEADY LLC,LLC,Active,,1365062,2022-03-31,8401 Greensboro Dr,McLean,United States,22102-3598,VA,reporting@loansteady.com,Foreign,2020-11-02,VA,VA,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:12:37.5866667,,,Suite 950,2020-12-01,LOANSTEADY LLC,United States,"8401 Greensboro Dr, Suite 950, McLean, VA, 22102-3598, United States",8401 Greensboro Dr,McLean,VA,22102-3598,United States,"8401 Greensboro Dr, Suite 950, McLean, VA, 22102-3598, United States",8401 Greensboro Dr,McLean,VA,22102-3598,United States,,,,Suite 950,Suite 950,,
HARDIE'S TRUCKING LLC,LLC,Active,Annual report past due,1365063,2021-03-31,172 MIDDLEFIELD STREET,HARTFORD,United States,06112,CT,HARDIESTRUCKING@AOL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",484230.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
HIDDEN WAY LLC,LLC,Active,Annual report past due,1365120,2021-03-31,144 SILVER CREEK DRIVE,SUFFIELD,,06078,CT,,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
PROTRANSPORTERS LLC,LLC,Active,,1365125,2022-03-31,300 TRESSER BLVD APT  8A,STAMFORD,United States,06901,CT,robcwin@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:40.3366667,,,,,,,,,,,,,,,,,,,,,,,,,
"PRO-DEVELOPMENT, LLC",LLC,Active,Annual report past due,1365134,2021-03-31,1585 MAIN STREET STE. A3,HARTFORD,,06120,CT,RFDOMINICCI@YAHOO.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
"182 ELR, LLC",LLC,Active,,1365137,2022-03-31,182 EAST LITCHFIELD ROAD,LITCHFIELD,United States,06759,CT,rhodza@aol.com,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED ELECTRICAL SOLUTIONS, INC.",Stock,Active,,1365138,2022-11-24,119 SOUTH COLONY STREET,MERIDEN,,06450,CT,rbclement@umrct.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:12:40.3533333,,5000.0,,,,,,,,,,,,,,,,,,,,,,,
BLUE DAWN APOTHECARY LLC,LLC,Active,Annual report past due,1365146,2021-03-31,39 HOLBROOK STREET,ANSONIA,United States,06401,CT,BLUEDAWNAPOTHECARY@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,True,False,False,True,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,,,,
"JACQUELINE CLEMENT, LCSW, PLLC",LLC,Active,,1365148,2022-03-31,90 TROTTERS WAY,TORRINGTON,United States,06790,CT,jacquelineclementlcsw@gmail.com,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,,,,
"FRANKPHINE, LLC",LLC,Active,Annual report past due,1365160,2021-03-31,85 ENGLISH DRIVE UNIT B,HAMDEN,,06514,CT,AMAKAUZODA@YAHOO.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:12:41.0700000,,,,,,,,,,,,,,,,,,,,,,,,,
S. G. LANDSCAPING LLC,LLC,Active,Annual report past due,1365209,2021-03-31,73 KEN COURT,STAMFORD,,06905,CT,SGST74@AOL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
THE BEST HOUSECLEANING LLC,LLC,Active,,1365210,2022-03-31,31 LINDENCREST DRIVE,DANBURY,United States,06811,CT,alergonc@icloud.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
GOSPODINOFF FIREARMS INSTRUCTION LLC,LLC,Dissolved,,1365211,2021-03-31,205 HENRY STREET,STRATFORD,United States,06614,CT,TREEWARDEN1@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:12:43.4000000,2021-07-07T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,
SAMSENG TISSUE CO,Stock,Active,Annual report past due,1365258,2021-11-02,122C KISSEL RD,BURLINGTON,,08016,NJ,ANA.CHIU@SAMSENGTISSUE.COM,Foreign,2020-11-02,NJ,NJ,False,False,False,False,False,,,2021-11-10 00:12:45.3233333,,,,2020-10-01,SAMSENG TISSUE CO,,,,,,,,,,,,,,,,,,,,
NUTMEG MEDICAL SUPPLY INC,Stock,Dissolved,,1365260,2022-10-07,262 State St,NORTH HAVEN,United States,06473,CT,RPANTALENA@COMCAST.NET,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:12:45.3233333,2021-10-07T00:00:00.000,100.0,,,,,,,,,,,,,,,,,2021-09-15,,,,,,
"59 WOODWAY ROAD UNIT 3, LLC",LLC,Active,,1365262,2022-03-31,2 BELDEN AVENUE,NORWALK,United States,06850,CT,marlboroughig@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:45.3233333,,,601,,,,,,,,,,,,,,,,,marlboroughig@gmail.com,,,,,
"THINTA FILMS, LLC",LLC,Active,,1365265,2022-03-31,10 MOUNTAIN WOOD DRIVE,GREENWICH,United States,06830,CT,janedshang@gmail.com,Foreign,2020-11-02,DE,DE,False,False,False,False,False,Motion Picture and Video Production (512110),512110.0,2021-11-10 00:12:45.3233333,,,,2020-10-19,"THINTA FILMS, LLC",United States,,,,,,,,,,,,,,,,,,,
"THE BASEMENT COLLECTIVE STUDIO, LLC",LLC,Active,,1365274,2022-03-31,61 MAIN ST ROOM 12,UNIONVILLE,United States,06085,CT,wmabrownjr@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Fine Arts Schools (611610),611610.0,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
THREE GENERATIONS REALTY LLC,LLC,Active,,1365285,2022-03-31,39 NORTHGATE,AVON,United States,06001,CT,Richard.barry4@comcast.net,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
IN GOD'S HANDS INC,Non-Stock,Active,First report past due,1365335,2021-01-31,No information provided,,,,,INGODHANSDS@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Grantmaking and Giving Services (813219),813219.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSCONTINENTAL AC US LLC,LLC,Active,,1365337,2022-03-31,8600 W. BRYN MAWR SUITE 800N,CHICAGO,United States,60631,IL,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-11-02,DE,DE,False,False,False,False,False,Packaging and Labeling Services (561910),561910.0,2021-11-10 00:12:37.5866667,,,,2020-07-01,TRANSCONTINENTAL AC US LLC,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,,,,,,,
AGL CRAFTSMAN LLC,LLC,Active,Annual report past due,1365341,2021-03-31,48 WOODRUFF AVE.,THOMASTON,,06787,CT,ADRIANOPEDREIRA@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
"KELDO, LLC",LLC,Active,,1365350,2022-03-31,306 SCHOOL STREET,PUTNAM,United States,06260,CT,kellystireinc@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:38.2733333,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN STREET PIZZA LLC,LLC,Active,Annual report past due,1365400,2021-03-31,1860 BALDWIN STREET,WATERBURY,United States,06706,CT,ALEXFRAGOSO@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,True,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:39.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"RGN-GREENWICH II, LLC",LLC,Active,,1365553,2022-03-31,3000 KELLWAY DR. STE 140,CARROLLTON,United States,75006,TX,Compliancemail@cscinfo.com,Foreign,2020-11-02,DE,DE,False,False,False,False,False,Office Administrative Services (561110),,2021-11-10 00:12:45.9166667,,,,2020-11-09,"RGN-GREENWICH II, LLC",United States,,,,,,,,,,,,,,,,,,,
"HARRIS & HARRIS OF ILLINOIS, LTD.",Stock,Active,,1365557,2022-11-02,111 W. JACKSON BLVD STE 400,CHICAGO,,60604,IL,COMPLIANCE@HARRISCOLLECT.COM,Foreign,2020-11-02,IL,IL,False,False,False,False,False,Collection Agencies (561440),561440.0,2021-11-10 00:12:45.9166667,,,,2020-09-28,"HARRIS & HARRIS OF ILLINOIS, LTD.",,,,,,,,,,,,,,,,,,,,
GILDED (USA) LLC,LLC,Active,,1365580,2022-03-31,1266 EAST MAIN STREET 4TH FL,STAMFORD,United States,06902,CT,joe@digitalswissgold.com,Foreign,2020-11-02,DE,DE,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",,2021-11-10 00:12:35.4766667,,,,2020-09-03,GILDED (USA) LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,
10 ANN STREET LLC,LLC,Active,,1365589,2022-03-31,C/O PHOENIX REALTY MANAGEMENT 464 HERITAGE ROAD SUITE F,SOUTHBURY,United States,06488,CT,MONICA@PRMCT.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:12:35.4766667,,,,,,,,,,,,,,,,,,,,,,,,,
"CONSTITUTION REALTY MANAGMENT, LLC",LLC,Dissolved,,1364767,2021-03-31,100 AVON MEADOW LANE,AVON,United States,06001,CT,TRACYCALVERT@CSASURGERY.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:29.7966667,2020-11-02T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND AIRPORT ASSOCIATES LLC,LLC,Active,,1361678,2022-03-31,15 LUMBER YARD ROAD,EAST HADDAM,United States,06423,CT,goodspeedairport@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Other Airport Operations (488119),488119.0,2021-11-10 00:12:38.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
WEMMYCLEANINGSERVICES LLC,LLC,Active,,1364933,2022-03-31,14 N MAIN ST A,IVORYTON,United States,06442,CT,wemerson1985@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Waste Management Services (562998),,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
MAGICAL FANTASIA LLC,LLC,Active,Annual report past due,1364934,2021-03-31,35 PARK ST APT 2,BRIDGEPORT,United States,06608,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7600000,,,,,,,,,,,,,,,,,,,,,,,,,
GENERATION Z CUSTOMS LLC,LLC,Active,Annual report past due,1364935,2021-03-31,195 SHERMAN AVE,NEW HAVEN,United States,06511,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
"LIVING WITH DOG, LLC",LLC,Active,,1364936,2022-03-31,"380 MATHER STREET, 7307",HAMDEN,United States,06514,CT,nikitatwaalfhoven@gmail.com,Domestic,2020-11-03,CT,Connecticut,True,False,False,True,False,Pet Care (except Veterinary) Services (812910),,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
MSW LLC,LLC,Active,Annual report past due,1364937,2021-03-31,117 HIGHLAND AVE,MIDDLETOWN,United States,06457,CT,WARREN@JUALLREALTY.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
LAS TWO HOLDINGS LLC,LLC,Active,,1364938,2022-03-31,36 CHURCH ST,MYSTIC,United States,06355,CT,stevepalma@shorelinestone.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
TASTE OF TRESSES LLC,LLC,Active,,1364941,2022-03-31,5 LINCOLN AVE 2ND FLOOR,NORWALK,United States,06854,CT,Landrau.brianna@yahoo.com,Domestic,2020-11-03,CT,Connecticut,True,False,True,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
FOUR MILE RIVER HOLDINGS LLC,LLC,Active,Annual report past due,1364942,2021-03-31,451 SHORE ROAD,OLD LYME,United States,06371,CT,RIVERLANDINGMARINA@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
DESTINY HOMES CT LLC,LLC,Active,Annual report past due,1364943,2021-03-31,165 BROOKBEND DRIVE,STRATFORD,United States,06614,CT,MH001@SBCGLOBAL.NET,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
"33 SOUTH MAIN STREET, LLC",LLC,Active,Annual report past due,1364944,2021-03-31,350 MAIN STREET,LAKEVILLE,United States,06039,CT,ROBINHILLLANE@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
"54 ROBIN HILL LANE, LLC",LLC,Active,Annual report past due,1364945,2021-03-31,350 MAIN STREET,LAKEVILLE,United States,06039,CT,ROBINHILLLANE@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
GOLIATH HOME SERVICES LLC,LLC,Active,,1364946,2022-03-31,59 TALIAS TRAIL,MIDDLETOWN,United States,06457,CT,barbagalloja@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,True,False,True,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
F & M REALTY GROUP LLC,LLC,Active,,1364948,2022-03-31,262 PERCH ROCK TRAIL,WINSTED,United States,06098,CT,jills@skpadvisors.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
PRETTI&SIPP LLC,LLC,Active,,1364949,2022-03-31,128 OLIVE STREET,NEW HAVEN,United States,06511,CT,prettiandsipp20@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
ANDROMEDA VAULT L.L.C.,LLC,Active,Annual report past due,1364950,2021-03-31,5 NASH PLACE,STAMFORD,United States,06906,CT,ANITABPHOTO@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMPION TREE SERVICE CORPORATION,Stock,Active,,1364951,2022-11-03,2647 ROUTE 22,PATTERSON,United States,12563,NY,MATR@FMARTINEZTAX.COM,Foreign,2020-11-03,NY,NY,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:43.4000000,,,,2020-03-09,NEW YORK,United States,,,,,,,,,,,,,,,,,,,
INNOVERSE LLC,LLC,Active,,1364952,2022-03-31,37 FORD ROAD,ANSONIA,United States,06401,CT,innoversellc@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Metal Service Centers and Other Metal Merchant Wholesalers (423510),,2021-11-10 00:12:43.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
"SRIRAM, LLC",LLC,Active,,1364954,2022-03-31,5 SYDNEY LANE,CROMWELL,United States,06416,CT,ramsolai@hotmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"PERSONAL GROWTH SERVICES, LLC",LLC,Active,,1364955,2022-03-31,57 METACOMET ROAD,FARMINGTON,United States,06032,CT,slreiner@gmail.com,Domestic,2020-11-03,CT,Connecticut,True,False,False,False,False,Child and Youth Services (624110),624110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"ROMANIK CONSTRUCTION, LLC",LLC,Active,,1364956,2022-03-31,391 DUGG HILL RD.,WOODSTOCK,United States,06281,CT,bogie.romanik@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE WHITNEY GLEN 64 LLC,LLC,Active,,1364957,2022-03-31,27 GROVE HILL ROAD,WOODBRIDGE,United States,06525,CT,helene.battat@gmail.com,Domestic,2020-11-03,CT,Connecticut,True,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE WHITNEY GLEN 5 LLC,LLC,Active,,1364958,2022-03-31,27 GROVE HILL RD,WOODBRIDGE,United States,06525,CT,helene.battat@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
MAGICLEAN SERVICES LLC,LLC,Active,Annual report past due,1364959,2021-03-31,17 THORNILLEY ST,NEW BRITAIN,United States,06051,CT,CLDTRAVEL@HOTMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE WHITNEY GLEN 54 LLC,LLC,Active,,1364961,2022-03-31,27 GROVE HILL ROAD,WOODBRIDGE,United States,06525,CT,helene.battat@gmail.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
POST OFFICE BUILDING LLC,LLC,Active,,1364962,2022-03-31,415 COTTAGE GROVE ROAD,BLOOMFIELD,United States,06002,CT,KAVITAAHMED1962@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"QUARRY COFFEE & CAF�, LLC",LLC,Active,,1364963,2022-03-31,729 WHITTEMORE ROAD,MIDDLEBURY,United States,06762,CT,Robin@quarrycafe.com,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
BRITO TILE LLC,LLC,Active,Annual report past due,1364964,2021-03-31,45 MORGAN AVE,BRIDGEPORT,United States,06606,CT,COELHOSERVICES1@HOTMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
NAIL ART BY BETTY LLC,LLC,Active,Annual report past due,1364965,2021-03-31,564 SUCCES AVE,STRATFORD,United States,06614,CT,MEVA19GG@GMAIL.COM,Domestic,2020-11-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
A & J HEALTHCARE LLC,LLC,Active,,1364966,2022-03-31,6 PEARL PL,STRATFORD,United States,06614,CT,info@myajhealthcare.com,Domestic,2020-11-03,CT,Connecticut,True,False,True,False,False,Home Health Care Services (621610),621610.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
