name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,category_survey_email_address,date_of_organization_meeting,mailing_international_address
DIDE CHEMICALS AND LOGISTICS LLC,LLC,Active,1343586,2021-03-31,5 DEMPSEY RD,ANSONIA,United States,06401,CT,CVPGLOBALFUNDING@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,True,False,False,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",423450.0,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
D & L KATERING LLC,LLC,Active,1343587,2021-03-31,26 GREENBRIAR DRIVE,BLOOMFIELD,United States,06002,CT,DARLENEHOLIDAY@ICLOUD.COM,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
THE NEWTOWN HANDYMAN LLC,LLC,Active,1343590,2021-03-31,96 HIGH ROCK RD,SANDY HOOK,United States,06482,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
CHURCH STREET SOUTH ENTERTAINMENT LLC,LLC,Active,1343591,2021-03-31,261 BASSETT ST,NEW HAVEN,United States,06511,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
CHASING HOMES LLC,LLC,Active,1343592,2022-03-31,17 ASHWELL AVE,ROCKY HILL,United States,06067,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
55 PIERCE LLC,LLC,Active,1343593,2021-03-31,25 CARTRIGHT ST UNIT 2K,BRIDGEPORT,United States,06604,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
IMANI FESTIT CLOTHING LLC,LLC,Active,1343594,2022-03-31,36 OXBROOK RD,BRIDGEPORT,United States,06606,CT,Imanifestitclothing@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,Clothing Accessories Stores (448150),,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
SLIZK LLC,LLC,Active,1343595,2021-03-31,4 KARI CT,WINDSOR,United States,06095,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
SUPPLY ANTI LLC,LLC,Active,1343596,2021-03-31,414 CLARK AVE,BRISTOL,United States,06010,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
ACCUPREDICT LLC,LLC,Active,1343597,2022-03-31,56 FARMSTEAD RD,STORRS,United States,06268,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Tire Dealers (441320),,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
NEW CANAAN DADS LLC,LLC,Active,1343598,2022-03-31,263 S BALD HILL RD,NEW CANAAN,United States,06840,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Civic and Social Organizations (813410),,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
SEND IT SAME DAY DELIVERY LLC,LLC,Active,1343599,2021-03-31,233 PLATT STREET FL 2,WATERBURY,United States,06704,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
SUMMER JOY COLLECTION LLC,LLC,Active,1343600,2021-03-31,57 GARFIELD AVE APT 2,NEW LONDON,United States,06320,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
DORRANCE CAPITAL LLC,LLC,Active,1343601,2022-03-31,101 DORRANCE ST,HAMDEN,United States,06518,CT,adam@realtysurgeons.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
"AVON FOOT CARE, LLC",LLC,Active,1343602,2022-03-31,302 WEST MAIN STREET #107,AVON,United States,06001,CT,sbookydpm@yahoo.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Offices of Podiatrists (621391),621391.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
"AXIOS VENTURES, LLC",LLC,Dissolved,1343603,2022-03-31,36 WALLACKS DRIVE MAIN HOUSE,STAMFORD,United States,06902,CT,nr@axiosholdings.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:40.7800000,,,,2021-09-16T00:00:00.000,,,,,,,,,,,,,,,,,,,
MSTR LLC,LLC,Active,1343604,2022-03-31,317 WEST AVE #113197,STAMFORD,United States,06911,CT,filings@swyftfilings.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Apparel Accessories and Other Apparel Manufacturing (315990),315990.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
MIMIA AND MUDPYE CHILDREN'S CLOTHING LLC,LLC,Active,1343607,2021-03-31,72 HILLSIDE STREET,WEST HAVEN,United States,06516,CT,MIMIAANDMUDPYE@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,Children's and Infants' Clothing Stores (448130),448130.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
TB SERVICES LLC,LLC,Active,1343609,2022-03-31,164 SMITH RIDGE RD,NEW CANAAN,United States,06840,CT,Timb64@icloud.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Sporting Goods Stores (451110),451110.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
STROUD SOLUTIONS LLC,LLC,Active,1343610,2022-03-31,32 OLD FOXON RD,EAST HAVEN,United States,06513,CT,kyeemastroud@yahoo.com,Domestic,2020-05-08,CT,Connecticut,True,False,False,False,False,Lessors of Other Real Estate Property (531190),,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
PACELLI STRENGTH LLC,LLC,Active,1343611,2022-03-31,9 BUSINESS PARK DRIVE UNIT 10,BRANFORD,United States,06405,CT,m.v.pacelli@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,True,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
"MATHULA EXPRESS, LLC",LLC,Active,1343612,2021-03-31,170 READ STREET - APT D,BRIDGEPORT,United States,06607-2021,CT,KHANYILEWINNIE@ICLOUD.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
RECORE MEDICAL INCORPORATED,Stock,Active,1343613,2021-05-08,"111 PARK ST, APT 7J",NEW HAVEN,United States,06511,CT,MWINDHAMHERMAN@GMAIL.COM,Foreign,2020-05-08,DE,DE,False,False,False,False,False,Surgical and Medical Instrument Manufacturing (339112),339112.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,2020-05-04,RECORE MEDICAL INCORPORATED,United States,,,,,,,,,,,,,,,,
"STONE & WEBSTER, L.L.C.",LLC,Active,1343614,2022-03-31,1000 WESTINGHOUSE DRIVE,CRANBERRY TOWNSHIP,United States,16066,PA,Annualreports@westinghouse.com,Foreign,2020-05-08,LA,LA,False,False,False,False,False,Engineering Services (541330),,2021-11-10 00:08:40.7800000,,,,,2019-12-29,"STONE & WEBSTER, L.L.C.",United States,"3867 PLAZA TOWER DRIVE, BATON ROUGE, LA, 70816, United States",3867 PLAZA TOWER DRIVE,BATON ROUGE,LA,70816,United States,"3867 PLAZA TOWER DRIVE, BATON ROUGE, LA, 70816, United States",3867 PLAZA TOWER DRIVE,BATON ROUGE,LA,70816,United States,,,,
HERBAL BLENDZ LLC,LLC,Active,1343615,2022-03-31,317 WEST AVE #113197,STAMFORD,United States,06911,CT,filings@swyftfilings.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,"Frozen Fruit, Juice, and Vegetable Manufacturing (311411)",311411.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
HARRIS REMODELING LLC,LLC,Active,1343616,2021-03-31,450 EDGEWOOD ST APT 52,HARTFORD,United States,06112,CT,HARRISREMODELING2020@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
BLACK DIAMOND BEAUTY LLC,LLC,Active,1343619,2022-03-31,81 FOUNTAIN TERRACE,NEW HAVEN,United States,06515,CT,secureblackdiamond@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
"MORALES, LLC",LLC,Active,1343620,2022-03-31,42 JUDITH LANE APT 1,WATERBURY,United States,06704,CT,jesus.m.morales272@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
FAMILY INVESTMENTS LLC,LLC,Active,1343621,2021-03-31,1245 FARMINGTON AVENUE SUITE 1076,WEST HARTFORD,United States,06107,CT,DENISE@FAMILYINVESTMENTS.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.8266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
EARTH CLINIC LLC,LLC,Active,1343622,2022-03-31,16 JEAN AVENUE,NORWALK,United States,06850,CT,d.layne@earthclinic.com,Foreign,2020-05-08,DE,DE,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),519130.0,2021-11-10 00:08:40.8266667,,,,,2020-03-01,EARTH CLINIC LLC,United States,"108 WEST 13TH STREET, WILMINGTON, DE, 19801, United States",108 WEST 13TH STREET,WILMINGTON,DE,19801,United States,"108 WEST 13TH STREET, WILMINGTON, DE, 19801, United States",108 WEST 13TH STREET,WILMINGTON,DE,19801,United States,,,,
NEW STYLE HAIR STUDIO LLC,LLC,Active,1343624,2022-03-31,979 BROAD STREET,MERIDEN,United States,06450,CT,newstylehair975@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Barber Shops (812111),812111.0,2021-11-10 00:08:40.8266667,,,,,,,,,,,,,,,,,,,,,,,
"EVOFEM, INC.",Stock,Active,1343625,2022-05-08,"12400 HIGH BLUFF DRIVE, SUITE 600",SAN DIEGO,United States,92130,CA,hrunge@evofem.com,Foreign,2020-05-08,CA,CA,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),541714.0,2021-11-10 00:08:40.8266667,,,,,2020-05-08,"EVOFEM, INC.",United States,,,,,,,,,,,,,,,,
DECK PHENOM INC.,Stock,Active,1343628,2021-05-08,256 HORSEPOUND ROAD,CARMEL,United States,10512-5006,NY,DECKPHENOM@GMAIL.COM,Foreign,2020-05-08,NY,NY,False,False,False,False,False,"Other Foundation, Structure, and Building Exterior Contractors (238190)",238190.0,2021-11-10 00:08:40.8266667,Annual report past due,,,,2020-05-08,DECK PHENOM INC.,United States,,,,,,,,,,,,,,,,
"292 DAVIS AVENUE CONDOMINIUM, INC.",Non-Stock,Active,1343631,2020-08-06,No information provided,,,,,DMW@WALLMANLAW.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:40.8266667,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
C&C CANDLE MAKING LLC,LLC,Active,1343632,2021-03-31,370 NOTT ST,WETHERSFIELD,United States,06109,CT,CLAYSTEFNIX@YAHOO.COM,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:08:40.8266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
BROOK ROAD A LLC,LLC,Active,1343633,2022-03-31,36 OLD WAGON ROAD,OLD GREENWICH,United States,06870,CT,dperskie@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.8266667,,,,,,,,,,,,,,,,,,,,,,,
BROOK ROAD B LLC,LLC,Active,1343634,2022-03-31,36 OLD WAGON ROAD,OLD GREENWICH,United States,06870,CT,amyaa7@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.8266667,,,,,,,,,,,,,,,,,,,,,,,
"MORGAN, SPENCER, & MIKA, LTD., LLC.",LLC,Active,1343639,2022-03-31,23 ANITA DRIVE,TRUMBULL,United States,06611,CT,robertdelmonico@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.8266667,,,,,,,,,,,,,,,,,,,,,,,
J&M GARDENING SERVICES LLC,LLC,Active,1343643,2021-03-31,"158 BYRAM RD ,UNIT B",GREENWICH,United States,06830,CT,JMGARDENINGSERV@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
THE SHISHA HOOKAHS LLC,LLC,Active,1343644,2021-03-31,564 PARK AVENUE,BRIDGEPORT,United States,06604,CT,ATLANTISLLC@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Tobacco Stores (453991),453991.0,2021-11-10 00:08:40.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
180 CORNERSTONE HOLDINGS LLC,LLC,Active,1343646,2021-03-31,7 WATSON ST,CORTLANDT MANOR,United States,10567,NY,180CORNERSTONEHOLDINGS@GMAIL.COM,Foreign,2020-05-08,NY,NY,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.8566667,Annual report past due,,,,2020-05-08,180 CORNERSTONE HOLDINGS LLC,United States,"7 WATSON ST, CORTLANDT MANOR, NY, 10567, United States",7 WATSON ST,CORTLANDT MANOR,NY,10567,United States,"7 WATSON ST, CORTLANDT MANOR, NY, 10567, United States",7 WATSON ST,CORTLANDT MANOR,NY,10567,United States,,,,
LIT FITS BOUTIQUE AND APPAREL LLC,LLC,Active,1343647,2022-03-31,65 PARK AVE,BLOOMFIELD,United States,06002,CT,Shadesia1996@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
"20 CHURCH STREET UNIT A-10, LLC",LLC,Active,1343648,2021-03-31,6 INDIAN CHASE DRIVE,GREENWICH,United States,06830,CT,JENROACH@OPTONLINE.NET,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
NEIGHSAYER LLC,LLC,Active,1343649,2022-03-31,67 FLORENCE RD UNIT 1C,BRANFORD,United States,06405,CT,NEIGHSAYERLLC@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
188 EAST IP ASSOCIATES LLC,LLC,Active,1343650,2022-03-31,110 REPUBLIC DRIVE,NORTH HAVEN,United States,06473,CT,rccuomo@aol.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
IVES IP ASSOCIATES LLC,LLC,Active,1343651,2022-03-31,110 REPUBLIC DRIVE,NORTH HAVEN,United States,06473,CT,rccuomo@aol.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
MP GENERAL CONSTRUCTION LLC,LLC,Active,1343652,2022-03-31,9 KOSSOUTH ST 2 FL,NEW HAVEN,United States,06519,CT,maldonadosbc@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,New Multifamily Housing Construction (except For-Sale Builders) (236116),236116.0,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
"DR. CARLA M. MONTEIRO DENTISTRY, LLC",LLC,Active,1343653,2022-03-31,245 UNQUOWA RD #5,FAIRFIELD,United States,06824,CT,cmonteiro25@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,False,False,False,Offices of Dentists (621210),621210.0,2021-11-10 00:08:40.8566667,,,,,,,,,,,,,,,,,,,,,,,
PRETTY IN PRIMP LLC,LLC,Active,1343656,2022-03-31,701 S MAIN ST APT 2A,WATERBURY,United States,06706,CT,pointersgirl11@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,Children's and Infants' Clothing Stores (448130),,2021-11-10 00:08:40.8733333,,,,,,,,,,,,,,,,,,,,,,,
VVM CONSULTING LLC,LLC,Active,1343658,2022-03-31,18 JESSE AVENUE,STRATFORD,United States,06614,CT,camilatvedwards@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:08:40.8733333,,,,,,,,,,,,,,,,,,,,,,,
"SUFFIELD ACQUISITIONS, LLC",LLC,Active,1343660,2022-03-31,"66 WEST MAIN STREET, SUITE 102",NEW BRITAIN,United States,06051,CT,avner@jaskogroup.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:40.8733333,,,,,,,,,,,,,,,,,,,,,,,
40 ATWATER STREET LLC,LLC,Active,1343661,2021-03-31,61 N. PLAINS INDUSTRIAL ROAD #128,WALLINGFORD,United States,06492,CT,SCF315@YAHOO.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
46 ATWATER STREET LLC,LLC,Active,1343662,2021-03-31,61 N. PLAINS INDUSTRIAL ROAD #128,WALLINGFORD,United States,06492,CT,SCF315@YAHOO.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
57-59 HOUSTON STREET LLC,LLC,Active,1343663,2021-03-31,61 N. PLAINS INDUSTRIAL ROAD #128,WALLINGFORD,United States,06492,CT,SCF315@YAHOO.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
405 FOXON BOULEVARD LLC,LLC,Active,1343664,2021-03-31,61 N. PLAINS INDUSTRIAL ROAD #128,WALLINGFORD,United States,06492,CT,SCF315@YAHOO.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
MB CARPENTRY CONTRACTOR LLC,LLC,Active,1343665,2021-03-31,1628 CAPITAL AVE,BRIDGEPORT,United States,06606,CT,BETANIA@AIA-DANBURY.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED SIGNING, LLC",LLC,Active,1343666,2022-03-31,922 S 70TH STRRET,MILWAUKEE,United States,53214,WI,rhill@poblocki.com,Foreign,2020-05-08,WI,WI,False,False,False,False,False,All Other Miscellaneous Manufacturing (339999),339999.0,2021-11-10 00:08:40.9033333,,,,,2020-05-01,"ADVANCED SIGNING, LLC",United States,"922 S 70TH STRRET, MILWAUKEE, WI, 53214, United States",922 S 70TH STRRET,MILWAUKEE,WI,53214,United States,"922 S 70TH STRRET, MILWAUKEE, WI, 53214, United States",922 S 70TH STRRET,MILWAUKEE,WI,53214,United States,,,,
CHING FABRE LLC,LLC,Dissolved,1343668,2021-03-31,20 N MAIN ST #407,NORWALK,United States,06854,CT,CHINGFABRELLC@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:40.9033333,,,,2020-12-28T00:00:00.000,,,,,,,,,,,,,,,,,,,
"MAYDAY OIL, LLC",LLC,Active,1343669,2022-03-31,545 POND ROAD,FRANKLIN,United States,06254,CT,maydayoil@yahoo.com,Domestic,2020-05-08,CT,Connecticut,True,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:08:40.9033333,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA HOME FUNDING, INC",Non-Stock,Active,1343670,2020-08-06,No information provided,,,,,JON@CALIFORNIAHOMEFUNDING.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:08:40.9033333,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
PRESERVATION WITHIN THERAPY PRACTICE LLC,LLC,Active,1343671,2022-03-31,58 POMFRET ST SUITE 122,PUTNAM,United States,06260,CT,amandajnowaklpc@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:40.9033333,,,,,,,,,,,,,,,,,,,,,,,
ILLYRIANS CONSTRUCTION LLC,LLC,Active,1343674,2021-03-31,105 MEADOW STREET APT 1,SEYMOUR,United States,06483,CT,ERVIN.ZARAJ@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
MCK HEALTH STRATEGIES LLC,LLC,Active,1343677,2022-03-31,10 PEQUOT COURT,MONROE,United States,06468,CT,MATTHEW@MCKHEALTHSTRATEGIES.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:40.9033333,,,,,,,,,,,,,,,,,,,,,,,
PEREZ & ASPHALT PAVING LLC,LLC,Active,1343678,2021-03-31,71 VISCONTI AVE,WATERBURY,United States,06704,CT,MUNIINSURANCECO@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:40.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
BLESSING LLC,LLC,Active,1343679,2022-03-31,450 BEECHWOOD AVENUE,BRIDGEPORT,United States,066,CT,Blessingnm.llc@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
TOPLINE SEPTIC SERVICE LLC,LLC,Active,1343681,2021-03-31,"191 CLARKE RD. 191 CLARKE RD. LEBAN, CT. 06249",LEBANON,United States,06249,CT,TOPLINEEXCAVATION@ATT.NET,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Heavy and Civil Engineering Construction (237990),237990.0,2021-11-10 00:08:41.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
WOMAN'S CHOICE PERINATAL SERVICES LLC.,LLC,Active,1343682,2022-03-31,44 WATERBURY RD SUITE 2D,PROSPECT,United States,06712,CT,womanschoiceps@gmail.com,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
MARCON CONTRACTING LLC,LLC,Active,1343686,2021-03-31,112 CIPOLLA DRIVE,EAST HARTFORD,United States,06118,CT,MARCONLLC5@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,True,False,True,False,False,,,2021-11-10 00:08:41.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
EAST QUEST SOLUTIONS LLC,LLC,Active,1343687,2022-03-31,24 STRAWBERRY LN.,MANCHESTER,United States,06040,CT,latasha_east@yahoo.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),454390.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
227 BERKSHIRE LLC,LLC,Active,1343688,2021-03-31,227 BERKSHIRE ROAD,SANDY HOOK,United States,06482,CT,KVAZZANO@VAZZANOLAW.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:41.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
ICEU LLC,LLC,Active,1343689,2022-03-31,5 NATHANS PATH,WALLINGFORD,United States,06492,CT,everett@abapc.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Professional and Management Development Training (611430),611430.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
UNITED MASONRY LLC,LLC,Active,1343690,2022-03-31,57 ROSEWOOD AVE UNIT 2,WATERBURY,United States,06706,CT,united.masonry.llc@gmail.com,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:41.9800000,,,,,,,,,,,,,,,,,,,,,,,
"MANION FAMILY FARM, LLC",LLC,Active,1343691,2021-03-31,18 LAFOUNTAIN RD,SUFFIELD,United States,06078,CT,DRVFLEMING@GMAIL.COM,Domestic,2020-05-08,CT,Connecticut,False,False,False,False,False,Horses and Other Equine Production (112920),112920.0,2021-11-10 00:08:41.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
