name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,category_survey_email_address,total_authorized_shares,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_address,reason_for_administrative,date_of_organization_meeting,billing_unit
MAREON INSURANCE AGENCY LLC,LLC,Active,1341131,2021-03-31,,580 FARMINGTON AVENUE,HARTFORD,United States,06105,CT,RON@POLICYRIDE.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
EG SEPTIC SERVICES LLC,LLC,Active,1341133,2021-03-31,,88 BEACON ROAD,WINDHAM,United States,06280,CT,EGSEPTICSERVICES@GMAIL.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
COSAINT INTERNATIONAL LLC,LLC,Active,1341137,2021-03-31,,70 REVERKNOLLS,AVON,United States,06001,CT,BRIANMCDERMOTT359@GMAIL.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
EAZYMONEY$ LLC,LLC,Active,1341146,2021-03-31,,112 OLMSTED ST,EAST HARTFORD,United States,06108,CT,DOCUMENTS@DIRECTINCORP.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Other Specialized Design Services (541490),541490.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
A & M IV LLC,LLC,Active,1341174,2021-03-31,,96 CLINTON ST 1ST,NEW BRITAIN,United States,06053,CT,DVELEAS@SBCGLOBAL.NET,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Tobacco and Tobacco Product Merchant Wholesalers (424940),424940.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
CANVAS INSURANCE AGENCY LLC,LLC,Active,1335725,2022-03-31,2020-04-07,7272 E. INDIAN SCHOOL ROAD SUITE 100,SCOTTSDALE,United States,85251,AZ,licensing@puritanlife.com,CANVAS INSURANCE AGENCY LLC,Foreign,United States,2020-04-06,AZ,AZ,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:42.7166667,,,,"7272 E. INDIAN SCHOOL ROAD SUITE 100, SCOTTSDALE, AZ, 85251, United States",7272 E. INDIAN SCHOOL ROAD SUITE 100,SCOTTSDALE,AZ,85251,United States,"7272 E. INDIAN SCHOOL ROAD SUITE 100, SCOTTSDALE, AZ, 85251, United States",7272 E. INDIAN SCHOOL ROAD SUITE 100,SCOTTSDALE,AZ,85251,United States,,,,,
"KUALI, INC.",Stock,Active,1341259,2022-04-06,2018-09-01,3400 N ASHTON BLVD SUITE 450,LEHI,United States,84043,UT,finance@kuali.co,"KUALI, INC.",Foreign,United States,2020-04-06,DE,DE,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:40.1833333,,,,,,,,,,,,,,,,,,,,
EYECONTROL US INC.,Stock,Active,1341599,2022-04-06,2020-04-06,MENACHEM BEGIN 48,TEL AVIV,Israel,,,INFO@EYECONTROL.CO.IL,EYECONTROL US INC.,Foreign,Israel,2020-04-06,DE,DE,False,False,False,False,False,Surgical and Medical Instrument Manufacturing (339112),339112.0,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,,,,,
"BITGO TRUST COMPANY, INC.",Stock,Active,1341600,2021-04-06,2020-04-06,6216 S PINNACLE PL #101,SIOUX FALLS,,57108,SD,,"BITGO TRUST COMPANY, INC.",Foreign,,2020-04-06,SD,SD,False,False,False,False,False,"Trust, Fiduciary, and Custody Activities (523991)",523991.0,2021-11-10 00:08:40.8100000,,,Annual report past due,,,,,,,,,,,,,,,,,
"EDISON TECHNOLOGY OF TN, LLC",LLC,Active,1341601,2021-03-31,2020-04-01,315 TRANE DRIVE,KNOXVILLE,,37919,TN,,"EDISON TECHNOLOGY OF TN, LLC",Foreign,,2020-04-06,TN,TN,False,False,False,False,False,,0.0,2021-11-10 00:08:40.8100000,,,Annual report past due,"315 TRANE DRIVE, KNOXVILLE, TN, 37919,",315 TRANE DRIVE,KNOXVILLE,TN,37919,,"315 TRANE DRIVE, KNOXVILLE, TN, 37919,",315 TRANE DRIVE,KNOXVILLE,TN,37919,,,,,,
"SUNNOVA TEP IV-D, LLC",LLC,Active,1341602,2022-03-31,2020-04-06,20 E. GREENWAY PLAZA SUITE  475,HOUSTON,United States,77046,TX,tax@sunnova.com,"SUNNOVA TEP IV-D, LLC",Foreign,United States,2020-04-06,DE,DE,False,False,False,False,False,Solar Electric Power Generation (221114),0.0,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,,,,,
"ART AND ANTIQUE RESTORATION, LLC",LLC,Active,1341604,2022-03-31,,50 WADE AVENUE,BLOOMFIELD,United States,06002,CT,VLADIMIR.DUMANSKY@GMAIL.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,True,False,All Other Personal Services (812990),,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,,,,,
TIMELESS STEPS - ART FOR CHARITY INC,Non-Stock,Dissolved,1341605,2021-11-06,,56 WITCH LANE,ROWAYTON,United States,06853,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,2021-03-04T00:00:00.000,,,,
"BUTLER SIX, LLC",LLC,Active,1341606,2022-03-31,,36 RUSS STREET,HARTFORD,United States,06106,CT,interlandi.law@gmail.com,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,,,,,
IGLESIA CASA ROAR INC.,Non-Stock,Active,1341614,2021-04-06,,1477 PARK ST,HARTFORD,,06106,CT,iglesiacasaroar@yahoo.com,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.8400000,,,Annual report past due,,,,,,,,,,,,,,,,,
CANOPIUS UNDERWRITING AGENCY INC.,Stock,Active,1341663,2022-04-06,2018-05-09,140 BROADWAY STE 2210,NEW YORK,United States,10005,NY,knsmith@supportiveis.com,CANOPIUS UNDERWRITING AGENCY INC.,Foreign,United States,2020-04-06,DE,DE,False,False,False,False,False,All Other Insurance Related Activities (524298),,2021-11-10 00:08:41.9966667,,,,,,,,,,,,,,,,,,,,
"DEMENTIA PEER COALITION, INC.",Non-Stock,Active,1341669,2022-08-03,,3 Mountain Ledge Rd,Avon,United States,06001-3481,CT,INFO@DPC-CT.ORG,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),813319.0,2021-11-10 00:08:41.9966667,stephani.shivers@mac.com,,,,,,,,,,,,,,,,,,,
4D FOR CHARITY INC.,Non-Stock,Active,1341684,2020-07-05,,No information provided,,,,,,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:42.0433333,,,First report past due,,,,,,,,,,,,,,,Failure to file First Report,,
FWRD CONTENT CORP.,Stock,Active,1341688,2020-07-05,,No information provided,,,,,,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:42.0433333,,10000.0,First report past due,,,,,,,,,,,,,,,Failure to file First Report,,
"FAHRENHEIT IT, LLC",LLC,Active,1341726,2022-03-31,2020-04-06,127 W WORTHINGTON AVE STE 100,CHARLOTTE,United States,28203,NC,Compliancemail@cscinfo.com,"FAHRENHEIT IT, LLC",Foreign,United States,2020-04-06,CO,CO,False,False,False,False,False,Employment Placement Agencies (561311),0.0,2021-11-10 00:08:42.6533333,,,,,,,,,,,,,,,,,,,,
"METLIFE LEGAL PLANS, INC.",Stock,Active,1341727,2022-04-06,2020-04-06,1111 SUPERIOR AVENUE,CLEVELAND,United States,44114,OH,alexandria.horton@metlife.com,"METLIFE LEGAL PLANS, INC.",Foreign,United States,2020-04-06,OH,OH,False,False,False,False,False,Health and Welfare Funds (525120),0.0,2021-11-10 00:08:42.6533333,,,,,,,,,,,,,,,,,,,,
DUNCAN INSURANCE GROUP LLC,LLC,Active,1341728,2022-03-31,2020-04-01,2600 COMMERCE DR.,HARRISBURG,United States,17110,PA,aglenn@kaiagencies.com,DUNCAN INSURANCE GROUP LLC,Foreign,United States,2020-04-06,DE,DE,False,False,False,False,False,Insurance Agencies and Brokerages (524210),0.0,2021-11-10 00:08:42.6533333,,,,"1209 ORANGE ST, WILIMINGTON, DE, 19801, United States",1209 ORANGE ST,WILIMINGTON,DE,19801,United States,"1209 ORANGE ST, WILIMINGTON, DE, 19801, United States",1209 ORANGE ST,WILIMINGTON,DE,19801,United States,,,,,
"CATDOG ENTERTAINMENT MEDIA, LLC",LLC,Active,1341729,2021-03-31,,250 OLD BLACK POINT ROAD,NIANTIC,,06357,CT,HEIDICLIENT@GMAIL.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:42.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
"S3 POWER, INCORPORATED",Stock,Active,1341731,2022-04-06,2019-05-28,120 CEDAR STREET,WALPOLE,United States,02081,MA,JSWANSEY@S3-POWER.COM,"S3 POWER, INCORPORATED",Foreign,,2020-04-06,MA,MA,False,True,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:42.6533333,jswansey@s3-power.com,,,,,,,,,,,,,,,,,,,
"FUZION ENTERPRISES, LLC",LLC,Active,1341732,2021-03-31,,18 NATALIE TERRACE,WATERBURY,,06705,CT,JAVA@FUZIONCOFFEECO.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:42.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
"THE COLOUR BOUTIQUE, LLC",LLC,Active,1341733,2021-03-31,,909 PROSPECT ST STE 2A,NAUGATUCK,,06770,CT,,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:42.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
MS2020 LLC,LLC,Active,1341734,2022-03-31,,56 COUNTRY CLUB ROAD,RIDGEFIELD,United States,06877,CT,mikesturges2@gmail.com,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),0.0,2021-11-10 00:08:42.6533333,,,,,,,,,,,,,,,,,,,,
EL ELYON CLEANING SERVICES LLC,LLC,Active,1341778,2022-03-31,,70 RUSS STREET C25,HARTFORD,United States,06106,CT,Elelcs@aol.com,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),0.0,2021-11-10 00:08:39.5133333,,,,,,,,,,,,,,,,,,,,
ROLAND BERGER LIMITED PARTNERSHIP,Limited Partnership,Active,1341882,2022-04-06,2020-04-03,37000 WOODWARD AVENUE SUITE 200,BLOOMFIELD HILLS,United States,48304,MI,ryan.streetman@rolandberger.com,ROLAND BERGER LIMITED PARTNERSHIP,Foreign,United States,2020-04-06,DE,DE,False,False,False,False,False,Other Management Consulting Services (541618),0.0,2021-11-10 00:08:40.2300000,,,,,,,,,,"37000 WOODWARD AVENUE SUITE 200, BLOOMFIELD HILLS, MI, 48304, United States",37000 WOODWARD AVENUE SUITE 200,BLOOMFIELD HILLS,MI,48304,United States,,,,,
"A TO Z COMPUTER CENTER, LLC",LLC,Dissolved,1341028,2021-03-31,,409 OAK AVENUE,TORRINGTON,United States,06790,CT,DNADER@ATOZCOMPUTER.COM,,Domestic,,2020-04-06,CT,Connecticut,True,False,False,False,False,Other Computer Related Services (541519),,2021-11-10 00:06:07.5166667,,,,,,,,,,,,,,,,2020-04-06T00:00:00.000,,,,
DRB RETAIL LLC,LLC,Dissolved,1341075,2021-03-31,,71 BENJAMIN RD,EAST HAVEN,United States,06513,CT,BRIDGMAND@GMAIL.COM,,Domestic,,2020-04-06,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,2021-11-10 00:04:18.9666667,,,,,,,,,,,,,,,,2020-08-24T00:00:00.000,,,,
"BAR BUILDERS, L.L.C.",LLC,Active,1341114,2022-03-31,,9 CORPORATE RIDGE ROAD,HAMDEN,United States,06514,CT,melissa@sweeneyexcavation.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:08:35.6533333,,,,,,,,,,,,,,,,,,,,
AZAPAY LLC,LLC,Active,1341115,2021-03-31,,77 OLIVER ROAD,LEBANON,United States,06249,CT,BRIANSMITHLAW31@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:08:35.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
"859-A HERITAGE VILLAGE, LLC",LLC,Active,1341117,2022-03-31,,128 PATRIOT ROAD,SOUTHBURY,United States,06488,CT,patricia.magida@gmail.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.6533333,,,,,,,,,,,,,,,,,,,,
FEO CONSTRUCTION SERVICES LLC,LLC,Active,1341118,2021-03-31,,453 EVERS STREET,BRIDGEPORT,United States,06610,CT,FRITZDELISSER@HOTMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,True,False,False,Finish Carpentry Contractors (238350),238350.0,2021-11-10 00:08:35.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
"SIDE HUSTLE COFEE ROASTERS CO, LLC",LLC,Active,1341120,2021-03-31,,67 OCONNELL ROAD,COLCHESTER,United States,06415,CT,JOHNHBRADFORD1@HOTMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.6533333,,,Annual report past due,,,,,,,,,,,,,,,,,
"RPS PROPERTY MANAGEMENT, LLC",LLC,Active,1341121,2021-03-31,,354 PUTNAM PIKE,DAYVILLE,United States,06241,CT,RPSPROPERTYMANAGEMENTLLC@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:35.6833333,,,Annual report past due,,,,,,,,,,,,,,,,,
SPITFIRE LESSINGS LLC,LLC,Active,1341122,2022-03-31,,155 BREWSTER ST #4H,BRIDGEPORT,United States,06605,CT,spitfirelessingsllc@gmail.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Pipeline Transportation of Crude Oil (486110),486110.0,2021-11-10 00:08:35.6833333,,,,,,,,,,,,,,,,,,,,
"AJOB PARTNERS, LLC",LLC,Active,1341123,2021-03-31,,20 CHURCH STREET FL M,HARTFORD,United States,06103,CT,MYSIMPLEMAIL1@YAHOO.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.6833333,,,Annual report past due,,,,,,,,,,,,,,,,,
SAVAGE LATINA MAGAZINE LLC,LLC,Active,1341124,2022-03-31,,12 11TH ST,DERBY,United States,06418,CT,savagelatina860@gmail.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,True,False,False,Book Publishers (511130),511130.0,2021-11-10 00:08:35.6833333,,,,,,,,,,,,,,,,,,,,
"RED METAL PRODUCTIONS, LLC",LLC,Active,1341125,2021-03-31,,21 LAFATA LANE,KILLINGWORTH,United States,06419,CT,GRAMBO1279@HOTMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:35.6833333,,,Annual report past due,,,,,,,,,,,,,,,,,
"SERENITY SEASCAPES, LLC",LLC,Active,1341126,2022-03-31,,370 CHURCH STREET,GUILFORD,United States,06437,CT,shays@uks.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:35.6833333,,,,,,,,,,,,,,,,,,,,
270 EASTERN BLVD LLC,LLC,Active,1341127,2022-03-31,,474 THREE MILE RD,GLASTONBURY,United States,06033,CT,dcalciano4@gmail.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:35.6833333,,,,,,,,,,,,,,,,,,,,
SHORELINE MARINE SERVICE LLC,LLC,Active,1341128,2021-03-31,,75 WEST POND RD APT 1,NORTH BRANFORD,United States,06471,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
INCAS PAINTING & RESTORATION CO LLC,LLC,Active,1341130,2021-03-31,,45 BLOHM ST,WEST HAVEN,United States,06516,CT,RRCLIENT@HOTMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,True,False,True,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
"FFJR ESTATE, LLC",LLC,Dissolved,1341132,2021-03-31,,29 MAGNOLIA DRIVE,EAST HARTFORD,United States,06118,CT,FITZROYFREEMAN@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,2021-01-08T00:00:00.000,,,,
"19 BROOKSIDE, LLC",LLC,Active,1341134,2022-03-31,,19 BROOKSIDE DRIVE,DARIEN,United States,06820,CT,mrmarka@optonline.net,,Domestic,,2020-04-07,CT,Connecticut,True,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
"BLUETREE, LLC",LLC,Active,1341135,2022-03-31,,70 SPRUCE BROOK ROAD,PLYMOUTH,United States,06782,CT,KEIKO@KKOSLAWYERS.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,All Other Consumer Goods Rental (532289),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
"ATRH HARTFORD, LLC",LLC,Active,1341136,2022-03-31,2020-04-07,9 WEST BROAD STREET SUITE 720,STAMFORD,United States,06902,CT,filings@corpnet.com,"ATRH HARTFORD, LLC",Foreign,United States,2020-04-07,DE,DE,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
"ATRH FRANKLIN, LLC",LLC,Active,1341138,2022-03-31,2020-04-07,9 WEST BROAD STREET SUITE 720,STAMFORD,United States,06902,CT,filings@corpnet.com,"ATRH FRANKLIN, LLC",Foreign,United States,2020-04-07,DE,DE,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
FROM JAY WITH LOVE DESIGN AND PRINT LLC,LLC,Active,1341139,2021-03-31,,912 LINDLEY ST,BRIDGEPORT,United States,06606,CT,JAYPRINTDESIGN@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Apparel Accessories and Other Apparel Manufacturing (315990),315990.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
"CAMERON LEWIS, LLC",LLC,Active,1341140,2022-03-31,2020-01-01,4 MARTINE AVENUE UNIT 819,WHITE PLAINS,United States,10606,NY,jpasquino@smolin.com,"CAMERON LEWIS, LLC",Foreign,United States,2020-04-07,NY,NY,False,False,False,False,False,Offices of Dentists (621210),621210.0,2021-11-10 00:08:35.7300000,,,,"4 MARTINE AVENUE UNIT 819, WHITE PLAINS, NY, 10606, United States",4 MARTINE AVENUE UNIT 819,WHITE PLAINS,NY,10606,United States,"4 MARTINE AVENUE UNIT 819, WHITE PLAINS, NY, 10606, United States",4 MARTINE AVENUE UNIT 819,WHITE PLAINS,NY,10606,United States,,,,,
LIFELONG REHAB INC.,Stock,Active,1341142,2021-04-07,2020-04-07,143 CHARDONNAY DR,EAST QUOGUE,United States,11942,NY,LIFELONGREHAB@GMAIL.COM,LIFELONG REHAB INC.,Foreign,United States,2020-04-07,NY,NY,False,False,False,False,False,,,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
"ATRH NORTH HAVEN, LLC",LLC,Active,1341143,2022-03-31,2020-04-07,9 WEST BROAD STREET SUITE 720,STAMFORD,United States,06902,CT,filings@corpnet.com,"ATRH NORTH HAVEN, LLC",Foreign,United States,2020-04-07,DE,DE,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
"ATRH DANIELSON, LLC",LLC,Active,1341144,2022-03-31,2020-04-07,9 WEST BROAD STREET SUITE 720,STAMFORD,United States,06902,CT,filings@corpnet.com,"ATRH DANIELSON, LLC",Foreign,United States,2020-04-07,DE,DE,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
"ATRH BETHEL, LLC",LLC,Active,1341145,2022-03-31,2020-04-07,9 WEST BROAD STREET SUITE 720,STAMFORD,United States,06902,CT,filings@corpnet.com,"ATRH BETHEL, LLC",Foreign,United States,2020-04-07,DE,DE,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
MUSCLE MECHANIX CT LLC,LLC,Active,1341147,2022-03-31,,76 EASTERN BLVD,GLASTONBURY,United States,06033,CT,lpmontella@outlook.com,,Domestic,,2020-04-07,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
DUANE CLARK LLC,LLC,Active,1341148,2021-03-31,,224 EAST STREET,PLAINVILLE,United States,06062,CT,DUFF201623@YAHOO.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,True,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
"ZIG ZAG, LLC",LLC,Active,1341150,2021-03-31,,1367 BOSTON AVE,BRIDGEPORT,United States,06601,CT,MKJASER@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
"BRP MEDICARE INSURANCE III, LLC",LLC,Active,1341151,2022-03-31,2020-04-07,"4211 W. BOY SCOUT BLVD, SUITE 800",TAMPA,United States,33607,FL,GOVDOCS@CORPCREATIONS.COM,"BRP MEDICARE INSURANCE III, LLC",Foreign,United States,2020-04-07,FL,FL,False,False,False,False,False,Insurance Agencies and Brokerages (524210),,2021-11-10 00:08:35.7300000,,,,"4211 W. BOY SCOUT BLVD, SUITE 800, TAMPA, FL, 33607, United States","4211 W. BOY SCOUT BLVD, SUITE 800",TAMPA,FL,33607,United States,"4211 W. BOY SCOUT BLVD, SUITE 800, TAMPA, FL, 33607, United States","4211 W. BOY SCOUT BLVD, SUITE 800",TAMPA,FL,33607,United States,,,,,
MAGNI ENTERPRISES LLC,LLC,Active,1341152,2021-03-31,,4103 TOWN WALK DRIVE,HAMDEN,United States,06518,CT,GERARD.CEO@IMPERIUMINVESTMENTSONLINE.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
BUBACA OPE CREST LLC,LLC,Active,1341153,2022-03-31,,74 BELLEVUE AVENUE,WEST HAVEN,United States,06516,CT,compliance@myllc.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
I-1 DOG FOOD (INGREDIENTS 1ST) LLC,LLC,Active,1341154,2021-03-31,,14 ROXWOOD RD,QUAKER HILL,United States,06375,CT,DOCUMENTS@DIRECTINCORP.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Dog and Cat Food Manufacturing (311111),311111.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
BAAZEL MAX ADVERTISING LLC,LLC,Active,1341155,2022-03-31,,74 BELLEVUE AVENUE,WEST HAVEN,United States,06516,CT,compliance@myllc.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
FOREVERGREEN ACRES LLC,LLC,Active,1341156,2021-03-31,,48 BLAKEMAN ROAD,PLYMOUTH,,06782,CT,YONG@CIAMPITAX.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,All Other Grain Farming (111199),111199.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
CUSTOM HOME IMPROVEMENTS LLC,LLC,Active,1341157,2022-03-31,,30 DEER RUN,PLANTSVILLE,United States,06479,CT,customhi2020@gmail.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
"EAST HARTFORD COMMUNITY GARDEN, INC.",Non-Stock,Active,1341158,2020-07-06,,No information provided,,,,,,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7800000,,,First report past due,,,,,,,,,,,,,,,Failure to file First Report,,
"YOU, ME & THE MOON LLC",LLC,Active,1341159,2022-03-31,,67 WESTWOOD KNOLLS #325 SOUTH,MERIDEN,United States,06450,CT,filings@corpnet.com,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
SHAKETHATWING CT INC,Stock,Active,1341160,2021-12-16,,333 TYLER AVE.,GROTON,United States,06340,CT,MTOCHLUK@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:35.7800000,,200.0,Annual report due,,,,,,,,,,,,,,,,,
UKUEDOJOR ROYAL CARRIERS CORP.,B Corp,Active,1341161,2020-07-06,,No information provided,,,,,ORIUKUEDOJORTECHS@GMAIL.COM,,Domestic,,2020-04-07,CT,Connecticut,True,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:08:35.7800000,,1.0,First report past due,,,,,,,,,,,,,,,Failure to file First Report,,
