name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
SHERMAN PKWY LLC,LLC,Active,1335470,2022-03-31,507 SHERMAN PARKWAY STE 100,NEW HAVEN,United States,06511,CT,eastern@northwestregisteredagent.com,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:38.3100000,,,,,,,,,,,,,,,,,,,,,,
NATURALLY GLAMOROUS SKIN CARE LLC,LLC,Active,1335471,2021-03-31,548 WILSON ST APT 16,WATERBURY,United States,06708,CT,EFILE1234@INCFILE.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"DTIG, LLC",LLC,Active,1335472,2021-03-31,"C/O CIRONE FRIEDBERG 6 RESEARCH DRIVE, SUITE 450",SHELTON,United States,06484,CT,DTIGROUP8@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
ELAINE K FITNESS LLC,LLC,Active,1335473,2022-03-31,22 CALHOUN AVENUE,TRUMBULL,United States,06611,CT,elainekfit22@gmail.com,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
OAK LEARNERS NATURAL CHILD CARE LLC,LLC,Active,1335475,2021-03-31,46 WOODBURY AVE,STAMFORD,United States,06907,CT,JAMES@AMESUR.NET,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Child Day Care Services (624410),624410.0,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"THE JOYCE HAWKINS COMPANY, INC.",Stock,Active,1335476,2022-02-06,"3541 QUIET CREEK CT., SW SUITE 500",MARIETTA,United States,30060,GA,kim@campbellsterling.com,Foreign,2020-02-06,DE,DE,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",,2021-11-10 00:08:38.3400000,,,2020-02-06,"THE JOYCE HAWKINS COMPANY, INC.",United States,,,,,,,,,,,,,,,,,
SUNSET STONE CONSTRUCTION LLC,LLC,Active,1335477,2021-03-31,14 WHITE RD,NORTHFIELD,United States,06778,CT,EFILE1234@INCFILE.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"ALL STAR BASEBALL CAMP, LLC",LLC,Active,1335478,2021-03-31,1291 AVON BLVD.,CHESHIRE,United States,06410,CT,SALCOPPOLA@SBCGLOBAL.NET,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
LATRAILZ LLC,LLC,Active,1335479,2021-03-31,8322 CLOUD ST,LAUREL,United States,20724,MD,EFILE1234@INCFILE.COM,Domestic,2020-02-06,MD,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
MINDY NAIL SALON LLC,LLC,Active,1335480,2021-03-31,1050 BRIDGEPORT AVENUE,MILFORD,United States,06460,CT,YHPTAX@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Nail Salons (812113),812113.0,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CROSSLAND PROPERTY RESOURCES, LLC",LLC,Active,1335481,2021-03-31,585 EAST COTTON HILL RD,NEW HARTFORD,United States,06057-3409,CT,CROSSLANDPROPRESOURCESLLC@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CFO CONSULTING SERVICES, LLC",LLC,Active,1335482,2022-03-31,11 JOE STONE WAY,NORTH BRANFORD,United States,06471,CT,ADAM.CANOSA@OUTLOOK.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Other Accounting Services (541219),,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
"CAFE AURA CATERING, LLC",LLC,Active,1335483,2022-03-31,45 EAST CENTER STREET,MANCHESTER,United States,06040,CT,RANDY@CAFEAURA.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Caterers (722320),722320.0,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
PAXTON INVESTMENTS LLC,LLC,Active,1335484,2022-03-31,299 FARMDALE ROAD,WATERTOWN,United States,06795,CT,EFILE1234@INCFILE.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Child Day Care Services (624410),,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
SIMULATION EDUCATION LLC,LLC,Active,1335485,2022-03-31,31 PROVIDENCE NEW LONDON TPKE,NORTH STONINGTON,United States,06359,CT,EFILE1234@INCFILE.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
ISH'S DELICIOUS LLC,LLC,Active,1335486,2021-03-31,902 BOSTON POST RD,MILFORD,United States,06460,CT,EFILE1234@INCFILE.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
WHEAT FREE WILLIAMS LLC,LLC,Active,1335488,2022-03-31,480 OCEAN DRIVE WEST,STAMFORD,United States,06902,CT,natalia@wheatfreewilliams.com,Domestic,2020-02-06,CT,Connecticut,True,False,False,False,False,Baked Goods Stores (445291),445291.0,2021-11-10 00:08:38.3400000,,,,,,,,,,,,,,,,,,,,,,
"82 WALTER LANE, LLC",LLC,Active,1335489,2021-03-31,1291 AVON BLVD.,CHESHIRE,United States,06410,CT,SALCOPPOLA@SBCGLOBAL.NET,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
WILDER AGUSTIN LLC,LLC,Dissolved,1335490,2021-03-31,14 DRYDEN ST,STAMFORD,United States,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,2021-10-26T00:00:00.000,,,,,,,,,,,,,,,,,,,,
PABO'S GARAGE LLC,LLC,Active,1335491,2021-03-31,69 DAVID DRIVE,MERIDEN,United States,06450,CT,BANDRELSKI@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
TEXCONSULT USA LLC,LLC,Active,1335492,2021-03-31,32 BURNING TREE ROAD,GREENWICH,United States,06830,CT,MARIO@MUSILLILAW.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Home Furnishing Merchant Wholesalers (423220),423220.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"STEEPLECHASE REALTY, LLC",LLC,Active,1335493,2021-03-31,241 MAIN STREET,HARTFORD,United States,06106,CT,STAN@STSWORLD.NET,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"SECURED WELDING, LLC",LLC,Active,1335494,2021-03-31,34 TYLER ST EXT UNIT 4,EAST HAVEN,United States,06512,CT,YENTRUOKMEREDITH@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
REAL ESTATE INVESTORS LLC,LLC,Active,1335495,2021-03-31,1960 WHITNEY AVE,HAMDEN,United States,06517,CT,WRACCIO@RACCIOLAW.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"21 PARKER PLACE, LLC",LLC,Active,1335496,2021-03-31,"NEUBERT, PEPE & MONTEITH, P.C. 195 CHURCH STREET",NEW HAVEN,United States,06510,CT,RGRADOVILLE@NPMLAW.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BOOMFLEX LLC,LLC,Active,1335499,2022-03-31,2130 JAMES FARM RD,STRATFORD,United States,06614,CT,alice@boomflex.co,Domestic,2020-02-06,CT,Connecticut,True,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:38.3866667,,,,,,,,,,,,,,,,,,,,,,
"MADMACY INVESTMENTS, LLC",LLC,Active,1335500,2021-03-31,132 BELDEN HILL ROAD,WILTON,United States,06897,CT,MICHAEL.LEBEAU@SCRUM50.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"HARIBO OF AMERICA, INC.",Stock,Active,1335501,2022-02-06,"9500 BRYN MAWR AVENUE, SUITE 700",ROSEMONT,United States,60018,IL,SWESTFALL@MASUDAFUNAI.COM,Foreign,2020-02-06,DE,DE,False,False,False,False,False,Nonchocolate Confectionery Manufacturing (311340),311340.0,2021-11-10 00:08:38.3866667,,,2019-11-01,"HARIBO OF AMERICA, INC.",United States,,,,,,,,,,,,,,,,,
"IRELAND BUILDING AND DEVELOPMENT, LLC",LLC,Active,1335502,2022-03-31,1275 CROMWELL AVENUE UNIT A-12,ROCKY HILL,United States,06067,CT,irelandd@bu.edu,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:08:38.3866667,,,,,,,,,,,,,,,,,,,,,,
BRIDGEWATER INVESTMENTS LLC,LLC,Dissolved,1335503,2021-03-31,11 SOUTH ALTON STREET,MANCHESTER,United States,06040,CT,BRIDGEWATERINVESTSLLC@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.3866667,,2021-02-22T00:00:00.000,,,,,,,,,,,,,,,,,,,,
ALPHA PEST CONTROL LLC,LLC,Active,1335504,2021-03-31,204 BROAD ST,MERIDEN,United States,06450,CT,GARNETTKYLE@YAHOO.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,"Environment, Conservation and Wildlife Organizations (813312)",813312.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"TECHMODE, LLC",LLC,Active,1335505,2022-03-31,"1091 CENTRE ROAD, SUITE 230",AUBURN HILLS,United States,48326,MI,kmh@commpliancegroup.com,Foreign,2020-02-06,MI,MI,False,False,False,False,False,Communication Equipment Repair and Maintenance (811213),811213.0,2021-11-10 00:08:38.3866667,,,2020-02-24,"TECHMODE, LLC",United States,,,"1091 CENTRE ROAD, SUITE 230, AUBURN HILLS, MI, 48326, United States","1091 CENTRE ROAD, SUITE 230",AUBURN HILLS,MI,48326,"1091 CENTRE ROAD, SUITE 230, AUBURN HILLS, MI, 48326, United States","1091 CENTRE ROAD, SUITE 230",AUBURN HILLS,MI,48326,United States,United States,,,
SOUTHEAST CONNECTICUT OPTICAL LLC,LLC,Active,1335506,2022-03-31,33 ADELINE PLACE,MANSFIELD,United States,06250,CT,kevincranmer@hotmail.com,Domestic,2020-02-06,CT,Connecticut,False,True,False,False,False,Optical Goods Stores (446130),446130.0,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
SPRAY BOOTH SERVICE CO,Stock,Dissolved,1335507,2022-02-12,2389 MAIN STREET SUITE 100,GLASTONBURY,United States,06033,CT,rborino@gmail.com,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (811310),811310.0,2021-11-10 00:08:38.8566667,,2021-05-29T00:00:00.000,,,,,100.0,,,,,,,,,,,,,,,
WRV HOME IMPROVEMENT LLC,LLC,Active,1335508,2021-03-31,163 SOUTH ST UNIT 51,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:38.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SUNSET ACCOUNT SERVICES LLC,LLC,Active,1335509,2022-03-31,56 MAGNOLIA CIR,SHELTON,United States,06484,CT,val@sunsetct.com,Domestic,2020-02-06,CT,Connecticut,True,False,False,False,False,Other Accounting Services (541219),541219.0,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
MAIMON CONSULTING LLC,LLC,Active,1335510,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
MACIDE CORP.,Stock,Active,1335513,2021-12-01,30 ARVIDA RD,WOLCOTT,United States,06716,CT,BENARDUNICA@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:08:38.8566667,Annual report due,,,,,,100.0,,,,,,,,,,,,,,,
"KKL PROPERTIES,LLC",LLC,Active,1335514,2022-03-31,29 WATERHOLE RD,EAST HAMPTON,United States,06424,CT,klanou29@comcast.net,Domestic,2020-02-06,CT,Connecticut,True,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
VESHI LLC,LLC,Dissolved,1335515,2021-03-31,282 CAVAN LN,GLASTONBURY,United States,06033,CT,SULEJMANVESHI@YAHOO.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:38.8566667,,2021-05-11T00:00:00.000,,,,,,,,,,,,,,,,,,,,
"IDALIA MARIE, LLC",LLC,Active,1335516,2021-03-31,55 WHITING STREET SUITE 1A,PLAINVILLE,United States,06062,CT,IDALIAMARIESKIN@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:38.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"NORTH STONINGTON BUSINESS COMMUNITY, LLC",LLC,Active,1335517,2022-03-31,26 CEDAR DRIVE,NORTH STONINGTON,United States,06359,CT,INFO@NORTHSTONINGTONBUSINESS.COM,Domestic,2020-02-06,CT,Connecticut,True,False,True,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
"COL�N COLLECTIONS, LLC",LLC,Active,1335518,2022-03-31,10 ELAINE DRIVE,SEYMOUR,United States,06483,CT,coloncollections@gmail.com,Domestic,2020-02-06,CT,Connecticut,True,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
GREENHILL ASSET MANAGEMENT LLC,LLC,Active,1335519,2021-03-31,20 ATHOL PLACE,HAMDEN,United States,06517,CT,BHULL26@HOTMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"PCHE VENTURES, LLC",LLC,Active,1335520,2021-03-31,40 WOODSIDE CIRCLE,SIMSBURY,United States,06070-2339,CT,PMONROE13@HOTMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:38.8566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BR BIKINIS LLC,LLC,Dissolved,1335454,2021-03-31,139 HIGHVIEW AVENUE,STAMFORD,United States,06907,CT,BRBIKINISLLC@GMAIL.COM,Domestic,2020-02-06,CT,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),,2021-11-10 00:05:06.5300000,,2020-11-05T00:00:00.000,,,,,,,,,,,,,,,,,,,,
JG FRANK AND COMPANY LLC,LLC,Dissolved,1335511,2021-03-31,265 FRANKLIN STREET STE. 1702,BOSTON,United States,02110,MA,MHGREENE@JGFRANK.COM,Domestic,2020-02-06,MA,Connecticut,False,False,False,False,False,Human Resources Consulting Services (541612),,2021-11-10 00:03:36.4600000,,2020-08-04T00:00:00.000,,,,,,,,,,,,,,,,,,,,
"ECO PARKING TECHNOLOGIES, LLC",LLC,Active,1337016,2022-03-31,8730 CORPORATION DRIVE,INDIANAPOLIS,United States,46256,IN,accounting@ecoparkingtech.com,Foreign,2020-02-07,IN,IN,False,False,False,False,False,Other Building Equipment Contractors (238290),,2021-11-10 00:08:35.0300000,,,2020-02-28,"ECO PARKING TECHNOLOGIES, LLC",United States,,,,,,,,,,,,,,,,,
MOUNT LAVERNA CO.,Non-Stock,Active,1337018,2020-05-07,No information provided,,,,,,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.0733333,First report past due,,,,,Failure to file First Report,,,,,,,,,,,,,,,,
DIREC LLC,LLC,Active,1337032,2021-03-31,501 WEST MAIN ST. APT 3A,STAMFORD,,06902,CT,DIRECLLC@GMAIL.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.0733333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
RHOADES ENGINEERING CORPORATION,Stock,Active,1337042,2022-02-07,4801 HENRY STREET,MUSKEGON,,49441,MI,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-02-07,MI,MI,False,False,False,False,False,All Other Specialty Trade Contractors (238990),,2021-11-10 00:08:35.6533333,,,2020-02-26,RHOADES ENGINEERING CORPORATION,,,,,,,,,,,,,,,,,,
"CARESWITCH I E, LLC",LLC,Active,1337124,2021-03-31,33 W. 19TH ST. FL. 4,NEW YORK,,10011,NY,,Foreign,2020-02-07,DE,DE,False,False,False,False,False,,,2021-11-10 00:08:36.2466667,Annual report past due,,2020-02-05,"CARESWITCH I E, LLC",,,,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904,",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904,",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,,,,,
"RESCUE TEMPLE EHT, INC.",Religious,Active,1337729,,No information provided,,,,,,Domestic,2020-02-07,,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.2933333,,,,,,,,,,,,,,,,,,,,,,
ELIJAH MEDIA MINISTRIES INTERNATIONAL (EMMI),Religious,Active,1337732,,No information provided,,,,,,Domestic,2020-02-07,,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.2933333,,,,,,,,,,,,,,,,,,,,,,
"SECURED MORTGAGE PROCESSING, LLC",LLC,Active,1337750,2022-03-31,1910 S. STAPLEY DRIVE STE 221 OFFICE #270,MESA,United States,85204,AZ,sos@mymortgagelicense.com,Foreign,2020-02-07,AZ,AZ,False,False,False,False,False,Real Estate Credit (522292),,2021-11-10 00:08:36.3233333,,,2020-03-01,"SECURED MORTGAGE PROCESSING, LLC",United States,,,,,,,,,,,,,,,,,
"A & A INVESTMENTS, LLC",LLC,Dissolved,1332374,2021-03-31,408 LONG MEADOW ROAD,MIDDLEBURY,United States,06762,CT,JENNIFERABOUSADA@GMAIL.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:38.8733333,Annual report past due,2021-11-02T00:00:00.000,,,,,,,,,,,,,,,,,,,,
FAST REMODELING LLC,LLC,Active,1335236,2021-03-31,41 HUNDLEY COURT,STAMFORD,,06902,CT,FASTREMODELING@GMAIL.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:37.6066667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"NZSL LANDSCAPING, INC.",Stock,Active,1335238,2021-02-07,47 CEDAR SWAMP ROAD UNIT 16,SMITHFIELD,United States,02917,RI,MHOWELL@MCLAUGHLINQUINN.COM,Foreign,2020-02-07,RI,RI,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:37.6066667,Annual report past due,,2020-02-07,"NZSL LANDSCAPING, INC.",United States,,,,,,,,,,,,,,,,,
PRO POWER CLEAN LLC,LLC,Active,1335246,2021-03-31,270 ROOT RD.,COVENTRY,United States,06238,CT,INFO@ANSPM.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:37.6066667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"THE HILLS ELEVEN UNIT OWNER'S SUB-ASSOCIATION, INC.",Non-Stock,Active,1335269,2022-02-07,194 FITCHVILLE ROAD,BOZRAH,United States,06334,CT,alex@pledgepm.com,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),0.0,2021-11-10 00:08:37.6833333,,,,,,,,,,,,,,,,,,,,,,
THREE QUEENS LLC,LLC,Active,1335270,2022-03-31,297 SUMMIT ST,NEW HAVEN,United States,06513,CT,threequeen.llc@gmail.com,Domestic,2020-02-07,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:37.6833333,,,,,,,,,,,,,,,,,,,,,,
"THE HILLS TWELVE & THIRTEEN UNIT OWNER'S SUB-ASSOCIATION, INC.",Non-Stock,Active,1335340,2022-02-07,194 FITCHVILLE ROAD,BOZRAH,United States,06334,CT,ALEX@PLEDGEPM.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),0.0,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,ejohnson@bjslawyers.com,,
BTD REALTY LLC,LLC,Active,1335350,2022-03-31,111 JOBS HILL ROAD,ELLINGTON,United States,06029,CT,drussell@bollesmotors.com,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:38.8566667,,,,,,,,,,,,,,,,,,,,,,
"GELLER MANAGEMENT 3, LLC",LLC,Active,1335354,2022-03-31,101 EISENHOWER PARKWAY SUITE 304,ROSELAND,United States,07068,NJ,Compliancemail@cscinfo.com,Foreign,2020-02-07,FL,FL,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:08:38.8566667,,,2019-07-17,"GELLER MANAGEMENT 3, LLC",United States,,,"17040 HUNTINGTON PARKWAY, BOCA RATON, FL, 33496,",17040 HUNTINGTON PARKWAY,BOCA RATON,FL,33496,"17040 HUNTINGTON PARKWAY, BOCA RATON, FL, 33496, United States",17040 HUNTINGTON PARKWAY,BOCA RATON,FL,33496,,United States,,,
"CALAMAR CONSTRUCTION NORTH AMERICA, LLC",LLC,Active,1335355,2021-03-31,3949 FOREST PARKWAY SUITE 100,WHEATFIELD,,14120,NY,,Foreign,2020-02-07,DE,DE,False,False,False,False,False,,,2021-11-10 00:08:38.8566667,Annual report past due,,2020-01-01,"CALAMAR CONSTRUCTION NORTH AMERICA, LLC",,,,,,,,,,,,,,,,,,
CHICAGO MORTGAGE SOLUTIONS LLC,LLC,Active,1335356,2022-03-31,9525 W. BRYN MAWR AVE SUITE 400,ROSEMONT,United States,60018,IL,JHOOD@INTERFIRST.COM,Foreign,2020-02-07,IL,IL,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),,2021-11-10 00:08:38.8866667,,,2020-02-07,CHICAGO MORTGAGE SOLUTIONS LLC,United States,,,"9525 W. BRYN MAWR AVE SUITE 400, ROSEMONT, IL, 60018, United States",9525 W. BRYN MAWR AVE SUITE 400,ROSEMONT,IL,60018,"9525 W. BRYN MAWR AVE SUITE 400, ROSEMONT, IL, 60018, United States",9525 W. BRYN MAWR AVE SUITE 400,ROSEMONT,IL,60018,United States,United States,,,
"WOUND CARE CENTERS, LLC",LLC,Active,1335358,2022-03-31,5220 BELFORT ROAD SUITE 130,JACKSONVILLE,United States,32256,FL,Tax@Healogics.com,Foreign,2020-02-07,MN,MN,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),,2021-11-10 00:08:38.8866667,,,2020-01-22,"WOUND CARE CENTERS, LLC",United States,,,"2345 RICE STREET SUITE 230, ROSEVILLE, MN, 55113, United States",2345 RICE STREET SUITE 230,ROSEVILLE,MN,55113,"2345 RICE STREET SUITE 230, ROSEVILLE, MN, 55113, United States",2345 RICE STREET SUITE 230,ROSEVILLE,MN,55113,United States,United States,,,
VALLEY AGENCY COMPANY,Stock,Active,1335369,2022-02-07,797 FIFTH AVENUE,CHAMBERSBURG,United States,17201,PA,jeanniebrant@valley-agency.com,Foreign,2020-02-07,PA,PA,False,False,False,False,False,Insurance Agencies and Brokerages (524210),,2021-11-10 00:08:38.9033333,,,2020-02-01,VALLEY AGENCY COMPANY,United States,,,,,,,,,,,,,,,,,
AUTUMN CITY SOUNDS LLC,LLC,Active,1335370,2021-03-31,31 ASHFORD ST,HARTFORD,United States,06120,CT,AUTUMNCITYSOUNDS@GMAIL.COM,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:38.9033333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
44 OLIVE STREET GROUND OWNER LLC,LLC,Active,1335380,2022-03-31,1114 AVENUE OF THE AMERICAS 39 FL,NEW YORK,United States,10036,NY,ishurinova@istar.com,Foreign,2020-02-07,DE,DE,False,False,False,False,False,Lessors of Other Real Estate Property (531190),0.0,2021-11-10 00:08:38.9333333,,,2020-02-07,44 OLIVE STREET GROUND OWNER LLC,United States,,,,,,,,,,,,,,,,,
"COLOUR ME QUEEN BOUTIQUE, LLC",LLC,Active,1335387,2021-03-31,61 PURDY ROAD,WATERBURY,United States,06706,CT,COLOURMEQUEENBOUTIQUE@GMAIL.COM,Domestic,2020-02-07,CT,Connecticut,True,False,True,False,False,Women's Clothing Stores (448120),448120.0,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
VACATIONLINE LLC,LLC,Active,1335395,2022-03-31,8 ALAN DRIVE,WEATOGUE,United States,06089,CT,vacationline2@gmail.com,Domestic,2020-02-07,CT,Connecticut,False,False,False,False,False,Travel Agencies (561510),561510.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,
