name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address,mailing_jurisdiction_3,office_jurisdiction_3
"CARMAZING, LLC",LLC,Active,1332393,2022-03-31,43 NORTH AVENUE,BRIDGEPORT,United States,06606,CT,mnunnink@bmwofbridgeport.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),,2021-11-10 00:08:38.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
"209 WEST HIGH, LLC",LLC,Active,1332395,2022-03-31,244 MIDDLETOWN AVE,EAST HAMPTON,United States,06424,CT,wayne@randci.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:38.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
WELLNESS 360 LLC,LLC,Active,1332421,2021-03-31,78 HAMPDEN RD.,STAFFORD SPRINGS,United States,06076,CT,JILLINA11@HOTMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
KOVO ESSENTIALS INC,Stock,Active,1332422,2022-01-09,572 HIGH RIDGE ROAD,STAMFORD,United States,06905,CT,Michael.bongiorno@kovoessentials.com,Foreign,2020-01-09,DE,DE,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:39.4500000,,2020-01-02,KOVO ESSENTIALS INC,United States,,,,,,,,,,,,,,,,,,,,,
TABER & SONS LLC,LLC,Active,1332423,2021-03-31,63 NEWTON ST,NEW BEDFORD,United States,02740,MA,TABERANDSONSLLC@GMAIL.COM,Foreign,2020-01-09,MA,MA,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:39.4500000,Annual report past due,2020-01-09,TABER & SONS LLC,United States,"63 NEWTON ST, NEW BEDFORD, MA, 02740, United States",63 NEWTON ST,NEW BEDFORD,MA,02740,United States,"63 NEWTON ST, NEW BEDFORD, MA, 02740, United States",63 NEWTON ST,NEW BEDFORD,MA,02740,United States,,,,,,,,,
CURIOSITEA LLC,LLC,Active,1332424,2021-03-31,685 WALLINGFORD ROAD,CHESHIRE,United States,06410,CT,CURIOSITEASHOPPE@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ANGELCAKES LLC,LLC,Active,1332425,2021-03-31,3 GAMMELLO AVE,ENFIELD,United States,06082,CT,ANGELCAKES3810@COX.NET,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Caterers (722320),722320.0,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SENIOR HELP AND INSURANCE LLC,LLC,Dissolved,1332426,2021-03-31,54 CEDARHURST LN,FAIRFIELD,United States,06825,CT,WJDONNE@YAHOO.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,All Other Insurance Related Activities (524298),524298.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,2021-02-15T00:00:00.000,,,,,,,
"USHERWOOD BUSINESS EQUIPMENT, INC.",Stock,Active,1332428,2022-01-09,1005 W. FAYETTE ST.,SYRACUSE,United States,13204,NY,ap@usherwood.com,Foreign,2020-01-09,NY,NY,False,False,False,False,False,Office Machinery and Equipment Rental and Leasing (532420),532420.0,2021-11-10 00:08:39.4500000,,2019-03-07,"USHERWOOD BUSINESS EQUIPMENT, INC.",United States,,,,,,,,,,,,,,,,,,,,,
"SKS COUNSELING SERVICES, INC.",Stock,Active,1332430,2022-01-16,210 WESTCOTT ROAD,DANIELSON,United States,06239,CT,sksczuroski@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,"Offices of Physicians, Mental Health Specialists (621112)",621112.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,1000.0,,,,,,,,
GRISWOLD DIVERSIFIED SERVICES LLC,LLC,Active,1332432,2022-03-31,300 CHURCH STREET,WETHERSFIELD,United States,06109,CT,tverre@snet.net,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,All Other Support Services (561990),561990.0,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
"STREICKER FOR CONGRESS, INC.",Non-Stock,Active,1332435,2020-04-08,No information provided,,,,,CONNECT@STREICKER2020.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4966667,First report past due,,,,,,,,,,,,,,,,,,Failure to file First Report,,,,,,
ICS ENTERPRISES LLC,LLC,Active,1332436,2021-03-31,34 HIGHLAND AVE. 1 FLOOR  34 HIGHLAND AVE. 1 FLOOR,EAST HAVEN,United States,06513,CT,FRANFERSUAREZNARANJO@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,True,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:08:39.4966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JZS LLC,LLC,Active,1332437,2022-03-31,1651 JENNINGS RD.,FAIRFIELD,United States,06824,CT,rissa6280@msn.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,All Other Information Services (519190),,2021-11-10 00:08:39.4966667,,,,,,,,,,,,,,,,,,,,,,,,,
PE TRADING AND SHIPPING LLC,LLC,Active,1332438,2021-03-31,1 BLUE RIBBON DRIVE,WESTPORT,United States,06880,CT,PEDRO@TANKSHIPINTL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
INSPIRE HEALTH AND WELLNESS LLC,LLC,Active,1332439,2022-03-31,31 STABLE LANE,MIDDLETOWN,United States,06457,CT,dljascot@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:39.4966667,,,,,,,,,,,,,,,,,,,,,,,,,
"ROYAL COMMUNICATIONS CENTER, LLC.",LLC,Active,1332440,2021-03-31,25 VAN ZANT ST. 4TH FLOOR,NORWALK,United States,06855,CT,INFO@YOUNGEXEKUTIVE.COM,Domestic,2020-01-09,CT,Connecticut,False,False,True,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:08:39.4966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RL TAX & CONSULTING LLC,LLC,Active,1332441,2021-03-31,7 THOMPSON STREET,STRATFORD,United States,06615,CT,RLTAXANDCONSULTING@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,True,False,False,Other Accounting Services (541219),541219.0,2021-11-10 00:08:39.4966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
1355 EAST MAIN LLC,LLC,Active,1332442,2022-03-31,1350 EAST MAIN STREET,TORRINGTON,United States,06790,CT,daveu@torringtontoyota.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:39.4966667,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL ASSOCIATION OF NIGERIAN NURSES IN NORTH AMERICA:CONNECTICUT CHAPTER INC.(NANNNA-CT),Non-Stock,Active,1332443,2022-01-10,62 HIGH ROCK RD,SANDY HOOK,United States,06482,CT,SANYOHA@SBCGLOBAL.NET,Domestic,2020-01-09,CT,Connecticut,False,False,True,False,False,Voluntary Health Organizations (813212),813212.0,2021-11-10 00:08:39.4966667,,,,,,,,,,,,,,,,,,,,,,,,,
"HALO HOMES, LLC",LLC,Active,1332471,2022-03-31,24 MICHELLE LANE,WINDSOR,United States,06095,CT,samuelschristopher@sbcglobal.net,Domestic,2020-01-09,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:36.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"CERDANT, INC.",Stock,Active,1332475,2022-01-09,5747 PERIMETER DR. STE 110,DUBLIN,United States,43017,OH,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-01-09,OH,OH,False,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",518210.0,2021-11-10 00:08:36.9200000,,2019-12-01,"CERDANT, INC.",United States,,,,,,,,,,,,,,,,,,,,,
"MIDDLE-66, LLC",LLC,Active,1332476,2021-03-31,244 MIDDLETOWN AVE,EAST HAMPTON,,06424,CT,,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"PKS ADVISORY SERVICES, LLC",LLC,Active,1332477,2022-03-31,80 STATE STREET,ALBANY,United States,12207,NY,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2020-01-09,NY,NY,False,False,False,False,False,Insurance Agencies and Brokerages (524210),,2021-11-10 00:08:36.9200000,,2019-12-20,"PKS ADVISORY SERVICES, LLC",United States,"18 CORPORATE WOODS BLVD., ALBANY, NY, 12211,",18 CORPORATE WOODS BLVD.,ALBANY,NY,12211,,"18 CORPORATE WOODS BLVD., ALBANY, NY, 12211,",18 CORPORATE WOODS BLVD.,ALBANY,NY,12211,,,,,,,,,,
"DYAD CONSTRUCTION, LLC",LLC,Active,1332478,2021-03-31,"61 WILSON AVE, 2ND FLOOR",WINDSOR,,06095,CT,918DOZEN@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
GOODKIND HOSPITALITY LLC,LLC,Active,1332479,2022-03-31,"275 MADISON AVENUE, SUITE 501",NEW YORK,United States,10036,NY,jbraver@thegoodkindgroup.com,Foreign,2020-01-09,DE,DE,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:08:36.9200000,,2020-02-01,GOODKIND HOSPITALITY LLC,United States,"160 GREENTREE DRIVE, SUITE 101, CITY OF DOVER, NY, 19904,","160 GREENTREE DRIVE, SUITE 101",CITY OF DOVER,NY,19904,,"160 GREENTREE DRIVE, SUITE 101, CITY OF DOVER, DE, 19904, United States","160 GREENTREE DRIVE, SUITE 101",CITY OF DOVER,DE,19904,United States,,,,,,,,,
ARMSTRONG SECURITIES LLC,LLC,Active,1332481,2022-03-31,"53 FOREST AVENUE, SUITE 301",OLD GREENWICH,United States,06870,CT,LArgudo@ellington.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Investment Banking and Securities Dealing (523110),,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
ASCENDUM SOLUTIONS LLC,LLC,Active,1332482,2022-03-31,10290 ALLIANCE ROAD,CINCINNATI,United States,45242,OH,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-01-09,OH,OH,False,False,False,False,False,Computer Systems Design Services (541512),,2021-11-10 00:08:36.9200000,,2019-12-16,ASCENDUM SOLUTIONS LLC,United States,"10290 ALLIANCE ROAD, CINCINNATI, OH, 45242,",10290 ALLIANCE ROAD,CINCINNATI,OH,45242,,"10290 ALLIANCE ROAD, CINCINNATI, OH, 45242, United States",10290 ALLIANCE ROAD,CINCINNATI,OH,45242,United States,,,,,,,,,
DNV GREENPOWERMONITOR USA INC.,Stock,Active,1332483,2022-01-09,1400 RAVELLO DRIVE,KATY,United States,77449,TX,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2020-01-09,DE,DE,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),541690.0,2021-11-10 00:08:36.9200000,,2020-01-01,DNV GREENPOWERMONITOR USA INC.,United States,,,,,,,,,,,,,,,,,,,,,
EAST GRANBY ROAD LLC,LLC,Active,1332484,2022-03-31,156 ARROWHEAD DRIVE,NEW HARTFORD,United States,06057,CT,jficca7493@aol.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
888 MAIN STREET LLC,LLC,Active,1332485,2022-03-31,970 FARMINGTON AVENUE,WEST HARTFORD,United States,06107,CT,btemkin@brucetemkin.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
FREEDON FUEL LLC,LLC,Active,1332486,2021-03-31,73 CEDAR ST APT B6,NORWICH,United States,06360,CT,JOSHMILLER0788@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Fuel Dealers (454310),454310.0,2021-11-10 00:08:36.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JU AND DU INC,Stock,Active,1332487,2022-01-13,1350 EAST MAIN STREET,TORRRINGTON,United States,06790,CT,daveu@torringtontoyota.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,New Car Dealers (441110),441110.0,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,500.0,,,,,,,,
CT POP EVENTS LLC,LLC,Active,1332488,2021-03-31,461 BANK ST APT 310,NEW LONDON,United States,06320,CT,CTPOPEVENTS@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:36.9200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BRYTRE LIVING LLC,LLC,Active,1332489,2022-03-31,21 SOUTH RD.,BOLTON,United States,06043,CT,fsears18@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,True,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELL CONSULTING LLC,LLC,Dissolved,1332491,2021-03-31,276 ELEVEN OCLOCK ROAD,FAIRFIELD,United States,06824,CT,MELCAMPCONSULTING@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.9200000,,,,,,,,,,,,,,,,,,2021-02-22T00:00:00.000,,,,,,,
SUNSHINE REAL ESTATE HOLDINGS LLC,LLC,Active,1332492,2022-03-31,133BALTIMORE AVE '',MASSAPEQUA,United States,11758,NY,chrispropdev@gmail.com,Domestic,2020-01-09,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
LEAD LEGISLATIVE SOLUTIONS LLC,LLC,Active,1332493,2021-03-31,51 PAYTON TERRACE,BRISTOL,United States,06010,CT,HJLEMEK@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Other General Government Support (921190),921190.0,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"THE SWEAT HOUSE FITNESS, LLC",LLC,Active,1332494,2022-03-31,898 SPORT HILL ROAD,EASTON,United States,06612,CT,Jessica.Figliuzzi@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
BRITO SERVICES LLC,LLC,Active,1332495,2021-03-31,49 ROWE AV,HARTFORD,United States,06106,CT,CLEINEILSON198@HOTMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"BUSTER'S DRIVE IN, LLC",LLC,Active,1332496,2021-03-31,150 LYNN ROAD,BRISTOL,United States,06010,CT,BLAKECITY@AOL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BRISTOL ESTATES LLC,LLC,Active,1332497,2022-03-31,309 RUTLEDGE ST. 2A,BROOKLYN,United States,11211,NY,skatz@premiumgt.com,Domestic,2020-01-09,NY,Connecticut,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
"5 STAR ENERGY SOLUTIONS, LLC",LLC,Dissolved,1332499,2021-03-31,25 LASSY COURT,TERRYVILLE,United States,06786,CT,MATT@MPLSOLUTIONS.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),238310.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,2021-03-30T00:00:00.000,,,,,,,
"VOIP INNOVATIONS, LLC",LLC,Active,1332500,2022-03-31,EIGHT PENN CENTER WEST SUITE 101,PITTSBURGH,United States,15276,PA,sosteam@csilongwood.com,Foreign,2020-01-09,DE,DE,False,False,False,False,False,Telecommunications Resellers (517911),517911.0,2021-11-10 00:08:36.9666667,,2020-01-09,"VOIP INNOVATIONS, LLC",United States,"CORPORATION TRUST CENTER, 1209 ORANGE ST, WILMINGTON, DE, 19801, United States","CORPORATION TRUST CENTER, 1209 ORANGE ST",WILMINGTON,DE,19801,United States,"CORPORATION TRUST CENTER, 1209 ORANGE ST, WILMINGTON, DE, 19801, United States","CORPORATION TRUST CENTER, 1209 ORANGE ST",WILMINGTON,DE,19801,United States,,,,,,,,,
D&K DELIVERY LLC,LLC,Active,1332501,2021-03-31,136 SAINT STEPHENS RD BLDG 10 APT 206,BRIDGEPORT,United States,06605,CT,EFILE1234@INCFILE.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"LUXURY TRAVEL EXPERTS, LLC",LLC,Active,1332502,2022-03-31,35 LONG POINT ROAD,BRANFORD,United States,06405,CT,JanetMLewis1@comcast.net,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,All Other Traveler Accommodation (721199),721199.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
BRIAR BUILDERS LLC,LLC,Active,1332503,2021-03-31,21 PEAK STREET,STAMFORD,United States,06905,CT,BMS.BMDESIGN@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,True,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),236115.0,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
WILD FIG CONSULTING LLC,LLC,Active,1332504,2022-03-31,50 SAW MILL RAOD #14436,DANBURY,United States,06810,CT,irina@wildfigconsulting.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
S &S AUTO GROUP INC,B Corp,Active,1332505,2022-01-28,1065 ROUTE 80,GUILFORD,United States,06437,CT,info@carcentralauto.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),441120.0,2021-11-10 00:08:36.9666667,,,,,,,,,,,,,,,,,100.0,,,,,,,,
PRIMA FACIE MEDICAL SPA LLC,LLC,Active,1332506,2022-03-31,1000 FARMINGTON AVENUE SUITE 100,WEST HARTFORD,United States,06107,CT,BILL@BILLMURRAYLEGAL.COM,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:36.9666667,No Agent,,,,,,,,,,,,,,,,,,Failure to appoint or maintain an agent for service,,,,,,
NO EXCUSES AUTOMOTIVE LLC,LLC,Active,1332507,2021-03-31,46 BEATRICE ST.,BRIDGEPORT,United States,06607,CT,NOEXCUSESAUTOMOTIVE23@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Other Automotive Mechanical and Electrical Repair and Maintenance (811118),811118.0,2021-11-10 00:08:36.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CHRIS PIASCIK, INC.",Stock,Active,1332510,2020-04-08,No information provided,,,,,CHRIS@CHRISPIASCIK.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:08:37.0133333,First report past due,,,,,,,,,,,,,,,,1.0,,Failure to file First Report,,,,,,
BITE BETA NUTRITION LLC,LLC,Active,1332515,2022-03-31,76 4TH STREET,NEW HAVEN,United States,06519,CT,bitebetanutrition@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:37.0133333,,,,,,,,,,,,,,,,,,,,,,,,,
MARY KENNY LCSW LLC,LLC,Active,1332516,2022-03-31,51 CHESTERFIELD ROAD,EAST LYME,United States,06333,CT,marykennylcsw@gmail.com,Domestic,2020-01-09,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:37.0133333,,,,,,,,,,,,,,,,,,,,,,,,,
SQUARED AWAY SERVICES LIMITED LIABILITY COMPANY,LLC,Active,1332517,2021-03-31,3 DAVID ST,ENFIELD,United States,06082,CT,EFILE1234@INCFILE.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:37.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BAEJAN LLC,LLC,Active,1332518,2021-03-31,158 BROOKLAWN CIR,NEW HAVEN,United States,06515,CT,EFILE1234@INCFILE.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:37.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BANKEDITOR LLC,LLC,Active,1332519,2021-03-31,37 PROSPECT RD,WESTPORT,United States,06880,CT,EFILE1234@INCFILE.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:37.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
J & B SERVICE MANAGEMENT LLC,LLC,Active,1332521,2022-03-31,12-D TOWBRIDGE DRIVE,BETHEL,United States,06801,CT,jmartino@grenierandlender.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:08:37.0133333,,,,,,,,,,,,,,,,,,,,,,,,,
4-3-3 PRODUCTIONS LIMITED LIABILITY COMPANY,LLC,Active,1332522,2022-03-31,175 BERLIN AVE APT 45,SOUTHINGTON,United States,06489,CT,gentedetelevision@gmail.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),,2021-11-10 00:08:37.0133333,,,,,,,,,,,,,,,,,,,,,,,,,
WIN ATHLETE MANAGEMENT LLC,LLC,Active,1332523,2021-03-31,37 GRAYS FARM ROAD,WESTON,United States,06883,CT,SKELLEY@WIN-AM.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:08:37.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DANKA GLASTONBURY LLC,LLC,Active,1332524,2022-03-31,1420 MAIN ST,GLASTONBURY,United States,06033,CT,karen@metropmct.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:37.0133333,,,,,,,,,,,,,,,,,,,,karen@metropmct.com,,,,,
QUIET CORNER TAX SERVICES LLC,LLC,Active,1332525,2021-03-31,132 OLD HALL ROAD,WOODSTOCK,United States,06281,CT,JBOSSPIETTE@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Tax Preparation Services (541213),541213.0,2021-11-10 00:08:37.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
AIERA ADVISORS LLC,LLC,Active,1332526,2022-03-31,300 PARK AVE 2ND FLOOR,NEW YORK,United States,10022,NY,finance@aiera.com,Foreign,2020-01-09,DE,DE,False,False,False,False,False,Software Publishers (511210),511210.0,2021-11-10 00:08:37.0133333,,2020-01-01,AIERA ADVISORS LLC,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"300 PARK AVE 12TH FLOOR, NEW YORK, NY, 10022, United States",300 PARK AVE 12TH FLOOR,NEW YORK,NY,10022,United States,,,,,,,,,
"P. NICHOLAS INTERIORS, LLC",LLC,Active,1332527,2022-03-31,2389 MAIN ST STE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Interior Design Services (541410),541410.0,2021-11-10 00:08:37.5766667,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM ZAK LLC,LLC,Active,1332528,2022-03-31,1420 MAIN STREET,GLASTONBURY,United States,06033,CT,karen@metropmct.com,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:37.5766667,,,,,,,,,,,,,,,,,,,,karen@metropmct.com,,,,,
ROBERT ZAJACZKOWSKI CARPENTRY LLC,LLC,Active,1332529,2022-03-31,4 BIRCH TREE RD.,PLAINVILLE,United States,06062,CT,ZAJAC1979@YAHOO.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),,2021-11-10 00:08:37.5766667,,,,,,,,,,,,,,,,,,,,,,,,,
MAIK CLEANING SERVICES LLC,LLC,Active,1332530,2021-03-31,26 SOUTH STREET,DANBURY,United States,06810,CT,PMAIK1330@GMAIL.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:37.5766667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
HEAVENLY INVESTMENTS LLC,LLC,Dissolved,1332531,2021-03-31,455 WILLOW STREET,WATERBURY,United States,06710,CT,MILDREDLINTON@YAHOO.COM,Domestic,2020-01-09,CT,Connecticut,True,False,True,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:37.5766667,,,,,,,,,,,,,,,,,,2021-03-26T00:00:00.000,,,,,,,
"MAHO PRODUCTIONS, LLC",LLC,Active,1332533,2021-03-31,49 FAIRHAVEN RD,NIANTIC,United States,06357,CT,TNORRIS@PAMLICOGROUP.COM,Domestic,2020-01-09,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:08:37.5766667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
