name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address
"BROADRIDGE BUSINESS PROCESS OUTSOURCING, LLC",LLC,Active,,1358285,2022-03-31,"2 GATEWAY CENTER, 283-299 MARKET STREET",NEWARK,United States,07102,NJ,marthalina.felix@broadridge.com,Foreign,2020-09-09,DE,DE,False,False,False,False,False,Miscellaneous Intermediation (523910),523910.0,2021-11-10 00:12:43.9466667,2020-08-28,"BROADRIDGE BUSINESS PROCESS OUTSOURCING, LLC",,,,,,,,,,,,,,,,,,,,
GO2THEOFFICE LLC,LLC,Dissolved,,1358286,2022-03-31,56 OLD ORCHARD RD.,RIVERSIDE,United States,06878,CT,eastern@northwestregisteredagent.com,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,2021-06-30T00:00:00.000,,,,,
CLEARGAGE LLC,LLC,Active,,1358292,2022-03-31,"3810 NORTHDALE BLVD., STE. 210",TAMPA,United States,33624,FL,complianceteam@cogencyglobal.com,Foreign,2020-09-09,DE,DE,False,False,False,False,False,Software Publishers (511210),511210.0,2021-11-10 00:12:44.6333333,2020-11-01,CLEARGAGE LLC,United States,,,,,,,,,,,,,,,,,,,
RH TRUCKING LLC,LLC,Active,,1358321,2022-03-31,60 SEXTON STREET,NEW BRITAIN,United States,06051,CT,r.hamlet1990@gmail.com,Domestic,2020-09-09,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
FARM VALLEY HOME LLC,LLC,Active,,1358345,2022-03-31,20 WHITE BIRCH LANE,AVON,United States,06001,CT,farmvalleyhome@gmail.com,Domestic,2020-09-09,CT,Connecticut,True,False,False,False,False,All Other Home Furnishings Stores (442299),442299.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
CARD SHIELD LLC,LLC,Active,Annual report past due,1358381,2021-03-31,49 BUNNY ROAD,PRESTON,United States,06365,CT,INFO@CARDSHIELD.ORG,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,Office Supplies and Stationery Stores (453210),453210.0,2021-11-10 00:12:36.3200000,,,,,,,,,,,,,,,,,,,,,,
"FIERCE IMAGE BEAUTY, LLC",LLC,Active,,1358426,2022-03-31,250 SPENCER DRIVE,MIDDLETOWN,United States,06457,CT,sasha@fierceimagebeauty.com,Domestic,2020-09-09,CT,Connecticut,True,False,True,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:37.6333333,,,,,,,,,,,,,,,,,,,,,,
CARICAPRI LLC,LLC,Active,,1358537,2022-03-31,10 OCEAN DRIVE NORTH,STAMFORD,United States,06902,CT,romonanorton@gmail.com,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:12:42.6666667,,,,,,,,,,,,,,,,,,,,,,
JRKLN LLC,LLC,Active,,1358538,2022-03-31,10 OCEAN DRIVE NORTH,STAMFORD,United States,06902,CT,Romonanorton@gmail.com,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:12:42.6666667,,,,,,,,,,,,,,,,,,,,,,
FLOR CLEANING LLC,LLC,Active,Annual report past due,1358559,2021-03-31,176 SUMMIT STREET,MANCHESTER,United States,06040,CT,JOSEKATITA@HOTMAIL.COM,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.3200000,,,,,,,,,,,,,,,,,,,,,,
"GRAMERCY PARK ASSOCIATION, INC.",Non-Stock,Active,First report past due,1358633,2020-12-08,No information provided,,,,,,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
NEXUS CONTROLS LLC,LLC,Active,,1358648,2022-03-31,17021 ALDINE WESTFIELD ROAD,HOUSTON,United States,77073,TX,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-09-09,DE,DE,False,False,False,False,False,Switchgear and Switchboard Apparatus Manufacturing (335313),,2021-11-10 00:12:46.4966667,2020-09-14,NEXUS CONTROLS LLC,United States,,"17021 ALDINE WESTFIELD ROAD, HOUSTON, TX, 77073, United States",17021 ALDINE WESTFIELD ROAD,HOUSTON,TX,77073,United States,"17021 ALDINE WESTFIELD ROAD, HOUSTON, TX, 77073, United States",17021 ALDINE WESTFIELD ROAD,HOUSTON,TX,77073,United States,,,,,,
"IMPACT HEALTH PSYCH., PC",Stock,Active,First report past due,1359021,2020-12-08,No information provided,,,,,,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,2021-11-10 00:12:38.3200000,,,,100.0,,,,,,,,,,,,,,,,,,
MIGUEL TEPOZ LLC,LLC,Active,Annual report past due,1359098,2021-03-31,349 SIGOURNEY ST,HARTFORD,,06112,CT,,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.1200000,,,,,,,,,,,,,,,,,,,,,,
LRF HAPPY FEET INC.,Stock,Dissolved,,1358157,2021-09-09,14 E MAIN ST,BRISTOL,United States,06010,CT,MING.ACCTAX@GMAIL.COM,Domestic,2020-09-09,CT,Connecticut,True,False,True,False,False,All Other Personal Services (812990),,2021-11-10 00:05:58.8433333,,,,10000.0,,,,,,,,,,,,,2020-09-25T00:00:00.000,,,,,
QUALLO PROPERTIES LLC,LLC,Dissolved,,1358272,2021-03-31,1131 TOLLAND TPKE #175,MANCHESTER,United States,06042,CT,INFO@QUALLOPROPERTIESLLC.COM,Domestic,2020-09-09,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:05:53.5600000,,,,,,,,,,,,,,,,,2020-10-29T00:00:00.000,,,,,
TRAIL LIGHT CANDLES LLC,LLC,Dissolved,,1358240,2021-03-31,263 TUTTLE RD,DURHAM,United States,06422,CT,ASCCLARK@COMCAST.NET,Domestic,2020-09-09,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Manufacturing (339999),,2021-11-10 00:05:30.8300000,,,,,,,,,,,,,,,,,2020-11-09T00:00:00.000,,,,,
UTA LLC,LLC,Dissolved,,1358274,2021-03-31,978 STATE STREET,BRIDGEPORT,United States,06605,CT,WALLLINE@AOL.COM,Domestic,2020-09-09,CT,Connecticut,False,False,True,False,False,Convenience Stores (445120),,2021-11-10 00:03:37.0833333,,,,,,,,,,,,,,,,,2020-09-16T00:00:00.000,,,,,
LOVE KULTURE PROPERTY LLC.,LLC,Active,Annual report past due,1357466,2021-03-31,101 MERRITT 7 CORPORATE PARK SUITE 300,NORWALK,United States,06851,CT,LOVEKULTUREPROPERTY@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,True,False,True,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
FUNISTICS LLP,LLP,Active,,1358283,2022-09-10,448 LITCHFIELD RD,HARWINTON,United States,06791,CT,EVELYNN@DOGPALACE.ORG,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:12:43.9466667,,,,,,,,,,,,,,,,,,,,,,
PALMMAGNOLIA LLC,LLC,Active,,1358284,2022-03-31,4 ORCHARD HILL DR,ENFIELD,United States,06082,CT,palmandmagnolia@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,True,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:12:43.9466667,,,,,,,,,,,,,,,,,,,,,,
"STAPPA VINEYARD, LLC",LLC,Active,,1358289,2022-03-31,403 DERBY AVENUE,ORANGE,United States,06477,CT,Alexa.stappavineyard@gmail.com,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Wineries (312130),,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
"TORRES MARKET, LLC",LLC,Active,,1358291,2022-03-31,28 WILDMAN ST,DANBURY,United States,06810,CT,ESPINAL29@YAHOO.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
CERTIFIED FITNESS LEADS LLC,LLC,Active,Annual report past due,1358296,2021-03-31,300 MEADOWSIDE RD UNIT 208,MILFORD,United States,06460,CT,GAMBOARON@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,True,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
31 CROWN LLC,LLC,Active,Annual report past due,1358298,2021-03-31,31 CROWN LANE,GREENWICH,United States,06831,CT,PURCELLROBERT673@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
"DANCING MAN, LLC",LLC,Active,,1358301,2022-03-31,423 WAHACKME ROAD,NEW CANAAN,United States,06840,CT,closing@belltowerfunds.com,Foreign,2020-09-10,DE,DE,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:12:44.6333333,2020-08-10,"DANCING MAN, LLC",United States,,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,,,,,,
PETERSON PROPERTY HOLDINGS LLC,LLC,Active,,1358302,2022-03-31,117 NORTH MAIN STREET,SOUTHINGTON,United States,06489,CT,c21kellypeterson@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
"SLOAN ST. LAURENT SCHOLARSHIP FUND, INC.",Non-Stock,Active,Annual report past due,1358303,2021-09-11,26 ORCHARD STREET,WATERBURY,United States,06705,CT,JROE0124@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Grantmaking Foundations (813211),813211.0,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST PADDLERS LLC,LLC,Dissolved,,1358304,2021-03-31,333 CHRISTIAN STREET,WALLINGFORD,United States,06492,CT,JCOTE70@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:12:44.6333333,,,,,,,,,,,,,,,,,2021-03-22T00:00:00.000,,,,,
"8 WALLACE, LLC",LLC,Active,Annual report past due,1358305,2021-03-31,350 CENTER STREET,WALLINGFORD,United States,06492,CT,HOME@DINATALE.US,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
SCHOOLHOUSE CONSULTING LLC,LLC,Active,,1358306,2022-03-31,211 SCHOOLHOUSE ROAD,NORFOLK,United States,06058,CT,schoolhouseconsulting101@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
PASSION4BAKING LLC,LLC,Active,Annual report past due,1358307,2021-03-31,6 PEPPERIDGE COURT,SIMSBURY,United States,06070,CT,SHASAKIZADEH8@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
CRAB 101 CT INC.,Stock,Active,,1358308,2022-09-11,2835 FAIRFIELD AVE.,BRIDGEPORT,United States,06605,CT,INFO@DCACCT.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:45.2433333,,,,200.0,,,,,,,,,,,,,,,,,,
CONSTRUCTION & REMODELING LLC,LLC,Active,Annual report past due,1358309,2021-03-31,21 BEAVER STREET BACK BUILD. 3,ANSONIA,United States,06401-3202,CT,DAREKJAWORSKI@AOL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
PAMPERED HOMES AND BUSINESS LLC,LLC,Dissolved,,1358310,2021-03-31,73 SANFORD PL,BRIDGEPORT,United States,06604,CT,PAMPEREDHOMESANDBUSINESS@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,True,False,True,False,False,Private Households (814110),814110.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,2021-03-15T00:00:00.000,,,,,
R I LOGISTICS LLC.,LLC,Active,Annual report past due,1358311,2021-03-31,342 ARCH ST,NEW BRITAIN,United States,06051,CT,BGDBROKER@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
"AD ACADEMY, LLC",LLC,Active,Annual report past due,1358312,2021-03-31,750 MAIN STREET PENTHOUSE,HARTFORD,United States,06103,CT,BALEXANDER@AQUILINEDRONES.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
SNG WOODWORKS LLC,LLC,Active,,1358313,2022-03-31,289 PROSPECT STREET,WILLIMANTIC,United States,06226,CT,Sngwoodworks@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,"Sawmill, Woodworking, and Paper Machinery Manufacturing (333243)",333243.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
"THE PATH TO ME, LLC",LLC,Dissolved,,1358314,2021-03-31,63 ROCKWELL AVE,NAUGATUCK,United States,06770,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,2021-05-11T00:00:00.000,,,,,
VIMESELLER LLC,LLC,Active,,1358315,2022-03-31,83 NEWFIELD AVE APT 30,WATERBURY,United States,06708,CT,luisrafael07@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
SUPPORTED VIABILITY LLC,LLC,Active,Annual report past due,1358316,2021-03-31,65 HIGH RIDGE RD. SUITE 203,STAMFORD,United States,06905,CT,EFILE1234@INCFILE.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
ROCKWELL CONSTRUCTION GROUP LLC,LLC,Active,Annual report past due,1358317,2021-03-31,1055 NORTH ST.,GREENWICH,United States,06831,CT,JACK@JACKMONTGOMERYDESIGN.COM,Foreign,2020-09-10,DE,DE,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:45.2433333,2020-09-09,ROCKWELL CONSTRUCTION GROUP LLC,United States,,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,,,,,,
MARK BOGANSKI LLC,LLC,Active,,1358318,2022-03-31,9 MONTE VISTA AVENUE,NEWINGTON,United States,06111,CT,mboganski12@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
GOOLJAR HOLDINGS LLC,LLC,Active,,1358319,2022-03-31,34 KAYVIEW AVENUE,BETHEL,United States,06801,CT,philgooljar@yahoo.com,Domestic,2020-09-10,CT,Connecticut,False,False,True,False,False,Book Stores (451211),451211.0,2021-11-10 00:12:45.2433333,,,,,,,,,,,,,,,,,,,,,,
ANASTACIO ONOFRE CAMARILLO LLC,LLC,Active,Annual report past due,1358323,2021-03-31,4 MOSS AVE,DANBURY,United States,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
REVOLUTIONS MUSIC LIMITED LIABILITY COMPANY,LLC,Active,Annual report past due,1358324,2021-03-31,197 WALNUT HILL RD,BETHEL,United States,06801,CT,JOSEGUERRERO808@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,True,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
"SOKO, LLC",LLC,Active,,1358325,2022-03-31,"C/O THE DEKK GROUP, LLC 82 FLANDERS ROAD",WESTBOROUGH,United States,01581,MA,MONITORFILE@PRECISIONCORP.COM,Domestic,2020-09-10,MA,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
P.A.N. FIREARMS LLC,LLC,Active,,1358326,2022-03-31,166 OLD BROOKFIELD ROAD UNIT 18-6,DANBURY,United States,06811,CT,contact@panfirearmsllc.com,Domestic,2020-09-10,CT,Connecticut,False,True,True,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
"REBECCA WELLNESS COMPANY, LLC",LLC,Active,,1358327,2022-03-31,13 REALITY ROAD,OXFORD,United States,06478,CT,Rebecca@rebeccawellnesscompany.com,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),624120.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
AGUSTIN ORTEGA LLC,LLC,Active,Annual report past due,1358328,2021-03-31,105 FARREN AVE,NEW HAVEN,United States,06513,CT,SPMULTISERVICES2018@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
"MARY ELLEN BOLGER, PHD, LLC",LLC,Active,,1358331,2022-03-31,7 BENEDICT PLACE SUITE 2,GREENWICH,United States,06830,CT,dr.marybolger@gmail.com,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
MSG WEHA ATM LLC,LLC,Active,,1358333,2022-03-31,"859 WILLARD ST., STE. 501",QUINCY,United States,02169,MA,trish@grossmanco.com,Foreign,2020-09-10,MA,MA,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:45.8400000,2020-09-09,MSG WEHA ATM LLC,United States,,"859 WILLARD ST., STE. 501, QUINCY, MA, 02169,","859 WILLARD ST., STE. 501",QUINCY,MA,02169,,"859 WILLARD ST., STE. 501, QUINCY, MA, 02169, United States","859 WILLARD ST., STE. 501",QUINCY,MA,02169,United States,,,,,,
LUIZA AVILA  SERVICES LLC,LLC,Active,,1358334,2022-03-31,33 TOWN HILL AVE,DANBURY,United States,06810,CT,maria-luiza-99@hotmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
"SOKO REALTY, LLC",LLC,Active,,1358337,2022-03-31,"C/O THE DEKK GROUP, LLC 82 FLANDERS ROAD",WESTBOROUGH,United States,01581,MA,MONITORFILE@PRECISIONCORP.COM,Domestic,2020-09-10,MA,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
WETHERSFIELD CLASS OF 2020 INCORPORATED,Non-Stock,Active,First report past due,1358338,2020-12-09,No information provided,,,,,WETHERSFIELD20@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
RIVEN ENTERPRISES L.L.C.,LLC,Active,,1358339,2022-03-31,516 BRIDGEVIEW PLACE,STRATFORD,United States,06614,CT,compliance@zenbusiness.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),448190.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
K & R HOME IMPROVEMENT LLC,LLC,Dissolved,,1358340,2021-03-31,4 GLEN RD,UNCASVILLE,United States,06382,CT,KELSEYRB@COMCAST.NET,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Facilities Support Services (561210),561210.0,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,2021-01-06T00:00:00.000,,,,,
TOYS FOR THE WORLD INC.,Non-Stock,Active,First report past due,1358341,2020-12-09,No information provided,,,,,,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.8400000,,,,,,,,,,,,,,,,,,,,,,
ON SITE SERVICES AND LOGISTICS INCORPORATED,Stock,Active,,1358342,2022-10-08,42 Auburn St,New Haven,United States,06519,CT,OSSINCORPORATED@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:46.4966667,,,,10000.0,,,,,,,,,,,,,,,,,,
"GARNEZ REALTY, LLC",LLC,Active,,1358343,2022-03-31,23 LINSLEY AVE,MERIDEN,United States,06451,CT,GILBERTO1107@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
"TEMPERATURE SCREENING, LLC",LLC,Active,Annual report past due,1358346,2021-03-31,12 HUNTING RIDE FARMS,BRANFORD,United States,06405,CT,RALPH@PORTSECURITY.US,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
"CHINATTI REALTY GROUP, INC.",Stock,Active,,1358347,2022-09-10,11 SCHOOL ST 3FL,NORTH CHELMSFORD,United States,01863,MA,BUSINESS@CHINATTIREALTY.COM,Foreign,2020-09-10,MA,MA,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:12:46.4966667,2020-09-01,"CHINATTI REALTY GROUP, INC.",United States,,,,,,,,,,,,,,,,,,,
"JFGO PROCUREMENT, LLC",LLC,Active,Annual report past due,1358348,2021-03-31,124 WESTBROOK ROAD SUITE 101,ESSEX,United States,06426,CT,KELLY@INTERNATIONALGROWTHCAPITAL.COM,Domestic,2020-09-10,CT,Connecticut,True,False,False,False,False,Other Commercial Equipment Merchant Wholesalers (423440),423440.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
CKJ LLC,LLC,Active,,1358349,2022-03-31,38 LAUREL HILL DRIVE,NIANTIC,United States,06357,CT,logistics.ckj@gmail.com,Foreign,2020-09-10,WY,WY,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,2021-11-10 00:12:46.4966667,2020-09-10,CKJ LLC,United States,,"30 N GOULD ST, STE 4000, SHERIDAN, WY, 82801, United States","30 N GOULD ST, STE 4000",SHERIDAN,WY,82801,United States,"30 N GOULD ST, STE N, SHERIDAN, WY, 82801, United States","30 N GOULD ST, STE N",SHERIDAN,WY,82801,United States,,,,,,
"BRIANA'S WAY, LLC",LLC,Active,,1358350,2022-03-31,349 WEST MAIN ST,NEW BRITAIN,United States,06052,CT,angelosmarket349@gmail.com,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
NCAPITAL LLC,LLC,Active,,1358351,2022-03-31,5440 HARVEST HILL RD #154,DALLAS,United States,75230,TX,kmh@commpliancegroup.com,Foreign,2020-09-10,DE,DE,False,False,False,False,False,All Other Telecommunications (517919),517919.0,2021-11-10 00:12:46.4966667,2020-09-15,NCAPITAL LLC,United States,,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,
SRJM HOLDINGS LLC,LLC,Active,Annual report past due,1358352,2021-03-31,179 WACCABUC ROAD,GOLDEN'S BRIDGE,United States,10526,NY,JMAHARAJ77@GMAIL.COM,Foreign,2020-09-10,NY,NY,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:46.4966667,2020-09-01,SRJM HOLDINGS LLC,United States,,"179 WACCABUC ROAD, GOLDEN'S BRIDGE, NY, 06825, United States",179 WACCABUC ROAD,GOLDEN'S BRIDGE,NY,06825,United States,"179 WACCABUC ROAD, GOLDEN'S BRIDGE, NY, 10526, United States",179 WACCABUC ROAD,GOLDEN'S BRIDGE,NY,10526,United States,,,,,,
162 LOCKWOOD LLC,LLC,Dissolved,,1358353,2021-03-31,33 DURANT ST,STAMFORD,United States,06902,CT,RONNYCEBALLO@GMAIL.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,2021-02-03T00:00:00.000,,,,,
"DAN & DAN, LLC",LLC,Active,Annual report past due,1358354,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-09-10,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
"HERC, LLC",LLC,Active,,1358355,2022-03-31,"C/O THE DEKK GROUP, LLC 82 FLANDERS ROAD",WESTBOROUGH,United States,01581,MA,MONITORFILE@PRECISIONCORP.COM,Domestic,2020-09-10,MA,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:46.4966667,,,,,,,,,,,,,,,,,,,,,,
