name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,total_authorized_shares,date_of_organization_meeting,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address
"THE OSBORN COMPANY, ARCHITECTS-ENGINEERS, LLC",LLC,Active,1354582,2022-03-31,1100 SUPERIOR AVE STE 300,CLEVELAND,United States,44114,OH,Compliancemail@cscinfo.com,Foreign,2020-08-11,OH,OH,False,False,False,False,False,Architectural Services (541310),541310.0,2021-11-10 00:12:40.2900000,,,,2020-08-31,"THE OSBORN COMPANY, ARCHITECTS-ENGINEERS, LLC",United States,,,,,,,,,,,,,,,,,,,
"DH HOLDINGS OF CT, LLC",LLC,Active,1354583,2022-03-31,1050 OLD ACADEMY ROAD,FAIRFIELD,,06824,CT,CRAIG@CRAIGLASHCPA.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
"UROVANT SCIENCES, INC.",Stock,Active,1354586,2022-08-11,5281 CALIFORNIA AVE STE 100,IRVINE,,92617,CA,ACCOUNTING@UROVANT.COM,Foreign,2020-08-11,DE,DE,False,False,False,False,False,Pharmaceutical Preparation Manufacturing (325412),325412.0,2021-11-10 00:12:40.2900000,,,,2020-08-24,"UROVANT SCIENCES, INC.",,,,,,,,,,,,,,,,,,,,
MARVEL PEST CONTROL PLLC,LLC,Active,1354593,2022-03-31,368 RESERVOIR ROAD,NEW BRITAIN,United States,06052,CT,Fred@marvelpest.com,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Exterminating and Pest Control Services (561710),,2021-11-10 00:12:40.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
DIPAOLO INVESTMENTS LLC,LLC,Active,1354595,2022-03-31,239 EAST PUTNAM AVENUE,COS COB,United States,06807,CT,dipaolo3@hotmail.com,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
RMG GROUP LLC,LLC,Active,1354606,2021-03-31,174 MONTAUK DRIVE,STAMFORD,United States,06902,CT,RMGROUPLLC2020@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Home and Garden Equipment Repair and Maintenance (811411),811411.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
VINCENT CAPITAL LLC,LLC,Active,1354608,2022-03-31,77 HALLADAY DRIVE,WEST SUFFIELD,United States,06093,CT,AVINCENT@AFSVINSURANCE.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
ROMEE LLC,LLC,Active,1354620,2021-03-31,88 CLARK HILL ROAD,PROSPECT,United States,06712,CT,JCFANCHER@WPI.EDU,Domestic,2020-08-11,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
NC GARAGE & AUTO SERVICES LLC,LLC,Active,1354621,2021-03-31,164 COWLES ST,BRIDGEPORT,United States,06607,CT,N71CORRA71@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SH BUSSINES LLC,LLC,Active,1354622,2022-03-31,50 SHIRLEY ST APT 2,WATERBURY,United States,06708,CT,jennycuevanj17@gmail.com,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
GENERALS CONSTRUCTION LLC,LLC,Active,1354626,2021-03-31,250 MAIN ST,ANSONIA,United States,06401,CT,GENERALCONSTRUCTION12@GHOTMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RTH LLC,LLC,Active,1354632,2022-03-31,8 HIDDENBROOK RD,HAMDEN,United States,06518,CT,RTHLLC@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,True,False,False,Other Building Equipment Contractors (238290),238290.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
KAPOOR JEWELRY INC.,Stock,Active,1354654,2020-11-09,No information provided,,,,,NELLAMZIA@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers (423940)",423940.0,2021-11-10 00:12:43.3533333,First report past due,,,,,,,,,,,,,,,,,,,100.0,,,,,
DONNA BRAZILIAN FASHION LLC,LLC,Dissolved,1354705,2021-03-31,20 HOLLEY STREET APT3,DANBURY,United States,06810,CT,DONNABRAZILIANFASHION@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),454390.0,2021-11-10 00:12:45.2900000,,2020-11-30T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
MNGR LLC,LLC,Active,1354716,2022-03-31,448 SOUNDVIEW AVE,STRATFORD,United States,06615,CT,Brandonramsubhag@gmail.com,Domestic,2020-08-11,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),448190.0,2021-11-10 00:12:45.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
DACOSTA MASONRY & PAINTING LLC,LLC,Active,1354735,2021-03-31,58 RIDGE RD,NAUGATUCK,United States,06770,CT,ATOSPEIXOTO@HOTMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:12:45.8866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
HIRUNGO LLC,LLC,Active,1354736,2021-03-31,29 A P GATES RD,E HADDAM,United States,06423,CT,GO@HIRUNGO.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Advertising Agencies (541810),541810.0,2021-11-10 00:12:45.8866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
LOVE IS IN STORE LLC,LLC,Active,1354855,2021-03-31,20 FIELD DRIVE,WETHERSFIELD,United States,06109-3923,CT,LOVEISINSTORE.INFO@GMAIL.COM,Domestic,2020-08-11,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:38.9466667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"ANDY MARTIN MUSIC FOUNDATION, LLC",LLC,Dissolved,1351367,2021-03-31,2874 MAIN STREET,STRATFORD,,06614,CT,RAY@THERAYMARTINAGENCY.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:35.4933333,,2020-12-03T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
GROENNFELL MEADERY LLC,LLC,Active,1354560,2022-03-31,650 INDUSTRIAL PARK RD.,ST. ALBANS,United States,05478,VT,financial@groennfell.com,Foreign,2020-08-12,VT,VT,False,False,False,False,False,Wineries (312130),312130.0,2021-11-10 00:12:38.9466667,,,,2020-08-12,VT,United States,"650 INDUSTRIAL PARK RD., ST. ALBANS, VT, 05478, United States",650 INDUSTRIAL PARK RD.,ST. ALBANS,VT,05478,United States,"650 INDUSTRIAL PARK RD., ST. ALBANS, VT, 05478, United States",650 INDUSTRIAL PARK RD.,ST. ALBANS,VT,05478,United States,,,,,,,
EILEEN PUZIEWICZ LLC,LLC,Active,1354562,2021-03-31,66 HARTFORD AVENUE,GRANBY,United States,06035,CT,FILING@ACS123.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:39.6333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
LUXURYME INC,B Corp,Active,1354574,2020-11-10,No information provided,,,,,BELIZAIREKATRIONA@YAHOO.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:12:39.6333333,First report past due,,,,,,,,,,,,,,,,,,,2000.0,,,,,
MAGICAL STAYS VACATIONS LLC,LLC,Active,1354575,2022-03-31,31 WOONSOCKET AVE,SHELTON,United States,06484,CT,Adaj14351@aol.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Travel Agencies (561510),561510.0,2021-11-10 00:12:39.6333333,,,,,,,,,,,,,,,,,,,,,,,,,
AURUM WEALTH MANAGEMENT GROUP LLC,LLC,Active,1354576,2021-03-31,6685 BETA DRIVE,MAYFIELD VILLAGE,United States,44143,OH,EWULFF@AURUMWEALTH.COM,Foreign,2020-08-12,OH,OH,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:12:39.6333333,Annual report past due,,,2020-07-01,AURUM WEALTH MANAGEMENT GROUP LLC,United States,,,,,,,,,,,,,,,,,,,
SODONIS GOUP L.L.C.,LLC,Active,1354579,2021-03-31,2709 BUCKINGHAM AVE,BIRMINGHAM,United States,48009-7555,MI,MATT@SODONISGROUP.COM,Foreign,2020-08-12,MI,MI,False,False,False,False,False,Finish Carpentry Contractors (238350),238350.0,2021-11-10 00:12:39.6333333,Annual report past due,,,2020-08-31,SODONIS GOUP L.L.C.,United States,"2709 BUCKINGHAM AVE, BIRMINGHAM, MI, 48009-7555, United States",2709 BUCKINGHAM AVE,BIRMINGHAM,MI,48009-7555,United States,"513 HARVEST COMMONS, WESTPORT, MI, 06880, United States",513 HARVEST COMMONS,WESTPORT,MI,06880,United States,,,,,,,
LIQUOR BOULEVARD LLC,LLC,Active,1354580,2021-03-31,"2 N MAIN STREET, BM 323",BEACON FALLS,,06403,CT,STEVEN.SANTIAGO9401@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",445310.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BERRIOS LANDSCAPING & SERVICES LLC,LLC,Active,1354584,2021-03-31,51 LINCOLN AVENUE EXT APT 2,NORWALK,United States,06854,CT,ETURCIOS@TURCIOSINS.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
EZMEDCARD LLC,LLC,Active,1354585,2021-03-31,132 MORNINGSIDE COURT,SHELTON,United States,06480,CT,INFO@EZMEDCARD.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),621999.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND-FIELDS REALTY LLC,LLC,Active,1354587,2021-03-31,97 HAVEMEYER PLACE,GREENWICH,United States,06830,CT,FILING@ACS123.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
THE SUSTAINABLE CARE COLLECTIVE INC.,B Corp,Dissolved,1354588,2021-08-12,50 ALDEN AVENUE,NEW HAVEN,United States,06515,CT,FOLEYP@MAC.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:12:40.2900000,,2020-12-21T00:00:00.000,,,,,,,,,,,,,,,,,,10000.0,,,,,
DELRAY CONSTRUCTION LLC,LLC,Active,1354589,2022-03-31,10 NUTMEG DRIVE,ELLINGTON,United States,06029,CT,jburns@delrayinc.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Water and Sewer Line and Related Structures Construction (237110),237110.0,2021-11-10 00:12:40.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
SKAY LINE LLC,LLC,Active,1354590,2021-03-31,538 MAIN ST,CROMWELL,United States,06416,CT,HUSEIN0731@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
HAMDEN LINE LLC,LLC,Active,1354591,2021-03-31,2440 DIXWELL AVE,HAMDEN,United States,06514,CT,HUSEIN0731@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
P & P GROCERY MARKET LLC,LLC,Active,1354592,2022-03-31,60 E Main St,New Britain,United States,06051-1944,CT,jespinal@ibstax.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Supermarkets and Other Grocery (except Convenience) Stores (445110),445110.0,2021-11-10 00:12:40.2900000,,,,,,,,,,,,,,,,,,,Bldg 76,,,,,,
"NATIONAL PRETRIAL NORTHEAST, LLC",LLC,Active,1354594,2021-03-31,615 EAST MAIN STREET,MERIDEN,United States,06450,CT,W.SOBOTA@YAHOO.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ATMS BY IAN L.L.C.,LLC,Active,1354596,2021-03-31,67 GRANDVIEW AVE,NORWALK,United States,06850,CT,ATMSBYIAN@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",522320.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ALC.J WASH AND FOLD LLC,LLC,Active,1354597,2021-03-31,12 AMBLER DRIVE,NORWALK,United States,06851,CT,TALBROS@CHARTER.NET,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Coin-Operated Laundries and Drycleaners (812310),812310.0,2021-11-10 00:12:40.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
NORTH MAIN DENTAL GROUP LLC,LLC,Active,1354598,2022-03-31,225 NORTH MAIN STREET SUITE 209,BRISTOL,United States,06010,CT,LCREID@HOTMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Offices of Dentists (621210),621210.0,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"SOUTH 2ND, LLC",LLC,Active,1354599,2021-03-31,"358 W. 44TH ST, 2ND FLOOR",NEW YORK,United States,10036,NY,ERNEST.TOLLJA@GMAIL.COM,Domestic,2020-08-12,NY,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
TIAJAH LANGSTON LLC,LLC,Active,1354600,2021-03-31,122 WHITNEY AVENUE,BRIDGEPORT,United States,06606,CT,LANGSTONTIAJAH@YAHOO.COM,Domestic,2020-08-12,CT,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"PAUL ERIK PHOTO, LLC",LLC,Active,1354601,2022-03-31,32 BLUE RIDGE RD,RIDGFIELD,United States,06877,CT,paul.almira@gmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,True,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"MCAS ROOFING & CONTRACTING, INC.",Stock,Active,1354602,2022-08-12,2006 ALBANY POST ROAD,CROTON-ON-HUDSON,United States,10520,NY,MIKE@MCASROOFING.COM,Foreign,2020-08-12,NY,NY,False,False,False,False,False,Roofing Contractors (238160),238160.0,2021-11-10 00:12:41.0233333,,,,2020-08-12,"MCAS ROOFING & CONTRACTING, INC.",United States,,,,,,,,,,,,,,,,,,,
S&T CT ENTERPRISES LLC,LLC,Active,1354603,2021-03-31,1879 MAIN STREET,BRIDGEPORT,United States,06604,CT,TONYCVAZ@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"FINE LINE FRAMING, LLC",LLC,Active,1354604,2021-03-31,8 CHURCH STREET APT. 3,DAYVILLE,United States,06241,CT,BIGTETREAULT34@HOTMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Framing Contractors (238130),238130.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CAKTUSBOX, LLC",LLC,Active,1354605,2022-03-31,"380 MATHER ST, BUILDING 6, APT 6214",HAMDEN,United States,06514,CT,contact@caktusbox.com,Domestic,2020-08-12,CT,Connecticut,True,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
M & S GROUP INC,Stock,Active,1354607,2021-09-15,1011 HOPE STREET SUITE R,STAMFORD,United States,06907,CT,OFFICE@ACCESSCONSULTINGUSA.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers (424310)",424310.0,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,100.0,,,,,
JET FAB LLC,LLC,Active,1354609,2021-03-31,1800 BOSTON POST RD MU,GUILFORD,United States,06437,CT,EFILE1234@INCFILE.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JEWLZBYANNIE LLC,LLC,Active,1354610,2022-03-31,991 MAIN ST UNIT 402,BRIDGEPORT,United States,06604,CT,aniesha16@yahoo.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Jewelry Stores (448310),,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
SHELTON GUN EXCHANGE LLC,LLC,Active,1354611,2021-03-31,549 HOWE AVE STE C,SHELTON,United States,06484,CT,EFILE1234@INCFILE.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
WALLMOUNTAIN LLC,LLC,Active,1354612,2021-03-31,206 WEST AVE,STRATFORD,United States,06615,CT,EFILE1234@INCFILE.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:41.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JV COLLECTION LLC,LLC,Dissolved,1354613,2022-03-31,184 Gravel St,Meriden,United States,06450-4658,CT,jvcollectionllc@gmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",,2021-11-10 00:12:41.0233333,,2021-11-01T00:00:00.000,n.vitoraso@gmail.com,,,,,,,,,,,,,,,,38,,,,,,
LITTLE OL HEALINGS LLC,LLC,Active,1354614,2022-03-31,135 SHEPARD STREET 3RD FLOOR,HAMDEN,United States,06511,CT,littlehealingexperience@gmail.com,Domestic,2020-08-12,CT,Connecticut,True,False,True,False,False,All Other Personal Services (812990),,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
ARSENAL MANAGEMENT LLC,LLC,Active,1354615,2022-03-31,8 MEADOWBROOK ROAD,WEST HAVEN,United States,06516,CT,arsenalmgmt2@gmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:41.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
PUT CONSULTING LLC,LLC,Active,1354616,2021-03-31,235 STAPLES RD,EASTON,United States,06612,CT,DURELLE.C.GREEN@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"JCL HOLDINGS TRUST, LLC",LLC,Active,1354617,2022-03-31,1224 MILL ST BLDG B-76,EAST BERLIN,United States,06023,CT,juelz1976@icloud.com,Domestic,2020-08-12,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
#BRAINCARESAVESLIVES CORP,Non-Stock,Active,1354618,2022-08-31,39 MARKET SQUARE,NEWINGTON,United States,06111,CT,mitchpage@yahoo.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),541714.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTURECRAFT CONTRACTING LLC,LLC,Active,1354619,2022-03-31,22 SOUTH 6TH AVE,MOUNT VERNON,United States,10550,NY,mmcfadden@structurecraftny.com,Foreign,2020-08-12,NY,NY,False,False,False,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:12:42.0233333,,,,2020-08-12,STRUCTURECRAFT CONTRACTING LLC,United States,"22 SOUTH 6TH AVE, MOUNT VERNON, NY, 10550, United States",22 SOUTH 6TH AVE,MOUNT VERNON,NY,10550,United States,"22 SOUTH 6TH AVE, MOUNT VERNON, NY, 10550, United States",22 SOUTH 6TH AVE,MOUNT VERNON,NY,10550,United States,,,,,,,
NS INVESTMENTS LLC,LLC,Active,1354623,2021-03-31,379 GRANDVIEW AVE,WATERBURY,United States,06708,CT,NZSTENGEL@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JTK FUNDRAISING LLC,LLC,Active,1354624,2021-03-31,54 SUNFIELD LANE,FAIRFIELD,United States,06824,CT,NEVERDOUSKYBROSLLC@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Business Support Services (561499),561499.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
GC TRAINING LLC,LLC,Active,1354625,2021-03-31,139 WILDWOOD ROAD,TOLLAND,United States,06084,CT,JENNIFER.OVERKAMP@ME.COM,Domestic,2020-08-12,CT,Connecticut,True,False,False,False,False,Professional and Management Development Training (611430),611430.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
LD CLEANING LLC,LLC,Active,1354627,2021-03-31,263 LINEN AVE,BRIDGEPORT,United States,06606,CT,COELHOSERVICES1@HOTMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
AMS MUSIC LLC,LLC,Active,1354628,2021-03-31,18 NUTMEG LANE,WILTON,United States,06897,CT,YHPTAX@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
HANDS ON HANDYMAN SERVICES LLC,LLC,Active,1354629,2022-03-31,50 REGENT STREET,MANCHESTER,United States,06042,CT,jcnelson2009@hotmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,True,False,False,Home and Garden Equipment Repair and Maintenance (811411),,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
CATALINA'S ASIAN GROCERIES LLC,LLC,Active,1354630,2021-03-31,740 COLONEL LEDYARD HWY A-14,LEDYARD,United States,06339,CT,CATALINA@CMGLOBALFWD.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Specialty Food Stores (445299),445299.0,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"FERRARILAWN & LANDSCAPE, LLC",LLC,Active,1354631,2022-03-31,764 THRALL ROAD,SUFFIELD,United States,06078,CT,ferrarilawnct@gmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
ROUNDTRIP PARTNERS LLC,LLC,Active,1354633,2021-03-31,182 BYRAM SHORE ROAD,GREENWICH,United States,06830,CT,KITKITTLE@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.0233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PIMPO PROPERTIES LLC,LLC,Active,1354634,2022-03-31,25 YORKTOWN RDG,WATERBURY,United States,06704,CT,pimpo096@gmail.com,Domestic,2020-08-12,CT,Connecticut,False,False,True,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:42.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
7MA IGLESIA PENTECOSTAL JEHOVA ES MI LUZ ENTRANDO A LA TIERRA PROMETIDA INC.,Non-Stock,Active,1354635,2021-11-06,533 GARDEN ST APT 14,HARTFORD,United States,06112,CT,EASTERN@REGISTEREDAGENTSINC.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
87 IROQUOIS LLC,LLC,Active,1354636,2021-03-31,945 LONG RIDGE ROAD,STAMFORD,United States,06902,CT,87IROQUOISLLC@GMAIL.COM,Domestic,2020-08-12,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
KRABBY APPLE TRADING LLC,LLC,Active,1354637,2022-03-31,652 RIDGEFIELD RD,WILTON,United States,06897,CT,Andy.smolenack@avanzatrading.com,Domestic,2020-08-12,CT,Connecticut,False,True,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2021-11-10 00:12:42.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
FRANK RAFFONE INSURANCE AGENCY INC.,Stock,Active,1354638,2021-08-12,4940 NESCONSET HWY,PORT JEFFERSON STATION,,11776,NY,,Foreign,2020-08-12,NY,NY,False,False,False,False,False,,,2021-11-10 00:12:42.7133333,Annual report past due,,,2020-08-07,FRANK RAFFONE INSURANCE AGENCY INC.,,,,,,,,,,,,,,,,,,,,
