name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,billing_unit,reason_for_administrative,category_survey_email_address
JEGA WOOD FLOORS LLC,LLC,Active,1380840,2022-03-31,546 HARRAL AVE,BRIDGEPORT,United States,06604,CT,PRIOS@ROHUER.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),2021-11-10 00:05:55.4366667,,,,,,,,,,,,,,,,,,,,,,
ASSORTED MONITORS LLC,LLC,Active,1380754,2022-03-31,1206 STORRS RD SUITE C #127,MANSFIELD,United States,06268,CT,ASSORTEDMONITORS@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:54.7633333,,,,,,,,,,,,,,,,,,,,,,
"TM ENVIRONMENTAL CONSULTING, LLC",LLC,Active,1380839,2022-03-31,10 ROSER DRIVE,GLASTONBURY,United States,06033,CT,TFMCMORROW@COX.NET,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Environmental Consulting Services (541620),2021-11-10 00:06:02.0933333,,,,,,,,,,,,,,,,,,,,,,
A FIT CLASS LLC,LLC,Active,1380841,2022-03-31,7 FORSYTH STREET,STONINGTON,United States,06378-2607,CT,MONIBENG@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),2021-11-10 00:05:54.7800000,,,,,,,,,,,,,,,,,,,,,,
PRIMO ELECTRIC LLC,LLC,Active,1380755,2022-03-31,24 E MOUNTAIN RD.,CANTON,,06019,CT,,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:52.8100000,,,,,,,,,,,,,,,,,,,,,,
BANDED BY BEAUTY LLC,LLC,Active,1380837,2022-03-31,196 NEARWATER LANE,DARIEN,United States,06820,CT,BANDEDBYBEAUTY@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-11-10 00:05:51.4633333,,,,,,,,,,,,,,,,,,,,,,
"COMER BUSINESS BROKERS, L.L.C.",LLC,Active,1380734,2022-03-31,108 WILLESDEN DRIVE,CARY,,27513,NC,IRINA@COMERBB.COM,Foreign,2021-03-04,NC,NC,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:05:58.9533333,,,2021-02-25,"COMER BUSINESS BROKERS, L.L.C.",,,,,,,,,,,,,,,,,,
CVC VERSE LTD LLC,LLC,Active,1380737,2022-03-31,279 SOUND BEACH AVE FL1,OLD GREENWICH,,06870,CT,,Foreign,2021-03-04,DE,DE,False,False,False,False,False,,2021-11-10 00:06:05.4533333,,,2021-03-04,CVC VERSE LTD LLC,,,,,,,,,,,,,,,,,,
STYLEZBYJ LLC,LLC,Active,1380868,2022-03-31,71 JESSE AVE,STRATFORD,United States,06614,CT,JALENPARILLA77@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:11.2033333,,,,,,,,,,,,,,,,,,,,,,
ENOUGH IS ENOUGH LLC,LLC,Active,1380865,2022-03-31,1208 EAST MAIN STREET,TORRINGTON,United States,06790,CT,DSART3@HOTMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:13.2666667,,,,,,,,,,,,,,,,,,,,,,
A-Z HOME INTERIOR LLC,LLC,Active,1380863,2022-03-31,38 SOUTH STREET,WATERBURY,United States,06706,CT,ZAHEERBAKSH@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:08.2333333,,,,,,,,,,,,,,,,,,,,,,
"24 LOUNSBURY ROAD, LLC",LLC,Active,1380864,2022-03-31,28 INDIAN ROAD,TRUMBULL,United States,06611,CT,MARIODIAS251@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:11.2200000,,,,,,,,,,,,,,,,,,,,,,
SAGER SUBGUARANTOR LLC,LLC,Active,1380866,2022-03-31,"C/O THE METRO REALTY GROUP, LTD. 6 EXECUTIVE DRIVE",FARMINGTON,United States,06032,CT,GWSAGER@METRO-REALTY.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:06:13.1866667,,,,,,,,,,,,,,,,,,,,,,
SSCS GUARANTOR LLC,LLC,Active,1380867,2022-03-31,"C/O THE METRO REALTY GROUP, LTD. 6 EXECUTIVE DRIVE",FARMINGTON,United States,06032,CT,GWSAGER@METRO-REALTY.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:06:11.7966667,,,,,,,,,,,,,,,,,,,,,,
"FORECASA, INC.",Stock,Active,1380915,2022-03-04,8510 PARKWOOD LN,PHILADELPHIA,United States,19128,PA,KYLE@FORECASA.COM,Foreign,2021-03-04,DE,DE,False,False,False,False,False,All Other Information Services (519190),2021-11-10 00:06:06.8266667,,,2021-03-01,"FORECASA, INC.",United States,,,,,,,,,,,,,,,,,
BRUNNER REMODELING & DESIGN LLC,LLC,Active,1380769,2022-03-31,210 HUME DR,HAMDEN,United States,06514,CT,BCREMODELING1978@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:04.2666667,,,,,,,,,,,,,,,,,,,,,,
TAF REAL ESTATE INVESTMENTS LLC,LLC,Dissolved,1380735,2022-03-31,38 SHIPWRECK DRIVE,AMAGANSETT,,11930,NY,MIKE@THEABBATEFAMILY.COM,Domestic,2021-03-04,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:06:07.4200000,2021-03-10T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
UNIQUE APPROACH WHOLESALE LLC,LLC,Active,1380994,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:29.4166667,,,,,,,,,,,,,,,,,,,,,,
SWNORWALK INC,Stock,Active,1380800,2022-03-04,4 HARDING ST,NORWALK,United States,06854,CT,KSZSHS@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2021-11-10 00:06:28.0700000,,100.0,,,,,,,,,,,,,,,,,,,,
ARFAH AFRIQIYA LLC,LLC,Active,1380802,2022-03-31,621 BURNHAM STREET,EAST HARTFORD,United States,06108,CT,AMADU.KABIRU@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-11-10 00:06:28.0700000,,,,,,,,,,,,,,,,,,,,,,
GREGORWEST LLC,LLC,Active,1380770,2022-03-31,36 HEMLOCK HILL RD,NEW CANAAN CT,,06840,CT,GDALBA22@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Media Representatives (541840),2021-11-10 00:06:22.0966667,,,,,,,,,,,,,,,,,,,,,,
KLM ENTERPRISE LLC,LLC,Active,1380801,2022-03-31,153 LASALLE ROAD,WEST HARTFORD,United States,06107,CT,LR032460@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:06:17.1733333,,,,,,,,,,,,,,,,,,,,,,
TANASI ELECTRICAL CONTRACTORS LLC,LLC,Active,1380729,2022-03-31,7 FLORENCE LN,PLAINVILLE,United States,06062,CT,TECONTRACTORSLLC@OUTLOOK.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:06:29.3833333,,,,,,,,,,,,,,,,,,,,,,
CHEF HAPPY CATERING LLC,LLC,Active,1381937,2022-03-31,1255 OLD NORTHFIELD RD,THOMASTON,,06787,CT,KATHERINE.GILMORE44@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Food Service Contractors (722310),2021-11-10 00:06:15.9700000,,,,,,,,,,,,,,,,,,,,,,
QUEENS PIZZA BOXES LLC,LLC,Active,1380852,2022-03-31,16 ADAMS STREET,HARTFORD,United States,06112,CT,ADRIANT250@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:19.0500000,,,,,,,,,,,,,,,,,,,,,,
CHER AMI PRODUCTIONS CORP.,Stock,Active,1380853,2022-03-04,174 MONITOR STREET,BROOKLYN,,11222,NY,LYNPIN@MAC.COM,Foreign,2021-03-04,NY,NY,False,False,False,False,False,,2021-11-10 00:06:22.0500000,,,2021-02-04,CHER AMI PRODUCTIONS CORP.,,,,,,,,,,,,,,,,,,
THE BRADLEY LLC,LLC,Active,1380799,2022-03-31,C/O RATNER 1111 SUMMER STREET SUITE 301,STAMFORD,United States,06905,CT,ABRECHER@LEGALPRO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:06:22.8000000,,,,,,,,,,,,,,,,,,,,,,
6 PERCENT MEDIA LLC,LLC,Active,1380917,2022-03-31,65 WOODS HILL RD,NORTHFORD,United States,06472,CT,EFILE1234@INCFILE.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Advertising Agencies (541810),2021-11-10 00:06:21.2066667,,,,,,,,,,,,,,,,,,,,,,
C.A.P. HOLDING COMPANY LLC,LLC,Active,1380914,2022-03-31,114 EUCLID AVE,STAMFORD,United States,06902,CT,CARINAPIRES.A@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:29.9633333,,,,,,,,,,,,,,,,,,,,,,
R.A.N BEN TRUCKING AND TRANSPORTATION LLC,LLC,Active,1380916,2022-03-31,34 BERKELEY PL,BRIDGEPORT,United States,06610,CT,EFILE1234@INCFILE.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:19.8466667,,,,,,,,,,,,,,,,,,,,,,
GRANDVIEW MULTIMEDIA LLC,LLC,Active,1380725,2022-03-31,95 PINE TREE DRIVE,STAMFORD,United States,06906,CT,LARRYNARDI1@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,"Photography Studios, Portrait (541921)",2021-11-10 00:06:15.9700000,,,,,,,,,,,,,,,,,,,,,,
THOMAS'S HELPING HANDS LLC,LLC,Active,1380895,2022-03-31,67 WOODLAWN ST,WEST HARTFORD,United States,06110,CT,THOMASHELP1978@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,Other Social Advocacy Organizations (813319),2021-11-10 00:06:28.6666667,,,,,,,,,,,,,,,,,,,,,,
"CLEAR LIVE, LLC",LLC,Active,1380894,2022-03-31,500 WASHINGTON AVE SUITE 300,PORTLAND,United States,04103,ME,SOSTEAM@CSILONGWOOD.COM,Foreign,2021-03-04,WY,WY,False,False,False,False,False,Telecommunications Resellers (517911),2021-11-10 00:06:29.3700000,,,2021-03-05,"CLEAR LIVE, LLC",United States,"1309 COFFEEN AVENUE STE 1200, SHERIDAN, WY, 04103, United States",1309 COFFEEN AVENUE STE 1200,SHERIDAN,WY,04103,United States,"1309 COFFEEN AVENUE STE 1200, SHERIDAN, WY, 04103, United States",1309 COFFEEN AVENUE STE 1200,SHERIDAN,WY,04103,United States,,,,,
ALLOCATED ESSENTIALS LLC,LLC,Active,1380659,2022-03-31,56 ELMCROFT ROAD,STAMFORD,United States,06902,CT,CHANTA.GRAHAM@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),2021-11-10 00:06:17.2800000,,,,,,,,,,,,,,,,,,,,,,
THE SLEEP COLLABORATIVE LLC,LLC,Active,1381037,2022-03-31,14 RIDGEWAY STREET,STAMFORD,United States,06907,CT,ALLISON.C.RYAN@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:29.3833333,,,,,,,,,,,,,,,,,,,,,,
FRIED COOKIE DOUGH LLC,LLC,Dissolved,1380660,2022-03-31,41 PENT RD,BRANFORD,United States,06405,CT,FRIEDCOOKIEDOUGHTRUCK@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:09.6033333,2021-04-28T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"SHE IS FIERCE COACHING, LLC",LLC,Active,1381145,2022-03-31,"2 FERN AVENUE, UNIT 2",WALLINGFORD,United States,,CT,SGIBBONS@MASTSEGLAW.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),2021-11-10 00:04:09.5900000,,,,,,,,,,,,,,,,,,,,,,
"ATLANTIC GOLD SEA MOSS, LLC",LLC,Active,1380835,2022-03-31,1909 WEST COPANS ROAD,POMPANO BEACH,United States,33064,FL,LICENSING@ATLANTICGOLDSEAMOSS.COM,Foreign,2021-03-04,FL,FL,False,False,False,False,False,All Other Specialty Food Stores (445299),2021-11-10 00:04:14.2466667,,,2021-02-01,UNITED STATES,United States,"1909 WEST COPANS ROAD, POMPANO BEACH, FL, 33064, United States",1909 WEST COPANS ROAD,POMPANO BEACH,FL,33064,United States,"1909 WEST COPANS ROAD, POMPANO BEACH, FL, 33064, United States",1909 WEST COPANS ROAD,POMPANO BEACH,FL,33064,United States,,,,,
"W.P. PROPERTY SERVICES, LLC",LLC,Dissolved,1380925,2022-03-31,57 WASHINGTON STREET APT. 5,BRISTOL,United States,06010,CT,BPATER.90@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:14.2466667,2021-09-13T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT TRADING & LEASING, LLC",LLC,Active,1380740,2022-03-31,10 TOBINS CT.,DANBURY,United States,06810,CT,NCMF@AOL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:10.2600000,,,,,,,,,,,,,,,,,,,,,,
"MGB,LLC",LLC,Active,1380771,2022-03-31,22 LAURA DR,DANBURY,United States,06811,CT,MRSLIZ28@AOL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:04:04.7600000,,,,,,,,,,,,,,,,,,,,,,
PROTRANSPORTS LLC,LLC,Active,1381036,2022-03-31,61 CENTER STREET,WATERTOWN,United States,06795,CT,PROTRANSPORTSLL@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:04:15.4033333,,,,,,,,,,,,,,,,,,,,,,
MUGSY CAPITAL LLC,LLC,Active,1380741,2022-03-31,77 FORD RD.,WOODBRIDGE,United States,06525,CT,MARLO.PALUMBO@OUTLOOK.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:05.4933333,,,,,,,,,,,,,,,,,,,,,,
ANGEL CARE FOR THE ELDERLY LLC,LLC,Active,1380728,2022-03-31,58 SAINT MARY STREET 58 ST MARY STREET,HAMDEN,United States,06517,CT,ANGELCAREELDERLY@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Home Health Care Services (621610),2021-11-10 00:04:14.8100000,,,,,,,,,,,,,,,,,,,,,,
"HAYES ALLIANCE INVESTMENTS, LLC",LLC,Active,1380722,2022-03-31,30 SPOONWOOD ROAD,WILTON,United States,06897,CT,THOMAS.G.HAYES@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),2021-11-10 00:04:04.8066667,,,,,,,,,,,,,,,,,,,,,,
"NOLE GLASS, LLC",LLC,Active,1380661,2022-03-31,1636 BALDWIN STREET,WATERBURY,United States,06706,CT,NOLEGLASS@HOTMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Glass and Glazing Contractors (238150),2021-11-10 00:04:08.2133333,,,,,,,,,,,,,,,,,,,,,,
"TED'S SHEDS, LLC",LLC,Active,1381056,2022-03-31,37 SCOTT STREET,MERIDEN,United States,06450,CT,TEDDIA37@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:04:12.9166667,,,,,,,,,,,,,,,,,,,,,,
1329 WATERBURY ROAD LLC,LLC,Active,1380896,2022-03-31,1329 WATERBURY ROAD,THOMASTON,United States,06787,CT,JPP@DZINSKIPOLZELLACPA.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:04:07.5866667,,,,,,,,,,,,,,,,,,,,,,
TKO & BILL CONSTRUCTION LLC,LLC,Active,1380836,2022-03-31,78 TOWN HILL AVE APT 3,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:11.6066667,,,,,,,,,,,,,,,,,,,,,,
ROOSTERS LLC,LLC,Active,1380874,2022-03-31,92 SCHOOLGROUND RD,BRANFORD,United States,06405,CT,MCAS1120@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:04:04.7133333,,,,,,,,,,,,,,,,,,,,,,
CNU TRANSPORT LLC,LLC,Dissolved,1381054,2022-03-31,40 DAVENPORT STREET,NEW BRITAIN,United States,06051,CT,CNUTRANSPORT@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,True,False,False,Freight Transportation Arrangement (488510),2021-11-10 00:04:18.4033333,2021-05-05T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
DEMOURA SERVICES LLC,LLC,Active,1380906,2022-03-31,175 SOUNDVIEW AVE,SHELTON,United States,06484,CT,MARIASERVICES13@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:20.9833333,,,,,,,,,,,,,,,,,,,,,,
STAR MASONRY LLC,LLC,Active,1380924,2022-03-31,57 ROSEWOOD AVE APT 2,WATERBURY,United States,06706,CT,CELAORNILD@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:04:25.0300000,,,,,,,,,,,,,,,,,,,,,,
MK INSTALLATION SERVICES LLC,LLC,Active,1380739,2022-03-31,234 THOMASTON RD.,MORRIS,United States,06763,CT,ACCOUNTING@RIVERBENDMILL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:27.6533333,,,,,,,,,,,,,,,,,,,,,,
HAWK REALTY LLC,LLC,Active,1380875,2022-03-31,111 PROSPECT ST,PLANTSVILLE,United States,06479,CT,JOSEPH.JALOWIECKI@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:29.0300000,,,,,,,,,,,,,,,,,,,,,,
ALTA CUCINA GRILL & LOUNGE LLC,LLC,Active,1380923,2022-03-31,393 EAST MAIN STREET,WATERBURY,United States,06702,CT,OPPORTUNITY05@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-11-10 00:04:26.9366667,,,,,,,,,,,,,,,,,,,,,,
"NEW ENGLAND INSTITUTE OF AESTHETICS, LLC",LLC,Active,1380876,2022-03-31,5 DAVIS RD E,OLD LYME,United States,06371,CT,SCOTT@CTDERMA.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:04:18.9966667,,,,,,,,,,,,,,,,,,,,,,
CREATIVE INNOVATIONS GROUP LLC,LLC,Active,1380907,2022-03-31,20 JUNIPER ROAD,BLOOMFIELD,United States,06002,CT,RMWINTERS1@ICLOUD.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:17.7466667,,,,,,,,,,,,,,,,,,,,,,
CT PORTFOLIO LLC,LLC,Active,1380738,2022-03-31,501 CHESTNUT RIDGE ROAD SUITE 306,CHESTNUT RIDGE,United States,10977,NY,HOROWITZHARRY@GMAIL.COM,Domestic,2021-03-04,NY,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:19.5900000,,,,,,,,,,,,,,,,,,,,,,
"BBORNLIFE, LLC",LLC,Active,1380873,2022-03-31,631 COTTVILLE RD. APT # C4,VERNON,United States,06066,CT,BBORNLIFE@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,Family Clothing Stores (448140),2021-11-10 00:04:21.6066667,,,,,,,,,,,,,,,,,,,,,,
CARVE JUICERY LLC,LLC,Active,1380877,2022-03-31,82 FOREST STREET APT A3,STAMFORD,,06901,CT,AZMATADELANA@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Food Service Contractors (722310),2021-11-10 00:04:39.6100000,,,,,,,,,,,,,,,,,,,,,,
LBOOGY LLC,LLC,Active,1380908,2022-03-31,21 HOSPITAL AVE UNIT 2A,DANBURY,United States,06810,CT,LBOOGYLLC@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),2021-11-10 00:04:33.7966667,,,,,,,,,,,,,,,,,,,,,,
"RESTORATIVE THERAPY SERVICES, LLC.",LLC,Active,1380950,2022-03-31,84 WOODLAWN STREET,WEST HARTFORD,United States,06110,CT,SANDRALERZUNDYPRICE@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:04:39.6100000,,,,,,,,,,,,,,,,,,,,,,
CONSTITUTION BSD LLC,LLC,Active,1380878,2022-03-31,1203 W ST GEORGES AVE,LINDEN,United States,07036,NJ,FILINGS@VCORPSERVICES.COM,Domestic,2021-03-04,NJ,Connecticut,False,False,False,False,False,,2021-11-10 00:04:42.1566667,,,,,,,,,,,,,,,,,,,,,,
FRAMED LLC,LLC,Active,1380726,2022-03-31,280 CROSS ST,MIDDLETOWN,United States,06457,CT,OFFICIALLYFRAMED@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,"Women?s, Girls?, and Infants? Cut and Sew Apparel Manufacturing (315240)",2021-11-10 00:04:34.4700000,,,,,,,,,,,,,,,,,,,,,,
SPARK JOY AT HOME LIMITED LIABILITY COMPANY,LLC,Active,1380764,2022-03-31,1381 OLD ACADEMY RD.,FAIRFIELD,,06824,CT,,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:42.7800000,,,,,,,,,,,,,,,,,,,,,,
INFINITY REALTY 3 LLC,LLC,Active,1380762,2022-03-31,34 BLOOMFIELD AVENUE,WINDSOR,United States,06095,CT,CBUTLERSELLS@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,True,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:04:40.9066667,,,,,,,,,,,,,,,,,,,,,,
583-585 GREGORY ST LLC,LLC,Active,1380780,2022-03-31,2917 BRISLEY AVE,BRONX,United States,10461,NY,SOTOALBERT1950@GMAIL.COM,Domestic,2021-03-04,NY,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-11-10 00:04:42.7666667,,,,,,,,,,,,,,,,,,,,,,
OBTAINED DIVINITY LLC,LLC,Active,1380880,2022-03-31,31 COWLES ST,HARTFORD,United States,06114,CT,CCARROLL55@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),2021-11-10 00:04:39.5466667,,,,,,,,,,,,,,,,,,,,,,
RED DOG LANDSCAPING LLC,LLC,Active,1380881,2022-03-31,389 CHARLES DRIVE,CHESHIRE,,06410-2903,CT,CLIFFGILLMAN@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),2021-11-10 00:04:54.0833333,,,,,,,,,,,,,,,,,,,,,,
1277 LONG RIDGE ROAD LLC,LLC,Active,1380879,2022-03-31,50 CAPRICE DRIVE,STAMFORD,United States,06902,CT,CRAIG@FINESCAPEANDSONS.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:04:42.8766667,,,,,,,,,,,,,,,,,,,,,,
MEDIVEDAN THERAPEUTICS LLC,LLC,Active,1380763,2022-03-31,52 VIRGINIA RAIL DR.,BETHANY,,06524,CT,NAGA@DNSKINTERNATIONAL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:52.1933333,,,,,,,,,,,,,,,,,,,,,,
WHAT?S THE WORD PODCAST LLC,LLC,Active,1380975,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:03.8900000,,,,,,,,,,,,,,,,,,,,,,
GREATER LUX HAIR LLC,LLC,Active,1380781,2022-03-31,72 DOGLEG DRIVE,MERIDEN,United States,06450,CT,GREATERLUXHAIR@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-11-10 00:04:52.2400000,,,,,,,,,,,,,,,,,,,,,,
"COFFEE CHAT, LLC",LLC,Active,1380829,2022-03-31,226 CHURCHILL ROAD,TRUMBULL,United States,06611,CT,VVBOSS723@SBCGLOBAL.NET,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2021-11-10 00:04:48.0633333,,,,,,,,,,,,,,,,,,,,,,
WHISTLE LLC,LLC,Active,1380743,2022-03-31,1306 NORTH MAIN ST,WATERBURY,United States,06704,CT,WHISTLEUS@YAHOO.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Taxi Service (485310),2021-11-10 00:04:50.3000000,,,,,,,,,,,,,,,,,,,,,,
CONFIDENT STRENGTH & TRAINING LLC,LLC,Active,1380742,2022-03-31,242 CARRIAGE DRIVE EAST,MERIDEN,United States,06450,CT,CONFIDENTSTRENGTHTRAINING@GMAIL.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),2021-11-10 00:04:52.8200000,,,,,,,,,,,,,,,,,,,,,,
GREENWICH ARTS ACADEMY LLC,LLC,Active,1380750,2022-03-31,103 HARDESTY ROAD,STAMFORD,United States,06903,CT,MICHAEL@GREENWICHARTSACADEMY.COM,Domestic,2021-03-04,CT,Connecticut,False,False,False,False,False,Fine Arts Schools (611610),2021-11-10 00:05:00.8266667,,,,,,,,,,,,,,,,,,,,,,
