name,business_type,status,accountnumber,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,annual_report_due_date,country_formation,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,total_authorized_shares,sub_status,mailing_international_address,dissolution_date,mail_jurisdiction,record_address,records_address_street,records_address_state,records_address_zip_code,records_address_country,records_address_city
Conscio Pharmaceuticals Inc.,Stock,Active,2341115,2021-09-30,42 Summerfield Gdns,,Shelton,United States,06484-6300,CT,sean.isacsson@consciopharma.com,Conscio Pharmaceuticals Inc.,Foreign,2021-09-10,DELAWARE,DELAWARE,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),2021-11-10 00:06:40.5000000,2022-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Pros LLC,LLC,Dissolved,2341117,,155 Windermere Ave,Unit 402,Ellington,United States,06029,CT,zhl5@outlook.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:40.4666667,2022-03-31,United States,cphelps@hgesq.com,,,,,,,,,,,,,,,,,,,2021-09-15T00:00:00.000,,,,,,,
IVY & ROY INC,Stock,Active,2341118,,,,,,,,wnctax@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2021-11-10 00:03:14.0200000,2021-12-09,United States,,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
MONTANA INVESTMENT L.L.C.,LLC,Active,2341119,,370 HARLEM AVE,,BRIDGEPORT,United States,06606,CT,efile1234@incfile.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Investment Advice (523930),2021-11-10 00:03:14.0200000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
YARD WORK SOFTBALL LLC,LLC,Active,2341143,,2 SPRING HILL AVE APT 13,,NORWALK,United States,06850,CT,efile1234@incfile.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:03:14.0200000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WG GUERRERO LLC,LLC,Active,2341148,,188 NORTH STREET,,NEW BRITAIN,United States,06051,CT,wascargue5@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Supermarkets and Other Grocery (except Convenience) Stores (445110),2021-11-10 00:06:40.5000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RANDY'S FURNITURE, LLC",LLC,Active,2341126,,61 Broad St,,Stamford,United States,06901,CT,raid_hussein909@hotmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4666667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
VC & SONS MAINTENANCE & SERVICE LLC,LLC,Active,2341131,,21 WEST MAIN STREET,A1,NORWALK,United States,06851,CT,luisamaria_cabrera@hotmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,New Multifamily Housing Construction (except For-Sale Builders) (236116),2021-11-10 00:06:40.4666667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAGGY COOS FARM & CREAMERY LLC,LLC,Active,2341127,,53 CENTER ROAD,,EASTON,UNITED STATES,06612,CT,jakec17@comcast.net,,Domestic,2021-09-10,,Connecticut,False,False,False,False,False,112120,2021-11-10 00:03:14.0200000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAR Consulting LLC,LLC,Active,2341140,,32 Hitchcock Rd,,Westport,United States,06880-2632,CT,pete.capozucca@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4666667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torino New Haven LLC,LLC,Active,2341164,2021-09-10,"172 Center Street, Suite 202",,Jackson,United States,83001,WY,info@corporatedirect.com,Torino New Haven LLC,Foreign,2021-09-10,Wyoming,Wyoming,False,False,False,False,False,Business Associations (813910),2021-11-10 00:06:40.5000000,2022-03-31,,,"PO Box 2869, Jackson, WY, 83001, United States",PO Box 2869,,Jackson,WY,83001,United States,"172 Center Street, Suite 202, Jackson, WY, 83001, United States","172 Center Street, Suite 202",,Jackson,WY,83001,United States,,,,,,,,,,,,
"Wick Industries, LLC",LLC,Active,2341169,,66 Morin Avenue,,Coventry,United States,06238,CT,tomlug860@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,"Motorcycle, ATV, and All Other Motor Vehicle Dealers (441228)",2021-11-10 00:03:13.9900000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Is Inc.,Stock,Active,2341177,,,,,,,,terrimartin777@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-11-10 00:03:14.0033333,2021-12-09,United States,,,,,,,,,,,,,,,,,10000.0,First report due,,,,,,,,,
Coldwell Banker Real Estate Services LLC,LLC,Active,2341182,2021-09-10,175 Park Avenue,,Madison,United States,07940,NJ,govdocs@corpcreations.com,Coldwell Banker Real Estate Services LLC,Foreign,2021-09-10,DELAWARE,DELAWARE,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:03:14.0033333,2022-03-31,,,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,,Wilmington,DE,19810,United States,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,,Wilmington,DE,19810,United States,,,,,,,,,,,,
GNR Investments Corp.,Stock,Active,2341187,,,,,,,,sanjeevprao@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:03:14.0033333,2021-12-09,United States,,,,,,,,,,,,,,,,,100.0,First report due,,,,,,,,,
R GROUP CORPORATION,Stock,Active,2341194,,,,,,,,kdhomar1@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:03:14.0033333,2021-12-09,United States,,,,,,,,,,,,,,,,,1000.0,First report due,,,,,,,,,
JROCS Enterprise LLC,LLC,Active,2341205,,18 N Spring St,,Ansonia,United States,06401-2472,CT,jermaineknewell@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,True,False,False,Freight Transportation Arrangement (488510),2021-11-10 00:03:14.0200000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERFECT PICTURE PRODUCTIONS LLC,LLC,Active,2341206,,1502 BUNKER HILL RD,,WATERTOWN,United States,06795,CT,efile1234@incfile.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Musical Groups and Artists (711130),2021-11-10 00:03:14.0200000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristall Windows and Doors LLC,LLC,Active,2341211,,5 Gracie Ln,,Darien,United States,06820-2306,CT,vebigjyliqi@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Other Building Material Dealers (444190),2021-11-10 00:06:40.5133333,2022-03-31,United States,vebigjyliqi@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Q.P.S. LLC,LLC,Active,2341213,,47 Prospect Street Apt 47B,,Bristol,United States,06010,CT,inddyobrown@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.5000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LMP East Hartford EHK, LLC",LLC,Active,2341215,,500 E. Broward Blvd,Suite 1900,Ft. Lauderdale,United States,33394,FL,tanner.tibbits@lmpmotors.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,New Car Dealers (441110),2021-11-10 00:03:13.9900000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELFIE DREAMS LLC,LLC,Active,2341216,,19 MARNE ST,,HAMDEN,United States,06514,CT,efile1234@incfile.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),2021-11-10 00:03:13.9900000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget LLC,LLC,Active,2341219,,315 Birmingham St,,Bridgeport,United States,06606-3422,CT,76latorres@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:03:13.9900000,2022-03-31,United States,corponline@parasec.com,,,,,,,,,,,,,,,,,,,,,,,,,,
ADONAI TILE LLC,LLC,Active,2341233,,432 LINCOLN AVE #1,,BRIDGEPORT,United States,06606,CT,efile1234@incfile.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Tile and Terrazzo Contractors (238340),2021-11-10 00:06:40.4500000,2022-03-31,United States,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulful Carpentry LLC,LLC,Active,2341227,,141 Smith Road,,East Haddam,United States,06423,CT,soulfulcarpentry@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:06:40.4500000,2022-03-31,United States,soulfulcarpentry@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 Commerce Drive LLC,LLC,Active,2341229,,1901 Commerce Drive,,Bridgeport,United States,06605,CT,zhenggreenwich@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELTON SMOKE AND SNACK  Corporation,Stock,Active,2341230,,,,,,,,ockba@nycarabic.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,True,False,False,Tobacco Stores (453991),2021-11-10 00:03:14.0033333,2021-12-09,United States,,,,,,,,,,,,,,,,,200.0,First report due,,,,,,,,,
Mastamix LLC,LLC,Active,2341232,,75 Suncrest Rd,,Norwalk,United States,06854-1050,CT,djmastamix@email.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:03:14.0033333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higher Med LLC,LLC,Active,2341236,,29 Mohican Rd,,Old Saybrook,United States,06475-2760,CT,pmiklosz@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:03:14.0033333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAV5 Real Estate, LLC",LLC,Active,2341238,2021-09-08,"c/o KCL Capital, L.P., 600 Lexington Ave, 28th Floor",,New York,United States,10022,NY,kevin.cottrell@kclcapital.com,"CAV5 Real Estate, LLC",Foreign,2021-09-10,DELAWARE,DELAWARE,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:40.5000000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Haven Youth Cheerleading Co.,Non-Stock,Active,2341244,,,,,,,,amatrudak@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,False,False,False,,2021-11-10 00:06:40.4833333,2021-12-09,United States,,,,,,,,,,,,,,,,,,First report due,,,,,,,,,
"LMP East Hartford RE EHK, LLC",LLC,Active,2341247,,500 E. Broward Blvd,Suite 1900,Ft. Lauderdale,United States,33394,FL,tanner.tibbits@lmpmotors.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovative Communication Enterprise LLC,LLC,Rejected,2341248,,31 Evergreen Ave A6,,Hartford,United States,06105,CT,innov.comm.enterprise@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Manufacturing (339999),2021-11-10 00:03:13.9900000,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDP Architecture and Design LLC,LLC,Active,2341253,,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4833333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BILISA, LLC",LLC,Active,2341266,,11 Bickford Ln,,New Canaan,United States,06840-6104,CT,mark@marksank.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4666667,2022-03-31,United States,mark@marksank.com,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYWALL AMERICA LLC,LLC,Active,2341286,,60 Jones Ave,,Bridgeport,United States,06604-3112,CT,kellysouzadmv@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SECURE MODERNIZED HOMES, LLC",LLC,Active,2341292,2021-09-10,33 Hunters Ridge,,Unionville,United States,06085,CT,carriermelanson@gmail.com,"SECURE MODERNIZED HOMES, LLC",Foreign,2021-09-10,NEVADA,NEVADA,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:40.4500000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMJ Remodeling LLC,LLC,Active,2341293,,39 Cloverhill Ave,,Bridgeport,United States,06606-1504,CT,josedejesus8425@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Lampert LLC,LLC,Active,2341295,,2 Quincy Ct,,Groton,United States,06340-4712,CT,admin@swlampertllc.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Hardware Merchant Wholesalers (423710),2021-11-10 00:03:13.9900000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ongaro LLC,LLC,Active,2341316,,2 Quincy Ct,,Groton,United States,06340-4712,CT,admin@ongarollc.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Hardware Merchant Wholesalers (423710),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Sorbents LLC,LLC,Active,2341309,,76 Turnpike Rd,,Willington,United States,06279-2417,CT,sales@totalsorbent.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,True,False,False,False,Industrial Supplies Merchant Wholesalers (423840),2021-11-10 00:06:40.4666667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA Meyer LLC,LLC,Active,2341308,,2 Quincy Ct,,Groton,United States,06340-4712,CT,admin@bameyerllc.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:40.4666667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LCDS, LLC",LLC,Active,2341310,,2549 Torringford West St,,Torrington,United States,06790-2530,CT,tom.e.heuschkel@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.4666667,2022-03-31,United States,emarino@ellenmarino.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina Miceli LCSW PLLC,LLC,Active,2341319,,29 Clintonville Rd,,North Haven,United States,06473-2322,CT,angelinamicelilcsw@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2021-11-10 00:06:40.4833333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC Supply LLC,LLC,Active,2341329,,225 Spring Street Ext,,Glastonbury,United States,06033-1237,CT,sean.maynard@fdcsupply.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:40.4833333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT STONECRAFT & SERVICES LLC,LLC,Active,2341321,,359 Mountain Rd,,Wilton,United States,06897-1535,CT,info@gtstonecraft.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:06:40.4833333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sams Rentals, LLC",LLC,Active,2341325,,2 Armonk St,#1041,Greenwich,United States,06830-5803,CT,sam@samsrentalsllc.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,True,False,False,Passenger Car Rental (532111),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transformative Healing Counseling Services, LLC",LLC,Active,2341334,,27 Siemon Company Dr,Suite 228W,Watertown,United States,06795-2654,CT,transformativecounselingsvcs@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:40.5000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutt Collective Studios LLC,LLC,Active,2341344,,99 Founders Plz,,East Hartford,United States,06108-3208,CT,cuttcollectivestudios@gmail.com,,Domestic,2021-09-10,Connecticut,Connecticut,False,False,True,False,False,Sound Recording Studios (512240),2021-11-10 00:06:40.5133333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K Remodeling & Improvements LLC,LLC,Active,2341351,,49 Stafford Rd,,Somers,United States,06071,CT,twenty4kremodeling@yahoo.com,,Domestic,2021-09-10,Connecticut,Connecticut,True,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALO LLC,LLC,Active,2341798,2021-08-20,"20 SOUTH 13TH ST, STE 200",,MINNEAPOLIS,UNITED STATES,55403,MN,,SALO LLC,Foreign,2021-09-10,,MINNESOTA,False,False,False,False,False,,2021-11-10 00:03:13.8966667,2022-03-31,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPR MANAGEMENT INC.,Stock,Active,2341810,2021-05-17,8764 ROSALIE AVE,,SAINT LOUIS,UNITED STATES,63144-9998,MO,Holly@rpr.com,RPR MANAGEMENT INC.,Foreign,2021-09-10,,DELAWARE,False,False,False,False,False,523930,2021-11-10 00:03:13.8966667,2022-09-13,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCUS ROBOTICS CORP.,Stock,Active,2341813,2021-09-15,301 BALLARDVALE ST STE 1,,WILMINGTON,USA,01887,MA,A2GARCIA@LOCUSROBOTICS.COM,LOCUS ROBOTICS CORP.,Foreign,2021-09-10,,MA,False,False,False,False,False,333999,2021-11-10 00:03:13.9566667,2022-09-13,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ODS TECHNOLOGIES, LIMITED PARTNERSHIP",Limited Partnership,Active,2341827,2021-08-31,"6701 CENTER DRIVE WEST, SUITE 1000",,LOS ANGELES,UNITED STATES,90045,CA,Legal@fanduel.com,"ODS TECHNOLOGIES, L.P.",Foreign,2021-09-10,,DELAWARE,False,False,False,False,False,,2021-11-10 00:03:13.9566667,2022-09-13,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,"6701 CENTER DRIVE WEST, SUITE 1000LOS ANGELES, 90045, CA","6701 CENTER DRIVE WEST, SUITE 1000",LOS ANGELES,90045.0,CA,
METRIC THEORY LLC,LLC,Active,2341840,2021-09-10,"311 CALIFORNIA ST, STE 200",,SAN FRANCISCO,UNITED STATES,94104,CA,AP@metrictheory.com,METRIC THEORY LLC,Foreign,2021-09-10,,DELAWARE,False,False,False,False,False,541810,2021-11-10 00:03:13.9733333,2022-03-31,UNITED STATES,,"850 NEW BURTON ROAD, SUITE 201, DOVER, DE, 19904, United States","850 NEW BURTON ROAD, SUITE 201",,DOVER,DE,19904,United States,"850 NEW BURTON ROAD, SUITE 201, DOVER, DE, 19904, United States","850 NEW BURTON ROAD, SUITE 201",,DOVER,DE,19904,United States,,,,,,,,,,,,
R3 RESTORATION LLC,LLC,Active,2341861,2021-07-15,1821 WALDEN OFFICE SQ STE 230,,SCHAUMBURG,UNITED STATES,60173-4271,IL,,R3 RESTORATION LLC,Foreign,2021-09-10,,ILLINOIS,False,False,False,False,False,,2021-11-10 00:03:13.9566667,2022-03-31,UNITED STATES,,"208 SO LASALLE ST, SUITE 814, CHICAGO, IL, 60604, United States","208 SO LASALLE ST, SUITE 814",,CHICAGO,IL,60604,United States,"208 SO LASALLE ST, SUITE 814, CHICAGO, IL, 60604, United States","208 SO LASALLE ST, SUITE 814",,CHICAGO,IL,60604,United States,,,,,,,,,,,,
563 PEARL HARBOR STREET LLC,LLC,Active,2343462,,11928 FARMERS BOULEVARD,,SAINT ALBANS,UNITED STATES,11412,NY,tedecity@aol.com,,Domestic,2021-09-10,,Connecticut,False,False,False,False,False,531110,2021-11-10 00:06:40.5300000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCUA LLC,LLC,Active,2354831,,3A CENTER STREET,,PLAINFIELD,US,06374,CT,,,Domestic,2021-09-10,,Connecticut,False,False,False,False,False,722330,2021-11-10 00:06:47.6566667,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COLOSSAL KIELBASA, LLC",LLC,Active,2354892,,47 BENZ STREET,,ANSONIA,US,06401,CT,robrewco@snet.net,,Domestic,2021-09-10,,Connecticut,False,False,False,False,False,722330,2021-11-10 00:06:47.6400000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinum Appliance LLC,LLC,Active,2341355,,62 Johnson Rd,,Columbia,United States,06237-1213,CT,corbincalande@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,Appliance Repair and Maintenance (811412),2021-11-10 00:06:40.4833333,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ Enterprise LLC,LLC,Active,2341389,,134 Ross Rd,,Rockfall,United States,06481,CT,jennymczerwinski@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,True,False,False,False,False,Other Accounting Services (541219),2021-11-10 00:06:40.5000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flourish Therapeutics LLC,LLC,Active,2341411,,19 Julian Dr,,Preston,United States,06365-8002,CT,flourishtherapeuticsllc@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2021-11-10 00:06:40.5000000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Kickz N Stuff LLC,LLC,Rejected,2341413,,127 Laval St,,Waterbury,United States,06706-1801,CT,mckickznstuff@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:40.5000000,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCBrooks Consulting LLC,LLC,Active,2341417,,11 Taverner Rd,,Windsor,United States,06095-1749,CT,blueprintdmc@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,True,False,True,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:06:40.4500000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM LEGAL LLC,LLC,Active,2341427,2021-09-13,1 BROAD STREET,18E,STAMFORD,United States,06901,CT,emlegal.nyc@gmail.com,EM LEGAL LLC,Foreign,2021-09-11,NEW YORK,NEW YORK,False,False,False,False,False,Offices of Lawyers (541110),2021-11-10 00:06:40.4833333,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIVERHOUSE APARTMENTS, LLC",LLC,Active,2341430,,1011 High Ridge Rd,,Stamford,United States,06905-1610,CT,mark@marksank.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:40.5133333,2022-03-31,United States,mark@marksank.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baker Ave, LLC",LLC,Active,2341441,,159 Baker Ave,,Groton,United States,06340-4002,CT,robert.ritacco@verizon.net,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:14:45.6300000,2022-03-31,United States,lisa.ritaccoandassociates@aol.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Clutch Remodeling LLC,LLC,Active,2341453,,719 Hill Rd,,Harwinton,United States,06791-2713,CT,jdl1018@aol.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,Other Services to Buildings and Dwellings (561790),2021-11-10 00:14:45.6466667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
H & H Educators LLC,LLC,Active,2341457,,140 Sharon Valley Rd,,Sharon,United States,06069-2035,CT,heatheramathews@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,True,False,False,False,False,,2021-11-10 00:14:45.6300000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPP, Inc.",Non-Stock,Active,2341486,,,,,,,,chetkerr@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,"Environment, Conservation and Wildlife Organizations (813312)",2021-11-10 00:14:45.6466667,2021-12-10,United States,,,,,,,,,,,,,,,,,,First report due,,,,,,,,,
D.N.A. ACQUISITIONS LLC,LLC,Active,2341459,,4 FROG HOLLOW,,RIDGEFIELD,United States,06877,CT,thomasjmele@yahoo.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:14:45.6466667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIO WOOD WORKING LLC,LLC,Active,2341469,,1771 BROADBRIDGE AVE,,STRATFORD,United States,06614,CT,juliosalgueroworking@gmail.com,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:14:45.6466667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"162 Preston St., LLC",LLC,Active,2341477,,111 Oak Street,,Hartford,United States,06106,CT,besham.sarran@nyulangone.org,,Domestic,2021-09-11,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:14:45.6300000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LTN Property Management, LLC",LLC,Active,2341481,,40 Avon Meadow Ln,,Avon,United States,06001-3753,CT,doctortoce@comcast.net,,Domestic,2021-09-11,Connecticut,Connecticut,True,False,False,False,False,,2021-11-10 00:14:45.6300000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
