name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,total_authorized_shares,dissolution_date,billing_unit,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
CAB ENTERPRISE GROUP INC,Stock,Active,1395342,2022-06-08,1 PARAGON DRIVE SUITE 260,MONTVALE,United States,07645,NJ,KRISTEN@PREMIERCFS.CCOM,Foreign,2021-06-08,NJ,NJ,False,False,False,False,False,2021-11-10 00:04:08.2133333,Residential Remodelers (236118),2021-06-08,CAB ENTERPRISE GROUP INC,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLYBROOK LLC,LLC,Active,1395185,2022-03-31,96 HOLLY MAR HILL ROAD,NORTHFORD,United States,06472,CT,RACHELRUGGIERO@HOTMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:16.1533333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIVE STAR NATURAL JUICES LLC,LLC,Active,1395160,2022-03-31,197 SEASIDE AVE,STAMFORD,United States,06902,CT,TAXCENTERCT@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:08.9300000,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTRUST AUTO TRANSPORTATION LLC,LLC,Active,1395186,2022-03-31,2625 PARK AVE UNIT 4J,BRIDGEPORT,United States,06604,CT,ATLANTISLLC@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.1700000,Freight Transportation Arrangement (488510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EAGLE 1 CONSTRUCTION, LLC",LLC,Active,1395329,2022-03-31,1200 HIGH RIDGE ROAD,STAMFORD,United States,06905,CT,SEANW@SHAWNSLAWNS.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:13.4800000,Site Preparation Contractors (238910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 SOUTH WATER STREET LLC,LLC,Active,1395696,2022-03-31,50 SHADY LANE,GREENWICH,United States,06831,CT,RICO824@AOL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:04.0266667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRAP STAR LLC,LLC,Active,1395257,2022-03-31,275 HIGHLAND DR,WATERBURY,United States,06708,CT,WHO.BJONES@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:04.0400000,Automotive Glass Replacement Shops (811122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-SWANS LLC,LLC,Active,1395235,2022-03-31,67 GEER ST,CROMWELL,United States,,CT,RSWANS72@YAHOO.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.2133333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYA GROUP, LLC",LLC,Active,1395265,2022-03-31,85 COMMERCE STREET,CLINTON,United States,06413,CT,CAMPKROOP@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:12.2133333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DCD KINGS HWY, LLC",LLC,Active,1395202,2022-03-31,178 KINGS HIGHWAY CUTOFF,FAIRFIELD,,06824,CT,,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:06.2133333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOD ROAD U 6-10, LLC",LLC,Active,1395237,2022-03-31,112 NOD ROAD,CLINTON,United States,06413,CT,SALES@JRICONCRETE.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:24.9500000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELESTINO MAZA LLC,LLC,Active,1395234,2022-03-31,69 MILL PLAIN RD,DANBURY,United States,06811,CT,J.FIESCHI71@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:29.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRSS, LLC",LLC,Active,1395153,2022-03-31,315 CEDAR LAKE ROAD,DEEP RIVER,United States,06417,CT,GARCT3@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:17.7166667,Other Scientific and Technical Consulting Services (541690),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARISANT INC.,Stock,Active,1395187,2022-06-08,1601 MARKET STREET,PHILADELPHIA,United States,19103,PA,JILL.BOLDE@AGILELEGAL.COM,Foreign,2021-06-08,DE,DE,False,False,False,False,False,2021-11-10 00:04:20.2933333,Computer Systems Design Services (541512),2021-06-01,CLARISANT INC.,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJM DEVELOPERS LLC,LLC,Active,1395263,2022-03-31,65 WINDERMERE DR,YONKERS,United States,10710,NY,EFILE1234@INCFILE.COM,Domestic,2021-06-08,NY,Connecticut,False,False,False,False,False,2021-11-10 00:04:21.0300000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOCUS NUTRITION AND WELLNESS, LLC",LLC,Active,1395256,2022-03-31,145 SISSON STREET,EAST HARTFORD,United States,06128,CT,COLLEENRANKINE@AOL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:20.2933333,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C A GARTHWAITE LLC,LLC,Active,1395184,2022-03-31,480 PALISADO AVENUE,WINDSOR,United States,06095,CT,CAGARTHWAITE@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:20.9833333,Professional Organizations (813920),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEARBOX LLC,LLC,Active,1395238,2022-03-31,4 STAR POINT,STAMFORD,United States,06902,CT,JESSICA.POSADA@WHEEL-HOUSE.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:21.6066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM CARE LLC,LLC,Active,1395156,2022-03-31,100 COMMONS PARK NORTH APT 606,STAMFORD,United States,06902,CT,CANDYCESPEARMAN@CONNEC-TO-TALK.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:17.0900000,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE TIMBERLAKE, LLC",LLC,Active,1395297,2022-03-31,"C/O DOUGLAS ELLIMAN REALTY, LLC 575 MADISON AVENUE",NEW YORK,United States,10022,NY,SHILTZIK@CERTILMANBALIN.COM,Domestic,2021-06-08,NY,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN BLUE CARE LLC,LLC,Active,1395327,2022-03-31,45 BARBER POND RD,BLOOMFIELD,United States,06002,CT,SERDARAYDIN7777@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:27.6700000,All Other Travel Arrangement and Reservation Services (561599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JADE GEMINI LLC,LLC,Active,1395258,2022-03-31,137 HILLCREST ROAD,BRIDGEPORT,United States,06606,CT,JADEGEMINILLC@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:24.9366667,Marketing Consulting Services (541613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAGNOSIS+ LLC,LLC,Active,1395262,2022-03-31,225 BRIDGE STREET,GROTON,United States,06340,CT,RYANDAVIS93@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.9666667,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUST A CUP COFFEE LLC,LLC,Active,1395170,2022-03-31,670 BROAD ST 201,HARTFORD,United States,06106,CT,COFFEEJUSTACUP@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:21.6400000,Mobile Food Services (722330),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLUE FEATHER WELLNESS OF CT, LLC",LLC,Active,1395154,2022-03-31,8 HARBOR VILLAGE,BRANFORD,United States,06405,CT,DANABREWER10@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:21.0300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANESH HOME IMPROVEMENT LLC,LLC,Active,1395236,2022-03-31,2858 E MAIN ST,WATERBURY,United States,06705,CT,MUNIINSURANCECO@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:17.6866667,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD DAY INC,Non-Stock,Active,1395264,2022-09-07,c/o GY&FS 36 GRAVES AVE,Guilford,United States,06437,CT,whihn@snet.net,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:20.9500000,Child and Youth Services (624110),,,,,,,,,,,,,,,,,2021-09-07,,,,,,,,,,,,,,
BECKWITH POWER WASHING LLC,LLC,Active,1395261,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:17.0433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDUVI LLC,LLC,Active,1395172,2022-03-31,165 MIDDLESEX AVE.,SOMERVILLE,United States,02145,MA,RLIN@MEDUVI.COM,Foreign,2021-06-08,MA,MA,False,False,False,False,False,2021-11-10 00:04:25.5466667,Temporary Help Services (561320),2019-10-10,MEDUVI LLC,United States,"165 MIDDLESEX AVE., SOMERVILLE, MA, 02145, United States",165 MIDDLESEX AVE.,SOMERVILLE,MA,02145,United States,"165 MIDDLESEX AVE., SOMERVILLE, MA, 02145, United States",165 MIDDLESEX AVE.,SOMERVILLE,MA,02145,United States,,,,,,,,,,,,,,,,
"CALISTO, LLC",LLC,Active,1395168,2022-03-31,22 PARK LANE,DARIEN,United States,06820,CT,HSEYMOUR@ME.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:29.0466667,All Other Telecommunications (517919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRESTIGE WORLDWIDE SOLUTIONS, LLC",LLC,Active,1395157,2022-03-31,23 LITTLE BROOK LANE,NEWTOWN,United States,06470-2343,CT,mike@prestigeworldwidesolutions.com,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:24.9666667,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLAND BUILD LLC,LLC,Active,1395376,2022-03-31,17 LAWLOR STREET,WATERBURY,United States,06708,CT,HIGHLANDBUILD101@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:20.2800000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWOMAGNETS INC.,Stock,Active,1395680,2022-06-08,"340 S LEMON AVE, #5028",WALNUT,United States,91789,CA,FILINGS@VCORPSERVICES.COM,Foreign,2021-06-08,DE,DE,False,False,False,False,False,2021-11-10 00:04:33.8900000,,2021-06-08,TWOMAGNETS INC.,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIPS AND PAWS LLC,LLC,Active,1395299,2022-03-31,48 PUTNAM RD,BETHEL,United States,06801,CT,MICHELLE@NIPSANDPAWS.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.9200000,Pet and Pet Supplies Stores (453910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIND BODY RISE, LLC",LLC,Active,1395171,2022-03-31,808 STONINGTON ROAD FRONT,STONINGTON,United States,06378,CT,TERRIFOGGDONOVAN@YAHOO.COM,Domestic,2021-06-08,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:37.0633333,Outpatient Mental Health and Substance Abuse Centers (621420),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITRANSLATE PROFESSIONAL SERVICES LLC,LLC,Active,1395169,2022-03-31,80 FOURTH STREET SUITE 3,STAMFORD,United States,06905,CT,DOCS@ITRANSLATEPRO.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:37.6400000,Document Preparation Services (561410),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FARBER INTERNATIONAL ARTS & MEDIA, LLC",LLC,Active,1395933,2022-03-31,102 HARVEST COMMONS,WESTPORT,,06880,CT,SAMANTHA.FARBER@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:38.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBISI BUILDERS LLC,LLC,Active,1395374,2022-03-31,695 COUNTRY CLUB RD,MIDDLETOWN,United States,06457,CT,JOSEPHBIBISI@YAHOO.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:39.5300000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FACTIVA, INC.",Stock,Active,1395176,2022-06-08,"1211 AVENUE OF THE AMERICAS, 7TH FLOOR",NEW YORK,United States,10036,NY,GOVDOCS@CORPCREATIONS.COM,Foreign,2021-06-08,DE,DE,False,False,False,False,False,2021-11-10 00:04:37.1266667,Administrative Management and General Management Consulting Services (541611),2021-06-04,"FACTIVA, INC.",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC MEDICAL SOLUTIONS LLC,LLC,Active,1395298,2022-03-31,63 ROBIN HILL ROAD,NEWTOWN,United States,06470,CT,CHRISCARAM@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:34.5300000,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & M BERMEOS TRANSPORT LLC,LLC,Active,1395324,2022-03-31,"86 HIGHVIEW AVE, APT2",STAMFORD,United States,06907,CT,SMOURA@ATLANTISTAXLLC.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.2333333,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MINOAN GROTON, LLC",LLC,Active,1395270,2022-03-31,62 HALEY CRESANT ROAD,GROTON,United States,06340,CT,JOHNNYARMAOS@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:37.6866667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLO PAO INVESTORS LLC,LLC,Active,1395271,2022-03-31,2389 MAIN STREET STE 100,GLASTONBURY,United States,06033,CT,LLCSUPPORT@PRIMECORPORATESERVICES.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:38.3133333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAQUETTE FINE ART SERVICES, LLC",LLC,Active,1395267,2022-03-31,"48-49 35TH STREET, 2ND FLOOR",LONG ISLAND CITY,United States,11101,NY,JURGA@MAQUETTEFAS.COM,Foreign,2021-06-08,DE,DE,False,False,False,False,False,2021-11-10 00:04:38.2033333,,2021-06-04,"MAQUETTE FINE ART SERVICES, LLC",United States,"108 WEST 13TH ST, WILMINGTON, DE, 19801, United States",108 WEST 13TH ST,WILMINGTON,DE,19801,United States,"108 WEST 13TH ST, WILMINGTON, DE, 19801, United States",108 WEST 13TH ST,WILMINGTON,DE,19801,United States,,,,,,,,,,,,,,,,
BUSSIERE LOGISTICS LLC,LLC,Active,1395266,2022-03-31,43 BROOK RD,ENFIELD,United States,06082,CT,EFILE1234@INCFILE.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:40.2800000,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 OLD MILL ROAD LLC,LLC,Active,1395274,2022-03-31,21 OLD MILL ROAD,WESTPORT,United States,06880,CT,21OLDMILLROAD@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:52.8800000,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGMB LOGISTICS L.L.C.,LLC,Active,1395323,2022-03-31,65 SALTONSTALL AVE,NEW HAVEN,United States,06513,CT,EFILE1234@INCFILE.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:53.9900000,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4K EXCAVATION LLC,LLC,Active,1395177,2022-03-31,29 CHURCH HILL RD,TRUMBULL,United States,06611,CT,ATLANTISLLC@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:55.3366667,Freight Transportation Arrangement (488510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&M TRUCKING TRANSPORT LLC,LLC,Active,1395175,2022-03-31,47 PEARL ST.,NORWICH,United States,06360,CT,JAREDDICLEMENTE1990@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:50.9700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVLASHED LLC,LLC,Active,1395268,2022-03-31,246 FEDERAL ROAD,BROOKFIELD,United States,06804,CT,LIVLASHEDCT@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:42.8300000,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492 RUANE LLC,LLC,Active,1395109,2022-03-31,20 SCENIC HILL LANE,MONROE,,06468,CT,LOUISREGINAIII@GMAIL.CM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:53.3333333,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HERMAN LAW FIRM, P.A., P.C.",Stock,Active,1395977,2022-06-08,1800 N. MILITARY TRAIL SUITE 160,BOCA RATON,,33431,FL,FINANCE@HERMANLAW.COM,Foreign,2021-06-08,FL,FL,False,False,False,False,False,2021-11-10 00:04:42.8600000,,1997-04-29,"HERMAN LAW FIRM, P.A. P.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUKHMA AND BROTHERS INC,Stock,Active,1395269,2022-10-07,217 CAMPBELL AVE,WEST HAVEN,United States,06516,CT,ISHFAQ707@YAHOO.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:45.0166667,General Rental Centers (532310),,,,,,,,,,,,,,,,,2021-09-01,200.0,,,,,,,,,,,,,
REEL WRITING LLC,LLC,Active,1395273,2022-03-31,64 WEST HILL CIRCLE,STAMFORD,United States,06902,CT,DIRECTOR@GREENWICHPERFORMINGARTS.COM,Domestic,2021-06-08,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:46.2966667,Educational Support Services (611710),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXLE CAPITAL LLC,LLC,Active,1395326,2022-03-31,75 COALPIT HILL ROAD APT 6,DANBURY,United States,06810,CT,DGHLE97@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:52.7866667,Shoe Stores (448210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP CLEANING SERVICE LLC,LLC,Active,1395215,2022-03-31,14 FAIRVIEW AVE,NORWALK,United States,06850,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:02.5933333,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVOLVE HCM SOLUTIONS LLC,LLC,Active,1395275,2022-03-31,349 STRATFIELD ROAD,FAIRFIELD,United States,06825,CT,LARODRIGUEZ@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:42.7966667,Human Resources Consulting Services (541612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW ENGLAND TREE EXPERTS, LLC",LLC,Active,1395322,2022-03-31,1269 SILVER LANE,EAST HARTFORD,United States,06118,CT,MDP19571@HOTMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:05.1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWLING WOLF INK LLC,LLC,Active,1395174,2022-03-31,"287 MAIN ST., APT. 2C",NORWICH,United States,06360,CT,AJNIBLACKAJNIBLACK@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:58.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX MOVE  CARRIERS LLC,LLC,Active,1395272,2022-03-31,39 ROBIN ROAD APT 304,WEST HARTFORD,United States,06119,CT,BOXMOVECARRIERS@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:44.9700000,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FELIPE CRUZ SERVICES, LLC",LLC,Active,1395318,2022-03-31,110 MADISON TERR,BRIDGEPORT,United States,06606,CT,FELIPEATL@OUTLOOK.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:56.7900000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRY LLC,LLC,Active,1395214,2022-03-31,149 DURHAM ROAD UNIT 30,MADISON,United States,06443,CT,RANCE@MAINSAILCM.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:53.4600000,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIOT & ELAIDEN LLC,LLC,Active,1395644,2022-03-31,69 NEW ST,SHELTON,United States,06484,CT,ELVIST.HOXHA@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:05.1566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANK & CAITLIN LAUNDROMAT LLC,LLC,Active,1395356,2022-03-31,67 WALNUT TREE HILL RD.,SANDY HOOK,United States,06482,CT,FGANTEK22@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:07.2333333,Coin-Operated Laundries and Drycleaners (812310),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMEGOODS HAVEN DISTRIBUTION LLC,LLC,Active,1395382,2022-03-31,13-18 FOREST GLEN CIRCLE,MIDDLETOWN,United States,06457,CT,INFO@RUSHFILING.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:58.1833333,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAMI GROUP, LLC",LLC,Active,1395780,2022-03-31,3 SHADOWLAWN DR,WESTPORT,,06880,CT,MHAMIOUI@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:59.4966667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERLASTING LOGISTICS LLC,LLC,Active,1395216,2022-03-31,94 SISSON ST,EAST HARTFORD,United States,06118,CT,EVERLASTINGDISPATCHING19@GMAIL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,True,False,False,2021-11-10 00:05:04.6233333,All Other Support Activities for Transportation (488999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322 ROXBURY ROAD LLC,LLC,Active,1395645,2022-03-31,580 SHUTTLE MEADOW AVENUE,NEW BRITAIN,United States,06052,CT,JPALA59685@AOL.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,True,False,2021-11-10 00:05:03.1400000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOLFI MUSIC LLC,LLC,Active,1395360,2022-03-31,635 W 170TH STREET APARTMENT 5F,NEW YORK CITY,United States,10032,NY,MSTOLFI816@GMAIL.COM,Domestic,2021-06-08,NY,Connecticut,False,False,True,False,False,2021-11-10 00:05:04.6233333,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKEN BACK LLC,LLC,Active,1395373,2022-03-31,80 CARTWRIGHT ST UNIT 3H,BRIDGEPORT,United States,06604,CT,JOHNGREENE4202@YAHOO.COM,Domestic,2021-06-08,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:58.7800000,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT REAL ESTATE PRINCIPLES AND PRACTICE LLC,LLC,Active,1395307,2022-03-31,1001 FARMINGTON AVE,WEST HARTFORD,United States,06107,CT,INFO@CTREALESTATEPANDP.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:07.8900000,Exam Preparation and Tutoring (611691),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLA314 LLC,LLC,Active,1395317,2022-03-31,331 SMITH ST,SOUTH WINDSOR,United States,06074,CT,VCOLA@COX.NET,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:03.9666667,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKC LLC,LLC,Active,1395782,2022-03-31,16 F COUNTRY SQUIRE DRIVE,CROMWELL,,06416,CT,ARTYC@KACHLLC.COM,Domestic,2021-06-08,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:58.2000000,Consumer Lending (522291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
