name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,sub_status,date_of_organization_meeting,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,billing_unit,mailing_international_address,mailing_address,category_survey_email_address
IRVING RE HOLDINGS LLC,LLC,Active,1386519,2022-03-31,264 MAIN STREET #105,TORRINGTON,United States,06790,CT,FALCONVALLEYPROPERTIES@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:43.5866667,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
"REVIREO, INC",Stock,Active,1386156,2022-04-06,200 SOUTH AVE EAST SUITE 303,CRANFORD,United States,07016,NJ,MMCFARLANE@ROBINSONCO.NET,Foreign,2021-04-06,NJ,NJ,False,False,False,False,False,2021-11-10 00:05:48.2600000,,,,,2021-01-01,"REVIREO, INC",United States,,,,,,,,,,,,,,,,,
BLOSS-YUM LLC,LLC,Active,1386329,2022-03-31,128 KENYON CIRCLE,NEW BRITAIN,United States,06053,CT,TACOSTA501@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:44.9466667,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,,,,,
"EPS PROPERTY MANAGEMENT, LLC",LLC,Active,1386970,2022-03-31,11 FALLS AVENUE,OAKVILLE,United States,06779,CT,BELA@EPSSPORT.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:38.2233333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
THE COHORT LLC,LLC,Active,1386150,2022-03-31,113 NORTH AVENUE,WESTPORT,United States,06880,CT,ROBBYNFOOTLICK@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:42.3200000,,,,,,,,,,,,,,,,,,,,,,,,
HOME & HARMONY LLC,LLC,Active,1386233,2022-03-31,1204 FARMINGTON AVE,BERLIN,United States,06037,CT,SCSILVA73@YAHOO.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:39.7233333,"Gift, Novelty, and Souvenir Stores (453220)",,,,,,,,,,,,,,,,,,,,,,,
THOMAS BRADY TRANSPORT LLC,LLC,Active,1386149,2022-03-31,"4 Research Dr, Suite 402 One Reservoir Corporate Center",Shelton,United States,06484,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:49.5733333,,,,,,,,,,,,,,,,,,,,,ste 402,,,
"CAFFEINE & CARBURETORS CAFE, LLC",LLC,Active,1386157,2022-03-31,75 PINE STREET,NEW CANAAN,United States,06840,CT,DOUG.ZUMBACH@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:38.2533333,Limited-Service Restaurants (722513),,,,,,,,,,,,,,,,,,,,,,,
MRW CONSULTING LLC,LLC,Active,1386158,2022-03-31,257 SOUTH CHERRY STREET,WALLINGFORD,United States,06492,CT,MATT@MRWCONSULTINGLLC.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:45.5233333,,,,,,,,,,,,,,,,,,,,,,,,
JJM-3 LLC,LLC,Active,1386146,2022-03-31,70 3RD STREET,HAMDEN,United States,06514,CT,JJM3LLC@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,True,False,False,2021-11-10 00:03:24.5200000,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,
JEWEL BODYTALK INCORPORATED,Non-Stock,Active,1386798,2022-04-12,220 DIXWELL AVE,NEW HAVEN,United States,06511,CT,BODYTALKTV.CT@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:26.6933333,Religious Organizations (813110),,,,,,,,,,,,,,,,,,,,,,,
"CHARDAN CAPITAL MARKETS, LLC",LLC,Active,1388208,2022-03-31,1 EAST PUTNAM AVENUE FLOOR 4,GREENWICH,,06830,CT,,Foreign,2021-04-06,NY,NY,False,False,False,False,False,2021-11-10 00:03:20.1466667,,,,,2021-02-02,"CHARDAN CAPITAL MARKETS, LLC",,,,,,,,,,,,,,,,,,
FOREST GREEN LLC,LLC,Active,1386165,2022-03-31,130 RIDGEWOOD DR,MIDDLEBURY,United States,06762,CT,CAROLMARIACHO@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:19.4733333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
"INTERNATIONAL LEARNING MODULES, LLC",LLC,Active,1386351,2022-03-31,2 KLARIDES VILLAGE DR SUITE 129,SEYMOUR,United States,06483,CT,NIZARJINNAH@ILMEDUCATE.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:22.1600000,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,,,,,,,,,,,,,,,,
"RB MARTIN & COMPANY, LLC",LLC,Active,1386225,2022-03-31,21 HUGH STREET,WEST HARTFORD,United States,,CT,RON.BARTENSTEIN@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:21.5366667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
"STRATEGIC WEALTH PARTNERS GROUP, LLC",LLC,Active,1388209,2022-03-31,875 3RD AVENUE 28TH FLOOR `,NEW YORK,,10022-6220,NY,CT-STATECOMMUNICATIONS@WOLTERSKLUWER.COM,Foreign,2021-04-06,DE,DE,False,False,False,False,False,2021-11-10 00:03:16.6466667,,,,,2021-03-01,"STRATEGIC WEALTH PARTNERS GROUP, LLC",,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,,,,,
SOLEIL BRANDS INC.,Stock,Active,1386221,2022-10-05,5 Tall Trees Dr,Westport,United States,06880-2319,CT,JMBERGEAL@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:22.8500000,Other Clothing Stores (448190),,2021-04-06,,,,,,,,,,,,,,,,,10000.0,,,,
WILLOW PAWS CANINE MASSAGE LLC,LLC,Active,1386222,2022-03-31,1204 MAIN STREET #749,BRANFORD,United States,06415,CT,WILLOWPAWS76@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,False,False,False,2021-11-10 00:03:17.9600000,Pet Care (except Veterinary) Services (812910),,,,,,,,,,,,,,,,,,,,,,,
KMC LLC,LLC,Active,1386238,2022-03-31,314 N MAPLE AVENUE,GREENWICH,United States,06830,CT,KBROSNAN52@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:28.0366667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
"MADISON & MULHOLLAND, INC.",Stock,Active,1386442,2022-08-16,61 ROCK SPRING ROAD Apartment 35,STAMFORD,United States,06906,CT,FILINGS@CORPNET.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:18.7100000,"Gift, Novelty, and Souvenir Stores (453220)",Annual report due,2021-04-08,,,,,,,,,,,,,,,,,1500.0,,,,
"CREDIT UNION NATIONAL ASSOCIATION, INC.",Non-Stock,Active,1386239,2022-04-06,5710 MINERAL POINT ROAD,MADISON,United States,53705-4117,WI,ALARSON@CUNA.COOP,Foreign,2021-04-06,WI,WI,False,False,False,False,False,2021-11-10 00:03:29.3500000,Business Associations (813910),,,,2021-03-24,"CREDIT UNION NATIONAL ASSOCIATION, INC.",United States,,,,,,,,,,,,,,,,,
THE MARVELOUS COLLECTIVES LLC,LLC,Active,1386173,2022-03-31,106 EASTVIEW DRIVE,WINDSOR,United States,06095,CT,MRSWOODSTOCK06@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.7733333,Clothing Accessories Stores (448150),,,,,,,,,,,,,,,,,,,,,,,
"LA PLACITA OF BETHEL, LLC",LLC,Active,1386237,2022-03-31,289 GREENWOOD AVENUE SPACE NO. 7,BETHEL,,06801,CT,JIM@WEINBERGPC.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.0833333,,,,,,,,,,,,,,,,,,,,,,,,
VALIENTE CONSTRUCTION LLC,LLC,Active,1386224,2022-03-31,1738 NORTH AVE  APT 1,BRIDGEPORT,United States,06604,CT,CZUNIGA@ROHUER.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:32.0200000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,
THE CHEESECAKE COLLECTION LLC,LLC,Active,1386932,2022-03-31,3 ROBERT LANE,WESTPORT,United States,06880,CT,PANTZOSIRAKLIS@YAHOO.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:32.0066667,Caterers (722320),,,,,,,,,,,,,,,,,,,,,,,
RED KEY LLC,LLC,Active,1386223,2022-03-31,9 AMY DRIVE,WINDSOR,United States,06095,CT,REDKEYPSS@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:37.0533333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
MCCLEARY'S HOUSE LLC,LLC,Active,1386597,2022-03-31,1224 MILL STREET BUILDING B SUITE  224,EAST BERLIN,United States,,CT,MCCLEARYSHOUSELLC@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:41.1633333,Other Community Housing Services (624229),,,,,,,,,,,,,,,,,,,,,,,
TAJA CORP,Stock,Active,1386164,2022-04-07,100 MOREHOUSE DR,FAIRFIELD,United States,06825,CT,FREDYGJARAMILLO@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,True,False,False,2021-11-10 00:03:39.8366667,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,100.0,,,,
"RTS WATER SOLUTIONS, LLC",LLC,Active,1386596,2022-03-31,9240 63RD STREET,PARKVILLE,United States,64152,MO,EHECIMOVICH@ENVOCORE.COM,Foreign,2021-04-06,DE,DE,False,False,False,False,False,2021-11-10 00:03:37.7900000,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,,,2021-04-06,"RTS WATER SOLUTIONS, LLC",United States,"614 N DUPONT HWY SUITE 210, DOVER, DE, 19901, United States",614 N DUPONT HWY SUITE 210,DOVER,DE,19901,United States,"614 N DUPONT HWY SUITE 210, DOVER, DE, 19901, United States",614 N DUPONT HWY SUITE 210,DOVER,DE,19901,United States,,,,,
"POULOS & BENNETT, LLC",LLC,Active,1386166,2022-03-31,2602 E LIVINGSTON ST,ORLANDO,United States,32803,FL,CBURCH@POULOSANDBENNETT.COM,Foreign,2021-04-06,FL,FL,False,False,False,False,False,2021-11-10 00:03:37.1166667,Engineering Services (541330),,,,2021-05-03,"POULOS & BENNETT, LLC",United States,"2602 E LIVINGSTON ST, ORLANDO, FL, 32803, United States",2602 E LIVINGSTON ST,ORLANDO,FL,32803,United States,"2602 E LIVINGSTON ST, ORLANDO, FL, 32803, United States",2602 E LIVINGSTON ST,ORLANDO,FL,32803,United States,,,,,
SUITES BOUTIQUE LLC,LLC,Active,1386240,2022-03-31,200 CONESTOGA ST,WINDSOR,United States,06095,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.1300000,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,,,,,,,,,,,,,,,,
THE PEOPLE'S TUNA LLC,LLC,Active,1386205,2022-03-31,31 CHAPEL STREET,WALLINGFORD,United States,06492,CT,JDE.DESIGN@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:37.1800000,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,,,,,
POND BROOK PRODUCTIONS INC,Stock,Active,1386162,2022-04-29,17 POND BROOK RD,NEWTOWN,United States,06470,CT,pondbrookprods@gmail.com,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:41.1333333,Motion Picture and Video Production (512110),,,,,,,,,,,,,,,,,,,10000.0,,,,
MATTYSALES LLC,LLC,Active,1386443,2022-03-31,85 HIGH STREET,WALLINGFORD,United States,06492,CT,MMSELLERSHOP@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:53.8833333,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,
ZV ENTERPRISES LLC,LLC,Active,1386387,2022-03-31,153 WEST ROAD,MARLBOROUGH,United States,06447,CT,TAPASBLOOMFIELD@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:53.8833333,Limited-Service Restaurants (722513),,,,,,,,,,,,,,,,,,,,,,,
787 FARMINGTON LLC,LLC,Active,1385966,2022-03-31,958 MIDDLESEX TURNPIKE,OLD SAYBROOK,,06475,CT,,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:55.2266667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
OLIVIERO CONSTRUCTION CORP.,Stock,Active,1386289,2022-04-06,10 SHELTER DRIVE,COS COB,United States,06807,CT,MCASTELLI@OCC.NYC,Foreign,2021-04-06,NY,NY,False,False,False,False,False,2021-11-10 00:03:45.7266667,Poured Concrete Foundation and Structure Contractors (238110),,,,2009-01-01,OLIVIERO CONSTRUCTION CORP.,United States,,,,,,,,,,,,,,,,,
"4 D'AMATO DRIVE, LLC",LLC,Active,1386346,2022-03-31,489 WOLCOTT STREET APT. 66,BRISTOL,,06010,CT,jess@webuyhousesinconnecticut.com,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:42.5400000,,,,,,,,,,,,,,,,,,,,,,,,
TINKER BUILDING LLC,LLC,Active,1386337,2022-03-31,415 COTTAGE GROVE RD,BLOOMFIELD,United States,06002,CT,ACEDEVELOPMENTS10@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:45.7566667,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,
"NATURE'S TOUCH FROZEN FOODS, LLC",LLC,Active,1386204,2022-03-31,190 TORAY DR.,FRONT ROYAL,United States,22630,VA,INFO@CORPOMAX.COM,Foreign,2021-04-06,VT,VT,False,False,False,False,False,2021-11-10 00:03:53.9466667,,,,,2021-04-06,"NATURE'S TOUCH FROZEN FOODS, LLC",United States,,,,,,,,,,,,,,,,,
BROWNIES HOME IMPROVEMENTS LLC,LLC,Active,1386288,2022-03-31,6 SHORT STREET 6 SHORT ST,WATERBURY,United States,06704,CT,FRANCINE.BROWN1963@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:55.2733333,New Multifamily Housing Construction (except For-Sale Builders) (236116),,,,,,,,,,,,,,,,,,,,,,,
354 KATE DOWNING LLC,LLC,Active,1386336,2022-03-31,3225 MCLEOD DR STE 100,LAS VEGAS,United States,89121,NV,RA@ANDERSONADVISORS.COM,Domestic,2021-04-06,NV,Connecticut,False,False,False,False,False,2021-11-10 00:03:49.3366667,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS AFFORDABLE HOME RENOVATION, LLC",LLC,Active,1386290,2022-03-31,"55 ELM STREET, UNIT 13-D",SIMSBURY,United States,06081,CT,YOUNGSTARRECORDSUSA@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:50.6800000,,,,,,,,,,,,,,,,,,,,,,,,
REDGRAVE LLP,LLP,Active,1386185,2022-04-06,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@REGISTEREDAGENTSINC.COM,Foreign,2021-04-06,DE,DE,False,False,False,False,False,2021-11-10 00:03:45.1000000,All Other Legal Services (541199),,,,2021-04-06,REDGRAVE LLP,United States,,,,,,,,,,,,,,,,,
"68 GRANDVIEW, LLC",LLC,Active,1386188,2022-03-31,714 CHAMBERLAIN HIGHWAY,BERLIN,United States,06037,CT,ALANSLANDSCAPING@COMCAST.NET,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:47.5866667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
YOKU OPERATING COMPANY LLC,LLC,Active,1386291,2022-03-31,580 FARMINGTON AVENUE,HARTFORD,United States,06105,CT,RON@YOKUFANS.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:55.8366667,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers (423620)",,,,,,,,,,,,,,,,,,,,,,,
"61 RIDGE ROAD, LLC",LLC,Active,1386348,2022-03-31,489 WOLCOTT STREET APT. 66,BRISTOL,,06010,CT,jess@webuyhousesinconnecticut.com,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:56.5866667,,,,,,,,,,,,,,,,,,,,,,,,
WE-HA FIXER LLC,LLC,Active,1386182,2022-03-31,15 ROYAL OAK DR.,WEST HARTFORD,United States,06107,CT,WEHAFIXER@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:58.5400000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,
LEVEL UP PROPERTIES LLC,LLC,Active,1386335,2022-03-31,27 HIGHLAND ROAD NORTH,WINDSOR LOCKS,United States,06096,CT,JOEFREJR@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:56.5700000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,
JSVAL LLC,LLC,Active,1386138,2022-03-31,317 KING STREET,NAUGATUCK,United States,06670,CT,JSVALDEZ@COMCAST.NET,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:55.8533333,Other Financial Vehicles (525990),,,,,,,,,,,,,,,,,,,,,,,
STEPHANIE HAIRSTYLES LLC,LLC,Active,1386338,2022-03-31,73 BIRDSEY AVE,MIDDLETOWN,United States,,CT,STEPHANIETGRANT@HOTMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,False,False,False,2021-11-10 00:03:59.1666667,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",,,,,,,,,,,,,,,,,,,,,,,
206 TALCOTTVILLE ROAD LLC,LLC,Active,1386136,2022-03-31,36 CARDINAL WAY,SOUTH WINDSOR,United States,06074,CT,ATWOOD3460@YAHOO.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:57.7600000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
"WEST THAMES PROPERTY MANAGEMENT, LLC.",LLC,Active,1386349,2022-03-31,583 WEST THAMES ST.,NORWICH,United States,06360,CT,NORTHEASTTOWING@YAHOO.COM,Domestic,2021-04-06,CT,Connecticut,True,False,False,False,False,2021-11-10 00:03:58.5566667,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
ORVY PROPERTY MANAGEMENT LLC,LLC,Active,1386134,2022-03-31,238 MADISON TERRACE,BRIDGEPORT,United States,06606,CT,ORVY52@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:59.2433333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
SWANSTATUZ LLC,LLC,Active,1386137,2022-03-31,19 SPRUCE LN,ANSONIA,United States,06401,CT,SWANSTATUZ@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:55.9133333,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,
USA CONNECTING JA REGISTRAR LLC,LLC,Active,1386135,2022-03-31,1450 BARNUM AVE 176 MAGNOLIA ST,BRIDGEPORT,United States,06610-1720,CT,SHANIEKABEE@GMAIL.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:56.5233333,All Other Information Services (519190),,,,,,,,,,,,,,,,,,,,,,,
"773 EAST BROADWAY, LLC",LLC,Active,1386183,2022-03-31,9 HAYLEDGE COURT,WALLINGFORD,United States,06492,CT,ASHLEY@PETERSONZAMAT.COM,Domestic,2021-04-06,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:56.5233333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
"R3BO, LLC",LLC,Active,1386497,2022-03-31,134 WILLOWBROOK AVE,STAMFORD,United States,06902,CT,R3BOTEAM@GMAIL.COM,Domestic,2021-04-07,CT,Connecticut,False,False,True,False,False,2021-11-10 00:05:52.7500000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,
YARDEN MANOR LLC,LLC,Active,1386550,2022-03-31,34 CONNECTICUT BLVD,EAST HARTFORD,United States,06108,CT,OFFICE@UPREALTYNY.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:55.3900000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
ALL THINGS POUR ELLE STUDIO LLC,LLC,Active,1386547,2022-03-31,592 NEW BRITAIN AVE,HARTFORD,United States,06106,CT,INFO@ALLTHINGSPOURELLE.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:58.2800000,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,
PREMIUMSTASHCAN L.L.C.,LLC,Active,1386449,2022-03-31,425 WOODSIDE AVE,BRIDGEPORT,United States,06606,CT,PREMIUMSTASHCAN@GMAIL.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:58.3266667,,,,,,,,,,,,,,,,,,,,,,,,
TIMCO PARTNERS LLC,LLC,Active,1386410,2022-03-31,16 HIGHGATE ROAD,RIVERSIDE,,06878,CT,TIMCOPARTNERS@GMAIL.COM,Foreign,2021-04-07,DE,DE,False,False,False,False,False,2021-11-10 00:06:01.5300000,Administrative Management and General Management Consulting Services (541611),,,,2021-04-07,TIMCO PARTNERS LLC,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,,,,,
SOUNDVIEW LIVING LLC,LLC,Active,1386412,2022-03-31,715 S BENSON RD.,FAIRFIELD,,06824,CT,ALICIA.BRATTON@ICLOUD.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:54.7333333,,,,,,,,,,,,,,,,,,,,,,,,
JACKY HOLLOW LLC,LLC,Active,1386294,2022-03-31,431 MAIN STREET,MANCHESTER,United States,06040,CT,JACKYHOLLOW@GMAIL.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:02.1566667,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,
CESAR ORTIZ LLC,LLC,Active,1386528,2022-03-31,19 EARL ST 3RD FLOOR,WATERBURY,United States,06710,CT,ONEOAKAGENCY@YAHOO.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.7966667,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,,,,,
PETIX COMPANY LLC,LLC,Active,1386325,2022-03-31,"101 FRANKLIN STREET, SUITE # 4",WESTPORT,United States,06880,CT,KRISTERHOLM@PETIX.COM,Foreign,2021-04-07,DE,DE,False,False,False,False,False,2021-11-10 00:05:56.2333333,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),,,,2021-04-05,PETIX COMPANY LLC,United States,"CORPORATE CREATIONS NETWORK INC. 3411 SILVERSIDE RD RODNEY BLDG 104, WILMINGTON, DE, 19810, United States",CORPORATE CREATIONS NETWORK INC. 3411 SILVERSIDE RD RODNEY BLDG 104,WILMINGTON,DE,19810,United States,"CORPORATE CREATIONS NETWORK INC 3411 SILVERSIDE RD RODNEY BLDG #104, WILMINGTON, DE, 19810, United States",CORPORATE CREATIONS NETWORK INC 3411 SILVERSIDE RD RODNEY BLDG #104,WILMINGTON,DE,19810,United States,,,,,
AA SUSHI LLC,LLC,Active,1386496,2022-03-31,4 HOOKER DRIVE,WEST HARTFORD,United States,06107,CT,NAYMYO648@GMAIL.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:59.5300000,Food Service Contractors (722310),,,,,,,,,,,,,,,,,,,,,,,
ANTOINE FAMILY LLC,LLC,Active,1386526,2022-03-31,25 HAZEL STREET,STAMFORD,United States,06902,CT,EUGENE.ANTOINE@YAHOO.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:01.4833333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PLACE SHUTTLE LLC,LLC,Active,1386411,2022-03-31,C/O CENTER DEVELOPMENT CORP. 505 PARK AVE,NEW YORK,,10022,NY,,Domestic,2021-04-07,NY,Connecticut,False,False,False,False,False,2021-11-10 00:05:56.8100000,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,
ALLEGHANY CAPITAL CORPORATION,Stock,Active,1386409,2022-04-07,1411 BROADWAY 34TH FLOOR,NEW YORK,,10018,NY,DVANGEYZEL@ALLEGHANY.COM,Foreign,2021-04-07,DE,DE,False,False,False,False,False,2021-11-10 00:05:58.2633333,,,,,2021-04-07,ALLEGHANY CAPITAL CORPORATION,,,,,,,,,,,,,,,,,,
THE APP TRAP LLC,LLC,Active,1386482,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:56.1533333,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,
KWL SERVICES LLC,LLC,Active,1386524,2022-03-31,51 BRUNSWICK AVENUE,WEST HARTFORD,United States,06107,CT,KYLE.LINDBLAD@COMCAST.NET,Domestic,2021-04-07,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:52.8100000,Other Direct Selling Establishments (454390),,,,,,,,,,,,,,,,,,,,,,,
SICK LEGAL LLC,LLC,Active,1387041,2022-03-31,276 5TH AVENUE SUITE 704-3097,NEW YORK,,10001-4527,NY,ANDY.SICK@SICKLEGAL.COM,Foreign,2021-04-07,NJ,NJ,False,False,False,False,False,2021-11-10 00:05:58.2633333,Offices of Lawyers (541110),,,,2021-03-15,SICK LEGAL LLC,,,,,,,,,,,,,,,,,,
