name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,dissolution_date,sub_status,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
HAI-LIGHTS SALON LLC,LLC,Active,1376392,2022-03-31,,2329 BLACK ROCK TURNPIKE,FAIRFIELD,United States,06825,CT,HAIHOANGPHAM1968@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:57.4300000,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,
AXILIT PROPERTIES HOLDING LLC,LLC,Dissolved,1376406,2022-03-31,,35 WOOSTER COURT SUITE B1,BRISTOL,United States,06010-6785,CT,SZMAL@SBCGLOBAL.NET,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:00.1700000,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,2021-02-03T00:00:00.000,,,,,,
"MOHAN & VIRANI DDS, LLP",LLP,Renunciated,1376539,2022-02-03,,100 FANNING AVENUE,NORWICH,United States,06360,CT,MANIKMOHAN@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:07.8733333,Offices of Dentists (621210),,,,,,,,,,,,,,,,,,,
HNR ENTERPRISES UNIONVILLE LLC,LLC,Active,1376391,2022-03-31,,6 PARK POND PLACE,UNIONVILLE,United States,06085,CT,CUSTOMERSERVICE@ROGGISAUTO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:22.4533333,All Other Automotive Repair and Maintenance (811198),,,,,,,,,,,,,,,,,,,
THE YOUNG ARTIST CLUB LLC,LLC,Active,1376393,2022-03-31,,188 DAVIS HILL ROAD,WESTON,United States,06883,CT,GRACEDBRENNAN@HOTMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:23.7800000,Art Dealers (453920),,,,,,,,,,,,,,,,,,,
SOUTH A ST. LLC,LLC,Active,1376605,2022-03-31,,21 HUNTINGTON PL.,NORWICH,United States,06360,CT,RAZULWALLACE@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:19.2033333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
"PREFERRED DEVELOPMENT, LLC",LLC,Active,1376793,2022-03-31,,11 OTTERBROOK DRIVE,OLD SAYBROOK,United States,06475,CT,DDD12846@COMCAST.NET,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:16.2500000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
ARTFLAME 501(C)(3),Non-Stock,Active,1376490,2022-08-25,,243 Bank St,New London,United States,06320-6042,CT,ARTFLAMEORG@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,True,True,False,False,2021-11-10 00:05:21.7500000,Fine Arts Schools (611610),,,,,,,,,,,,,,Annual report due,,2021-06-01,,,
"RECOVERY POINT SYSTEMS, INC.",Stock,Active,1377460,2022-02-03,2021-01-19,31 BIRCH RD,WEST HARTFORD,,06119,CT,TPATTERSON@RECOVERYPOINT.COM,"RECOVERY POINT SYSTEMS, INC.",Foreign,,2021-02-03,DE,DE,False,False,False,False,False,2021-11-10 00:05:21.7500000,Other Computer Related Services (541519),,,,,,,,,,,,,,,,,,,
"QUICKMED DIAGNOSTIC, INC.",Stock,Active,1377458,2022-02-03,2021-02-02,15 BROOKS AVE UNIT A,VENICE,,90291,CA,ARTHUR@SAMEDAY-TESTING.COM,"QUICKMED DIAGNOSTIC, INC.",Foreign,,2021-02-03,CA,CA,False,False,False,False,False,2021-11-10 00:05:18.3433333,Testing Laboratories (541380),,,,,,,,,,,,,,,,,,,
MING EVENT SERVICES LLC,LLC,Active,1376492,2022-03-31,2020-01-02,2082 BUSINESS CENTER DR SUITE 292,IRVINE,United States,92612,CA,TAX@MINGENTERTAINMENT.COM,UNITED STATES,Foreign,United States,2021-02-03,USA,USA,False,False,False,False,False,2021-11-10 00:05:22.5633333,,"2082 BUSINESS CENTER DR SUITE 292, IRVINE, CA, 92612, United States",2082 BUSINESS CENTER DR SUITE 292,IRVINE,CA,92612,"2082 BUSINESS CENTER DR SUITE 292, IRVINE, CA, 92612, United States",2082 BUSINESS CENTER DR SUITE 292,IRVINE,CA,92612,United States,United States,,,,,,,
RISE AND SHINE DAYCARE LLC,LLC,Active,1376540,2022-03-31,,107 HARVARD ST,HARTFORD,United States,06106,CT,GIOVANNA.QUISPE@YAHOO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:36.1000000,Child Day Care Services (624410),,,,,,,,,,,,,,,,,,,
BOOSTED GIRLZ AUTOMOTIVE LLC,LLC,Active,1376457,2022-03-31,,161 TOLLAND ST A2,EAST HARTFORD,United States,06108,CT,BOOSTEDGIRLZAUTOMOTIVE@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:36.0833333,All Other Automotive Repair and Maintenance (811198),,,,,,,,,,,,,,,,,,,
"NAUTI., LLC",LLC,Active,1376493,2022-03-31,,132 DOROTHY ROAD,BRISTOL,United States,06010,CT,IBEENNAUTI@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:31.4400000,Clothing Accessories Stores (448150),,,,,,,,,,,,,,,,,,,
PARAFI PRIVATE OPPORTUNITIES LLC-SERIES F,LLC,Active,1376730,2022-03-31,2021-01-25,500 WEST PUTNAM AVE STE. 400,GREENWICH,,06830,CT,BEN.FORMAN@PARAFI.CAPITAL,PARAFI PRIVATE OPPORTUNITIES LLC,Foreign,,2021-02-03,DE,DE,False,False,False,False,False,2021-11-10 00:05:37.7233333,Investment Advice (523930),"1013 CENTRE RD STE. 403-B, WILMINGTON, DE, 19805,",1013 CENTRE RD STE. 403-B,WILMINGTON,DE,19805,"1013 CENTRE RD STE. 403-B, WILMINGTON, DE, 19805,",1013 CENTRE RD STE. 403-B,WILMINGTON,DE,19805,,,,,,,,,
SEABIRD PLLC,LLC,Active,1376456,2022-03-31,,3 OLD CAMBRIDGE CT,CLINTON,United States,06413,CT,PEGVELSUL@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,False,False,False,2021-11-10 00:05:37.6133333,Architectural Services (541310),,,,,,,,,,,,,,,,,,,
HOMESTEAD REALTY LLC,LLC,Active,1376528,2022-03-31,,416 STARKWEATHER RD,PLAINFIELD,United States,06374,CT,FILINGS@BETTERLEGAL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:39.0366667,,,,,,,,,,,,,,,,,,,,
OH MY NAILS & SPA INC,Stock,Active,1376527,2021-05-04,,No information provided,,,,,JJTX2001@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:39.7400000,Nail Salons (812113),,,,,,,,,,,,,,First report past due,200.0,,,,
WILLEMANN PAINTING LLC,LLC,Active,1376530,2022-03-31,,956 CAPITOL AVE APT B2,HARTFORD,United States,06106,CT,WILLEMANNPAINTING@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:43.0400000,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,
5 SHORT ST LLC,LLC,Active,1376531,2022-03-31,,5 SHORT ST,WESTPORT,United States,06880,CT,KEVINVANWITT@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:43.0400000,,,,,,,,,,,,,,,,,,,,
SIMPLYSAAS LLC,LLC,Active,1376542,2022-03-31,,120 OLD TURNPIKE RD,HADDAM,United States,06438,CT,BUSINESS@SIMPLYSAAS.CO,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:25.0633333,Software Publishers (511210),,,,,,,,,,,,,,,,,,,
"JOSEPH'S BAGEL KING, LLC",LLC,Active,1376470,2022-03-31,,2270 BLACK ROCK TURNPIKE,FAIRFIELD,United States,06824,CT,JOSEPHSBAGEL@YAHOO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:28.9400000,,,,,,,,,,,,,,,,,,,,
"VIRTUCARE PARTNERS, LLC",LLC,Active,1376455,2022-03-31,,10 GREYSTONE CT.,CANTON,United States,06010,CT,JONATHAN.HOEKMAN@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:42.9766667,General Medical and Surgical Hospitals (622110),,,,,,,,,,,,,,,,,,,
COLT AVE LLC,LLC,Active,1376454,2022-03-31,,433 CARDINAL CIRCLE,TORRINGTON,United States,06790,CT,MATTDECKER@HOTMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:34.7866667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
MASSAGE AND MOTION LLC,LLC,Active,1376529,2022-03-31,,61 MAIN ST SUITE 3N,OLD SAYBROOK,United States,06475,CT,MASSAGEANDMOTION@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:32.6433333,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,,,,,,,,,,,,
OMEGA BENHAM NCM LLC,LLC,Active,1376471,2022-03-31,,"2 ENTERPRISE DRIVE, SUITE 406",SHELTON,United States,06484,CT,ELON@NAVARINOCAPITAL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:39.6933333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
MILL PLAIN BENHAM NCM LLC,LLC,Active,1376472,2022-03-31,,"2 ENTERPRISE DRIVE, SUITE 406",SHELTON,United States,06484,CT,ELON@NAVARINOCAPITAL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:40.3800000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
ENVISION SOLUTIONS REAL ESTATE LLC,LLC,Active,1376473,2022-03-31,,181 BASSETT STREET 2B,NEW BRITAIN,United States,06051-3418,CT,SMITHINVESTOR1124@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:49.6833333,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,
"BRIDGE THE GAP EDUCATIONAL CONSULTING, LLC",LLC,Active,1376619,2022-03-31,,61 COUNTRY CLUB RD,AVON,,,CT,BRIDGETHEGAPEDCONSULTING@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:18.0033333,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,,,,,,,,,,,,
QUINTO LANDSCAPING LLC,LLC,Active,1376543,2022-03-31,,5 DOWNS ST,DANBURY,United States,06810,CT,JOSEPHQUINTO2018@ICLOUD.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,True,False,False,2021-11-10 00:03:22.9433333,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
OMAR MENDEZ LLC,LLC,Active,1376526,2022-03-31,,16 1/2 OSBORNE AVE,NORWALK,United States,06854,CT,WENDY@DURANGOAGENCY.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:27.3500000,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,
"PELCO DESIGNS, LLC",LLC,Active,1376450,2022-03-31,,119 KETTLE CREEK ROAD,WESTON,United States,06883,CT,SOWHOAREWE@AOL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:25.3966667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,
VIPER CAPITAL LLC,LLC,Active,1376509,2022-03-31,,10 SULGRAVE RD,WEST HARTFORD,United States,06107,CT,ABRITNELL2000@YAHOO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:21.5200000,,,,,,,,,,,,,,,,,,,,
DOMAIN-PC LLC,LLC,Active,1376514,2022-03-31,,75 INGERSOL RD.,MILFORD,United States,06460,CT,ROB@DOMAIN-PC.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:16.0366667,Electronics Stores (443142),,,,,,,,,,,,,,,,,,,
TC RPD CT INVESTOR LLC,LLC,Active,1376370,2022-03-31,,24 OAK BLUFF,AVON,United States,06001,CT,DANNYGOTT@YAHOO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:22.9100000,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,
JMRC HOME BUYERS LLC,LLC,Active,1376508,2022-03-31,,16 VUONO DRIVE,STAMFORD,United States,06905,CT,NAPOLITANO_MATTHEW@YAHOO.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:16.6600000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
PAMMYTAIL LLC,LLC,Active,1376515,2022-03-31,,51 BIRDSEY AVENUE B1,MERIDEN,United States,06450,CT,PAMMY219@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,False,False,False,2021-11-10 00:03:36.4900000,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,
TAQL LLC,LLC,Active,1376451,2022-03-31,,33 KENSINGTON CT,SOMERS,United States,06071,CT,D.OREFICE30@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:33.8333333,Sporting and Athletic Goods Manufacturing (339920),,,,,,,,,,,,,,,,,,,
"WE ARE THE GATEKEEPERS, INC.",Non-Stock,Active,1373788,2022-02-16,,"100 OAKVIEW DRIVE, UNIT 1-406",TRUMBULL,United States,06611,CT,JILL.RUGGIERO@WEARETHEGATEKEEPERS.ORG,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.0533333,"Other Justice, Public Order, and Safety Activities (922190)",,,,,,,,,,,,,,,,,,,
3Q4L ENTERPRISE LLC,LLC,Active,1376449,2022-03-31,,75 FARWELL STREET SUITE 27146,WEST HAVEN,United States,06516,CT,3Q4LENT@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:38.3666667,,,,,,,,,,,,,,,,,,,,
"MSB CREATIVE, LLC",LLC,Active,1376402,2022-03-31,,53 BIRCHBANK ROAD,SHELTON,United States,06484,CT,MARYBRAINARD22@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,False,False,False,2021-11-10 00:03:30.7100000,Marketing Consulting Services (541613),,,,,,,,,,,,,,,,,,,
SQUARE FOOT RE LLC,LLC,Active,1376403,2022-03-31,,3 LANDMARK SQUARE 6TH FLOOR,STAMFORD,United States,06901,CT,NDELUCA1024@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:37.8033333,All Other Consumer Goods Rental (532289),,,,,,,,,,,,,,,,,,,
ADA ASSOCIATES LLC,LLC,Active,1376519,2022-03-31,,8 WEST STREET EXTENSION,ANDOVER,United States,06232,CT,SPW1954@HOTMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:37.0533333,,,,,,,,,,,,,,,,,,,,
"MYSTIC VILLAGE DEVELOPMENT, LLC",LLC,Active,1376522,2022-03-31,,89 PLAZA COURT,GROTON,United States,06340,CT,CHRISTOPHREGAN@SBCGLOBAL.NET,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.1633333,Nonresidential Property Managers (531312),,,,,,,,,,,,,,,,,,,
SALON SUSAN LLC,LLC,Active,1376448,2022-03-31,,3 DUKE DRIVE,STAMFORD,,06905,CT,SUEBF13@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:39.8966667,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,
VARIETY MARKET LLC,LLC,Active,1376520,2022-03-31,,59 ST MONICAS AVE,HARTFORD,United States,06120,CT,VARIETYMARKET13@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,True,False,False,2021-11-10 00:03:29.2866667,,,,,,,,,,,,,,,,,,,,
JOURNEY.FREE.SPIRIT LLC,LLC,Active,1376447,2022-03-31,,418 FARMINGTON AVE APT. G4,NEW BRITAIN,United States,06053,CT,JOURNEY.FREE.SPIRIT@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:35.1166667,All Other Health and Personal Care Stores (446199),,,,,,,,,,,,,,,,,,,
SUPREME PARCEL LLC,LLC,Active,1376419,2022-03-31,,27 COLEY RD,WILTON,United States,06897,CT,RAY@SUPREMEPARCEL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:46.4933333,Couriers and Express Delivery Services (492110),,,,,,,,,,,,,,,,,,,
"REIL CONSTRUCTION, LLC",LLC,Active,1376439,2022-03-31,,36 COAL PIT HILL ROAD,GRISWOLD,United States,06351,CT,REILCONSTRUCTIONLLC@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:45.1800000,Site Preparation Contractors (238910),,,,,,,,,,,,,,,,,,,
ZURI GARDEN LLC,LLC,Active,1376441,2022-03-31,,305 KNOWLTON STREET 3RD FLOOR SUITE A,BRIDGEPORT,United States,06608,CT,ZURIHONEYSUPREME@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,True,False,True,False,False,2021-11-10 00:03:43.7266667,All Other Health and Personal Care Stores (446199),,,,,,,,,,,,,,,,,,,
MARFAB LLC,LLC,Active,1376521,2022-03-31,,929 WHITE PLAINES RD SUITE 420,TRUMBULL,United States,09911,CT,MARFAB.LLC@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,True,False,False,False,2021-11-10 00:03:54.6500000,Boat Building (336612),,,,,,,,,,,,,,,,,,,
BACK BAY COTTAGE LLC,LLC,Active,1376416,2022-03-31,,247 DAVENPORT DRIVE,STAMFORD,United States,06902,CT,AMR.KRONFOL@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:42.6466667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
LOCAL INK LLC,LLC,Active,1376440,2022-03-31,,233 RESEARCH DR. #5,MILFORD,United States,06460,CT,CHAZTANASE@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:57.7600000,Commercial Screen Printing (323113),,,,,,,,,,,,,,,,,,,
"SUNRUN JUNO OWNER 2021, LLC",LLC,Active,1376510,2022-03-31,2021-02-01,225 BUSH STREET SUITE 1400,SAN FRANCISCO,,94104,CA,LEGALTEAM@SUNRUN.COM,"SUNRUN JUNO OWNER 2021, LLC",Foreign,,2021-02-03,DE,DE,False,False,False,False,False,2021-11-10 00:04:00.4000000,Solar Electric Power Generation (221114),,,,,,,,,,,,,,,,,,,
POWDERHORN HILL LLC,LLC,Active,1376438,2022-03-31,,253 RIVERSIDE AVE,WESTPORT,United States,06880,CT,BRITTANYKEEFE@GMAIL.COM,,Domestic,,2021-02-03,CT,Connecticut,False,False,False,False,False,2021-11-10 00:03:56.6033333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
ACORE INSURANCE GROUP LLC,LLC,Active,1376704,2022-03-31,,40 RANDOLPH AVE,WATERBURY,United States,06710,CT,ARHOBY@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:01.5766667,All Other Insurance Related Activities (524298),,,,,,,,,,,,,,,,,,,
AFAB WELDING LLC,LLC,Active,1376695,2022-03-31,,4 WEST MOUNTAIN ROAD,RIDGEFIELD,United States,06077,CT,JOHNNYURBANEK6@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.9200000,,,,,,,,,,,,,,,,,,,,
"C & A REAL ESTATE INVESTMENTS, LLC",LLC,Active,1376705,2022-03-31,,191 THREE MILE ROAD,GLASTONBURY,United States,06033,CT,CANDAREALESTATEINVESTMENTS@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:59.6233333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
"JJ PAPERIE & CO, LLC",LLC,Active,1376750,2022-03-31,,1821 HUNTINGTON TPKE,TRUMBULL,United States,06611,CT,HELLO@JJPAPERIECO.COM,,Domestic,,2021-02-04,CT,Connecticut,True,False,True,False,False,2021-11-10 00:05:58.3266667,,,,,,,,,,,,,,,,,,,,
DR. GRIP'S NETWORK SOLUTIONS LLC,LLC,Active,1376751,2022-03-31,,169 STONEFIELD DR APT 5,WATERBURY,,06705,CT,DRGRIPSNETWORKSOLUTIONS@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:52.8733333,Custom Computer Programming Services (541511),,,,,,,,,,,,,,,,,,,
CUPATASTE LLC,LLC,Active,1376698,2022-03-31,,66 BETSY ROSS DR,WARREN,United States,07059,NJ,PARITZ@PARITZ.COM,,Domestic,,2021-02-04,NJ,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.7966667,,,,,,,,,,,,,,,,,,,,
BRIAN BURKE COMPANIES LLC,LLC,Active,1376706,2022-03-31,,15 REDWOOD LANE,SOUTHINGTON,United States,06489,CT,BBURKE@BRIANBURKECOMPANIES.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:00.8900000,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,
"TREASURE MAP DREAMS, LLC",LLC,Active,1376752,2022-03-31,,58 STILLWOLD DR.,WETHERSFIELD,United States,06109-3033,CT,OFFICE@TREASUREMAPDREAMS.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:58.3100000,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,
AAA ALMONTE LLC,LLC,Active,1372015,2022-03-31,,33 WOODBINE DRIVE S,HICKSVILLE,United States,11801,NY,ALBERTOALMONTE67@HOTMAIL.COM,,Domestic,,2021-02-04,NY,Connecticut,False,False,False,False,False,2021-11-10 00:05:53.5000000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
"AFRICA IMPORT & EXPORT, LLC",LLC,Active,1376749,2022-03-31,,31 HIGHLAND DR,LEDYARD,United States,06339,CT,KOLADOJA@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:14.5933333,Wholesale Trade Agents and Brokers (425120),,,,,,,,,,,,,,,,,,,
AGRE LLC,LLC,Active,1376568,2022-03-31,,128 WOODSIDE GRN APT 1B,STAMFORD,United States,06905,CT,AUSTINGLAZER@OUTLOOK.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:04.3266667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
BODYBYBELLA LLC,LLC,Dissolved,1376622,2022-03-31,,9 REDSTONE WAY,FARMINGTON,United States,06032,CT,BODYBYBELLACO@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:08.8300000,Clothing Accessories Stores (448150),,,,,,,,,,,,,2021-03-29T00:00:00.000,,,,,,
133 TUNNELL LLC,LLC,Active,1376697,2022-03-31,,1111 MAIN STREET,EAST HARTFORD,United States,06108,CT,THAKER.CHIRAG@RDAEP.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.2033333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,
"GREENWICH COMMUNITY CAMPUS, LLC",LLC,Active,1376699,2022-03-31,,75 MASON STREET,GREENWICH,United States,06830,CT,FILING@ACS123.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:06.1700000,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,,,,,,,,,,,,,,,,,,
"37 RANDOLPH AVE, LLC",LLC,Active,1376569,2022-03-31,,10 SOUTH LASALLE STREET 31ST FLOOR,CHICAGO,United States,60603,IL,STEPH.CABRAL@GMAIL.COM,,Domestic,,2021-02-04,IL,Connecticut,False,False,False,False,False,2021-11-10 00:06:10.6700000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
HYPER LOCAL INFLUENCE INC.,Stock,Active,1376632,2022-03-01,,340 FERNDALE AVE,STRATFORD,United States,06614,CT,DMLILLIE01@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.2666667,Marketing Consulting Services (541613),,,,,,,,,,,,,,,200000.0,,,,
"HART CONSULTS, LLC",LLC,Active,1376624,2022-03-31,,49 ATTAWANHOOD TRAIL,AMSTON,United States,06231-1302,CT,HART.CARINA13@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:14.6266667,Engineering Services (541330),,,,,,,,,,,,,,,,,,,
KP TRANSPORTATION LLC,LLC,Active,1376570,2022-03-31,,22 NORMAN DRIVE,BLOOMFIELD,United States,06002,CT,KENNITHPILCHER@GMAIL.COM,,Domestic,,2021-02-04,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:11.2966667,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,
AMERICA ISLANDS LLC,LLC,Active,1376696,2022-03-31,2021-01-28,1387 CORBIN AVE.,NEW BRITAIN,United States,06053,CT,AMERISLANDS@GMAIL.COM,AMERICA ISLANDS LLC,Foreign,United States,2021-02-04,DE,DE,False,False,False,False,False,2021-11-10 00:06:13.9366667,Other Clothing Stores (448190),"16192 COASTAL HWY, LEWES, DE, 19958, United States",16192 COASTAL HWY,LEWES,DE,19958,"16192 COASTAL HWY, LEWES, DE, 19958, United States",16192 COASTAL HWY,LEWES,DE,19958,United States,United States,,,,,,,
"DESIMONE CONSULTING ENGINEERING, D.P.C.",Stock,Active,1376708,2022-02-04,2021-01-01,140 BROADWAY 25TH FLOOR,NEW YORK,United States,10005,NY,INFO@CORPCO.COM,"DESIMONE CONSULTING ENGINEERING, D.P.C.",Foreign,United States,2021-02-04,NY,NY,False,False,False,False,False,2021-11-10 00:06:07.4833333,Engineering Services (541330),,,,,,,,,,,,,,,,,,,
