name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
Mighty's 5 L.L.C.,LLC,Active,2356762,2022-03-31,114 Custer St.,Stamford,United States,06902,CT,waitemighty1@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Clothing Accessories Stores (448150),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community guardians L.L.C.,LLC,Active,2356779,2022-03-31,46 strong street,Manchester,United States,06042-9994,CT,communityguardiansct@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,"Trusts, Estates, and Agency Accounts (525920)",2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELSON SERVICES LLC,LLC,Active,2356788,2022-03-31,118 Shultas Pl,Hartford,United States,06114-1344,CT,welsonconcord321@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Janitorial Services (561720),2021-11-10 00:06:47.7033333,Apt 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tempted by Travel, LLC",LLC,Active,2356789,2022-03-31,37 Wolcott Ave,Stonington,United States,06378,CT,temptedbytravel@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,All Other Travel Arrangement and Reservation Services (561599),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Accidental Wolf, LLC",LLC,Active,2356793,2022-03-31,263 Eastern Pkwy,Brooklyn,United States,11238-6371,NY,damon@waterwell.org,Foreign,,2021-10-04,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:47.7033333,Apt. 2i,2022-07-11,"The Accidental Wolf, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAIJ Real Estate Holdings, LLC",LLC,Active,2356799,2022-03-31,783 Reef Road,Fairfield,United States,06824,CT,amaisonave@blumb.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,amaisonave@blumb.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally the ally Consulting LLC,LLC,Active,2356800,2022-03-31,176 Glenwood Ave,Stratford,United States,06614,CT,info@allytheallyconsulting.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,All Other Personal Services (812990),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust Transportation LLC,LLC,Active,2356802,2022-03-31,173 Grove ST,Waterbury,United States,06710,CT,eamaxsolution@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,eamaxsolution@gmail.com,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2021-11-10 00:06:47.7333333,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ'S MUG N MUNCH LLC,LLC,Active,2356838,2022-03-31,483 FEDERAL ROAD UNIT #7,BROOKFIELD,United States,06804,CT,efile1234@incfile.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Drinking Places (Alcoholic Beverages) (722410),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snug Estate LLC,LLC,Active,2356924,2022-03-31,100 Random Rd,Fairfield,United States,06825-1406,CT,jlamdur@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,alice@cherylcarolan.com,,2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOST FILES LLC,LLC,Active,2356805,2022-03-31,169 Norton St,New Haven,United States,06511,CT,info.losttfiles@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,drebrown525@yahoo.com,Men's Clothing Stores (448110),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EATS BY KAI LLC,LLC,Active,2356816,2022-03-31,58 ASHLEY ST,HARTFORD,United States,06105,CT,efile1234@incfile.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Caterers (722320),2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMJ Management Consulting LLC,LLC,Active,2356820,2022-03-31,22 Farmington Chase Crescent,Farmington,United States,06032,CT,nataleemayking@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARA'S SOCIAL LLC,LLC,Active,2356826,2022-03-31,27 RESERVOIR ST,BETHEL,United States,06801,CT,efile1234@incfile.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Marketing Consulting Services (541613),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike's Express Transport, LLC",LLC,Active,2356881,2022-03-31,141 Decicco Rd,Waterbury,United States,06705-3477,CT,mejiamike217@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,jdeciccoesq@gmail.com,"General Freight Trucking, Local (484110)",2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RileyJane Fitness LLC,LLC,Active,2356827,2022-03-31,56 Buckeye Rd,Groton,United States,06340-3000,CT,destini.mcallister@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,True,False,False,False,,Fitness and Recreational Sports Centers (713940),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momentumtrainingct LLC,LLC,Active,2356829,2022-03-31,133 Diane Lane,Bristol,United States,06010,CT,jaimielinn.clout@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Professional and Management Development Training (611430),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranquil Hive Honey Company LLC,LLC,Active,2356844,2022-03-31,5 French St.,Seymour,United States,06483,CT,tranquilhivehoney@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Apiculture (112910),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMBERBORN CONSTRUCITON LLC,LLC,Active,2356852,2022-03-31,127 BIRDSEYE RD,FARMINGTON,United States,06032,CT,efile1234@incfile.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Roofing Contractors (238160),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Tree Marketing LLC,LLC,Active,2356867,2022-03-31,14 Cambridge Xing,Avon,United States,06001-4104,CT,bethmango@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,bmeinert@hotmail.com,Marketing Consulting Services (541613),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Astor Place LLC,LLC,Active,2356843,2022-03-31,25 Astor Pl,New Britain,United States,06051-4124,CT,northeastasphaltmaintenance@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"437 North, LLC",LLC,Active,2356939,2022-03-31,437 North St,Greenwich,United States,06830-3950,CT,samb@sambridge.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,hnielsen@wbamct.com,Floriculture Production (111422),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAVENDER ONE SPA, INC",Stock,Active,2356866,2022-10-04,,,,,,lavender2shine@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Nail Salons (812113),2021-11-10 00:06:48.2333333,,,,First report due,,,,,,,,,,,,,,,,200.0,,,,,,,,,,
Wallingford Hall LLC,LLC,Active,2356884,2022-03-31,15 Prince St,Wallingford,United States,06492,CT,rentals@wallingfordhall.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,brian@connreno.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH CLEANING LLC,LLC,Active,2356887,2022-03-31,54 South St,Hartford,United States,06114,CT,mhcleaningllc321@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Janitorial Services (561720),2021-11-10 00:06:48.2166667,Fl 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Play Co CT LLC,LLC,Active,2356893,2022-03-31,1222 Litchfield Rd,Watertown,United States,06795-1312,CT,theplaycoct@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,All Other Consumer Goods Rental (532289),2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Primeline Capital, Inc",Stock,Active,2356888,2022-10-04,128 S Tryon St,Charlotte,United States,28202,NC,medwards@primelinecap.com,Foreign,,2021-10-04,NORTH CAROLINA,NORTH CAROLINA,False,False,False,False,False,,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:06:48.2166667,FLR 21,2021-12-01,"Primeline Capital, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,
MYNOR'S CLEANING STABLES LLC,LLC,Active,2357012,2022-03-31,46 TOWN HILL AVE APT,DANBURY,United States,06810,CT,usmautosales@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,All Other Miscellaneous Waste Management Services (562998),2021-11-10 00:06:48.2333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-52 Silver Lane LLC,LLC,Active,2357013,2022-03-31,50 52 Silver Ln,East Hartford,United States,06118-1010,CT,walters008@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porticade Construction LLC,LLC,Active,2357014,2022-03-31,2286 West Porters Point Cove,Herriman,United States,84096,UT,porticadeconstruction@gmail.com,Foreign,,2021-10-04,UTAH,UTAH,False,False,False,False,False,,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:06:48.2333333,Unit B,2021-10-04,Porticade Construction LLC,,"2286 West Porters Point Cove, Unit B, Herriman, UT, 84096, United States",2286 West Porters Point Cove,Herriman,UT,84096,United States,"2286 West Porters Point Cove, Unit B, Herriman, UT, 84096, United States",2286 West Porters Point Cove,Herriman,UT,84096,United States,Unit B,Unit B,,,,,,,,,,,,
"Britt Craiglow, MD, LLC",LLC,Active,2356896,2022-03-31,763 Eleven O Clock Rd,Fairfield,United States,06824-1730,CT,bcraiglow@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Offices of Physicians (except Mental Health Specialists) (621111),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112 NOD ROAD, LLC",LLC,Active,2356909,2022-03-31,112 NOD ROAD,RIDGEFIELD,United States,06877,CT,jim@weinbergpc.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,jim@weinbergpc.com,,2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-29 ELM LLC,LLC,Active,2356911,2022-03-31,27 - 29 Elm St,East Hartford,United States,06108-2230,CT,walters008@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMA CONSTRUCTION LLC,LLC,Active,2356920,2022-03-31,265 Forbes Ave,New Haven,United States,06512-1615,CT,numaconstructionllc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Business Associations (813910),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWJ LLC,LLC,Active,2356934,2022-03-31,255 Whitney Ave,New Haven,United States,06511-3728,CT,jianan.huang@yale.edu,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Scientific and Technical Consulting Services (541690),2021-11-10 00:06:48.2333333,Apt 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva International LLC,LLC,Active,2356936,2022-03-31,,,CHINA,,,vivaintco@gmail.com,Foreign,CHINA,2021-10-04,CHINA,,False,False,False,False,False,,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers (423940)",2021-11-10 00:06:47.7333333,,2021-10-18,Viva International,,,,,,,China,,,,,,China,,,,,BLK2 9/F Lee Wai Commercial Building 1-3 Hart Avenue Tsim Sha Tsui KL Hong Kong,,,,,,,,,
34-36 ELM LLC,LLC,Active,2356960,2022-03-31,34 - 36 Elm St,East Hartford,United States,06108-2229,CT,walters008@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National-K2 JV LLC,LLC,Active,2356944,2022-03-31,701 Hebron Ave,Glastonbury,United States,06033-2489,CT,pkarsen@k2infrastructure.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Heavy and Civil Engineering Construction (237990),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827 Oronoke Road LLC,LLC,Active,2356958,2022-03-31,1451 Guernseytown Road,Watertown,United States,06795,CT,nancy.lupoelec@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Nonresidential Property Managers (531312),2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookkeeper Talent Hub LLP,LLP,Active,2356979,2022-10-04,8 Crescent Beach Dr,Enfield,United States,06082-2335,CT,support@bktalenthub.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,True,False,False,,Employment Placement Agencies (561311),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV IMPROVEMENTS LLC,LLC,Active,2356947,2022-03-31,560 S Hoop Pole Rd,Guilford,United States,06437-1223,CT,jvconstruction@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Residential Remodelers (236118),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbre Wood LLC,LLC,Active,2356949,2022-03-31,2389 Main St. STE 100,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,ne@registeredagentsinc.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELVES ENTERPRISE LLC,LLC,Active,2356974,2022-03-31,1758 Park St,Hartford,United States,06106-2146,CT,elvesenterprisellc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:47.6700000,Apt 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252 Naubuc LLC,LLC,Active,2356985,2022-03-31,252 Naubuc Ave,East Hartford,United States,06118-3140,CT,walters008@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G & M transport LLC,LLC,Active,2356986,2022-03-31,91 Crofton St,New Haven,United States,06513-4616,CT,diazmichael058@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,"General Freight Trucking, Local (484110)",2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONIC BOOM PRODUCTIONS LLC,LLC,Active,2356993,2022-03-31,147 5TH STREET,STAMFORD,United States,06905,CT,anthonyjsanches@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,docs@businessrocket.com,,2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cloud City Development, LLC",LLC,Active,2357003,2022-03-31,2389 Main St. STE 100,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Foreign,,2021-10-04,CALIFORNIA,CALIFORNIA,False,False,False,False,False,,,2021-11-10 00:06:47.7033333,,2021-10-04,"Cloud City Development, LLC",,"951-2 OLD COUNTY ROAD #161, BELMONT, CA, 94002, United States",951-2 OLD COUNTY ROAD #161,BELMONT,CA,94002,United States,"2909 LORINA STREET, BERKELEY, CA, 94705, United States",2909 LORINA STREET,BERKELEY,CA,94705,United States,,,,,,,,,,,,,,
Elite Barber LLC,LLC,Active,2357000,2022-03-31,1175 Main St,Watertown,United States,06795-2441,CT,elite-barber@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,False,False,False,,Barber Shops (812111),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Books by MF, LLC",LLC,Active,2357026,2022-03-31,42 Ledgebrook Dr,Norwalk,United States,06854-1061,CT,willandmafe@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,willandmafe@gmail.com,Other Accounting Services (541219),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-35 Elm LLC,LLC,Active,2357040,2022-03-31,33 35 Elm St,East Hartford,United States,06108-2230,CT,walters008@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:48.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baddour Group LLC,LLC,Active,2357033,2022-03-31,21 Hendrie Dr,Old Greenwich,United States,06870-1908,CT,ramez@baddour.com,Foreign,,2021-10-04,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:47.7166667,,2021-10-04,Baddour Group LLC,,"115 E 34th St, 1788, New York, NY, 10156, United States",115 E 34th St,New York,NY,10156,United States,"115 E 34th St, 1788, New York, NY, 10156, United States",115 E 34th St,New York,NY,10156,United States,1788,1788,,,,,,,,,,,,
East Coast Cremation Supply LLC,LLC,Active,2357075,2022-03-31,17 kingsbury road,norwalk,United States,06851,CT,eastcoastcremationsupply@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Direct Selling Establishments (454390),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXTING Inc,Stock,Active,2357038,2022-10-04,,,,,,taxtinginc@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,zhrcinc@gmail.com,Other Accounting Services (541219),2021-11-10 00:06:47.6700000,,,,First report due,,,,,,,,,,,,,,,,100.0,,,,,,,,,,
Deldins MaryJane LLC,LLC,Active,2357048,2022-03-31,79 Pine Hill Road,New Fairfield,United States,06812,CT,lisa@jeffreylisa.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,lisadeldinlaw@gmail.com,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:06:48.2033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryden solutions llc,LLC,Active,2357062,2022-03-31,48 South St,Waterbury,United States,06706-1599,CT,muchemidennis@yahoo.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Caterers (722320),2021-11-10 00:06:47.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Cove Avenue LLC,LLC,Active,2357086,2022-03-31,132 Water Street,Norwalk,United States,06854,CT,sburt@optonline.net,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Cuts the Barber LLC,LLC,Active,2357074,2022-03-31,864 Main St,Willimantic,United States,06226-2442,CT,alberttitodiaz@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Barber�as (812111),2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex & Toria�s Transport LLC,LLC,Active,2357085,2022-03-31,59 Robert Treat Dr,Milford,United States,06460-8316,CT,entityspecialist@1800accountant.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,entityspecialist@1800accountant.com,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:47.7166667,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAMORA'S LANDSCAPING & SERVICES LLC,LLC,Active,2357092,2022-03-31,54 Rose Park Ave,Stamford,United States,06902-5028,CT,eturcios@turciosins.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Landscaping Services (561730),2021-11-10 00:06:47.7166667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAQUICH LLC,LLC,Active,2357095,2022-03-31,15 STATE ST,WATERBURY,United States,06702,CT,yeisonsaquich@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,jvr.atlantica@gmail.com,Landscaping Services (561730),2021-11-10 00:06:47.7166667,APT 3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181 South 17 LLC,LLC,Active,2357096,2022-03-31,181 South Avenue,New Canaan,United States,06840,CT,jwilbur26@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Residential Property Managers (531311),2021-11-10 00:06:47.6866667,#17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOYTEK SYSTEMS LLC,LLC,Active,2357107,2022-03-31,196 Skyview Dr.,Cromwell,United States,06416,CT,gwojciechowski@snet.net,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,Engineering Services (541330),2021-11-10 00:06:47.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zippy Lifetime Fitness, LLC",LLC,Active,2357108,2022-03-31,3 Indian Hill Road,Westport,United States,06880,CT,zippy5k@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,All Other Personal Services (812990),2021-11-10 00:06:48.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AESTHETIC MUSE LLC,LLC,Active,2357111,2022-03-31,99 Founders Plz,East Hartford,United States,06108-3208,CT,richellemartinez7@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,True,False,True,False,False,shawn@tp1040.com,Other Personal Care Services (812199),2021-11-10 00:06:47.6866667,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOSTIE KARE FOUNDATION, INC.",Non-Stock,Dissolved,2357103,2022-10-04,,,,,,,Domestic,,2021-10-04,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6866667,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLV ENERGY, LLC",LLC,Active,2357118,2022-03-31,16680 W BERNARDO DR,SAN DIEGO,USA,92127,CA,LEGAL@SOLVENERGY.COM,Foreign,USA,2021-10-04,,DELAWARE,False,False,False,False,False,,221114,2021-11-10 00:06:48.2166667,,2021-09-28,"SOLV ENERGY, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOOT SAILING FOUNDATION, INC.",Non-Stock,Active,2357126,2022-10-06,11 Eder Rd.,WEST HAVEN,UNITED STATES,06516,CT,jameslipp@yahoo.com,Domestic,,2021-10-04,,Connecticut,False,False,False,False,False,,813219,2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,2021-10-04,,,,,,,,,,,
Family Trucker LLC,LLC,Active,2357135,2022-03-31,2034 Madison Ave,Bridgeport,United States,06606-3231,CT,rod.brothers2@outlook.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2021-11-10 00:06:47.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Liquidations LLC,LLC,Active,2357130,2022-03-31,25 Gramar Ave,Prospect,United States,06712-1017,CT,dasti@llenga.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,True,False,False,,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),2021-11-10 00:06:47.7166667,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Dental Arts LLC,LLC,Active,2357131,2022-03-31,229 East Center Street,Manchester,United States,06040,CT,drtushinshah@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hat Media Inc.,Stock,Active,2357172,2022-10-04,,,,,,andrea@newhatmedia.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,onlinefilings@legalzoom.com,,2021-11-10 00:06:48.2333333,,,,First report due,,,,,,,,,,,,,,,,20000.0,,,,,,,,,,
Quiet Corner Cleanout LLC,LLC,Active,2357140,2022-03-31,315 Snake Meadow Hill Rd,Sterling,United States,06377-1713,CT,quietcornercleanout@gmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,poulsenjustin1@gmail.com,,2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR. TREE & LANDSCAPING LLC,LLC,Active,2357201,2022-03-31,5 JANSEN ST,DANBURY,United States,06810,CT,nazzaro2015@hotmail.com,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,nazzaro2015@hotmail.com,Landscaping Services (561730),2021-11-10 00:06:47.7033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Beauties Inc.,Stock,Active,2357154,2022-10-04,,,,,,anthony@bossbeauties.club,Domestic,United States,2021-10-04,Connecticut,Connecticut,False,False,False,False,False,onlinefilings@legalzoom.com,,2021-11-10 00:06:47.7166667,,,,First report due,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,
