name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,citizenship,country_formation,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,business_email_address,formation_place,sub_status,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,record_address,records_address_street,records_address_unit,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address
Top-Shelf Crypto LLC,LLC,Active,2379034,2022-03-31,2842 Main Street,Glastonbury,United States,06033,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Computer Training (611420),2021-12-13 00:06:46.1300000,topshelfcrypto@protonmail.com,Connecticut,,,STE 165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddess Solidity LLC,LLC,Active,2379039,2022-03-31,27,Vernon,United States,06066,CT,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2021-12-13 00:06:46.1166667,shop@goddesssolidity.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE ONE NAIL SPA INC,Stock,Active,2379049,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,False,All Other Personal Services (812990),2021-12-13 00:06:46.1166667,onenailsalon63@gmail.com,Connecticut,First report due,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Guern LLC,LLC,Active,2379057,2022-03-31,41 Crossroads Plz,West Hartford,United States,06117-2402,CT,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1166667,11guernllc@gmail.com,Connecticut,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Data Ventures LLC,LLC,Active,2379051,2022-03-31,89 Plaza Court,Groton,United States,06340,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.1000000,christophregan@sbcglobal.net,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KLAVIYO, INC.",Stock,Active,2379061,2022-11-08,"125 SUMMER STREET, 6TH FLOOR",BOSTON,US,02110,MA,Foreign,United States,2021-11-08,DE,False,False,False,False,False,541990,2021-12-13 00:06:46.1600000,legal@klaviyo.com,,,,,2021-03-29,"KLAVIYO, INC.",,,,,,,,,,,,,,,,,,,,,,,,,
Deep River Holdings LLC,LLC,Active,2379063,2022-03-31,424 Winthrop Rd,Deep River,United States,06417-1547,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Other Support Activities for Road Transportation (488490),2021-12-13 00:06:46.0833333,drholdingllc@gmail.com,Connecticut,,,,,,trock1178@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
VACHHANI AMZ LLC,LLC,Active,2379064,2022-03-31,7 TOBINS COURT,DANBURY,UNITED STATES,06810,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.1766667,VACHHANIAMZ@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&E INSULATION AND CLEANING UPGRADES LLC,LLC,Active,2379067,2022-03-31,109 Pixlee Pl,Bridgeport,United States,06610-2948,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),2021-12-13 00:06:46.1600000,cesar1179@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj and son llc,LLC,Active,2379079,2022-03-31,310 Boston Post Rd,Waterford,United States,06385-1957,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Landscaping Services (561730),2021-12-13 00:06:46.1933333,smitty42274@yahoo.com,Connecticut,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Hospitality Group LLC,LLC,Active,2379169,2022-03-31,35 W Park Ave,New Haven,United States,06511-4043,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,All Other Traveler Accommodation (721199),2021-12-13 00:06:46.1933333,cityrestorations@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wotzakworks LLC,LLC,Active,2379171,2022-03-31,56 West Street,New Milford,United States,06776,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-12-13 00:06:46.1933333,rob.wotzak@gmail.com,Connecticut,,,,,,jsienkiewicz@allinghamlaw.com,,,,,,,,,,,,,,,,,,,,,,,,
Kies Media & Consulting LLC,LLC,Active,2379087,2022-03-31,247 Old Farms Rd,Simsbury,United States,06070-1010,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Media Representatives (541840),2021-12-13 00:06:46.2100000,jmkiesewetter.media@gmail.com,Connecticut,,,,,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,
AMNAI PHRANSAI LLC,LLC,Active,2379096,2022-03-31,15 AKRON ST,MERIDEN,United States,06450,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-12-13 00:06:46.2100000,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
Phelan Investment Holdings LLC,LLC,Active,2379091,2022-03-31,85 Pinehurst Road,Bristol,United States,06010-2931,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1166667,john.ryan.phelan@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stitch with It LLC,LLC,Active,2379105,2022-03-31,8 Hawley Drive,Ansonia,United States,06401-2761,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,"Sewing, Needlework, and Piece Goods Stores (451130)",2021-12-13 00:06:46.1766667,danies531@aol.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI MANAGEMENT LLC,LLC,Active,2379118,2022-03-31,6231 AVALON GATES,TRUMBULL,United States,06611,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-12-13 00:06:46.1166667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
"INDUSTRIAL CHEMISTRY HORIZONS, LLC",LLC,Active,2379131,2022-03-31,203 Burr Hall Rd,Middlebury,United States,06762,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:06:46.2100000,bluzbreakr@aol.com,Connecticut,,,,,,lawofficemarkouellette@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Efrain Arzola LLC,LLC,Active,2379107,2022-03-31,180 Connecticut Ave,stamford,United States,06902,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Cookie and Cracker Manufacturing (311821),2021-12-13 00:06:46.0833333,lissette_trrs@yahoo.com,Connecticut,,,,,,lissette_trrs@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
BRYAM SEGARRA LLC,LLC,Active,2379113,2022-03-31,20 OAKLAND AVE,DANBURY,United States,06810,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Landscaping Services (561730),2021-12-13 00:06:46.2100000,karenvallejos@live.com,Connecticut,,,4C,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chromatic, LLC",LLC,Active,2379114,2022-03-31,621 Strong Rd,South Windsor,United States,06074-1910,CT,Domestic,United States,2021-11-08,Connecticut,True,False,False,False,False,All Other Personal Services (812990),2021-12-13 00:06:46.2100000,tyna0014@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redbud Advisory Services LLC,LLC,Active,2379110,2022-03-31,19 Stratford Reserve Place,Austin,United States,78746,TX,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.1000000,brenda@go-ironclad.com,Connecticut,,,,,,brenda@go-ironclad.com,,,,,,,,,,,,,,,,,,,,,,,,
NBPIII BARNES LLC,LLC,Active,2379117,2022-03-31,"C/O NORTHBRIDGE PARTNERS LLC 401 EDGEWATER PLACE,, STE. 265",WAKEFIELD,UNITED STATES,01880,MA,Foreign,,2021-11-08,DE,False,False,False,False,False,,2021-12-13 00:06:46.1933333,,,,,,2021-12-20,NBPIII BARNES LLC,,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,United States,,,,,,,,,,,,
"WealthRomp, LLC",LLC,Active,2379120,2022-03-31,10 Corbin Dr,Darien,United States,06820-5403,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,All Other Information Services (519190),2021-12-13 00:06:46.1600000,jlarizza@miradorllc.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadi Reserve Inc.,Stock,Active,2379137,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.1000000,amadireserve@gmail.com,Connecticut,First report due,100.0,,,,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,
MORLEY BUILDERS LLC,LLC,Active,2379129,2022-03-31,437 HIGH ST,NAUGATUCK,United States,06770,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-12-13 00:06:46.1166667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
Everything Floors LLC,LLC,Active,2379139,2022-03-31,28 Charles Street,Meriden,United States,06451,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,All Other Personal Services (812990),2021-12-13 00:06:46.1166667,floydsims28@yahoo.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Fkn Treats LLC,LLC,Active,2379132,2022-03-31,43 Ann St,New Haven,United States,06519-1201,CT,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,True,Retail Bakeries (311811),2021-12-13 00:06:46.1000000,sweetfkntreats@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Bivona Excavating and Developments LLC,LLC,Active,2379133,2022-03-31,3 Cypress Dr,Stamford,United States,06903-5033,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-12-13 00:06:46.1000000,dngbiv@att.net,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&V HOME IMPROVEMENT LLC,LLC,Active,2379138,2022-03-31,181 HENRY ST,STAMFORD,United States,06902,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-12-13 00:06:46.1766667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
POSILLICO PROPERTY MAINTENANCE LLC,LLC,Active,2379163,2022-03-31,133 CANDLEWOOD LAKE RD,BROOKFIELD,United States,06804,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Landscape Architectural Services (541320),2021-12-13 00:06:46.1766667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
HINSON ENTERPRISE LLC,LLC,Active,2379141,2022-03-31,250 Marcia Dr,Torrington,United States,06790-5864,CT,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-12-13 00:06:46.1600000,hinsontravelaka@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Path Development Inc,Stock,Active,2379149,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:06:46.1166667,bryan.scudiere@gmail.com,Connecticut,First report due,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYAL TREATMENT AUTO DETAILING LLC,LLC,Active,2379151,2022-03-31,31 BELAIR DR,NEW MILFORD,United States,06776,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Car Washes (811192),2021-12-13 00:06:46.1166667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
West Egg Cafe L.L.C.,LLC,Active,2379157,2022-03-31,20 Sherman Hill Rd,Woodbury,United States,06798,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-12-13 00:06:46.1000000,keysmatthew.1@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk Parlor LLC,LLC,Active,2379230,2022-03-31,40 Sherwood Rd,Easton,United States,06612-1210,CT,Foreign,,2021-11-08,CALIFORNIA,False,False,False,False,False,,2021-12-13 00:06:46.1166667,amtendler@gmail.com,CALIFORNIA,,,,2021-11-08,Silk Parlor LLC,,"2431 N Catalina St, Los Angeles, CA, 90027-1130, United States",2431 N Catalina St,Los Angeles,CA,90027-1130,United States,"2431 N Catalina St, Los Angeles, CA, 90027-1130, United States",2431 N Catalina St,Los Angeles,CA,90027-1130,United States,,,,,,,,,,,,
"GARNET ACRES, LLC",LLC,Active,2379161,2022-03-31,899 Parker St,Manchester,United States,06042,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1000000,garnetacresct@gmail.com,Connecticut,,,FLOOR 1,,,adam@lmrblaw.com,,,,,,,,,,,,,,,,,,,,,,,,
OAK MANOR Corp.,Stock,Active,2379167,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1000000,wendytax@yahoo.com,Connecticut,First report due,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOW HILL ADVISORS LLC,LLC,Active,2379173,2022-03-31,5 Goodsell Hill Rd,Redding,United States,06896-3309,CT,Foreign,,2021-11-08,NEW YORK,False,False,False,False,False,Employment Placement Agencies (561311),2021-12-13 00:06:46.2100000,filing@acs123.com,NEW YORK,,,,2021-11-08,WILLOW HILL ADVISORS LLC,,,,,,,,,,,,,,,,,,,,,,,,,
Jhonathan U Mix LLC,LLC,Active,2379193,2022-03-31,20 North St,stamford,United States,06902,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,New Multifamily Housing Construction (except For-Sale Builders) (236116),2021-12-13 00:06:46.1766667,lissette_trrs@yahoo.com,Connecticut,,,,,,lissette_trrs@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
TAVER INITIATIVES LLC,LLC,Active,2379196,2022-03-31,136 CENTRAL AVE # A2,EAST HARTFORD,United States,06108,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),2021-12-13 00:06:46.1766667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
"Guccii Boutique, LLC",LLC,Active,2379211,2022-03-31,36 Silo Hill Road,Madison,United States,06443,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),2021-12-13 00:06:46.1766667,jsnatarelli@comcast.net,Connecticut,,,,,,stj@pellegrinolawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
AARONS CLEANING ASSOCIATES L.L.C.,LLC,Active,2379208,2022-03-31,21 EMERSON STREET,WETHERSFIELD,United States,06109,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-12-13 00:06:46.1466667,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
JAY SHRIJI LLC,LLC,Active,2379190,2022-03-31,20 Nessa Way,Rocky Hill,United States,06067-3791,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",2021-12-13 00:06:46.1933333,nirav@parikhllc.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dufour Properties Naugatuck, LLC",LLC,Active,2379236,2022-03-31,146 Huntingdon Ave,Waterbury,United States,06708-1419,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2021-12-13 00:06:46.1933333,john.dufour@all-startransportation.com,Connecticut,,,,,,julie@ctm-law.com,,,,,,,,,,,,,,,,,,,,,,,,
SOUZA GENERAL CONTRACTOR CORP,Stock,Active,2379206,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:06:46.1600000,morestein@hotmail.com,Connecticut,First report due,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lipton Foundation Inc.,Non-Stock,Active,2379202,2022-11-08,113 Roseville Rd,Westport,United States,06880-2608,CT,Foreign,,2021-11-08,DELAWARE,False,False,False,False,False,Civic and Social Organizations (813410),2021-12-13 00:06:46.1166667,arthur@cpalanger.com,DELAWARE,,,,2021-11-08,The Lipton Foundation,,,,,,,,,,,,,,,,,,,,,,,,,
outdoorsyfit LLC,LLC,Active,2379654,2022-03-31,none,none,United States,06413,CT,Domestic,United States,2021-11-08,Connecticut,True,False,False,False,False,,2021-12-13 00:06:46.1300000,susan@stradadesigns.net,Connecticut,,,,,,susan@stradadesigns.net,,,,,,,,,,,,,,,,,,,,,,,,
DeBrito's Realty LLC,LLC,Active,2379204,2022-03-31,396 Mount Fair Dr,Watertown,United States,06795-1684,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1166667,fredsoncontracts@live.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malloy Homes LLC,LLC,Active,2379220,2022-03-31,66 Summer St,Stamford,United States,06901-2316,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-12-13 00:06:46.1166667,darren.hekking@gmail.com,Connecticut,,,,,,david@lasnicklaw.com,,,,,,,,,,,,,,,,,,,,,,,,
"RLM HOLDINGS, LLC",LLC,Active,2379333,2022-03-31,11 RIVERSIDE DRIVE,NEW YORK,United States,10023,NY,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.2100000,orders@interstatefilings.com,Connecticut,,,APT 5EW,,,orders@interstatefilings.com,,,,,,,,,,,,,,,,,,,,,,,,
MK scrubs LLC,LLC,Active,2379246,2022-03-31,100 Mark Lane UnitB5,Waterbury,United States,06704,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),2021-12-13 00:06:46.1933333,sadesimmons3@yahoo.com,Connecticut,,,,,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,
LOUD TREE MEDIA LLC,LLC,Active,2379241,2022-03-31,40 GREAT PASTURE ROAD,REDDING,US,06896,CT,Foreign,United States,2021-11-08,NY,False,False,False,False,False,512290,2021-12-13 00:06:46.1466667,levinak24@gmail.com,,,,,2021-10-01,LOUD TREE MEDIA LLC,,,,,,,,,,,,,,,,,,,,,,,,,
THE SNEAKER MANSION INC,Stock,Active,2379242,2022-11-10,409 Hawley Ave,Bridgeport,United States,06606-4608,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-12-13 00:06:46.1600000,thesneakermansion.store@gmail.com,Connecticut,,1000.0,,,,,,,,,,,,,,,,,,,,2021-11-10,,,,,,,,
Mager Transport LLC,LLC,Active,2379245,2022-03-31,28 Plum Tree Road,Plainville,United States,06062,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-12-13 00:06:46.1466667,jmager0131@gmail.com,Connecticut,,,,,,info@motorcarrierhq.com,,,,,,,,,,,,,,,,,,,,,,,,
"OnHealth Consulting, Inc.",Stock,Active,2379252,2022-02-06,,,,,,Domestic,United States,2021-11-08,Connecticut,True,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:06:46.1466667,cmhonhealth@gmail.com,Connecticut,First report due,1000.0,,,,cmhonhealth@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Clever Canine LLC,LLC,Active,2379263,2022-03-31,842 Hillcrest Rd,Orange,United States,06477-1427,CT,Domestic,United States,2021-11-08,Connecticut,True,False,False,False,False,Pet Care (except Veterinary) Services (812910),2021-12-13 00:06:46.1933333,clevercaninellc@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Color Leigh, LLC",LLC,Active,2379259,2022-03-31,6 Harbor Parkway,Clinton,United States,06413,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-12-13 00:06:46.1300000,aliza.proto@gmail.com,Connecticut,,,,,,stj@pellegrinolawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
38 Chipmunk LLC,LLC,Active,2379280,2022-03-31,622 Riversville Rd,Greenwich,United States,06831-2650,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,,2021-12-13 00:06:46.1300000,statements@anantafo.com,Connecticut,,,,,,onlinefilings@nolo.com,,,,,,,,,,,,,,,,,,,,,,,,
"It's My Home Care, LLC",LLC,Active,2379264,2022-03-31,39 New London Tpke.,Glastonbury,United States,06033,CT,Domestic,United States,2021-11-08,Connecticut,True,False,False,False,False,Home Health Care Services (621610),2021-12-13 00:06:46.1933333,itsmyhomecare@gmail.com,Connecticut,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEVEN SQUARED L.L.C.,LLC,Active,2379268,2022-03-31,5632 NORTH CAMELBACK CANYON DRIVE,PHOENIX,US,85018,AZ,Foreign,US,2021-11-08,NJ,False,False,False,False,False,519130,2021-12-13 00:06:46.1766667,levinak24@gmail.com,,,,,2021-10-01,SEVEN SQUARED L.L.C.,,"C/O MARK ANTHONY ASSOCIATES, 615 SHERWOOD PARKWAY, MOUNTAINSIDE, NJ, 07092, United States","C/O MARK ANTHONY ASSOCIATES, 615 SHERWOOD PARKWAY",MOUNTAINSIDE,NJ,07092,United States,"C/O MARK ANTHONY ASSOCIATES, 615 SHERWOOD PARKWAY, MOUNTAINSIDE, NJ, 07092, United States","C/O MARK ANTHONY ASSOCIATES, 615 SHERWOOD PARKWAY",MOUNTAINSIDE,NJ,07092,United States,,,,,,,,,,,,
"Erie Construction Mid-West, LLC",LLC,Active,2379274,2022-03-31,3516 Granite Cir,Toledo,United States,43617-1172,OH,Foreign,,2021-11-08,OHIO,False,False,False,False,False,Residential Remodelers (236118),2021-12-13 00:06:46.1166667,paula.cruz@erieconstruction.com,OHIO,,,,2021-11-30,"Erie Construction Mid-West, LLC",,"3516 Granite Cir, Toledo, OH, 43617-1172, United States",3516 Granite Cir,Toledo,OH,43617-1172,United States,"3516 Granite Cir, Toledo, OH, 43617-1172, United States",3516 Granite Cir,Toledo,OH,43617-1172,United States,,,,,,,,,,,,
Just Convey Limited Liability Company,LLC,Active,2379289,2022-03-31,6 Downing Cir,Bloomfield,United States,06002-2029,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,Couriers and Express Delivery Services (492110),2021-12-13 00:06:46.1600000,justinhawkins1124@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANYTHING GOEZ LLC,LLC,Active,2379291,2022-03-31,91 Buddington Rd,Groton,United States,06340-3244,CT,Domestic,United States,2021-11-08,Connecticut,False,True,False,False,False,Residential Remodelers (236118),2021-12-13 00:06:46.1466667,jchigginssr@gmail.com,Connecticut,,,LOT 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
OASIS BY SARA LLC,LLC,Active,2379297,2022-03-31,70 SOUTH MAIN STREET,NORWALK,United States,06854,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Beauty Salons (812112),2021-12-13 00:06:46.1300000,saravivianagomez@gmail.com,Connecticut,,,70F,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR&CCSLLC LLC,LLC,Active,2379292,2022-03-31,123 Farmington Ave,Bristol,United States,06010-4200,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,Other Personal and Household Goods Repair and Maintenance (811490),2021-12-13 00:06:46.1600000,gperccsllc@gmail.com,Connecticut,,,Ste 274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lada Rental Property, LLC",LLC,Active,2379300,2022-03-31,550 North Ave,Bridgeport,United States,06606-5736,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-12-13 00:06:46.1600000,davidfelito@yahoo.com,Connecticut,,,,,,bill@billgouveia.com,,,,,,,,,,,,,,,,,,,,,,,,
Misaac Home Improvement LLC,LLC,Active,2379301,2022-03-31,218 Jewett Ave,Bridgeport,United States,06606-2845,CT,Domestic,United States,2021-11-08,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-12-13 00:06:46.1766667,misaacllc@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SommCentric LLC,LLC,Active,2379335,2022-03-31,125 School Street,Norwich,United States,06360,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,True,Educational Support Services (611710),2021-12-13 00:06:46.2100000,ryan@sommcentric.com,Connecticut,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresnel, LLC",LLC,Active,2379316,2022-03-31,120 Little Meadow Road,Haddam Neck,United States,06424,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:46.1300000,david.t.delotte.london@protonmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELIPE J PEREZ LLC,LLC,Active,2379318,2022-03-31,48 N Forty Rd,Woodbury,United States,06798-2618,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-12-13 00:06:46.1300000,sampablodiaz@gmail.com,Connecticut,,,,,,sampablodiaz@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
94 Reed LLC,LLC,Active,2379328,2022-03-31,30 Fieldstone Ct,Cheshire,United States,06410-1212,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-12-13 00:06:46.1300000,info@kennedydoyle.com,Connecticut,,,,,,dhk3@kennedydoyle.com,,,,,,,,,,,,,,,,,,,,,,,,
Affordable electrical and more LLC,LLC,Active,2379361,2022-03-31,43 Laurel Avenue,Bridgeport,United States,06605,CT,Domestic,United States,2021-11-08,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-12-13 00:06:46.1766667,electricark23@icloud.com,Connecticut,,,,,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,
