name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,sub_status,dissolution_date,total_authorized_shares,billing_unit,reason_for_administrative,mailing_address,category_survey_email_address,office_jurisdiction_3
"34 PLEASANT STREET, LLC",LLC,Active,1390547,2022-03-31,34 PLEASANT STREET,NEW BRITAIN,United States,06051,CT,FRANK_J_ROMANO@YAHOO.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:23.0000000,,,,,,,,,,,,,,,,,,,,,,,,
"SEW HAPPY SEWING, INC.",Stock,Active,1390629,2022-05-05,33 ORCHARD DRIVE,RYE,,10580,NY,KIM@SEWHAPPYUSA.NET,Foreign,2021-05-05,NY,NY,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:04:27.6066667,2017-06-08,"SEW HAPPY SEWING, INC.",,,,,,,,,,,,,,,,,,,,,,
JJ'S PATISSERIE LLC,LLC,Active,1390750,2022-03-31,451 MICHIGAN RD,NEW CANAAN,United States,06840,CT,JUANJUANSPATISSERIE@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Retail Bakeries (311811),2021-11-10 00:04:17.0900000,,,,,,,,,,,,,,,,,,,,,,,,
THE BESSETTE COMPANY LLC,LLC,Active,1390717,2022-03-31,5 PEMBROKE HILL ROAD,WOLCOTT,United States,06716,CT,RYANBESSETTE@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:04:18.2933333,,,,,,,,,,,,,,,,,,,,,,,,
"NORTHWEST ORTHODONTICS, LLC",LLC,Active,1390722,2022-03-31,895 E MAIN ST,TORRINGTON,United States,06790,CT,INFO.FAMORTHO@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Offices of Dentists (621210),2021-11-10 00:04:28.4033333,,,,,,,,,,,,,,,,,,,,,,,,
MINUTE HOME RENOVATION & PRO PAINTING LLC,LLC,Active,1390628,2022-03-31,111 SCHOOL STREET,NEW LONDON,United States,06320,CT,MARTEAGA.MIN@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,True,False,False,Other Building Finishing Contractors (238390),2021-11-10 00:04:24.3433333,,,,,,,,,,,,,,,,,,,,,,,,
"VIGENT, INC.",Stock,Active,1390684,2022-07-19,242 Ichabod Rd,Southbury,United States,06488-2193,CT,DTP1UG@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Sign Manufacturing (339950),2021-11-10 00:04:17.0300000,,,,,,,,,,,,,,,,2021-06-07,Annual report due,,20000.0,,,,,
RZ AUTO SALES LLC,LLC,Active,1390793,2022-03-31,77 INDUSTRIAL PARK RD. UNIT 28,VERNON,United States,06066,CT,RAYZABILANSKY@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),2021-11-10 00:04:21.5133333,,,,,,,,,,,,,,,,,,,,,,,,
UKWA AFRICA LLC,LLC,Active,1390720,2022-03-31,1211 OLD ACADEMY ROAD,FAIRFIELD,United States,06824,CT,HROSS65@HOTMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:04:24.3566667,,,,,,,,,,,,,,,,,,,,,,,,
SUN DOVE HOLDINGS LLC,LLC,Active,1391292,2022-03-31,89 DUCK FARM RD,FAIRFIELD,,06824,CT,ALEXRAMOS_2000@YAHOO.COM,Foreign,2021-05-05,DE,DE,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",2021-11-10 00:04:17.7466667,2021-01-01,SUN DOVE HOLDINGS LLC,,"251 LITTLE FALLS DR, WILLINGTON, DE, 19808,",251 LITTLE FALLS DR,WILLINGTON,DE,19808,,"251 LITTLE FALLS DR, WILLINGTON, DE, 19808,",251 LITTLE FALLS DR,WILLINGTON,DE,19808,,,,,,,,,,
TEN THIRTY LEWIS COVE LLC,LLC,Active,1390719,2022-03-31,1030 LEWIS COVE,DELRAY BEACH,United States,33483,FL,APOLLAREALETATELLC@GMAI.COM,Domestic,2021-05-05,FL,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:19.5900000,,,,,,,,,,,,,,,,,,,,,,,,
"EVERGREEN DESIGN BUILD, INC.",Stock,Active,1391300,2022-05-05,750 MAIN ST,WARREN,,01083,MA,ERIK.EVERGREENDB@GMAI.COM,Foreign,2021-05-05,MA,MA,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),2021-11-10 00:04:19.5900000,2021-06-01,"EVERGREEN DESIGN BUILD, INC.",,,,,,,,,,,,,,,,,,,,,,
SCHUYLER HOUSE LLC,LLC,Active,1391441,2022-03-31,455 LENOX ROAD,HUNTINGTON STATION,,11746,NY,RGAUDIO@OPTONLINE.NET,Domestic,2021-05-05,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:04:19.0433333,,,,,,,,,,,,,,,,,,,,,,,,
"TROLLEY ENTERPRISES, LLC",LLC,Active,1390718,2022-03-31,16 OLD KENT ROAD,MANSFIELD CENTER,United States,06250,CT,TRBRYANT38@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:04:22.9666667,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN START DISINFECTING & CLEANING SERVICES LLC,LLC,Active,1390608,2022-03-31,185 HENRY STREET UNIT B,STAMFORD,United States,06902,CT,JAMILSCOTT29@YAHOO.COM,Domestic,2021-05-05,CT,Connecticut,False,False,True,False,False,Janitorial Services (561720),2021-11-10 00:04:17.7166667,,,,,,,,,,,,,,,,,,,,,,,,
"THE TIPSY PIG, LLC",LLC,Active,1390588,2022-03-31,823 NEW HARWINTON ROAD,TORRINGTON,United States,06790,CT,TIPSYPIG860@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Drinking Places (Alcoholic Beverages) (722410),2021-11-10 00:04:22.9666667,,,,,,,,,,,,,,,,,,,,,,,,
GARCIA GONE GLOBAL LLC,LLC,Active,1390574,2022-03-31,25 COTTAGE ST 202,NORWALK,United States,06855,CT,GARCIAGONEGLOBAL@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Travel Agencies (561510),2021-11-10 00:04:19.0300000,,,,,,,,,,,,,,,,,,,,,,,,
"NFIC VENTURES, LLC",LLC,Active,1391443,2022-03-31,42 SKYVIEW ROAD,ORANGE,,06477,CT,NAIJAFOUNDATION@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Miscellaneous Intermediation (523910),2021-11-10 00:04:23.6700000,,,,,,,,,,,,,,,,,,,,,,,,
GRG RESTORATION & SOLUTIONS CORP.,Stock,Active,1391440,2021-08-03,No information provided,,,,,,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,New Multifamily Housing Construction (except For-Sale Builders) (236116),2021-11-10 00:04:27.0133333,,,,,,,,,,,,,,,,,First report past due,,1.0,,,,,
EVERYONE NEEDS A VINNIE LLC,LLC,Active,1390548,2022-03-31,130 WESTBROOK HEIGHTS RD.,WESTBROOK,United States,06498,CT,EVERYONENEEDSAVINNIE@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:21.6066667,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIER HER LLC,LLC,Active,1390721,2022-03-31,55 W WOODS RD,HAMDEN,United States,06518,CT,HEALTHIERHERMP@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Educational Support Services (611710),2021-11-10 00:04:37.6400000,,,,,,,,,,,,,,,,,,,,,,,,
ROUND 2 PROPERTIES LLC,LLC,Active,1390575,2022-03-31,706 BEDFORD ST,STAMFORD,United States,06901,CT,REEFWRAITH@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:04:35.1233333,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLAND RESOLUTION GROUP, LLC",LLC,Active,1390830,2022-03-31,"1100 USA PARKWAY, STE. B-200",FISHERS,United States,46037,IN,RAEESA@VCORPSERVICES.COM,Foreign,2021-05-05,DE,DE,False,False,False,False,False,Collection Agencies (561440),2021-11-10 00:04:30.4366667,2020-11-20,"HEARTLAND RESOLUTION GROUP, LLC",United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,,,,
"FRICA INTERIORS & RENOVATIONS, INC",Stock,Active,1390678,2022-07-08,49 Mist Hill Dr.,Brookfield,United States,06804-1623,CT,FRICAINC03@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,True,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:04:41.5466667,,,,,,,,,,,,,,,,2021-05-05,Annual report due,,1.0,,,,,
SEABROS INVESTMENTS LLC,LLC,Active,1390711,2022-03-31,11411 BOSTON POST ROAD 714,WESTBROOK,United States,06498,CT,NICKCIAN98@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:42.7800000,,,,,,,,,,,,,,,,,,,,,,,,
J FLIP SOLUTIONS LLC,LLC,Active,1390578,2022-03-31,145 TRIANGLE ST APT 1,DANBURY,United States,06810,CT,PATRICIO593@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:33.7966667,,,,,,,,,,,,,,,,,,,,,,,,
JONATHAN DECARLO LLC,LLC,Active,1390587,2022-03-31,11 SASQUA TRL,WESTON,United States,06883,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Other Performing Arts Companies (711190),2021-11-10 00:04:39.5000000,,,,,,,,,,,,,,,,,,,,,,,,
DB LOGISTICS LLC,LLC,Active,1390576,2022-03-31,1 DOWNEY DRIVE APT C,MANCHESTER,United States,06042,CT,DERICKBONSU44@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:04:40.8766667,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOP INN LLC,LLC,Active,1390600,2022-03-31,373 NORWICH WESTERLY RD,NORTH STONINGTON,United States,06359,CT,MAILALWYN@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,True,False,False,Hotels (except Casino Hotels) and Motels (721110),2021-11-10 00:04:37.0633333,,,,,,,,,,,,,,,,,,,,,,,,
"KING'S GATE HAV III, LLC",LLC,Active,1390710,2022-03-31,2 ARMONK STREET,GREENWICH,United States,06830,CT,LEE@ROOMUNITY.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:37.7333333,,,,,,,,,,,,,,,,,,,,,,,,
MCBRYDE BOOKS LLC,LLC,Active,1390550,2022-03-31,281 BRITTANY FARMS RD APT C,NEW BRITAIN,United States,06053,CT,MCBRYDEBOOKS@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:04:41.5466667,,,,,,,,,,,,,,,,,,,,,,,,
"EG OWNER, LLC",LLC,Active,1390586,2022-03-31,1256 MAIN STREET,WALTHAM,United States,02451,MA,DSPEROUNIS@DAKOTAPARTNERS.NET,Domestic,2021-05-05,MA,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:04:42.1566667,,,,,,,,,,,,,,,,,,,,,,,,
DPM MERIDEN SELF STORAGE LLC,LLC,Active,1390538,2022-03-31,22815 VENTURA BLVD. SUITE 310,WOODLAND HILLS,,91364,CA,,Foreign,2021-05-05,DE,DE,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),2021-11-10 00:04:41.4700000,2021-05-20,DPM MERIDEN SELF STORAGE LLC,,"2140 S. DUPONT HIGHWAY, CAMDEN, DE, 19934,",2140 S. DUPONT HIGHWAY,CAMDEN,DE,19934,,"2140 S. DUPONT HIGHWAY, CAMDEN, DE, 19934,",2140 S. DUPONT HIGHWAY,CAMDEN,DE,19934,,,,,,,,,,
DLUXE SMILES LLC,LLC,Active,1390709,2022-03-31,660 PROSPECT AVENUE,HARTFORD,United States,06105,CT,DLUXESMILES@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),2021-11-10 00:04:37.6266667,,,,,,,,,,,,,,,,,,,,,,,,
"AVOCADO AVENUE ABODES, LLC",LLC,Active,1390679,2022-03-31,49 ORCHARD HEIGHTS DRIVE,HAMDEN,United States,06514,CT,KEREID@YAHOO.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:38.3300000,,,,,,,,,,,,,,,,,,,,,,,,
INYAHEAD MUSIC LLC,LLC,Active,1390601,2022-03-31,64 WATER ST,SOUTH GLASTONBURY,United States,06073,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",2021-11-10 00:04:36.2966667,,,,,,,,,,,,,,,,,,,,,,,,
HITCH LLC,LLC,Active,1390602,2022-03-31,392 STATE ST APT 5F,NORTH HAVEN,United States,06473,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Business Associations (813910),2021-11-10 00:04:37.6866667,,,,,,,,,,,,,,,,,,,,,,,,
"PBN PROPERTIES, LLC",LLC,Active,1390680,2022-03-31,31 OVERHILL ROAD,ELLINGTON,United States,06029,CT,DENNIS@EXTERIORASSOCIATES.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:05:09.3433333,,,,,,,,,,,,,,,,,,,,,,,,
"SW OWNER, LLC",LLC,Active,1390661,2022-03-31,1256 MAIN STREET,WALTHAM,United States,02451,MA,DSPEROUNIS@DAKOTAPARTNERS.NET,Domestic,2021-05-05,MA,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:05:04.5933333,,,,,,,,,,,,,,,,,,,,,,,,
RAY AND SAM HOME IMPROVEMENT LLC,LLC,Active,1390659,2022-03-31,84 CENTER ST,WEST HAVEN,United States,06516,CT,RAYHOMEIMPROVEMENT77@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:05:05.1700000,,,,,,,,,,,,,,,,,,,,,,,,
TN REAL ESTATE LLC,LLC,Active,1390603,2022-03-31,69 WENTWORTH DR,EAST HARTFORD,United States,06118,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Sporting Goods Stores (451110),2021-11-10 00:04:55.3033333,,,,,,,,,,,,,,,,,,,,,,,,
ROBLES ASSOCIATES LLC,LLC,Active,1391055,2022-03-31,12 INDIAN ROCK  PLACE,WILTON,United States,06897,CT,RELVIS1910@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:04:43.6100000,,,,,,,,,,,,,,,,,,,,,,,,
BABYMAMAESSENTIALS.COM LLC,LLC,Active,1390658,2022-03-31,9 RACEBROOK DR,BETHEL,United States,06801,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Children's and Infants' Clothing Stores (448130),2021-11-10 00:04:49.5633333,,,,,,,,,,,,,,,,,,,,,,,,
CAFFE DEI SORRISI L.L.C.,LLC,Active,1392551,2022-03-31,34 FOWLER AVE.,TORRINGTON,,06790,CT,CERUTTISLEGACYLLC@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:46.3766667,,,,,,,,,,,,,,,,,,,,,,,,
JAM HOME IMPROVEMENT AND REPAIR LLC,LLC,Active,1388514,2022-03-31,743 ROWLAND ROAD,FAIRFIELD,United States,06824,CT,JAMLOCAL3@AOL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:04:47.0800000,,,,,,,,,,,,,,,,,,,,,,,,
EL RINCON PERUNAO SPORT BAR & RESTAURANT LLC,LLC,Active,1390739,2022-03-31,980-982 RAILDOAD AVE,BRIDGEPORT,United States,06605,CT,DELAIGLESIAC@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-11-10 00:04:48.9866667,,,,,,,,,,,,,,,,,,,,,,,,
ON THE MOVE FITNESS LLC,LLC,Active,1390756,2022-03-31,42 FERN VALLEY RD,WESTON,United States,06883,CT,JULIASWALTZMAN@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:04:50.9866667,,,,,,,,,,,,,,,,,,,,,,,,
"T&E-WATERTOWN, LLC",LLC,Active,1390660,2022-03-31,59 LOVLEY DRIVE,WATERTOWN,United States,06795,CT,TDAPONTE@LIVE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:05:07.8266667,,,,,,,,,,,,,,,,,,,,,,,,
OSCARAA  LLC,LLC,Active,1390757,2022-03-31,1310 BOSTON POST RD APT 507,GUILFORD,United States,06437,CT,TAXCENTERCT@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:04:51.0000000,,,,,,,,,,,,,,,,,,,,,,,,
"797-809 WASHINGTON STREET, LLC",LLC,Active,1390790,2022-03-31,43 WESTWAY,WETHERSFIELD,United States,06109,CT,EVAN.OBRIEN@CUSHWAKE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:04:51.4300000,,,,,,,,,,,,,,,,,,,,,,,,
"DKN PROPERTIES, LLC",LLC,Active,1392450,2022-03-31,200 VILLAGE ST.,NORTHFORD,,06472,CT,KNEUBIG@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:04:44.9866667,,,,,,,,,,,,,,,,,,,,,,,,
MGLIHAARTISTINOILS LLC,LLC,Active,1390803,2022-03-31,100 DOBSON ROAD UNIT 21,VERNON,United States,06066,CT,NADEJ90@ICLOUD.COM,Domestic,2021-05-05,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:05:05.8433333,,,,,,,,,,,,,,,,,,,,,,,,
ELM INVESTMENT PARTNERS LLC,LLC,Active,1390738,2022-03-31,249 PINE ORCHARD ROAD,BRANFORD,United States,,CT,PDOYLE@ELMGROUP.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:04:59.5433333,,,,,,,,,,,,,,,,,,,,,,,,
MORENTI'S TREE SERVICE LLC,LLC,Active,1390623,2022-03-31,303 DAY ST. #A,BROOKLYN,United States,06234,CT,CHADSTREESERVICE@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:09.2966667,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTIFUL & STONED LLC,LLC,Active,1390724,2022-03-31,3 Armstrong Drive #1009,Shelton,United States,06484,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:04:58.2800000,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS REAL ESTATE VENTURES LLC,LLC,Active,1390686,2022-03-31,222 POST ROAD SECOND FLOOR,FAIRFIELD,United States,06824,CT,ROGERSREGINALD26@YAHOO.COM,Domestic,2021-05-05,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:05:05.8733333,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTINE KANDIC TORRES LLC,LLC,Active,1390622,2022-03-31,2490 BLACK ROCK TPKE. #449,FAIRFIELD,United States,06825,CT,CHRISTINEKTLLC@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:00.7300000,,,,,,,,,,,,,,,,,,,,,,,,
HAMDEN STORAGE LLC,LLC,Active,1390635,2022-03-31,2755 STATE STREET,HAMDEN,United States,06517,CT,NICK@BOLTSTORAGE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),2021-11-10 00:05:03.9200000,,,,,,,,,,,,,,,,,,,,,,,,
"12 PUTNAM ROAD, LLC",LLC,Active,1390726,2022-03-31,869 BRICKYARD ROAD,WOODSTOCK,United States,06281,CT,JASON.ALLARD@UCONN.EDU,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:05:01.3566667,,,,,,,,,,,,,,,,,,,,,,,,
"SW DEVELOPER, LLC",LLC,Active,1390593,2022-03-31,1256 MAIN STREET,WALTHAM,United States,02451,MA,DSPEROUNIS@DAKOTAPARTNERS.NET,Domestic,2021-05-05,MA,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:05:04.0000000,,,,,,,,,,,,,,,,,,,,,,,,
DREAM HOME ESTATE INVESTMENTS LLC,LLC,Active,1390639,2022-03-31,120 COLUMBUS PLACE APT 20,STAMFORD,United States,06907,CT,INFO@KENNEDYDOYLE.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:05:08.7966667,,,,,,,,,,,,,,,,,,,,,,,,
INDOOR COMFORT TRAINING CENTER LLC,LLC,Active,1390737,2022-03-31,121 FOREST STREET,STAMFORD,United States,,CT,FRITZGCHERY@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,True,False,False,Apprenticeship Training (611513),2021-11-10 00:05:05.8900000,,,,,,,,,,,,,,,,,,,,,,,,
LENTINI LANDSCAPING & PROPERTY MAINTENANCE LLC,LLC,Active,1390767,2022-03-31,32 BERKSHIRE RD,WEST HARTFORD,United States,06110,CT,LENTINIPROPERTYMAINTENANCE@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,False,False,False,Landscaping Services (561730),2021-11-10 00:05:03.1533333,,,,,,,,,,,,,,,,,,,,,,,,
MSP CONSTRUCTIONS LLC,LLC,Active,1390725,2022-03-31,13 FAIRMOUNT ST FLOOR 1,WATERBURY,United States,067,CT,MAURICIOITAIPE@HOTMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:04:57.4600000,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENT LLC,LLC,Active,1390637,2022-03-31,19 WERF DRIVE,REDDING,United States,06896,CT,SACRAMENTHEALING@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,True,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2021-11-10 00:05:04.6400000,,,,,,,,,,,,,,,,,,,,,,,,
"JAMES P DE2, LLC",LLC,Active,1390765,2022-03-31,8 CARTER LANE,MONSEY,United States,10952,NY,BARNETT@RBREALESTATEGROUP.COM,Foreign,2021-05-05,DE,DE,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:05:05.7966667,2021-05-26,"JAMES P DE2, LLC",United States,"919 N MARKET ST SUITE 725, WILMINGTON, DE, 19801, United States",919 N MARKET ST SUITE 725,WILMINGTON,DE,19801,United States,"919 N MARKET ST SUITE 725, WILMINGTON, DE, 19801, United States",919 N MARKET ST SUITE 725,WILMINGTON,DE,19801,United States,,,,,,,,,
JBJ PAINTING LLC,LLC,Active,1390625,2022-03-31,35 PEARL LAKE ROAD,WATERBURY,United States,06706,CT,ZEBERNARDINO11@HOTMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-11-10 00:05:05.1400000,,,,,,,,,,,,,,,,,,,,,,,,
"RI LOG HOME RESTORATION, LLC",LLC,Active,1392471,2022-03-31,401 KING ROAD,TIVERTON,,02878,RI,RILOGHOMERESTORATION@GMAIL.COM,Foreign,2021-05-05,RI,RI,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:05:08.8433333,2021-05-03,"RI LOG HOME RESTORATION, LLC",,"401 KING ROAD, TIVERTON, RI, 02878,",401 KING ROAD,TIVERTON,RI,02878,,"401 KING ROAD, TIVERTON, RI, 02878,",401 KING ROAD,TIVERTON,RI,02878,,,,,,,,,,
ISM CONSTRUCTION LLC,LLC,Active,1390626,2022-03-31,10 DOROTHY STREET,HARTFORD,United States,06106,CT,GENERALHELPCT@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:04:55.9900000,,,,,,,,,,,,,,,,,,,,,,,,
"RIVERBEND FUNDING, LLC",LLC,Active,1390727,2022-03-31,3550 ROUND BARN BLVD STE 104,SANTA ROSA,United States,95403,CA,STATENOTICES@VCORPSERVICES.COM,Foreign,2021-05-05,DE,DE,False,False,False,False,False,Consumer Lending (522291),2021-11-10 00:05:07.2633333,2021-05-05,"RIVERBEND FUNDING, LLC",United States,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,,,
56 WILCOX LLC,LLC,Active,1390636,2022-03-31,1700 DIXWELL AVE BLD D SUITE K,HAMDEN,United States,06514,CT,ALPHAHOLDINGSCT@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:05:03.9833333,,,,,,,,,,,,,,,,,,,,,,,,
C&T LANDSCAPING AND TREE REMOVAL LLC,LLC,Active,1390723,2022-03-31,63 THOMSON RD,WEST HARTFORD,United States,06107,CT,C.T.TREE.REMOVAL.LLC@GMAIL.COM,Domestic,2021-05-05,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),2021-11-10 00:05:18.3900000,,,,,,,,,,,,,,,,,,,,,,,,
