name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billingcountry,reason_for_administrative,total_authorized_shares,sub_status,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,naics_sub_code,dissolution_date,billing_unit,date_of_organization_meeting
AB INTERNATIONAL US LLC,LLC,Active,1317571,2020-03-31,687 DART HILL ROAD,VERNON,06066,CT,ALCOINC1@AOL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
THE HARTFORD FARM COOPERATIVE LLC,LLC,Active,1317572,2022-03-31,75 LAUREL STREET,HARTFORD,06106,CT,jameelahm10@gmail.com,Domestic,2019-08-06,CT,Connecticut,True,False,True,False,False,Farm Management Services (115116),2021-11-10 00:10:26.2600000,United States,,,,,,,,,,,,,,,,,,,,,,,
IGLESIA DE DIOS CENTRO DE AVIVAMIENTO CON PROPOSITO INC.,Non-Stock,Active,1317573,2020-08-06,215 MAIN STREET,DANBURY,06810,CT,nisigodblessyou@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,,Failure to file Annual Report,,Annual report past due,,,,,,,,,,,,,,,,,,,,
UNITED MEDICAL INSTALLATIONS LLC,LLC,Active,1317577,2020-03-31,69 ALLENTOWN RD,PLYMOUTH,06786,CT,KYLEVERZIER@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
J & RAH HAULING LLC,LLC,Active,1317578,2020-03-31,6 MILL RD,PLAINVILLE,06062,CT,JANDRAHHAULING@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"EN*JOY, LANDSCAPING & PROPERTY MAINTENANCE LLC",LLC,Active,1317579,2020-03-31,137 WARWICK RD,NEW FAIRFIELD,06812,CT,JENNIFERZUGER@SBCGLOBAL.NET,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
JTJ ASSOCIATES LLC,LLC,Active,1317580,2022-03-31,120 MIDDLE STREET #799,BRIDGEPORT,06602,CT,Jtjassociatesllc@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,False,True,False,False,Other Personal Care Services (812199),2021-11-10 00:10:26.2600000,United States,,,,,,,,,,,,,,,,,,,,812199.0,,,
THE PAINTED SAIL LLC,LLC,Active,1317581,2020-03-31,105 BOOK HILL ROAD,ESSEX,06426,CT,THEPAINTEDSAIL@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.2600000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"CLEAR SMILE DENTAL STUDIO, PLLC",LLC,Active,1317582,2020-03-31,66 SUMMER STREET UNIT 1002,STAMFORD,06901,CT,APRIL@RMONTGOMERY-LAW.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
U OF NEXT LLC,LLC,Active,1317583,2020-03-31,470 JAMES STREET SUITE 006,NEW HAVEN,06513,CT,AL@UOFNEXT.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"GLOBAL SPECIAL RISKS, LLC",LLC,Active,1317584,2022-03-31,9821 KATY FREEWAY SUITE 750,HOUSTON,77024,TX,monica.wanat@ryansg.com,Foreign,2019-08-06,TX,TX,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:10:26.8233333,United States,,,,,2019-08-06,"GLOBAL SPECIAL RISKS, LLC",United States,"9821 KATY FREEWAY SUITE 750, HOUSTON, TX, 77024, United States",9821 KATY FREEWAY SUITE 750,HOUSTON,TX,77024,United States,"9821 KATY FREEWAY SUITE 750, HOUSTON, TX, 77024, United States",9821 KATY FREEWAY SUITE 750,HOUSTON,TX,77024.0,United States,524210.0,,,
MANOR FIELDS LLC,LLC,Active,1317585,2020-03-31,123 HUBBELL AVENUE,ANSONIA,06401,CT,MANORFIELDSLLC@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
BRIERE REAL ESTATE HOLDINGS LLC,LLC,Active,1317586,2022-03-31,66 INDUSTRIAL PARK RD. WEST,TOLLAND,06084,CT,ap@shelby-supply.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:10:26.8233333,United States,,,,,,,,,,,,,,,,,,,,531120.0,,,
THAMES LANDING DEVELOPMENT LLC,LLC,Active,1317587,2022-03-31,470 JAMES STREET STE 3,NEW HAVEN,06513,CT,jn@urbanenewhaven.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),2021-11-10 00:10:26.8233333,United States,,,,,,,,,,,,,,,,,,,,236117.0,,,
"EQUITY SALES FINANCE, INC.",Stock,Active,1317588,2022-08-06,"6900 Wedgwood Rd N, Suite 150",Maple Grove,55311,MN,daryls@equitysalesfinance.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:10:26.8233333,United States,,,,,2019-07-03,"EQUITY SALES FINANCE, INC.",United States,,,,,,,,,,,,,522220.0,,,
ROEBIZ LLC,LLC,Active,1317589,2020-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
CGC CONSTRUCTION LLC,LLC,Active,1317590,2020-03-31,78 FRANCIS ST FL 2,WATERBURY,06708,CT,ONEOAKAGENCY@YAHOO.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
FIVE STAR REMODELING LLC,LLC,Active,1317592,2020-03-31,"136 PEMBROKE ROAD, UNIT 99",DANBURY,06811,CT,JRODRIGUES7273@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
THE GOOD LIFE TRADING COMPANY LLC,LLC,Active,1317593,2022-03-31,34 TALMADGE HILL RD,PROSPECT,06712,CT,robertg2011@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Investment Banking and Securities Dealing (523110),2021-11-10 00:10:26.8233333,United States,,,,,,,,,,,,,,,,,,,,523110.0,,,
MCGRATH RESTORATION COMPANY LLC,LLC,Active,1317594,2020-03-31,360 CHAUNCEY RD,MIDDLETOWN,06457-1986,CT,MCGRATHRESTORATIONCOMPANY@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
VELGRANDE REMODELING LLC,LLC,Active,1317595,2020-03-31,56 MATTHEWS ST,STAMFORD,06902,CT,MARLOSTURCIOS@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8233333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"CORINTHIANS BEAUTY, LLC",LLC,Active,1317597,2022-03-31,166 NEW CHESHIRE RD,MERIDEN,06451,CT,corinthianmcleod@yahoo.com,Domestic,2019-08-06,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),2021-11-10 00:10:26.8233333,United States,,,,,,,,,,,,,,,,,,,,,,,
"IMOMSOHARD PRODUCTIONS, LLC",LLC,Active,1317598,2021-03-31,10960 WILSHIRE BLVD STE 1900,LOS ANGELES,90024,CA,ct-reports@statefilings.in,Foreign,2019-08-06,DE,DE,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:10:26.8233333,United States,,,Annual report past due,,2018-01-01,"IMOMSOHARD PRODUCTIONS, LLC",United States,"10960 WILSHIRE BLVD STE 1900, LOS ANGELES, CA, 90024, United States",10960 WILSHIRE BLVD STE 1900,LOS ANGELES,CA,90024,United States,"10960 WILSHIRE BLVD STE 1900, LOS ANGELES, CA, 90024, United States",10960 WILSHIRE BLVD STE 1900,LOS ANGELES,CA,90024.0,United States,711510.0,,,
EZIOKWU LLC,LLC,Active,1317599,2021-03-31,40 LAKEVIEW AVE,ROCKY HILL,06067,CT,emmanuel.c.mokwunye@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,True,True,True,False,Other Grocery and Related Products Merchant Wholesalers (424490),2021-11-10 00:10:26.8233333,United States,,,Annual report past due,,,,,,,,,,,,,,,,,,,,
KEIZE NUTRITION KEYS LLC,LLC,Active,1317600,2022-03-31,101 MERRITT 7 UNIT 11,NORWALK,06850,CT,lilly@keizenutritionkeys.com,Domestic,2019-08-06,CT,Connecticut,True,False,True,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),2021-11-10 00:10:26.8233333,United States,,,,,,,,,,,,,,,,,,,,621999.0,,,
"YUSRA, INC.",Stock,Active,1317601,2020-08-06,300 BOSTON AVE,BRIDGEPORT,06610,CT,qahirjawid@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8566667,United States,Failure to file Annual Report,1000.0,Annual report past due,,,,,,,,,,,,,,,,,,,,
TAGS HOLDING LLC,LLC,Active,1317602,2022-03-31,527 MOUNTAIN RD,WEST HARTFORD,06117,CT,tagsholdingllc@gmail.com,Domestic,2019-08-06,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:10:26.8566667,United States,,,,,,,,,,,,,,,,,,,,531110.0,,,
AHN COMMUNITIES LLC,LLC,Active,1317603,2021-03-31,224 CANDLELIGHT DR,GLASTONBURY,06033,CT,ahncommunities@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,True,True,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:10:26.8566667,United States,,,Annual report past due,,,,,,,,,,,,,,,,,531120.0,,,
WHITESCARVER LLC,LLC,Active,1317605,2020-03-31,20 SEQUIN DR,GROTON,06340,CT,PAWHITESCARVER@MAC.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8566667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
PS DESIGN & SOFTWARE SOLUTIONS LLC,LLC,Active,1317606,2020-03-31,1 HOBSON STREET,DANBURY,06810,CT,PATICAO@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8566667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SINGLE MOMS ALLIANCE INCORPORATED,Non-Stock,Active,1317607,2022-08-06,35 Eldert St,New Haven,06511-2922,CT,SINGLEMOMSALLIANCEINC@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Other Social Advocacy Organizations (813319),2021-11-10 00:10:26.8566667,United States,,,,,,,,,,,,,,,,,,,,,,,2019-12-16
LINDA CHANTEL LLC,LLC,Dissolved,1317608,2022-03-31,13 CARPENTER LN,BLOOMFIELD,06002,CT,lindachantelllc@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Jewelry Stores (448310),2021-11-10 00:10:26.8566667,United States,,,,,,,,,,,,,,,,,,,,,2021-05-17T00:00:00.000,,
TUNGSTEN COMPUTERS LLC,LLC,Active,1317611,2020-03-31,32 HUGHES ST,EAST HAVEN,06512,CT,JULIAN@TUNGSTENCOMPUTERS.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8566667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
CT COFFEE CONNECTION LLC,LLC,Active,1317612,2020-03-31,22 KENT STREET,PLAINVILLE,06062,CT,DDEE1982@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8566667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"STARWOOD OPPORTUNITY ZONE PARTNERS VI-A, LIMITED PARTNERSHIP",Limited Partnership,Active,1317615,2022-08-06,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.8566667,United States,,,,,2019-08-06,"STARWOOD OPPORTUNITY ZONE PARTNERS VI-A, L.P.",United States,,,,,,,"591 WEST PUTNAM AVENUE, GREENWICH, CT, 06830, United States",591 WEST PUTNAM AVENUE,GREENWICH,CT,6830.0,United States,531390.0,,,
"STARWOOD OPPORTUNITY ZONE PARTNERS VII-A, LIMITED PARTNERSHIP",Limited Partnership,Active,1317616,2022-08-06,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.8566667,United States,,,,,2019-08-06,"STARWOOD OPPORTUNITY ZONE PARTNERS VII-A, L.P.",United States,,,,,,,"591 WEST PUTNAM AVENUE, GREENWICH, CT, 06830, United States",591 WEST PUTNAM AVENUE,GREENWICH,CT,6830.0,United States,531210.0,,,
"STARWOOD OPPORTUNITY ZONE QOZB VI-A, LIMITED PARTNERSHIP",Limited Partnership,Active,1317617,2022-08-06,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.8566667,United States,,,,,2019-08-06,"STARWOOD OPPORTUNITY ZONE QOZB VI-A, L.P.",United States,,,,,,,NONE,NONE,,,,,531210.0,,,
"STARWOOD OPPORTUNITY ZONE QOZB V-A, LIMITED PARTNERSHIP",Limited Partnership,Active,1317618,2022-08-06,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.8566667,United States,,,,,2019-08-06,"STARWOOD OPPORTUNITY ZONE QOZB V-A, L.P.",United States,,,,,,,NONE,NONE,,,,,531210.0,,,
"STARWOOD OPPORTUNITY ZONE PARTNERS V-A, LIMITED PARTNERSHIP",Limited Partnership,Active,1317619,2022-08-06,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.8566667,United States,,,,,2019-08-06,"STARWOOD OPPORTUNITY ZONE PARTNERS V-A, L.P.",United States,,,,,,,"591 WEST PUTNAM AVENUE, GREENWICH, CT, 06830, United States",591 WEST PUTNAM AVENUE,GREENWICH,CT,6830.0,United States,531390.0,,,
"LORMAN BUSINESS CENTER, LLC",LLC,Active,1317626,2022-03-31,2510 ALPINE RD.,EAU CLAIRE,54703,WI,khelland@lorman.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Professional and Management Development Training (611430),2021-11-10 00:10:26.9033333,United States,,,,,2019-08-06,"LORMAN BUSINESS CENTER, LLC",United States,,,,,,,,,,,,,611430.0,,,
"PEOPLE 2.0 GLOBAL, LLC",LLC,Active,1317629,2022-03-31,"222 VALLEY CREEK BLVD., STE. 100",EXTON,19341,PA,complianceteam@cogencyglobal.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Temporary Help Services (561320),2021-11-10 00:10:26.9033333,United States,,,,,2019-08-06,"PEOPLE 2.0 GLOBAL, LLC",United States,"850 NEW BURTON RD., STE. 201, DOVER, DE, 19904,","850 NEW BURTON RD., STE. 201",DOVER,DE,19904,,"850 NEW BURTON RD., STE. 201, DOVER, DE, 19904, United States","850 NEW BURTON RD., STE. 201",DOVER,DE,19904.0,United States,561320.0,,,
"DPS GROUP, INC.",Stock,Active,1317632,2022-08-06,959 CONCORD STREET SUITE 100,FRAMINGHAM,01701,MA,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-08-06,MA,MA,False,False,False,False,False,Engineering Services (541330),2021-11-10 00:10:26.9033333,United States,,,,,2019-08-06,"DPS GROUP, INC.",United States,,,,,,,,,,,,,541330.0,,,
TOBACCO TOWN LLC,LLC,Active,1317636,2022-03-31,770 PASCACK RD,PARAMUS,07652,NJ,PBS@BERGERCPAFIRST.COM,Foreign,2019-08-06,NJ,NJ,False,False,False,False,False,Tobacco Stores (453991),2021-11-10 00:10:26.9033333,United States,,,,,2019-02-04,TOBACCO TOWN LLC,United States,"770 PASCACK RD, PARAMUS, NJ, 06608, United States",770 PASCACK RD,PARAMUS,NJ,06608,United States,"521 ROUTE 206 UNIT 1, NEWTON, NJ, 07860, United States",521 ROUTE 206 UNIT 1,NEWTON,NJ,7860.0,United States,,,,
LNS HOLDINGS LLC,LLC,Active,1317637,2022-03-31,64 MAPLE ST,SOMERSVILLE,06072,CT,noahark1@gmail.com,Domestic,2019-08-06,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:26.9033333,United States,,,,,,,,,,,,,,,,,,,,531390.0,,,
GARNET AND MAY DESIGN LLC,LLC,Active,1317638,2022-03-31,26 WILDCAT RD,MADISON,06443,CT,garnetandmay@gmail.com,Domestic,2019-08-06,CT,Connecticut,True,False,False,False,False,Graphic Design Services (541430),2021-11-10 00:10:26.9033333,United States,,,,,,,,,,,,,,,,,,,,541430.0,,,
"QOZB GP VI-A, L.L.C.",LLC,Active,1317647,2022-03-31,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:27.5100000,United States,,,,,2019-08-06,"QOZB GP VI-A, L.L.C.",United States,NONE,NONE,,,,,NONE,NONE,,,,,531390.0,,,
"QOZB GP V-A, L.L.C.",LLC,Active,1317652,2022-03-31,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:27.5100000,United States,,,,,2019-08-06,"QOZB GP V-A, L.L.C.",United States,NONE,NONE,,,,,NONE,NONE,,,,,531390.0,,,
"C&R COLLECTIBLES, LLC",LLC,Active,1317653,2022-03-31,91 FACTORY WASHINEE ST,SALISBURY,06039,CT,oresca@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:10:27.5100000,United States,,,,,,,,,,,,,,,,,,,,454110.0,,,
"QOZB GP VII-A, L.L.C.",LLC,Active,1317654,2022-03-31,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:10:27.5100000,United States,,,,,2019-08-06,"QOZB GP VII-A, L.L.C.",United States,,,,,,,,,,,,,531210.0,,,
"EXETER GOVERNMENT SERVICES, LLC",LLC,Active,1317655,2022-03-31,"9841 WASHINGTON BLVD., STE 400",GAITHERSBURG,20878,MD,rklash@exetergov.com,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Custom Computer Programming Services (541511),2021-11-10 00:10:27.5100000,United States,,,,,2019-08-05,"EXETER GOVERNMENT SERVICES, LLC",United States,,,,,,,,,,,,,541511.0,,,
A.X. TRANSPORTATION INC,Stock,Active,1317661,2021-08-06,No information provided,,,,AXTRANSPORTATION@YAHOO.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5433333,,,100.0,First report past due,,,,,,,,,,,,,,,,,,,,
VRANGA HAIR STUDIO LLC,LLC,Active,1317671,2022-03-31,340 WILLIAMSON CIRCLE,OAKVILLE,06779,CT,vrangahairstudio@gmail.com,Domestic,2019-08-06,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),2021-11-10 00:10:27.5433333,United States,,,,,,,,,,,,,,,,,,,,,,,
LOUNGE 7 BAR & CAFE LLC,LLC,Active,1317691,2020-03-31,42B VICTOR STREET C/O SEGUNDO VELASQUEZ,DANBURY,06810,CT,JOSEPHCCOCO@SBCGLOBAL.NET,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5900000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
ARMANI LOGISTICS LLC,LLC,Active,1317718,2020-03-31,64 WHITMORE ST,HTFD,06114,CT,YARDFATHER43@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.1366667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
TAFFY CREAM LLC,LLC,Active,1317719,2021-03-31,278 BETH LANE,WATERBURY,06705,CT,taffy.cream@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Snack and Nonalcoholic Beverage Bars (722515),2021-11-10 00:10:28.1366667,United States,,,Annual report past due,,,,,,,,,,,,,,,,,722515.0,,,
CRYSTALLOGRAPHY LLC,LLC,Active,1317720,2020-03-31,1 BISHOP CIR,SANDY HOOK,06482,CT,JUDIGALLO1@GMAIL.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.1533333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SAE INTERNATIONAL - CORPORATION,Non-Stock,Active,1317766,2020-08-06,400 COMMONWEALTH DR,WARRENDALE,15096,PA,SAE@SAE.ORG,Foreign,2019-08-06,PA,PA,False,False,False,False,False,,2021-11-10 00:10:28.2300000,,Failure to file Annual Report,,Annual report past due,,2019-07-01,SAE INTERNATIONAL,,,,,,,,,,,,,,,,,
"SATURDAY DEVELOPMENT, LLC",LLC,Active,1317770,2020-03-31,24 WATERCLIFF CIRCLE,WEST HARTFORD,06117,CT,VINCE@SATUDAYDEVELOPMENT.COM,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.2300000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
CARLASCIO REALTY LLC,LLC,Active,1317781,2022-03-31,129 MORELAND AVE.,WATERBURY,06705,CT,carlasciorealtyllc@gmail.com,Foreign,2019-08-06,NY,NY,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:10:28.2300000,United States,,,,,2019-08-05,CARLASCIO REALTY LLC,United States,"2345 CROTONA AVE. APT. 1C, BRONX, NY, 10458,",2345 CROTONA AVE. APT. 1C,BRONX,NY,10458,,"2345 CROTONA AVE. APT 1C, BRONX, NY, 10458, United States",2345 CROTONA AVE. APT 1C,BRONX,NY,10458.0,United States,,,,
"EIGHT WOMEN MAGAZINE, LLC",LLC,Active,1317782,2020-03-31,30 HUBBARD DRIVE,GLASTONBURY,06033,CT,,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.2300000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"MENTAL HEALTH EDUCATION COLLABORATIVE, INC.",Non-Stock,Active,1317794,2021-08-06,No information provided,,,,,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.7466667,,,,First report past due,,,,,,,,,,,,,,,,,,,,
"SENSIBLE WOMEN INITIATIVE, INC.",Non-Stock,Active,1317814,2021-08-06,13103 STRAWBERRY HILL PL,CLINTON,20735,MD,mcampbellfna@hotmail.com,Foreign,2019-08-06,MD,MD,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",2021-11-10 00:10:28.7933333,United States,,,Annual report past due,,2019-08-06,"SENSIBLE WOMEN INITIATIVE, INC.",United States,,,,,,,,,,,,,813990.0,,,
SAMS FAMILY TRUST,Statutory Trust,Active,1317815,2020-08-06,8 MC DERMOTT,DANBURY,06810,CT,,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.7933333,,,,,,,,,,,,,,,,,,,,,,,,
KB VOICES LLC,LLC,Active,1317816,2021-03-31,119 MOYLAN CT,NEWINGTON,06111,CT,smilinguy8@yahoo.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:10:28.7933333,United States,,,Annual report past due,,,,,,,,,,,,,,,,,711510.0,,,
"STORMPROOF SYSTEMS, LLC",LLC,Active,1317817,2022-03-31,199 OAKWOOD AVE,WEST HARTFORD,06119,CT,cj.doneright7@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:10:28.7933333,United States,,,,,,,,,,,,,,,,,,,,236118.0,,,
"CREDOVA FINANCIAL, LLC",LLC,Active,1317832,2022-03-31,9484 DOUBLE R BOULEVARD,RENO,89521,NV,MARS@MYPARACORP.COM,Foreign,2019-08-06,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:10:28.8233333,United States,,,,,2019-07-20,"CREDOVA FINANCIAL, LLC",United States,,,,,,,,,,,,,522220.0,,,
NGUYEN REALTY LLC,LLC,Active,1317833,2020-03-31,121 RED FOX RD,STAMFORD,06903,CT,,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8400000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
NEW MORNING MASSAGE LLC,LLC,Active,1317847,2022-03-31,704 NORTHFIELD ROAD,NORTHFIELD,06778,CT,Newmorningmassagect@gmail.com,Domestic,2019-08-06,CT,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:10:26.1833333,United States,,,,,,,,,,,,,,,,,,,,621399.0,,,
