name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,dissolution_date,billing_unit,mailing_jurisdiction_country,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address
284 SWEET BASIL LLC,LLC,Active,,1320442,2022-03-31,284 BLACK ROCK TPKE,FAIRFIELD,United States,06825,CT,JTAUSA8@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.7933333,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,,,,,,,,
"FRANKLIN AVE. CONDO, LLC",LLC,Active,Ready for dissolution,1320444,2020-03-31,294 RESERVOIR ROAD,NEWINGTON,United States,06111,CT,MASSA1027@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.7933333,,,,,,,,,,,,,,,,,,,,,,
SWAMP FAMILY MUSIC LLC,LLC,Active,Ready for dissolution,1320447,2020-03-31,4828 JULINGTON CREEK RD.,JACKSONVILLE,United States,32258,FL,MELWIK@GMAIL.COM,Foreign,2019-09-05,FL,FL,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.7933333,,,,2018-01-01,SWAMP FAMILY MUSIC LLC,"4828 JULINGTON CREEK RD., JACKSONVILLE, FL, 32258, United States",4828 JULINGTON CREEK RD.,JACKSONVILLE,FL,32258,"4828 JULINGTON CREEK RD., JACKSONVILLE, FL, 32258, United States",4828 JULINGTON CREEK RD.,JACKSONVILLE,FL,32258,United States,,,United States,United States,,
SOLAR & ENERGY CONSULTANTS LLC,LLC,Active,Annual report past due,1320450,2021-03-31,1245 FARMINGTON AVENUE SUITE #1001,WEST HARTFORD,United States,06107,CT,ct-reports@statefilings.in,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.7933333,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,,,,,,,,,,,,
MHP CONNECTICUT PARTNERS 2 LLC,LLC,Active,Annual report past due,1320451,2021-03-31,3 RESEARCH DRIVE UNIT 9,EAST LYME,United States,06333,CT,admin@maxhomect.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8233333,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,,,,,,,,,,,,
SOUTH NORWALK DOLLAR PLUS LLC,LLC,Active,,1320452,2022-03-31,20 N MAIN ST STE1,NORWALK,United States,06854,CT,cqw666@hotmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8233333,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,,,,,,,,
WILCZYNSKI CONSTRUCTION COMPANY LLC,LLC,Active,Ready for dissolution,1320453,2020-03-31,6825 TOWNSHIP RD. 197,MARENGO,United States,43334,OH,WILCZYNSKICONSTRUCTION@YAHOO.COM,Foreign,2019-09-05,OH,OH,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,2019-09-05,WILCZYNSKI CONSTRUCTION COMPANY LLC,"6825 TOWNSHIP RD. 197, MARENGO, OH, 43334, United States",6825 TOWNSHIP RD. 197,MARENGO,OH,43334,"6825 TOWNSHIP RD. 197, MARENGO, OH, 43334, United States",6825 TOWNSHIP RD. 197,MARENGO,OH,43334,United States,,,United States,United States,,
CALDERA INVESTMENTS LLC,LLC,Active,,1320454,2022-03-31,20 OLD COUNTY RD. UNIT 10,WINDSOR LOCKS,United States,06096,CT,heavyequip25@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8233333,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
MYSTIC PIPES & DRUMS INC.,Non-Stock,Active,Annual report past due,1320455,2020-09-05,2 WINFIELD WAY,LEDYARD,United States,06339,CT,WHITIRWIN6@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"RLP LOGISTICS, LLC",LLC,Active,Ready for dissolution,1320456,2020-03-31,375 PARK AVE,EAST HARTFORD,United States,06108,CT,PRIDGEN49@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
E&G PROPERTY CARE LLC,LLC,Active,Ready for dissolution,1320457,2020-03-31,32 NORTH MAIN ST,SHARON,United States,06069,CT,KAREN@MIRANTEAGENCY.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"SURF CITY BOARDS, LLC",LLC,Active,Ready for dissolution,1320459,2020-03-31,16 APPLE TREE LANE,DARIEN,United States,06820,CT,SURFCITYBOARDS@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
WALDEN FARM LLC,LLC,Active,,1320460,2022-03-31,46 POWERHOUSE ROAD,MOODUS,United States,06469,CT,waldenfarmmoodus@gmail.com,Domestic,2019-09-05,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:30.8233333,Fruit and Vegetable Markets (445230),445230.0,,,,,,,,,,,,,,,,,,,,
"NAILS WITH QUEENS, LLC",LLC,Active,Ready for dissolution,1320461,2020-03-31,212 MAPLE ST,NEW HAVEN,United States,06511,CT,QUEEN.DALY850@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
BARBA AND SONS LLC,LLC,Active,,1320462,2022-03-31,1715 WHITNEY AVENUE,HAMDEN,United States,06517,CT,jennifercbarba@gmail.com,Domestic,2019-09-05,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:30.8233333,Residential Mental Health and Substance Abuse Facilities (623220),623220.0,,,,,,,,,,,,,,,,,,,,
KAY?S K&P LLC,LLC,Active,Ready for dissolution,1320463,2020-03-31,21 MEADOW BROOK DR,MERIDEN,United States,06450,CT,KKP.LLC.BUSINESS@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"PECK'S FARM AND EQUESTRIAN CENTER, LLC",LLC,Active,,1320464,2022-03-31,18 CHOWANEC ROAD,COLUMBIA,United States,06237,CT,ride@pecksfarm.com,Domestic,2019-09-05,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:30.8233333,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,
DCL CONSTRUCTION SERVICES LLC,LLC,Active,Ready for dissolution,1320465,2020-03-31,8 HILLSIDE AVE 2FL,SEYMOUR,United States,06483,CT,CRIS@MIRANTEAGENCY.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
WINDHAM STORAGE LLC,LLC,Active,,1320466,2022-03-31,114A WASHINGTON AVENUE,NORTH HAVEN,United States,06473,CT,PROTO@THEPROTOGROUP.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8233333,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
"ABC PRO GRP, LLC",LLC,Active,Annual report past due,1320467,2021-03-31,101 MERRITT 7 STE. 300,NORWALK,United States,06851,CT,ABCPROGRPllc@aol.com,Domestic,2019-09-05,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:30.8233333,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,,
SWEET HOMEMAKER AND COMPANION AGENCY LLC,LLC,Active,Annual report past due,1320468,2021-03-31,55 PENNSYLVANIA AVE,NIANTIC,United States,06357,CT,BGOLLNICK@AOL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,,,,,,,,
"GO STORK, INC.",Stock,Active,,1320469,2022-09-05,1050 STATE ST APT 212,NEW HAVEN,United States,06511,CT,eran.amir@gostork.com,Foreign,2019-09-05,DE,DE,False,False,False,False,False,,2021-11-10 00:10:30.8566667,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,2019-09-05,"GO STORK, INC.",,,,,,,,,,,United States,,,,,,
"ACME TIMBER, LLC",LLC,Active,,1320471,2022-03-31,276 RIVERSIDE DRIVE,NEW YORK,United States,10025,NY,jeff@spiritosproperties.com,Foreign,2019-09-05,DE,DE,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Lessors of Residential Buildings and Dwellings (531110),531110.0,,2017-10-24,"ACME TIMBER, LLC","1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,"276 RIVERSIDE DRIVE, NEW YORK, NY, 10025, United States",276 RIVERSIDE DRIVE,NEW YORK,NY,10025,United States,,,United States,United States,,
JB & SONS INVESTMENTS LLC,LLC,Active,,1320472,2022-03-31,68 WOODLAWN STREET,HAMDEN,United States,06517,CT,jennifercbarba@gmail.com,Domestic,2019-09-05,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:30.8566667,Residential Mental Health and Substance Abuse Facilities (623220),623220.0,,,,,,,,,,,,,,,,,,,,
MDM ENERGY SERVICES LLC,LLC,Active,,1320473,2022-03-31,555 ANTON BLVD STE 150,COSTA MESA,United States,92626,CA,payables@mdmcorp.com,Foreign,2019-09-05,CO,CO,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Other Scientific and Technical Consulting Services (541690),541690.0,,2017-09-11,MDM ENERGY SERVICES LLC,"555 ANTON BLVD STE 150, COSTA MESA, CA, 06033, United States",555 ANTON BLVD STE 150,COSTA MESA,CA,06033,"555 ANTON BLVD STE 150, COSTA MESA, CA, 92626, United States",555 ANTON BLVD STE 150,COSTA MESA,CA,92626,United States,,,United States,United States,,
PEACEFUL PRODUCTS 4 EVERYONE L.L.C.,LLC,Active,,1320474,2022-03-31,56 COBBS MILL RD,WILTON,United States,06897,CT,compliance@ZENBUSINESS.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8566667,All Other General Merchandise Stores (452319),452319.0,,,,,,,,,,,,,,,,,,,,
KOVA PROFESIONAL SERVICES LLC,LLC,Active,Ready for dissolution,1320476,2020-03-31,40 BENTON STREET,HAMDEN,United States,06517,CT,CARMENHERTORRES@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8566667,,,,,,,,,,,,,,,,,,,,,,
"131 FLATBUSH AVENUE, LLC",LLC,Active,,1320477,2022-03-31,200 RAYMOND ROAD,WEST HARTFORD,United States,06108,CT,ouellette_cj@yahoo.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,
AFLAC INFOSEC SERVICES LLC,LLC,Active,,1320482,2022-03-31,C/O 1932 WYNNTON ROAD,COLUMBUS,United States,31999,GA,corpsec@aflac.com,Foreign,2019-09-05,DE,DE,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Software Publishers (511210),511210.0,,2019-09-05,AFLAC INFOSEC SERVICES LLC,,,,,,,,,,,United States,,,,,,
"NASCENT BUSINESS VENTURES, LLC",LLC,Active,,1320484,2022-03-31,"40 OWEN STREET, A6",HARTFORD,United States,06105,CT,nascentbusinessventures@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8566667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,
"CADALYS, INC.",Stock,Active,Annual report past due,1320485,2021-09-05,"201 MISSION STREET, ST 1200 SUITE 1200",SAN FRANCISCO,United States,94105,CA,accounting@cadalys.com,Foreign,2019-09-05,DE,DE,False,False,False,False,False,,2021-11-10 00:10:30.8700000,Custom Computer Programming Services (541511),,,2019-09-05,"CADALYS, INC.",,,,,,,,,,,United States,,,,,,
"PARALEGAL ADVOCATES, LLC",LLC,Active,,1320486,2022-03-31,81 TOWNSEND AVENUE,NEW HAVEN,United States,06512,CT,jkevinsykes@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:31.4333333,All Other Legal Services (541199),541199.0,,,,,,,,,,,,,,,,,,,,
"133 FLATBUSH AVENUE, LLC",LLC,Active,,1320487,2022-03-31,200 RAYMOND  ROAD,WEST HARTFORD,United States,06107,CT,ouellette_cj@yahoo.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4333333,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,
"PEARL'S SHELLFISH FARM, LLC",LLC,Active,Ready for dissolution,1320490,2020-03-31,110 HOUSATONIC AVENUE,STRATFORD,United States,06615,CT,MOOSHSLOBSTERS@HOTMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
DENNIS'S HOME IMPROVEMENT & HANDYMAN SERVICES LLC,LLC,Active,,1320491,2022-03-31,10 RESERVOIR MNR F-8,SEYMOUR,United States,06483,CT,DJONES42972@YAHOO.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4333333,Finish Carpentry Contractors (238350),238350.0,,,,,,,,,,,,,,,,,,,,
"300 BULLARD STREET, LLC",LLC,Active,,1320493,2022-03-31,31 TUCKAHOE ROAD,EASTON,United States,06612,CT,bruce@hansensflowershop.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4333333,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,,
BLUE FIRE STAGE COMPANY,Non-Stock,Active,Annual report past due,1320495,2020-09-05,19 CAMP BETHEL RD,HADDAM,,06438,CT,bluefirestage@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
TBRADY LLC,LLC,Active,Ready for dissolution,1320496,2020-03-31,762 HILLSIDE ROAD,FAIRFIELD,United States,06824,CT,KELLY@MJSCPA.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
AMESUR INVESTMENT LLC,LLC,Active,Ready for dissolution,1320497,2020-03-31,7 MAHER DR,NORWALK,United States,06850,CT,JAMES@AMESUR.NET,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
"DECORMIER WOODS HOMEOWNER'S ASSOCIATION, INC.",Non-Stock,Active,First report past due,1320498,2021-09-05,No information provided,,,,,RDECORMIER@YAHOO.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
"860 TRANSPORT, LLC",LLC,Active,Ready for dissolution,1320499,2020-03-31,49 SPRING STREET,HARTFORD,United States,06105,CT,CAMJENKINS00@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
BFW DESIGNS LLC,LLC,Active,Ready for dissolution,1320500,2020-03-31,202 COLUMBUS AVE,STRATFORD,United States,06615,CT,EFILE1234@INCFILE.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,,,,,,,,,,,,,,,,,,,
HENRY'S NAILS LLC,LLC,Active,Annual report past due,1320502,2021-03-31,324 MAIN ST,ANSONIA,United States,06401,CT,jackiewongct@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to appoint or maintain an agent for service,2021-11-10 00:10:31.4333333,Nail Salons (812113),812113.0,,,,,,,,,,,,,,,,,,,,
"CUSTOM EUROPEAN IMPORTS, INC.",Stock,Active,Annual report past due,1320503,2020-09-05,100 STERLING MINE DR.,SLOATSBURG,United States,10974,NY,INFO@TRISTATEAWNINGS.COM,Foreign,2019-09-05,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4333333,,,,2019-09-15,"CUSTOM EUROPEAN IMPORTS, INC.",,,,,,,,,,,United States,,,,,,
"ALTIDESIGNS, LLC",LLC,Active,,1320505,2022-03-31,123 EDGEHILL ROAD,NEW HAVEN,United States,06511,CT,bkatz848@aol.com,Domestic,2019-09-05,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:31.4333333,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,,,,,,,,,,,,,,,,,,,,
"CREATIVE LEGAL CONTENT, LLC",LLC,Active,Ready for dissolution,1320508,2020-03-31,4 OWL COURT,AVON,United States,06001-1957,CT,ROLANDR@CREATIVELEGALCONTENT.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
"M.F. MASSIMINO ORGANIZATION, LLC",LLC,Active,Ready for dissolution,1320509,2020-03-31,8 QUARRY CIRCLE,EAST HAVEN,United States,06513,CT,SHRUB1918@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
"DEFINING HOMES, LLC",LLC,Active,,1320510,2022-03-31,73 HAMPTON ST,HARTFORD,United States,06120,CT,TRESHA@DEFININGHOMESLLC.COM,Foreign,2019-09-05,NV,NV,False,False,False,False,False,,2021-11-10 00:10:31.4800000,Residential Property Managers (531311),531311.0,,2019-09-05,"DEFINING HOMES, LLC","4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,,,United States,United States,,
GLOBAL CONSULTING INC,B Corp,Active,,1320511,,No information provided,,,,,JOE@BEHARCPA.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4800000,,,1000.0,,,,,,,,,,,,,,,,,,,
SELLFISH LLC,LLC,Active,Ready for dissolution,1320512,2020-03-31,260 PEQUOT AVE,NEW LONDON,United States,06320,CT,CONTACT@ISELACCOUNTING.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
ANTHONY'S ABATEMENT LLC,LLC,Active,Annual report past due,1320513,2021-03-31,41 SPRING LANE,WEST HARTFORD,United States,06107,CT,anthonysabatement@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:31.4800000,Residential Remodelers (236118),236118.0,,,,,,,,,,,,,,,,,,,,
JOSUE PAINTING LLC,LLC,Active,Ready for dissolution,1320516,2020-03-31,359 OLIVE ST,BRIDGEPORT,United States,06604,CT,DOMINICAN10K13@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
SCARLET OAK REAL ESTATE INVESTMENTS LLC,LLC,Active,Annual report past due,1320517,2021-03-31,13 VINE ST,ANSONIA,United States,06401,CT,scarletoakrei@gmail.com,Domestic,2019-09-05,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:31.4800000,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,,
"MARBELLA DESIGN STUDIO, LLC",LLC,Active,,1320518,2022-03-31,77 WATER STREET,STONINGTON,United States,06378,CT,anipradohoops@gmail.com,Domestic,2019-09-05,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:31.4800000,Interior Design Services (541410),,,,,,,,,,,,,,,,,,,,,
CRAFTED FOOD CLUB LLC,LLC,Active,,1320519,2022-03-31,34 EDGEHILL RD,NEW HAVEN,United States,06511,CT,ben@bentotable.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4800000,All Other Specialty Food Stores (445299),445299.0,,,,,,,,,,,,,,,,,,,,
RETAIL ENLIGHTENED LLC,LLC,Active,,1320521,2022-03-31,148 RESEARCH DRIVE H,MILFORD,United States,06460,CT,retailenlightened@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.4800000,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,,,,,,,,,,,,,,,,,
BUZIN SERVICES LLC,LLC,Active,Ready for dissolution,1320522,2020-03-31,2145 NORTH AVENUE,BRIDGEPORT,United States,06604,CT,BUZIN.ARTHUR@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
"GREAT ESTATES, SALES BY GEORGIA LLC",LLC,Active,Ready for dissolution,1320523,2020-03-31,191 FLEMING LANE,FAIRFIELD,United States,06824,CT,GKORNUTIK@AOL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:31.4800000,,,,,,,,,,,,,,,,,,,,,,
PREMIER STONE CORP,Stock,Active,,1320532,2022-03-05,2 TAFT STREET,NORWALK,United States,06854,CT,robpadula@everestmarblect.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:31.5100000,All Other Personal Services (812990),812990.0,200.0,,,,,,,,,,,,,,,,,,,
"EVERGREEN VALLEY RESEARCH, LLC",LLC,Active,,1320649,2022-03-31,36 SCHOOL HILL RD,BALTIC,United States,06330,CT,bjorsz@comcast.net,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:29.5433333,All Other Miscellaneous Crop Farming (111998),111998.0,,,,,,,,,,,,,,,,,,,,
"BACKWOODS HEMP, LLC",LLC,Active,Ready for dissolution,1320660,2020-03-31,282 CEDAR LAKE ROAD,HADDAM,,06438,CT,DREWSASSI@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.0900000,,,,,,,,,,,,,,,,,,,,,,
"BEHAVIORAL SPECTRUM CARE OF CONNECTICUT, LLC",LLC,Active,Ready for dissolution,1320665,2020-03-31,55 PROSPECT AVENUE,WEST HAVEN,,06516,CT,SAMANTHA-SEK@YAHOO.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.0900000,,,,,,,,,,,,,,,,,,,,,,
CLIFFORD FISCHER & COMPANY,Stock,Active,Annual report past due,1320666,2020-09-05,13727 NOEL ROAD SUITE 900,DALLAS,,75240,TX,CFISCHER@FISCHERCOMPANY.COM,Foreign,2019-09-05,TX,TX,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.0900000,,,,2019-07-01,CLIFFORD FISCHER & COMPANY,,,,,,,,,,,,,,,,,
"RESPONSE SOLUTIONS & INNOVATIONS, INC.",Stock,Active,,1320752,2022-09-05,2825 E COTTONWOOD PKWY SUITE #500,SALT LAKE CITY,United States,84121,UT,Mike@bowmac.com,Foreign,2019-09-05,DE,DE,False,False,False,False,False,,2021-11-10 00:10:30.8233333,Professional and Management Development Training (611430),611430.0,,2017-06-05,"RESPONSE SOLUTIONS & INNOVATIONS, INC.",,,,,,,,,,,United States,,,,,,
HEAVENLY BOUNCE L.L.C.,LLC,Active,Ready for dissolution,1320753,2020-03-31,128 ELLIOTT RD,TRUMBULL,,06611,CT,HALO@SNET.NET,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"PTJ SALES CONSULTING, LLC",LLC,Active,Ready for dissolution,1320754,2020-03-31,1831 HUNTINGTON TURNPIKE,TRUMBULL,,06611,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"HASME PAINT, LLC",LLC,Active,Ready for dissolution,1320755,2020-03-31,186 DEER RUN ROAD,MERIDEN,,06451,CT,HASMEPAINT@GMAIL.COM,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
THE J&B BYRON REAL ESTATE LLC 1,LLC,Active,Ready for dissolution,1320756,2020-03-31,34 DODD ROAD,MANSFIELD,,06250,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
THE J&B BYRON REAL ESTATE LLC 2,LLC,Active,Ready for dissolution,1320757,2020-03-31,34 DODD ROAD,MANSFIELD,,06250,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8233333,,,,,,,,,,,,,,,,,,,,,,
"SAMSIE HOLDINGS, LLC",LLC,Active,Ready for dissolution,1320758,2020-03-31,29 SEABRIGHT AVENUE,BRIDGEPORT,,06605,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8400000,,,,,,,,,,,,,,,,,,,,,,
"JILL CLEANS, LLC",LLC,Active,Ready for dissolution,1320759,2020-03-31,17 LANE STREET,SEYMOUR,,06483,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8400000,,,,,,,,,,,,,,,,,,,,,,
CAME FROM NOTHING ENTERTAINMENT LLC,LLC,Active,Ready for dissolution,1320760,2020-03-31,377 NEW PARK AVE,HARTFORD,,06105,CT,,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:30.8400000,,,,,,,,,,,,,,,,,,,,,,
VINI & MANJU LLC,LLC,Active,,1320761,2022-03-31,10 WESTFIELD AVENUE,ANSONIA,United States,06401,CT,viniandmanju@gmail.com,Domestic,2019-09-05,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:30.8400000,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,
