name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,total_authorized_shares,mailing_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_international_address
"NUTMEG GLEN PROPERTIES, LLC",LLC,Active,,1323511,2022-03-31,19 MAYFIELD TERRACE,EAST LYME,06333,CT,stephen.leal.jackson@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,True,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
WORK 4 U STAFFING LLC,LLC,Active,Ready for dissolution,1323512,2020-03-31,20 WATERTOWN STREET STE 212,WATERTOWN,02472,MA,NOELIA@WORK4USTAFFING.COM,Foreign,2019-10-04,MA,MA,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3866667,2019-10-20,United States,WORK 4 U STAFFING LLC,United States,"20 WATERTOWN STREET STE 212, WATERTOWN, MA, 02472, United States",20 WATERTOWN STREET STE 212,WATERTOWN,MA,02472,,,,,,,,,,,United States,,,,
"THE HANGRY FORK, LLC",LLC,Active,,1323519,2022-03-31,2 NORTH ST,WOLCOTT,06716,CT,K9mdube@yahoo.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,
3JM TRANSPORTATION INC,Non-Stock,Dissolved,First report past due,1323520,2021-10-04,No information provided,,,,SALUTAX@COMCAST.NET,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3866667,,,,,,,,,,,,,,,,,,2021-10-21T00:00:00.000,,,,,,
MELODIE INC.,Stock,Active,,1323521,2022-10-04,285 VIEW ST,NEW HAVEN,06511,CT,EFILE1234@INCFILE.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,100.0,,,,,
WILLIAN YOVANY LANDSCAPING & MASONRY LLC,LLC,Active,Ready for dissolution,1323522,2020-03-31,"19 SPRING ST, APT 1",DANBURY,06810,CT,YOVANYM0918@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3866667,,United States,,,,,,,,,,,,,,,,,,,,,,
SA SPIRIT INC,Stock,Active,,1323523,2022-09-29,55 MAIN ST. SUITE 370,NORWICH,06360,CT,AYER.STEVEN@YAHOO.COM,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Business Associations (813910),813910.0,,,,,,,,1000.0,,,,,
"CORNWALL 514, LLC",LLC,Active,,1323524,2022-03-31,305 MAPLE AVENUE,CHESHIRE,06410,CT,jhershman@bhhlegal.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
RICHARD CRISTIANE PAINTING LLC,LLC,Active,Annual report due,1323525,2021-03-31,24 GRANITE DR,BETHEL,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Residential Remodelers (236118),,,,,,,,,,,,,,
BLACKWELL TRANSPORTATION LLC,LLC,Active,Annual report past due,1323526,2021-03-31,89 FORSYTH RD,OAKDALE,06370,CT,BOBBY35USA@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,,,,,,,,,,,,,
LUCAS SILVA GENERAL SERVICES LLC,LLC,Active,Ready for dissolution,1323527,2020-03-31,34 SOUTH ST APT 3,DANBURY,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3866667,,United States,,,,,,,,,,,,,,,,,,,,,,
"RHEYLMUN3, LLC",LLC,Active,,1323528,2022-03-31,5 CHARLES STREET,STONINGTON,06378,CT,rheylmun@comcast.net,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3866667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"CONNECTICUT COMPANION ANIMAL TRANSPORT, LLC",LLC,Active,Ready for dissolution,1323529,2020-03-31,40 NOE PLACE APT. A10,BEACON FALLS,06409,CT,COMPANIONTRANSPORT.CT@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4333333,,United States,,,,,,,,,,,,,,,,,,,,,,
B.T.E. CARGO INC.,Stock,Active,Annual report past due,1323530,2021-10-04,101 MERRITT 7 CORPORATE PARK 3RD  FLOOR,NORWALK,06851,CT,bookeredwards787@btecargo.com,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,100.0,,,,,
CARDIOCAST INC.,Stock,Active,,1323531,2022-10-04,3055 Harbor Dr,FORT LAUDERDALE,33316,FL,doug@cardiocast.app,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4333333,2019-10-01,United States,CARDIOCAST INC.,United States,,,,,,All Other Information Services (519190),,,,,,,,,,,,doug@cardiocast.app,803,
SYMETRA INVESTMENT MANAGEMENT COMPANY,Stock,Active,,1323532,2022-10-04,"308 FARMINGTON AVE,3rd floor",FARMINGTON,06032,CT,cls-ctarmsevidence@wolterskluwer.com,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4333333,2019-10-04,United States,SYMETRA INVESTMENT MANAGEMENT COMPANY,United States,,,,,,Portfolio Management (523920),523920.0,,,,,,,,,,,,,
SYMBIOTIC SYSTEMS LLC,LLC,Dissolved,,1323533,2021-03-31,191 RIVERSIDE AVENUE,GREENWICH,06878,CT,fulfillment@zenbusiness.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Marketing Consulting Services (541613),541613.0,,,,,,,2021-02-25T00:00:00.000,,,,,,
"NOVA INTERACTIONS, INC.",Stock,Active,,1323534,2022-10-05,80 East Main Street,Middletown,06457,CT,CORPORATIONS@GETAMPLIFIEDBIZ.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Marketing Consulting Services (541613),,,,,,,,,1000.0,,2019-10-04,,,
PRIME LOGISTICS INC.,Stock,Dissolved,,1323535,2021-10-04,No information provided,,,,,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,,,,,,,,,,,,,,,,,,2021-01-05T00:00:00.000,100.0,,,,,
COLCON HOLDINGS2 LLC,LLC,Active,Annual report past due,1323536,2021-03-31,74 EAST CENTER STREET,MANCHESTER,06040,CT,info@legitimateledgers.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Tobacco Stores (453991),453991.0,,,,,,,,,,,,,
"RGM NEWTOWN, LLC",LLC,Active,,1323537,2022-03-31,66 BURR HALL ROAD,MIDDLEBURY,06762,CT,robinmetaj@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Offices of Other Holding Companies (551112),722513.0,,,,,,,,,,,,,
"BLACKJACK HOLDINGS - CT, LLC",LLC,Active,Annual report past due,1323538,2021-03-31,"2514 WHITNEY AVENUE, SUITE 185218",HAMDEN,06518,CT,svgorti@gmail.com,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Limited-Service Restaurants (722513),,,,,,,,,,,,,,
"B & H NEWTOWN, LLC",LLC,Active,,1323539,2022-03-31,66 BURR HALL ROAD,MIDDLEBURY,06762,CT,robinmetaj@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,,,,,
DEEN DISTRIBUTORS LLC,LLC,Active,,1323540,2022-03-31,3314 AVALON GATES,TRUMBULL,06611,CT,abdul@deendist.com,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,General Line Grocery Merchant Wholesalers (424410),424410.0,,,,,,,,,,,,,
NEVER LIMIT YOUR LIFE LLC,LLC,Active,,1323541,2022-03-31,88 VANTANA DR,BRISTOL,06010,CT,Tvargas232@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,
NATURAL HEALING AND FITNESS LLC,LLC,Active,,1323542,2022-03-31,831 FEDERAL ROAD,BROOKFIELD,06804,CT,tyler@naturalhealingandfitness.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
TRIPLE WOW CLEANERS LLC,LLC,Active,,1323543,2022-03-31,29 COTTAGE GROVE CIRCLE,BLOOMFIELD,06002,CT,kerikae4@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4333333,,United States,,,,,,,,Drycleaning and Laundry Services (except Coin-Operated) (812320),,,,,,,,,,,,,,
INTACT SOLUTIONS LLC,LLC,Active,,1323544,2022-03-31,201 HOUSATONIC AVENUE,NEW MILFORD,06776,CT,FRANK@ODTLAW.COM,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4333333,2019-11-01,United States,INTACT SOLUTIONS LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",541715.0,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,United States,,,,
"LO & MAJU, LLC",LLC,Active,Ready for dissolution,1323545,2020-03-31,24 CENTER ST,DANBURY,06810,CT,AGENCIADXR@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4333333,,United States,,,,,,,,,,,,,,,,,,,,,,
LESSON NINE INC.,Stock,Active,,1323546,2022-10-04,,,,,annualreports@cscglobal.com,Foreign,2019-10-04,DEU,DEU,False,False,False,False,False,,2021-11-10 00:10:33.4333333,2019-08-01,GERMANY,LESSON NINE,DEU,,,,,,Language Schools (611630),611630.0,,,,,,,,,,,annualreports@cscglobal.com,,"Max-Beer Strasse, 2 Berlin 10119"
"125 BRIDGE STREET, LLC",LLC,Active,Ready for dissolution,1323547,2020-03-31,8722 51ST AVENUE #DC,ELMHURST,11373,NY,CHAN.LORRAINE1109@GMAIL.COM,Domestic,2019-10-04,NY,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
DOMINION HEALTHCARE LLC,LLC,Active,Annual report past due,1323548,2021-03-31,133 AUGUR ST APT 2,HAMDEN,06517,CT,grello2012@gmail.com,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,
ROBINSON RAPID TRANSPORT L.L.C.,LLC,Active,Ready for dissolution,1323550,2020-03-31,6422 HAYFIELD CV,MEMPHIS,38141,TN,EFILE1234@INCFILE.COM,Domestic,2019-10-04,TN,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
SANTORO FINANCIAL SOLUTIONS LLC,LLC,Active,,1323551,2022-03-31,112 DEMING STREET SUITE B,SOUTH WINDSOR,06074,CT,don@donbrooksassoc.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,
AMY JULIA BECKER LLC,LLC,Active,,1323552,2022-03-31,13 KIRBY RD.,WASHINGTON,06793,CT,EFILE1234@INCFILE.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,"Independent Artists, Writers, and Performers (711510)",812990.0,,,,,,,,,,,,,
NORWALK METRO LLC,LLC,Active,,1323553,2022-03-31,214 EAST AVE,NORWALK,06855,CT,apollorealestatellc@gmail.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,
PAIN 2 PROFIT COACHING LLP,LLP,Active,Annual report past due,1323554,2020-10-04,120 JUDSON AVE,NEW HAVEN,06511,CT,NJBUG224@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
"EMPIRE CITY INTERNATIONAL CHRISTIAN CHURCH, INC.",Non-Stock,Active,,1323557,2022-10-04,68-11 CLYDE STREET APT. 2,FLUSHING,11375,NY,nyc.admin@usd21.org,Foreign,2019-10-04,NY,NY,False,False,False,False,False,,2021-11-10 00:10:33.4666667,2019-10-01,United States,"EMPIRE CITY INTERNATIONAL CHRISTIAN CHURCH, INC.",United States,,,,,,Religious Organizations (813110),813110.0,,,,,,,,,,,,,
"153 MAIN STREET, LLC",LLC,Active,Ready for dissolution,1323558,2020-03-31,153B MAIN STREET,DEEP RIVER,06417,CT,LEAHS_KISS@HOTMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
"RUSSE BUILDERS, LLC",LLC,Active,Ready for dissolution,1323559,2020-03-31,245 UNQUOWA ROAD,FAIRFIELD,06824,CT,LIUDMILPETROV@YAHOO.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
ECOFORIA LLC,LLC,Active,,1323560,2022-03-31,1039 RACEBROOK RD,WOODBRIDGE,06525,CT,ecoforiafashion@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,All Other General Merchandise Stores (452319),452319.0,,,,,,,,,,,,,
PRIVACY GROUP LLC.,LLC,Active,Ready for dissolution,1323561,2020-03-31,1120 MAIN ST. SUITE 3,BRIDGEPORT,06604,CT,VCTRCONDEIII11@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
"CAMP NYC, INC.",Stock,Active,,1323563,2022-10-04,91 5th Avenue,NEW YORK,10003,NY,roy@camp.com,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4666667,2019-10-04,United States,"CAMP NYC, INC.",United States,,,,,,"Hobby, Toy, and Game Stores (451120)",451120.0,,,,,,,,,,,,4th Floor,
DOM DINUNZIO DEVELOPEMENT LLC,LLC,Active,Annual report past due,1323564,2021-03-31,196 DINUNZIO RD.,OAKVILLE,06779,CT,domdinunzio@gmail.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Land Subdivision (237210),237210.0,,,,,,,,,,,,,
610 MLIMA NORTH LLC,LLC,Active,,1323565,2022-03-31,49 BROOK STREET,NEWINGTON,06111,CT,610@endotocorp.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,
"MASTER KRIS FOUNDATION, INC",Non-Stock,Active,First report past due,1323567,2021-10-04,No information provided,,,,WCTBROOKFIELD@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,True,True,False,False,,2021-11-10 00:10:33.4666667,,,,,,,,,,,,,,,,,,,,,,,,
GIBBS MERCEDESS BENZ CAR SERVICE'S LLC,LLC,Active,Ready for dissolution,1323568,2020-03-31,10 WARD ST,STRATFORD,06614,CT,EFILE1234@INCFILE.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4666667,,United States,,,,,,,,,,,,,,,,,,,,,,
"NEW CANAAN BLAZERS, INC.",Non-Stock,Active,First report past due,1323569,2021-10-04,No information provided,,,,,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0433333,,,,,,,,,,,,,,,,,,,,,,,,
J & J COMPANIONS AND HOMEMAKERS  LLC,LLC,Active,,1323570,2022-03-31,6 GAYRIDGE ROAD # 105,WATERBURY,06705,CT,sakyibeanassar@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.0433333,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
RELISH TIMES RESTAURANT INC,Stock,Active,Annual report past due,1323571,2020-10-04,957 STORRS RD,STORRS,06268,CT,yhtaxinc@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,,200.0,,,,,
KAY'S MARKET LLC,LLC,Dissolved,,1323572,2020-03-31,1 N. WATER ST.,GREENWICH,06830,CT,ECTAXES@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,2021-04-09T00:00:00.000,,,,,,
COOL RIDE TAXI COOL RIDE TRANSPORTATION LLC,LLC,Active,Ready for dissolution,1323573,2020-03-31,100 LORRAINE ST,BRIDGEPORT,06604,CT,COOLRIDETAXICOOLRIDETRANSPORT@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,,,,,,,
CASH RECOVERERS LLC,LLC,Active,Ready for dissolution,1323575,2020-03-31,34 SUNNYSIDE AVE,NORWICH,06360,CT,SLITTLEREALTOR@YAHOO.COM,Domestic,2019-10-04,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,,,,,,,
ALL THINGS APPAREL LLC,LLC,Active,Ready for dissolution,1323576,2020-03-31,4 ANDRASKO RD,BEACON FALLS,06403,CT,ALLTHINGSAPPAREL30@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,,,,,,,
LANDERS WILSON CONSULTING LLC,LLC,Active,Ready for dissolution,1323577,2020-03-31,2281 EAST MAIN STREET,BRIDGEPORT,06606,CT,LANDERSWILSON4@GMAIL.COM,Domestic,2019-10-04,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0433333,,United States,,,,,,,,,,,,,,,,,,,,,,
"THE LOFTS AT SPENCER'S CORNER, LLC",LLC,Active,,1323588,2022-03-31,"90 MAIN STREET, SUITE 105B",CENTERBROOK,06409,CT,loretta@hope-ct.org,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"DIFFERENT MINDED RENAISSANCE, INC.",Non-Stock,Active,,1323589,2022-10-01,1245 FARMINGTON AVE. #1044,WEST HARTFORD,06107,CT,OFFICE@USAUTISM.ORG,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,All Other Miscellaneous Schools and Instruction (611699),611699.0,,,,,,,,,,,,,
1142-1156 MAIN ST LLC,LLC,Active,,1323590,2022-03-31,"C/O CENTERCORP RETAIL PROPERTIES, INC. 600 LORING AVENUE",SALEM,01970,MA,gail@centercorpretail.com,Domestic,2019-10-04,MA,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,
1128 MAIN ST LLC,LLC,Active,,1323591,2022-03-31,"C/O CENTERCORP RETAIL PROPERTIES, INC. 600 LORING AVENUE",SALEM,01970,MA,gail@centercorpretail.com,Domestic,2019-10-04,MA,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,
"JURASSIC QUEST-TWO, LLC",LLC,Active,,1323592,2022-03-31,"200 RIVER POINTE RD, SUITE 312",CONROE,77304,TX,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-10-04,TX,TX,False,False,False,False,False,,2021-11-10 00:10:34.0900000,2019-10-15,United States,"JURASSIC QUEST-TWO, LLC",United States,NONE,NONE,,,,Museums (712110),712110.0,NONE,NONE,,,,,,,,,,,
VGERHOME LLC,LLC,Active,,1323593,2022-03-31,"426 W 14TH STREET, 6TH FLOOR",NEW YORK,10014,NY,filings@vcorpservices.com,Domestic,2019-10-04,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0900000,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
TBG/ELM STREET HOLDINGS LLC,LLC,Active,Ready for dissolution,1323596,2020-03-31,381 PARK AVENUE SOUTH 15TH FL,NEW YORK,10016,NY,MSLONIM@BESENPARTNERS.COM,Domestic,2019-10-04,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0900000,,,,,,,,,,,,,,,,,,,,,,,,
BENJAMIN PROPERTY INVESTMENTS LLC,LLC,Active,,1323616,2022-03-31,435 W MAIN STREET APT 3,CHESHIRE,06410,CT,benjaminpropertyinvestmentsllc@gmail.com,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.1200000,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"AGAMI CREATIONS GLOBAL, LLC",LLC,Withdrawn,,1323618,2022-03-31,4101 EDISON LAKES PKWY STE 350,MISHAWAKA,46545,IN,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2019-10-04,IN,IN,False,False,False,False,False,,2021-11-10 00:10:34.1200000,2019-10-04,United States,"AGAMI CREATIONS GLOBAL, LLC",United States,"4101 EDISON LAKES PKWY STE 350, MISHAWAKA, IN, 46545, United States",4101 EDISON LAKES PKWY STE 350,MISHAWAKA,IN,46545,Temporary Help Services (561320),561320.0,"4101 EDISON LAKES PKWY STE 350, MISHAWAKA, IN, 46545, United States",4101 EDISON LAKES PKWY STE 350,MISHAWAKA,IN,46545,United States,,,United States,,,,
VERTEX PHARMACEUTICALS INCORPORATED,Stock,Active,Annual report past due,1323643,2021-10-04,50 NORTHERN AVE,BOSTON,02210,MA,sara_brine@vrtx.com,Foreign,2019-10-04,MA,MA,False,False,False,False,False,,2021-11-10 00:10:34.7166667,2019-10-04,United States,VERTEX PHARMACEUTICALS INCORPORATED,United States,,,,,,Pharmaceutical Preparation Manufacturing (325412),325412.0,,,,,,,,,,,,,
"STORE MASTER FUNDING XII, LLC",LLC,Active,,1323646,2022-03-31,"8377 E. HARTFORD DR., STE 100",SCOTTSDALE,85255,AZ,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:34.7300000,2019-09-27,United States,"STORE MASTER FUNDING XII, LLC",United States,"8377 E. HARTFORD DR., STE 100, SCOTTSDALE, AZ, 85255, United States","8377 E. HARTFORD DR., STE 100",SCOTTSDALE,AZ,85255,Lessors of Other Real Estate Property (531190),531190.0,"8377 E. HARTFORD DR., STE 100, SCOTTSDALE, AZ, 85255, United States","8377 E. HARTFORD DR., STE 100",SCOTTSDALE,AZ,85255,United States,,,United States,,,,
"AGE MINISTRY, INC.",Non-Stock,Active,Annual report past due,1323814,2020-10-04,183 HILLSIDE AVE,HARTFORD,06106,CT,ronyduverne7@gmail.com,Domestic,2019-10-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.8100000,,,,,,,,,,,,,,,,,,,,,,,,
"HEART + PAW ACQUISITION CO., LLC",LLC,Active,,1323819,2022-03-31,1055 WESTLAKES DRIVE,BERWYN,19312,PA,mtobin@heartandpaw.com,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.3866667,2019-12-16,United States,"HEART + PAW ACQUISITION CO., LLC",United States,"1209 ORANGE ST, WILMINGTON, DE, 19801,",1209 ORANGE ST,WILMINGTON,DE,19801,Veterinary Services (541940),,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,,
"WENDY'S DIGITAL, LLC",LLC,Active,,1323831,2022-03-31,ONE DAVE THOMAS BLVD,DUBLIN,43017,OH,patti.heslep@wendys.com,Foreign,2019-10-04,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.3866667,2019-10-15,United States,"WENDY'S DIGITAL, LLC",United States,,,,,,Custom Computer Programming Services (541511),541511.0,,,,,,,,,,,,,
"29 SEAVIEW AVENUE, LLC",LLC,Active,,1323858,2022-03-31,112 MAIN STREET SUITE F,NORWALK,06851,CT,NONAITIS@AOL.COM,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
"5 ARCH STREET, LLC",LLC,Active,,1323869,2022-03-31,112 MAIN STREET SUITE F,NORWALK,06851,CT,NONAITIS@AOL.COM,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4666667,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
"6-6 SILVERMINE AVENUE, LLC",LLC,Active,,1323873,2022-03-31,112 MAIN STREET SUITE F,NORWALK,06851,CT,NONAITIS@AOL.COM,Domestic,2019-10-04,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.0433333,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
