name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,naics_sub_code,dissolution_date,category_survey_email_address,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
DELTA AVLA LLC,LLC,Active,Annual report past due,1329649,2021-03-31,721 N. GRANT AVE,YORK,United States,68467,NE,CHRIS@DELTAAVLA.COM,Foreign,2019-12-09,NE,NE,False,False,False,False,False,,2021-11-10 00:10:38.1533333,2019-12-09,"DELTA ACOUSTICS, LLC",United States,"721 N. GRANT AVE, YORK, NE, 68467, United States",721 N. GRANT AVE,YORK,NE,68467,All Other Specialty Trade Contractors (238990),"721 N. GRANT AVE PO, YORK, NE, 68467, United States",721 N. GRANT AVE PO,YORK,NE,68467,United States,United States,238990.0,,,,,,,
FORTUNATE CHAPS LLC,LLC,Active,Ready for dissolution,1329650,2020-03-31,25 HOLDEN STREET 2424,PROVIDENCE,United States,07304,RI,SUPSHAW@FORTUNATECHAPS.COM,Foreign,2019-12-09,RI,RI,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,2019-12-09,FORTUNATE CHAPS LLC,United States,"65 MAPLE STREET APT 217, JERSEY CITY, NJ, 07034, United States",65 MAPLE STREET APT 217,JERSEY CITY,NJ,07034,,"25 HOLDEN STREET 2424, PROVIDENCE, RI, 07304, United States",25 HOLDEN STREET 2424,PROVIDENCE,RI,07304,United States,United States,,,,,,,,
157 HIGHLAND LLC,LLC,Active,,1329651,2022-03-31,C/O FRONT ROW KITCHENS 117 NEW CANAAN AVENUE,NORWALK,United States,06850,CT,BARBARA@FRONTROWKITCHENS.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Finish Carpentry Contractors (238350),,,,,,,,238350.0,,,,,,,
TWINS TRANSPORT LLC,LLC,Active,,1329652,2022-03-31,81 SISSON STREET,EAST HARTFORD,United States,06118,CT,Twinstransport1llc@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,484121.0,,,,,,,
"THE HILLS TWELVE, LLC",LLC,Active,,1329653,2022-03-31,194 FITCHVILLE ROAD,BOZRAH,United States,06334,CT,alex@pledgepm.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
"MAINONE TECHNOLOGY SOLUTIONS, LLC",LLC,Active,,1329654,2022-03-31,640 LEE ROAD 3RD FLOOR,WAYNE,United States,19087,PA,Compliancemail@cscinfo.com,Foreign,2019-12-09,DE,DE,False,False,False,False,False,,2021-11-10 00:10:38.1533333,2019-12-01,"MAINONE TECHNOLOGY SOLUTIONS, LLC",United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Computer and Office Machine Repair and Maintenance (811212),"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,United States,811212.0,,,,,,,
ADP HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1329655,2020-03-31,2389 MAIN ST STE 100,GLASTONBURY,United States,06033,CT,CENTRAL@NORTHWESTREGISTEREDAGENT.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
NETONE RECRUITER LLC,LLC,Withdrawn,,1329656,2021-03-31,300 COLONIAL CENTER PKWY STE 100,ROSWELL,United States,30041,GA,Compliancemail@cscinfo.com,Foreign,2019-12-09,GA,GA,False,False,False,False,False,,2021-11-10 00:10:38.1533333,2019-12-09,NETONE RECRUITER LLC,United States,"300 COLONIAL CENTER PARKWAY SUITE 100N, ROSWELL, GA, 30041, United States",300 COLONIAL CENTER PARKWAY SUITE 100N,ROSWELL,GA,30041,Employment Placement Agencies (561311),"300 COLONIAL CENTER PARKWAY SUITE 100N, ROSWELL, GA, 30041, United States",300 COLONIAL CENTER PARKWAY SUITE 100N,ROSWELL,GA,30041,United States,United States,561311.0,,,,,,,
THE HARWELL COMPANY LLC,LLC,Active,Ready for dissolution,1329657,2020-03-31,2389 MAIN ST STE 100,GLASTONBURY,United States,06033,CT,CENTRAL@NORTHWESTREGISTEREDAGENT.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
24 ORCHARD HOA LLC,LLC,Active,Ready for dissolution,1329660,2020-03-31,44 HOMESTEAD AVE,STAMFORD,United States,06902,CT,24ORCHARDHOA@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:38.1533333,,,,,,,,,,,,,,,,,,,,,,,,
"9 LAFAYETTE - 3EPH, LLC",LLC,Active,,1329661,2022-03-31,"40 W. ELM STREET, 1D",GREENWICH,United States,06830,CT,dftllc1@gmail.com,Foreign,2019-12-09,DE,DE,False,False,False,False,False,,2021-11-10 00:10:38.1533333,2019-12-01,"9 LAFAYETTE - 3EPH, LLC",United States,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
494 BURLINGTON RD LLC,LLC,Active,,1329662,2022-03-31,494 BURLINGTON ROAD,HARWIINTON,United States,06791,CT,grant@countrystoragect.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Lessors of Miniwarehouses and Self-Storage Units (531130),,,,,,,,531130.0,,,,,,,
OCTOBER 5 LLC,LLC,Active,,1329663,2022-03-31,494 BURLINGTON ROAD,HARWIINTON,United States,06791,CT,grant@countrystoragect.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:38.1533333,,,,,,,,,Lessors of Miniwarehouses and Self-Storage Units (531130),,,,,,,,531130.0,,,,,,,
497 BURLINGTON RD LLC,LLC,Active,,1329664,2022-03-31,494 BURLINGTON ROAD,HARWIINTON,United States,06791,CT,grant@countrystoragect.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Lessors of Miniwarehouses and Self-Storage Units (531130),,,,,,,,531130.0,,,,,,,
515 BURLINGTON RD LLC,LLC,Active,,1329665,2022-03-31,494 BURLINGTON ROAD,HARWIINTON,United States,06791,CT,grant@countrystoragect.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Lessors of Miniwarehouses and Self-Storage Units (531130),,,,,,,,531130.0,,,,,,,
SIGNATURE HOLDING GROUP LLC,LLC,Dissolved,,1329666,2022-03-31,20 EARL ST,VERNON,United States,06066,CT,Carr.steven.a@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Residential Property Managers (531311),,,,,,,,,2021-09-20T00:00:00.000,,,,,,
EAGLEBAY LLC,LLC,Active,,1329667,2022-03-31,6 BRIAR CLIFF,BURLINGTON,United States,06013,CT,eaglebayllc@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,All Other Personal Services (812990),,,,,,,,812990.0,,,,,,,
FRANKS TREE SERVICE LLC,LLC,Active,Ready for dissolution,1329668,2020-03-31,1 KENNEDY AVE UNIT 5211,DANBURY,United States,06810,CT,EFILE1234@INCFILE.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
GALE CARWRIGHT PROPERTIES LLC,LLC,Active,Ready for dissolution,1329669,2020-03-31,35 MAPLE STREET,MERIDEN,United States,06451,CT,CARMORE13@AOL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
TASK LLC,LLC,Active,,1329671,2022-03-31,32 WILTON AVE,NORWALK,United States,06851,CT,niko.k888@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
AFFIRMATIONS REAL ESTATE SCHOOL LLC,LLC,Active,,1329672,2022-03-31,157 HALLOCK AVE,NEW HAVEN,United States,06519,CT,affirmationsreschool@gmail.com,Domestic,2019-12-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
ISLAND FUSION 103 LLC,LLC,Active,Ready for dissolution,1329673,2020-03-31,103 WHALLEY AVE,NEW HAVEN,United States,06511,CT,GILLIANWEBB19@YAHOO.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
RNS WE TRUST LLC,LLC,Active,,1329674,2022-03-31,29 DALE RD,WETHERSFIELD,United States,06109,CT,RNSWETRUST@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,611699.0,,,,,,,
AHERN ENTERPRISE LLC,LLC,Active,Annual report past due,1329675,2021-03-31,46 ATLANTIC AVE,GROTON,United States,06340,CT,brian.b.ahern@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Apparel Accessories and Other Apparel Manufacturing (315990),,,,,,,,315990.0,,,,,,,
"TEACHER CREATED MATERIALS, INC.",Stock,Active,Annual report due,1329676,2021-12-09,5301 OCEANUS DR.,HUNTINGTON BEACH,United States,92649,CA,accounting@tcmpub.com,Foreign,2019-12-09,CA,CA,False,False,False,False,False,,2021-11-10 00:10:34.8233333,2007-01-01,"TEACHER CREATED MATERIALS, INC.",United States,,,,,,Book Publishers (511130),,,,,,,,511130.0,,,,,,,
JOSEPHINE HOMECARE SERVICES LLC,LLC,Active,Ready for dissolution,1329677,2020-03-31,222 BRADLEY AVE APT 6-8D,WATERBURY,United States,06708,CT,EFILE1234@INCFILE.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
AZURE AND ARGENT INC.,Stock,Active,First report due,1329678,2021-12-09,No information provided,,,,,EFILE1234@INCFILE.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,1500.0,,,,
JW LABOR FORCE LLC,LLC,Active,Ready for dissolution,1329679,2020-03-31,149 EAGLE STREET,BRIDGEPORT,United States,06607,CT,JWLABORFORCE@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,,,,,,,
EVOKE SECURITY LLC,LLC,Dissolved,,1329680,2020-03-31,53 STATE ROUTE 37,NEW FAIRFIELD,United States,06812,CT,EFILE1234@INCFILE.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.8233333,,,,,,,,,,,,,,,,,,2021-08-09T00:00:00.000,,,,,,
"RESCUE ME SMALL ANIMAL PLACEMENT, INC.",Non-Stock,Active,Annual report due,1329681,2021-12-09,452 NEW BRITAIN RD.,BERLIN,United States,06037,CT,sheril2@att.net,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,,,,,,,,,,,,,,
FS LANDSCAPING LLC,LLC,Active,Annual report past due,1329682,2021-03-31,12 READ STREET APT D,DEEP RIVER,United States,06417,CT,saltamirano256@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:34.8233333,,,,,,,,,Home and Garden Equipment Repair and Maintenance (811411),,,,,,,,811411.0,,,,,,,
"NEW ENGLAND HISTORIC CEMETARY RESTORATION PROJECT, INC.",Non-Stock,Active,Annual report past due,1329683,2020-12-09,680 CHESTNUT HILL RD,DAYVILLE,,06239,CT,nehcrp@yahoo.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
"31 BIBLE ST., LLC",LLC,Active,,1329684,2022-03-31,"201 BROAD ST., 14TH FL.",STAMFORD,United States,06901,CT,amb@compleatanglercap.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
INTERNATIONAL ASSOCIATION OF BIBLICAL THEOLOGIANS,Religious,Active,,1329685,,No information provided,,,,,,Domestic,2019-12-09,,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
"SMITH RE, LLC",LLC,Active,Ready for dissolution,1329686,2020-03-31,4 INDIAN VALLEY DRIVE,WATERFORD,,06385,CT,GSMITH0398@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
FETO MUSIC KIDS INC.,Non-Stock,Active,,1329687,2022-01-31,88 TREMONT ST. APT.1N,NEW BRITAIN,United States,06051,CT,fetomusickids@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,
"AJB REALTY, LLC",LLC,Active,,1329688,2022-03-31,6 NORTHWOOD DRIVE,BLOOMFIELD,United States,06002,CT,INFO@SRSPETROLEUM.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Nonresidential Property Managers (531312),,,,,,,,531312.0,,,,,,,
CRC PURCHASER CORPORATION,Stock,Active,Annual report due,1329689,2021-12-09,153 RANGEWAY ROAD,NORTH BILLERICA,United States,01862,MA,Compliancemail@cscinfo.com,Foreign,2019-12-09,DE,DE,False,False,False,False,False,,2021-11-10 00:10:35.4800000,2017-10-24,CRC PURCHASER CORPORATION,United States,,,,,,Book Publishers (511130),,,,,,,,511130.0,,,,,,,
PREFERRED RESTORATION AND CLEANING LIMITED LIABILITY COMPANY,LLC,Active,Ready for dissolution,1329690,2020-03-31,173 BRENTWOOD RD,NEWINGTON,United States,06111,CT,EFILE1234@INCFILE.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
BHA SIMONS LLC,LLC,Active,,1329691,2022-03-31,433 SOUTH MAIN ST SUITE 328,WEST HARTFORD,United States,06110,CT,mariann@f8properties.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,523999.0,,,,,,,
"CORTLAND IMPROVEMENTS, LLC",LLC,Active,,1329692,2022-03-31,3424 PEACHTREE ROAD SUITE 300,ATLANTA,United States,30326,GA,Compliancemail@cscinfo.com,Foreign,2019-12-09,GA,GA,False,False,False,False,False,,2021-11-10 00:10:35.4800000,2019-12-09,"CORTLAND IMPROVEMENTS, LLC",United States,"3424 PEACHTREE ROAD SUITE 300, ATLANTA, GA, 30326, United States",3424 PEACHTREE ROAD SUITE 300,ATLANTA,GA,30326,New Multifamily Housing Construction (except For-Sale Builders) (236116),"3424 PEACHTREE ROAD SUITE 300, ATLANTA, GA, 30326, United States",3424 PEACHTREE ROAD SUITE 300,ATLANTA,GA,30326,United States,United States,236116.0,,,,,,,
IMAGERY & INK LTD.,LLC,Dissolved,,1329693,2020-03-31,254 PUMPKIN HILL RD - THE BARN,NEW MILFORD,United States,06776,CT,JOANNEGAGET@ICLOUD.COM,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,2021-03-13T00:00:00.000,,,,,,
WIRED SOLUTIONS LLC,LLC,Active,Ready for dissolution,1329694,2020-03-31,5 OUTLOOK DRIVE,NORWALK,United States,06854,CT,LFASCIANI@AOL.COM,Domestic,2019-12-09,CT,Connecticut,False,True,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
"SMM DEVELOPMENT, LLC",LLC,Active,Ready for dissolution,1329695,2020-03-31,27 DURHAM STREET,HARTFORD,United States,06112,CT,PHOLUNG6589@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
MAC HOME SERVICES LLC,LLC,Active,Ready for dissolution,1329696,2020-03-31,99 GARWOOD RD.,TRUMBULL,United States,06611,CT,MACHOMESERVICES@HOTMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.4800000,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY VISIONS INC.,Stock,Active,Annual report past due,1329697,2020-12-09,442 PEPPER RIDGE ROAD,STAMFORD,,06905,CT,DMORRIS881@GMAIL.COM,Foreign,2019-12-09,NY,NY,False,False,False,False,False,,2021-11-10 00:10:35.4800000,2019-12-15,PROPERTY VISIONS INC.,,,,,,,,,,,,,,,,,,,,,,
"MAGTUCK ASSOCIATES, LLC",LLC,Active,,1329698,2022-03-31,532 NEW BRITAIN ROAD,KENSINGTON,United States,06037,CT,sneubieser@me.com,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,531190.0,,,,,,,
THE FREAKY HOODIE LLC,LLC,Active,,1329699,2022-03-31,490 CORNWALL STREET,HARTFORD,United States,06112,CT,whitterdaisha@yahoo.com,Domestic,2019-12-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,
"CX CONSULTING, LLC",LLC,Active,Annual report past due,1329700,2021-03-31,44 WILTON RD E,RIDGEFIELD,United States,06877,CT,trotmanjulianeric@gmail.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.4800000,,,,,,,,,Other Management Consulting Services (541618),,,,,,,,541618.0,,,,,,,
"BSC FORENSIC SERVICES, LLC",LLC,Active,,1329701,2022-03-31,24200 SOUTHWEST FREEWAY STE 402-257,ROSENBERG,United States,77471,TX,amolony@bscforensics.com,Foreign,2019-12-09,TX,TX,False,False,False,False,False,,2021-11-10 00:10:35.5133333,2019-12-09,"BSC FORENSIC SERVICES, LLC",United States,"24200 SOUTHWEST FREEWAY STE 402-257, ROSENBERG, TX, 77471, United States",24200 SOUTHWEST FREEWAY STE 402-257,ROSENBERG,TX,77471,Engineering Services (541330),"24200 SOUTHWEST FREEWAY STE 402-257, ROSENBERG, TX, 77471, United States",24200 SOUTHWEST FREEWAY STE 402-257,ROSENBERG,TX,77471,United States,United States,541330.0,,,,,,,
CARLOS GUEVARA LLC,LLC,Active,Ready for dissolution,1329702,2020-03-31,35 GLASSER ST,NORWALK,United States,06854,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
"FERRARI'S LANDSCAPING & HOME IMPROVEMENT, LLC",LLC,Active,,1329703,2022-03-31,82 CONRAD ST,NAUGATUCK,United States,06770,CT,Joeferrari25@yahoo.com,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.5133333,,,,,,,,,Residential Remodelers (236118),,,,,,,,236118.0,,,,,,,
JH SERVICES LLC,LLC,Active,Ready for dissolution,1329704,2020-03-31,72 CREAMERY RD,DURHAM,United States,06422,CT,GRH1962@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
"194 LIBERTY STREET, LLC",LLC,Active,,1329705,2022-03-31,9 COGGSWELL STREET,PAWCATUCK,United States,06379,CT,annette@garyvacca.com,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:35.5133333,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
AUTO APPRAISAL CLAIMS SERVICES CORP,Stock,Active,First report due,1329706,2021-12-09,No information provided,,,,,INFO@ACCUMERA.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,200.0,,,,
JEFFE PAINTING LLC,LLC,Active,Ready for dissolution,1329707,2020-03-31,9 B HOBSON ST,DANBURY,United States,06810,CT,JEFFE02@ICLOUD.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
LIDIO ARAGON SERVICE LLC,LLC,Active,Ready for dissolution,1329708,2020-03-31,150 W CEDAR ST APT 17,NORWALK,United States,06854,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
SPG HOLDINGS LLC,LLC,Active,Ready for dissolution,1329709,2020-03-31,176 AMITY ROAD SUITE 256,WOODBRIDGE,United States,06525,CT,CHONIG@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
"SGS 529 ANN UCCELLO, LLC",LLC,Active,Ready for dissolution,1329710,2020-03-31,2362 NOSTRAND AVE,BROOKLYN,United States,11210,NY,FILINGS@VCORPSERVICES.COM,Foreign,2019-12-09,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,2019-12-09,"SGS 529 ANN UCCELLO, LLC",United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805,,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805,United States,United States,,,,,,,,
BEE DESIGN CO. LLC,LLC,Active,Ready for dissolution,1329711,2020-03-31,33 HOMESTEAD AVENUE,NAUGATUCK,United States,06770,CT,SHELBY.LINEWEBER@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
DIXWELL SOCIAL LOUNGE LLC,LLC,Active,Ready for dissolution,1329712,2020-03-31,940 DIXWELL AVE,HAMDEN,United States,00651,CT,MR.RAYMONDMORRIS@GMAIL.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
MARCO SIAN SERVICE LLC,LLC,Active,Ready for dissolution,1329713,2020-03-31,10 RIVERSIDE AVE,NORWALK,United States,06850,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
MATAGOT LLC,LLC,Active,,1329714,2022-03-31,710 MAIN ST S #1187,SOUTHBURY,United States,06488,CT,matagot@kittytweddle.com,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:35.5133333,,,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,711510.0,,,,,,,
LITTLE FARMERS LLC,LLC,Active,Ready for dissolution,1329715,2020-03-31,2 ANTHONY RD,TOLLAND,United States,06084,CT,LITTLEFARMERS@SHARONFAMILYFARM.COM,Domestic,2019-12-09,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
RDH BUILDING SCIENCE INC.,Stock,Active,Annual report due,1329716,2021-12-09,2101 N 34TH ST STE 150,SEATTLE,United States,98103,WA,professional@harborcompliance.com,Foreign,2019-12-09,WA,WA,False,False,False,False,False,,2021-11-10 00:10:35.5133333,2019-01-01,RDH BUILDING SCIENCE INC.,United States,,,,,,Engineering Services (541330),,,,,,,,541330.0,,,,,,,
"STERLING HEALTH SERVICES, INC.",Stock,Active,Annual report due,1329717,2021-12-09,1000 BROADWAY SUITE 250,OAKLAND,United States,94612,CA,customer.service@sterlingadministration.com,Foreign,2019-12-09,CA,CA,False,False,False,False,False,,2021-11-10 00:10:35.5133333,2020-01-01,"STERLING HEALTH SERVICES, INC.",United States,,,,,,Third Party Administration of Insurance and Pension Funds (524292),,,,,,,,524292.0,,,,,,,
VICTOR GAMEZ SERVICES LLC,LLC,Active,Ready for dissolution,1329718,2020-03-31,156 W CEDAR ST APT 31,NORWALK,United States,06854,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:35.5133333,,,,,,,,,,,,,,,,,,,,,,,,
TEAM HVAC INC.,Stock,Active,First report due,1329720,2021-12-09,No information provided,,,,,TEAMHVAC@ICLOUD.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.5600000,,,,,,,,,,,,,,,,,,,,100.0,,,,
"SHUTTLEBUS SOLUTIONS, INC.",Stock,Active,Annual report past due,1329721,2020-12-09,80 EDISON AVE,MOUNT VERNON,,10550,NY,JIMD@SHUTTLE-INC.COM,Foreign,2019-12-09,NY,NY,False,False,False,False,False,,2021-11-10 00:10:35.5600000,2020-02-03,"SHUTTLEBUS SOLUTIONS, INC.",,,,,,,,,,,,,,,,,,,,,,
TORRES PAINTING LLC,LLC,Active,,1329722,2022-03-31,624 SECOND AVE FL 2,WEST HAVEN,United States,06516,CT,TVERA@ROHUER.COM,Domestic,2019-12-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:35.5600000,,,,,,,,,Residential Remodelers (236118),,,,,,,,236118.0,,,,,,,
