name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3,category_survey_email_address
COMMERCIAL SHIPBROKERS LLC,LLC,Active,1308858,2022-03-31,THREE LANDMARK SQUARE SUITE 505,STAMFORD,United States,06901,CT,hurley@seamaxcapital.com,Foreign,2019-05-08,DE,DE,False,False,False,False,False,Other Support Activities for Water Transportation (488390),488390.0,2021-11-10 00:12:33.6166667,,,,2019-05-20,COMMERCIAL SHIPBROKERS LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,
JEAN CAPITAL LLC,LLC,Active,1308860,2022-03-31,872 MOUNTAIN LAUREL RD.,FAIRFIELD,United States,06824,CT,rorypsweeney@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Other Financial Vehicles (525990),,2021-11-10 00:12:33.6166667,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
ZACHS LANDSCAPES LLC,LLC,Dissolved,1308861,2020-03-31,153 HANOVER RD,NEWTOWN,United States,,CT,ZASZKLAR@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6166667,,,,,,,,,,,,,,,,,,,2021-02-20T00:00:00.000,,,,,
FIRST CHOICE SERVICES AND INSTITUTE LLC,LLC,Active,1308862,2022-03-31,132 GRAND AVE,NEW HAVEN,United States,06513,CT,yalixzagomez33@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Document Preparation Services (561410),,2021-11-10 00:12:33.6166667,,,,,,,,,,,,,,,,,,,,,,,,
SUNNY BUNNY LAWN CARE LLC,LLC,Active,1308865,2020-03-31,72 BOYLSTON STREET,MERIDEN,United States,06450,CT,INFO@SUNNYBUNNYLAWNCARE.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6166667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
PORTLAND HOPE INITIATIVE CORP.,Non-Stock,Active,1308866,2021-05-08,No information provided,,,,,PORTLANDHOPEINITIATIVE@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6166667,First report past due,,,,,,,,,,,,,,,,,,,,,,,
CORNERSTONE HOMEBUYING LLC,LLC,Active,1308868,2021-03-31,908 CHICOPEE STREET-FRONT,CHICOPEE,,01013-2735,MA,ct-reports@statefilings.in,Foreign,2019-05-08,MA,MA,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:33.6166667,Annual report past due,,,2019-05-08,CORNERSTONE HOMEBUYING LLC,United States,"908 CHICOPEE STREET-FRONT, CHICOPEE, MA, 01013,",908 CHICOPEE STREET-FRONT,CHICOPEE,MA,01013,,"908 CHICOPEE STREET-FRONT, CHICOPEE, MA, 01013, United States",908 CHICOPEE STREET-FRONT,CHICOPEE,MA,01013,United States,,,,,,
KOLAM INC.,Stock,Active,1308870,2020-05-08,316 SOUTH MAIN STREET,NEWTOWN,United States,06470,CT,kolampartners@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6633333,Ready for dissolution,Failure to file Annual Report,20000.0,,,,,,,,,,,,,,,,,,,,,
"IFAARB PROPERTY HOLDINGS, LLC",LLC,Active,1308871,2022-03-31,1 TIMBER BROOK ROAD,FARMINGTON,United States,06032,CT,irfan@ctneph.com,Domestic,2019-05-08,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:33.6633333,,,,,,,,,,,,,,,,,,,,,,,,
"DTM LANDSCAPING,LLC",LLC,Active,1308872,2020-03-31,715 FRENCHTOWN ROAD,BRIDGEPORT,United States,06606,CT,DTMLANDSCAPINGCT@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"WALL TO WALL CONTRACTING, INC.",Stock,Active,1308876,2020-05-08,7 ANITA ROAD,YORKTOWN HEIGHTS,United States,10598,NY,KURTCWALL@GMAIL.COM,Foreign,2019-05-08,NY,NY,False,False,False,False,False,,,2021-11-10 00:12:33.6633333,Ready for dissolution,Failure to file Annual Report,,2019-05-08,"WALL TO WALL CONTRACTING, INC.",United States,,,,,,,,,,,,,,,,,,
INSTITUTE FOR GLOBAL EDUCATIONAL EXCHANGE IGEE INC,Stock,Active,1308877,2020-05-08,129 CHURCH STREET,NEW HAVEN,United States,06510,CT,office@accessconsultingusa.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6633333,Ready for dissolution,Failure to file Annual Report,1000.0,,,,,,,,,,,,,,,,,,,,,
"SOUTHEAST CONNECTICUT REALTY, LLC",LLC,Active,1308879,2022-03-31,33 ADELINE PLACE,MANSFIELD CENTER,United States,06250,CT,kevincranmer@hotmail.com,Domestic,2019-05-08,CT,Connecticut,False,True,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:33.6633333,,,,,,,,,,,,,,,,,,,,,,,,
"NDC HOMECARE, LLC",LLC,Active,1308880,2022-03-31,402 BNA DRIVE STE 500,NASHVILLE,United States,37217,TN,managedreports@incorp.com,Foreign,2019-05-08,DE,DE,False,False,False,False,False,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",423450.0,2021-11-10 00:12:33.6633333,,,,2019-06-01,"NDC HOMECARE, LLC",United States,,,,,,,,,,,,,,,,,,
CAMS LASH ME UP LLC,LLC,Active,1308881,2021-03-31,7 HURLBUTT RD SUITE E,GALES FERRY,United States,06335,CT,ctlashco@gmail.com,Domestic,2019-05-08,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:33.6633333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
NAMTUG LLC,LLC,Active,1308882,2020-03-31,16 CRESCENT RD,RIVERSIDE,United States,06878,CT,ERIK.GUTMAN@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
CF NORTH HAVEN LLC,LLC,Active,1308887,2022-03-31,127 WASHINGTON AVE WEST BUILDING LOWER LEVEL,NORTH HAVEN,United States,06473,CT,legal@greenskies.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),221114.0,2021-11-10 00:12:33.6633333,,,,,,,,,,,,,,,,,,,,,,,,
QUEEN COLLECTIONS LLC,LLC,Active,1308890,2022-03-31,2141 EAST MAIN ST,BRIDGEPORT,United States,06610,CT,shop@queencollections.co,Domestic,2019-05-08,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:12:33.6633333,,,,,,,,,,,,,,,,,,,,,,,,
MR GARDEN SERVICES LLC,LLC,Active,1308891,2020-03-31,66 OAK ST,NAUGATUCK,United States,06770,CT,MONASPIKE@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"JACK OF ALL BLADES PROPERTY MAINTENANCE, LLC",LLC,Active,1308892,2022-03-31,83 WALLENS ST,WINSTED,United States,06098,CT,jackofallbladesllc@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
GRILLIN' & GROOVIN' LLC,LLC,Active,1308893,2022-03-31,21 FERN ST,ROCKY HILL,United States,06067,CT,admin@grillinandgroovin.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
"GILCHRIST FAMILY PROPERTIES, LLC",LLC,Active,1308894,2022-03-31,300 HITCHING POST LANE,WINDSOR,United States,06095,CT,gilchrist@horton-usa.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
A&T TILE&MARBLE LLC,LLC,Active,1308895,2022-03-31,"59, HARBOR STREET, APT. 2",STAMFORD,United States,06902,CT,olga@beldex.net,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Tile and Terrazzo Contractors (238340),,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
AVALYNN'S BEAUTY BAR LLC,LLC,Active,1308896,2020-03-31,2107 E MAIN ST,BRIDGEPORT,United States,06610,CT,EFILE1234@INCFILE.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
TRES MARIAS CLEANING SERVICES LLC,LLC,Active,1308897,2020-03-31,46 WHITE ST APT 25,DANBURY,United States,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
THE CLIQUE MUSIC GROUP LLC,LLC,Active,1308898,2021-03-31,10 CONCORDE WAY,WINDSOR LOCKS,United States,06096,CT,Thecliquemusicgroup@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,True,False,Musical Groups and Artists (711130),711130.0,2021-11-10 00:12:33.6966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
PINE HILL STUDIO LLC,LLC,Active,1308900,2020-03-31,275 NEWTOWN TURNPIKE,WESTON,United States,06883,CT,MICHELLEYC@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT CENTER FOR RECOVERY LLC,LLC,Active,1308901,2022-03-31,177 WEST PUTNAM AVENUE 1ST FLOOR,GREENWICH,United States,06831,CT,chris@connecticutrecovery.org,Foreign,2019-05-08,DE,DE,False,False,False,False,False,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,2021-11-10 00:12:33.6966667,,,,2019-05-08,CONNECTICUT CENTER FOR RECOVERY LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,
VANOE PROPERTY MANAGEMENT LLC,LLC,Active,1308902,2022-03-31,23 WARNER ST,HARTFORD,United States,06114,CT,info@vanoepm.com,Domestic,2019-05-08,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
WIMELUZ EXECUTIVE SERVICE LLC,LLC,Active,1308903,2020-03-31,125 ANDREWS ST,MERIDEN,United States,06451,CT,WIMELU22@HOTMAIL.ES,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
DREA MARIE MILLER LLC,LLC,Active,1308904,2020-03-31,46 BROAD STREET,STONINGTON,United States,06378,CT,ANDREAMILLERLLC@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
MARK PAWLICKI JR CONSTRUCTION LLC,LLC,Active,1308905,2020-03-31,131 COLLINS RD,BRISTOL,United States,06010,CT,MJPCLLC@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
NARANJO'S PAINTING AND MORE LLC,LLC,Active,1308906,2020-03-31,22 EDLIE AVENUE APT. 1,NORWALK,United States,06855,CT,ONARANJO81@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
KOWALCZYK CONSTRUCTION LLC,LLC,Active,1308907,2020-03-31,59 CROCUS LANE,TRUMBULL,United States,06611,CT,EZ@EZTAXSERVICES.US,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.6966667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
IGLOBAL FINANCIALS LLC,LLC,Active,1308908,2022-03-31,73 HUNTER LN,GLASTONBURY,United States,06033,CT,ABHILASH.SACHAN@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),541512.0,2021-11-10 00:12:33.6966667,,,,,,,,,,,,,,,,,,,,,,,,
"AAA MOBILE DETAILING, LLC",LLC,Active,1308909,2020-03-31,51 ALDERS BRIDGE RD,KILLINGWORTH,United States,06419,CT,KBTETRAZ@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
TONNS OF SWEETS LLC,LLC,Active,1308910,2022-03-31,135 Ratley Rd,West Suffield,United States,06093-3318,CT,Tonnsofsweets@gmail.com,Domestic,2019-05-08,CT,Connecticut,True,False,False,False,False,Baked Goods Stores (445291),445291.0,2021-11-10 00:12:33.7266667,,,,,,,,,,,,,,,,,,,,,,,,
RAUL VINICIO MARTOS UZCHA LLC,LLC,Active,1308911,2020-03-31,10 PEARL ST APT B,DANBURY,United States,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
JUAN ESTUARDO LOPEZ VASQUEZ  LLC,LLC,Active,1308912,2020-03-31,38 HOMESTEAD AVE FL 2,DANBURY,United States,06810,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
L.J.E. WORKS LLC,LLC,Active,1308913,2020-03-31,238 LANE ST,HAMDEN,United States,06514,CT,EFILE1234@INCFILE.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"GRIFFIN FARM EQUIPMENT, LLC",LLC,Active,1308914,2020-03-31,1233 COPPER HILL ROAD,WEST SUFFIELD,United States,06093,CT,JHGRIFFIN1233@YAHOO.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:33.7266667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"BICOASTAL HOLDINGS, LLC",LLC,Active,1308915,2022-03-31,110 DAVENPORT DRIVE,STAMFORD,United States,06902,CT,MARIO@MUSILLILAW.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:33.7266667,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"ACCESS SPA P0001, LLC",LLC,Active,1308916,2022-03-31,"2389 MAIN STREET, SUITE 100",GLASTONBURY,United States,06033,CT,phillipsavino@axxessspa.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),551112.0,2021-11-10 00:12:33.7266667,,,,,,,,,,,,,,,,,,,,,,,,
"BELPASTRY, INC.",Stock,Active,1308962,2022-05-08,1177 AVENUE OF THE AMERICAS 7TH FLOOR,NEW YORK,United States,10036,NY,juliette@thorelli.com,Foreign,2019-05-08,DE,DE,False,False,False,False,False,All Other Traveler Accommodation (721199),721199.0,2021-11-10 00:12:34.3366667,,,,2019-05-08,"BELPASTRY, INC.",United States,,,,,,,,,,,,,,,,,,
"LAYLA KATHRINE'S FINISH CARPENTRY, LLC",LLC,Active,1308963,2020-03-31,287 ROUNDHILL RD,BRISTOL,United States,06010,CT,PATALIK09@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
HEJ CONSTRUCTION CORP,Stock,Active,1309045,2020-05-08,97 SOUTHERN BLVD,ALBANY,,12209,NY,RCASTRO80@ICLOUD.COM,Foreign,2019-05-08,NY,NY,False,False,False,False,False,,,2021-11-10 00:12:32.3200000,Ready for dissolution,Failure to file Annual Report,,2019-05-08,HEJ CONSTRUCTION CORP,,,,,,,,,,,,,,,,,,,
"PAYIT, LLC",LLC,Active,1309051,2022-03-31,1812 BROADWAY BLVD,KANSAS CITY,United States,64108,MO,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2019-05-08,MO,MO,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:32.3200000,,,,2019-06-01,"PAYIT, LLC",United States,NONE,NONE,,,,,NONE,NONE,,,,,,,,,,
"FLAVASHOP AIR BRUSHING, LLC",LLC,Active,1309053,2020-03-31,43 VERNON AVE,VERNON,,06066,CT,JPDADDY74@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.3200000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
S AND A ENTERPRISES LLC,LLC,Dissolved,1309054,2020-03-31,320 EAST ST,PLAINVILLE,,06062,CT,BBOYNAMELUS@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.3200000,,,,,,,,,,,,,,,,,,,2021-02-02T00:00:00.000,,,,,
"THE HELFRICH COTTAGE, LLC",LLC,Active,1309081,2020-03-31,24 NUTMEG CIRCLE,MONROE,,06468,CT,,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.4000000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"SEALCOAT COLORS, LLC",LLC,Active,1309082,2020-03-31,188 WARPAS ROAD,MADISON,,06443,CT,PIONEERCOATINGS@YAHOO.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.4000000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"WANRACK, LLC",LLC,Active,1309088,2022-03-31,15700 COLLEGE BLVD. SUITE 200,LENEXA,United States,66219,KS,sos@inteserra.com,Foreign,2019-05-08,DE,DE,False,False,False,False,False,Telecommunications Resellers (517911),517911.0,2021-11-10 00:12:32.4000000,,,,2019-05-07,"WANRACK, LLC",United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,
TREEHOUSE PROPERTIES L.L.C.,LLC,Active,1309238,2020-03-31,72 CIRCLE DRIVE,WINDSOR LOCKS,,06096,CT,TREEHOUSEPROPERTIESCT@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.2600000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"DOMINICAN HOLDINGS, LLC",LLC,Active,1309252,2020-03-31,288 EAST 28TH ST,PATTERSON,,07514,NJ,JPENIEL@HOTMAIL.COM,Domestic,2019-05-08,NJ,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.2900000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
HAMMER TIME LABOR SOLUTIONS LLC,LLC,Active,1309254,2021-03-31,59 ADMIRAL ST 2ND FL,NEW HAVEN,United States,06511,CT,Itshammertime49@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,True,False,False,Temporary Help Services (561320),561320.0,2021-11-10 00:12:34.2900000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
"FAMILIES UNITED IN NEWTOWN, INC. (F.U.N.)",Non-Stock,Active,1309273,2022-05-08,16 WALNUT TREE HILL ROAD,SANDY HOOK,United States,06482,CT,bennett.steve11@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:12:34.3366667,,,,,,,,,,,,,,,,,,,,,,,,
MOVERS ON THE ROAD LIMITED LIABILITY COMPANY,LLC,Dissolved,1308776,2020-03-31,2 ARMONK STREET #114,GREENWICH,United States,06830,CT,MOVERSONTHERD@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:23.4100000,,,,,,,,,,,,,,,,,,,2019-07-24T00:00:00.000,,,,,
UPTIONS TRADERS LLC,LLC,Dissolved,1308859,2020-03-31,"1000 AVALON WAY , APT 5302",STRATFORD,United States,06614,CT,UPTIONSTRADERS@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:08.1800000,,,,,,,,,,,,,,,,,,,2019-11-25T00:00:00.000,,,,,
"BAYVIEW MARINE, LLC",LLC,Dissolved,1308832,2020-03-31,29 MEADOWBROOK LANE,MYSTIC,United States,06355,CT,EMILY.HUTTER@UCONN.EDU,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:10.9000000,,,,,,,,,,,,,,,,,,,2019-12-09T00:00:00.000,,,,,
EAST HARTFORD FOOD STOP LLC,LLC,Dissolved,1308830,2020-03-31,611 MAIN STREET,EAST HARTFORD,United States,06108,CT,EASTHARTFORDFOODSTOP@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:05.4800000,,,,,,,,,,,,,,,,,,,2020-03-12T00:00:00.000,,,,,
FOUR QUOTES LLP,LLP,Renunciated,1308886,2020-05-08,10 GRAMAR AVE,PROSPECT,United States,06712,CT,TCRAWF9@GMAIL.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:24.9366667,,,,,,,,,,,,,,,,,,,,,,,,
"WALL TO WALL CONTRACTINC, INC.",Stock,Withdrawn,1308874,2020-05-08,7 ANITA ROAD,YORKTOWN HEIGHTS,United States,10598,NY,KURTCWALL@GMAIL.COM,Foreign,2019-05-08,NY,NY,False,False,False,False,False,,,2021-11-10 00:04:45.6566667,,,,2019-05-13,"WALL TO WALL CONTRACTINC, INC.",United States,,,,,,,,,,,,,,,,,,
"THE HARVESTERS, INC.",Non-Stock,Dissolved,1308867,2021-05-08,No information provided,,,,,NROBINSON@THEHARVESTERS.CO,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:48.0933333,,,,,,,,,,,,,,,,,,,2020-03-13T00:00:00.000,,,,,
"MCG PLAINFIELD, LLC",LLC,Dissolved,1308781,2020-03-31,6 WILLIAM WAY,HARWINTON,United States,06791,CT,JJULIANO@JMATTYS.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:42.4133333,,,,,,,,,,,,,,,,,,,2020-02-28T00:00:00.000,,,,,
KESSLER REALTY HOLDING LLC,LLC,Dissolved,1308767,2021-03-31,19030 FOX LANDING DRIVE,BOCA RATON,United States,33434,FL,drose@klemonski-rose.com,Domestic,2019-05-08,FL,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:05:46.3533333,,,,,,,,,,,,,,,,,,,2020-08-26T00:00:00.000,,,,,
"LENNAR MULTIFAMILY BUILDERS, LLC",LLC,Withdrawn,1308837,2020-03-31,700 N.W. 107TH AVENUE SUITE 400,MIAMI,United States,33172,FL,CHARLES.D.GAMBLE@LENNAR.COM,Foreign,2019-05-08,DE,DE,False,False,False,False,False,,,2021-11-10 00:03:19.4100000,,,,2019-05-09,"LENNAR MULTIFAMILY BUILDERS, LLC",United States,"700 N.W. 107TH AVENUE SUITE 400, MIAMI, FL, 33172, United States",700 N.W. 107TH AVENUE SUITE 400,MIAMI,FL,33172,United States,"700 N.W. 107TH AVENUE SUITE 400, MIAMI, FL, 33172, United States",700 N.W. 107TH AVENUE SUITE 400,MIAMI,FL,33172,United States,,,,,,
JRS AUTO TRANSPORT LLC,LLC,Dissolved,1308854,2021-03-31,172 ARCADIA AVE  172 ARCADIA AVE,PLAINVILLE,United States,06062,CT,erinchasse@gmail.com,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,Other Support Activities for Road Transportation (488490),,2021-11-10 00:03:31.9900000,,,,,,,,,,,,,,,,,,,2020-05-07T00:00:00.000,,,,,
THE ORIGINAL PUCK SOAPS LLC,LLC,Dissolved,1308824,2020-03-31,13 GRAVEL ST,MYSTIC,United States,06355,CT,RICHGOCCIA@YAHOO.COM,Domestic,2019-05-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:37.8033333,,,,,,,,,,,,,,,,,,,2019-08-17T00:00:00.000,,,,,
TRI-CITY PLAZA OWNER LLC,LLC,Active,1308809,2022-03-31,"C/O ACADIA REALTY TRUST 411 THEO. FREMD AVE., STE 300 411 THEO. FREMD AVE., STE 300",RYE,United States,10580,NY,Filings@acadiarealty.com,Foreign,2019-05-09,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:33.0233333,,,,2019-05-08,TRI-CITY PLAZA OWNER LLC,United States,"C/O NATIONAL REGISTERED AGENTS, INC. 1209 ORANGE STREET, WILMINGTON, DE, 19801, United States","C/O NATIONAL REGISTERED AGENTS, INC. 1209 ORANGE STREET",WILMINGTON,DE,19801,United States,"C/O NATIONAL REGISTERED AGENTS, INC. 1209 ORANGE STREET 1209 ORANGE STREET, WILMINGTON, DE, 19801, United States","C/O NATIONAL REGISTERED AGENTS, INC. 1209 ORANGE STREET 1209 ORANGE STREET",WILMINGTON,DE,19801,United States,,,,,,
