"EndorsementNumber","EndIssueDate","EndExpireDate","EndCity","EndCountry","EndLine1","EndLine2","EndState","EndZipOut","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZipOut","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZipOut"
1,11/17/2018 2:17:05 PM,12/31/2024,"JUNEAU","UNITED STATES","156 SOUTH FRANKLIN STREET",,"AK","99801",92239,"ALASKA CACHE LIQUOR, INC","Active",,11/28/2022,12/31/2024,"JUNEAU","UNITED STATES","156 SOUTH FRANKLIN STREET",,"AK","99801","JUNEAU","UNITED STATES","PO BOX 020977",,"AK","99802"
2,10/11/2018 11:08:29 AM,12/31/2024,"EAGLE","UNITED STATES","#1 FRONT STREET",,"AK","99738",96720,"EAGLE TRADING COMPANY","Active",,10/12/2022,12/31/2024,"EAGLE","UNITED STATES","#1 FRONT STREET",,"AK","99738","EAGLE","UNITED STATES","PO BOX 36",,"AK","99738"
1,10/18/2018 1:05:50 PM,12/31/2024,"ANCHORAGE","UNITED STATES","601 W. DIMOND BLVD",,"AK","99515",100349,"VALUE LIQUOR","Active",12/27/1999,12/4/2022,12/31/2024,"ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951","ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951"
2,10/18/2018 1:05:50 PM,12/31/2024,"ANCHORAGE","UNITED STATES","7141 JEWEL LAKE ROAD",,"AK","99502",100349,"VALUE LIQUOR","Active",12/27/1999,12/4/2022,12/31/2024,"ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951","ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951"
3,10/18/2018 1:05:50 PM,12/31/2024,"ANCHORAGE","UNITED STATES","11580 OLD SEWARD HIGHWAY",,"AK","99515",100349,"VALUE LIQUOR","Active",12/27/1999,12/4/2022,12/31/2024,"ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951","ANCHORAGE","UNITED STATES","918 W 14TH AVE",,"AK","99501-4951"
1,11/21/2003,12/31/2005,"SAINT MICHAEL","UNITED STATES","ACROSS FROM ALASKA COMMERCIAL COMPANY",,"AK","99659",100510,"LIBERTY CAFE","Active",,4/4/2022,12/31/2023,"ST. MICHAEL","UNITED STATES","ACROSS FROM ALASKA COMMERCIAL COMPANY",,"AK","99659","SAINT MICHAEL","UNITED STATES","PO BOX 59062",,"AK","99659-0062"
1,10/26/2018,12/31/2024,"KOTZEBUE","UNITED STATES","BLDG 258D MISSION ST",,"AK","99752",100562,"KOTZEBUE, CITY OF","Active",,10/5/2022,12/31/2024,"KOTZEBUE","UNITED STATES","258A THIRD AVENUE",,"AK","99752","KOTZEBUE","UNITED STATES","PO BOX 46",,"AK","99752"
1,10/5/2017,12/31/2023,"ANCHORAGE","UNITED STATES","3700 OLD SEWARD HWY",,"AK","99503",102293,"NEW SAGAYA MIDTOWN MARKET","Active",12/20/1989,10/18/2021,12/31/2023,"ANCHORAGE","UNITED STATES","3700 OLD SEWARD HWY",,"AK","99503","ANCHORAGE","UNITED STATES","2525 BLUEBERRY ROAD SUITE 106",,"AK","99503"
2,10/4/2018 10:23:00 AM,12/31/2024,"FAIRBANKS","UNITED STATES","324 2ND STREET",,"AK","99701",105833,"V F W GOLDEN HEART POST # 3629","Active",11/19/1999,10/10/2022,12/31/2024,"Fairbanks","UNITED STATES","324 2nd St.",,"AK","99701","FAIRBANKS","UNITED STATES","324 2ND STREET",,"AK","99701"
1,11/7/2005,12/31/2006,"FAIRBANKS","UNITED STATES","324 2ND STREET",,"AK","99701",105833,"V F W GOLDEN HEART POST # 3629","Active",11/19/1999,10/10/2022,12/31/2024,"Fairbanks","UNITED STATES","324 2nd St.",,"AK","99701","FAIRBANKS","UNITED STATES","324 2ND STREET",,"AK","99701"
1,1/17/2019 9:45:22 AM,12/31/2024,"NORTH POLE","UNITED STATES","3349 CLAUDE STREET",,"AK","99705",105951,"AL'S MOOSE CREEK LIQUOR STORE, INC.","Active",,12/12/2022,12/31/2024,"NORTH POLE","UNITED STATES","3349 CLAUDE ST",,"AK","99705","NORTH POLE","UNITED STATES","3349 CLAUDE ST",,"AK","99705"
1,11/11/2018 4:15:07 PM,12/31/2023,"CORDOVA","UNITED STATES","600 FIRST STREET",,"AK","99574",107053,"ALASKAN HOTEL AND BAR","Active",,10/20/2021,12/31/2023,"CORDOVA","UNITED STATES","600 FIRST STREET",,"AK","99574","CORDOVA","UNITED STATES","PO BOX 484",,"AK","99574"
1,10/6/2018 4:28:24 PM,12/31/2024,"JUNEAU","UNITED STATES","2055 JORDAN AVENUE #1",,"AK","99801",114435,"F O E JUNEAU DOUGLAS EAGLES AERIE #4200","Active",,10/8/2022,12/31/2024,"JUNEAU","UNITED STATES","2055 JORDAN AVE #1",,"AK","99801","JUNEAU","UNITED STATES","2055 JORDAN AVE #1",,"AK","99801"
1,10/16/2017,12/31/2023,"GOODNEWS BAY","UNITED STATES","150 ROCKY MTN ROAD",,"AK","99589",118794,"MUMTRAM PIKKAI","Active",,10/19/2021,12/31/2023,"GOODNEWS BAY","UNITED STATES","150 ROCKY MOUNTAIN RD",,"AK","99589","GOODNEWS BAY","UNITED STATES","PO BOX 150",,"AK","99589-0150"
1,12/29/2008,12/31/2010,"DUTCH HARBOR","UNITED STATES","1362 BALLYHOO ROAD",,"AK","99692",119111,"ALASKA SHIP SUPPLY","Active",,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","2201 W COMMODORE WAY",,"WA","98199","SEATTLE","UNITED STATES","PO BOX 70438",,"WA","98127-0438"
5,11/15/2018 3:29:31 PM,12/31/2023,"DUTCH HARBOR","UNITED STATES","487 SALMON WAY - LIQUOR STORE",,"AK","99692",119111,"ALASKA SHIP SUPPLY","Active",,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","2201 W COMMODORE WAY",,"WA","98199","SEATTLE","UNITED STATES","PO BOX 70438",,"WA","98127-0438"
4,11/15/2018 3:29:31 PM,12/31/2023,"DUTCH HARBOR","UNITED STATES","487 SALMON WAY- VARIETY STORE",,"AK","99692",119111,"ALASKA SHIP SUPPLY","Active",,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","2201 W COMMODORE WAY",,"WA","98199","SEATTLE","UNITED STATES","PO BOX 70438",,"WA","98127-0438"
2,12/29/2008,12/31/2010,"DUTCH HARBOR","UNITED STATES","2029 AIRPORT BEACH ROAD, #2",,"AK","99692",119111,"ALASKA SHIP SUPPLY","Active",,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","2201 W COMMODORE WAY",,"WA","98199","SEATTLE","UNITED STATES","PO BOX 70438",,"WA","98127-0438"
3,11/15/2018 3:29:31 PM,12/31/2023,"UNALASKA","UNITED STATES","MILE 4 CAPTAINS BAY",,"AK","99685",119111,"ALASKA SHIP SUPPLY","Active",,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","2201 W COMMODORE WAY",,"WA","98199","SEATTLE","UNITED STATES","PO BOX 70438",,"WA","98127-0438"
1,1/26/2018,12/31/2024,"ANAKTUVUK PASS","UNITED STATES","209 AIRPORT ROAD",,"AK","99721",121493,"NUNAMIUT CORPORATION STORE","Active",2/26/1990,10/28/2022,12/31/2024,"ANAKTUVUK PASS","UNITED STATES","209 AIRPORT ROAD",,"AK","99721","ANAKTUVUK PASS","UNITED STATES","PO BOX 21105",,"AK","99721"
1,3/10/2017,12/31/2022,"NINILCHIK","UNITED STATES","15630 STERLING HWY",,"AK","99639",125628,"INLET VIEW RESTAURANT AND BAR, INC","Active",5/14/1990,12/17/2022,12/31/2024,"NINILCHIK","UNITED STATES","15630 STERLING HWY",,"AK","99639","NINILCHIK","UNITED STATES","PO BOX 39150",,"AK","99639"
1,11/28/2018,12/31/2021,"ANCHORAGE","UNITED STATES","3200 PROVIDENCE DRIVE",,"AK","99508",127982,"PROVIDENCE ALASKA MEDICAL CENTER","Active",9/7/1990,12/27/2021,12/31/2023,"Anchorage","UNITED STATES","3500 Balchen Drive","Unit B","AK","99517","ANCHORAGE","UNITED STATES","PO BOX 196604",,"AK","99519-6604"
1,1/26/2009,12/31/2010,"DUTCH HARBOR","UNITED STATES","2029 AIRPORT BEACH RD",,"AK","99692",128684,"GCI COMMUNICATION CORP","Active",12/21/1990,11/16/2022,12/31/2024,"ANCHORAGE","UNITED STATES","2550 DENALI ST","SUITE 1400","AK","99503-2751","ANCHORAGE","UNITED STATES","2550 DENALI ST","SUITE 1400","AK","99503-2751"
1,10/26/2017,12/31/2023,"HAINES","UNITED STATES","122 MAIN STREET",,"AK","99827",134203,"FOGCUTTER BAR AND RESTAURANT, INC","Active",1/31/1991,10/20/2021,12/31/2023,"HAINES","UNITED STATES","122 MAIN STREET",,"AK","99827","HAINES","UNITED STATES","PO BOX 789",,"AK","99827-0789"
1,1/14/2021,12/31/2024,"Fairbanks","UNITED STATES","204 Slater Drive",,"AK","99701",135265,"GOLDEN HEART CONSTRUCTION INC","Active",1/11/1991,10/8/2022,12/31/2024,"Fairbanks","UNITED STATES","552 Second Street",,"AK","99701","Fairbanks","UNITED STATES","204 Slater Drive",,"AK","99701"
1,12/27/2018,12/31/2024,"ST GEORGE ISLAND","UNITED STATES","LOT #1 OF THE QAWAX SUBD, PLAT #85-34",,"AK","99591",135301,"ST GEORGE CANTEEN","Active",3/1/1991,12/5/2022,12/31/2024,"ST GEORGE ISLAND","UNITED STATES","LOT #1 OF THE QAWAX SUBD, PLAT #85-34-34",,"AK","99591","ST GEORGE ISLAND","UNITED STATES","P. O. BOX 940",,"AK","99591"
1,10/12/2018,12/31/2024,"LAKEWOOD","UNITED STATES","9611 45TH AVE SW BLDG 4",,"WA","98499",135348,"MCLANE COMPANY, INC","Active",3/5/1991,10/13/2022,12/31/2024,"LAKEWOOD","UNITED STATES","9611 45TH AVE SW BLDG 4",,"WA","98499","LAKEWOOD","UNITED STATES","PO BOX 98848",,"WA","98496"
1,11/24/2006,12/31/2008,"ANCHORAGE","UNITED STATES","2020 E DOWLING RD #5",,"AK","99507",138463,"FRATERNAL ORDER OF EAGLES AERIE 4207","Active",6/17/1991,10/18/2022,12/31/2024,"ANCHORAGE","UNITED STATES","2020 E DOWLING ROAD #5",,"AK","99507","ANCHORAGE","UNITED STATES","2020 E DOWLING ROAD #5",,"AK","99507"
1,10/31/2016,12/31/2018,"NINILCHIK","UNITED STATES","M.P. 136 STERLING HIGHWAY",,"AK","99639",140894,"AMERICAN LEGION POST #18","Active",7/3/1991,11/4/2022,12/31/2024,"NINILCHIK","UNITED STATES","16340 STERLING HWY",,"AK","99639","NINILCHIK","UNITED STATES","PO BOX 39161",,"AK","99639-0161"
1,10/5/2017,12/31/2023,"HAINES","UNITED STATES","MILE ZERO HAINES HIGHWAY",,"AK","99827",143352,"OUTFITTER LIQUOR STORE","Active",10/21/1991,10/16/2021,12/31/2023,"HAINES","UNITED STATES","Zero Mile Haines Highway","9077662330","AK","99827","HAINES","UNITED STATES","PO BOX 1709",,"AK","99827-1709"
1,12/4/2017,12/31/2024,"KETCHIKAN","UNITED STATES","2425 TONGASS AVENUE",,"AK","99901",143552,"WESTSIDE SERVICE, INC","Active",11/1/1991,10/18/2022,12/31/2024,"KETCHIKAN","UNITED STATES","2425 TONGASS AVENUE",,"AK","99901","KETCHIKAN","UNITED STATES","2425 TONGASS AVENUE",,"AK","99901"
1,10/16/2017,12/31/2021,"KONGIGANAK","UNITED STATES","DRK ST 5011",,"AK","99559",144825,"A AND L VARIETY SHOPPE","Active",1/13/1992,11/1/2021,12/31/2023,"KONGIGANAK","UNITED STATES","BLDG #47 FRONTWAY",,"AK","99545","KWIGILLINGOK","UNITED STATES","PO BOX 84",,"AK","99622"
2,10/6/2020,12/31/2023,"KONGIGANAK","UNITED STATES","FRONTWAY DR BLDG 14",,"AK","99622",144825,"A AND L VARIETY SHOPPE","Active",1/13/1992,11/1/2021,12/31/2023,"KONGIGANAK","UNITED STATES","BLDG #47 FRONTWAY",,"AK","99545","KWIGILLINGOK","UNITED STATES","PO BOX 84",,"AK","99622"
1,10/8/2017 12:12:32 PM,12/31/2023,"BELUGA","UNITED STATES","THREE MILE CREEK GENERAL STORE",,"AK","99695",146725,"THREE MILE CREEK SERVICES, INC","Active",1/10/1992,10/16/2021,12/31/2023,"Beluga","UNITED STATES","44108 Camp Creek Drive","9073494848","AK","99695-3848","ANCHORAGE","UNITED STATES","3705 ARCTIC BLVD","BOX 426","AK","99503"
1,1/2/2019 4:33:45 PM,12/31/2024,"KIANA","UNITED STATES","55 WILLOW STREET",,"AK","99749",149322,"LEES SEA AIR, INC","Active",3/13/1992,10/11/2022,12/31/2024,"KIANA","UNITED STATES","55 WILLOW STREET",,"AK","99749","KIANA","UNITED STATES","PO BOX 75",,"AK","99749"
1,12/5/2005,12/31/2006,"CORDOVA","UNITED STATES","MILE 1.5 COPPER RIVER HWY",,"AK","99574",149513,"POWDER HOUSE","Active",2/19/1992,12/5/2021,12/31/2023,"CORDOVA","UNITED STATES","1.5 Mile Copper River Highway",,"AK","99574","CORDOVA","UNITED STATES","PO BOX 578",,"AK","99574"
1,12/8/2003,12/31/2005,"SCAMMON BAY","UNITED STATES","412 MAIN STREET",,"AK","99662",149746,"SCAMMON BAY VIDEO","Active",3/3/1992,10/5/2021,12/31/2023,"Scammon Bay","UNITED STATES","309 Willow Street, PO Box 12","9075586081","AK","99662","SCAMMON BAY","UNITED STATES","P O BOX 12",,"AK","99662"
2,10/12/2017,12/31/2023,"SCAMMON BAY","UNITED STATES","412 MAIN ST",,"AK","99662",149746,"SCAMMON BAY VIDEO","Active",3/3/1992,10/5/2021,12/31/2023,"Scammon Bay","UNITED STATES","309 Willow Street, PO Box 12","9075586081","AK","99662","SCAMMON BAY","UNITED STATES","P O BOX 12",,"AK","99662"
2,10/30/2018 10:29:35 AM,12/31/2024,"MARSHALL","UNITED STATES","109 YUKON AVE",,"AK","99585",152441,"FORTUNA LEDGE CO-OP STORE","Active",4/7/1992,12/14/2022,12/31/2024,"MARSHALL","UNITED STATES","109 YUKON AVENUE",,"AK","99585","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
1,10/30/2018 8:46:16 AM,12/31/2020,"ATKA","UNITED STATES","101 STORE ST",,"AK","99547",152750,"ATKA NATIVE STORE","Active",4/20/1992,12/14/2022,12/31/2024,"Atka","UNITED STATES","100 Store Street",,"AK","99547","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW STE 300",,"WA","98106"
2,12/1/2020,12/31/2024,"Atka","UNITED STATES","100 Store Street",,"AK","99547",152750,"ATKA NATIVE STORE","Active",4/20/1992,12/14/2022,12/31/2024,"Atka","UNITED STATES","100 Store Street",,"AK","99547","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW STE 300",,"WA","98106"
1,10/30/2018 10:21:52 AM,12/31/2024,"ELIM","UNITED STATES","505 MOSES POINT ROAD",,"AK","99739",152888,"ELIM NATIVE STORE","Active",4/22/1992,12/14/2022,12/31/2024,"ELIM","UNITED STATES","505 MOSES POINT ROAD",,"AK","99739","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
11,10/10/2017 10:15:13 AM,12/31/2023,"SEATTLE","UNITED STATES","F/T KODIAK ENTERPRISE (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
12,10/10/2017 10:15:13 AM,12/31/2023,"SEATTLE","UNITED STATES","M/V SEATTLE ENTERPRISE (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
5,12/17/2013,12/31/2015,"SO NAKNEK","UNITED STATES","101 CANNERY ROW",,"AK","99670",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
7,10/10/2017 10:15:13 AM,12/31/2023,"ST PAUL","UNITED STATES","300 HARBOR BLVD",,"AK","99660",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
1,10/10/2017,12/31/2023,"AKUTAN","UNITED STATES","73 TRIDENT WAY",,"AK","99553",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
17,10/10/2017 10:15:13 AM,12/31/2023,"SEATTLE","UNITED STATES","M/V INDEPENDENCE (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
6,10/10/2017,12/31/2023,"SAND POINT","UNITED STATES","229 MAIN STREET",,"AK","99661",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
19,10/10/2017,12/31/2021,"SEATTLE","UNITED STATES","M/V ALEUTIAN FALCON (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
10,10/10/2017 10:15:13 AM,12/31/2023,"SEATTLE","UNITED STATES","M/V ISLAND ENTERPRISE (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
14,12/10/2007,12/31/2013,"SEATTLE","UNITED STATES","M/V ALASKA PACKER (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
27,1/14/2022,12/31/2023,"SEATTLE","UNITED STATES","C/P STARBOUND (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
26,7/6/2021,12/31/2023,"FALSE PASS","UNITED STATES","101 BEACH ROAD",,"AK","99583",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
21,10/10/2017 10:15:13 AM,12/31/2023,"DILLINGHAM","UNITED STATES","1 MAIN ST E",,"AK","99576",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
4,10/10/2017 10:15:13 AM,12/31/2023,"NAKNEK","UNITED STATES","1/2 MILE POST PENINSULA HWY",,"AK","99633",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
18,10/10/2017 10:15:13 AM,12/31/2023,"CHIGNIK","UNITED STATES","101 AIRPORT ROAD",,"AK","99564",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
25,7/8/2020,12/31/2023,"KETCHIKAN","UNITED STATES","720 STEDMAN STREET",,"AK","99901",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
24,7/8/2020,12/31/2023,"CORDOVA","UNITED STATES","301 JIM POOR AVENUE",,"AK","99574",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
23,7/8/2020,12/31/2023,"PETERSBURG","UNITED STATES","301 HARBOR WAY",,"AK","99833",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
22,7/8/2020,12/31/2023,"KODIAK","UNITED STATES","111 MARINE WAY",,"AK","99615",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
16,10/10/2017,12/31/2023,"SEATTLE","UNITED STATES","C/P BOUNTIFUL (HOME PORT)",,"WA","98107",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
20,10/10/2017 10:15:13 AM,12/31/2023,"DILLINGHAM","UNITED STATES","M/V BRISTOL MAID (HOME PORT)",,"AK","99576",153797,"TRIDENT SEAFOODS CORPORATION","Active",7/15/1992,10/8/2021,12/31/2023,"SEATTLE","UNITED STATES","ATTN: AK SUPPORT","5303 SHILSHOLE AVE. N.W.","WA","98107","SEATTLE","UNITED STATES","5303 SHILSHOLE AVE. N.W.","ATTN: AK SUPPORT","WA","98107"
1,7/12/2006,12/31/2006,"BETHEL","UNITED STATES","680 RIDGECREST",,"AK","99559",153861,"KUSKOKWIM COMMERCIAL SUPPLY, INC","Active",6/9/1992,12/29/2022,12/31/2024,"BETHEL","UNITED STATES","1900 A STATE HWY",,"AK","99559","BETHEL","UNITED STATES","PO BOX  2888",,"AK","99559"
1,10/5/2017 8:10:41 AM,12/31/2023,"SITKA","UNITED STATES","705 D HALIBUT POINT RD",,"AK","99835",154033,"HOUSE OF LIQUORS","Active",6/17/1992,11/10/2021,12/31/2023,"SITKA","UNITED STATES","705 Halibut Point Rd., Ste D",,"AK","99835","SITKA","UNITED STATES","705 HALIBUT POINT RD",,"AK","99835-7306"
1,10/30/2018 11:49:39 AM,12/31/2022,"POINT LAY","UNITED STATES","128 MAIN STREET",,"AK","99759",154112,"POINT LAY NATIVE STORE","Active",6/22/1992,12/14/2022,12/31/2024,"POINT LAY","UNITED STATES","1025 Oasigialik",,"AK","99759","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
2,12/14/2022,12/31/2024,"POINT LAY","UNITED STATES","1025 Oasigialik",,"AK","99759",154112,"POINT LAY NATIVE STORE","Active",6/22/1992,12/14/2022,12/31/2024,"POINT LAY","UNITED STATES","1025 Oasigialik",,"AK","99759","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
1,10/30/2018 12:10:26 PM,12/31/2020,"SHAKTOOLIK","UNITED STATES","1404 MAIN STREET",,"AK","99771",154114,"SHAKTOOLIK NATIVE STORE","Active",6/22/1992,12/14/2022,12/31/2024,"SHAKTOOLIK","UNITED STATES","1404 Main Street",,"AK","99771","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
2,6/5/2019,12/31/2022,"SHAKTOOLIK","UNITED STATES","15 AIRPORT DR",,"AK","99771",154114,"SHAKTOOLIK NATIVE STORE","Active",6/22/1992,12/14/2022,12/31/2024,"SHAKTOOLIK","UNITED STATES","1404 Main Street",,"AK","99771","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
3,12/14/2022,12/31/2024,"SHAKTOOLIK","UNITED STATES","1404 Main Street",,"AK","99771",154114,"SHAKTOOLIK NATIVE STORE","Active",6/22/1992,12/14/2022,12/31/2024,"SHAKTOOLIK","UNITED STATES","1404 Main Street",,"AK","99771","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW, SUITE 300",,"WA","98106"
1,10/5/2018,12/31/2022,"KAKE","UNITED STATES","2 MILE SOUTH KEKU ROAD",,"AK","99830",154815,"S O S VALUE MART, INC","Active",8/3/1992,10/19/2022,12/31/2023,"KAKE","UNITED STATES","2 MILE SOUTH KEKU ROAD",,"AK","99830","PETERSBURG","UNITED STATES","PO BOX 5",,"AK","99833-0005"
1,1/3/2019,12/31/2023,"NOME","UNITED STATES","1000 GREG KRUSCHEK AVENUE",,"AK","99762",155538,"NORTON SOUND HEALTH CORPORATION","Active",9/3/1992,1/3/2022,12/31/2023,"NOME","UNITED STATES","1000 GREG KRUSCHEK AVE.",,"AK","99762","NOME","UNITED STATES","PO BOX 966",,"AK","99762-0966"
