name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
J M Multi services Co.,Stock,Active,2551279,2022-08-01,,,,,,,jmmultiservices@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,True,False,False,,2022-06-13 00:16:29.0500000,,First report due,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonely Driver D LLC,LLC,Active,2551282,2023-03-31,20 Burwell Pl,,West Haven,United States,06516-1503,CT,lonelydriverd@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,False,True,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten-Four Trucking Co. LLC,LLC,Active,2551292,2023-03-31,5 Pheasant Ln,,Bloomfield,United States,06002-2229,CT,kirksey994@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,True,False,False,"General Freight Trucking, Local (484110)",2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ai mobile details LLC,LLC,Active,2551290,2023-03-31,201 windsor ave,,Windsor,United States,06095,CT,antifill98@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,False,False,False,Car Washes (811192),2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex REI LLC,LLC,Active,2551300,2023-03-31,126 Middle Rd,,Ellington,United States,06029-3614,CT,nishant.patel.126@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watkins Center LLC,LLC,Active,2551301,2023-03-31,15 Teaberry Ridge Rd,,Ellington,United States,06029-2726,CT,jlsrealtyct@gmail.com,Domestic,United States,2022-05-03,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2022-06-13 00:16:28.5500000,jlsrealtyct@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agape Curvz L.L.C.,LLC,Rejected,2472695,,18,,Hartford,United States,06106,CT,agapecurvz@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,Women's Clothing Stores (448120),2022-06-13 00:07:29.3766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloom Performing Arts LLC,LLC,Active,2529444,2023-03-31,2289 Bedford St,Unit G18,Stamford,United States,06905,CT,ashleymorganbloom@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Fine Arts Schools (611610),2022-06-13 00:16:23.0100000,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATLIST LLC,LLC,Active,2543732,2023-03-31,"680 E Main Street, Unit #1206",,Stamford,United States,06901,CT,mads@richandhanc.com,Foreign,,2022-05-04,DELAWARE,DELAWARE,False,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),2022-06-13 00:16:25.8133333,,,,2021-04-04,FLATLIST LLC,,"251 Little Falls Dr, Wilmington, DE, 19808-1674, United States",251 Little Falls Dr,Wilmington,DE,19808-1674,United States,"251 Little Falls Dr, Wilmington, DE, 19808-1674, United States",251 Little Falls Dr,Wilmington,DE,19808-1674,United States,,,,,,,,,,,
MSDSONLINE INC.,Stock,Active,2547141,2023-05-04,222 Merchandise Mart Plz,Ste 1750,Chicago,United States,60654,IL,ap@ehs.com,Foreign,,2022-05-04,DELAWARE,DELAWARE,False,False,False,False,False,Software Publishers (511210),2022-06-13 00:03:20.6300000,,,,2019-04-01,MSDSONLINE INC.,,,,,,,,,,,,,,,,,,,,,,,,
"Ratchford Law Group, P.C.",Stock,Active,2548378,2023-05-04,"54 Glenmaura National Blvd, Suite 104",,Moosic,United States,18507,PA,msakosky@ratchfordlawgroup.com,Foreign,,2022-05-04,PENNSYLVANIA,PENNSYLVANIA,False,False,False,False,False,Offices of Lawyers (541110),2022-06-13 00:16:27.7866667,,,,2022-07-01,"Ratchford Law Group, P.C.",,,,,,,,,,,,,,,,,,,,,,,,
ALL COUNTY TILE LLC,LLC,Active,2548666,2023-03-31,30 ELM TREE PLACE,,STAMFORD,United States,06906,CT,vilsonkrasniqi81@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Tile and Terrazzo Contractors (238340),2022-06-13 00:16:27.7700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CT Canni-Bus, LLC",LLC,Active,2549620,2023-03-31,21 Wells Ave,,East Hartford,United States,06108-2270,CT,gambleclifford.cg@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,True,False,False,Other Support Activities for Road Transportation (488490),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOTA FERREIRA TRANSPORT LLC,LLC,Active,2549896,2023-03-31,140 willow springs,,NEW MILFORD,United States,06776,CT,jotaferreiratransport@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Limousine Service (485320),2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19 Haig, LLC",LLC,Active,2550015,2023-03-31,13 Radio Tower Road,,Prospect,United States,06712,CT,mike321mc@aol.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-06-13 00:16:29.1600000,julie@ctm-law.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Farms LLC,LLC,Active,2550440,2023-03-31,54 Rainbow Rd,,Bethany,United States,06524-3106,CT,rainbowfarms54@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,Fruit and Vegetable Markets (445230),2022-06-13 00:16:29.7066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBUY RETAIL BUSINESS LLC,LLC,Active,2550727,2023-03-31,50 Ridge Rd,Unit 6,Naugatuck,United States,06770,CT,tsribeiro.usa@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Household Appliance Stores (443141),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHINY STONE INC,Stock,Active,2550750,2023-05-04,143 GROVE ST,APT B,MOUNT KISCO,United States,10549,NY,obdumo234@gmail.com,Foreign,,2022-05-04,NEW YORK,NEW YORK,False,False,False,False,False,Gypsum Product Manufacturing (327420),2022-06-13 00:16:29.0833333,,,,2022-01-01,SHINY STONE INC,,,,,,,,,,,,,,,,,,,,,,,,
MONTEIRO MULTISERVICES LLC,LLC,Active,2550798,2023-03-31,57 Prospect St,,Naugatuck,United States,06770-3068,CT,adoniasfabrica.gv@outlook.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:29.1300000,jg@1oakinsurance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS Linguistic Solutions LLC,LLC,Active,2550979,2023-03-31,8 Silwen Ln,,Norwalk,United States,06851-3137,CT,christian@jsquaredoffice.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Translation and Interpretation Services (541930),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aropa Consulting LLC,LLC,Active,2551051,2023-03-31,139 Orange Street,4th FL,New Haven,United States,06510,CT,roz@aropaconsulting.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2022-06-13 00:16:29.7066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Painters Inc.,Stock,Active,2551265,2023-05-04,42 Saint Clair Dr,,Pittsburgh,United States,15228-1831,PA,benson@studentpainters.org,Foreign,,2022-05-04,PENNSYLVANIA,PENNSYLVANIA,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2022-06-13 00:16:29.1000000,,,,2022-05-16,Student Painters Inc.,,,,,,,,,,,,,,,,,,,,,,,,
Mama Llama Shoppe LLC,LLC,Active,2551305,2023-03-31,1245 Farmington Ave,1186,West Hartford,United States,06107,CT,mamallamashoppe@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:29.1300000,archomepreservation@aol.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2-1 Notary Services llc,LLC,Active,2551309,2023-03-31,92 Monroe St,,Hartford,United States,06114-1751,CT,troxler17@hotmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,,2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darouche & Luque Beauty Supply LLC,LLC,Active,2551308,2023-03-31,18 Edgewood street,Unit D,Norwalk,United States,06854,CT,dluque2576@hotmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-06-13 00:16:29.7233333,dluque2576@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & V Real Estate LLC,LLC,Active,2551320,2023-03-31,85 N Main St,,Branford,United States,06405-3034,CT,info@re-av.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip William Crupi Company LLC,LLC,Active,2551324,2023-03-31,405 Atlantic St,#6D,Stamford,United States,06901,CT,phillip@phillipcrupi.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Architectural Services (541310),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Gen Software LLC,LLC,Active,2551325,2023-03-31,16 Windy Hill Ln,,Rocky Hill,United States,06067-2866,CT,thota.harnika@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higher Altitudes Academy LLC,LLC,Active,2551326,2023-03-31,271 King St,,East Hartford,United States,06108-1019,CT,jharte829@yahoo.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContraVan LLC,LLC,Active,2551329,2023-03-31,211 Natchaug Dr,,Meriden,United States,06450-7423,CT,contravanllc@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Kru Handyman LLC,LLC,Active,2551332,2023-03-31,126 Marney Dr,,Middlebury,United States,06762-2023,CT,ekrutyanskiy@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rejuvenate Homes, PLLC",LLC,Active,2551341,2023-03-31,1256 Enfield St,,Enfield,United States,06082,CT,grimsond@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:29.1000000,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni Mechanical LLC,LLC,Active,2551344,2023-03-31,51 Edwin Rd Ste 5/6,,South Windsor,United States,06074,CT,omni2018llc@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2022-06-13 00:16:29.1000000,onlinefilings@legalzoom.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-CARGO LLC,LLC,Active,2551353,2023-03-31,124 Westcott Rd,B,Danielson,United States,06239-2932,CT,info@scargodelivery.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURES RX LLC,LLC,Active,2551409,2023-03-31,260 EAST MAIN STREET,,MIDDLETOWN,United States,06457,CT,ebenitez75@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2022-06-13 00:16:29.1133333,contact@iselaccounting.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBJ GLOBAL LLC,LLC,Active,2551427,2023-03-31,925 ORONOKE RD UNIT 24D,,WATERBURY,United States,06708,CT,efile1234@incfile.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2022-06-13 00:16:28.5366667,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174 Standish LLC,LLC,Active,2551428,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:28.5366667,jmariolis12@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Mobile Notary Services LLC,LLC,Active,2551356,2023-03-31,35 Magnolia Hill Ct,,Cromwell,United States,06416-1850,CT,samuelmobilenotaryservicesllc@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,All Other Legal Services (541199),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLO'S SERVICES LLC,LLC,Active,2551359,2023-03-31,379 Intervale Rd,,Bridgeport,United States,06610-1017,CT,carlo_services@outlook.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2022-06-13 00:16:29.1300000,carlo_services@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 SANTO LLC,LLC,Active,2551514,2023-03-31,66 Wood Creek Rd,,Burlington,United States,06013-1923,CT,realestateproperties7779@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:28.5666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Dash Creative LLC,LLC,Active,2551363,2023-03-31,1019 main street,1079,Bridgeport,United States,06604,CT,digitaldashcreative@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Commercial Screen Printing (323113),2022-06-13 00:16:29.1433333,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORMA P YUNGAN CUJILEMA LLC,LLC,Active,2551399,2023-03-31,24 PINE ST 2FL,,MERIDEN,United States,06451,CT,wendy@durangoagency.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-06-13 00:16:29.1433333,wendy@durangoagency.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Sports Advisors LLC,LLC,Active,2551372,2023-03-31,81 Rolling Wood Dr,,Stamford,United States,06905-2331,CT,ethan.green@beaconsportsadvisors.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354 Lakewood LLC,LLC,Active,2551382,2023-03-31,9330 219th St,,Queens Village,United States,11428-1853,NY,shahabkhan@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:29.1000000,ben@potoklaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensed To Sell Real Estate LLC,LLC,Active,2551377,2023-03-31,470 James St,Suite 007,New Haven,United States,06513-3098,CT,jamie@jamiedawn.realestate,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 North Main St. LLC,LLC,Active,2551433,2023-03-31,420 East Main Street,Building 2 Suite 4,Branford,United States,06405,CT,gsachs1898@yahoo.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHO GARDENS LLC,LLC,Active,2551378,2023-03-31,1626 RATLEY RD,,W. SUFFIELD,UNITED STATES,06093-2416,CT,JP75876@GMAIL.COM,Domestic,United States,2022-05-04,,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumblerina LLC,LLC,Active,2551393,2023-03-31,62 Clifford St,,Bridgeport,United States,06607-1604,CT,tumblerinatumblers@yahoo.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM TREATS  LLC,LLC,Active,2551397,2023-03-31,37 BOSTON POST ROAD,2ND FLOOR,MADISON,United States,06443,CT,eyupbodur@hotmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,True,False,False,Mobile Food Services (722330),2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR FLOORS & CARPENTRY LLC,LLC,Active,2551402,2023-03-31,90 Folino Dr,,Bridgeport,United States,06606-1057,CT,jrfloorsandcarpentry@outlook.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Flooring Contractors (238330),2022-06-13 00:16:29.1133333,jrfloorsandcarpentry@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westward Project LLC,LLC,Active,2551384,2023-03-31,358 Grove Street,7A,Brooklyn,United States,11237,NY,brendanhall.film@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Motion Picture and Video Production (512110),2022-06-13 00:16:29.1133333,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GILGAMESH PHARMACEUTICALS, INC.",Stock,Active,2551407,2023-05-04,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,Foreign,,2022-05-04,DELAWARE,DELAWARE,False,False,False,False,False,Medicinal and Botanical Manufacturing (325411),2022-06-13 00:16:29.1300000,,,,2022-05-04,"GILGAMESH PHARMACEUTICALS, INC.",,,,,,,,,,,,,,,,,,,,,,,,
Choice Pet West Hartford LLC,LLC,Active,2551418,2023-03-31,67 Newtown Rd,,Danbury,United States,06810-6272,CT,rick@wtblogistics.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Pet and Pet Supplies Stores (453910),2022-06-13 00:16:29.1300000,kdiehm@ruccilawgroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 Branford LLC,LLC,Active,2551421,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:29.1600000,jmariolis12@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Prospect Hill, LLC",LLC,Active,2551431,2023-03-31,670 N Commercial St,Suite 303,Manchester,United States,03101-1160,NH,khilson@bradysullivan.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-06-13 00:16:28.5366667,khilson@bradysullivan.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks Boys Transport LLC,LLC,Active,2551439,2023-03-31,2 Topsfield Rd,,Bristol,United States,06010-7140,CT,brooksboystrans@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3R3ALM LLC,LLC,Active,2551440,2023-03-31,611 CROTONA PARK N APT 9F,,BRONX,United States,10457,NY,efile1234@incfile.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Family Clothing Stores (448140),2022-06-13 00:16:29.1766667,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benetin LLC,LLC,Active,2551446,2023-03-31,418 Harbor Rd,,Southport,United States,06890-1319,CT,pierre@ferragu.net,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP Therapy & Consulting LLC,LLC,Active,2551451,2023-03-31,54 Miller St,,Fairfield,United States,06824-5925,CT,kptherapyllc@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBD Associates LLC,LLC,Active,2551525,2023-03-31,885 Buffinton St,,Somerset,United States,02726-3243,MA,mike.botelho@thevaultma.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:28.5366667,b.nikisher@vicentesederberg.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"APPROVE LENDING, LLC",LLC,Active,2551460,2023-03-31,"900 NORTH MICHIGAN AVENUE, SUITE 1600A",,CHICAGO,US,60611,IL,,Foreign,,2022-05-04,,DELAWARE,False,False,False,False,False,,2022-06-13 00:16:28.5366667,,,,2022-06-01,"APPROVE LENDING, LLC",,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,,,,,,,,
Smith Co LLC,LLC,Active,2551459,2023-03-31,7 Station Rd,,Brookfield,United States,06804,CT,srvgn@aol.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERAZO'S LANDSCAPING LLC,LLC,Active,2551468,2023-03-31,34 PROSPECT HILL RD,,NEW MILFORD,United States,06776,CT,encarnacionf203@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,True,False,False,Landscaping Services (561730),2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASSNEWLOOK AND ACCESSORIES  LLC,LLC,Active,2551464,2023-03-31,8 Westclay Street,,Hartford,United States,06120,CT,cassandra_edmond@yahoo.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,Jewelry Stores (448310),2022-06-13 00:16:29.0833333,cassandra_edmond@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loptesa contractor LLC,LLC,Active,2551467,2023-03-31,28 grove street,,Haledon,United States,07508,NJ,al@loptesa.com,Foreign,,2022-05-04,NEW JERSEY,NEW JERSEY,False,False,False,False,False,All Other Telecommunications (517919),2022-06-13 00:16:28.5366667,,,,2022-05-10,Loptesa contractor LLC,,"28 grove street, Haledon, NJ, 07508, United States",28 grove street,Haledon,NJ,07508,United States,"28 grove street, Haledon, NJ, 07508, United States",28 grove street,Haledon,NJ,07508,United States,,,,,,,,,,,
"International Attestations, LLC",LLC,Active,2551500,2023-03-31,99 Robbins Drive,,Wethersfield,United States,06109,CT,melissa@internationalattestations.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2022-06-13 00:16:28.5500000,melissa.kotulski@aol.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Kettle Hut, LLC",LLC,Active,2551476,2023-03-31,11 Main St,11-1E,Mystic,United States,06355,CT,john@4thhenry.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,True,False,Limited-Service Restaurants (722513),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP GENERAL  CLEANING SERVICES LLC,LLC,Active,2551479,2023-03-31,217 WASHINGTON BLVD,,STAMFORD,United States,06902,CT,wendy@durangoagency.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-06-13 00:16:28.5366667,wendy@durangoagency.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Other Son The Handyman LLC,LLC,Active,2551492,2023-03-31,1678 N Colony Rd,,Meriden,United States,06450-1932,CT,yourothersonthehandyman@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Swamp Media LLC,LLC,Active,2551508,2023-03-31,72 Blue Swamp Rd,,Litchfield,United States,06759-2003,CT,stevesegaller@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koko Fit Ct LLC,LLC,Active,2551494,2023-03-31,447 Monroe Tpke,,Monroe,United States,06468-2267,CT,kokofitct@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),2022-06-13 00:16:29.1766667,kokofitwalpole@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIKTECH Consulting LLC,LLC,Active,2551495,2023-03-31,91 Foster St,,Manchester,United States,06040-5330,CT,nopoku23@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS Country Creations LLC,LLC,Active,2551496,2023-03-31,3 Bailey Woods Rd,,Brooklyn,United States,06234-2405,CT,lhscountrycreations@gmail.com,Domestic,United States,2022-05-04,Connecticut,Connecticut,True,False,False,False,False,,2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
