name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_name_in_state_country,citizenship,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,business_email_address,naics_code,total_authorized_shares,country_formation,formation_place,category_survey_email_address,billing_unit,sub_status,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit,mail_jurisdiction,mailing_international_address
"BLUE WATER CONSTRUCTION SERVICES, INC.",Stock,Active,2629222,2023-09-07,2022-08-08,1800 FRIEDENSBURG RD,READING,USA,19606-9342,PA,"BLUE WATER CONSTRUCTION SERVICES, INC.",Foreign,2022-09-07,PENNSYLVANIA,False,False,False,False,False,2022-10-04 00:17:46.3300000,INFO@BLUEWATERTAPPING.COM,237110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NSi Real Estate, LLC",LLC,Active,2629238,2023-03-31,2022-03-07,13235 REESE BOULEVARD WEST,HUNTERSVILLE,USA,28078,NC,"NSi Real Estate, LLC",Foreign,2022-09-07,NORTH CAROLINA,False,False,False,False,False,2022-10-04 00:17:46.3633333,MIKE.PRUSS@NSIINDUSTRIES.COM,334513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCDECAUX AIRPORT, INC.",Stock,Active,2629256,2023-09-12,2022-09-12,"350 FIFTH AVENUE, 73RD FLOOR",NEW YORK,USA,10118,NY,"JCDECAUX AIRPORT, INC.",Foreign,2022-09-07,DELAWARE,False,False,False,False,False,2022-10-04 00:17:46.8900000,RACHEL.SHERMAN@JCDECAUX.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CITYSOURCED, INC.",Stock,Active,2573793,2023-09-08,2022-06-01,912 S Capital of Texas Hwy,West Lake Hills,United States,78746-5264,TX,"CITYSOURCED, INC.",Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:27.3266667,odejesus@rocksolid.com,,,,DELAWARE,,180,,,,,,,,,,,,,,,,,,,,,,,,,,
"729 Dixwell Avenue, LLC",LLC,Active,2620440,2023-03-31,,729 Dixwell Ave,New Haven,United States,06511-1039,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:56.5133333,cr3spoj@icloud.com,All Other Automotive Repair and Maintenance (811198),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io.insure Americas Insurance Services LLC,LLC,Active,2626634,2023-03-31,2022-06-03,444 W Lake Street River Point 17th Floor,Chicago,United States,60606,IL,io.insure Americas Insurance Services LLC,Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:46.8900000,io-sltaxfilings@io.insure,Insurance Agencies and Brokerages (524210),,,DELAWARE,,,,,"1209 Orange St, Corporation Trust Center, Wilmington, DE, 19801-1120, United States","1209 Orange St, Corporation Trust Center",,Wilmington,DE,19801-1120,United States,"1209 Orange St,  Corporation Trust Center, Wilmington, DE, 19801-1120, United States","1209 Orange St,  Corporation Trust Center",,Wilmington,DE,19801-1120,United States,,,,,,,,,,
85 Roton LLC,LLC,Active,2627564,2023-03-31,,85 Roton Ave,Norwalk,United States,06853-1639,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6166667,lynnblank13@gmail.com,Lessors of Other Real Estate Property (531190),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline Body Sculpting LLC,LLC,Active,2627700,2023-03-31,,764 E Main St,Branford,United States,06405-2921,CT,,Domestic,2022-09-08,Connecticut,True,False,False,False,False,2022-10-04 00:17:46.8900000,shorelinebodysculpting@gmail.com,All Other Personal Services (812990),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJA Services LLC,LLC,Active,2627723,2023-03-31,,33 1/2 Fleetwood Ave,Bethel,United States,06801-1742,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8800000,dmolina85@icloud.com,All Other Miscellaneous Electrical Equipment and Component Manufacturing (335999),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro-Touch Finishings LLC,LLC,Active,2627725,2023-03-31,,122 Munson St,New Haven,United States,06511,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.2800000,pt.finishings@yahoo.com,Painting and Wall Covering Contractors (238320),,United States,Connecticut,powpow226@yahoo.com,10,,,,,,,,,,,,,,,,,,,,,,,,,,
CT REALTY LLC,LLC,Active,2627728,2023-03-31,,179 TRUMBULL AVENUE,PLAINVILLE,United States,06062,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,jovanna80@gmail.com,Lessors of Residential Buildings and Dwellings (531110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDA CLEANING SERVICES LLC,LLC,Active,2627750,2023-03-31,,25 Farview Ave,Danbury,United States,06810-5540,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9500000,mariasousa1999@icloud.com,All Other Miscellaneous Waste Management Services (562998),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC REALTY LLC,LLC,Active,2627732,2023-03-31,,179 TRUMBULL AVENUE,PLAINVILLE,United States,06062,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,jovanna80@gmail.com,Lessors of Residential Buildings and Dwellings (531110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skyline Renovations, LLC",LLC,Active,2627774,2023-03-31,,10 Stevens St,Danbury,United States,06810-6564,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,julygr23@gmail.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAYS FAMILY AUTO DETAILING LLC,LLC,Active,2627799,2023-03-31,,1400 GUERNSEYTOWN RD,WATERTOWN,United States,06795,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,efile1234@incfile.com,Car Washes (811192),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMM SERVICE ENTERPRISE Corp.,Stock,Active,2627733,2023-09-08,2022-09-08,122 N White Rock Rd,Holmes,United States,12531,NY,GMM SERVICE ENTERPRISE Corp,Foreign,2022-09-08,NEW YORK,False,False,False,False,False,2022-10-04 00:17:46.3833333,gmmsrvc@gmail.com,,,,NEW YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVNDR Nails LLC,LLC,Active,2627740,2023-03-31,,340 Putnam St,Bridgeport,United States,06608-1236,CT,,Domestic,2022-09-08,Connecticut,True,False,True,False,False,2022-10-04 00:17:46.3833333,lvndrpressons@gmail.com,Nail Salons (812113),,United States,Connecticut,,Apt 4C,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVATION LANDSCAPING L.L.C.,LLC,Active,2627747,2023-03-31,,304 Poplar Street,New Haven,United States,06513,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,alvarezluise2@gmail.com,Landscaping Services (561730),,United States,Connecticut,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Artisan Limited Liability Company,LLC,Active,2627745,2023-03-31,,4 Pine Wood Rd,Branford,United States,06405-6414,CT,,Domestic,2022-09-08,Connecticut,False,True,False,False,False,2022-10-04 00:17:48.1466667,probinson@audio-artisan.com,Sound Recording Studios (512240),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFLP Mitchell Manager LLC,LLC,Active,2627749,2023-03-31,,25 Boston St,Guilford,United States,06437-2855,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1466667,bomara@byxbee.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponos Wireless Limited Liability Company,LLC,Active,2627752,2023-03-31,,195 Jobs Pond Rd,Portland,United States,06480,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8500000,srogers@ponoswireless.com,"All Other Professional, Scientific, and Technical Services (541990)",,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"482 WBFR, LLC",LLC,Active,2627760,2023-03-31,,18 Titus Rd,Washington Depot,United States,06794-1505,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:45.6766667,jcoploff@tclaw.biz,Residential Property Managers (531311),,United States,Connecticut,jcoploff@tclaw.biz,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARA SERVICES LLC,LLC,Active,2627764,2023-03-31,,37 Dewitt St,New Haven,United States,06519-2405,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:45.6766667,anacma12@yahoo.com,Janitorial Services (561720),,United States,Connecticut,anacma12@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Village Investors LLC,LLC,Active,2627765,2023-03-31,,25 Boston St,Guilford,United States,06437-2855,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:45.6766667,bomara@byxbee.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipstick Farms LLC,LLC,Active,2627773,2023-03-31,,2389 Main St. STE 100,Glastonbury,United States,06033,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:45.6766667,eastern@registeredagentsinc.com,,,United States,Connecticut,eastern@registeredagentsinc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 Fairfax, LLC",LLC,Active,2627796,2023-03-31,,105 Tuckahoe Ln,Fairfield,United States,06824-3414,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8566667,smlc5@yahoo.com,,,United States,Connecticut,sohonlaw@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-Debris LLC,LLC,Active,2627797,2023-03-31,,7 Ryan St,Stamford,United States,06907-1810,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8566667,carmine@cvlongo.net,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quisitive LTD and Subsidiaries,Stock,Rejected,2627779,,2022-08-25,1431 Greenway Drive,Irving,United States,75038,TX,Quisitive LTD and Subsidiaries,Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:46.3833333,heather.crumpley@quisitive.com,Offices of Other Holding Companies (551112),,,DELAWARE,,Ste 1000,,,,,,,,,,,,,,,,,,,,,,,,,,
190 Newtown LLC,LLC,Active,2627783,2023-03-31,,301 Strawberry Hill Ave,Norwalk,United States,06851-4304,CT,,Domestic,2022-09-08,Connecticut,False,False,True,False,False,2022-10-04 00:17:46.3833333,service@zuritafinancial.com,Lessors of Residential Buildings and Dwellings (531110),,United States,Connecticut,service@zuritafinancial.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendly Family Childcare LLC,LLC,Active,2627788,2023-03-31,,12 Friendly Rd,Norwalk,United States,06851-3108,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,friendlyfamilychildcare@gmail.com,Child Day Care Services (624410),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONO SHELL REPAIR LLC,LLC,Active,2627802,2023-03-31,,7114 AVALON DR E,NEW CANAAN,United States,06840,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9500000,efile1234@incfile.com,Other Heavy and Civil Engineering Construction (237990),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTUREOFMANUFACTURING LIMITED LIABILITY COMPANY,LLC,Active,2627807,2023-03-31,,21 WAYSIDE CT,FAIRFIELD,United States,06824,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9500000,efile1234@incfile.com,Computer Systems Design Services (541512),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Books Publish, LLC",LLC,Active,2627801,2023-03-31,,103 South Main St.,COLCHESTER,United States,06415,CT,,Domestic,2022-09-08,Connecticut,True,False,False,False,False,2022-10-04 00:17:46.3833333,bestbookspublish@gmail.com,Book Publishers (511130),,United States,Connecticut,remyrose33@gmail.com,#324,,,,,,,,,,,,,,,,,,,,,,,,,,
AC LICE PRO LLC,LLC,Active,2627823,2023-03-31,,344 DELAVAN AVENUE,GREENWICH,United States,06830,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3833333,aclicepro@gmail.com,Other Personal Care Services (812199),,United States,Connecticut,aclicepro@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLYING FAPPIANO LLC,LLC,Active,2627818,2023-03-31,,4 CHRISTIAN ST,NEW PRESTON,United States,06777,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8333333,efile1234@incfile.com,Sports and Recreation Instruction (611620),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIZMAN TRADING LLC,LLC,Active,2627821,2023-03-31,,1017 MAIN STREET 1017,"EAST HARTFORD,CT 06108",United States,06108,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6433333,efile1234@incfile.com,Home and Garden Equipment Repair and Maintenance (811411),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMPLY POLISHED LLC,LLC,Active,2627817,2023-03-31,,205 GLASTONBURY BLVD,GLASTONBURY,United States,06033,CT,,Domestic,2022-09-08,Connecticut,True,False,True,False,False,2022-10-04 00:17:46.9200000,simplypolishedct1@gmail.com,Nail Salons (812113),,United States,Connecticut,,613,,,,,,,,,,,,,,,,,,,,,,,,,,
MODERN WORKS CONTRACTING LLC,LLC,Active,2627833,2023-03-31,,50 B HUBBARD ST,GLASTONBURY,United States,06033,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1166667,efile1234@incfile.com,Landscaping Services (561730),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2OMAN MANAGEMENT & CONSULTING LLC,LLC,Active,2627827,2023-03-31,,2 GLASTONBURY PL UNIT 308,GLASTONBURY,United States,06033,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6100000,efile1234@incfile.com,Administrative Management and General Management Consulting Services (541611),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Garbage Services LLC,LLC,Active,2627830,2023-03-31,,50 Putnam St,Bristol,United States,06010-4945,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6433333,tanner.skoczylas@gmail.com,Solid Waste Collection (562111),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruz Mechanical Contractors LLC,LLC,Active,2627835,2023-03-31,,69 Railroad Ave,Beacon Falls,United States,06403,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6433333,hvacgods@cruzmechanical.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K&K Department Store, LLC",LLC,Active,2627836,2023-03-31,,682 Huntington Rd,Bridgeport,United States,06610-1755,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6433333,kamilattia1983@gmail.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OldsNation Broadway LLC,LLC,Active,2627840,2023-03-31,,806 E Broadway,Milford,United States,06460-6214,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8633333,oldsnation@gmail.com,,,United States,Connecticut,michaelsanogueira@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jay Kehoe Consulting, LLC",LLC,Active,2627842,2023-03-31,,426 Hilliard St,Manchester,United States,06042-2841,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9066667,jaydkehoe@gmail.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&Jacob LLC,LLC,Active,2627850,2023-03-31,,62 Barclay St,New Haven,United States,06519-2036,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9066667,jjacobllc@gmail.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEU Catalog LLC,LLC,Active,2627846,2023-03-31,,"113 Mill Plain Rd, Suite 1037",Danbury,United States,06811,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.8700000,hello@ceucatalog.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RELENTLESS INSURANCE AGENCY, LLC",LLC,Active,2627862,2023-03-31,2022-09-08,12309 SILVANA STREET,LAS VEGAS,US,89141,NV,"RELENTLESS INSURANCE AGENCY, LLC",Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:47.6366667,LEGAL@INTEGRITYMARKETING.COM,524210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clutter Fairy LLC,LLC,Active,2627864,2023-03-31,,14 RTE 117,Preston,United States,06365,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3700000,teri_erxleben@yahoo.com,All Other Personal Services (812990),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The National Council for Incarcerated and Formerly Incarcerated Women and Girls, Inc.",Non-Stock,Active,2627880,2023-09-08,2022-09-08,50 Store Ave,Waterbury,United States,06705,CT,"The National Council for Incarcerated and Formerly Incarcerated Women and Girls, Inc.",Foreign,2022-09-08,MASSACHUSETTS,False,False,False,False,False,2022-10-04 00:17:46.3700000,vdouglas@thecouncil.us,Other Social Advocacy Organizations (813319),,,MASSACHUSETTS,,106,,,,,,,,,,,,,,,,,,,,,,,,,,
RIZZI SERVICES LLC,LLC,Active,2627881,2023-03-31,,270 Cleveland Ave,Bridgeport,United States,06604-1601,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3766667,atlantisllc@gmail.com,Residential Remodelers (236118),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BKS Financial Investments, LLC",LLC,Active,2627867,2023-03-31,2022-09-08,4211 W Boy Scout Blvd Ste 800,Tampa,United States,33607,FL,"BKS Financial Investments, LLC",Foreign,2022-09-08,FLORIDA,False,False,False,False,False,2022-10-04 00:17:45.6766667,govdocs@corpcreations.com,Investment Advice (523930),,,FLORIDA,,,,,"4211 W Boy Scout Blvd Ste 800, Tampa, FL, 33607, United States",4211 W Boy Scout Blvd Ste 800,,Tampa,FL,33607,United States,"4211 W Boy Scout Blvd Ste 800, Tampa, FL, 33607, United States",4211 W Boy Scout Blvd Ste 800,,Tampa,FL,33607,United States,,,,,,,,,,
Next Level Home improvements llc,LLC,Active,2627872,2023-03-31,2022-09-12,18 Lucas St,Pawtucket,United States,02860-1511,RI,NEXT LEVEL HOME IMPROVEMENT LLC,Foreign,2022-09-08,RHODE ISLAND,False,False,False,False,False,2022-10-04 00:17:45.6766667,steven@nextlevelhomeri.com,Residential Remodelers (236118),,,RHODE ISLAND,,,,,"18 Lucas St, Pawtucket, RI, 02860-1511, United States",18 Lucas St,,Pawtucket,RI,02860-1511,United States,"18 Lucas St, Pawtucket, RI, 02860-1511, United States",18 Lucas St,,Pawtucket,RI,02860-1511,United States,,,,,,,,,,
chester hometown market llc,LLC,Rejected,2627868,,,56 Middlesex Ave,Chester,United States,06412-1347,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9066667,chesterhometown@gmail.com,Meat Markets (445210),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar Down Properties LLC,LLC,Active,2627873,2023-03-31,,1230 East Street,Southington,United States,06489,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1533333,admin@iphhockey.com,Lessors of Residential Buildings and Dwellings (531110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DronesOverTheValley LLC,LLC,Active,2627877,2023-03-31,,75 Ward Street,Naugatuck,United States,06770,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1733333,codykasper@dronesoverthevalley.com,Commercial Photography (541922),,United States,Connecticut,,1st floor,,,,,,,,,,,,,,,,,,,,,,,,,,
"AJ185, LLC",LLC,Active,2627883,2023-03-31,,1235 Farmington Ave,Bristol,United States,06010-4753,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1733333,cprugh3@gmail.com,Limited-Service Restaurants (722513),,United States,Connecticut,cprugh3@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran Grants Incorporated,Non-Stock,Active,2627887,2022-12-07,,,,,,,,Domestic,2022-09-08,Connecticut,False,True,True,True,True,2022-10-04 00:17:47.6433333,bobby0912@yahoo.com,,,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
YUME MLY LLC,LLC,Active,2627888,2023-03-31,,181 W Mountain Rd,West Simsbury,United States,06092-2619,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9000000,cpa-office@cititaxcpa.com,Full-Service Restaurants (722511),,United States,Connecticut,cpa-office@cititaxcpa.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stompy LLC,LLC,Active,2627899,2023-03-31,,198 Edwards St,New Haven,United States,06511,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9066667,greenwood.joel@gmail.com,All Other Amusement and Recreation Industries (713990),,United States,Connecticut,greenwood.joel@gmail.com,Apt #5,,,,,,,,,,,,,,,,,,,,,,,,,,
BDM Consulting Inc.,Stock,Active,2627913,2023-09-15,,101 Seaside Avenue,Stamford,United States,06902,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.9200000,bdmconsultingbiz@gmail.com,Human Resources Consulting Services (541612),10000.0,United States,Connecticut,,B,,2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,
99 Turtle Back South LLC,LLC,Active,2627907,2023-03-31,,762 Sawmill River Rd,Ardsley,United States,10502,NY,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.2800000,woodcresthomes1@gmail.com,New Housing For-Sale Builders (236117),,United States,Connecticut,mfranco@francolaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Putnam Devleopment Inc.,Stock,Rejected,2627908,,,,,,,,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3766667,allputnamdevelopment@gmail.com,Site Preparation Contractors (238910),200.0,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeRenew Construction LLC,LLC,Active,2627939,2023-03-31,,90 Grove st.,SHELTON,United States,06484,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:45.6700000,kyleostberg@gmail.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Camino Alto Insurance Services, LLC",LLC,Active,2627943,2023-03-31,2022-09-08,"Harborside Two, 200 Hudson Street",Jersey City,United States,07311,NJ,"Camino Alto Insurance Services, LLC",Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:46.2633333,govdocs@unitedagentgroup.com,Insurance Agencies and Brokerages (524210),,,DELAWARE,,Suite 800,,,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,,Wilmington,DE,19810,United States,"3411 Silverside Road Tatnall Building #104, Wilmington, DE, 19810, United States",3411 Silverside Road Tatnall Building #104,,Wilmington,DE,19810,United States,,,,,,,,,,
Welcome Pain LLC,LLC,Active,2627920,2023-03-31,,36 Hillcrest Rd,Windsor,United States,06095-3309,CT,,Domestic,2022-09-08,Connecticut,False,False,True,False,False,2022-10-04 00:17:47.6233333,ike@welcomepain.com,Men's Clothing Stores (448110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&E Sweets LLC,LLC,Active,2627921,2023-03-31,,2389 Main St. STE 100,Glastonbury,United States,06033,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:47.6233333,eastern@northwestregisteredagent.com,Baked Goods Stores (445291),,United States,Connecticut,eastern@registeredagentsinc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Waze LLC,LLC,Active,2627912,2023-03-31,,24-2 Hillside Rd,Old Lyme,United States,06371-1196,CT,,Domestic,2022-09-08,Connecticut,True,False,False,False,False,2022-10-04 00:17:46.3633333,greenwazeliving@gmail.com,Electronic Shopping and Mail-Order Houses (454110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABRIEL CASTILLO SERVICES LLC,LLC,Active,2627922,2023-03-31,,121 Livingston Pl,Bridgeport,United States,06610-1756,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:46.3633333,atlantisllc@gmail.com,Residential Remodelers (236118),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EPFR, INC.",Stock,Active,2627917,2023-09-08,2022-09-08,251 Little Falls Dr,Wilmington,United States,19808-1674,DE,"EPFR, INC.",Foreign,2022-09-08,DELAWARE,False,False,False,False,False,2022-10-04 00:17:48.1866667,kathleen@cfoquinn.com,,,,DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD BLACK CAR SERVICE LLC,LLC,Active,2627928,2023-03-31,,27 Marion St,Bridgeport,United States,06606-4678,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1866667,j.joseph@prestigeproserve.com,Limousine Service (485320),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POP 5, LLC",LLC,Active,2627932,2023-03-31,,62 Sterling Rd,Greenwich,United States,06831-2628,CT,,Domestic,2022-09-08,Connecticut,False,False,False,False,False,2022-10-04 00:17:48.1866667,braxton.mckee@gmail.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Properties LLC,LLC,Active,2627931,2023-03-31,,9 Willoughby St,Bristol,United States,06010-3551,CT,,Domestic,2022-09-08,Connecticut,True,False,False,False,False,2022-10-04 00:17:46.9266667,sonjajoyce2@gmail.com,Lessors of Residential Buildings and Dwellings (531110),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
