name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billing_unit,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
"Fascination Street Market, LLC",LLC,Active,2419158,2023-03-31,181 Westchester Ave,Port Chester,United States,10573-4534,NY,fascinationstreetmarketnyc@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2022-02-07 00:07:05.1966667,305L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPin' Out LLC,LLC,Active,2419166,2023-03-31,870 Capitol Ave,Hartford,United States,06106-1154,CT,dwightdeloach85@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,False,False,False,False,False,General Warehousing and Storage (493110),2022-02-07 00:07:05.1833333,,brandie@totallegal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Service LLC,LLC,Active,2419165,2023-03-31,1206 Storrs Rd,Storrs Mansfield,United States,06268-2251,CT,boybrm@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2022-02-07 00:07:05.1666667,STE C334,boybrm@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spray Safe LLC,LLC,Active,2419167,2023-03-31,40 Church Street,East Haven,United States,06512,CT,staysafespraysafe@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southington Valley Vipers Inc,Non-Stock,Active,2419174,2022-04-09,,,,,,southingtonvalleyvipers@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,True,True,False,False,False,Sports Teams and Clubs (711211),2022-02-07 00:07:05.1833333,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Squared Realty Solutions, LLC",LLC,Active,2419180,2023-03-31,38 1/2 Broad St,New Britain,United States,06053,CT,squaredrealtysolutionsllc@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:05.1833333,FL 3W,brandonmucci16@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentle Hands Academy Inc.,Non-Stock,Active,2419185,2022-04-09,,,,,,gentlehandsacademydaycarellc@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,True,False,True,False,False,Other Individual and Family Services (624190),2022-02-07 00:07:05.1833333,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire Closets LLC,LLC,Active,2419175,2023-03-31,140 Commerce Ct,Cheshire,United States,06410-1253,CT,gary@cheshirewoodcraft.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Smoke LLC,LLC,Active,2419187,2023-03-31,1 New Haven Ave,Derby,United States,06418-2181,CT,zdanowicz.kevin@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,True,False,True,False,True,Limited-Service Restaurants (722513),2022-02-07 00:07:05.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom's Precision Transport LLC,LLC,Active,2419190,2023-03-31,14 Court St,waterbury,United States,06705,CT,tomsprecisiontransportllc@gmail.com,Domestic,United States,2022-01-09,Connecticut,Connecticut,True,False,True,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",2022-02-07 00:07:05.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMA AI US INC.,Stock,Active,2420034,2023-01-10,,,CANADA,,,,Foreign,UNITED STATES,2022-01-10,,DELAWARE,False,False,False,False,False,518210,2022-02-07 00:07:05.2300000,,,,,2022-01-06,FORMA AI US INC.,,,,,,,,,,,,,,,,,"82 PETER STREET TORONTO, ON M5V 2GR",,,,,,,
"HealthTronics Mobile Solutions, L.L.C.",LLC,Active,2410481,2023-03-31,67 Burnside Ave,East Hartford,United States,06108-3408,CT,legaldept@healthtronics.com,Foreign,,2022-01-10,DELAWARE,DELAWARE,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),2022-02-07 00:07:02.5400000,,,,,2015-08-25,"HealthTronics Mobile Solutions, L.L.C.","1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,
Sportradar US LLC,LLC,Active,2412035,2023-03-31,150 S 5th St,Minneapolis,United States,55402-4200,MN,compliance@sportradar.com,Foreign,,2022-01-10,DELAWARE,DELAWARE,False,False,False,False,False,Software Publishers (511210),2022-02-07 00:07:03.2900000,400,,,,2021-12-30,Sportradar US LLC,,,,,,,,,,,,,,,,,,,,,,,,
SabrinaMarieArtistryLLC Limited Liability Company,LLC,Active,2414023,2023-03-31,30 Hebron Ave,Glastonbury,United States,06033-4211,CT,smg1594@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,Beauty Salons (812112),2022-02-07 00:07:00.1366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLOTNAUT, LLC",LLC,Active,2414427,2023-03-31,173 Whitfield Street,Guilford,United States,06437,CT,brendan@plotnaut.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:00.1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263 PUTNAM STREET LLC,LLC,Rejected,2415995,,2258 Steinway Street,Astoria,United States,11105,NY,tdimaio@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:00.7300000,Floor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & J Real Estate Properties LLC,LLC,Active,2416292,2023-03-31,142 Winthrop St,Torrington,United States,06790,CT,jamesjandrok@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-02-07 00:07:00.7433333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessica Rose Gillespie, Inc",Stock,Active,2416373,2023-01-13,65 south colony rd,wallingford,United States,06492,CT,tamar@sadorian.net,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2022-02-07 00:07:00.7300000,E,,,20000.0,,,,,,,,,,,,,,,,,2022-01-12,,,,,,,,,
JOHANCH LLC,LLC,Active,2417534,2023-03-31,53 Munson Rd,Wolcott,United States,06716-2421,CT,oneoakagency@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2022-02-07 00:07:01.2766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS SOUTH NORWALK LLC,LLC,Active,2418202,2023-03-31,515 WEST END AVENUE,NORWALK,United States,06850,CT,akazteridis@clubsportsgroup.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:04.7300000,,jim@weinbergpc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiveTheDream REALTY LLC,LLC,Active,2419206,2023-03-31,59 Twin Brook Ter,Monroe,United States,06468-1810,CT,ltdrealtymanagement@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
themagicbrewbus LLC,LLC,Active,2419207,2023-03-31,246 Mary Ellen Dr,Milford,United States,06460-6978,CT,themagicbrewbus@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1833333,,mancini.michael@sbcglobal.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND CONSERVATORY OF MUSIC Inc.,Non-Stock,Active,2419235,2023-01-10,290 Huntington Ave,Boston,United States,02115-5018,MA,kristina.martin@necmusic.edu,Foreign,,2022-01-10,MASSACHUSETTS,MASSACHUSETTS,False,False,False,False,False,,2022-02-07 00:07:05.1833333,,,,,2022-01-10,NEW ENGLAND CONSERVATORY OF MUSIC,,,,,,,,,,,,,,,,,,,,,,,,
Hightower Trucking & Logistics LLC,LLC,Active,2419218,2023-03-31,7 Central Ave,Bloomfield,United States,06002-3503,CT,htl@hightowerllc.org,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,True,False,False,Coastal and Great Lakes Freight Transportation (483113),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouangeun LLC,LLC,Active,2419221,2023-03-31,224 Berlin Tpke,Berlin,United States,06037-1506,CT,thephobarct2@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2022-02-07 00:07:05.1966667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe of Alt Trades LLC,LLC,Active,2419228,2023-03-31,277 River Road,Shelton,United States,06484,CT,jnr10crypto@protonmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007 Campbell Ave LLC,LLC,Active,2419231,2023-03-31,1549 Steele St,Elmont,United States,11003-2334,NY,nextlevelmanagementgroupllc@gmail.com,Foreign,,2022-01-10,NEW YORK,NEW YORK,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:05.1966667,,,,,2021-12-22,1007 Campbell Ave LLC,"1549 Steele St, Elmont, NY, 11003-2334, United States",1549 Steele St,Elmont,NY,11003-2334,United States,"1549 Steele St, Elmont, NY, 11003-2334, United States",1549 Steele St,Elmont,NY,11003-2334,United States,,,,,,,,,,,,
Roomistry LLC,LLC,Active,2419232,2023-03-31,362 E Center St,Manchester,United States,06040-4440,CT,admin@roomistry.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vialista Foundation Inc,Non-Stock,Active,2419245,2022-04-10,,,,,,vialistafoundation@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Other Grantmaking and Giving Services (813219),2022-02-07 00:07:05.1966667,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoneyBee Doula Services LLC,LLC,Active,2419255,2023-03-31,163 Highland Ave,Naugatuck,United States,06770,CT,isabellaobrien081@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2022-02-07 00:07:05.1833333,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Daydreamer LLC,LLC,Active,2419269,2023-03-31,44 Hazelwood Ave,Milford,United States,06461-4039,CT,mattokeefe4@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,All Other Traveler Accommodation (721199),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louise Cleaning Services LLC,LLC,Active,2419289,2023-03-31,101 Hawkins St,Derby,United States,06418-1509,CT,steinchery21@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25summitave Limited Liability Company,LLC,Active,2419295,2023-03-31,19 Peach Tree Lane,Shelton,United States,06484,CT,lousalemme@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),2022-02-07 00:07:05.1666667,,maryjosarris@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue LLC,LLC,Active,2419273,2023-03-31,45 Angeles Way,Burlington,United States,06013,CT,augusto.ensiki@bluellc.co,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",2022-02-07 00:07:05.1833333,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Valley Property Maintenance LLC,LLC,Active,2419304,2023-03-31,7 Finley Hill Road,Marlborough,United States,06447,CT,rivervalleyct@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Landscaping Services (561730),2022-02-07 00:07:05.1666667,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prettyglambrande LLC,LLC,Active,2419272,2023-03-31,92 Morningside St W,Hartford,United States,06112-1143,CT,prettyglambrande@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abena Reality LLC,LLC,Active,2419282,2023-03-31,9 Lincoln Pl,West Haven,United States,06516-1031,CT,abena.reality2021@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUB CLEANING COMPANY CT LLC,LLC,Active,2419316,2023-03-31,251 FLENDERS RD,EAST LYME,United States,06357,CT,delaiglesiac@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-02-07 00:07:05.1833333,,delaiglesiac@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercado llc,LLC,Active,2419286,2023-03-31,167 Henderson Dr,East Hartford,United States,06108-1819,CT,cibao52@aol.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat Vernacular, LLC",LLC,Active,2419303,2023-03-31,28 Knight St,Norwalk,United States,06851-4719,CT,paytonturner@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Paint and Wallpaper Stores (444120),2022-02-07 00:07:05.1966667,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CSS STAMFORD HARBOR POINT, LLC",LLC,Active,2419311,2023-03-31,119-212 TOWNE STREET,STAMFORD,United States,06902,CT,akazteridis@clubsportsgroup.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1966667,,jim@weinbergpc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CT Trooper, LLC",LLC,Active,2419349,2023-03-31,16 Deer Pond Trl,Hamden,United States,06518-1030,CT,ct.trooperllc@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frevvo Shareholder Representative LLC,LLC,Active,2419352,2023-03-31,11 Mill Rd,Guilford,United States,06437,CT,ashish@deshpande.cc,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,True,False,False,Other Financial Vehicles (525990),2022-02-07 00:07:05.1966667,,ashish@deshpande.cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Labs LLC,LLC,Active,2419335,2023-03-31,9 Elmcrest Dr,Danbury,United States,06811-4212,CT,augbcrypto@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2022-02-07 00:07:05.1966667,,augbcrypto@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muy Trades LLC,LLC,Active,2419336,2023-03-31,18 Bergh St,Danbury,United States,06810-5384,CT,coachmuy@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2022-02-07 00:07:05.1966667,A,coachmuy@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnberry 7 Investment Management LLC,LLC,Active,2419393,2023-03-31,254 BERKSHIRE RD,SANDY HOOK,United States,06482,CT,filings@betterlegal.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1833333,,filings@betterlegal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwinton Ponds LLC,LLC,Active,2419341,2023-03-31,Burlington Rd,Harwinton,United States,06791,CT,office@yieldind.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Practical Foods, LLC",LLC,Active,2419662,2023-03-31,2 N Landmark Ln,Rigby,United States,83442-5339,ID,dweaver@preparedpantry.com,Foreign,,2022-01-10,IDAHO,IDAHO,False,False,False,False,False,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour (311824)",2022-02-07 00:07:05.2133333,,,,,2003-04-01,"Practical Foods, LLC","2 N Landmark Ln, Rigby, ID, 83442-5339, United States",2 N Landmark Ln,Rigby,ID,83442-5339,United States,"2 N Landmark Ln, Rigby, ID, 83442-5339, United States",2 N Landmark Ln,Rigby,ID,83442-5339,United States,,,,,,,,,,,,
Ancient Oak Handcrafts LLC,LLC,Active,2419411,2023-03-31,199 Munger Ln,Bethlehem,United States,06751-1104,CT,boxofmudkipsallday@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,True,"Gift, Novelty, and Souvenir Stores (453220)",2022-02-07 00:07:05.1833333,,boxofmudkipsallday@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANI RELEASING LTD,Stock,Active,2419360,2022-04-10,,,,,,infoail@corpserviceusa.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1666667,,,First report due,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
VMS Marketing and Translation LLC,LLC,Active,2419403,2023-03-31,50 Knowles Ave,Plantsville,United States,06479-1111,CT,maldonadoshirley403@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,Marketing Consulting Services (541613),2022-02-07 00:07:05.1966667,,tim@fmslaw.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL Consulting LLC,LLC,Active,2419377,2023-03-31,1 Whewell Cir,Pawcatuck,United States,06379-1441,CT,rmurphy@coveledgemarina.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spine Neutral LLC,LLC,Active,2419385,2023-03-31,16 Olmstead Rd,Redding,United States,06896-1021,CT,spine.neutral.info@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,True,True,True,Curtain and Linen Mills (314120),2022-02-07 00:07:05.1966667,,spine.neutral.info@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneaker Beaver LLC,LLC,Active,2419398,2023-03-31,56 Webster Ct,Newington,United States,06111-5118,CT,snkr.bvr@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1833333,,brian.vasques@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26 Taylor Avenue, LLC",LLC,Active,2419402,2023-03-31,26 Taylor Ave,Madison,United States,06443-2835,CT,gkrusso@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:05.1666667,,victoria@russorizio.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR Trumbull POP LLC,LLC,Active,2419400,2023-03-31,5065 Main St,Trumbull,United States,06611,CT,edentang13@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2022-02-07 00:07:05.1666667,FC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Pressure Massage Therapy LLC,LLC,Active,2419406,2023-03-31,2389 Main St. STE 100,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:05.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby Girard LLC,LLC,Active,2419433,2023-03-31,152 E Rocks Rd,Norwalk,United States,06851-1723,CT,shelbygirard@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,Interior Design Services (541410),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & J IMPORT & EXPORT INC,Stock,Active,2419441,2022-04-10,,,,,,ejfindley@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),2022-02-07 00:07:05.1833333,,,First report due,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
184 CLUB ROAD LLC,LLC,Active,2419444,2023-03-31,42 Kaya Ln,Mansfield Center,United States,06250-1332,CT,timdevivo@outlook.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2022-02-07 00:07:05.1833333,,rgoldstein@rglawllc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M Maple Street LLC,LLC,Active,2419414,2023-03-31,3 Ruby Ln,Huntington Station,United States,11746-4518,NY,manny5511@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,True,False,False,,2022-02-07 00:07:05.1666667,,pat@demaiolaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Cosmetics Hair LLC,LLC,Active,2419439,2023-03-31,96 rowe ave 2fl,hartford,United States,06106,CT,santoslu001@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2022-02-07 00:07:05.1833333,,santoslu001@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS Builders & Woodworking Limited Liability Company,LLC,Active,2419456,2023-03-31,204 New Haven Ave,Derby,United States,06418-2142,CT,m.smithcc120@outlook.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2022-02-07 00:07:05.1966667,2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudor Manor Estates LLC,LLC,Active,2419420,2023-03-31,158 Westmeadow Rd,Rocky Hill,United States,06067-1040,CT,happyneighborhoodrealty@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-02-07 00:07:05.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Parts Welcome LLC,LLC,Active,2419424,2023-03-31,11 Melanie Ln,Colchester,United States,06415-1851,CT,lizclarkin@allpartswelcome.org,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,True,False,Offices of Mental Health Practitioners (except Physicians) (621330),2022-02-07 00:07:05.1666667,,liz.m.clarkin@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Sea & Sky Healing & Coaching LLC,LLC,Active,2419431,2023-03-31,158 King Philip Dr,West Hartford,United States,06117-1320,CT,collinudell@hotmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,All Other Personal Services (812990),2022-02-07 00:07:05.1833333,,collinudell@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Hedgerow LLC,LLC,Active,2419463,2023-03-31,807 Lake Ave,Greenwich,United States,06830-3017,CT,charleskwoo@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-02-07 00:07:05.1833333,,kbruno@wbamct.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodorethewonder L.L.C.,LLC,Active,2419440,2023-03-31,145 Greystone Dr,Plantsville,United States,06479-1856,CT,elizabethcareyc@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,Advertising Material Distribution Services (541870),2022-02-07 00:07:05.1966667,,bill@nqinc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boomaverse Entertainment LLC,LLC,Active,2419452,2023-03-31,12 Merrell Ave,Stamford,United States,06902,CT,boomaverseentertainment@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,True,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",2022-02-07 00:07:05.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciarah Monique Boutique LLC,LLC,Active,2419519,2023-03-31,260 Connecticut Ave,Stamford,United States,06902-2107,CT,ciarahmonique21@yahoo.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),2022-02-07 00:07:05.1966667,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litchfield Hills Property Services LLC,LLC,Active,2419511,2023-03-31,803 South Main St,Torrington,United States,06790,CT,carlos@litchfieldhillspropertyservices.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,True,False,False,Janitorial Services (561720),2022-02-07 00:07:05.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Property Solutions LLC,LLC,Active,2419499,2023-03-31,3107 Claro Dr,Manchester,United States,06042-7318,CT,travisleseth1@gmail.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:05.1833333,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas W. Daniele, CPA LLC",LLC,Active,2419486,2023-03-31,66 Cedar St,Newington,United States,06111,CT,erica@mydglm.com,Domestic,United States,2022-01-10,Connecticut,Connecticut,False,False,False,False,False,Offices of Certified Public Accountants (541211),2022-02-07 00:07:05.1833333,Suite 303,erica@mydglm.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
