name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,country_formation,category_survey_email_address,date_of_organization_meeting,total_authorized_shares,dissolution_date,mailing_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,geo_location,mailing_international_address,records_address_unit
GAZE ELKTON LLC,LLC,Active,Annual report due,2675161,2023-03-31,,254 Prospect Ave,,Hartford,United States,06106-2041,CT,lgold@bnglaw.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,United States,mhoberman@bnglaw.com,,,,,,,,,,,,,
"Belfonti Rocky Hill, LLC",LLC,Active,Annual report due,2675130,2023-03-31,,2319 Whitney Ave,,Hamden,United States,06518-3509,CT,mfranzman@belfonti.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,United States,,,,,,,,,,,,,,
Embracing Complexions LLC,LLC,Active,Annual report due,2675141,2023-03-31,,867 Main St,4,Manchester,United States,06040-6034,CT,kimruizesthetics190@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:20.8266667,,,,,,,Beauty Salons (812112),,,,,,,,United States,,,,,,,,,,,,,,
KRKK Properties LLC,LLC,Active,Annual report due,2675142,2023-03-31,,9 Pilgrim Path,,Farmington,United States,06032-1982,CT,rcollins@krkkproperties.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:20.8266667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,drrcollins@aol.com,,,,,,,,,,,,,
MARQUEZ CARPENTRY & MORE LLC,LLC,Active,Annual report due,2675155,2023-03-31,,166 TOMS RD,,STAMFORD,United States,06906,CT,josuemaquez123@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:20.8266667,,,,,,,All Other Specialty Trade Contractors (238990),,,,,,,,United States,,,,,,,,,,,,,,
The Maine Event L.L.C.,LLC,Active,Annual report due,2675158,2023-03-31,,372 Ferry St,Apt A,New Haven,United States,06513,CT,maineventt22@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Commercial Bakeries (311812),,,,,,,,United States,,,,,,,,,,,,,,
"Brittney Farinha, LCSW LLC",LLC,Active,Annual report due,2675170,2023-03-31,,64 King St,,Danbury,United States,06811-2729,CT,brittneylcsw@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Other Individual and Family Services (624190),,,,,,,,United States,brittneylcsw@gmail.com,,,,,,,,,,,,,
Alexia Bakes LLC,LLC,Active,Annual report due,2675163,2023-03-31,,458 Chopsey Hill Rd,,Bridgeport,United States,06606-3806,CT,neshe.bryant@icloud.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,True,False,True,2023-01-04 00:08:21.3833333,,,,,,,Mobile Food Services (722330),,,,,,,,United States,,,,,,,,,,,,,,
KINGS & QUEENS CLEANING SERVICE LLC,LLC,Active,Annual report due,2675198,2023-03-31,,43 BABCOCK ST APT 1,,HARTFORD,United States,06106,CT,efile1234@incfile.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,Janitorial Services (561720),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
Hands in the Mix Homecare Agency Limited Liability Company,LLC,Active,Annual report due,2675169,2023-03-31,,16 1/2 Reboda Court,,Norwalk,United States,06855,CT,handsinthemix@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:18.7533333,,,,,,,Home Health Care Services (621610),,,,,,,,United States,,,,,,,,,,,,,,
"DR Oxford, LLC",LLC,Active,Annual report due,2675173,2023-03-31,,116 Osborn Ln,,Monroe,United States,06468-2516,CT,hgwells1016@aol.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.7200000,,,,,,,,,,,,,,,United States,vincentlnocejr@yahoo.com,,,,,,,,,,,,,
LIVING ROOTS WINE & COMPANY LLC,LLC,Active,Annual report due,2675181,2023-03-31,2022-12-08,1255 University Ave Ste 100,,Rochester,United States,14607-1651,NY,filing@acs123.com,LIVING ROOTS WINE & COMPANY LLC,Foreign,2022-12-08,NEW YORK,NEW YORK,False,False,False,False,False,2023-01-04 00:08:18.7200000,,,,,,,Wineries (312130),,,,,,,,,,,,,,,,,,,,,,
Harwinton Heights LLC,LLC,Active,Annual report due,2675185,2023-03-31,,33 Miller Rd,,Burlington,United States,06013-1710,CT,wollman222@icloud.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.0700000,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,vdepergola@fpllp.com,,,,,,,,,,,,,
WS CAPITAL CORPORATION,Stock,Active,First report due,2675187,2023-03-08,,,,,,,,frankramaglia@josephfrank.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:17.4266667,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,United States,,,200.0,,,,,,,,,,,
"First Florida Financial Group, LLC",LLC,Active,Annual report due,2675235,2023-03-31,2022-12-15,8300 College Pkwy,101,Fort Myers,United States,33919-4104,FL,collin@ezipmortgage.com,"First Florida Financial Group, LLC",Foreign,2022-12-08,FLORIDA,FLORIDA,False,False,False,False,False,2023-01-04 00:08:17.4266667,"8300 College Pkwy, 101, Fort Myers, FL, 33919-4104, United States",8300 College Pkwy,Fort Myers,FL,33919-4104,United States,Mortgage and Nonmortgage Loan Brokers (522310),"8300 College Pkwy, 101, Fort Myers, FL, 33919-4104, United States",8300 College Pkwy,101,Fort Myers,FL,33919-4104,United States,,,,,,101,,,,,,,,,
Newfield Ave LLC,LLC,Active,Annual report due,2675197,2023-03-31,,1525 S Higley Rd,104,Gilbert,United States,85296,AZ,jay@scottsdalerei.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4100000,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,United States,kfuller@keithfullerlaw.com,,,,,,,,,,,,,
WILMER'S CONSTRUCTION CORP.,Stock,Active,First report due,2675200,2023-03-08,,,,,,,,filing@acs123.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,New Single-Family Housing Construction (except For-Sale Builders) (236115),,,,,,,,United States,filing@acs123.com,,200.0,,,,,,,,,,,
EURO HOLDINGS LLC,LLC,Active,Annual report due,2675211,2023-03-31,,26 OLYMPIA LN,,WATERBURY,United States,06704,CT,efile1234@incfile.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,Portfolio Management (523920),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
KELLY'S TRANSPORT LLC,LLC,Active,Annual report due,2675213,2023-03-31,,6 Jonathan Pl,,Bloomfield,United States,06002-1738,CT,atartafari@att.net,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,United States,,,,,,,,,,,,,,
"Windward Holdings, LLC",LLC,Active,Annual report due,2675215,2023-03-31,,12-1 Windward Ln,,Old Lyme,United States,06371-2828,CT,info@papercraftclubhouse.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,United States,,,,,,,,,,,,,,
Bruno and Branch property maintenance LLC,LLC,Active,Annual report due,2675201,2023-03-31,,13 Commerce St,,Norwalk,United States,06850-4133,CT,brunoandbranch@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:21.3833333,,,,,,,Landscaping Services (561730),,,,,,,,United States,,,,,,,,,,,,,,
CELTIC LAWN CARE L.L.C.,LLC,Active,Annual report due,2675204,2023-03-31,,7 CHERYL DR,,ENFIELD,United States,06082,CT,efile1234@incfile.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,Landscaping Services (561730),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
"TyeCares Music, LLC",LLC,Active,Annual report due,2675217,2023-03-31,,53 Magnolia Ave,,Norwalk,United States,06850-3634,CT,tyecares@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:21.3800000,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,United States,,,,,,,,,,,,,,
Xchange Re Underwriting Agency LLC,LLC,Active,Annual report due,2675248,2023-03-31,2022-12-08,200 Business Park Dr,,Armonk,United States,10504-1715,NY,sosfilings@3hcs.com,Xchange Re Underwriting Agency LLC,Foreign,2022-12-08,DELAWARE,DELAWARE,False,False,False,False,False,2023-01-04 00:08:21.3800000,"1201 N Orange St, Wilmington, DE, 19801, United States",1201 N Orange St,Wilmington,DE,19801,United States,Insurance Agencies and Brokerages (524210),"1201 N Orange St, Wilmington, DE, 19801, United States",1201 N Orange St,,Wilmington,DE,19801,United States,,,,,,,,,,,,,,,
Silent Win LLC,LLC,Active,Annual report due,2675252,2023-03-31,,3 Norton pl,,Norwalk,United States,06854,CT,silentwin@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:21.3800000,,,,,,,Family Clothing Stores (448140),,,,,,,,United States,,,,,,,,,,,,,,
G.I. PAINTING SERVICES LLC,LLC,Active,Annual report due,2675223,2023-03-31,,540 Frost Rd,,Waterbury,United States,06705-2304,CT,lexy1321@hotmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Contratistas de pintura y revestimiento de paredes (238320),,,,,,,,United States,,,,,,,,,,,,,,
ANTS LLC,LLC,Active,Annual report due,2675244,2023-03-31,,163 Temple St,,New Haven,United States,06510-2602,CT,kapooklook.aom@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Limited-Service Restaurants (722513),,,,,,,,United States,,,,,,,,,,,,,,
291 Stillman Street LLC,LLC,Active,Annual report due,2675245,2023-03-31,,606 Post Rd,Suite 533,Westport,United States,06880,CT,max@summertax.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:20.8000000,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,United States,max@summertax.com,,,,,,,,,,,,,
FAKONA EXPRESS LLC,LLC,Active,Annual report due,2675224,2023-03-31,,249 ELLSWORTH AVE,,NEW HAVEN,United States,06511,CT,efile1234@incfile.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
167 LIBERTY ST LLC,LLC,Active,Annual report due,2675227,2023-03-31,,7 ROSEDALE CIR,,SHELTON,United States,06484,CT,efile1234@incfile.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
"FIFTY-FIVE, LLC",LLC,Active,Annual report due,2675261,2023-03-31,,324 E Main St,,Wallingford,United States,06492-2551,CT,r.kane@weisstax.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3833333,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
NEW LIGHT STAR I INC.,Stock,Active,First report due,2675238,2023-03-08,,,,,,,,newlightstariinc@chucpapc.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.7200000,,,,,,,Limited-Service Restaurants (722513),,,,,,,,United States,newlightstariinc@chucpapc.com,,1000.0,,,,,,,,,,,
Regal Funding LLC,LLC,Active,Annual report due,2675290,2023-03-31,,2389 Main St.,STE 100,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.7200000,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
PREMIER CHOICE LIMOUSINE LLC,LLC,Active,Annual report due,2675257,2023-03-31,,346 Gracey Ave,,Meriden,United States,06451-2280,CT,tanveerusa@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:20.8000000,,,,,,,Limousine Service (485320),,,,,,,,United States,paula.spremulli@gmail.com,,,,,,,,,,,,,
"Joyce Business Development, LLC",LLC,Active,Annual report due,2675278,2023-03-31,,100 Bradley Road,,Woodbridge,United States,06525,CT,emailjoice@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:21.4133333,,,,,,,,,,,,,,,United States,emailjoice@yahoo.com,,,,,,,,,,,,,
"CPE GRAT 3, LLC",LLC,Active,Annual report due,2675341,2023-03-31,,20 Point Road,,Norwalk,United States,06854,CT,acalamito@nedderlaw.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4133333,,,,,,,Investment Banking and Securities Dealing (523110),,,,,,,,United States,,,,,,,,,,,,,,
Sandy Carpet LLC,LLC,Active,Annual report due,2675288,2023-03-31,2022-12-08,132 45th St,6,Union City,United States,07087-6330,NJ,sandycarpetllc@gmail.com,Sandy Carpet LLC,Foreign,2022-12-08,NEW JERSEY,NEW JERSEY,False,False,False,False,False,2023-01-04 00:08:18.0766667,,,,,,,Flooring Contractors (238330),,,,,,,,,,,,,,,,,,,,,,
COMETA LLC,LLC,Active,Annual report due,2675289,2023-03-31,,54 Spindle Hill Rd,,Wolcott,United States,06716-1722,CT,mariorod06@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.0766667,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
Alexie Mobile Notary Services LLP,LLP,Active,Annual report due,2675322,2023-12-08,,415 Boston Post Rd,Suite 3-1224,Milford,United States,06460,CT,alexiemns@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,All Other Legal Services (541199),,,,,,,,United States,,,,,,,,,,,,,,
Greenwich Hospitality (RM) LLC,LLC,Active,Annual report due,2675298,2023-03-31,,"70 Seaview Avenue, Marine Building South",,Stamford,United States,06902,CT,jfogg@thedelamar.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:17.4266667,,,,,,,Full-Service Restaurants (722511),,,,,,,,United States,npp@gtlslaw.com,,,,,,,,,,,,,
KASHKA LLC,LLC,Active,Annual report due,2675326,2023-03-31,,261 Ferry St,,New Haven,United States,06513,CT,luisleon2081@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:17.4266667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,susannah.vining@winnicklaw.com,,,,,,,,,,,,,
TCDC Concessions LLC,LLC,Active,Annual report due,2675310,2023-03-31,2022-12-08,8 Brasser Dr,,Rochester,United States,14624,NY,eastern@registeredagentsinc.com,TCDC Concessions LLC,Foreign,2022-12-08,NEW YORK,NEW YORK,False,False,False,False,False,2023-01-04 00:08:21.4466667,"8 Brasser Dr, Rochester, NY, 14624, United States",8 Brasser Dr,Rochester,NY,14624,United States,Food Service Contractors (722310),"8 Brasser Dr, Rochester, NY, 14624, United States",8 Brasser Dr,,Rochester,NY,14624,United States,,,,,,,,,,,,,,,
Earth Stone and Granite LLC,LLC,Active,Annual report due,2675311,2023-03-31,,160 Triangle St,,Danbury,United States,06810,CT,rminsurance@sbcglobal.net,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:21.4466667,,,,,,,Tile and Terrazzo Contractors (238340),,,,,,,,United States,,,,,,,,,,,,,,
VITAX ENTERPRISES LLC,LLC,Active,Annual report due,2675312,2023-03-31,,33 SW 2ND AVE,SUITE 1102,MIAMI,United States,33130,FL,office@wonderpax.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4466667,,,,,,,,,,,,,,,United States,office@wonderpax.com,,,,,,,,,,,,,
"CPE GRAT 1, LLC",LLC,Active,Annual report due,2675313,2023-03-31,,20 Point Road,,Norwalk,United States,06854,CT,acalamito@nedderlaw.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4466667,,,,,,,Investment Banking and Securities Dealing (523110),,,,,,,,United States,,,,,,,,,,,,,,
Apollo Healthcare Consultants L.L.C.,LLC,Active,Annual report due,2675353,2023-03-31,,23 Arvida Rd,,Wolcott,United States,06716-2765,CT,giovcrea@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4466667,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
JMG ACQUISITIONS LLC,LLC,Active,Annual report due,2675324,2023-03-31,,29 HAVILAND STREET,,NORWALK,United States,06854,CT,jforlivio@jmg.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
EndoVisionZ Contracting LLC,LLC,Active,Annual report due,2675333,2023-03-31,,93 Gloucester Ct,,Newington,United States,06111-4507,CT,endovisionz@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:21.3800000,,,,,,,Residential Remodelers (236118),,,,,,,,United States,endovisionz@gmail.com,,,,,,,,,,,,,
Detail Oriented Auto Spa LLC,LLC,Active,Annual report due,2675342,2023-03-31,,80 N Main St,,Branford,United States,06405-3050,CT,dresnick2468@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.3800000,,,,,,,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",,,,,,,,United States,,,,,,,,,,,,,,
"CPE GRAT 2, LLC",LLC,Active,Annual report due,2675328,2023-03-31,,20 Point Road,,Norwalk,United States,06854,CT,acalamito@nedderlaw.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.1300000,,,,,,,Investment Banking and Securities Dealing (523110),,,,,,,,United States,,,,,,,,,,,,,,
Beautique Skin and Nails LLC,LLC,Active,Annual report due,2675337,2023-03-31,,40 Elmwood Ter,,Torrington,United States,06790-3236,CT,beautiqueskinnails@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:18.0766667,,,,,,,Beauty Salons (812112),,,,,,,,United States,,,,,,,,,,,,,,
BSG Willimantic Apt LLC,LLC,Active,Annual report due,2675350,2023-03-31,,112 Clinton Ln,,Spring Valley,United States,10977-1969,NY,shulem9144@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.0766667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
THE QUIETUS HOUSE LLC,LLC,Active,Annual report due,2675344,2023-03-31,,480 Mixville Rd,,Cheshire,United States,06410-1908,CT,yong@ciampitax.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4400000,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,United States,,,,,,,,,,,,,,
Unit Tire LLC,LLC,Active,Annual report due,2675356,2023-03-31,,"27 Elm Street,",,Enfield,United States,06082,CT,ulyssesluna@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:17.5000000,,,,,,,General Automotive Repair (811111),,,,,,,,United States,,,,,,,,,,,,,,
Shoreline Early Learning Center LLC,LLC,Active,Annual report due,2675359,2023-03-31,,366 Main Street,,Old Saybrook,United States,06475,CT,shorelineearlylearningcenter@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:17.5000000,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
5 SECOND AVE LLC,LLC,Active,Annual report due,2675366,2023-03-31,,10 William St,,Great Neck,United States,11023-1121,NY,esthermashieh@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4133333,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,ben@trachtenlaw.com,,,,,,,,,,,,,
BD 007 Corp.,Stock,Active,First report due,2675370,2023-03-08,,,,,,,,adventuremamun4@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4133333,,,,,,,Gasoline Stations with Convenience Stores (447110),,,,,,,,United States,,,100.0,,,,,,,,,,,
"RX Diversion Prevention Consulting, LLC",LLC,Active,Annual report due,2675369,2023-03-31,,42 N Benham Rd,,Seymour,United States,06483-2247,CT,ferenczkathleen@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.0766667,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
Magnetic Builders Group LLC,LLC,Active,Annual report due,2675372,2023-03-31,2023-01-02,115 W 30th St,Suite 708,New York,United States,10001-4010,NY,dguzman@magneticbuilders.com,Magnetic Builders Group,Foreign,2022-12-08,NEW YORK,NEW YORK,False,False,False,False,False,2023-01-04 00:08:17.5000000,"115 W 30th St, Suite 708, New York, NY, 10001-4010, United States",115 W 30th St,New York,NY,10001-4010,United States,Commercial and Institutional Building Construction (236220),"115 W 30th St, Suite 708, New York, NY, 10001-4010, United States",115 W 30th St,Suite 708,New York,NY,10001-4010,United States,,,,,,Suite 708,,,,,,,,,
HONEYMOON NAILS INC.,Stock,Active,Annual report due,2675376,2023-12-09,,800 Federal Rd,STE A3,Brookfield,United States,06804,CT,info.ming.acctax@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:17.5000000,,,,,,,Nail Salons (812113),,,,,,,,United States,,2022-12-09,1000.0,,,,,,,,,,,
Fairfield Eco Car Wash Inc.,Stock,Active,First report due,2675381,2023-03-08,,,,,,,,processing@mycorporation.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4400000,,,,,,,,,,,,,,,United States,,,24599.0,,,,,,,,,,,
"1093 New Britain Avenue, LLC",LLC,Active,Annual report due,2675400,2023-03-31,,86 Fox Hill Dr,,Rocky Hill,United States,06067-2811,CT,jcr509@cox.net,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4400000,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,jrs@serrantinolaw.com,,,,,,,,,,,,,
Moon Associates Inc.,Stock,Active,Annual report due,2675403,2023-12-08,2022-12-15,16 East Washington St.,Unit 2,North Attleborough,United States,02760,MA,moonassociates@aol.com,Moon Associates Inc.,Foreign,2022-12-08,RHODE ISLAND,RHODE ISLAND,False,False,False,False,False,2023-01-04 00:08:21.4400000,,,,,,,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,
"Maiden Lane Office Condominium Association, Inc.",Non-Stock,Active,First report due,2675402,2023-03-08,,,,,,,,mark@vslaw.net,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4133333,,,,,,,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,,,,,,,United States,,,,,,,,,,,,,,
"LANDSCAPE GOODS, LLC",LLC,Active,Annual report due,2675406,2023-03-31,,31 PEARL STREET,,MILFORD,United States,06460,CT,drcharles351@aol.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.9633333,,,,,,,Landscaping Services (561730),,,,,,,,United States,brobbins@wwblaw.com,,,,,,,,,,,,,
BSAM HOLDINGS LLC,LLC,Active,Annual report due,2675408,2023-03-31,,29 RIVER ROAD,Suite 102,Cos Cob,United States,06807,CT,notices@burnhamsterling.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4400000,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,United States,dru@burnhamsterling.com,,,,,,,,,,,,,
SoKomo LLC,LLC,Active,Annual report due,2675527,2023-03-31,,5 Schooner Ln,1J,Milford,United States,06460-3339,CT,sonya_komorowski@yahoo.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.0100000,,,,,,,Other Management Consulting Services (541618),,,,,,,,United States,,,,,,,,,,,,,,
Terre Nostre America Incorporated,Stock,Active,Annual report due,2675529,2023-12-13,,1 Selleck St,2nd Floor,Norwalk,United States,06855-1120,CT,luca@groupmra.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.0100000,,,,,,,Other Grocery and Related Products Merchant Wholesalers (424490),,,,,,,,United States,lauricella@flb.law,2022-12-08,1000.0,,,,,,,,,,,
Standish Realty LLC,LLC,Active,Annual report due,2675414,2023-03-31,,35 Collins Ave,,Spring Valley,United States,10977-4743,NY,moshegrossbard1@gmail.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4466667,,,,,,,Lessors of Other Real Estate Property (531190),,,,,,,,United States,,,,,,,,,,,,,,
ROSIES ROYAL CHOCOLATES & TREATS INC.,Stock,Active,Annual report due,2675462,2023-12-12,,168 CENTER STREET,SUITE 110,SOUTHINGTON,United States,06489,CT,jim@weinbergpc.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:21.4466667,,,,,,,Confectionery Manufacturing from Purchased Chocolate (311352),,,,,,,,United States,jim@weinbergpc.com,2022-12-08,200.0,,,,,,,,,,,
HOMEPORT ENTERPRISES LLC,LLC,Active,Annual report due,2675441,2023-03-31,,2 Coltsfoot Cir,,Glastonbury,United States,06033-1312,CT,sfalkenstein@113law.com,,Domestic,2022-12-08,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.1366667,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
