name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,category_survey_email_address,sub_status,total_authorized_shares,date_of_organization_meeting,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mail_jurisdiction,mailing_international_address,records_address_unit
YKM Ivy Hill LLC,LLC,Active,2594847,2023-03-31,346 E 58th St,1B,New York,United States,10022-2242,NY,ykmacquisitions@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652 Maple Street LLC,LLC,Active,2594848,2023-03-31,1190 Commerce Ave,,Bronx,United States,10462-5506,NY,arberndreca@hotmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,lfabich@ctattorneys.net,,,,,,,,,,,,,
47 Hillside Ave LLC,LLC,Active,2594854,2023-03-31,4 Stonewall Ct,,Lakewood,United States,08701,NJ,yonirbils@gmail.com,Foreign,,2022-07-07,NEW JERSEY,NEW JERSEY,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.5500000,2022-07-07,47 Hillside Ave LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"250 North Main Holdings, L.L.C.",LLC,Active,2594856,2023-03-31,51 Ciro Rd,,North Branford,United States,06471-1521,CT,robert@cherryhillinc.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:24.5033333,,,,,,,,,,,,,,,,,cportoii@pppclaw.com,,,,,,,,,,,,,
Riverton Self Storage LLC,LLC,Active,2594867,2023-03-31,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,eastern@registeredagentsinc.com,,,,,,,,,,,,,
"Farview, LLC",LLC,Active,2594863,2023-03-31,87 Farmington Chase Crescent,,Farmington,United States,06032-3146,CT,samanthabehm28@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,False,,2022-08-31 00:16:24.5033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZ Home Integration LLC,LLC,Active,2594896,2023-03-31,14 Steep Hill Rd,,Weston,United States,06883-1741,CT,zovichav@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2022-08-31 00:16:24.4400000,,,,,,,,,,,,,,,,,zovichav@gmail.com,,,,,,,,,,,,,
228 Elm Street LLC,LLC,Active,2594880,2023-03-31,228 Elm St,,Meriden,United States,06450-5808,CT,nilo@kingshipconstruction.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,nilo@kingshipconstruction.com,,,,,,,,,,,,,
453 West Main Street LLC,LLC,Active,2594881,2023-03-31,163 Patriot Rd,,Southbury,United States,06488-1274,CT,balasokol84@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Touchstone Medical, LLC",LLC,Active,2594893,2023-03-31,12 Craigmoor Rd S,,Ridgefield,United States,06877-1711,CT,selasky@mac.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Professional Organizations (813920),2022-08-31 00:16:24.4100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBEK CONSULTING INC,Stock,Active,2595009,2022-10-05,,,,,,,filing@acs123.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,filing@acs123.com,First report due,200.0,,,,,,,,,,,
"Marsili Georgetown, LLC",LLC,Active,2595018,2023-03-31,12 Old Mill Road,,Redding,United States,06896,CT,boccuzzianna3@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,troy@cmm-law.com,,,,,,,,,,,,,
Direct Options Consultation LLC,LLC,Active,2594912,2023-03-31,18 Hart St,,New Britain,United States,06052-1702,CT,sussal@icloud.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),2022-08-31 00:16:24.4866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Millennium Reserves, LLC",LLC,Active,2594911,2023-03-31,151 Andrew Ave,306,Naugatuck,United States,06770-4356,CT,carlos@millenniumreserves.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:24.4100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB Construction LLC,LLC,Active,2594928,2023-03-31,261 North Road,,Harwinton,United States,06791,CT,srbconstruction2189@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Framing Contractors (238130),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDER MILL REAL ESTATE LLC,LLC,Active,2594933,2023-03-31,30 Olde Wood Rd,,Glastonbury,United States,06033-4133,CT,cidermillrealestate@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,nia@ncsestateprobatelaw.com,,,,,,,,,,,,,
CHARMS EVENTS LLC,LLC,Active,2594931,2023-03-31,215 Salem St,,Bridgeport,United States,06606,CT,kellysouzadmv@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR-MARK 1 Inc.,Stock,Active,2594978,2022-10-05,,,,,,,govdocs@corpcreations.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,kevin.duteau@corpcreations.com,First report due,2000.0,,,,,,,,,,,
AP Wraps Graphics and More Limited Liability Company,LLC,Active,2594936,2023-03-31,180 Deming Rd,,Berlin,United States,06037,CT,lisamadrid85@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,Graphic Design Services (541430),2022-08-31 00:16:24.4566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIABETES MANAGEMENT AND SUPPLIES, L.L.C.",LLC,Active,2594938,2023-03-31,220 W Germantown Pike,250,Plymouth Meeting,United States,19462-1423,PA,joey.kelley@unitedcorporate.com,Foreign,,2022-07-07,LOUISIANA,LOUISIANA,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),2022-08-31 00:16:24.4566667,2022-07-07,"DIABETES MANAGEMENT AND SUPPLIES, L.L.C.","3867 Plaza Tower, First Floor, Baton Rouge, LA, 70816, United States","3867 Plaza Tower, First Floor",,Baton Rouge,LA,70816,United States,"3867 Plaza Tower, First Floor, Baton Rouge, LA, 70816, United States","3867 Plaza Tower, First Floor",,Baton Rouge,LA,70816,United States,,,,,,,,,,,,,,
"CGM CABINETRY, LLC",LLC,Active,2594956,2023-03-31,485 HANOVER STREET,,MERIDEN,United States,06451,CT,ajcortes@evelarealty.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Building Finishing Contractors (238390),2022-08-31 00:16:24.4566667,,,,,,,,,,,,,,,,,jim@loughlin-law.com,,,,,,,,,,,,,
S&Y Contracting Inc,Stock,Rejected,2594958,,82 Perry Ave,,Norwalk,United States,06850-1212,CT,sycontracting87@gmail.com,Foreign,,2022-07-07,NEW YORK,NEW YORK,False,False,False,False,False,Residential Remodelers (236118),2022-08-31 00:16:24.4566667,2022-07-07,S&Y Contracting Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT Solar LLC,LLC,Active,2594966,2023-03-31,78 Thomson Rd,,Bethlehem,United States,06751-2019,CT,assardt@aol.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-08-31 00:16:24.4566667,,,,,,,,,,,,,,,,,elaine@pdrcpas.com,,,,,,,,,,,,,
BLACK DIAMOND GENERAL CLEANING SERVICES LLC,LLC,Active,2594968,2023-03-31,49 Hakim Street Ext,,Danbury,United States,06810-5346,CT,cleaning84@hotmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-08-31 00:16:24.5200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"610 North Main St, LLC",LLC,Active,2594970,2023-03-31,149 Porter street,,Manchester,United States,06040,CT,mimosedaudier9@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elm Group LLC,LLC,Active,2594986,2023-03-31,292 Spielman Highway,,Burlington,United States,06013,CT,elmgroup03@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,False,Other Direct Selling Establishments (454390),2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I TRUCKING INC,Stock,Active,2594993,2022-10-05,,,,,,,itrucking91@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2022-08-31 00:16:24.4566667,,,,,,,,,,,,,,,,,,First report due,200.0,,,,,,,,,,,
"James & Tutt Realty Group, LLC",LLC,Active,2594995,2023-03-31,"601 W 26th Street, 3rd Floor","Suite 347, Dpt. #24096",New York,United States,10001,NY,yikmanagement@gmail.com,Foreign,,2022-07-07,NEW YORK,NEW YORK,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.4866667,2022-06-28,"James & Tutt Realty Group, LLC","601 W 26th Street, 3rd Floor, Suite 347, Dpt. #24096, New York, NY, 10001, United States","601 W 26th Street, 3rd Floor","Suite 347, Dpt. #24096",New York,NY,10001,United States,"601 W 26th Street, 3rd Floor, Suite 347, Dpt. #24096, New York, NY, 10001, United States","601 W 26th Street, 3rd Floor","Suite 347, Dpt. #24096",New York,NY,10001,United States,,,,,,,,,,,,,,
Travisano Restoration L.L.C.,LLC,Active,2595008,2023-03-31,210 Deer Ln,,Guilford,United States,06437-2170,CT,travisano.restoration@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,True,False,False,False,Commercial and Institutional Building Construction (236220),2022-08-31 00:16:24.4400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS8 LLC,LLC,Active,2595017,2023-03-31,1065 Boston Post Rd,,Guilford,United States,06437-2608,CT,kevinglazier@mac.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2022-08-31 00:16:24.4400000,,,,,,,,,,,,,,,,,kevinglazier@mac.com,,,,,,,,,,,,,
K. Envy Luxe Collections LLC,LLC,Active,2595024,2023-03-31,262 Knob Hill Rd,,Meriden,United States,06451,CT,kendravanlinter@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2022-08-31 00:16:24.4400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANE WOODWORKING LLC,LLC,Active,2595041,2023-03-31,1452 Barnum Ave,,Bridgeport,United States,06610-3201,CT,jcohen@northeastco.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Wood Product Manufacturing (321999),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,kortolani@roginlaw.com,,,,,,,,,,,,,
CAR-MARK 2 Inc.,Stock,Active,2595037,2022-10-05,,,,,,,govdocs@corpcreations.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,kevin.duteau@corpcreations.com,First report due,2000.0,,,,,,,,,,,
Laser Bear Industries LLC,LLC,Active,2595042,2023-03-31,8605 F St,,Omaha,United States,68127-1604,NE,business@laserbear.net,Foreign,,2022-07-07,NEBRASKA,NEBRASKA,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",2022-08-31 00:16:24.4866667,2022-08-27,Laser Bear Industries LLC,"8605 F St, Omaha, NE, 68127-1604, United States",8605 F St,,Omaha,NE,68127-1604,United States,"8605 F St, Omaha, NE, 68127-1604, United States",8605 F St,,Omaha,NE,68127-1604,United States,,,,,,,,,,,,,,
AAA LLC,LLC,Active,2595046,2023-03-31,948 Pine St,,Bristol,United States,06010-6915,CT,ahmedalmadami98@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Convenience Stores (445120),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,ahmedalmadami98@gmail.com,,,,,,,,,,,,,
Skin Mind Connection LLC,LLC,Active,2595048,2023-03-31,47 Ash St,,Bridgeport,United States,06605-2106,CT,connect@skinmindconnection.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,True,False,False,Beauty Salons (812112),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR-MARK 3 Inc.,Stock,Active,2595052,2022-10-05,,,,,,,govdocs@corpcreations.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,kevin.duteau@corpcreations.com,First report due,2000.0,,,,,,,,,,,
Timeless Improvements Co.,Stock,Active,2595058,2023-08-06,1127 Tolland Stage Rd,110,Tolland,United States,06084-3138,CT,melvin@timelessimprovements.net,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,True,False,Siding Contractors (238170),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,melvin@timelessimprovements.net,,20001.0,2022-08-01,,,,,,,,,,
Family Inflatables  LLC,LLC,Active,2595057,2023-03-31,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,eastern@registeredagentsinc.com,,,,,,,,,,,,,
"The Granola Bar of New Haven, LLC",LLC,Active,2595065,2023-03-31,275 Post Rd E,,Westport,United States,06880,CT,jennifer@thegranolabarct.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,False,Full-Service Restaurants (722511),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Enterprises Inc,Stock,Active,2595060,2023-08-06,6 Oakwood Dr,,Madison,United States,06443,CT,bcbaker6786@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,True,False,False,False,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (532490),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,bakertaxsolutions@gmail.com,,100.0,2022-08-02,,,,,,,,,,
Dandellionblossom.com LLC,LLC,Active,2595062,2023-03-31,90 Roxbury Rd,,Plantsville,United States,06479-1455,CT,rmlavp@mac.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,True,,2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreejee One LLC,LLC,Active,2595074,2023-03-31,124 New Britain Ave,,Plainville,United States,06062-2019,CT,manny0107@yahoo.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,arthinvestment@hotmail.com,,,,,,,,,,,,,
A&W Natural Beauty Customs LLC,LLC,Active,2595071,2023-03-31,762 Stratford Ave,1st floor,Stratford,United States,06615-6351,CT,aaawright13@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,True,True,False,All Other Health and Personal Care Stores (446199),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR-MARK 4 Inc.,Stock,Active,2595068,2022-10-05,,,,,,,govdocs@corpcreations.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,kevin.duteau@corpcreations.com,First report due,2000.0,,,,,,,,,,,
Prestige Shine & Clean LLC,LLC,Active,2595069,2023-03-31,18 Fairfield Avenue,,Shelton,United States,06484,CT,mayelindreynoso@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,True,False,False,Janitorial Services (561720),2022-08-31 00:16:23.8933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJP Global Enterprises LLC,LLC,Active,2595079,2023-03-31,2389 Main Street Suite 100,,Glastonbury,United States,06033,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marek Boguski Services, LLC",LLC,Active,2595081,2023-03-31,4 Dorset Court,,Norwalk,United States,06851,CT,mboguski73@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,All Other Business Support Services (561499),2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Home Solutions LLC,LLC,Active,2595084,2023-03-31,2389 Main Street Suite 100,,Glastonbury,United States,06033,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR INSURANCE COMPANY INC,Stock,Withdrawn,2595091,,10801 W Charleston Blvd,Suite 575,Las Vegas,United States,89135-1200,NV,reem@jasonawad.com,Foreign,,2022-07-07,NEVADA,NEVADA,False,False,False,False,False,Direct Property and Casualty Insurance Carriers (524126),2022-08-31 00:16:24.5200000,2022-04-01,RJR INSURANCE COMPANY INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARNUM WEAVER LLC,LLC,Active,2595100,2023-03-31,17 Judea Cemetery Rd,,Washington,United States,06793-1506,CT,jcoploff@tclaw.biz,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,jcoploff@tclaw.biz,,,,,,,,,,,,,
DE Real Estate LLC,LLC,Active,2595099,2023-03-31,121 Jobs Hill Rd,,Ellington,United States,06029-2211,CT,derealestatellc2022@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Aries Enterprises, LLC",LLC,Active,2595095,2023-03-31,390 Washington Avenue,,West Haven,United States,06516,CT,canonero@optonline.net,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pride In Reno LLC,LLC,Active,2595104,2023-03-31,66 Hillside Ave,,Meriden,United States,06451-3078,CT,josearbelo7788@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2022-08-31 00:16:24.5200000,,,,,,,,,,,,,,,,,josearbelo7788@gmail.com,,,,,,,,,,,,,
Conti & Sons LLC,LLC,Active,2595108,2023-03-31,235 Queen St,,Southington,United States,06489-1915,CT,nconti458@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",2022-08-31 00:16:24.5200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Advanced Media LLC,LLC,Rejected,2595105,,26 Kenmore Ln,,Milford,United States,06460-7213,CT,jagxmedia@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.4233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance 65 LLC,LLC,Active,2595120,2023-03-31,47 CLIFFORD ST,,HARTFORD,United States,06114,CT,ramirez.liza.m@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,False,Insurance Agencies and Brokerages (524210),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South End Auto Detail & Wash LLC,LLC,Active,2595122,2023-03-31,91 Cottage St,2nd fl,Bridgeport,United States,06605-1206,CT,southenddetailing203@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,,2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCO ANTONIO LLC,LLC,Active,2595123,2023-03-31,75 Commercial St,Apt 2,Bridgeport,United States,06604-2820,CT,kellysouzadmv@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:25.1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rouss Motor Company LLC,LLC,Active,2595129,2023-03-31,142 Broad Street,,Norwich,United States,06360,CT,caleboliver96@icloud.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),2022-08-31 00:16:25.1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH PAINTING & CONSTRUCTION LLC,LLC,Active,2595126,2023-03-31,11 Prospect Ln,B2,West Hartford,United States,06119-1889,CT,diogocfhenrique@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,diogocfhenrique@gmail.com,,,,,,,,,,,,,
Pride BNBs LLC,LLC,Active,2595132,2023-03-31,194 Stagecoach Rd,,Avon,United States,06001-4037,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:25.1733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dre BNB Stays LLC,LLC,Active,2595131,2023-03-31,55 Grove Street,,Windsorlocks,United States,06096,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:25.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260 ROYDON ROAD LLC,LLC,Active,2595142,2023-03-31,120 HEMINGWAY STREET,C-5,NEW HAVEN,United States,06513,CT,dotaxes@sbcglobal.net,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-08-31 00:16:24.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-6 Beaver Brook Realty, LLC",LLC,Active,2595143,2023-03-31,2-6 Beaver Brook Road,,Danbury,United States,06810,CT,lr0422@msn.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2022-08-31 00:16:24.5033333,,,,,,,,,,,,,,,,,bdoto@dotolawfirm.com,,,,,,,,,,,,,
maddybradybeauty LLC,LLC,Active,2595156,2023-03-31,30 Hebron Ave,,Glastonbury,United States,06033,CT,maddy12brady@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,False,False,False,Beauty Salons (812112),2022-08-31 00:16:24.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKB STAMFORD LLC,LLC,Active,2595147,2023-03-31,1 Harbor Point Rd,Suite 853,Stamford,United States,06902-7317,CT,fulfillment@zenbusiness.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Home Services LLC,LLC,Active,2595151,2023-03-31,49 Lyons Rd,,Bristol,United States,06010-6907,CT,ttkbajo4040@yahoo.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,True,False,True,False,False,Services for the Elderly and Persons with Disabilities (624120),2022-08-31 00:16:24.4700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEB Holdings NC Properties 1031 LLC,LLC,Rejected,2595148,,307 Linwood Ave,,Cedarhurst,United States,11516-1731,NY,stephen@mnaresidential.com,Foreign,,2022-07-07,NORTH CAROLINA,NORTH CAROLINA,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:24.5033333,2022-07-07,GEB Holdings NC Properties 1031 LLC,"1910 Sedwick Rd, 100B, Durham, NC, 27713, United States",1910 Sedwick Rd,100B,Durham,NC,27713,United States,"1910 Sedwick Rd, 100B, Durham, NC, 27713, United States",1910 Sedwick Rd,100B,Durham,NC,27713,United States,,,,,,,,,,,,,,
"ADAMS MECHANICS, LLC",LLC,Active,2595193,2023-03-31,226 Calhoun St,,Torrington,United States,06790-3708,CT,adfassio87@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.5200000,,,,,,,,,,,,,,,,,docs@incauthority.com,,,,,,,,,,,,,
Transqat Enterprises LLC,LLC,Active,2595167,2023-03-31,64 Oak Rd.,,East Haddam,United States,06423,CT,crmtransqat@gmail.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:24.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTKLCULTURE LLC,LLC,Active,2595169,2023-03-31,47 Nettleton St,,Watertown,United States,06795,CT,efile1234@incfile.com,Domestic,United States,2022-07-07,Connecticut,Connecticut,False,False,False,False,False,Advertising Agencies (541810),2022-08-31 00:16:24.5500000,,,,,,,,,,,,,,,,,efile1235@incfile.com,,,,,,,,,,,,,
CHESTERFIELD C18 LLC,LLC,Active,2595180,2023-03-31,10 GRANT AVENUE,,OLD GREENWICH,UNITED STATES,06870,CT,,Domestic,United States,2022-07-07,,Connecticut,False,False,False,False,False,akishore@optonline.net,2022-08-31 00:16:24.5033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
