name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,category_survey_email_address,naics_code,geo_location,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,records_address_unit
Patriot Poughkeepsie LLC,LLC,Active,Annual report due,2641321,2023-03-31,901 Bridgeport Ave,Suite 109,Shelton,United States,06484-4800,CT,c.laraia@ubreakifix.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8200000,alex@bgtlawfirm.com,Consumer Electronics Repair and Maintenance (811211),"{'type': 'Point', 'coordinates': [-73.13635, 41.26297]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Business Besties LLC,LLC,Active,Annual report due,2641324,2023-03-31,252 Lindley Street,,Bridgeport,United States,06606,CT,blackbusinessbesties@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8200000,,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriot Mt Kisco LLC,LLC,Active,Annual report due,2641315,2023-03-31,901 Bridgeport Ave,Suite 109,Shelton,United States,06484-4800,CT,c.laraia@ubreakifix.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8400000,alex@bgtlawfirm.com,Consumer Electronics Repair and Maintenance (811211),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Mental Wellness PLLC,LLC,Rejected,,2641318,,3 Northwestern Drive,,Bloomfield,United States,06002,CT,victoriaanielanp@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8400000,victoriaanielanp@gmail.com,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSSPORT LLC,LLC,Active,Annual report due,2641319,2023-03-31,1245 Farmington Ave #1243,,West Hartford,United States,06107,CT,eastern@northwestregisteredagent.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8400000,,General Automotive Repair (811111),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriot Buffalo RT LLC,LLC,Active,Annual report due,2641329,2023-03-31,901 Bridgeport Ave,Suite 109,Shelton,United States,06484-4800,CT,c.laraia@ubreakifix.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8400000,alex@bgtlawfirm.com,Consumer Electronics Repair and Maintenance (811211),"{'type': 'Point', 'coordinates': [-73.13635, 41.26297]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butler Rescue Hands, Inc",Non-Stock,Active,First report due,2641332,2023-01-03,,,,,,,xiomara@the-care-connect.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.0733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Sports Inc.,Non-Stock,Active,Annual report due,2641334,2023-11-21,73 Union St,,Manchester,United States,06042-1901,CT,info@32sports.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4800000,filings@swyftfilings.com,Educational Support Services (611710),,,,2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,
Patriot Rochester RT LLC,LLC,Active,Annual report due,2641338,2023-03-31,901 Bridgeport Ave,Suite 109,Shelton,United States,06484-4800,CT,c.laraia@ubreakifix.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,alex@bgtlawfirm.com,Consumer Electronics Repair and Maintenance (811211),"{'type': 'Point', 'coordinates': [-73.13635, 41.26297]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Barretta Consulting LLC,LLC,Active,Annual report due,2641357,2023-03-31,8 Pennicott Rd,,Quaker Hill,United States,06375-1026,CT,ljimenez@lincolnbarretta.com,Foreign,,2022-10-05,NEW JERSEY,NEW JERSEY,False,False,False,False,False,2022-12-13 00:18:11.8066667,,Marketing Consulting Services (541613),,2022-10-04,Lincoln Barretta Consulting LLC,,,,,,,,,,,,,,,,,,,,,,,,,
FOAMS LLC,LLC,Active,Annual report due,2641355,2023-03-31,44 Bloomfield Ave,,Windsor,United States,06095-2806,CT,foams@inspiredbymonique.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:13.0966667,,All Other Amusement and Recreation Industries (713990),"{'type': 'Point', 'coordinates': [-72.64615, 41.85276]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
HW CONSULTING Inc.,Stock,Active,First report due,2641401,2023-01-03,,,,,,,noah@myolife.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,onlinefilings@legalzoom.com,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,
"CDJL PROPERTIES, LLC",LLC,Active,Annual report due,2641580,2023-03-31,88 Manhattan Avenue,,Bridgeport,United States,06606,CT,cylockley@att.net,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terrace Hill Comics, LLP",LLP,Active,Annual report due,2641364,2023-10-05,66 Academy Hill Ter,,Stratford,United States,06615-6329,CT,terracehillcomics@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.0733333,terracehillcomics@gmail.com,News Dealers and Newsstands (451212),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYB LANDSCAPE DESIGN LLC,LLC,Active,Annual report due,2641366,2023-03-31,180 Putnam St,FLOOR 3,Hartford,United States,06106,CT,leninortiz12128@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.3933333,leninortiz12128@gmail.com,Servicios de jardiner�a (561730),"{'type': 'Point', 'coordinates': [-72.69045, 41.76095]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
JC Carpet & Upholstery Cleaning Corp.,Stock,Active,First report due,2641369,2023-01-03,,,,,,,linda@premiercfs.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8000000,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,
"Sacred Energy, LLC",LLC,Active,Annual report due,2641378,2023-03-31,188 Flax Hill Rd,B7,Norwalk,United States,06854-2843,CT,info.sacredenergy@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.7533333,,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46 Pulaski Street, LLC",LLC,Active,Annual report due,2641397,2023-03-31,34 The Boulevard,,Newtown,United States,06460,CT,rich@northeastllc.org,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2000000,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett Aerospace, Inc.",Stock,Active,Annual report due,2641409,2023-10-05,ONE GLENWOOD AVE WE WORK,5TH FLOOR,RALEIGH,United States,27603,NC,payroll@bennettaerospace.com,Foreign,,2022-10-05,NORTH CAROLINA,NORTH CAROLINA,False,False,False,False,False,2022-12-13 00:18:11.2000000,,"All Other Professional, Scientific, and Technical Services (541990)",,2022-10-03,"Bennett Aerospace, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,
"Home Watch Management, LLC",LLC,Active,Annual report due,2641402,2023-03-31,394 Rowayton Ave,,Norwalk,United States,06854-3318,CT,homewatchmgt@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8333333,,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hantana's Cleaning and Organizing LLC,LLC,Active,Annual report due,2641405,2023-03-31,51 Rustic Terrace,,Bristol,United States,06010,CT,misshannah89@outlook.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8333333,,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scientifically Fit, LLC",LLC,Active,Annual report due,2641411,2023-03-31,230 Fans Rock Rd,,Hamden,United States,06518-2017,CT,scientificallyfit12@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.8333333,,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,,,,,,,,,,
553 Mahwah Properties LLC,LLC,Active,Annual report due,2641442,2023-03-31,528 Lafayette Ave,,Hawthorne,United States,07506-2423,NJ,rentnownj@yahoo.com,Foreign,,2022-10-05,NEW JERSEY,NEW JERSEY,False,False,False,False,False,2022-12-13 00:18:11.7533333,,Lessors of Residential Buildings and Dwellings (531110),,2022-10-07,553 Mahwah Properties LLC,,,,,,,,,,,,,,,,,,,,,,,,,
AG / AG BUILD & DESIGN TEAM LLC,LLC,Active,Annual report due,2641421,2023-03-31,929 Pequot Ave,,New London,United States,06320-2928,CT,audorelagjonaj@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8333333,,New Housing For-Sale Builders (236117),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castro Law LLC,LLC,Active,Annual report due,2641422,2023-03-31,8211 E Regal Pl,100,Tulsa,United States,74133,OK,tburnettelaw@gmail.com,Foreign,,2022-10-05,OKLAHOMA,OKLAHOMA,False,False,False,False,False,2022-12-13 00:18:12.4033333,,Offices of Lawyers (541110),,2022-10-05,Castro Law LLC,,,"8211 E Regal Pl, 100, Tulsa, OK, 74133, United States",8211 E Regal Pl,Tulsa,OK,74133,United States,"8211 E Regal Pl, 100, Tulsa, OK, 74133, United States",8211 E Regal Pl,Tulsa,OK,74133,United States,,100,100,,,,,,,,
"Saber Shreim Photography, LLC",LLC,Active,Annual report due,2641429,2023-03-31,2389 Main St.,STE 100,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4033333,,"Photography Studios, Portrait (541921)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R. Flanagan Electric, LLC",LLC,Active,Annual report due,2641418,2023-03-31,589 Old Colchester Rd,,Salem,United States,06420-3750,CT,flanman1322@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8066667,jhope@alterpearson.com,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISBIE FOOD NETWORK LLC,LLC,Active,Annual report due,2641419,2023-03-31,131 Buckingham Street,Suite 301,Hartford,United States,06106,CT,mfrisbie@noblegasct.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8066667,cguilmette@uks.com,Limited-Service Restaurants (722513),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angelita's Cleaning Services, LLC",LLC,Active,Annual report due,2641420,2023-03-31,60 Crescent St,Apt. 7,Stamford,United States,06906-1863,CT,multiservice0122@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2133333,multiservice@portilloagency.com,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARBLE COURT STUDIO, LLC",LLC,Active,Annual report due,2641460,2023-03-31,10 Chippenwood Ln,,Bristol,United States,06010-8533,CT,marblecourtstudio@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.7600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vending Bros LLC,LLC,Active,Annual report due,2641430,2023-03-31,23 Robertson Rd,,Hamden,United States,06518-2467,CT,customerservice@vending-bros.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:12.3933333,,Vending Machine Operators (454210),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarkable home health care Limited Liability Company,LLC,Active,Annual report due,2641444,2023-03-31,150 Shingle Hill Rd,,West Haven,United States,06516-5539,CT,remarkablecare1@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:13.1200000,tessboat1@gmail.com,Home Health Care Services (621610),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW BRIDGE CONSTRUCTION LLC,LLC,Active,Annual report due,2641457,2023-03-31,129 Broadway,,Bridgeport,United States,06606-3740,CT,coelhoservices1@hotmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4900000,,Adhesive Manufacturing (325520),,,,,,,,,,,,,,,,,,,,,,,,,,,,
REJUVI LLC,LLC,Active,Annual report due,2641437,2023-03-31,6 CHOLWELL PL,,NORWALK,United States,06851,CT,efile1234@incfile.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4100000,efile1235@incfile.com,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&J Wireless LLC,LLC,Active,Annual report due,2641487,2023-03-31,6124 Town Pl,,Middletown,United States,06457-1760,CT,frias.edgar466@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:12.4100000,,Consumer Electronics Repair and Maintenance (811211),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howell Homes LLC,LLC,Active,Annual report due,2641488,2023-03-31,42 Chessor Ln.,,Wilton,United States,06897,CT,howellhomesct@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4100000,,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,,,,,,
REA Properties LLC,LLC,Active,Annual report due,2641448,2023-03-31,3496 Whitney Ave,,Hamden,United States,06518-1972,CT,sdoherty1269@gmail.com,Foreign,,2022-10-05,RHODE ISLAND,RHODE ISLAND,False,False,False,False,False,2022-12-13 00:18:13.0800000,,,,2022-10-10,REA Properties LLC,,,"9 Dean Ave, Newport, RI, 02840-3405, United States",9 Dean Ave,Newport,RI,02840-3405,United States,"9 Dean Ave, Newport, RI, 02840-3405, United States",9 Dean Ave,Newport,RI,02840-3405,United States,,,,,,,,,,,
The Industry LLC,LLC,Active,Annual report due,2641454,2023-03-31,137 High Top Circle,,Hamden,United States,06514,CT,eventswithindustry@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.8000000,,Temporary Help Services (561320),"{'type': 'Point', 'coordinates': [-72.95036, 41.34195]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Street Properties LLC,LLC,Active,Annual report due,2641470,2023-03-31,498-500 Stanley St,,New Britain,United States,06051,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4966667,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA STUCCO & STONE INC,Stock,Active,Annual report due,2641483,2023-10-20,676 WEST MAIN ST,,NEW BRITAIN,United States,06052,CT,serranozaida1994@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,,Residential Remodelers (236118),"{'type': 'Point', 'coordinates': [-72.80513, 41.66619]}",,,2022-10-20,20000.0,,,,,,,,,,,,,,,,,,,,,,,
Feb19NJ LLC,LLC,Active,Annual report due,2641471,2023-03-31,76 Circle Dr,,Greenwich,United States,06830-6742,CT,juanbadia@hotmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.0966667,,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm tree service LLC,LLC,Active,Annual report due,2641593,2023-03-31,197 Beacon Rd,,Bethany,United States,06524-3054,CT,tmtreeco@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4333333,,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FARMINGTON 2 APL RKC, LLC",LLC,Active,Annual report due,2641472,2023-03-31,"ONE TOWN CENTER ROAD, STE 300",,BOCA RATON,UNITED STATES,33466,FL,,Foreign,,2022-10-05,,DELAWARE,False,False,False,False,False,2022-12-13 00:18:12.4800000,,,,2022-10-05,"FARMINGTON 2 APL RKC, LLC",,,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,,,,,,
"Shoreline Tire Import, LLC dba Stratford Tire Center",LLC,Rejected,,2641474,,1245 Stratford Avenue,,Stratford,United States,06615,CT,mo51289@hotmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,klarson@fillaw.com,All Other Automotive Repair and Maintenance (811198),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baddie On A Budget Agency LLC,LLC,Active,Annual report due,2641476,2023-03-31,99 Founders Plz,,East Hartford,United States,06108-3208,CT,baddieonabudgetagency@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:12.3866667,bsnsuccessfulfinancialservices@yahoo.com,Advertising Agencies (541810),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuwine LLC,LLC,Active,Annual report due,2641477,2023-03-31,235 Shoreham Village Dr,,Fairfield,United States,06824-6228,CT,j.bothwell@genuwine.es,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2133333,,Wine and Distilled Alcoholic Beverage Merchant Wholesalers (424820),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saybrook West LLC,LLC,Active,Annual report due,2641482,2023-03-31,107 Rocky Rd E,,Harwinton,United States,06791-2911,CT,hslater711@yahoo.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2133333,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pappas Tire Company LLC,LLC,Active,Annual report due,2641484,2023-03-31,321 Forbes Ave,A,New Haven,United States,06512-1617,CT,pappasdac@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.2266667,,General Automotive Repair (811111),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Cleaning Solutions LLC,LLC,Active,Annual report due,2641478,2023-03-31,2389 Main Street Suite 100,,Glastonbury,United States,06033,CT,llcsupport@primecorporateservices.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.1266667,,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erica Smith, ND LLC",LLC,Active,Annual report due,2641481,2023-03-31,3 Hollyhock Rd,,Wilton,United States,06897-4443,CT,drsmith@natural-pediatrics.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:12.4100000,ejs3e@aol.com,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRAN REAL ESTATE INVESTMENT LLC,LLC,Active,Annual report due,2641500,2023-03-31,12 MINER ROAD,,WEST HAVEN,United States,06516,CT,kralimports@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4100000,djf1024@msn.com,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaBella Lash Bar LLC,LLC,Active,Annual report due,2641509,2023-03-31,60 Humphrey Street,,Hartford,United States,06106,CT,labellalashbar22@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4100000,,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENS BEE NAILS SPA INC.,Stock,Active,Annual report due,2641510,2023-12-05,55 Turnpike Sq,,Milford,United States,06460-2758,CT,info.ming.acctax@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4100000,,Nail Salons (812113),,,,2022-12-05,200.0,,,,,,,,,,,,,,,,,,,,,,,
A-Plan Renovations L.L.C.,LLC,Active,Annual report due,2641503,2023-03-31,18 Helen Ave,,Wappingers Falls,United States,12590,NY,aplanrenovations@gmail.com,Foreign,,2022-10-05,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:18:12.3933333,,Residential Remodelers (236118),,2022-10-17,A-Plan Renovations,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Support Bangladesh Inc.,Non-Stock,Active,First report due,2641514,2023-01-03,,,,,,,cooper@burnsupportbangladesh.org,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curtis Avenue, LLC",LLC,Active,Annual report due,2641521,2023-03-31,169 South Main Street,,Wallingford,United States,06492,CT,patti.schlosser@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8600000,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPER ROUTE TRANSPORTS Co.,Stock,Active,First report due,2641599,2023-01-03,,,,,,,paperroute860@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:12.3866667,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Vigilant Non-Lethal LLC,LLC,Active,Annual report due,2641526,2023-03-31,42 Hyde Park Rd,,North Franklin,United States,06254,CT,rmorin1012@icloud.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.3766667,,Other Direct Selling Establishments (454390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omoloju Bookkeeping Limited Liability Company,LLC,Active,Annual report due,2641522,2023-03-31,1735 Stratford Ave,2,Bridgeport,United States,06607-1516,CT,omolojubookkeeping@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:13.1133333,,Other Accounting Services (541219),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76 East Main Street, LLC",LLC,Active,Annual report due,2641549,2023-03-31,12 Amie Lane,,Somers,United States,06071,CT,socha.124@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.1133333,pkeefe@uks.com,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen Gangi Animal Communication LLC,LLC,Active,Annual report due,2641529,2023-03-31,170 Flanders Rd,,Niantic,United States,06357-1208,CT,gwengangipets@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:12.4033333,gwengangipets@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC USA HOLDING INC.,Stock,Active,Annual report due,2641538,2023-10-05,"150 SPEAR STREET, SUITE 1700",,SAN FRANCISCO,UNITED STATES,94105,CA,USLEGAL@OKCOIN.COM,Foreign,,2022-10-05,,DELAWARE,False,False,False,False,False,2022-12-13 00:18:11.7833333,,551112,"{'type': 'Point', 'coordinates': [-122.39334, 37.79196]}",2022-04-21,OKC USA HOLDING INC.,,,,,,,,,,,,,,,,,,,,,,,,,
ESTREBERTO LANDSCAPING LLC,LLC,Active,Annual report due,2641545,2023-03-31,44 Van Zant St,2,Norwalk,United States,06855-1918,CT,taxcenterct@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.3766667,taxcenterct@gmail.com,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perera Psych LLC,LLC,Active,Annual report due,2641541,2023-03-31,214 Amity Rd,Suite C,Woodbridge,United States,06525-2241,CT,pererapsych@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4333333,pererapsych@gmail.com,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJONAJ Construction Group LLC,LLC,Active,Annual report due,2641544,2023-03-31,929 Pequot Ave,,New London,United States,06320-2928,CT,audorelagjonaj@gmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:12.4233333,,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMA CLEANING SERVICES LLC,LLC,Active,Annual report due,2641550,2023-03-31,1173 Madison Ave,3FL,Bridgeport,United States,06606-4628,CT,jana.lima91@hotmail.com,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coop Beverage Works LLC,LLC,Active,Annual report due,2641571,2023-03-31,4745 Council Heights Rd,,Oklahoma City,United States,73179-4600,OK,stevenb@coopaleworks.com,Foreign,,2022-10-05,OKLAHOMA,OKLAHOMA,False,False,False,False,False,2022-12-13 00:18:12.3766667,,Breweries (312120),,2022-10-07,Coop Beverage Works,,,"4745 Council Heights Rd, Oklahoma City, OK, 73179-4600, United States",4745 Council Heights Rd,Oklahoma City,OK,73179-4600,United States,"4745 Council Heights Rd, Oklahoma City, OK, 73179-4600, United States",4745 Council Heights Rd,Oklahoma City,OK,73179-4600,United States,,,,,,,,,,,
"Ayushi CT, LLC",LLC,Active,Annual report due,2641558,2023-03-31,942 Main St,,Hartford,United States,06103-1214,CT,nikul@jamsan.us,Domestic,United States,2022-10-05,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.7466667,nikul@jamsan.us,Hotels (except Casino Hotels) and Motels (721110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRACTION TECHNOLOGIES HOLDINGS, LLC",LLC,Active,Annual report due,2641559,2023-03-31,2545 BEAUFAIT STREET,,DETROIT,UNITED STATES,48207,MI,BILLDAVIDSON@SLIPNOT.COM,Foreign,,2022-10-05,,DELAWARE,False,False,False,False,False,2022-12-13 00:18:11.2266667,,332999,,2022-09-22,"TRACTION TECHNOLOGIES HOLDINGS, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
