name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,geo_location,country_formation,naics_code,total_authorized_shares,date_of_organization_meeting,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,mail_jurisdiction,records_address_unit
1616 CHAPEL LLC,LLC,Active,Annual report due,2656382,2023-03-31,,1616 Chapel St,,New Haven,United States,06511-4207,CT,highpointcorp@aol.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7266667,,United States,,,,highpointcorp@aol.com,,,,,,,,,,,,,,,,,,,,,,,,
READ INTERIOS LLC,LLC,Active,Annual report due,2656386,2023-03-31,,1 Greyrock Pl,3111,Stamford,United States,06901-3155,CT,fsagencyny@outlook.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7266667,"{'type': 'Point', 'coordinates': [-73.53597, 41.05162]}",United States,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,,,,,,,,,
BYE BYE STRESS I LLC,LLC,Active,Annual report due,2656402,2023-03-31,,495 UNION ST STE 2080,,WATERBURY,United States,06706,CT,wendytax@yahoo.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7400000,,United States,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleared To Close Ventures LLC,LLC,Active,Annual report due,2656390,2023-03-31,,2389 Main St,Ste 100,Glastonbury,United States,06033-4617,CT,llcsupport@primecorporateservices.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8566667,,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
GoEngineer LLC,LLC,Active,Annual report due,2656408,2023-03-31,2023-01-01,739 E Fort Union Blvd,,Midvale,United States,84047-2348,UT,licensing@goengineer.com,GoEngineer LLC,Foreign,2022-11-03,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:17.8566667,,,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing (334614)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Muteba Group LLC,LLC,Active,Annual report due,2656416,2023-03-31,,126 Rose St,2,Bridgeport,United States,06610-1750,CT,mutebagroupllc@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:17.8566667,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGASUS CONSTRUCTION LLC,LLC,Active,Annual report due,2656396,2023-03-31,,209 HELEN ST,,HAMDEN,United States,06514,CT,pegasusconstruction3@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7400000,,United States,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,
The King Jewelers LLC,LLC,Active,Annual report due,2656412,2023-03-31,,180 West Main Street,,Waterbury,United States,06702,CT,ramonmena1989@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:21.7400000,,United States,Jewelry Stores (448310),,,,,,,,,,,,,,,,,,,,,,,,,,,
Galvis & Company LLC,LLC,Active,Annual report due,2656461,2023-03-31,2022-12-01,77 Sands St,9033,Brooklyn,United States,11201-1431,NY,info@galvisandcompany.com,Galvis & Company LLC,Foreign,2022-11-03,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:18:21.7400000,,,Offices of Lawyers (541110),,,,"77 Sands St, 9033, Brooklyn, NY, 11201-1431, United States",77 Sands St,Brooklyn,NY,11201-1431,United States,"77 Sands St, 9033, Brooklyn, NY, 11201-1431, United States",77 Sands St,Brooklyn,NY,11201-1431,United States,9033,9033,,,,,,,,,,
Astudillo Construction LLC,LLC,Active,Annual report due,2656462,2023-03-31,,24 Maple Ave,,New London,United States,06320-5454,CT,bastudillo@insclients.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:21.7400000,,United States,Residential Remodelers (236118),,,afanador@mikasagroup.com,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Actions LLC,LLC,Active,Annual report due,2656405,2023-03-31,,2 Corporate Dr,945,Shelton,United States,06484-6238,CT,tyler@alphacapitalfunds.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6466667,,United States,Other Social Advocacy Organizations (813319),,,alphaholdingsct@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Onskyn LLC,LLC,Active,Annual report due,2656415,2023-03-31,,1181 Hamilton Ave,,Waterbury,United States,06706-2306,CT,onskynllc@outlook.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.4800000,,United States,Todas las dem�s tiendas de mercanc�a general (452319),,,,,,,,,,,,,,,,,,,,,,,,,,,
TOV 1 LLC,LLC,Active,Annual report due,2656430,2023-03-31,,312 Cedarhurst Ave,,Cedarhurst,United States,11516-1640,NY,8647780@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.4800000,,United States,Lessors of Residential Buildings and Dwellings (531110),,,zev@sandman.law,,,,,,,,,,,,,,,,,,,,,,,,
Tree Learning LLC,LLC,Active,Annual report due,2656423,2023-03-31,,270 Founders Rd.,,Glastonbury,United States,06033,CT,ryanmacdonald198@icloud.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:20.3066667,,United States,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Church 129, LLC",LLC,Active,Annual report due,2656425,2023-03-31,,183 Clark Street,,Milldale,United States,06479,CT,ran63md@yahoo.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.0900000,"{'type': 'Point', 'coordinates': [-72.89998, 41.56637]}",United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
"I&O Real Estate, LLC",LLC,Active,Annual report due,2656437,2023-03-31,,36 Rutlee Dr,,Trumbull,United States,06611-4334,CT,derrickjameslee@hotmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.0900000,,United States,Lessors of Other Real Estate Property (531190),,,maureen@sargentlaw.com,,,,,,,,,,,,,,,,,,,,,,,,
852 Bank Street LLC,LLC,Active,Annual report due,2656428,2023-03-31,,1479 54th St,,Brooklyn,United States,11219-4268,NY,blauc1479@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5200000,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copperlake, LLC",LLC,Active,Annual report due,2656436,2023-03-31,,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8566667,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-5 Whitecrest LLC 3,LLC,Active,Annual report due,2656440,2023-03-31,,750 Connecticut Blvd,,East Hartford,United States,06108-8318,CT,meri.robert@hoffmanauto.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8566667,"{'type': 'Point', 'coordinates': [-72.65841, 41.76951]}",United States,Other Activities Related to Real Estate (531390),,,shurwitz@bswlaw.com,,,,,,,,,,,,,,,,,,,,,,,,
"Palmer's Purpose, LLC",LLC,Active,Annual report due,2656433,2023-03-31,,1692 King St,,Enfield,United States,06082-6037,CT,palmeralexander18@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7400000,"{'type': 'Point', 'coordinates': [-72.60371, 41.93813]}",United States,Other Activities Related to Real Estate (531390),,,jrs@serrantinolaw.com,,,,,,,,,,,,,,,,,,,,,,,,
Father & Son Electrical Solutions LLC,LLC,Active,Annual report due,2656444,2023-03-31,,26 New Park Ave,,Hartford,United States,06106-2122,CT,office.electricalsolutions.fs@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:16.5300000,"{'type': 'Point', 'coordinates': [-72.70669, 41.75632]}",United States,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,,,,,,,,,,,,
"J & A Property Holdings, LLC",LLC,Active,Annual report due,2656449,2023-03-31,,16 Sand Hill Road,,Portland,United States,06480,CT,justin.brown592@outlook.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6266667,,United States,,,,glaw@logalct.com,,,,,,,,,,,,,,,,,,,,,,,,
Verdesoto Tile LLC,LLC,Active,Annual report due,2656483,2023-03-31,,73 Briarwood Ln. #E,,Branford,United States,06405-4340,CT,veronica617@hotmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6266667,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEGANT RIDGEFIELD LLC,LLC,Active,Annual report due,2656470,2023-03-31,,98 Grove St,,Ridgefield,United States,06877-4112,CT,lizzy.m.ellis@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:16.4633333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKOTA APPLE TREE LLC,LLC,Active,Annual report due,2656471,2023-03-31,,23 Pond Rd,,Stamford,United States,06902-1814,CT,gatpigs@snet.net,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.4633333,,United States,Lessors of Residential Buildings and Dwellings (531110),,,mlb@thebarocaslawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
DAT Media Marketing LLC,LLC,Active,Annual report due,2656455,2023-03-31,,22 Briarwood Dr,,Guilford,United States,06437-1806,CT,clayp@datmediamarketing.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,True,False,False,False,2022-12-13 00:18:16.5333333,,United States,Advertising Agencies (541810),,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Door Construction LLC,LLC,Active,Annual report due,2656456,2023-03-31,,156 Kings Hwy,Suite 407,Groton,United States,06340-3436,CT,dpadron@insclients.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:16.5333333,,United States,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,
"VRTJT, LLC",LLC,Active,Annual report due,2656467,2023-03-31,,18303 Windspring Falls Ln,,Cypress,United States,77433-7178,TX,kmurphy@viridescentcapital.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5333333,,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Elwell LLC,LLC,Active,Annual report due,2656463,2023-03-31,,451 Bear Ridge Road,,PLEASANTVILLE,United States,10570,NY,fdipietro915@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7400000,,United States,Residential Property Managers (531311),,,filings@swyftfilings.com,,,,,,,,,,,,,,,,,,,,,,,,
"Delta Star Electric, LLC",LLC,Active,Annual report due,2656466,2023-03-31,,18 Sunset Avenue,,Oakville,United States,06779,CT,deltastarelectric22@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7400000,,United States,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALL IN #1 DAY, LLC",LLC,Active,Annual report due,2656474,2023-03-31,,25 Deforest St Apt C52,,Seymour,United States,06483,CT,saundersf43@yahoo.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5333333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VRTAspen, LLC",LLC,Active,Annual report due,2656475,2023-03-31,,1375 Red Butte Drive,,Aspen,United States,81611,CO,rrholmes@mac.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:20.3066667,,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"El-Numidia, LLC",LLC,Active,Annual report due,2656480,2023-03-31,,111 Andrews St,,Bristol,United States,06010-6607,CT,yasso83@live.fr,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:20.3066667,,United States,Convenience Stores (445120),,,dave@vpw-llc.com,,,,,,,,,,,,,,,,,,,,,,,,
"Durable Floors, LLC",LLC,Active,Annual report due,2656484,2023-03-31,,10 Hillcrest Ct,,Ridgefield,United States,06877-3019,CT,caroline333nieto@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:20.3066667,"{'type': 'Point', 'coordinates': [-73.52647, 41.31064]}",United States,Floor Covering Stores (442210),,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAR REAL ESTATE LLC,LLC,Active,Annual report due,2656485,2023-03-31,,97 S Park Ave,,Easton,United States,06612-2005,CT,entityspecialist@1800accountant.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6266667,,United States,Other Activities Related to Real Estate (531390),,,entityspecialist@1800accountant.com,,,,,,,,,,,,,,,,,,,,,,,,
DERBY CIGAR & SMOKE INC.,Stock,Active,First report due,2656498,2023-02-01,,,,,,,,sureshkumarspatel@yahoo.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6266667,,United States,Tobacco Stores (453991),200.0,,nskshah@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
Time Embracing Another LLC,LLC,Active,Annual report due,2656488,2023-03-31,,11 Trinity St,,New Britain,United States,06051-3416,CT,olgui463@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.5833333,,United States,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,
Crowned Warrior Ministries Limited Liability Company,LLC,Active,Annual report due,2656495,2023-03-31,,2 Montauk Ave,,New London,United States,06320,CT,instepministries2@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.0200000,"{'type': 'Point', 'coordinates': [-72.10578, 41.34887]}",United States,Religious Organizations (813110),,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRINCETON STELLARATORS, INC.",Stock,Active,Annual report due,2656497,2023-11-03,2022-06-10,92 Nassau St,4th Floor,Princeton,United States,08542,NJ,taxops+princeton@kruzeconsulting.com,"PRINCETON STELLARATORS, INC.",Foreign,2022-11-03,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:20.3066667,"{'type': 'Point', 'coordinates': [-74.65957, 40.34971]}",,Software Publishers (511210),,,,,,,,,,,,,,,,,,,,,,,,,,,
TK Partners LLC,LLC,Active,Annual report due,2656512,2023-03-31,,19 N Water St,,Norwalk,United States,06854-2227,CT,muyurict@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:20.3066667,,United States,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastside Multiservices LLC,LLC,Active,Annual report due,2656499,2023-03-31,,1705 barnum ave,,BRIDGEPORT,United States,06610,CT,johnnyveloz901@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:21.7600000,,United States,Other Activities Related to Credit Intermediation (522390),,,,,,,,,,,,,,,,,,,,,,,,,,,
SENTILINK CORP.,Stock,Active,Annual report due,2656515,2023-11-03,2022-11-07,33 New Montgomery St Ste 500,,San Francisco,United States,94105-4501,CA,sentilink@agent.middesk.com,SENTILINK CORP.,Foreign,2022-11-03,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:17.1866667,,,Software Publishers (511210),,,,,,,,,,,,,,,,,,,,,,,,,,,
TLB Swimming LLC,LLC,Active,Annual report due,2656508,2023-03-31,,18 Brown St,1R,New Haven,United States,06511,CT,dani@tlbswim.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:16.5333333,"{'type': 'Point', 'coordinates': [-72.91688, 41.30209]}",United States,Sports and Recreation Instruction (611620),,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Protection LLC,LLC,Active,Annual report due,2656518,2023-03-31,,234 Sherman Ave,71,Meriden,United States,06450-3300,CT,divineprotection3@icloud.com,,Domestic,2022-11-03,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:17.1800000,,United States,Clothing Accessories Stores (448150),,,,,,,,,,,,,,,,,,,,,,,,,,,
Limitlexx LLC,LLC,Active,Annual report due,2656522,2023-03-31,,12 Bailey Dr,,West Haven,United States,06516,CT,limitlexxllc@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.5833333,"{'type': 'Point', 'coordinates': [-72.98239, 41.25411]}",United States,Apparel Accessories and Other Apparel Manufacturing (315990),,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Little Lily's Pet Sitting LLC,LLC,Active,Annual report due,2656533,2023-03-31,,166 Butternut Lane,,Southington,United States,06489,CT,tcannandancer@yahoo.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5000000,,United States,Pet Care (except Veterinary) Services (812910),,,,,,,,,,,,,,,,,,,,,,,,,,,
Acevedo's Cleaning LLC,LLC,Active,Annual report due,2656537,2023-03-31,,45 Edgewood St,,East Hartford,United States,06108-2923,CT,joselito200047@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5000000,,United States,All Other Miscellaneous Waste Management Services (562998),,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPER LLC,LLC,Active,Annual report due,2656550,2023-03-31,,255 Bayview Blvd,,Stratford,United States,06615-7921,CT,duminda32@hotmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:16.5000000,,United States,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Motherlyluvtoo Family Childcare, LLC",LLC,Active,Annual report due,2656538,2023-03-31,,165 Maple Street,,New Haven,United States,06511,CT,motherlyluvtoo@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:16.5533333,,United States,Child Day Care Services (624410),,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodfellas Tire Shop LLC,LLC,Active,Annual report due,2656542,2023-03-31,,22 Route 66 East,Suite B,Columbia,United States,06237,CT,goodfellastireshop1@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5533333,"{'type': 'Point', 'coordinates': [-72.24839, 41.71864]}",United States,,,,jeiry523@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN AND NEAT LLC,LLC,Active,Annual report due,2656552,2023-03-31,,21 Manor St,,Stamford,United States,06902-7364,CT,belindahill1937@mail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5000000,,United States,,,,belindahill1937@mail.com,,,,,,,,,,,,,,,,,,,,,,,,
Tides 183 LLC,LLC,Active,Annual report due,2656565,2023-03-31,,183 Beach St,,West Haven,United States,06516,CT,christophermarone5@gmail.com,,Domestic,2022-11-03,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5533333,,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,,cmarone@nhccu.com,,,,,,,,,,,,,,,,,,,,,,,,
AM Panting And Construction LLC,LLC,Active,Annual report due,2656570,2023-03-31,2022-11-07,46 Abendroth Pl,,Port Chester,United States,10573-4202,NY,wil.mor0909@icloud.com,AM Panting And Construction LLC,Foreign,2022-11-03,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:18:19.6266667,,,,,,,"46 Abendroth Pl, Port Chester, NY, 10573-4202, United States",46 Abendroth Pl,Port Chester,NY,10573-4202,United States,"46 Abendroth Pl, Port Chester, NY, 10573-4202, United States",46 Abendroth Pl,Port Chester,NY,10573-4202,United States,,,,,,,,,,,,
"MMC3C, LLC",LLC,Active,Annual report due,2656597,2023-03-31,,"80 GUION PLACE, SUITE L5",,NEW ROCHELLE,USA,10801,NY,WMC1183CT@AOL.COM,,Domestic,2022-11-03,,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.0566667,,United States,531110,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH OXFORD VENTURES LLC,LLC,Active,Annual report due,2656603,2023-03-31,2022-11-04,"100 CROSSWAYS PARK DRIVE W, #111",,WOODBURY,USA,11797,NY,,BH OXFORD VENTURES LLC,Foreign,2022-11-03,,DELAWARE,False,False,False,False,False,2022-12-13 00:18:17.7833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87 RIVERVIEW AVENUE, LLC",LLC,Active,Annual report due,2656609,2023-03-31,,461 ONDERDONK AVENUE,,RIDGEWOOD,USA,11385,NY,FSEGGARA1@HOTMAIL.COM,,Domestic,2022-11-03,,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7600000,,United States,531110,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES CORPORATION,Stock,Active,Annual report due,2656639,2023-11-03,2022-05-01,"8444 WESTPARK DRIVE, SUITE 800",,MCLEAN,USA,22102-5134,VA,CZENG@ARESCORPORATION.COM,ARES CORPORATION,Foreign,2022-11-03,,CALIFORNIA,False,False,False,False,False,2022-12-13 00:18:17.1700000,,,541990,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taneja Physical Therapy Wellness PLLC,LLC,Active,Annual report due,2657693,2023-03-31,2022-12-01,72 SLOCUM AVENUE,,BRONXVILLE,USA,10708,NY,TANEJAPTW@GMAIL.COM,Taneja Physical Therapy Wellness PLLC,Foreign,2022-11-03,,NEW YORK,False,False,False,False,False,2022-12-13 00:18:19.6133333,,United States,,,,,"72 SLOCUM AVENUE, BRONXVILLE, NEW YORK, 10708, United States",72 SLOCUM AVENUE,BRONXVILLE,NEW YORK,10708,United States,"72 SLOCUM AVENUE, BRONXVILLE, NEW YORK, 10708, United States",72 SLOCUM AVENUE,BRONXVILLE,NEW YORK,10708,United States,,,,,,,,,,,,
JET IT LLC,LLC,Active,Annual report due,2658361,2023-03-31,2022-06-19,125 S ELM STREET #300,,GREENSBORO,UNITED STATES,27401,NC,pay@gojetit.com,JET IT LLC,Foreign,2022-11-03,,DE,False,False,False,False,False,2022-12-13 00:18:18.3300000,,UNITED STATES,481211,,,,"704 N KING ST STE 500, WILMINGTON, DE, 19801, United States",704 N KING ST STE 500,WILMINGTON,DE,19801,United States,"704 N KING ST STE 500, WILMINGTON, DE, 19801, United States",704 N KING ST STE 500,WILMINGTON,DE,19801,United States,,,,,,,,,,,,
"Syniverse ICX, LLC",LLC,Active,Annual report due,2658365,2023-03-31,2022-11-03,8125 Highwoods Palm Way,,Tampa,United States,33647,FL,legalcorporate@syniverse.com,"Syniverse ICX, LLC",Foreign,2022-11-03,,DE,False,False,False,False,False,2022-12-13 00:18:17.8166667,,,518210,,,,"1209 ORANGE ST., Wilmington, DE, 19801, United States",1209 ORANGE ST.,Wilmington,DE,19801,United States,"1209 ORANGE ST., Wilmington, DE, 19801, United States",1209 ORANGE ST.,Wilmington,DE,19801,United States,,,,,,,,,,,,
"CASPIANDB, INC.",Stock,Active,Annual report due,2658395,2023-11-03,2022-11-01,"640 MYSTIC AVENUE, APT. 2",,SOMERVILLE,UNITED STATES,02145,MA,,"CASPIANDB, INC.",Foreign,2022-11-03,,DE,False,False,False,False,False,2022-12-13 00:18:17.2700000,,,541511,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurlwood Partners LLC.,LLC,Active,Annual report due,2659293,2023-03-31,2022-11-01,"200 GLOVER AVE., APT 460B",,NORWALK,UNITED STATES,06850,CT,SWELSH@SIR-GALAHAD.COM,Thurlwood Partners LLC.,Foreign,2022-11-03,,DE,False,False,False,False,False,2022-12-13 00:18:16.5533333,,,524210,,,,"221 NORTH BROAD ST., SUITE 3A, MIDDLETOWN, DE, 19709, United States","221 NORTH BROAD ST., SUITE 3A",MIDDLETOWN,DE,19709,United States,"221 NORTH BROAD ST., SUITE 3A, MIDDLETOWN, DE, 19709, United States","221 NORTH BROAD ST., SUITE 3A",MIDDLETOWN,DE,19709,United States,,,,,,,,,,,,
Colon Contractor LLC,LLC,Active,Annual report due,2659306,2023-03-31,,93 PHELPS ST,,EAST HARTFORD,UNITED STATES,06108,CT,,,Domestic,2022-11-03,,Connecticut,False,False,False,False,False,2022-12-13 00:18:16.5600000,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanny candy Daycare LLC,LLC,Active,Annual report due,2642549,2023-03-31,,128 Gurdon street,,Bridgeport,United States,06606,CT,candelaria.ortiz82@icloud.com,,Domestic,2022-11-04,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:12.4600000,,United States,Child Day Care Services (624410),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool Nerd SAM LLC,LLC,Active,Annual report due,2653275,2023-03-31,,320 Shelton Ave,1,New Haven,United States,06511,CT,belito@belitogarcia.com,,Domestic,2022-11-04,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.0700000,,United States,All Other Business Support Services (561499),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Defy Mortgage, LLC",LLC,Active,Annual report due,2653385,2023-03-31,2022-10-28,4101 Charlotte Ave,STE F186,Nashville,United States,37209-4066,TN,admin@defycapgroup.com,"Defy Mortgage, LLC",Foreign,2022-11-04,TENNESSEE,TENNESSEE,False,False,False,False,False,2022-12-13 00:18:20.3133333,,,Mortgage and Nonmortgage Loan Brokers (522310),,,,"4101 Charlotte Ave, STE F186, Nashville, TN, 37209-4066, United States",4101 Charlotte Ave,Nashville,TN,37209-4066,United States,"4101 Charlotte Ave, STE F186, Nashville, TN, 37209-4066, United States",4101 Charlotte Ave,Nashville,TN,37209-4066,United States,STE F186,STE F186,,,,,,,,,,
"100 mile reit, inc.",Stock,Active,Annual report due,2654822,2023-11-04,2022-09-01,50 Sylvan Ave,,Englewood Cliffs,United States,07632-1543,NJ,ddorio@gllawgroup.com,"100 mile reit, inc.",Foreign,2022-11-04,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:21.7266667,,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
