name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,sub_status,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,country_formation,naics_sub_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
DANBURY RETAIL LLC,LLC,Active,1281459,2022-03-31,"C/O THE GROSSMAN COMPANIES, INC. ONE ADAMS PLACE 859 WILLARD ST., STE. 501",QUINCY,United States,02169,MA,trish@grossmanco.com,Domestic,2018-08-08,MA,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:24.4633333,,,,,,531390.0,,,,,,,,,,,,,,,,,,,
SEASIDE LIQUORS 2018 LLC,LLC,Active,1281462,2019-03-31,127 QUINCEY DRIVE,BRIDGEPORT,,06606,CT,,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
MOSIE LLC,LLC,Active,1281463,2020-03-31,270 BLOOMFIELD AVE 270 BLOOMFIELD AVE,WEST HARTFORD,,06117,CT,ABRODY@GMU.EDU,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"BYRAM HEIGHTS, LLC",LLC,Active,1281464,2019-03-31,33 TALBOT LN. APT. 15,GREENWICH,,06830,CT,KAP3315@YAHOO.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"KB PHARMA CONSULTING, LLC",LLC,Active,1281465,2020-03-31,12 WILLOW DRIVE,MYSTIC,,06355,CT,MCLUREKF@COMCAST.NET,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"CROSS CURRENT INSURANCE GROUP, LLC",LLC,Active,1281466,2022-03-31,135 SOUTH RD.,FARMINGTON,United States,06032,CT,augusto@insuranceprovidergroup.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:08:24.4933333,,,,,,,,,,,,,,,,,,,,,,,,,
"AEROSTAT PROMOTIONS, LLC",LLC,Active,1281467,2022-03-31,14 CONCORD DRIVE,EAST GRANBY,United States,06026,CT,cbailey@cbaileycpa.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),2021-11-10 00:08:24.4933333,,,,,,,,,,,,,,,,,,,,,,,,,
33 SOUTH VIEW LLC,LLC,Active,1281468,2021-03-31,304 W. MAIN ST SUITE 1005,AVON,United States,06001,CT,crdetail1@yahoo.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:24.4933333,Annual report past due,,,,,531110.0,,,,,,,,,,,,,,,,,,,
NEW ENGLAND LOW T CENTER LLC,LLC,Active,1281469,2022-03-31,"1499 POST ROAD, SUITE 21",FAIRFIELD,United States,06824,CT,anthony@nelowt.com,Domestic,2018-08-08,CT,Connecticut,False,False,True,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:08:24.4933333,,,,,,621399.0,,,,,,,,,,,,,,,,,,,
RANGEL RODRIGUES LLC,LLC,Active,1281470,2019-03-31,1548 HIGHLAND AVE APT 16,WATERBURY,,06708,CT,ONEOAKAGENCY@YAHOO.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"C.I.E. TOURS INTERNATIONAL, INC.",Stock,Active,1281471,2022-08-08,10 PARK PL STE 510,MORRISTOWN,United States,07962,NJ,n.hillmer@cietours.com,Foreign,2018-08-08,NY,NY,False,False,False,False,False,Tour Operators (561520),2021-11-10 00:08:24.4933333,,,2018-01-29,"C.I.E. TOURS INTERNATIONAL, INC.",United States,561520.0,,,,,,,,,,,,,,,,,,,
SAB MECHANICAL LLC,LLC,Active,1281472,2019-03-31,8 PEGASUS DR.,TINTON FALLS,,07724,NJ,SABMECH@AOL.COM,Foreign,2018-08-08,NJ,NJ,False,False,False,False,False,,2021-11-10 00:08:24.4933333,Ready for dissolution,Failure to file Annual Report,2018-01-01,SAB MECHANICAL LLC,,,,,,,,,,,,,,,,,,,,,
1LUVLLC,LLC,Active,1281473,2022-03-31,300 BROADBRIDGE RD,BRIDGEPORT,United States,06610,CT,1luvct20@gmail.com,Domestic,2018-08-08,CT,Connecticut,False,False,True,False,False,Caterers (722320),2021-11-10 00:08:24.4933333,,,,,,722320.0,,,,,,,,,,,,,,,,,,,
"KOVERAGE CAPITAL, LLC",LLC,Active,1281474,2021-03-31,657 ENFIELD STREET,ENFIELD,United States,06082,CT,brianshea@koveragegroup.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),2021-11-10 00:08:24.4933333,Annual report past due,,,,,551112.0,,,,,,,,,,,,,,,,,,,
"PURSUIT CONSTRUCTION, LLC",LLC,Active,1281475,2022-03-31,"46 PLAINS RD., SUITE 20",ESSEX,United States,06426,CT,tertel@pursuitconstruction.com,Domestic,2018-08-08,CT,Connecticut,True,False,True,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:08:24.4933333,,,,,,238350.0,,,,,,,,,,,,,,,,,,,
"SONI BIOPHARMA CONSULTING, LLC",LLC,Active,1281476,2022-03-31,148 LONG WHARF RD,MYSTIC,United States,06355,CT,pareshsoni5@gmail.com,Domestic,2018-08-08,CT,Connecticut,False,False,True,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),2021-11-10 00:08:24.4933333,,,,,,541714.0,,,,,,,,,,,,,,,,,,,
NORTHERN LITHO IV LLC,LLC,Active,1281478,2022-03-31,9010 STRADA STELL CT. #103,NAPLES,United States,34109,FL,andrea@northernlitho.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),2021-11-10 00:08:24.4933333,,,2018-07-01,NORTHERN LITHO IV LLC,United States,621999.0,"9010 STRADA STELL CT 103  9010 STRADA STELL CT 103, NAPLES, FL, 34109, United States",9010 STRADA STELL CT 103  9010 STRADA STELL CT 103,NAPLES,FL,34109,United States,"1675 SOUTH STATE ST STE B, DOVER, DE, 19901, United States",1675 SOUTH STATE ST STE B,DOVER,DE,19901,United States,,,,,,,
"ANTONINO GROTON, LLC",LLC,Active,1281479,2022-03-31,425 GOLD STAR HWY.,GROTON,United States,06340,CT,bbeeney@antoninoautogroup.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:08:25.3833333,,,,,,531190.0,,,,,,,,,,,,,,,,,,,
PARK SQUARE WEST DE 1 LLC,LLC,Active,1281482,2022-03-31,101 CHASE AVE SUITE 401,LAKEWOOD,United States,08701,NJ,dwerner@ajhco.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.3833333,,,2018-08-03,PARK SQUARE WEST DE 1 LLC,United States,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
PARK SQUARE WEST DE 2 LLC,LLC,Active,1281484,2022-03-31,101 CHASE AVE SUITE 401,LAKEWOOD,United States,08701,NJ,dwerner@ajhco.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.3833333,,,2018-08-03,PARK SQUARE WEST DE 2 LLC,United States,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
"EASTPOINTE GP OP MEMBER, LLC",LLC,Active,1281485,2022-03-31,40 REEF RD.,FAIRFIELD,United States,06824,CT,Margaret@rgbuilders.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,New Multifamily Housing Construction (except For-Sale Builders) (236116),2021-11-10 00:08:25.3833333,,,,,,,,,,,,,,,,,,,,,,,,,
PARK SQUARE WEST DE 3 LLC,LLC,Active,1281486,2022-03-31,101 CHASE AVE SUITE 401,LAKEWOOD,United States,08701,NJ,dwerner@ajhco.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.3833333,,,2018-08-03,PARK SQUARE WEST DE 3 LLC,United States,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805,",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,,"1013 CENTRE ROAD SUITE 403-B, WILMINGTON, DE, 19805, United States",1013 CENTRE ROAD SUITE 403-B,WILMINGTON,DE,19805,United States,,,,,,,
"FAIR WEATHER EQUIPMENT, LLC",LLC,Active,1281490,2022-03-31,159 SUNNY VALLEY RD,NEW MILFORD,United States,06776,CT,fairweatherequip@yahoo.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Logging (113310),2021-11-10 00:08:25.3833333,,,,,,,,,,,,,,,,,,,,,,,,,
"MILURMA, LLC",LLC,Dissolved,1281493,2021-03-31,5 SPICER COURT,WESTPORT,United States,06880,CT,luis@cattan.name,Domestic,2018-08-08,CT,Connecticut,False,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:25.3833333,,,,,,531110.0,,,,,,,,,,,,,,2021-02-01T00:00:00.000,,,,,
PARTY ON LLC,LLC,Active,1281494,2020-03-31,205 SHARON VALLEY RD,SHARON,United States,06069,CT,PARTY-ON@OUTLOOK.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.3833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
CCP ENTERPRISES LLC,LLC,Active,1281495,2019-03-31,2620 CHICORY LN,PALMDALE,,93551,CA,CLAUDINEPHAIRE@GMAIL.COM,Domestic,2018-08-08,CA,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4000000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
SS GREENWICH HOLDINGS LLC,LLC,Active,1281496,2019-03-31,15 EAST PUTNAM AVENUE,GREENWHICH,,06830,CT,SSGREENWICHHOLDINGS@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4000000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
VARLLO GROUP LLC,LLC,Active,1281497,2022-03-31,48 MELODY CT,FAIRFIELD,United States,06824,CT,varllogroup@gmail.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.4000000,,,,,,531390.0,,,,,,,,,,,,,,,,,,,
PRESTON AUTOMOTIVE LLC,LLC,Active,1281498,2019-03-31,7211 TOWN RIDGE,MIDDLETOWN,,06457,CT,LEVILTP@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"DELANCEY AIR, LLC",LLC,Active,1281502,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:08:25.4300000,,,2018-08-08,"DELANCEY AIR, LLC",United States,522220.0,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,,,,,,,
TENOVA INC.,Stock,Active,1281503,2021-08-08,100 CORPORATE CENTER DRIVE,CORAOPOLIS,United States,15108,PA,Jim.gaghan@tenova.com,Foreign,2018-08-08,PA,PA,False,False,False,False,False,Engineering Services (541330),2021-11-10 00:08:25.4300000,Annual report past due,,2017-01-01,TENOVA INC.,United States,,,,,,,,,,,,,,,,,,,,
"GRAMERCY AIR, LLC",LLC,Active,1281504,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:08:25.4300000,,,2018-08-08,"GRAMERCY AIR, LLC",United States,522220.0,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,,,,,,,
"ASCENDANT UNDERWRITERS, LLC",LLC,Active,1281505,2022-03-31,2199 PONCE DE LEON BLVD. SUITE 500,CORAL GABLES,United States,33134,FL,mwellman@ascendantgroup.com,Foreign,2018-08-08,FL,FL,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:08:25.4300000,,,2018-09-01,"ASCENDANT UNDERWRITERS, LLC",United States,524210.0,"2199 PONCE DE LEON BLVD. SUITE 500, CORAL GABLES, FL, 33134,",2199 PONCE DE LEON BLVD. SUITE 500,CORAL GABLES,FL,33134,,"2199 PONCE DE LEON BLVD. SUITE 500, CORAL GABLES, FL, 33134, United States",2199 PONCE DE LEON BLVD. SUITE 500,CORAL GABLES,FL,33134,United States,,,,,,,
"MULBERRY AIR, LLC",LLC,Active,1281506,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:08:25.4300000,,,2018-08-08,"MULBERRY AIR, LLC",United States,522220.0,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,,,,,,,,
"SERRANTINO LAW, LLC",LLC,Active,1281507,2022-03-31,955 SOUTH MAIN STREET SUITE A3,MIDDLETOWN,United States,06457,CT,jrs@serrantinolaw.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),2021-11-10 00:08:25.4300000,,,,,,541110.0,,,,,,,,,,,,,,,,,,,
48 RICHLAND RD LLC,LLC,Active,1281508,2022-03-31,"40 W. ELM STREET, 1D",GREENWICH,United States,06830,CT,dftllc1@gmail.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.4300000,,,2018-08-08,48 RICHLAND RD LLC,United States,531390.0,"40 W. ELM STREET, 1K, GREENWICH, DE, 06830, United States","40 W. ELM STREET, 1K",GREENWICH,DE,06830,United States,"40 W. ELM ST., 1D, GREENWICH, DE, 06830, United States","40 W. ELM ST., 1D",GREENWICH,DE,06830,United States,,,,,,,
"BAYFRONT, LLC",LLC,Active,1281509,2019-03-31,2 SOUTH ROAD,NIANTIC,,06357,CT,BOHARAJ@THELEECO.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
CRAFT BEER INSIGHTS LLC,LLC,Active,1281513,2019-03-31,60 NORTH MEADOWS LANE,STAMFORD,,06903,CT,CURT@CRAFTBEERINSIGHTS.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
STORMALONG CIDER LLC,LLC,Active,1281514,2019-03-31,12 SEWALL BROOK LANE,SHERBORN,,01770,MA,SHANNON@STORMALONG.COM,Foreign,2018-08-08,MA,MA,False,False,False,False,False,,2021-11-10 00:08:25.4300000,Ready for dissolution,Failure to file Annual Report,2018-08-10,STORMALONG CIDER LLC,,,"12 SEWALL BROOK LANE, SHERBORN, MA, 01770,",12 SEWALL BROOK LANE,SHERBORN,MA,01770,,"12 SEWALL BROOK LANE, SHERBORN, MA, 01770,",12 SEWALL BROOK LANE,SHERBORN,MA,01770,,,,,,,,
AMPLIFY RESOURCES GROUP LLC,LLC,Active,1281515,2019-03-31,30 BRAINTREE HILL OFFICE PK SUITE 203,BRAINTREE,,02184,MA,CJW0717@HOTMAIL.COM,Foreign,2018-08-08,MA,MA,False,False,False,False,False,,2021-11-10 00:08:25.4300000,Ready for dissolution,Failure to file Annual Report,2018-08-13,AMPLIFY RESOURCES GROUP LLC,,,"30 BRAINTREE HILL OFFICE PK SUITE 203, BRAINTREE, MA, 02184,",30 BRAINTREE HILL OFFICE PK SUITE 203,BRAINTREE,MA,02184,,"30 BRAINTREE HILL OFFICE PK SUITE 203, BRAINTREE, MA, 02184,",30 BRAINTREE HILL OFFICE PK SUITE 203,BRAINTREE,MA,02184,,,,,,,,
MAO FACIAL PLASTIC SURGERY PC,Stock,Active,1281516,2020-08-08,No information provided,,,,,DRJOHNNYMAO@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4300000,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,1000.0,,,,,,
MILLS EQUIPMENT COMPANY LLC,LLC,Active,1281517,2022-03-31,57 EDGEWOOD DRIVE,SOUTH WINDSOR,United States,06074,CT,millsequipmentcollc@protonmail.com,Domestic,2018-08-08,CT,Connecticut,False,True,False,True,False,Home and Garden Equipment Repair and Maintenance (811411),2021-11-10 00:08:25.4300000,,,,,,811411.0,,,,,,,,,,,,,,,,,,,
DMC CLEANING SERVICE LLC,LLC,Active,1281518,2019-03-31,122 BIRCH ST,MANCHESTER,,06040,CT,CLDTRAVEL@COMCAST.NET,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
8 MADDOX LLC,LLC,Active,1281519,2019-03-31,35 PEAK AVE,STRATFORD,,06460,CT,TUNA@BOARDWALKMARINACT.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"ENLIGHTENED BILLING SOLUTIONS, LLC",LLC,Active,1281521,2021-03-31,43 CHAPEL STREET,BRISTOL,United States,06010,CT,katebouch@gmail.com,Domestic,2018-08-08,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:08:25.4633333,Annual report past due,,,,,541990.0,,,,,,,,,,,,,,,,,,,
"R&R BEACH HOUSE, LLC",LLC,Active,1281523,2022-03-31,530 SILAS DEANE HIGHWAY,WETHERSFIELD,United States,06109,CT,rpshopper@aol.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:25.4633333,,,,,,531390.0,,,,,,,,,,,,,,,,,,,
"4 IN THE BOX, LLC",LLC,Active,1281524,2020-03-31,"ONE RESERVOIR CORPORATE CENTER 4 RESEARCH DR, SUITE 402",SHELTON,United States,06484,CT,ANNA@4INTHEBOX.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"GJC AIRCRAFT SPV 8, LLC",LLC,Active,1281527,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-08-08,DE,DE,False,False,False,False,False,Sales Financing (522220),2021-11-10 00:08:25.4633333,,,2018-08-08,"GJC AIRCRAFT SPV 8, LLC",United States,522220.0,"2500 NORTH MILITARY TRAIL SUITE 475, DANBURY, FL, 33431,",2500 NORTH MILITARY TRAIL SUITE 475,DANBURY,FL,33431,,"2500 NORTH MILITARY TRAIL SUITE 475, DANBURY, FL, 33431,",2500 NORTH MILITARY TRAIL SUITE 475,DANBURY,FL,33431,,,,,,,,
50 HEMLOCK STREET LLC,LLC,Active,1281528,2019-03-31,663 BROADVIEW ROAD,ORANGE,,06477,CT,K.SPILLANE70@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:25.4633333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
C&M LOGISTICS LLC,LLC,Active,1281560,2022-03-31,72 GEISSLER DRIVE,SHELTON,United States,06484,CT,cmlogistics133@gmail.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:08:26.0866667,,,,,,484110.0,,,,,,,,,,,,,,,,,,,
MT ELECTRIC LLC,LLC,Active,1281661,2021-03-31,740 NORTH RIVER RD,COVENTRY,United States,06238,CT,mtelectricalllc@gmail.com,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:08:26.6800000,Annual report past due,,,,,238210.0,,,,,,,,,,,,,,,,,,,
"ANIMAL SURPRISE, LLC",LLC,Dissolved,1281403,2019-03-31,15 REGENT RD 15 REGENT RD,WARWICK,,02886,RI,D.DIIORIO@AOL.COM,Domestic,2018-08-08,RI,Connecticut,False,False,False,False,False,,2021-11-10 00:06:24.9300000,,,,,,,,,,,,,,,,,,,,2019-07-24T00:00:00.000,,,,,
ONLY THE BEST DRYCLEANER'S LLC,LLC,Dissolved,1281460,2021-03-31,10 BOSTON AVE,STRATFORD,United States,06614,CT,CZUNIGA@ROHUER.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:04:21.6233333,,,,,,,,,,,,,,,,,,,,2020-02-27T00:00:00.000,,,,,
NORTH CANAAN TRADING POST LLC,LLC,Dissolved,1281409,2019-03-31,21 A RAILROAD ST,NORTH CANAAN,,06018,CT,NORTHCANAANTRADINGPOST@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:20.3100000,,,,,,,,,,,,,,,,,,,,2019-07-25T00:00:00.000,,,,,
NON ZERO CHANCE INC.,Stock,Dissolved,1281393,,No information provided,,,,,,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:26.3100000,,,,,,,,,,,,,,,,,,,1000.0,2019-01-23T00:00:00.000,,,,,
EXCELLIGENT LLC,LLC,Dissolved,1281461,2019-03-31,26 RIVER RD. 26 RIVER RD.,CLINTON,,06413,CT,RACHEL@EXCELLIGENT.IO,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:21.5433333,,,,,,,,,,,,,,,,,,,,2018-12-31T00:00:00.000,,,,,
BH 230 LLC,LLC,Dissolved,1281432,2020-03-31,433 SOUTH MAIN SUITE 328,WEST HARTFORD,United States,06110,CT,MARIANN@F8PROPERTIES.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:29.0600000,,,,,,,,,,,,,,,,,,,,2019-12-30T00:00:00.000,,,,,
"ATA TRUCKING COMPANY, INC.",Stock,Dissolved,1281394,,No information provided,,,,,,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:33.2633333,,,,,,,,,,,,,,,,,,,10000.0,2019-08-19T00:00:00.000,,,,,
APPEALING MARKETING LLC,LLC,Dissolved,1281438,2019-03-31,323 HARLAND RD,NORWICH,,06360,CT,SDURLING@COMCAST.NET,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:32.6566667,,,,,,,,,,,,,,,,,,,,2019-09-24T00:00:00.000,,,,,
BRISTOL TAI-CHI CLUB INC.,Non-Stock,Dissolved,1281396,,No information provided,,,,,,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:37.1400000,,,,,,,,,,,,,,,,,,,,2019-03-14T00:00:00.000,,,,,
VETRACOM MEDIA LLC,LLC,Dissolved,1281455,2019-03-31,128 DAVID DR.,COVENTRY,,06238,CT,,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:21.1100000,,,,,,,,,,,,,,,,,,,,2020-03-02T00:00:00.000,,,,,
SWEET GEORGE LLC,LLC,Dissolved,1281520,2020-03-31,301 COLD SPRING ROAD,ROCKY HILL,United States,,CT,ADAORACOBB@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:29.4700000,,,,,,,,,,,,,,,,,,,,2019-07-02T00:00:00.000,,,,,
LOVEBEINGMARIS LLC,LLC,Dissolved,1281400,2020-03-31,"10 CLAPBOARD RIDGE ROAD,  # 43C",DANBURY,United States,06811,CT,LOVEBEINGMARIS@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:25.0800000,,,,,,,,,,,,,,,,,,,,2020-03-10T00:00:00.000,,,,,
D & S HOME IMPROVEMENTS LLC,LLC,Dissolved,1281511,2019-03-31,855 NORTH BROOKSVALE ROAD,CHESHIRE,,06410,CT,XSHUAIBX@YAHOO.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:34.7866667,,,,,,,,,,,,,,,,,,,,2020-07-17T00:00:00.000,,,,,
RAGE FITNESS APPAREL LLC,LLC,Dissolved,1281512,2019-03-31,11 ROSEWOOD LANE 11 ROSEWOOD LANE,IVORYTON,,06442,CT,RAGEFITNESSAPPAREL@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:25.0333333,,,,,,,,,,,,,,,,,,,,2019-03-18T00:00:00.000,,,,,
FICO 700 CLUB L.L.C.,LLC,Dissolved,1281428,2019-03-31,900 MIX AVE APT 18,HAMDEN,,06514,CT,PEACEMGMT@GMAIL.COM,Domestic,2018-08-08,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:28.7100000,,,,,,,,,,,,,,,,,,,,2019-03-26T00:00:00.000,,,,,
