name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billing_unit,billingcountry,business_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,date_of_organization_meeting
GLADSTONE SAILING SERVICES LLC,LLC,Active,Ready for dissolution,1275799,2020-03-31,22 MAGNOLIA DR,MADISON,06443,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6066667,,United States,BILL.GLADSTONE@SNET.NET,,,,,,,,,,,,,,,,,,,,,
"CARTER LUMBER, INC. (INDIANA CORP)",Stock,Active,,1275800,2022-06-11,601 TALLMADGE RD,KENT,44240,OH,Foreign,2018-06-11,IN,IN,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,Compliancemail@cscinfo.com,,2018-01-01,CARTER LUMBER INC,United States,,,,,,,Hardware Stores (444130),444130.0,,,,,,,,,
OLD TOWER LLC,LLC,Active,,1275801,2022-03-31,NONE,,,,Domestic,2018-06-11,,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,,tonckens@aol.com,,,,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,
TIMCO LLC,LLC,Dissolved,,1275803,2022-03-31,136 HAVILAND ROAD,STAMFORD,06903,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,esref@cezzar.net,,,,,,,,,,,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,,,,,,,2021-05-27T00:00:00.000,,
"RGD SOLUTIONS, LLC",LLC,Active,,1275804,2022-03-31,15 JERICHO DRIVE,OLD LYME,06371,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,russell@rgdsolutions.net,,,,,,,,,,,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",541715.0,,,,,,,,,
"STEPHANIE DESSI KILEY, OCCUPATIONAL THERAPY, P.C.",Stock,Active,,1275809,2022-06-11,233 STAMFORD AVE,STAMFORD,06902,CT,Foreign,2018-06-11,NY,NY,True,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,sdkiley@gmail.com,,2017-09-01,"STEPHANIE DESSI KILEY, OCCUPATIONAL THERAPY, P.C.",United States,,,,,,,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,,,,,,,,,
"IZC INSURANCE AGENCY, LLC",LLC,Active,,1275810,2022-03-31,13015 UPPER MEADOW LANE,MILTON,30004,GA,Foreign,2018-06-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,nschreier@accelcompliance.com,,2018-07-01,"IZC INSURANCE AGENCY, LLC",United States,"435 DEVON PARK DRIVE, SUITE 500, WAYNE, PA, 19087,","435 DEVON PARK DRIVE, SUITE 500",WAYNE,PA,19087,,Insurance Agencies and Brokerages (524210),524210.0,"919 NORTH MARKET STREET SUITE 950, WILMINGTON, DE, 19801, United States",919 NORTH MARKET STREET SUITE 950,WILMINGTON,DE,19801,United States,,,
ROW MONTE LLC,LLC,Dissolved,,1275811,2021-03-31,7 CRICKLEWOOD RD,REDDING,06896,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6066667,,United States,EFILE1234@INCFILE.COM,,,,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,2021-03-30T00:00:00.000,,
HILLIKER INSTALLS & WOODWORKING LLC,LLC,Active,Ready for dissolution,1275812,2019-03-31,57 OLD FARMS RD,SOUTHINGTON,06489,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,
CEDARWOODPRO LLC,LLC,Active,Ready for dissolution,1275813,2019-03-31,19 CEDAR RD,BETHANY,06524,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,
"MJ&S, LLC",LLC,Active,Ready for dissolution,1275815,2019-03-31,252 WINTHROP AVENUE,NEW HAVEN,06511,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,,,TREFFERS@SBCGLOBAL.NET,,,,,,,,,,,,,,,,,,,,,
WELLSTONE COUNSELING PLLC,LLC,Active,Annual report past due,1275816,2021-03-31,40 CHURCH STREET,MOOSUP,06354,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,EFILE1234@INCFILE.COM,,,,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,
BFYTBODY LLC,LLC,Active,Ready for dissolution,1275818,2019-03-31,36 AMELIA PLACE,STAMFORD,06902,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,,,JNM@BFYTBODY.COM,,,,,,,,,,,,,,,,,,,,,
"STYLE AND GRACE, LLC",LLC,Active,Ready for dissolution,1275820,2020-03-31,101 FRANKLIN ST 4R,WESTPORT,06880,CT,Foreign,2018-06-11,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6366667,,United States,PARIS@PARISGORDON.COM,,2017-06-15,"STYLE AND GRACE, LLC",United States,"300 DELAWARE AVE SUITE 210A, WILMINGTON, DE, 19801,",300 DELAWARE AVE SUITE 210A,WILMINGTON,DE,19801,,,,"300 DELAWARE AVE SUITE 210A, WILMINGTON, DE, 19801, United States",300 DELAWARE AVE SUITE 210A,WILMINGTON,DE,19801,United States,,,
INTEGRATIVE ALCHEMY LLC,LLC,Active,,1275821,2022-03-31,652 BOSTON POST RD #8,GUILFORD,06437,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,angel_i_se@yahoo.com,,,,,,,,,,,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,
"330 SOUTH MAIN, LLC",LLC,Active,,1275824,2022-03-31,10 VISTA COURT,PLEASANTVILLE,10570,NY,Domestic,2018-06-11,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,mgervais@flpaccountingandtax.com,,,,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,
TRX TRUCKING LLC,LLC,Active,,1275826,2022-03-31,3 SEIR HILL RD 6A,NORWALK,06850,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,trxtrucking2018@gmail.com,,,,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,
BOLIVAR CAPITAL 4 LLC,LLC,Active,,1275829,2022-03-31,"2 TRAP FALLS ROAD, SUITE 312",SHELTON,06484,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,jjordan@northeastpcg.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
95-3 FAIRVIEW DR DANBURY CT LLC,LLC,Active,,1275832,2022-03-31,53 SEASIDE AVE UNIT 5,STAMFORD,06902,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,luomstella@gmail.com,,,,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,
"EDM ARCHITECTURE & ENGINEERING, P.C.",Stock,Active,,1275836,2022-06-11,100 WEST STREET STE 210,PITTSFIELD,01201,MA,Foreign,2018-06-11,MA,MA,False,False,False,False,False,,2021-11-10 00:10:25.6366667,,United States,jineson@edm-ae.com,,2018-06-06,"EDM ARCHITECTURE & ENGINEERING, P.C.",United States,,,,,,,Architectural Services (541310),541310.0,,,,,,,,,
ALEX T LLC,LLC,Active,,1275839,2022-03-31,524 S FLAT HILL ROAD,SOUTHBURY,06488,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,mtnebord@gmail.com,,,,,,,,,,,Landscaping Services (561730),,,,,,,,,,
JIMZO MANAGEMENT - MILLDALE LLC,LLC,Active,,1275840,2022-03-31,1896 MERIDEN WATERBURY TURNPIKE,MILLDALE,06467,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,jimzomilldale@gmail.com,,,,,,,,,,,Business Associations (813910),813910.0,,,,,,,,,
EDWIN SWEENEY LLC,LLC,Active,,1275841,2022-03-31,205 MAIN STREET #25,NEW CANAAN,06840,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,edwinjsweeney@gmail.com,,,,,,,,,,,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,
"ADAMS CONSTRUCTION AND IMPROVEMENTS, LLC",LLC,Active,Ready for dissolution,1275842,2020-03-31,1030 ROUTE 163,OAKDALE,06360,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,NTMIKEE7@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
"OG TRANSPORT, LLC",LLC,Active,,1275843,2022-03-31,61 CHRISTIANA DRIVE,ROCKY HILL,06067,CT,Domestic,2018-06-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:26.1666667,,United States,soygaldamez06@yahoo.com,,,,,,,,,,,"General Freight Trucking, Local (484110)",484110.0,,,,,,,,,
JIMZO MANAGEMENT - PROSPECT LLC,LLC,Active,,1275844,2022-03-31,2 NEW HAVEN ROAD,PROSPECT,06712,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,JIMZOPROSPECT@GMAIL.COM,,,,,,,,,,,Business Associations (813910),813910.0,,,,,,,,,
"FAIR SERVICING, LLC",LLC,Active,,1275846,2022-03-31,8665 WILSHIRE BLVD. STE. 412,BEVERLY HILLS,90211,CA,Foreign,2018-06-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,,2018-07-01,"FAIR SERVICING, LLC",United States,"1540 2ND STREET SUITE 200, SANTA MONICA, CA, 90401, United States",1540 2ND STREET SUITE 200,SANTA MONICA,CA,90401,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,"1540 2ND STREET SUITE 200, SANTA MONICA, CA, 90401, United States",1540 2ND STREET SUITE 200,SANTA MONICA,CA,90401,United States,,,
COLONIAL DISCOUNT FUNERALS LLC,LLC,Active,Ready for dissolution,1275847,2019-03-31,138 COUNTRY HILLS ROAD,HAMDEN,06513,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,TREFFERS@SBCGLOBAL.NET,,,,,,,,,,,,,,,,,,,,,
"SKYGATE CT 100, LLC",LLC,Active,Ready for dissolution,1275848,2019-03-31,320 PARK AVENUE STE 2210,NEW YORK,10022,NY,Domestic,2018-06-11,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,MEGAN@AMEREVISION.COM,,,,,,,,,,,,,,,,,,,,,
"THE CHESTNUT LEADERSHIP ACADEMY, LLC",LLC,Active,Ready for dissolution,1275849,2019-03-31,"15 PLATT STREET, APT. 2",NORWALK,06855,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,NYDYA@MSN.COM,,,,,,,,,,,,,,,,,,,,,
PJ STAIRS LLC,LLC,Active,Ready for dissolution,1275850,2019-03-31,10 OHIO AVE,BRIDGEPORT,06610,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,AMELIASERVICES@LIVE.COM,,,,,,,,,,,,,,,,,,,,,
"METRO SIDECAR, LLC",LLC,Active,,1275851,2022-03-31,6 EXECUTIVE DRIVE,FARMINGTON,06032,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,RIDLEMAN@METRO-REALTY.COM,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
METZKER CONSULTING LLC,LLC,Active,Ready for dissolution,1275852,2019-03-31,542 HOPMEADOW ST #126,SIMSBURY,06070,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,FILINGS@NORTHWESTREGISTEREDAGENT.COM,,,,,,,,,,,,,,,,,,,,,
TITAN CONTRACTOR & LANDSCAPING LLC,LLC,Active,,1275853,2022-03-31,23 BARBERRY LANE,MERIDEN,06451,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,jegerfranorge@gmail.com,,,,,,,,,,,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,
EXECUTIVE ROOFING SYSTEMS INC,Stock,Active,Ready for dissolution,1275854,2019-06-11,2 KING ARTHUR COURT SUITE 8,N BRUNSWICK,07751,NJ,Foreign,2018-06-11,NJ,NJ,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.1666667,,,DSHEELAR@SANTYE.COM,,2018-08-01,EXECUTIVE ROOFING SYSTEMS INC,,,,,,,,,,,,,,,,,,
WARBY PARKER INC.,Stock,Active,,1275855,2022-06-11,161 AVENUE OF THE AMERICAS SUITE 601,NEW YORK,10013,NY,Foreign,2018-06-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:26.1666667,,United States,Compliancemail@cscinfo.com,,2018-07-12,"JAND, INC.",United States,,,,,,,Optical Goods Stores (446130),446130.0,,,,,,,,,
JDC CARPENTRY AND HANDYMAN SERVICES LLC,LLC,Active,Ready for dissolution,1275857,2019-03-31,129 WELLSVILLE AVE APT 2,NEW MILFORD,06776,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,FLAVIA@MIRANTEAGENCY.COM,,,,,,,,,,,,,,,,,,,,,
SHORELINE TENTS & EVENTS LLC,LLC,Active,Ready for dissolution,1275858,2019-03-31,15 BOSTON POST RD,MADISON,06443,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,GUILFORDRENTAL@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
GUARDIAN REALTY CENTER LLC,LLC,Active,Ready for dissolution,1275861,2019-03-31,"935 S. LAKE BLVD., UNIT #4",MAHOPAC,10541,NY,Foreign,2018-06-11,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,BROKER4HOMES@AOL.COM,,2018-06-11,GUARDIAN REALTY CENTER LLC,,"935 S. LAKE BLVD., UNIT #4, MAHOPAC, NY, 10541,","935 S. LAKE BLVD., UNIT #4",MAHOPAC,NY,10541,,,,"935 S. LAKE BLVD., UNIT #4, MAHOPAC, NY, 10541,","935 S. LAKE BLVD., UNIT #4",MAHOPAC,NY,10541,,,,
TONEBANK INCORPORATED,Non-Stock,Active,Ready for dissolution,1275862,2020-06-11,18 LIGHTHOUSE HILL ROAD,WINDSOR,06095,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,tonebankusa@gmail.com,,,,,,,,,,,,,,,,,,,,,
CARISSA J BERNARD LLC,LLC,Active,Ready for dissolution,1275864,2019-03-31,116 BRETTON RD,MANCHESTER,06042,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,MASTERPIECECHRONICLESBLOG@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
40 SALT ACRES LLC,LLC,Active,,1275866,2022-03-31,40 Salt Acres Road,Stonington,06378,CT,Domestic,2018-06-11,CA,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,United States,MELANIECAVA@GMAIL.COM,,,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,lpillmear@sswbgg.com,
JTWIN BUILDERS CORP,Non-Stock,Active,First report past due,1275868,2020-06-11,No information provided,,,,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:10:22.9800000,,,CASEY.DECK1@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
MDT INDUSTRIES LLC,LLC,Active,,1275869,2022-03-31,400 LONG BEACH BLVD,STRATFORD,06615,CT,Foreign,2018-06-11,NY,NY,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,mm@metronycpa.com,,2018-08-01,MDT INDUSTRIES LLC,United States,"19 LIONEL PASSAGE, MONROE, NY, 10950,",19 LIONEL PASSAGE,MONROE,NY,10950,,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,"19 LIONEL PASSAGE, MONROE, NY, 10950, United States",19 LIONEL PASSAGE,MONROE,NY,10950,United States,,,
9 CENTER STREET LLC,LLC,Active,,1275870,2022-03-31,96 EAST MOUNTAIN RD,CANTON,06019,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,edward.sposito01@att.net,,,,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,
RUBY LLC,LLC,Active,Ready for dissolution,1275871,2019-03-31,28 REUSSNER RD,SOUTHINGTON,06489,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:22.9800000,,,SARAHJBRAYFIELD@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
MIMI DRAGONE LLC,LLC,Active,Annual report past due,1275872,2021-03-31,313 SOUTH GEORGES HILL ROAD,SOUTHBURY,06488,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,carmandragone@gmail.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
"FAIR RIDESHARE SERVICING, LLC",LLC,Active,,1275874,2022-03-31,8665 WILSHIRE BLVD. STE. 412,BEVERLY HILLS,90211,CA,Foreign,2018-06-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,,2018-07-01,"FAIR RIDESHARE SERVICING, LLC",United States,"1540 2ND STREET SUITE 200, SANTA MONICA, CA, 90401, United States",1540 2ND STREET SUITE 200,SANTA MONICA,CA,90401,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,"1540 2ND STREET SUITE 200, SANTA MONICA, CA, 90401, United States",1540 2ND STREET SUITE 200,SANTA MONICA,CA,90401,United States,,,
POWERCON ASSOCIATES LLC,LLC,Active,,1275875,2022-03-31,115 BOADWAY 5TH FLOOR,NEW YORK,10006,NY,Foreign,2018-06-11,NJ,NJ,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,lroman@powerconpts.com,,2018-07-01,POWERCON ASSOCIATES LLC,United States,"820 BEAR TAVERN ROAD, WEST TRENTON, NJ, 08628,",820 BEAR TAVERN ROAD,WEST TRENTON,NJ,08628,,Engineering Services (541330),541330.0,"820 BEAR TAVERN ROAD, WEST TRENTON, NJ, 08628, United States",820 BEAR TAVERN ROAD,WEST TRENTON,NJ,08628,United States,,,
"NDR VENTURES, LLC",LLC,Active,Annual report past due,1275876,2021-03-31,273 S MAIN ST UNIT 3,CHESHIRE,06410,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:22.9800000,,United States,nradford93@gmail.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
A CITY REMAKE LLC,LLC,Active,Annual report past due,1275877,2021-03-31,40 RICHARDS AVE 3RD FL,NORWALK,06854,CT,Domestic,2018-06-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:23.4800000,,United States,mark_wingster@yahoo.com,,,,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,
THE WHISKEY REBEL LLC,LLC,Active,Ready for dissolution,1275878,2019-03-31,173 MOREHOUSE ST,BRIDGEPORT,06605,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,AILEENKONYA@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
CODE MUSIC GROUP LLC,LLC,Active,,1275879,2022-03-31,175 CAPITAL BOULEVARD SUITE 402,ROCKY HILL,06067,CT,Domestic,2018-06-11,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:23.4800000,,United States,Mgmt@codemusicgroup.com,,,,,,,,,,,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,,,,,,,,,
VILLAGE LANE 58 LLC,LLC,Active,Ready for dissolution,1275880,2019-03-31,49 SUNRISE CIRCLE,SHELTON,06484,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,DOMINGUEZMANNY@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
ELLIS AND ELLIS CONSULTING GROUP LLC,LLC,Active,,1275881,2022-03-31,317 WEST AVE #113197,STAMFORD,06911,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,filings@swyftfilings.com,,,,,,,,,,,Other Scientific and Technical Consulting Services (541690),541690.0,,,,,,,,,
ALLIED IMPORTERS USA LTD,Stock,Active,Ready for dissolution,1275882,2019-06-11,11-43 47TH AVENUE,LONG ISLAND CITY,11101,NY,Foreign,2018-06-11,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,SHAI@ALLIEDIMPORTERS.COM,,2018-06-12,ALLIED IMPORTERS USA LTD,,,,,,,,,,,,,,,,,,
PERSONAL TOUCH AUTO CARE LLC,LLC,Active,Ready for dissolution,1275883,2019-03-31,34 TUNXIS AVE UNIT B,BLOOMFIELD,06002,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,BILALMUSID@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
SUSAN JAMES LLC,LLC,Active,Ready for dissolution,1275884,2019-03-31,6 RIVER EDGE DRIVE,SANDY HOOK,06482,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,FILING@ACS123.COM,,,,,,,,,,,,,,,,,,,,,
"UNCOMMON CONTENT, LLC",LLC,Active,,1275885,2022-03-31,109 CAYA AVENUE,WEST HARTFORD,06110,CT,Domestic,2018-06-11,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,nanprice311@gmail.com,,,,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,
"D&D FOXWOODS, LLC",LLC,Active,,1275886,2022-03-31,350 TROLLEY BLVD SUITE 902,MASHANTUCKET,06338,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,scaprara@caprara-law.com,,,,,,,,,,,Full-Service Restaurants (722511),,,,,,,,,,
FAIR FINANCIAL CORP.,Stock,Active,,1275887,2022-06-11,"8665 WILSHIRE BOULEVARD, SUITE 412 SUITE 200",BEVERLY HILLS,90211,CA,Foreign,2018-06-11,DE,DE,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,CLS-CTARMSevidence@wolterskluwer.com,,2018-07-01,FAIR FINANCIAL CORP.,United States,,,,,,,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,
ENCAPSULATE LLC,LLC,Active,,1275889,2022-03-31,400 FARMINGTON AVENUE ROOM 1841,FARMINGTON,06032,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,armin@encapsulate.bio,,,,,,,,,,,Medical Laboratories (621511),,,,,,,,,,
AGUMIK LLC,LLC,Active,Ready for dissolution,1275890,2019-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,FILINGS@REGISTEREDAGENTSINC.COM,,,,,,,,,,,,,,,,,,,,,
"MANUFACTURING PROCESS SOLUTIONS ASSOCIATES, LLC",LLC,Active,Ready for dissolution,1275891,2019-03-31,101 HIGHRIDGE ROAD,NEW BRITAIN,06053,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,SONGHAVICHEARA@COMCAST.NET,,,,,,,,,,,,,,,,,,,,,
GOODFRIENDS VETERINARY ASSOCIATES LLC,LLC,Active,,1275892,2022-03-31,339 FLANDERS ROAD - SUITE 104,EAST LYME,06333,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.4800000,,United States,mpoecpa@gmail.com,,,,,,,,,,,Veterinary Services (541940),541940.0,,,,,,,,,
"LENOX PROPERTIES, LLC",LLC,Active,,1275893,2022-03-31,2500 BLACK ROCK TURNPIKE,FAIRFIELD,06825,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,United States,MHALPY@HANNOUSH.COM,,,,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,
GRAVVY GANG RECORDS LLC,LLC,Active,Ready for dissolution,1275895,2019-03-31,288 HANSEN AVE,BRIDGEPORT,06605,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,MANAGEMENT@GRAVVYGANG.COM,,,,,,,,,,,,,,,,,,,,,
LIMITLESS CONSTRUCTION SVCS. LLC,LLC,Active,Ready for dissolution,1275896,2019-03-31,554 FERN HILL RD,BRISTOL,06010,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.4800000,,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,
DEL RAY TRENDS LLC,LLC,Active,Ready for dissolution,1275897,2020-03-31,100 GREYROCK PL 4TH FLOOR,STAMFORD,06901,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5266667,,United States,DELRAYCLOTHING@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
SHERWANI FOODS LLC,LLC,Active,Ready for dissolution,1275899,2019-03-31,17 MILDRED RD,WEST HARTFORD,06107,CT,Domestic,2018-06-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5266667,,,SHERWANIFOODS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
