name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,business_email_address,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,office_jurisdiction_3,date_of_organization_meeting
"GET IT TOGETHER, LLC",LLC,Active,Ready for dissolution,1265412,2019-03-31,125 FOXCROFT ROAD,WEST HARTFORD,06119,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8566667,,GEMMAELLE0307@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"THE HOOK, LLC",LLC,Active,Ready for dissolution,1265413,2020-03-31,23 MAILCOACH ROAD,REDDING,06896,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8566667,United States,jeffreyquinn7@gmail.com,,,,,,,,,,,,,,,,,,,,,,,
12-13 NILES LLC,LLC,Active,,1265414,2022-03-31,15315 CASTLE PARK TER,LAKEWOOD RANCH,34202,FL,Domestic,2018-03-02,FL,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8566667,United States,bobcfearon@gmail.com,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,,
"MCG WATERBURY CHERRY STREET, LLC",LLC,Active,Ready for dissolution,1265415,2020-03-31,59 FIELD STREET,TORRINGTON,06790,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8566667,United States,EUCALITTOGARY@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"220 ASSOCIATES, LLC",LLC,Active,,1265416,2022-03-31,"C/O THE HAND CENTER 195 EASTERN BOULEVARD, #200",GLASTONBURY,06033,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,cquallen@thehandcenteronline.com,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,,,,,,,,,
799 PROSPECT AVENUE LLC,LLC,Active,,1265417,2022-03-31,6 CENTRAL ROW FLOOR 4,HARTFORD,06103,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,G@FRIENDSMARKETINGINC.COM,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,
"WEST HAVEN VOICE, LLC",LLC,Active,,1265418,2022-03-31,824 BOSTON POST ROAD,WEST HAVEN,06516,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,paulab@baybrookremodelers.com,Newspaper Publishers (511110),511110.0,,,,,,,,,,,,,,,,,,,,,
"WOLF POND RUN ONE B, LLC",LLC,Active,Ready for dissolution,1265419,2019-03-31,18 PLUMTREES ROAD,DANBURY,06810,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,JBUNBLASKY@COMCAST.NET,,,,,,,,,,,,,,,,,,,,,,,
"CLAUDETTE ROBINSON-THORPE, LLC",LLC,Active,,1265420,2022-03-31,319 NORTON STREET,NEW HAVEN,06511,CT,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,Crobin7300@gmail.com,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,
"OLM STRONG FOUNDATION, INC.",Non-Stock,Active,Ready for dissolution,1265421,2020-03-02,3 MATTHEW COURT,MADISON,06443,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,United States,glallier@comcast.net,,,,,,,,,,,,,,,,,,,,,,,
"POWER UP NOW, LLC",LLC,Active,Ready for dissolution,1265422,2019-03-31,48 UNION ST STE 1C,STAMFORD,06906,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,RRDIRECT12@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,,,
"SOME OF EVERYTHING, LLC",LLC,Active,Ready for dissolution,1265423,2020-03-31,64 DEWEY AVE,MILFORD,06460,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,SOMEOFEVERYTHINGLLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
MARSHALLPALOOZA LLC,LLC,Active,Ready for dissolution,1265424,2019-03-31,6 RIDGEBURY ROAD 6 RIDGEBURY ROAD,AVON,06001,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,JMACEL@LODESTARENERGY.COM,,,,,,,,,,,,,,,,,,,,,,,
"PASCARELLI DISTRIBUTORS, LLC",LLC,Active,,1265425,2022-03-31,104 COOK HILL RD,WALLINGFORD,06492,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,Joseph.Pascarelli.PF@Gmail.com,Supermarkets and Other Grocery (except Convenience) Stores (445110),445110.0,,,,,,,,,,,,,,,,,,,,,
"CLOONYBREEN FARM, LLC",LLC,Dissolved,,1265426,2021-03-31,66 HANGDOG LANE,SOMERS,06071,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,kb@cloonybreenfarm.com,All Other Animal Production (112990),112990.0,,,,,,,,,,,,,,,,,2021-02-26T00:00:00.000,,,,
"COLOUNO, LLC",LLC,Active,Ready for dissolution,1265427,2019-03-31,169 NIANTIC RIVER ROAD,WATERFORD,06385,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,YPP7@AOL.COM,,,,,,,,,,,,,,,,,,,,,,,
CT MONARCH HOMES LLC,LLC,Active,Ready for dissolution,1265428,2019-03-31,101 LEVITA RD,LEBANON,06249,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8866667,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,,,
SHOREMEDEQUIP INC,Stock,Active,,1265432,2022-03-02,16190 Lee Rd,Fort Myers,33912-2528,FL,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.8866667,United States,vanda@shoremedequip.com,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,1000.0,,,,,,,,,,,,,,,,,,Suite 200,,
SPIRO'S PAINTING LLC,LLC,Active,Ready for dissolution,1265447,2020-03-31,16 FORDYCE COURT APT 4 16 FORDYCE COURT APT 4,NEW MILFORD,06776,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.9166667,,LILNINJACT@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"THE ARG GROUP, PLLC",LLC,Active,Ready for dissolution,1265448,2019-03-31,6122 AVALON DRIVE EAST,NEW CANAAN,06840,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.9166667,,AGOLDEN97@EARTHLINK.NET,,,,,,,,,,,,,,,,,,,,,,,
CARPE DIEM EDUCATIONAL CENTER LLC,LLC,Active,Ready for dissolution,1265451,2020-03-31,3853 MAIN ST,BRIDGEPORT,06606,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.9166667,United States,CDEC@YAHOO.COM,Child Day Care Services (624410),,,,,,,,,,,,,,,,,,,,,,
MICK OBRIEN SOCCER CAMPS LLC,LLC,Active,Ready for dissolution,1265452,2020-03-31,464 RIVERSVILLE RD,GREENWICH,06831,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.9166667,United States,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,,,
IONIC LLC,LLC,Active,,1265453,2022-03-31,26 MEG WAY,WINDSOR LOCKS,06096,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.9166667,United States,asifv@yahoo.com,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,,
MJL LAWN AND PROPERTY SERVICES LLC,LLC,Active,,1265454,2022-03-31,49 EDGERLY STREET,BERLIN,06037,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5600000,United States,mjllawnandproperty@gmail.com,Landscaping Services (561730),561730.0,,,,,,,,,,,,,,,,,,,,,
BLUE TEAPOT LLC,LLC,Active,,1265457,2022-03-31,73 NURSERY STREET,NORWALK,06850,CT,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:25.5600000,United States,blueteapot@optonline.net,Snack and Nonalcoholic Beverage Bars (722515),722515.0,,,,,,,,,,,,,,,,,,,,,
"MOM & POP'S GAME SHOPPE, LLC",LLC,Active,Ready for dissolution,1265458,2019-03-31,16 WESTLAND STREET,HARTFORD,06120,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,MOMNPOPSGS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
GREENWICH SUSHI CORP,Stock,Active,First report past due,1265459,2020-03-02,No information provided,,,,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:10:25.5600000,,HNLCPAFIRM@GMAIL.COM,,,200.0,,,,,,,,,,,,,,,,,,,,
"FIRST MOBILE TRUST, LLC",LLC,Active,Ready for dissolution,1265466,2020-03-31,10510 SPRINGBORO PIKE,MIAMISBURG,45342,OH,Foreign,2018-03-02,OH,OH,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,complianceteam@cogencyglobal.com,,,,2018-03-19,"FIRST MOBILE TRUST, LLC",,"10510 SPRINGBORO PIKE, MIAMISBURG, OH, 45342,",10510 SPRINGBORO PIKE,MIAMISBURG,OH,45342,,"10510 SPRINGBORO PIKE, MIAMISBURG, OH, 45342,",10510 SPRINGBORO PIKE,MIAMISBURG,OH,45342,,,,,,
"5 PALOMBA DRIVE, LLC",LLC,Active,Ready for dissolution,1265468,2020-03-31,5 PALOMBA DRIVE,ENFIELD,06082,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,GCSLAW@COX.NET,,,,,,,,,,,,,,,,,,,,,,,
"CERTIFIED MODERATOR TRAINERS, LLC",LLC,Active,,1265469,2022-03-31,65 FERRY COURT 65 FERRY COURT,STRATFORD,06615,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5600000,United States,deciliogop10@optonline.net,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,
20 GUILFORD LLC,LLC,Active,Ready for dissolution,1265470,2019-03-31,945 LONG RIDGE RD,STAMFORD,06902,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,LASKOBUILDERS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
SUPER MARIO WINDOWS LLC,LLC,Active,Ready for dissolution,1265471,2019-03-31,120 ADDISON RD,GLASTONBURY,06033,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,MARIOLLCWINDOWS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
KNIGHT-N-DAY REMODELING & CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1265472,2019-03-31,53 MYRTLE AVE,WATERBURY,06708,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,United States,PMHILLPAZ@HOTMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"ABC EXCETIONAL CLEANING SERVICES, LLC",LLC,Active,Ready for dissolution,1265473,2019-03-31,94 PLYMOUTH STREET,NEW  HAVEN,06519,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5600000,,AGENTENEVER@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
WHISKED AWAY PASTRY LLC,LLC,Dissolved,,1265476,2020-03-31,62 COOK STREET 2ND FLOOR,TORRINGTON,06790,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5600000,United States,INFO@WHISKEDAWAYPASTRY.COM,,,,,,,,,,,,,,,,,,,2021-01-12T00:00:00.000,,,,
DT TRANSPORTATION LLC,LLC,Active,Annual report past due,1265478,2021-03-31,240 WILLOW SPRINGS,NEW MILFORD,06776,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5600000,United States,junaraback@yahoo.com,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,,,,,,,,,,,,,
CENTRAL BIG & SMALLS LANDSCAPING LLC,LLC,Active,Ready for dissolution,1265479,2019-03-31,1260 FARMINGTON AVENUE,BERLIN,06037,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5900000,,LUISTORRES988@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"MEASER TURNER, LLC",LLC,Active,,1265480,2022-03-31,146 HAYNES ROAD,WEST HARTFORD,06117,CT,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,lmeaserturner@gmail.com,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,,
ALL FLOW PLUMBING LLC,LLC,Active,,1265481,2022-03-31,18 EDWIN LANE,THOMASTON,06787,CT,Domestic,2018-03-02,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:25.5900000,United States,smmcsperrin@gmail.com,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,,,,,,,,,,,,,,,,,,,,,
ARTISAN OUTDOOR INSTALLATIONS LLC`,LLC,Active,,1265482,2022-03-31,535 LAKESIDE RD 535 LAKESIDE RD,SOUTHBURY,06488,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,birdenj@gmail.com,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,
RYAN MAZURKIVICH LLC,LLC,Active,Ready for dissolution,1265484,2019-03-31,150 GORMAN ST,NAUGATUCK,06770,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5900000,,RYANM.HYPNOSIS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"L & L ADVENTURES, LLC",LLC,Active,,1265487,2022-03-31,350 TROLLEY LINE BLVD.,MASHANTUCKET,06338,CT,Foreign,2018-03-02,ID,ID,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,loganchecketts@gmail.com,Amusement and Theme Parks (713110),,,2018-03-12,"L & L ADVENTURES, LLC",United States,"3132 N 4000 W  3132 N 4000 W, DAYTON, ID, 83232, United States",3132 N 4000 W  3132 N 4000 W,DAYTON,ID,83232,United States,"3132 N 4000 W, DAYTON, ID, 83232, United States",3132 N 4000 W,DAYTON,ID,83232,United States,,,,,
RIVER VALLEY PEDIATRICS AND ADOLESCENT MEDICINE LLC,LLC,Active,Ready for dissolution,1265488,2020-03-31,20 WATER STREET,CHESTER,06412,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5900000,United States,EBIRDMD@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"HOP RIVER SHEPHERDS, LLC",LLC,Active,,1265489,2022-03-31,241,ANDOVER,06232,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,scottwbeebe@gmail.com,Pet Care (except Veterinary) Services (812910),812910.0,,,,,,,,,,,,,,,,,,,,,
"PINE GATE REAL ESTATE, LLC",LLC,Active,,1265490,2022-03-31,130 ROBERTS STREET,ASHEVILLE,28801,NC,Foreign,2018-03-02,NC,NC,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,sal@acs123.com,Solar Electric Power Generation (221114),221114.0,,2018-03-02,"PINE GATE REAL ESTATE, LLC",United States,"130 ROBERTS STREET, ASHEVILLE, NC, 28801, United States",130 ROBERTS STREET,ASHEVILLE,NC,28801,United States,"130 ROBERTS STREET, ASHEVILLE, NC, 28801, United States",130 ROBERTS STREET,ASHEVILLE,NC,28801,United States,,,,,
STERN CT HOLDINGS LLC,LLC,Active,Ready for dissolution,1265491,2020-03-31,"C/O THE REINGOLD COMPANY 899 SKOKIE BLVD., SUITE 500",NORTHBROOK,60062,IL,Domestic,2018-03-02,IL,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.5900000,United States,GREINGOLD@REINGOLDCOMPANY.COM,,,,,,,,,,,,,,,,,,,,,,,
BRIDGE CONNECTION LLC,LLC,Active,Annual report past due,1265494,2021-03-31,21 LOUISE LANE,MANCHESTER,06040,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,ct-reports@statefilings.in,Golf Courses and Country Clubs (713910),713910.0,,,,,,,,,,,,,,,,,,,,,
MABUHAY ENTERPRISES LLC,LLC,Active,,1265497,2022-03-31,360 MAIN ST,ANSONIA,06401,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:25.5900000,United States,mabuhayenterprisesllc@gmail.com,All Other General Merchandise Stores (452319),452319.0,,,,,,,,,,,,,,,,,,,,,
TASTY TREATS & MORE LLC,LLC,Active,Ready for dissolution,1265498,2019-03-31,145 AUSTIN STREET 145 AUSTIN STREET,BRIDGEPORT,06604,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6200000,,HMN.SRAVI@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
JROD PROPERTY MANAGEMENT LLC,LLC,Active,Ready for dissolution,1265499,2019-03-31,65 VAN BUSKIRK AVE,STRATFORD,06614,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6200000,,JRODPROPERTY@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"S.A.F.E. FIREARMS TRAINING, LLC",LLC,Active,Ready for dissolution,1265500,2019-03-31,61 NYBERG RD,CHAPLIN,06235,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:25.6200000,,SAFEFIREARMSTRAININGLLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"EIN GEDI SPRING, LLC",LLC,Active,Annual report past due,1265502,2021-03-31,3617 BLACK ROCK TURNPIKE,FAIRFIELD,06825,CT,Domestic,2018-03-02,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:25.6200000,United States,albertchoi1@gmail.com,General Automotive Repair (811111),811111.0,,,,,,,,,,,,,,,,,,,,,
VICE MEDIA LLC,LLC,Active,,1266737,2022-03-31,49 S 2ND ST,BROOKLYN,11249,NY,Foreign,2018-03-02,DE,DE,False,False,False,False,False,,2021-11-10 00:08:22.3066667,United States,Compliancemail@cscinfo.com,Motion Picture and Video Distribution (512120),512120.0,,2018-02-23,VICE MEDIA LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,
"ROOKE REALTY, LLC",LLC,Active,,1267273,2022-03-31,654 TOLLAND STREET,EAST HARTFORD,06108,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,United States,erooke@advancedperformanceglass.com,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,,
DIXON HUGHES GOODMAN LLP,LLP,Active,,1267693,2022-03-02,4350 CONGRESS STREET STE. 900,CHARLOTTE,28209,NC,Domestic,2018-03-02,NC,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.7133333,United States,michele.tillman@dhg.com,Tax Preparation Services (541213),541213.0,,,,,,,,,,,,,,,,,,,,,
"OTF DISTRIBUTION, LLC",LLC,Active,No Agent,1267694,2021-03-31,6000 BROKEN SOUND PARKWAY NW SUITE 200,BOCA RATON,33487,FL,Foreign,2018-03-02,FL,FL,False,False,False,False,False,Failure to appoint or maintain an agent for service,2021-11-10 00:08:21.7133333,United States,kbean@myparacorp.com,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),423990.0,,2018-03-02,"OTF DISTRIBUTION, LLC",United States,"6000 BROKEN SOUND PARKWAY NW SUITE 200, BOCA RATON, FL, 33487,",6000 BROKEN SOUND PARKWAY NW SUITE 200,BOCA RATON,FL,33487,,"6000 BROKEN SOUND PARKWAY NW SUITE 200, BOCA RATON, FL, 33487, United States",6000 BROKEN SOUND PARKWAY NW SUITE 200,BOCA RATON,FL,33487,United States,,,,,
SOLERICO FOUNDATION INC.,Non-Stock,Active,,1267695,2022-03-02,6 PAN HANDLE LN,WESTPORT,06880,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.7133333,United States,filings@corpnet.com,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,
ROWE HOME IMPROVEMENTS LLC,LLC,Dissolved,,1267697,2020-03-31,11 SYLVAN GLEN DRIVE,EAST LYME,06333,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.7133333,United States,MICRO1387@YAHOO.COM,,,,,,,,,,,,,,,,,,,2020-12-03T00:00:00.000,,,,
G&G ENTERPRISE TRUCKING LLC,LLC,Active,Ready for dissolution,1267699,2020-03-31,155 BRITANNIA ST APT 17,MERIDEN,06450,CT,Domestic,2018-03-02,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7133333,United States,gdubbs3167@gmail.com,All Other Support Activities for Transportation (488999),,,,,,,,,,,,,,,,,,,,,,
D.J LANDSCAPING SERVICES LLC,LLC,Active,Ready for dissolution,1267702,2020-03-31,42 KING ST,DANBURY,06811,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7266667,United States,djlandscaping.203@gmail.com,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,,,,
"OASIS HOMECARE AGENCY, LLC",LLC,Active,Ready for dissolution,1267704,2019-03-31,26 STONE WALL DRIVE,STAMFORD,06905,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7266667,,PLANTINDANIE@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"UPPER STEPNEY CONSULTING, LLC",LLC,Active,Annual report past due,1267705,2021-03-31,184 GUINEA ROAD,MONROE,06468,CT,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:21.7266667,United States,dlyoung912@yahoo.com,Custom Computer Programming Services (541511),541511.0,,,,,,,,,,,,,,,,,,,,,
"KPR DESIGN GROUP, LLC",LLC,Active,Ready for dissolution,1267707,2019-03-31,81 AUTUMN DRIVE,SOUTHINGTON,06489,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:21.7266667,,KELLYROCHA@SBCGLOBAL.NET,,,,,,,,,,,,,,,,,,,,,,,
"WELL WISHES FOR UGANDA, INC.",Non-Stock,Active,First report past due,1267712,2020-03-02,No information provided,,,,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:22.2733333,,,,,,,,,,,,,,,,,,,,,,,,,
"HALCO ENERGY, LLC",LLC,Active,,1267713,2022-03-31,113 ROUTE 2,PRESTON,06365,CT,Domestic,2018-03-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:22.2733333,United States,jackienate@snet.net,Other Warehousing and Storage (493190),493190.0,,,,,,,,,,,,,,,,,,,,,
"SPOTMARK, LLC",LLC,Active,Ready for dissolution,1267714,2019-03-31,90 MAIN STREET SUITE 207,CENTERBROOK,06409,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:22.2733333,,JONSAMBURG@SNET.NET,,,,,,,,,,,,,,,,,,,,,,,
"ALL COUNTY BUILDING SERVICES, INC.",Stock,Withdrawn,,1265043,2019-03-02,2 ADAMS COURT,HOPEWELL JUNCTION,12533,NY,Foreign,2018-03-02,NY,NY,False,False,False,False,False,,2021-11-10 00:05:59.6233333,,LJRSERVICES@OUTLOOK.COM,,,,2018-03-01,"ALL COUNTY BUILDING SERVICES, INC.",,,,,,,,,,,,,,,,,,
BELLTOWN GRAPHICS LLC,LLC,Dissolved,,1267711,2019-03-31,27 CHATHAM FIELDS RD,EAST HAMPTON,06424,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:13.9233333,,BELLTOWNGRAPHICS@GMAIL.COM,,,,,,,,,,,,,,,,,,,2020-01-14T00:00:00.000,,,,
"ES HOME SOLUTIONS, LLC",LLC,Dissolved,,1265475,2019-03-31,"36 REPUBLIC DRIVE, APARTMENT 328",BLOOMFIELD,06002,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:11.7666667,,TYLER.M.EGNER@GMAIL.COM,,,,,,,,,,,,,,,,,,,2018-10-31T00:00:00.000,,,,
"WESTPORT 176 POST ROAD WEST, LLC",LLC,Dissolved,,1265460,2019-03-31,1797 MAIN STREET,BRIDGEPORT,06604,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:06.7666667,,ED@CILEGAL.COM,,,,,,,,,,,,,,,,,,,2019-02-25T00:00:00.000,,,,
"BATTLEGROUND CAVE BREWERY, LLC",LLC,Dissolved,,1265430,2019-03-31,1583B MARION ROAD,CHESHIRE,06410,CT,Domestic,2018-03-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:26.2333333,,STBOWMAN7@GMAIL.COM,,,,,,,,,,,,,,,,,,,2019-04-01T00:00:00.000,,,,
GAMER NETWORK INC,Stock,Withdrawn,,1264976,2021-03-02,230 PARK AVE 7TH FLOOR,NEW YORK,10169,NY,Foreign,2018-03-02,DE,DE,False,False,False,False,False,,2021-11-10 00:04:33.8600000,United States,renee.simonton@relx.com,All Other Information Services (519190),,,2018-01-26,GAMER NETWORK INC,United States,,,,,,,,,,,,,,,,,
