name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting,mailing_address
M HISAE JEWELRY LLC,LLC,Active,,1272332,2022-03-31,16 TOMLINSON ROAD,WOODBURY,United States,06798,CT,info@mhisae.com,Domestic,2018-05-04,CT,Connecticut,True,False,True,False,False,Jewelry Stores (448310),448310.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
ITLIZE GLOBAL LLC,LLC,Active,,1272334,2022-03-31,242 OLD NEW BRUNSWICK RD SUITE 250,PISCATAWAY,United States,08854,NJ,managedreports@incorp.com,Foreign,2018-05-04,NJ,NJ,False,False,False,False,False,Motion Picture and Video Production (512110),512110.0,2021-11-10 00:10:23.4966667,,2018-06-01,ITLIZE GLOBAL LLC,"242 OLD NEW BRUNSWICK RD SUITE 250, PISCATAWAY, NJ, 08854, United States",242 OLD NEW BRUNSWICK RD SUITE 250,PISCATAWAY,NJ,08854,"242 OLD NEW BRUNSWICK RD SUITE 250, PISCATAWAY, NJ, 08854, United States",242 OLD NEW BRUNSWICK RD SUITE 250,PISCATAWAY,NJ,08854,United States,United States,United States,,,,,,
PM MEDICAL COMMUNICATIONS LLC,LLC,Dissolved,,1272335,2021-03-31,178 HUNTERS TRAIL,MADISON,United States,06443,CT,ddurkeecpa@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,2021-04-08T00:00:00.000,,,
TECHRA LLC,LLC,Active,,1272336,2022-03-31,8 HILLTOP AVE,VERNON,United States,06066,CT,zimm.tom.j@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
ONTOPZ LLC,LLC,Active,,1272337,2022-03-31,"257 ELY AVENUE, UNIT H",NORWALK,United States,06854,CT,david@ontopz.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
"BLACK ROCK FISHERIES, LLC",LLC,Active,Ready for dissolution,1272338,2019-03-31,60 BENNETT STREET,BRIDGEPORT,,06605,CT,HOFMILLER@OPTONLINE.NET,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
FIRST AND LAST PRODUCTIONS LLC,LLC,Active,,1272339,2022-03-31,65 SPENCER HILL RD,KILLINGWORTH,United States,06419,CT,firstandlastproductionsllc@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,True,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
"GREENWICH REAL ESTATE MANAGEMENT, LLC",LLC,Active,,1272340,2022-03-31,408 SAINT RONAN STREET,NEW HAVEN,United States,06511,CT,margaret.chustecki@imgnh.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
BAYBERRY WOODS LLC*,LLC,Active,,1272341,2022-03-31,258 SHORE AVE,GROTON,United States,06340,CT,rustyrog101@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
DARLYN ROOFING LLC,LLC,Active,Ready for dissolution,1272342,2019-03-31,283 MARION ST,BGRIDGEPORT,,06606,CT,LOUISSACOTO@SBCGLOBAL.NET,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"MOORE-THAN A PR FIRM, LLC",LLC,Active,Ready for dissolution,1272343,2019-03-31,175 MILL POND RD UNIT 315,HAMDEN,,06514,CT,MORETHANAPRFIRM@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
HOUSE OF MONTY ANNJIM DRIVE LLC,LLC,Dissolved,,1272344,2022-03-31,484 PACIFIC STREET  THIRD FLOOR,STAMFORD,United States,06902,CT,info@wheel-house.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,2021-10-01T00:00:00.000,,,
THE PETER AND CAROL CHOMETA FAMILY LLP,LLP,Active,Ready for dissolution,1272345,2019-05-04,4481 WHITNEY AVENUE,HAMDEN,,06518,CT,ROBBLU59@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
SUELA TATA LLC,LLC,Active,Ready for dissolution,1272346,2019-03-31,623 CYPRESS ROAD,NEWINGTON,,06111,CT,EJSERVICES.LLC@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
WOLFPACK STUDIO LLC,LLC,Active,Ready for dissolution,1272347,2020-03-31,224 CANDLELIGHT DR,GLASTONBURY,United States,06033,CT,WOLFPACKSTUDIOLLC@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5266667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
IQ DETAILING LLC,LLC,Active,,1272348,2022-03-31,13 STAFFORD RD,BURLINGTON,United States,06013,CT,rr23@wp.pl,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Drafting Services (541340),541340.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
A TIPPING POINT LLC,LLC,Active,,1272349,2022-03-31,61 MECHANIC ST FL 3,NEW HAVEN,United States,06511,CT,anthony@atippingpoint.org,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Civic and Social Organizations (813410),813410.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
"THE LITTLES PROJECT, INC.",Non-Stock,Active,Ready for dissolution,1272354,2019-05-04,782 ORCHARD ST.,NEW HAVEN,,06511,CT,THELITTLESPROJECT@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5266667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"KITCH & COMPANY, LLC",LLC,Active,,1272355,2022-03-31,27 COOGAN BLVD BUILDING 19A,MYSTIC,United States,06355,CT,admin@austinmacionecpas.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
"JENNIFER HUBBARD, LLC",LLC,Active,,1272363,2022-03-31,3 OWL RIDGE LN,SANDY HOOK,United States,06482,CT,Jennyshubbard@yahoo.com,Domestic,2018-05-04,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
"CENTURY ENGINEERING, INC.",Stock,Active,,1272391,2022-05-04,10710 GILROY ROAD,HUNT VALLEY,United States,21031,MD,kstratemeyer@centuryeng.com,Foreign,2018-05-04,MD,MD,False,False,False,False,False,Engineering Services (541330),541330.0,2021-11-10 00:10:24.0600000,,2018-05-04,"CENTURY ENGINEERING, INC.",,,,,,,,,,,United States,,,,,,,,
ELI ELECTRIC LLC,LLC,Active,,1272397,2022-03-31,51 MIDDLE AVE,SHELTON,United States,06484,CT,Elielectricllc@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:10:24.0600000,,,,,,,,,,,,,,,,,,,,,,
"INTEGRITY 1ST LEARNING SUPPORT SOLUTIONS, LLC",LLC,Active,Annual report past due,1272422,2021-03-31,299 PURDY HILL ROAD,MONROE,United States,06468,CT,LINTARI1971@YAHOO.COM,Domestic,2018-05-04,CT,Connecticut,True,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:10:24.1033333,,,,,,,,,,,,,,,,,,,,,,
ARX PHARMACISTS LLC,LLC,Active,Ready for dissolution,1272502,2020-03-31,112 OLD WOODBURY RD,SOUTHBURY,,,CT,ALEXANDRA@ARXPHARMACISTS.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:24.8700000,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"NEW HAVEN REAL ESTATE MANAGEMENT, LLC",LLC,Active,,1272551,2022-03-31,408 SAINT RONAN STREET,NEW HAVEN,United States,06511,CT,margaret.chustecki@imgnh.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:10:25.5433333,,,,,,,,,,,,,,,,,,,,,,
"SARAHDEAN, LLC",LLC,Active,,1272567,2022-03-31,400 CHAPEL ROAD UNIT 2G,SOUTH WINDSOR,United States,06074,CT,dean@dzenresidentialroofing.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:10:25.5733333,,,,,,,,,,,,,,,,,,,,,,
WALTER PIEROG DMD LLC,LLC,Active,,1272572,2022-03-31,866 FOSTER ST EXT,SOUTH WINDSOR,United States,06074,CT,gooddayhelen@aol.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Offices of Dentists (621210),621210.0,2021-11-10 00:10:25.5733333,,,,,,,,,,,,,,,,,,,,,,
"BEAR PAW BARN, LLC",LLC,Active,Ready for dissolution,1272573,2019-03-31,874 MILLBROOK RD,MIDDLETOWN,,06457,CT,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:25.5733333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
WATER'S EDGE EQUESTRIAN CENTER LLC,LLC,Active,,1272576,2022-03-31,271 SHENIPSIT LAKE RD,TOLLAND,United States,06084,CT,Jtia.evans@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Horses and Other Equine Production (112920),112920.0,2021-11-10 00:10:25.6066667,,,,,,,,,,,,,,,,,,,,,,
LMAX CARPET INC,Stock,Active,First report past due,1272577,2020-05-04,No information provided,,,,,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:25.6066667,Failure to file First Report,,,,,,,,,,,,,,,,1.0,,,,,
B&L REALITY LLC,LLC,Active,Ready for dissolution,1272578,2020-03-31,7 OAK RIDGE DR,CROMWELL,United States,06416,CT,HICKSPLUMBINGLLC@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:25.6066667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
CREATIVE PLAY DOLL COMPANY LLC,LLC,Active,,1272596,2022-03-31,7560 MCEWEN RD,DAYTON,United States,45459,OH,payables@dollsclothes-emilyrose.com,Foreign,2018-05-04,OH,OH,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",451120.0,2021-11-10 00:10:25.6066667,,2017-08-16,CREATIVE PLAY DOLL COMPANY LLC,"7560 MCEWEN RD, DAYTON, OH, 45459,",7560 MCEWEN RD,DAYTON,OH,45459,"7560 MCEWEN RD, DAYTON, OH, 45459, United States",7560 MCEWEN RD,DAYTON,OH,45459,United States,,United States,,,,,,
"STARS TO STEM, INC.",Non-Stock,Active,,1272608,2022-05-04,7 NORTH BEECHWOOD ROAD,NIANTIC,United States,06357,CT,starstostem@gmail.com,Domestic,2018-05-04,CT,Connecticut,True,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:10:25.6500000,,,,,,,,,,,,,,,,,,,,,,
SCHOOL CUTS LLC,LLC,Active,Ready for dissolution,1272648,2019-03-31,1452 FORBES STREET,EAST HARTFORD,,06118,CT,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.9966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
DENIM LAB LLC,LLC,Active,,1272659,2022-03-31,250 GREENWICH AVENUE,GREENWICH,United States,06830,CT,jazmin.zamora@frame-brand.com,Foreign,2018-05-04,CA,CA,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:10:23.4966667,,2018-09-01,DENIM LAB LLC,"3575 HAYDEN AVENUE SUITE N1, CULVER CITY, CA, 90232,",3575 HAYDEN AVENUE SUITE N1,CULVER CITY,CA,90232,"3578 HAYDEN AVENUE SUITE N1, CULVER CITY, CA, 90232, United States",3578 HAYDEN AVENUE SUITE N1,CULVER CITY,CA,90232,United States,,United States,,,,,,
SAAL MANAGEMENT LLC,LLC,Active,,1272660,2022-03-31,52 BELLAIRE MANOR,CROMWELL,United States,06416,CT,sadmirbeskovic@yahoo.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,,,,
"SKM DESIGN, LLC",LLC,Active,Ready for dissolution,1272661,2019-03-31,25 COLONY ROAD,WEST HARTFORD,,06117,CT,SKMILLMAN@YAHOO.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"PINNACLE CAPITAL PARTNERS, LLC",LLC,Dissolved,,1272663,2022-03-31,37 JEROME AVE SUITE 2,BLOOMFIELD,United States,06002,CT,IAN@PINNACLEFINANCIALLLC.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,Real Estate Credit (522292),522292.0,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,2021-03-01T00:00:00.000,,,
PW CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1272665,2019-03-31,1 JUNIPER LANE,WEST HARTFORD,,06117,CT,GREG@JMATTHEWGROUP.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"GLOBAL JET CAPITAL WORLDWIDE, LLC",LLC,Active,,1272668,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-05-04,DE,DE,False,False,False,False,False,Consumer Lending (522291),522291.0,2021-11-10 00:10:23.4966667,,2018-05-04,"GLOBAL JET CAPITAL WORLDWIDE, LLC","2500 NORTH MILITARY TRAIL SUITE 475, BOCA RATON, FL, 33431,",2500 NORTH MILITARY TRAIL SUITE 475,BOCA RATON,FL,33431,"2500 NORTH MILITARY TRAIL SUITE 475, BOCA RATON, FL, 33431,",2500 NORTH MILITARY TRAIL SUITE 475,BOCA RATON,FL,33431,United States,,,,,,,,
"FLATIRON AIR, LLC",LLC,Active,,1272670,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-05-04,DE,DE,False,False,False,False,False,Sales Financing (522220),522220.0,2021-11-10 00:10:23.4966667,,2018-05-04,"FLATIRON AIR, LLC","83 WOOSTER HEIGHTS ROAD SUITE 503, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,CT,06810,"83 WOOSTER HEIGHTS ROAD SUITE 503, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,CT,06810,United States,,,,,,,,
"GJC FINANCE, LLC",LLC,Active,,1272671,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-05-04,DE,DE,False,False,False,False,False,Sales Financing (522220),522220.0,2021-11-10 00:10:23.4966667,,2018-05-04,"GJC FINANCE, LLC","83 WOOSTER HEIGHTS ROAD SUITE 503, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,CT,06810,"83 WOOSTER HEIGHTS ROAD SUITE 503, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,CT,06810,United States,,,,,,,,
"FIVE POINTS AIR, LLC",LLC,Active,,1272673,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-05-04,DE,DE,False,False,False,False,False,Sales Financing (522220),522220.0,2021-11-10 00:10:23.4966667,,2018-05-04,"FIVE POINTS AIR, LLC","83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,"83 WOOSTER HEIGHTS ROAD, DANBURY, CT, 06810,",83 WOOSTER HEIGHTS ROAD,DANBURY,CT,06810,United States,,,,,,,,
"BOWERY AIR, LLC",LLC,Active,,1272675,2022-03-31,83 WOOSTER HEIGHTS ROAD SUITE 503,DANBURY,United States,06810,CT,Compliancemail@cscinfo.com,Foreign,2018-05-04,DE,DE,False,False,False,False,False,Sales Financing (522220),522220.0,2021-11-10 00:10:23.4966667,,2018-05-04,BOWERY AIR. LLC,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,United States,United States,,,,,,
PRADO REALTY LLC,LLC,Dissolved,,1272676,2019-03-31,48 WOODSIDE LANE,PLAINVILLE,,06062,CT,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.4966667,,,,,,,,,,,,,,,,,,,2021-05-19T00:00:00.000,,,
"RA CHARITY EVENTS, INC.",Non-Stock,Dissolved,,1272271,2019-05-04,135 FLORIDA ROAD 135 FLORIDA ROAD,SOMERS,,06071,CT,scottmontemerlo@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:00.8266667,,,,,,,,,,,,,,,,,,,2019-12-14T00:00:00.000,,,
ANIMAL SHOW ON THE GO LLC,LLC,Dissolved,,1272299,2019-03-31,231 THOMPSON HILL ROAD,PORTLAND,,06480,CT,CINDY@ANIMALSHOWONTHEGO.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:59.5933333,,,,,,,,,,,,,,,,,,,2019-03-25T00:00:00.000,,,
ANDO NOODOU LLC,LLC,Dissolved,,1272561,2019-03-31,3381 POST RD,SOUTHPORT,,06890,CT,RWU@WYCPAS.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:22.7366667,,,,,,,,,,,,,,,,,,,2019-03-29T00:00:00.000,,,
"DOLCE SABOR, LLC",LLC,Dissolved,,1272579,2019-03-31,158 MAPLE ST.,NAUGATUCK,,06770,CT,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:25.5766667,,,,,,,,,,,,,,,,,,,2019-03-04T00:00:00.000,,,
NEW   ICHIBAN  CT  INC,Stock,Dissolved,,1272250,,No information provided,,,,,GIANA@PREMIERCFS.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:22.2800000,,,,,,,,,,,,,,,,,200.0,,2018-10-15T00:00:00.000,,,
CRASHBOAT LLC,LLC,Dissolved,,1272647,2019-03-31,54 RICHMOND AVE APT 4,WATERBURY,,06705,CT,ALEXIS_9595@YAHOO.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:42.8300000,,,,,,,,,,,,,,,,,,,2019-03-28T00:00:00.000,,,
"HUELE A GLORIA, LLC",LLC,Dissolved,,1272220,2019-03-31,141 COOKE ST,WATERBURY,,06710,CT,CMOYA183@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:49.5933333,,,,,,,,,,,,,,,,,,,2018-12-20T00:00:00.000,,,
PF AND M ENTERPRISES INCORPORATED,Stock,Dissolved,,1272304,2019-05-04,31 LOLA STREET,FAIRFIELD,,06825,CT,Rdylanoconnor@gmail.com,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:11.2966667,,,,,,,,,,,,,,,,,20000.0,,2019-07-18T00:00:00.000,,,
"MOUNTAIN VIEW FARM, LLC",LLC,Dissolved,,1272237,2019-03-31,269 MUNGER LANE,BETHLEHEM,,06751,CT,GGIRGASKY@YAHOO.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:10.5766667,,,,,,,,,,,,,,,,,,,2018-06-27T00:00:00.000,,,
A&C EVEREST IMPORTS INC.,Stock,Dissolved,,1272252,,No information provided,,,,,,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:41.6800000,,,,,,,,,,,,,,,,,10000.0,,2019-11-25T00:00:00.000,,,
"MARGUERITE ALEXINE, LLC",LLC,Dissolved,,1272219,2019-03-31,17 MT. VERNON AVE.,WATERBURY,,06708,CT,BEABROUILLARD@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:48.2766667,,,,,,,,,,,,,,,,,,,2018-12-28T00:00:00.000,,,
ENCHANTED TRAVEL & ADVENTURE LLC,LLC,Dissolved,,1272216,2019-03-31,19 NORMAS WAY,BOLTON,,06043,CT,ENCHANTEDTRAVELCONTACT@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:49.0100000,,,,,,,,,,,,,,,,,,,2019-06-30T00:00:00.000,,,
"SPEEDY SNACK DELIVERY, LLC",LLC,Dissolved,,1272321,2020-03-31,2215 TORRINGFORD ST,TORRINGTON,United States,06790,CT,SRBLOUIN@YAHOO.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:26.0366667,,,,,,,,,,,,,,,,,,,2020-04-11T00:00:00.000,,,
MOSAICO EDUCATION LLC,LLC,Dissolved,,1272325,2019-03-31,804 BLACK ROCK TURNPIKE,FAIRFIELD,,06825,CT,ATLANTISLLC@GMAIL.COM,Domestic,2018-05-04,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:22.9600000,,,,,,,,,,,,,,,,,,,2019-04-18T00:00:00.000,,,
ALTHEA & LILLY LLC,LLC,Active,,1272326,2022-03-31,129 COMPO ROAD NORTH,WESTPORT,United States,06880,CT,tghays@att.net,Domestic,2018-05-05,CT,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:10:22.9966667,,,,,,,,,,,,,,,,,,,,,,
INNER BALANCE PHYSICAL THERAPY AND WELLNESS LLC,LLC,Active,,1272350,2022-03-31,34 JEROME AVE. STE. 305,BLOOMFIELD,United States,06002,CT,innerbalanceptandwellness@gmail.com,Domestic,2018-05-05,CT,Connecticut,True,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
EBONROCK LLC,LLC,Active,Annual report past due,1272351,2021-03-31,323 FAIRFIELD AVE UNIT 418,BRIDGEPORT,United States,06604,CT,ebonrockgm@gmail.com,Domestic,2018-05-05,CT,Connecticut,True,False,False,False,False,All Other Amusement and Recreation Industries (713990),,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,,,,
MARIA APARECIDA SILVA LLC,LLC,Active,Ready for dissolution,1272352,2020-03-31,695 WOODTICK RD,WATERBURY,United States,06705,CT,cida_silva1975@hotmail.com,Domestic,2018-05-05,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:10:23.5266667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
PACHIS LANDSCAPING & MASONRY LLC,LLC,Active,Ready for dissolution,1272353,2020-03-31,43 WASHINGTON AVE APT 1,DANBURY,,06810,CT,manuelcarmona470@gmail.com,Domestic,2018-05-05,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5266667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
GROOVECO LLC,LLC,Dissolved,,1272357,2020-03-31,31 WEST MEADOW ROAD,WILTON,United States,06897,CT,JOE@GETGROOVEON.COM,Domestic,2018-05-05,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,2021-03-30T00:00:00.000,,,
"UNITED ENERGY SERVICES, LLC",LLC,Active,,1272358,2022-03-31,2505 HUTCHISON MCDONALD ROAD,CHARLOTTE,United States,28269,NC,Compliancemail@cscinfo.com,Foreign,2018-05-05,DE,DE,False,False,False,False,False,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (811310),811310.0,2021-11-10 00:10:23.5266667,,2018-04-09,"UNITED ENERGY SERVICES, LLC","251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,United States,United States,,,,,,
"LONE WULFF PRODUCTIONS, LLC",LLC,Dissolved,,1272359,2021-03-31,31 W. MEADOW RD.,WILTON,United States,06897,CT,jen@presto.org,Domestic,2018-05-05,CT,Connecticut,True,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:10:23.5266667,,,,,,,,,,,,,,,,,,,2021-02-02T00:00:00.000,,,
"INFURCHIA TAX & ACCOUNTING, LLC",LLC,Active,Ready for dissolution,1272361,2019-03-31,31 HACKBERRY HILL RD,WESTON,,06883,CT,FSINFURCH@GMAIL.COM,Domestic,2018-05-05,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:23.5266667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT LEGAL GROUP, LLC",LLC,Active,Ready for dissolution,1272580,2020-03-31,85 FELT RD UNIT 503,SOUTH WINDSOR,,06074,CT,jpalacio@japalaciolaw.com,Domestic,2018-05-05,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:25.6066667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
