name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
"INVISIMARK, LLC",LLC,Active,Ready for dissolution,1292812,2020-03-31,"64 THOMPSON STREET, A102",EAST HAVEN,06513,CT,JASON@VIN-MARK.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.2733333,United States,,,,,,,,,,,,,,,,,,,,,,,,
ED@CONSTRUCTIONS LLC,LLC,Active,Ready for dissolution,1292813,2019-03-31,74 BURNSIDE AVE FL 1,EAST HARTFORD,06108,CT,JLLAS.CORP@YAHOO.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.2733333,,,,,,,,,,,,,,,,,,,,,,,,,
VANN BULAS & CO. LLC,LLC,Active,,1292821,2022-03-31,94 PENNSYLVANIA AVENUE,NIANTIC,06357,CT,laura@vannbulas.com,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,,,,,,,,,,
HEALING HOME HEALTH SERVICES LLC,LLC,Active,Ready for dissolution,1292827,2019-03-31,136 MAIN ST #200,WESTPORT,06880,CT,MEG.NISENSON@YAHOO.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3033333,,,,,,,,,,,,,,,,,,,,,,,,,
"141 DOWD, LLC",LLC,Active,Ready for dissolution,1292829,2019-03-31,141 DOWD AVENUE,CANTON,06019,CT,PWEBSTER@CANTON-PT.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3033333,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENTUM CAPITAL LLC,LLC,Active,Annual report past due,1292830,2021-03-31,500 WEST AVENUE,STAMFORD,06902,CT,licensing@momentumsolar.com,Foreign,2018-12-10,NJ,NJ,False,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Solar Electric Power Generation (221114),221114.0,,,,2019-01-01,MOMENTUM CAPITAL LLC,United States,"3096 B HAMILTON BOULEVARD, SOUTH PLAINFIELD, NJ, 06902,",3096 B HAMILTON BOULEVARD,SOUTH PLAINFIELD,NJ,06902,,"3096 B HAMILTON BOULEVARD, SOUTH PLAINFIELD, NJ, 07080, United States",3096 B HAMILTON BOULEVARD,SOUTH PLAINFIELD,NJ,7080.0,United States,,,,
420 WHITNEY LLC,LLC,Active,,1292831,2022-03-31,7 CRESCENT ST,HEWLETT,11557,NY,Josef@Modequities.com,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,2018-11-29,420 WHITNEY LLC,United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805,United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805.0,United States,,,,
SKIN CARE & MAKE-UP CENTER LLC,LLC,Active,,1292832,2022-03-31,25 ELAINE DRIVE,STAMFORD,06902,CT,Jlfalbel@gmail.com,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,,,,,,,,,,
431 WHITNEY LLC,LLC,Active,,1292833,2022-03-31,7 CRESCENT ST,HEWLETT,11557,NY,Josef@Modequities.com,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,2018-11-29,431 WHITNEY LLC,United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805,United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805.0,United States,,,,
"BROKER ADVANTAGE, LLC",LLC,Active,,1292834,2022-03-31,2 Branch Brook DrIVE,Simsbury,06070,CT,JERRY@capbrokerage.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Insurance Agencies and Brokerages (524210),524210.0,,,,,,,,,,,,,,,,,,,,,,
WILLI J BENOIT LLC,LLC,Active,Ready for dissolution,1292835,2019-03-31,161 INGHAM HILL ROAD,OLD SAYBROOK,06475,CT,THERESA@CARBONECPA.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3033333,,,,,,,,,,,,,,,,,,,,,,,,,
DANZAK CPA PHD HOLDINGS LLC,LLC,Active,Ready for dissolution,1292836,2019-03-31,70 HEMLOCK ST,STRATFORD,06615,CT,DAVID.DANZAK@CPA.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3033333,,,,,,,,,,,,,,,,,,,,,,,,,
"31 WOOSTER STREET, LLC",LLC,Active,Annual report past due,1292837,2021-03-31,31 WOOSTER ST,DANBURY,06810,CT,tracey@motofit.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3033333,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,,,
1234 LINDLEY STREET LLC,LLC,Active,,1292838,2022-03-31,1234 LINDLEY STREET,BRIDGEPORT,06606,CT,STWINPAINTING@AOL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
PLANB VENTURES LLC,LLC,Active,Ready for dissolution,1292839,2019-03-31,166 CROSS HIGHWAY,WESTPORT,06880,CT,NEILSBHATIA@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE SIQUIN SERVICES LLC,LLC,Active,Ready for dissolution,1292840,2019-03-31,01 LIBERTY ST,DANBURY,06810,CT,MILDREDP2003@HOTMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,,,,,,,,,,,,,,,,,,,,,,,,,
"CLICK NOTICES, INC.",Stock,Active,Annual report past due,1292841,2020-12-10,"53 OLD SOLOMON ISLAND ROAD, SUITE F",ANNAPOLIS,21401,MD,jkim@cornerstonesupport.com,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,,,,,,2018-12-12,"CLICK NOTICES, INC.",United States,,,,,,,,,,,,,,,,
"WRHCCB, INC.",Stock,Active,Annual report due,1292842,2021-12-10,7 MAPLE COURT,SIMSBURY,06070,CT,charles@houlihan.law,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Construction Machinery Manufacturing (333120),333120.0,,20000.0,,,,,,,,,,,,,,,,,,,,
IKE'S CONSULTING AGENCY LLC,LLC,Active,Ready for dissolution,1292844,2019-03-31,13 PIERCE ST,ENFIELD,06082,CT,IKESCONSULTINGAGENCY@HOTMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,,,,,,,,,,,,,,,,,,,,,,,,,
EDJE GROUP LLC,LLC,Active,,1292845,2022-03-31,53 HIGH ST,ARMONK,10504,NY,daniel.sadler@groundsguys.com,Foreign,2018-12-10,NY,NY,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Landscaping Services (561730),561730.0,,,,2019-03-01,NEW YORK,United States,"53 HIGH ST, ARMONK, NY, 10504,",53 HIGH ST,ARMONK,NY,10504,,"53 HIGH ST, ARMONK, NY, 10504, United States",53 HIGH ST,ARMONK,NY,10504.0,United States,,,,
"CHARISE FAMILY ADVISORS, LLC",LLC,Active,,1292846,2022-03-31,274 RIVERSIDE AVE - FLOOR 4,WESTPORT,06880,CT,christy.charise@nm.com,Domestic,2018-12-10,CT,Connecticut,True,True,False,False,False,,2021-11-10 00:12:28.3500000,United States,Investment Advice (523930),,,,,,,,,,,,,,,,,,,,,,,
STABLE VALUE SOLUTIONS LLC,LLC,Active,Ready for dissolution,1292847,2020-03-31,21 MOUNTAIN VIEW DRIVE,WEST HARTFORD,06117,CT,SSCHAEFER@STABLEVALUESOLUTIONS.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,United States,,,,,,,,,,,,,,,,,,,,,,,,
KURT-TEK LLC,LLC,Active,,1292848,2022-03-31,33 FALCON RIDGE ROAD,TORRINGTON,06790,CT,kurt@kurt-tek.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Engineering Services (541330),,,,,,,,,,,,,,,,,,,,,,,
SMSK LLC,LLC,Active,,1292849,2022-03-31,1 BUCKS CROSSING,CROMWELL,06416,CT,thewinerackct@gmail.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,"Beer, Wine, and Liquor Stores (445310)",445310.0,,,,,,,,,,,,,,,,,,,,,,
"ROSEHAZARD, LLC",LLC,Active,,1292850,2022-03-31,162 FURNACE AVENUE,STAFFORD SPRINGS,06076,CT,nfisher@mb-cpas.com,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,,,
BARRETT INVESTMENT GROUP LLC,LLC,Active,,1292851,2022-03-31,127 GOODRICH ROAD,GLASTONBURY,06033,CT,john.barrett123@yahoo.com,Domestic,2018-12-10,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:12:28.3500000,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
LAYLA PROPERTIES LLC,LLC,Active,Ready for dissolution,1292852,2020-03-31,201 SHALLOWBROOK LANE,MANCHESTER,06040,CT,karl.hasel@cox.net,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,United States,,,,,,,,,,,,,,,,,,,,,,,,
ANA CARLA CLEANING LLLC,LLC,Active,Ready for dissolution,1292853,2019-03-31,31 EUCLID AVE,FAIRFIELD,06825,CT,AMELIASERVICES@LIVE.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DAY REFUSE AND RECYCLING LLC,LLC,Active,,1292854,2022-03-31,354 TOWPATH LANE,CHESHIRE,06410,CT,alia@bennettcocpa.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.3500000,United States,Other Nonhazardous Waste Treatment and Disposal (562219),562219.0,,,,,,,,,,,,,,,,,,,,,,
"JOANNE PRETE, ATR, LPC, LLC",LLC,Active,Ready for dissolution,1292855,2019-03-31,183 MONTOWESE ST. STE C1,BRANFORD,06405,CT,JOANNE.PRETE@MAC.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.3500000,,,,,,,,,,,,,,,,,,,,,,,,,
GENAO TRANSPORTATION LLC,LLC,Active,Ready for dissolution,1292856,2020-03-31,55 MILL PLAIN RD UNIT 32-5 UNIT 32-5,DANBURY,06811,CT,FERNANDOGENAO@HOTMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,United States,,,,,,,,,,,,,,,,,,,,,,,,
"VC PHARMACY, INC.",Stock,Active,Annual report due,1292857,2021-12-10,3453 SAINT FRANCIS AVE,DALLAS,75228,TX,ACCOUNTS@REZAGROUP.NET,Foreign,2018-12-10,TX,TX,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Pharmacies and Drug Stores (446110),446110.0,,,,2018-12-17,"VC PHARMACY, INC.",United States,,,,,,,,,,,,,,,,
"FBA CT HOLDINGS, LLC",LLC,Active,Ready for dissolution,1292858,2019-03-31,859 WILLARD ST SUITE 501,QUINCY,02169,MA,DAVID@GROSSMANCO.COM,Domestic,2018-12-10,MA,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
ELMSURE LLC,LLC,Active,,1292859,2022-03-31,645 MADISON AVENUE 19TH FLOOR,NEW YORK,10022,NY,COMPLIANCE@ELMSURE.COM,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,2018-11-26,ELMSURE LLC,United States,"1012 COLLEGE ROAD STE 201, DOVER, DE, 19904,",1012 COLLEGE ROAD STE 201,DOVER,DE,19904,,"1012 COLLEGE ROAD STE 201, DOVER, DE, 19904, United States",1012 COLLEGE ROAD STE 201,DOVER,DE,19904.0,United States,,,,
SIFT REAL ESTATE LLC,LLC,Active,,1292860,2022-03-31,5 WATER STREET,MYSTIC,06355,CT,ayoung@siftbakeshopmystic.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,
"LAP OF LOVE VETERINARY PRACTICES HOLDINGS II, PLLC",LLC,Active,,1292862,2022-03-31,17804 N. US HWY 41,LUTZ,33549,FL,BOB@LAPOFLOVE.COM,Foreign,2018-12-10,FL,FL,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,,812910.0,,,,2019-01-07,"LAP OF LOVE VETERINARY PRACTICES HOLDINGS II, PLLC",United States,"17804 N. US HWY 41, LUTZ, FL, 33549, United States",17804 N. US HWY 41,LUTZ,FL,33549,United States,"17804 N. US HWY 41, LUTZ, FL, 33549, United States",17804 N. US HWY 41,LUTZ,FL,33549.0,United States,,,,
DR JAN KAPLOWITZ CHIROPRACTIC & WELLNESS CENTER LLC,LLC,Active,,1292863,2022-03-31,40 EAST PUTNAM AVENUE,COS COB,06807,CT,kelly@mjscpa.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Offices of Chiropractors (621310),621310.0,,,,,,,,,,,,,,,,,,,,,,
"JET U.S.A., INC",Non-Stock,Active,Ready for dissolution,1292864,2019-12-10,222 DEY ROAD,CRANBURY,08512,NJ,VIKRAM@RAMASSOCIATES.US,Foreign,2018-12-10,IL,IL,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,2018-12-01,"JET U.S.A., INC",,,,,,,,,,,,,,,,,
APPROVED CONTRACTORS INC,Non-Stock,Active,Annual report due,1292865,2021-12-10,819 KINGS LANE,BENSALEM,19020,PA,lindsay@yourapprovedcontractors.com,Foreign,2018-12-10,PA,PA,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Roofing Contractors (238160),238160.0,,,,2018-12-06,APPROVED CONTRACTORS INC,United States,,,,,,,,,,,,,,,,
"OVATION CREDIT SERVICES, INC.",Stock,Active,Annual report due,1292866,2021-12-10,"9143 PHILLIPS HIGHWAY, SUITE 560",JACKSONVILLE,32256,FL,ltlicensing@lendingtree.com,Foreign,2018-12-10,FL,FL,False,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,All Other Personal Services (812990),812990.0,,,,2018-12-10,"OVATION CREDIT SERVICES, INC.",United States,,,,,,,,,,,,,,,,
"ETHIOPIA, LLC",LLC,Dissolved,,1292867,2022-03-31,810 CYPRESS RD,NEWINGTON,06111,CT,ethiopiallc@gmail.com,Domestic,2018-12-10,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:28.4000000,United States,Other Management Consulting Services (541618),541618.0,,,2021-11-05T00:00:00.000,,,,,,,,,,,,,,,,,,,
EJL SERVICES LLC,LLC,Active,Ready for dissolution,1292868,2019-03-31,1155 NEW BRITAIN AVE 3FL,WEST HARTFORD,06110,CT,RIMEDANOSDE@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
"BIG EASY TRANSPORT, LLC",LLC,Active,,1292869,2022-03-31,4 HOERLE BLVD. N,TORRINGTON,06790,CT,Bigeasytransport@aol.com,Domestic,2018-12-10,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:28.4000000,United States,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,,,,,,,,,,,,,,
"MAMA ROSAS II, LLC",LLC,Active,Ready for dissolution,1292870,2019-03-31,185 DERBY AVENUE,NEW HAVEN,06511,CT,EMAILJOICE@YAHOO.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
HECTOR LIMA FUENTES LLC,LLC,Active,Ready for dissolution,1292871,2019-03-31,70 WARREN ST,STAMFORD,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
OMAR REYES ANGEL LLC,LLC,Active,Ready for dissolution,1292872,2019-03-31,97 FERN ST APT 5,HARTFORD,06105,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,,,,,,,,,,,,,,,,,,,,,,,,
DOWNTOWN SOHO LLC,LLC,Active,Ready for dissolution,1292873,2019-03-31,99 WASHINGTON ST,NORWALK,06854,CT,JBARRY@TITANACS.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.4000000,,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,,,,,
LUNAR LEAPS LLC,LLC,Active,Annual report past due,1292874,2021-03-31,28 BIRCHWOOD DR,DAYVILLE,06241,CT,Lunarleapsllc@gmail.com,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:28.4000000,United States,Amusement and Theme Parks (713110),713110.0,,,,,,,,,,,,,,,,,,,,,,
SHIELD  HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1292875,2020-03-31,56 PROSPECT ST.,NEW HARTFORD,06057,CT,SHIELD.HIC.LLC@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.9933333,United States,,,,,,,,,,,,,,,,,,,,,,,,
"JUDAH'S CAMP, LLC",LLC,Active,,1292877,2022-03-31,65 Bank St,Waterbury,06702-2207,CT,judahscamp@gmail.com,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.9933333,United States,Fine Arts Schools (611610),611610.0,,,,,,,,,,,,,,,,,,,,,,
SMOKING SESSIONS LLC,LLC,Active,Ready for dissolution,1292878,2019-03-31,27 ENFIELD STREET MAIL 2A,HARTFORD,06112,CT,SMOKINGSESSIONSLLC@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.9933333,,,,,,,,,,,,,,,,,,,,,,,,,
"GRACE CHAPEL CHURCH OF THE LIVING GOD TOTAL MAN(KIND) MINISTRY, INC.",Non-Stock,Active,Annual report due,1292885,2021-12-10,777 DIXWELL AVE,NEW HAVEN,06511,CT,dawc258@yahoo.com,Domestic,2018-12-10,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:28.9933333,United States,Religious Organizations (813110),813110.0,,,,,,,,,,,,,,,,,,,,,,
SUPREME AUTO REPAIRS LLC,LLC,Active,Ready for dissolution,1292886,2019-03-31,75 JAMES ST 2L,BRIDGEPORT,06604,CT,CHRISTOPHERSIMPSON1@YAHOO.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.9933333,,,,,,,,,,,,,,,,,,,,,,,,,
"WILSON'S HAIR SPA, LLC",LLC,Active,Ready for dissolution,1292929,2019-03-31,333 N. MAIN STREET SUITE 27,WEST HARTFORD,06117,CT,,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2566667,,,,,,,,,,,,,,,,,,,,,,,,,
"EXOSOME DIAGNOSTICS, INC.",Stock,Active,Annual report due,1292939,2021-12-10,266 SECOND AVE. SUITE 200,WALTHAM,02451,MA,Compliancemail@cscinfo.com,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:25.2900000,United States,Medical Laboratories (621511),621511.0,,,,2018-12-01,"EXOSOME DIAGNOSTICS, INC.",United States,,,,,,,,,,,,,,,,
ZIGLER INTERNATIONAL CHILD DEVELOPMENT ASSOCIATION CORP.,Non-Stock,Active,Annual report due,1292940,2021-12-10,163 HEPBURN RD,HAMDEN,06517,CT,suge.zhang@gmail.com,Domestic,2018-12-10,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:25.2900000,United States,Educational Support Services (611710),611710.0,,,,,,,,,,,,,,,,,,,,,,
"ASURAGEN, INC.",Stock,Active,Annual report due,1292941,2021-12-10,2150 WOODWARD ST. SUITE 100,AUSTIN,78744,TX,alagrone@asuragen.com,Foreign,2018-12-10,DE,DE,False,False,False,False,False,,2021-11-10 00:12:25.2900000,United States,Research and Development in Biotechnology (except Nanobiotechnology) (541714),541714.0,,,,2018-12-10,"ASURAGEN, INC.",United States,,,,,,,,,,,,,,,,
"FINANCIAL LITERACY FOR ALL, INC.",Non-Stock,Active,First report past due,1292942,2020-12-10,No information provided,,,,,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LONDON COUNTY LAWNCARE LLP,LLP,Renunciated,,1292778,2019-12-10,74A ANTHONY ROAD,NORTH STONINGTON,06359,CT,NLCLAWNCARELLP@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:12.4700000,,,,,,,,,,,,,,,,,,,,,,,,,
SOUND BUSINESS PARTNERS INC.,Stock,Dissolved,,1292876,2020-12-10,No information provided,,,,MATTSAKEY86@GMAIL.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:41.5300000,,,,,20000.0,2020-03-09T00:00:00.000,,,,,,,,,,,,,,,,,,,
WHITE RABBIT STUDIO LLC,LLC,Dissolved,,1292861,2021-03-31,14 WHETTEN ROAD,WEST HARTFORD,06117,CT,db@blumelegal.net,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:04:40.2200000,United States,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",,,,2020-11-06T00:00:00.000,,,,,,,,,,,,,,,,,,,
MARJANI LLC,LLC,Dissolved,,1292540,2019-03-31,7 SCHOOL ROAD APT 7,COLCHESTER,06415,CT,MARGUERITE_KOCH@YAHOO.COM,Domestic,2018-12-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:55.2566667,,,,,,2019-04-08T00:00:00.000,,,,,,,,,,,,,,,,,,,
SIN FRONTERAS LLP,LLP,Renunciated,,1292793,2020-12-10,76 PROGRESS DRIVE,STAMFORD,06903,CT,sinfronterasllp@gmail.com,Domestic,2018-12-10,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:03:47.4600000,United States,Insurance Agencies and Brokerages (524210),,,,,,,,,,,,,,,,,,,,,,,
"DAN TEG CONSULTING, LLC",LLC,Active,Ready for dissolution,1292972,2020-03-31,4 WHISPERING WOODS RD,EAST HAMPTON,06424,CT,danteg01@comcast.net,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.0600000,United States,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,,,,
"COREY CARPENTRY, LLC",LLC,Active,,1292973,2022-03-31,21 FOREST DR.,NEWINGTON,06111,CT,Daniel.corey21@yahoo.com,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.0600000,United States,Finish Carpentry Contractors (238350),238350.0,,,,,,,,,,,,,,,,,,,,,,
LYNXIQ LLC,LLC,Active,,1292974,2022-03-31,10 HERITAGE WAY,BARKHAMSTED,06063,CT,marinka@lynxiq.com,Domestic,2018-12-11,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:33.0600000,United States,Other Management Consulting Services (541618),541618.0,,,,,,,,,,,,,,,,,,,,,,
LUMIT HOLDINGS LLC,LLC,Active,,1292976,2022-03-31,239 EAST HUNTING RIDGE ROAD,STAMFORD,06903,CT,Lumit@optonline.net,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.0600000,United States,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,,,
GK BEST CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1292977,2019-03-31,868 CAPITOL AVE,HARTFORD,06106,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.0600000,,,,,,,,,,,,,,,,,,,,,,,,,
LOPEZ MORALES SERVICES LLC,LLC,Active,Ready for dissolution,1292978,2020-03-31,117 STILLWATER AVE,STAMFORD,06902,CT,karenvallejos@live.com,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.0600000,United States,,,,,,,,,,,,,,,,,,,,,,,,
MASTIFF APPROVED LLP,LLP,Active,Ready for dissolution,1292979,2019-12-11,280 JAMES FARM ROAD,STRATFORD,06614-1042,CT,EMMALEE.ENG@GMAIL.COM,Domestic,2018-12-11,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.0600000,,,,,,,,,,,,,,,,,,,,,,,,,
"IT WORKS MARKETING, INC.",Stock,Active,Annual report due,1292980,2021-12-11,908 RIVERSIDE DRIVE,PALMETTO,34221,FL,legal@itworks.com,Foreign,2018-12-11,FL,FL,False,False,False,False,False,,2021-11-10 00:08:33.0600000,United States,Other Direct Selling Establishments (454390),454390.0,,,,2018-11-01,"IT WORKS MARKETING, INC.",United States,,,,,,,,,,,,,,,,
