name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,total_authorized_shares,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,date_of_organization_meeting
"SEND RELIEF, INC.",Non-Stock,Active,,1264877,2022-02-08,4200 NORTH POINT PKWY,ALPHARETTA,30022,GA,NWalden@urscompliance.com,Foreign,2018-02-08,TX,TX,False,False,False,False,False,,,2021-11-10 00:10:23.4800000,United States,Religious Organizations (813110),813110.0,2017-12-17,"SEND RELIEF, INC.",United States,,,,,,,,,,,,,,,,
"X&Y INVESTMENTS, LLC",LLC,Dissolved,,1263227,2019-03-31,13 DEL TORINO,LAKE ELSINORE,92532,CA,CATREE98@YAHOO.COM,Domestic,2018-02-08,CA,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:14.2133333,,,,,,,,,,,,,,,,,,,2019-03-28T00:00:00.000,,,
NATURAL NAIL BAR AND SPA LLC,LLC,Dissolved,,1263335,2019-03-31,32 WINTONBURY AVE,BLOOMFIELD,06002,CT,JJRILEY12@GMAIL.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:22.9666667,,,,,,,,,,,,,,,,,,,2019-03-04T00:00:00.000,,,
K-12 ACADEMIC ENRICHMENT LLC,LLC,Dissolved,,1262610,2019-03-31,67 FEDERAL RD,BROOKFIELD,06611,CT,HFARZAMI9072@YAHOO.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:31.9833333,,,,,,,,,,,,,,,,,,,2018-09-21T00:00:00.000,,,
GINGER DRAGONS LLC,LLC,Dissolved,,1263311,2019-03-31,286 SHRUB RD 286 SHRUB RD,BRISTOL,06010,CT,GINGERDRAGONSLLC@GMAIL.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:35.0766667,,,,,,,,,,,,,,,,,,,2018-05-24T00:00:00.000,,,
"FOUR SPARROWS, LLC",LLC,Dissolved,,1262684,2019-03-31,190 MILBANK AVENUE,GREENWICH,06830,CT,CAMKWP@YAHOO.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:53.3666667,,,,,,,,,,,,,,,,,,,2018-08-24T00:00:00.000,,,
"STONE DESIGN LANDSCAPES, LLC",LLC,Dissolved,,1263222,2019-03-31,23 SUSAN STREET,BEACON FALLS,06403,CT,STONEDESIGNLANDSCAPES@GMAIL.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:48.1400000,,,,,,,,,,,,,,,,,,,2019-03-26T00:00:00.000,,,
"LUMINE DE AMORE, LLC",LLC,Dissolved,,1262620,2020-03-31,"331 MAIN STREET SOUTH, #2",WOODBURY,06798,CT,WILSONJO500@GMAIL.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:05:25.0933333,,,,,,,,,,,,,,,,,,,2019-07-10T00:00:00.000,,,
"100 NEW HARTFORD, LLC",LLC,Dissolved,,1263212,2019-03-31,43 BELLEVUE AVE.,BRISTOL,06010,CT,TFUREY@FUREYDONOVAN.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:34.5066667,,,,,,,,,,,,,,,,,,,2020-02-18T00:00:00.000,,,
"FLEX FITNESS, LLC",LLC,Dissolved,,1263347,2019-03-31,"346 MAIN STREET, UNIT 3B",NORWALK,06851,CT,TYLERCOLLINS@SBCGLOBAL.NET,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:39.8200000,,,,,,,,,,,,,,,,,,,2019-03-29T00:00:00.000,,,
"SHARPOON INTERNATIONAL LTD, LLC",LLC,Dissolved,,1263303,2021-03-31,54 LAWNCREST DRIVE,SOUTHINGTON,06489,CT,jcsharp3@gmail.com,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:48.0233333,United States,"Data Processing, Hosting, and Related Services (518210)",,,,,,,,,,,,,,,,,2020-03-17T00:00:00.000,,,
MACAULEY ASSOCIATES LLC,LLC,Dissolved,,1263241,2019-03-31,10 HITCHCOCK ROAD,WESTPORT,06880,CT,BOGIMAC@OPTONLINE.NET,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:03:48.7266667,,,,,,,,,,,,,,,,,,,2018-09-26T00:00:00.000,,,
"KMZ PROPERTIES, LLC",LLC,Dissolved,,1262682,2020-03-31,130 HUNTER ROAD,FAIRFIELD,06824,CT,KENNYZ13@YAHOO.COM,Domestic,2018-02-08,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:04:00.4300000,United States,,,,,,,,,,,,,,,,,,2019-12-10T00:00:00.000,,,
S&O TILE AND MARBLE LLC,LLC,Active,Ready for dissolution,1261414,2019-03-31,193 NORFOLK ST,WEST HAVEN,06516,CT,SOTILE2018@YAHOO.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8533333,,,,,,,,,,,,,,,,,,,,,,
ESTATES HOLDINGS LLC,LLC,Active,,1262694,2022-03-31,29 MAPLE ST,MIDDLETOWN,06457,CT,royaltyholdings@hotmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2766667,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,
"GFM ENTERPRISES, LLC",LLC,Active,Ready for dissolution,1262729,2019-03-31,"39 GLENBROOK RD, 1-Y",STAMFORD,06902,CT,DYERFG@YAHOO.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
CTRMA INC.,Non-Stock,Dissolved,,1262732,2021-02-09,C/O FOCUS GOVERNMENT AFFAIRS 241 ASYLUM STREET UNIT 700 WEST,HARTFORD,06103,CT,dhardy@carmodylaw.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Business Associations (813910),813910.0,,,,,,,,,,,,,,,,2020-11-23T00:00:00.000,,,
MAXI HOME DESIGNS LLC,LLC,Active,,1262746,2022-03-31,9 BOLT LANE,MILFORD,06461,CT,CONTACT@ISELACCOUNTING.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,
TREASHER LLC,LLC,Active,Ready for dissolution,1262751,2019-03-31,31 HURLBURT STREET,NEW BRITIAN,06051,CT,TREASHER.TT@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.9000000,,,,,,,,,,,,,,,,,,,,,,
TANSAM LLC,LLC,Active,Ready for dissolution,1262756,2019-03-31,102 RIVER ST,LISBON,06351,CT,TAN186512@MSN.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.9000000,,,,,,,,,,,,,,,,,,,,,,
EMILY JANE LLC,LLC,Active,,1262784,2022-03-31,27 BRIAR ROAD,BETHANY,06524,CT,mrausch@hmrslaw.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.9500000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,
"THE RUDZAVICE FAMILY CANCER FOUNDATION, INC.",Non-Stock,Active,First report past due,1262928,2020-02-09,No information provided,,,,,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file First Report,,2021-11-10 00:10:20.9000000,,,,,,,,,,,,,,,,,,,,,,
CLJ SALES CORP.,Stock,Active,,1262929,2022-02-09,88 CLUBHOUSE DRIVE,STAMFORD,06902,CT,marvinkirsner@gmail.com,Foreign,2018-02-09,NY,NY,False,False,False,False,False,,,2021-11-10 00:10:20.9000000,United States,All Other Personal Services (812990),812990.0,2018-02-06,CLJ SALES CORP.,United States,,,,,,,,,,,,,,,,
"EXAMWORKS, LLC",LLC,Active,,1262931,2022-03-31,3280 PEACHTREE ROAD NE SUITE 2625,ATLANTA,30305,GA,Compliancemail@cscinfo.com,Foreign,2018-02-09,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:21.5566667,United States,All Other Insurance Related Activities (524298),524298.0,2018-02-09,"EXAMWORKS, LLC",United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,
"SUMMER GIRL MEDIA, LLC",LLC,Active,Ready for dissolution,1262932,2019-03-31,194 WASHINGTON ROAD,WOODBURY,06798,CT,NANCY@SUMMERGIRLMEDIA.NET,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.5566667,,,,,,,,,,,,,,,,,,,,,,
SCF RC FUNDING IV LLC,LLC,Active,,1262933,2022-03-31,"902 CARNEGIE CENTER BLVD, SUITE 520",PRINCETON,08540,NJ,complianceteam@cogencyglobal.com,Foreign,2018-02-09,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:21.5566667,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2018-01-31,SCF RC FUNDING IV LLC,United States,"850 NEW BURTON ROAD, SUITE 201, DOVER, DE, 19904, United States","850 NEW BURTON ROAD, SUITE 201",DOVER,DE,19904,United States,"850 NEW BURTON ROAD, SUITE 201, DOVER, DE, 19904, United States","850 NEW BURTON ROAD, SUITE 201",DOVER,DE,19904,United States,,,,
WING MADNESS 2 INC.,Stock,Active,First report past due,1262934,2020-02-09,No information provided,,,,,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file First Report,200.0,2021-11-10 00:10:21.5566667,,,,,,,,,,,,,,,,,,,,,,
"ADNIT, INC.",Stock,Active,Ready for dissolution,1262935,2020-02-09,40 SUMMER ST.,BANGOR,04401,ME,corporate@telecompliance.net,Foreign,2018-02-09,ME,ME,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.5566667,,,,2018-02-09,"ADNIT, INC.",,,,,,,,,,,,,,,,,
ADN INTERNET/TELEPHONE LLC,LLC,Active,,1262936,2022-03-31,40 SUMMER ST.,BANGOR,04401,ME,ADNINTERNET@RTCTEAM.NET,Foreign,2018-02-09,ME,ME,False,False,False,False,False,,,2021-11-10 00:10:21.5566667,United States,Professional Organizations (813920),813920.0,2018-02-09,ADN INTERNET/TELEPHONE LLC,United States,"40 SUMMER ST., BANGOR, ME, 04401,",40 SUMMER ST.,BANGOR,ME,04401,,"40 SUMMER ST., BANGOR, ME, 04401, United States",40 SUMMER ST.,BANGOR,ME,04401,United States,,,,
WILLIAM ZERILLO CORP.,Stock,Active,,1262940,2022-02-09,5 CIRCLE DRIVE,GREENWICH,06830,CT,Bzerillo@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,200.0,2021-11-10 00:10:21.5566667,United States,Sports and Recreation Instruction (611620),611620.0,,,,,,,,,,,,,,,,,,,
"A.K. BONCEK, LLC",LLC,Active,,1262945,2022-03-31,1228 FARMINGTON AVENUE,WEST HARTFORD,06107,CT,londonshopwines@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.5566667,United States,"Beer, Wine, and Liquor Stores (445310)",445310.0,,,,,,,,,,,,,,,,,,,
"MDP SERVICES, LLC",LLC,Active,Annual report past due,1262947,2021-03-31,603 MAIN ST S,BETHLEHEM,06751,CT,matperucci@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.5566667,United States,Site Preparation Contractors (238910),238910.0,,,,,,,,,,,,,,,,,,,
"507 SMITH RIDGE ROAD, LLC",LLC,Active,,1262951,2022-03-31,1 GORHAM ISLAND SUITE 100,WESTPORT,06880,CT,amiller@maplewoodsl.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:21.5900000,United States,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,
JJP CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1263002,2020-03-31,15 CANNON ST,NORWALK,06854,CT,LOUISSACOTO@SBCGLOBAL.NET,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2000000,United States,,,,,,,,,,,,,,,,,,,,,
"N3XTLVL, LLC",LLC,Active,Ready for dissolution,1263087,2019-03-31,81 COALPIT HILL ROAD APT. K,DANBURY,06810,CT,,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.9000000,,,,,,,,,,,,,,,,,,,,,,
"AMY KANE CONSULTING, LLC",LLC,Active,Ready for dissolution,1263090,2019-03-31,123 HARBOR DRIVE #505,STAMFORD,06902,CT,,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.9166667,,,,,,,,,,,,,,,,,,,,,,
"TAPESTRY TELEHEALTH SOLUTIONS, INC.",Stock,Active,,1263275,2022-02-09,99 Hawley Ln,Stratford,06614-1201,CT,zchess@tapestry.care,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,20000.0,2021-11-10 00:10:21.5900000,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,,,,,,,,,,,
"KUMHO TIRE U.S.A., INC.",Stock,Active,Ready for dissolution,1263286,2019-02-09,"133 PEACHTREE SREET, N.E. SUITE 2800",ATLANTA,30303,GA,SPHONG@KUMHOTIREUSA.COM,Foreign,2018-02-09,GA,GA,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:21.5900000,,,,2008-01-01,"KUMHO TIRE U.S.A., INC.",,,,,,,,,,,,,,,,,
"WOLINSKI WELLNESS, LLC",LLC,Dissolved,,1263362,2020-03-31,46 LEBANON RD,BOZRAH,,CT,snwolinski@yahoo.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2766667,,,,,,,,,,,,,,,,,,,2021-02-15T00:00:00.000,,,
"GIBSON SAW IT PHOTOGRAPHY, LLC",LLC,Active,Ready for dissolution,1263363,2020-03-31,619 COURTLAND AVE.,BRIDGEPORT,06605,CT,quantwillaGIBSON@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2766667,United States,,,,,,,,,,,,,,,,,,,,,
KHLOE LYNN MED SPA & SKINCARE LLC,LLC,Active,Ready for dissolution,1263364,2020-03-31,490 HUNTINGTON RD.,STRATFORD,06614,CT,DANIELLE.M.DONFRANCESCO@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2766667,United States,,,,,,,,,,,,,,,,,,,,,
"APEX KRAV MAGA, LLC",LLC,Active,,1263365,2022-03-31,17 ORCHARD ST.,NAUGATUCK,06770,CT,brittsoden@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2766667,United States,Fitness and Recreational Sports Centers (713940),713940.0,,,,,,,,,,,,,,,,,,,
"CHARTER OAK PENS, LLC",LLC,Active,Ready for dissolution,1263366,2019-03-31,1680 CROSS HWY.,FAIRFIELD,06824,CT,RONNY@WAYNEWOODWORKSCT.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2766667,,,,,,,,,,,,,,,,,,,,,,
SOUZAFIT CT LLC,LLC,Active,Ready for dissolution,1263367,2019-03-31,58 MAIN STREET 58 MAIN STREET,DANBURY,06810,CT,W.BEAL@PADGETTSOUTHSALEM.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2766667,,,,,,,,,,,,,,,,,,,,,,
STUDIO 3 SPA & NAILS INC,Stock,Active,,1263368,2022-02-05,36 VITTI ST,NEW CANAAN,06840,CT,wendytax@yahoo.com,Domestic,2018-02-09,CT,Connecticut,True,False,False,False,False,,200.0,2021-11-10 00:10:22.2766667,United States,Beauty Salons (812112),812112.0,,,,,,,,,,,,,,,,,,,
SUNRISE TECHNOLOGY SPECIALISTS LLC,LLC,Active,,1263369,2022-03-31,23 REGENCY CIR,TRUMBULL,06611,CT,pnictas@sunrisetechit.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2766667,United States,Computer Facilities Management Services (541513),561990.0,,,,,,,,,,,,,,,,,,,
"DONADIO ENTERPRISES, LLC",LLC,Active,,1263370,2022-03-31,61 SHAKER COURT,GUILFORD,06437,CT,christina@doublegreencircle.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2766667,United States,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,
"TROUT UNLIMITED, INC.",Non-Stock,Active,First report past due,1263372,2020-02-09,No information provided,,,,TBROWN@TU.ORG,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file First Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
UPLIFT TEACHERS LLC,LLC,Active,Ready for dissolution,1263375,2019-03-31,102 ELLSWORTH BLVD 102 ELLSWORTH BLVD,KENSINGTON,06037,CT,UPLIFTTEACHERS@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
NICHOLAS LANG LLC,LLC,Active,Ready for dissolution,1263376,2019-03-31,14 FRANCE ST,NORWALK,06851,CT,EFILE1234@INCFILE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3233333,,,,,,,,,,,,,,,,,,,,,,
BRICEBUILT LLC,LLC,Active,,1263377,2022-03-31,32 STILL RIVER DR,NEW MILFORD,06776,CT,EFILE1234@INCFILE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,United States,Fitness and Recreational Sports Centers (713940),611620.0,,,,,,,,,,,,,,,,,,,
WOK CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1263378,2019-03-31,17 DALE STREET,STAMFORD,06902,CT,WOJCIECH.KOSINSKI@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3233333,,,,,,,,,,,,,,,,,,,,,,
NITRON GROUP SHIPPING US LLC,LLC,Active,,1263379,2022-03-31,35 MASON STREET,GREENWICH,06830,CT,leah@nitrongroup.com,Foreign,2018-02-09,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,United States,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2017-09-01,NITRON GROUP SHIPPING US LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,
DOOR DECOR LLC,LLC,Active,Ready for dissolution,1263380,2019-03-31,126 ROXBURY RD,NIANTIC,06357,CT,EFILE1234@INCFILE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3233333,,,,,,,,,,,,,,,,,,,,,,
"HP HOLDINGS, LLC",LLC,Active,,1263383,2022-03-31,1551 N WALNUT SUITE 12,NEW BRAUNFELS,78130,TX,rbtedesco222@gmail.com,Domestic,2018-02-09,TX,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.3233333,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,
TORNOS CONSULTING LLC,LLC,Active,,1263384,2022-03-31,144 WINDSOR CT,MADISON,06443,CT,joanne@tornosconsulting.com,Domestic,2018-02-09,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.3233333,United States,Human Resources Consulting Services (541612),541612.0,,,,,,,,,,,,,,,,,,,
CHARMAR LLC,LLC,Active,Ready for dissolution,1263386,2019-03-31,83 PROVIDENCE ST.,TAFTVILLE,06380,CT,SHOCKEY001@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3233333,,,,,,,,,,,,,,,,,,,,,,
INCEPTIONU LLC,LLC,Active,,1263388,2022-03-31,20 HIGHLAND RIDGE DR,SUFFIELD,06078,CT,mak6j2@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:10:22.3233333,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,,,,,,,
MAMALUTION LLC,LLC,Active,Ready for dissolution,1263389,2020-03-31,"555 ASYLUM AVE, #210 555 ASYLUM AVE, #210",HARTFORD,06105,CT,IMANI@MAMALUTION.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3233333,United States,,,,,,,,,,,,,,,,,,,,,
A DARING VOYAGE LLC,LLC,Active,,1263390,2022-03-31,"THE WINDHAM MILLS BUSINESS CENTER 322 MAIN STREET, SUITE 2E-1I",WILLIMANTIC,06226,CT,EFILE1234@INCFILE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Outpatient Mental Health and Substance Abuse Centers (621420),812990.0,,,,,,,,,,,,,,,,,,,
A MOMENT IN TIME MASSAGE LLC,LLC,Active,,1263391,2022-03-31,3490 WHITNEY AVENUE SUITE 205,HAMDEN,06518,CT,Jillamomentintimemassage@gmail.com,Domestic,2018-02-09,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,,,,,,,
"ULAJ MANAGEMENT, LLC",LLC,Active,Ready for dissolution,1263392,2019-03-31,81 OLD LONG RIDGE ROAD,STAMFORD,06903,CT,JACKULAJ@HOTMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
PEAK VITALS INC.,Stock,Active,First report past due,1263393,2020-02-09,No information provided,,,,EFILE1234@INCFILE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file First Report,1500.0,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
"795 COMMONWEALTH AVENUE, LLC",LLC,Active,,1263394,2022-03-31,164 FOX HILL ROAD,POMFRET CENTER,06259,CT,tsallum@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,
"MY CONIFER, INC.",Stock,Active,,1263395,2022-02-09,90 DRIFTWOOD LANE,TRUMBULL,06611,CT,carol@simplysashing.com,Domestic,2018-02-09,CT,Connecticut,True,False,False,False,False,,1000.0,2021-11-10 00:10:22.8700000,United States,Textile and Fabric Finishing Mills (313310),313310.0,,,,,,,,,,,,,,,,,,,
"DAWN COHEN LCSW, LLC",LLC,Active,,1263397,2022-03-31,152 SIMSBURY RD BUILDING 8 2ND FLOOR,AVON,06001,CT,dawncohenlcsw@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,
CONNECTICUT AIRGUNNERS CLUB INC.,Non-Stock,Active,,1263398,2022-02-09,224 TUMBLEBROOK RD,MERIDEN,06450,CT,gonzav71@gmail.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,,,,,,,,,,,,,,,,,,,
PLATINUM LUXURY AUCTIONS LLC,LLC,Active,,1263399,2022-03-31,201 S BISCAYNE BLVD FLOOR 28,MIAMI,33131,FL,inquire@platinumluxuryauctions.com,Foreign,2018-02-09,FL,FL,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Other Activities Related to Real Estate (531390),531390.0,2018-02-09,PLATINUM LUXURY AUCTIONS LLC,United States,"201 S BISCAYNE BLVD FLOOR 28, MIAMI, FL, 33131,",201 S BISCAYNE BLVD FLOOR 28,MIAMI,FL,33131,,"201 S BISCAYNE BLVD FLOOR 28, MIAMI, FL, 33131, United States",201 S BISCAYNE BLVD FLOOR 28,MIAMI,FL,33131,United States,,,,
"CNJ LANDSCAPING, LLC",LLC,Active,Ready for dissolution,1263400,2020-03-31,93 THOMPSON STREET,HAMDEN,06518,CT,LEYLA1972@LIVE.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,United States,,,,,,,,,,,,,,,,,,,,,
CONNOR HOWARD SERVICES LLC,LLC,Active,Ready for dissolution,1263401,2019-03-31,12 BROOKFIELD DR,SHELTON,06484,CT,CONNOR_J_HOWARD@SBCGLOBAL.NET,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
OPTIMUM TRANSPORT SERVICES LLC,LLC,Active,Ready for dissolution,1263403,2019-03-31,51 ALPINE STREET,BRIDGEPORT,06610,CT,FILINGS@LEGALINC.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
SANTAELLA LOGISTIC DELIVERY SERVICES L.L.C.,LLC,Active,Ready for dissolution,1263404,2019-03-31,125 PRATT ST.,EAST HARTFORD,06118,CT,JAKE.SANTAELLA@GMAIL.COM,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
BRAWL STABLES LLC,LLC,Dissolved,,1263405,2021-03-31,35 FIDDLEHEAD RD,OXFORD,06478,CT,fabrowne@me.com,Domestic,2018-02-09,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Other Spectator Sports (711219),711219.0,,,,,,,,,,,,,,,,2021-05-13T00:00:00.000,,,
