name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,total_authorized_shares,create_dt,sub_status,reason_for_administrative,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
"GYPSUM SYSTEM, INC.",Stock,Active,1259680,2022-01-05,11 HINMAN MEADOW,BURLINGTON,United States,06013,CT,jim@gsllcpro.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),238310.0,1000.0,2021-11-10 00:10:18.1500000,,,,,,,,,,,,,,,,,,,,,
"NATURAL WHOLE BODY HEALTH, LLC",LLC,Active,1259681,2022-03-31,540 HOPMEADOW STREET,SIMSBURY,United States,06070,CT,cavdc23@gmail.com,Domestic,2018-01-05,CT,Connecticut,True,False,False,False,False,Offices of Chiropractors (621310),,,2021-11-10 00:10:18.1500000,,,,,,,,,,,,,,,,,,,,,
PITTMANS ENTERPRISE GROUP LLC,LLC,Active,1259682,2019-03-31,82 ORCHARD STREET,NEW HAVEN,,06519,CT,PITTMANSENTERPRISEGROUPLLC@MIGUELPITTMAN.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1500000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"ERIN OUTDOORS, LLC",LLC,Dissolved,1259684,2021-03-31,97 PILGRIM LANE 97 PILGRIM LANE,FAIRFIELD,United States,06824,CT,info@erinoutdoors.com,Domestic,2018-01-05,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,,2021-11-10 00:10:18.1833333,,,2021-08-02T00:00:00.000,,,,,,,,,,,,,,,,,,
IXCOY CLEANING SERVICE LLC,LLC,Active,1259685,2019-03-31,35 BEAVER BROOK RD #2,DANDURY,,06810,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"SALON INNOVATORS, LLC",LLC,Active,1259689,2019-03-31,251 LITTLE FALLS DRIVE,WILMINGTON,,19808,DE,DHARTY@ADFMGT.COM,Foreign,2018-01-05,DE,DE,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,2018-12-31,"SALON INNOVATORS, LLC",,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,,,,
EPIC SMILEMAKERS LLC,LLC,Active,1259690,2022-03-31,369 MAIN STREET,WEST HAVEN,United States,06516,CT,drjasontartagni@shorelinedentalcare.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Offices of Dentists (621210),621210.0,,2021-11-10 00:10:18.1833333,,,,,,,,,,,,,,,,,,,,,
BDG ARCHITECTS LLP,LLP,Active,1259691,2022-01-05,400 N ASHLEY DRIVE SUITE 600,TAMPA,United States,33602,FL,managedreports@incorp.com,Foreign,2018-01-05,FL,FL,False,False,False,False,False,Architectural Services (541310),,,2021-11-10 00:10:18.1833333,,,,2018-01-05,BDG ARCHITECTS LLP,United States,,,,,,,,,,,,,,,
GHSK SERVICES LLC,LLC,Active,1259693,2022-03-31,3000 WHITNEY AVENUE SUITE 130,HAMDEN,United States,06518,CT,alanza@ghskllc.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,All Other Legal Services (541199),541199.0,,2021-11-10 00:10:18.1833333,,,,,,,,,,,,,,,,,,,,,
BV BOOKS LLC,LLC,Active,1259695,2022-03-31,62 MARY LANE 62 MARY LANE,RIVERSIDE,United States,06878,CT,Brooke.Vitale@gmail.com,Domestic,2018-01-05,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,2021-11-10 00:10:18.1833333,,,,,,,,,,,,,,,,,,,,,
SPREAD INC.,Stock,Active,1259696,2020-01-05,No information provided,,,,,VITALE.ANDREW@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,200.0,2021-11-10 00:10:18.1833333,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,
"KITTY KAT RESCUE, INC.",Non-Stock,Active,1259697,2022-01-05,16 LANCASTER ST,OAKVILLE,United States,06779,CT,kittykatrescuect@gmail.com,Domestic,2018-01-05,CT,Connecticut,True,False,False,False,False,"Environment, Conservation and Wildlife Organizations (813312)",,,2021-11-10 00:10:18.1833333,,,,,,,,,,,,,,,,,,,,,
OHSOFABULOUS EVENTS & MORE LLC,LLC,Active,1259698,2019-03-31,65 CORBIN RD.,HAMDEN,,06517,CT,INFO@OHSOFABULOUSEVENTS.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
CALIBER K-9 LLC,LLC,Active,1259699,2019-03-31,150 FABYAN RD,NORTH GROVESNORDALE,,06255,CT,KJPELC@CALIBERK9.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
JS REMODELING TILE AND PAINTING LLC,LLC,Active,1259700,2020-03-31,79 HAZELWOOD AVE,BRIDGEPORT,United States,06605,CT,JSTILEANDPAINTING@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"73 PARK AVE, LLC",LLC,Active,1259701,2019-03-31,54 ASHFORD ST,BROOKLYN,,11207,NY,JMCORPNY@HOTMAIL.COM,Domestic,2018-01-05,NY,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
AF DYNASTY LLC,LLC,Active,1261380,2022-03-31,2020 NORWICH-NEW LONDON TPKE #8,UNCASVILLE,United States,06382,CT,LDOKKEN@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),713940.0,,2021-11-10 00:10:22.2600000,,,,,,,,,,,,,,,,,,,,,
"BR RESTAURANT GROUP, LLC",LLC,Active,1262708,2022-03-31,206 LINLEY DRIVE,FAIRFIELD,United States,06825,CT,biancorossotrumbull@gmail.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),,,2021-11-10 00:10:22.2766667,,,,,,,,,,,,,,,,,,,,,
ASYA LLC,LLC,Active,1262709,2019-03-31,43 MAIN STREET,NEW HAVEN,,06512,CT,BEHRAM95@HOTMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.3066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"FOOD EXPLORERS, LLC",LLC,Active,1262716,2022-03-31,20 GARY DRIVE,ENFIELD,United States,06082,CT,katie@food-explorers.com,Domestic,2018-01-05,CT,Connecticut,True,False,False,False,False,Other Performing Arts Companies (711190),711190.0,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,
BONGO RON'S LLC,LLC,Active,1262726,2019-03-31,65 MAIN ST,OLD SAYBROOK,,06475,CT,,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.3066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
TCHICK LLC,LLC,Active,1262727,2019-03-31,63 PEMBROKE ROAD,DANBURY,,06811,CT,FENCOREA@SBCGLOBAL.NET,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.3066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
KITTYCOSMETICS LLC,LLC,Active,1262728,2019-03-31,1200 NEIPSIC RD,GLASTONBURY,,06033,CT,KITTYCOSMETICS@YAHOO.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.3066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"OLSEN FAMILY, LLC",LLC,Dissolved,1262730,2019-03-31,153 PEDDLERS DRIVE,BRANFORD,,06405,CT,KAARENO@SBCGLOBAL.NET,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.8700000,,,2021-03-24T00:00:00.000,,,,,,,,,,,,,,,,,,
AIRAWARE LLC,LLC,Active,1262731,2020-03-31,79 PEARL STREET APT. 3,NEW HAVEN,United States,06511,CT,AWAIRABLE@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.8700000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"THE LAW OFFICES OF JAMES A. WELCOME, LLC",LLC,Active,1262733,2022-03-31,80 CENTRAL AVENUE,WATERBURY,United States,06702,CT,jwelcome@welcomelawfirm.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,jwelcome@welcomelawfirm.com,,
102 HILLTOP DRIVE LLC,LLC,Active,1262747,2022-03-31,132 EAST STREET,PLAINVILLE,United States,06062,CT,bethwillett@hotmail.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,
"INCOMPARABLE COLLECTION, LLC",LLC,Active,1262748,2019-03-31,397 CIRCULAR AVENUE,HAMDEN,,06514,CT,,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:22.9000000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
CSS WOODWORKING INC.,Stock,Active,1262786,2020-01-05,No information provided,,,,,,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,100.0,2021-11-10 00:10:22.9500000,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,
"THOMPSON, HANCOCK, WITTE & ASSOCIATES, INC.",Stock,Active,1262812,2022-01-05,2100 RIVEREDGE PARKWAY SUITE 900,ATLANTA,United States,30328,GA,annualreports@cscinfo.com,Foreign,2018-01-05,GA,GA,False,False,False,False,False,Architectural Services (541310),,,2021-11-10 00:10:20.1833333,,,,2018-01-01,"THOMPSON HANCOCK WITTE & ASSOCIATES, INC.",United States,,,,,,,,,,,,,,,
"ACE KING VENDING, LLC",LLC,Dissolved,1259660,2019-03-31,5 RANDY ROAD,MILFORD,,06461,CT,JBETZIG@BEIRNEWEALTH.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:05:50.8066667,,,2018-09-28T00:00:00.000,,,,,,,,,,,,,,,,,,
"ALLEUS HEALTH ANALYTICS, LLC",LLC,Withdrawn,1262824,2019-03-31,525 NORTH TRYON ST SUITE 1600,CHARLOTTE,,28202,NC,,Foreign,2018-01-05,DE,DE,False,False,False,False,False,,,,2021-11-10 00:06:00.2500000,,,,2018-01-03,"ALLEUS HEALTH ANALYTICS, LLC",,,,,,,,,,,,,,,,
AIRGARDIAN LLC,LLC,Dissolved,1259663,2019-03-31,5 RICKY LANE,PRESTON,,06365-8620,CT,JRT@AIRGARDIAN.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:06:04.3433333,,,2018-12-28T00:00:00.000,,,,,,,,,,,,,,,,,,
WEMOHER REMODELING LLC,LLC,Dissolved,1259692,2019-03-31,170 LINCOLN AVE APT 37,BRIDGEPORT,,06606,CT,ATLANTISLLC@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:04:22.2500000,,,2020-09-14T00:00:00.000,,,,,,,,,,,,,,,,,,
"CHIPPED NAILS PICTURES, INC.",Stock,Dissolved,1259677,2020-01-05,No information provided,,,,,PROCESSING@MYCORPORATION.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,1500.0,2021-11-10 00:05:08.7500000,,,2020-01-21T00:00:00.000,,,,,,,,,,,,,,,,,,
THE RYZAK GROUP LLC,LLC,Active,1259484,2022-03-31,44 Macintosh Dr,Oxford,United States,06478-1357,CT,theryzakgroup@gmail.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),,,2021-11-10 00:05:19.1733333,,,,,,,,,,,,,,,,,,,,,
FAL TECHNOLOGY LLC,LLC,Dissolved,1259608,2020-03-31,14 JENNINGS CT,WESTPORT,United States,06880,CT,MICHAELALPERT@YAHOO.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:05:50.1366667,,,2019-12-30T00:00:00.000,,,,,,,,,,,,,,,,,,
ALLEUS CONSULTING LLC,LLC,Withdrawn,1262821,2019-03-31,525 NORTH TRYON STREET SUITE 1600,CHARLOTTE,,28202,NC,,Foreign,2018-01-05,DE,DE,False,False,False,False,False,,,,2021-11-10 00:03:15.9900000,,,,2018-01-03,ALLEUS CONSULTING LLC,,,,,,,,,,,,,,,,
"SIR-9 WAKENOR, LLC",LLC,Dissolved,1262272,2020-03-31,943 POST RD E,WESTPORT,,06880,CT,JULIEHAROUN@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:19.4733333,,,2019-12-04T00:00:00.000,,,,,,,,,,,,,,,,,,
SUNSHINE STORE LLC,LLC,Dissolved,1259631,2019-03-31,584 SUCCESS AVE,STRATFORD,,06614,CT,OFFICE@ACCESSCONSULTINGUSA.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:39.1166667,,,2018-06-11T00:00:00.000,,,,,,,,,,,,,,,,,,
ALLEUS  HEALTH LLC,LLC,Withdrawn,1262826,2019-03-31,525 NORTH TRYON STREET SUITE 1600,CHARLOTTE,,28202,NC,,Foreign,2018-01-05,DE,DE,False,False,False,False,False,,,,2021-11-10 00:03:41.8666667,,,,2018-01-03,ALLEUS HEALTH LLC,,,,,,,,,,,,,,,,
STICK-UPZ LLC,LLC,Dissolved,1259630,2020-03-31,73 FILLOW STREET,NORWALK,United States,06850,CT,markgreene@stick-upz.com,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:45.0533333,,,2019-12-24T00:00:00.000,,,,,,,,,,,,,,,,,,
"J&P UNITED PROPERTIES, LLC",LLC,Dissolved,1259639,2020-03-31,123 CROSS ROAD,MIDDLEBURY,United States,06762,CT,JLONGOIII@GMAIL.COM,Domestic,2018-01-05,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:58.4933333,,,2019-12-20T00:00:00.000,,,,,,,,,,,,,,,,,,
"NEW APOSTOLIC INTERNATIONAL MINISTRIES ""NAIM""",Religious,Active,1259524,,No information provided,,,,,,Domestic,2018-01-06,,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5433333,,,,,,,,,,,,,,,,,,,,,
"VINCENT J. PARENTE PLUMBING & HEATING, LLC",LLC,Dissolved,1259694,2019-03-31,95 POCAHONTAS ROAD,REDDING,,06896,CT,VINCENTJPARENTEPLUMBING@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.1833333,,,2021-03-03T00:00:00.000,,,,,,,,,,,,,,,,,,
CHRIS AND ROY'S LLC,LLC,Active,1259702,2021-03-31,1147 S. CURTIS STREET,WALLINGFORD,United States,06492,CT,chrisandroysllc@gmail.com,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,Mobile Food Services (722330),722330.0,,2021-11-10 00:10:18.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,
WELL HOMES CONTRACTORS LLC,LLC,Active,1259704,2021-03-31,17 SHERMAN AVE,GREENWICH,United States,06830,CT,WELLHOMESCONTRACTORSLLC@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),,,2021-11-10 00:10:18.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,
MARIA E SALAZAR LLC,LLC,Dissolved,1259705,2019-03-31,328 NORFOLK RD 328 NORFOLK RD,EAST CANAAN,,06024,CT,EDAFIESCHI@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,2021-10-21T00:00:00.000,,,,,,,,,,,,,,,,,,
"PIGGYBACK DISTILLING, LLC",LLC,Active,1259706,2022-03-31,1219 GEORGES HILL ROAD,SOUTHBURY,United States,06488,CT,bcollinsk@yahoo.com,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,Distilleries (312140),312140.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
ARETE ADVISORS LLC,LLC,Active,1259707,2022-03-31,1500 Gateway Blvd.,Boynton Beach,United States,33426,FL,wdaye01@gmail.com,Domestic,2018-01-06,FL,Connecticut,False,False,True,False,False,Professional and Management Development Training (611430),611430.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,Ste 250,
SHAZIA MAHMOOD INC,B Corp,Active,1259708,,No information provided,,,,,HARRY103@LIVE.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,100.0,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
TJ CARTING SERVICES LLC,LLC,Active,1259709,2020-03-31,15 TERESA PL,BRIDGEPORT,United States,06606,CT,ATLANTISLLC@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
MOBILE RESCUE ROCKY HILL LLC,LLC,Active,1259710,2019-03-31,2162 SILAS DEANE HIGHWAY,ROCKY HILL,,06067,CT,LORIELUMBA@HOTMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
STYLEWISE NATION LLC,LLC,Active,1259712,2019-03-31,75 CLEVELAND ROAD,NEW HAVEN,,06515,CT,ALISHA@STYLE-WISE.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
65 OGDEN LLC,LLC,Active,1259713,2022-03-31,181 OLD POST RD,SOUTHPORT,United States,06890,CT,finance@vrhllc.com,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
THINK BIG LLC,LLC,Active,1259717,2021-03-31,13 EVERGREEN RD,VERNON,United States,06066,CT,musaelsir@gmail.com,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,All Other Health and Personal Care Stores (446199),446199.0,,2021-11-10 00:10:18.2300000,Annual report past due,,,,,,,,,,,,,,,,,,,,
"J. M. PHELPS, LLC",LLC,Active,1259718,2020-03-31,16 FOX RUN LANE,KILLINGWORTH,United States,06419,CT,JULIEPHELPS@COMCAST.NET,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
PROMOTIONAL OPPORTUNITIES LLC,LLC,Active,1259719,2022-03-31,24 RIVERVIEW DR,NORWALK,United States,06850,CT,roygagne@me.com,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,Professional Organizations (813920),813920.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
"LIVE OAK COUNSELING & MEDIATION, LLC",LLC,Active,1259721,2022-03-31,57 PLAINS ROAD SUITE 3C,MILFORD,United States,06461,CT,jwarner@liveoakcounselingct.com,Domestic,2018-01-06,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,2021-11-10 00:10:18.2300000,,,,,,,,,,,,,,,,,,,,,
GIFTING YOUR COMMUNITY LLC,LLC,Active,1259722,2019-03-31,27 NORTHILL 1M,STAMFORD,,06901,CT,NICOLE@GIFTINGYOURCOMMUNITY.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2300000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
MARTIN SERVICES LLC,LLC,Active,1259725,2020-03-31,810 PODUNK RD,GUILFORD,United States,06437,CT,MHOURIHANE@COMCAST.NET,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.2600000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
SALON PERFECTION LLC,LLC,Dissolved,1259720,2019-03-31,232 BOSTON POST RD.,MILFORD,,,CT,SALONPERFECTIONMILFORD@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:05:40.3500000,,,2020-02-18T00:00:00.000,,,,,,,,,,,,,,,,,,
67 GRIDLEY ST LLC,LLC,Dissolved,1259703,2019-03-31,67 GRIDLEY ST,BRISTOL,,06010,CT,LEONARD.MANZ@GMAIL.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:46.4933333,,,2019-03-27T00:00:00.000,,,,,,,,,,,,,,,,,,
"BLESSO PRECISION PAINTING, LLC",LLC,Dissolved,1259711,2020-03-31,23 MALLARD COVE,EAST HAMPTON,United States,06424,CT,GEORGE.BLESSO@ICLOUD.COM,Domestic,2018-01-06,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:03:59.7133333,,,2019-11-19T00:00:00.000,,,,,,,,,,,,,,,,,,
"HANSEN SPILL RESPONSE RESEARCH,LLC",LLC,Active,1259125,2020-03-31,68 PEQUOTSEPOS ROAD,MYSTIC,United States,06355,CT,KURTHANSPE@GMAIL.COM,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.9333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
SONATA SCIENTIFIC LLC,LLC,Active,1259567,2022-03-31,25 FRANCIS J CLARKE CIRCLE,BETHEL,United States,06801,CT,filings@vcorpservices.com,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,Surgical Appliance and Supplies Manufacturing (339113),339113.0,,2021-11-10 00:10:20.1500000,,,,,,,,,,,,,,,,,,,,,
A-ROD ELECTRIC LLC,LLC,Active,1259568,2019-03-31,240 CLARK ST,BRIDGEPORT,,06606,CT,,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:20.1500000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"INEVATE, LLC",LLC,Dissolved,1259570,2021-03-31,57 NECK ROAD,MADISON,United States,06443,CT,cpaine9@gmail.com,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,2021-11-10 00:10:20.1500000,,,2021-02-05T00:00:00.000,,,,,,,,,,,,,,,,,,
NEW HAVEN RAMEN INC,Stock,Active,1259574,2021-01-02,128 CROWN ST FL1,NEW HAVEN,United States,06510,CT,LUCKYTAXCPA@GMAIL.COM,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,200.0,2021-11-10 00:10:20.1500000,Annual report past due,,,,,,,,,,,,,,,,,,,,
RAONJENA COFFEE & DESSERT INC,Stock,Active,1259578,2020-01-08,No information provided,,,,,,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,200.0,2021-11-10 00:10:16.9166667,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,
"470 BURRITT, LLC",LLC,Active,1259579,2022-03-31,470 BURRITT STREET,NEW BRITAIN,United States,06053,CT,frankc@steinbergandcathcart.com,Domestic,2018-01-08,CT,Connecticut,True,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,,2021-11-10 00:10:16.9166667,,,,,,,,,,,,,,,,,,,,,
"AM PROMOTIONS, INC.",Non-Stock,Active,1259581,2019-01-08,49 MARGARITA DR.,HARTFORD,,,CT,angelmoralesct@gmail.com,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:16.9166667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
CUT & EDGE LANDSCAPING LLC,LLC,Active,1259584,2019-03-31,1317 EAST ST,NEW BRITIAN,,,CT,GRATEBEN@YAHOO.COM,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:16.9166667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"RIGHT KEY REALTY, INC.",Stock,Active,1259587,2021-01-08,238 PARKERVIEW ST,SPRINGFIELD,United States,01129,MA,rightkeyrealty@gmail.com,Foreign,2018-01-08,MA,MA,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,,2021-11-10 00:10:16.9166667,Annual report past due,,,2017-12-01,RIGHT KEY REALTY INC.,United States,,,,,,,,,,,,,,,
"JOHN A VANJAH, CRNA, PC",Stock,Active,1259588,2020-01-08,No information provided,,,,,,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,,,200.0,2021-11-10 00:10:16.9166667,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,
CENTER CTRE LLC,LLC,Active,1259589,2021-03-31,200 FISKE LANE,WESTBROOK,United States,06498,CT,blandino@centerplan.com,Domestic,2018-01-08,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,2021-11-10 00:10:16.9166667,Annual report past due,,,,,,,,,,,,,,,,,,,,
STONEHOUSE MANOR LLC,LLC,Active,1259590,2022-03-31,59 TURKEY HILL ROAD,WEST NEWBURY,United States,01985,MA,btriglione@gmail.com,Domestic,2018-01-08,MA,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,,2021-11-10 00:10:16.9166667,,,,,,,,,,,,,,,,,,,,,
