name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
VISUAL CONCEPT INSTALLATIONS LLC,LLC,Active,Ready for dissolution,1290213,2019-03-31,196 JOSEPH ST.,WATERBURY,06705,CT,VCINSTALLATIONS@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVIEW ASSET MANAGEMENT PARTNERS, LLC",LLC,Active,,1290215,2022-03-31,60 LONG RIDGE RD STE 306,STAMFORD,06902,CT,robinson@ridgeviewasset.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2018-10-01,United States,"RIDGEVIEW ASSET MANAGEMENT PARTNERS, LLC",United States,"1209 ORANGE ST, WILMINGTON, DE, 19801,",1209 ORANGE ST,WILMINGTON,DE,19801,Investment Advice (523930),523930.0,"1209 ORANGE ST, WILMINGTON, DE, 19801, United States",1209 ORANGE ST,WILMINGTON,DE,19801,United States,,,,,,,
MS MELODY'S CHILDCARE LLC,LLC,Active,,1290216,2022-03-31,53 BUTTLES RD.,GRANBY,06035,CT,melody@melodyschildcare.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Child Day Care Services (624410),624410.0,,,,,,,,,,,,,
"CANNA-WEALTH ELEVATION, LLC",LLC,Active,Ready for dissolution,1290218,2020-03-31,200 RAILROAD AVE LOWER LEVEL,GREENWICH,06830,CT,nick@cwecbd.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,United States,,,,,,,,,,,,,,,,,,,,,,
GHOST ARMAMENT TACTICAL SUPPLY LLC,LLC,Active,,1290219,2022-03-31,58 COOK RD,PROSPECT,06712,CT,tom@ghostarmament.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Sporting Goods Stores (451110),,,,,,,,,,,,,,
SWEETFIRE BOUTIQUE LLC,LLC,Dissolved,,1290220,2021-03-31,195 MICHELLE LN APT. #5,GROTON,06340,CT,GATES.CORETTA@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Clothing Accessories Stores (448150),448150.0,,,,,,,2021-03-02T00:00:00.000,,,,,,
SERRATO CORPORATION,Stock,Active,Annual report due,1290221,2021-11-09,135 W. COUNCIL STREET,TUCSON,85701,AZ,terry.forrest@serratocorp.com,Foreign,2018-11-09,AZ,AZ,False,False,False,False,False,,2021-11-10 00:12:23.4000000,2018-12-01,United States,SERRATO CORPORATION,United States,,,,,,Other Technical and Trade Schools (611519),611519.0,,,,,,,,,,,,,
"SEXY NAIL & SPA, LLC",LLC,Active,Ready for dissolution,1290223,2019-03-31,1050 BOULEVARD,WEST HARTFORD,06119,CT,PROQUALITYPAINTING29@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,,,,,
SONIDO LA PARKA LLC,LLC,Active,Ready for dissolution,1290224,2019-03-31,473 WEST MAIN ST 4A,WATERBURY,06702,CT,,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4000000,,,,,,,,,,,,,,,,,,,,,,,,
THE RESIDENCES AT QUARRY WALK LLC,LLC,Active,,1290225,2022-03-31,220-2F MAIN STREET,OXFORD,06478,CT,AP@HAYNES-GROUP.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"DAVID M. MEYERS, LCSW LLC",LLC,Active,,1290226,2022-03-31,1090 MAIN ST,BRANFORD,06405,CT,davidmmeyers@yahoo.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4000000,,United States,,,,,,,,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,,,,,,,,,,,,,
RABINE PAVING LLC,LLC,Active,,1290227,2022-03-31,900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,60173,IL,Compliance@RABINEGROUP.COM,Foreign,2018-11-09,IL,IL,False,False,False,False,False,,2021-11-10 00:12:23.4300000,2018-11-15,United States,RABINE PAVING LLC,United States,"900 NATIONAL PARKWAY SUITE 260, SCHAUMBURG, IL, 60173,",900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,IL,60173,All Other Specialty Trade Contractors (238990),238990.0,"900 NATIONAL PARKWAY SUITE 260, SCHAUMBURG, IL, 60173, United States",900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,IL,60173,United States,,,,,,,
INSURTECH HARTFORD LLC,LLC,Active,Annual report past due,1290228,2021-03-31,29 OLD ROD ROAD,COLCHESTER,06415,CT,info@insurtechhartford.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4300000,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
"1363 SEAVIEW AVENUE, LLC",LLC,Active,,1290230,2022-03-31,1387 SEAVIEW AVENUE,BRIDGEPORT,06607,CT,maria.peloso@hathawaypm.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4300000,,United States,,,,,,,,Lessors of Miniwarehouses and Self-Storage Units (531130),531130.0,,,,,,,,,,,,,
DEA GOCI PHOTOGRAPHY LLC,LLC,Active,,1290235,2022-03-31,42 CRYSTAL STREET,WETHERSFIELD,06109,CT,deagoci@hotmail.com,Domestic,2018-11-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.4300000,,United States,,,,,,,,"Photography Studios, Portrait (541921)",541921.0,,,,,,,,,,,,,
FH CLARK REMODELING LLC,LLC,Active,Ready for dissolution,1290238,2019-03-31,10 HERITAGE DRIVE,CHESHIRE,06410,CT,FHCSCC@ATT.NET,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,,,,,,,,,,,,,,,,,,,,,,,
CRED (US) LLC,LLC,Active,Annual report past due,1290239,2021-03-31,2121 S. EL CAMINO REAL,SAN MATEO,94403,CA,Compliancemail@cscinfo.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:23.4433333,2018-11-08,United States,CRED (US) LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Consumer Lending (522291),522291.0,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,
"GLOBAL EDGE TECHNOLOGY, LLC",LLC,Active,Ready for dissolution,1290240,2019-03-31,19 DUBOIS STREET,STAMFORD,06905,CT,BINDU@BLOBALEDGETECHNOGOLY.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,,,,,,,,,,,,,,,,,,,,,,,
370 WEST MAIN LLC,LLC,Active,,1290242,2022-03-31,300 Crescent Ct,Dallas,75201,TX,legal@nexpoint.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,2019-01-01,United States,370 WEST MAIN LLC,,"251 Little Falls Dr, Wilmington, DE, 19808, United States",251 Little Falls Dr,Wilmington,DE,19808,Other Warehousing and Storage (493190),,,,,,,,,United States,,,Suite 700,,
180 MAIN STREET INVESTORS LLC,LLC,Active,,1290243,2022-03-31,567 8TH ST,LAKEWOOD,08701,NJ,rebecca@arialegacygroup.com,Domestic,2018-11-09,NJ,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4433333,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
TMR SERVICES LLC,LLC,Active,Ready for dissolution,1290244,2019-03-31,45 WINTERGREEN DR.,EASTON,06612,CT,,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4433333,,,,,,,,,,,,,,,,,,,,,,,,
TWO SCOOPS LLC,LLC,Active,,1290246,2022-03-31,36 BELINSKY CIRCLE,OXFORD,06478,CT,ice03@icecreamemergency.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.4433333,,United States,,,,,,,,Mobile Food Services (722330),722330.0,,,,,,,,,,,,,
"30 SHEILA COURT, LLC",LLC,Active,,1290248,2022-03-31,43 RIDGECREST LANE,BRISTOL,06010,CT,basile.enterprises@comcast.net,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
SECOND HOME LLC,LLC,Active,,1290254,2022-03-31,61 WETMORE AVENUE,WINSTED,06098,CT,sean.patrick.mcglynn@gmail.com,Domestic,2018-11-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"HOLIDAY FOR HEROES, LLC",LLC,Active,,1290256,2022-03-31,2257 SILAS DEANE HIGHWAY,ROCKY HILL,06067,CT,supurcell630@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Motion Picture and Video Production (512110),512199.0,,,,,,,,,,,,,
34 LLC,LLC,Active,Annual report past due,1290258,2021-03-31,38 MALDEN STREET 1ST FLR,WEST HAVEN,06516,CT,go34llc@gmail.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,
MERIDEN MAKEOVERS LLC,LLC,Active,,1290260,2022-03-31,501 S.CURTIS,MERIDEN,06450,CT,meridenmakeovers@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,Residential Remodelers (236118),,,,,,,,,,,,,,
"183 LIMEKILN, LLC",LLC,Active,Ready for dissolution,1290261,2020-03-31,31 NURSERY RD,RIDGEFIELD,06877,CT,TYLERCSAMPSON@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
THE PROPERTY DOCTOR LLC,LLC,Active,,1290262,2022-03-31,10 SANDPIPER LN,OAKDALE,06370,CT,jmgillanders@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.9000000,,United States,,,,,,,,All Other General Merchandise Stores (452319),452319.0,,,,,,,,,,,,,
CENTURY 21 CARE LLC,LLC,Active,Ready for dissolution,1290263,2020-03-31,21 HOLCOMB AVE,STAMFORD,06906,CT,Century21care@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
"ARCH MINI MART, LLC",LLC,Active,Ready for dissolution,1290264,2019-03-31,380 ARCH ST.  UNIT C,NEW BRITAIN,06051,CT,DAVIDGRRAVESJR@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
"GOING TO THE CHAPEL, LLC",LLC,Active,Ready for dissolution,1290265,2019-03-31,555 ENFIELD STREET,ENFIELD,06082,CT,BRIAN@BRIANSHEALAW.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
MULTISERVICES ULTRA SHINE LLC,LLC,Active,Ready for dissolution,1290266,2019-03-31,38 NORTH STREET,MANCHESTER,06042,CT,FABIANS@EPLUSLLC.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAM LANDON COFFEE L.L.C.,LLC,Active,Ready for dissolution,1290267,2020-03-31,210 COUNTRY CLUB RD,NEW CANAAN,06840,CT,WILLIAMLANDONHOLDING@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9000000,,United States,,,,,,,,,,,,,,,,,,,,,,
BRIGGS HOLDINGS LLC,LLC,Active,Annual report past due,1290268,2021-03-31,72 CONNECTICUT AVENUE SUITE 1,NORWALK,06850,CT,ct-reports@statefilings.in,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Automotive Parts and Accessories Stores (441310),441310.0,,,,,,,,,,,,,
TITANIUM ENTERPRISES LLC,LLC,Active,Ready for dissolution,1290269,2020-03-31,27 SHERMAN STREET,BRISTOL,06010,CT,NIEVESJEN@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,United States,,,,,,,,,,,,,,,,,,,,,,
ACUITY HOMECARE LLC,LLC,Active,,1290270,2022-03-31,4 RESEARCH DRIVE SUITE 402,SHELTON,06484,CT,odell@acuityhomecare.com,Domestic,2018-11-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Services for the Elderly and Persons with Disabilities (624120),624120.0,,,,,,,,,,,,,
V & V CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1290271,2019-03-31,18 EDGEWOOD PLACE,MERIDEN,06451,CT,RMINSURANCE@SBCGLOBAL.NET,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"NICOL, LLC",LLC,Active,Ready for dissolution,1290272,2019-03-31,112 FOREST STREET EXT.,EAST HAVEN,06512,CT,MARCO_LIBRA1987@HOTMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
CREST WOODBRIDGE LLC,LLC,Active,,1290273,2022-03-31,185 AMITY ROAD,WOODBRIDGE,06525,CT,LWYNNE2000@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,
SUPA Music LLC,LLC,Active,,1290274,2022-03-31,500 WEST PUTNAM AVENUE 4TH FLOOR,GREENWICH,06830,CT,pat.venti@41ent.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Motion Picture and Video Production (512110),512110.0,,,,,,,,,,,,,
RABINE PAVING MID ATLANTIC LLC,LLC,Active,,1290275,2022-03-31,900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,60173,IL,COMPLIANCE@RABINEGROUP.COM,Foreign,2018-11-09,IL,IL,False,False,False,False,False,,2021-11-10 00:12:23.9300000,2018-11-15,United States,RABINE PAVING MID ATLANTIC LLC,United States,"900 NATIONAL PARKWAY SUITE 260, SCHAUMBURG, IL, 60173, United States",900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,IL,60173,All Other Specialty Trade Contractors (238990),238990.0,"900 NATIONAL PARKWAY SUITE 260, SCHAUMBURG, IL, 60173, United States",900 NATIONAL PARKWAY SUITE 260,SCHAUMBURG,IL,60173,United States,,United States,,,,,
THE RIGHT MINDSET FIREARMS LLC,LLC,Active,Ready for dissolution,1290276,2020-03-31,102 REDCOAT RD,WATERBURY,06704,CT,RIGHTMINDSETFIREARMS@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,United States,,,,,,,,,,,,,,,,,,,,,,
"SHARKEY'S BUG COMPANY, LLC",LLC,Active,Ready for dissolution,1290277,2019-03-31,37 HIGHLAND RD,WESTPORT,06880,CT,SHARKEYSCUTSFORKIDS@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"MASON INVESTMENTS, LLC",LLC,Active,,1290278,2022-03-31,4730 S FORT APACHE RD #300,LAS VEGAS,89147,NV,info@bluerps.com,Foreign,2018-11-09,NV,NV,False,False,False,False,False,,2021-11-10 00:12:23.9300000,2018-11-09,United States,"MASON INVESTMENTS, LLC",United States,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,Other Activities Related to Real Estate (531390),531390.0,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,,,,,,,
ASHLEE'S ESSENTIAL OILS LLC,LLC,Active,Ready for dissolution,1290279,2019-03-31,1607 REINHARD RD,CHESHIRE,06410,CT,ASHLEE.CASERTANO@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,,,,,
XL9 INVESTMENTS LLC,LLC,Active,,1290280,2022-03-31,807 MADISON AVE,BRIDGEPORT,06606,CT,vinicl@hotmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Drinking Places (Alcoholic Beverages) (722410),722410.0,,,,,,,,,,,,,
"ADULT, CHILD AND FAMILY PSYCHOTHERAPY LLC",LLC,Active,,1290281,2022-03-31,TELEHEALTH ONLY,SHELTON,06484,CT,mmacari@adultchildandfamily.com,Domestic,2018-11-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,
SALUS HEALTH GROUP CORPORATION,Stock,Active,First report past due,1290282,2020-11-09,No information provided,,,,EZECHIEL001@ME.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,,,,,,,,,,,,,,,,,,,10000.0,,,,
SHEISART MAGAZINE LLC,LLC,Active,,1290283,2022-03-31,68 GEM AVE,BRIDGEPORT,06606,CT,cpeterkin@sheisartmedia.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Other Motion Picture and Video Industries (512199),,,,,,,,,,,,,,
KISMET KIDS LLC,LLC,Active,Ready for dissolution,1290284,2020-03-31,14 COOK CLOSE,RIDGEFIELD,06877,CT,CHIARAROSE.MCCARTHY@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9300000,,United States,,,,,,,,,,,,,,,,,,,,,,
ROUSE ELECTRIC LLC,LLC,Active,,1290285,2022-03-31,13 COLUMBIA DRIVE,MILFORD,06460,CT,ROUSELECTRIC@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9300000,,United States,,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,,,,,,,,,,,,,
UNITED STATES RECYCLING MANAGEMENT LLC,LLC,Active,Ready for dissolution,1290286,2019-03-31,1037 NORTH STREET,GREENWICH,06831,CT,NARESH@KIRPALANI.US,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
EDGE FILM ACADEMY LLC,LLC,Active,Ready for dissolution,1290287,2019-03-31,87 CHURCH ST. SUITE 206-M,EAST HARTFORD,06108,CT,JASON@EDGEFILMACADEMY.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
ON SITE TRUCK REPAIR LLC,LLC,Active,Annual report past due,1290288,2021-03-31,19 CODY AVE APT B4,PLAINVILLE,06062,CT,Onsitetruckrepairct@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,All Other Automotive Repair and Maintenance (811198),811198.0,,,,,,,,,,,,,
FIRST AID MECHANICAL COOLING & HEATING CO. LLC,LLC,Active,Ready for dissolution,1290289,2019-03-31,408 SHELTON RD,TRUMBULL,06611,CT,FIRSTAIDCOOLING@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
ALIGN WELLNESS LLC,LLC,Active,,1290290,2022-03-31,35 FRANKLIN STREET,WESTPORT,06880,CT,Holly@alignwell.net,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
"CHRISTOPHER ALBINO AND ASSOCIATES, LLC",LLC,Active,Ready for dissolution,1290291,2020-03-31,7 HEMLOCK DRIVE,EAST HAVEN,06513,CT,CHRIS.ALBINOLPC@GMAIL.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,,,,,,,,,,,,,,,
MAMA K'S COOKIE JAR LLC,LLC,Active,,1290292,2022-03-31,20 JUDI TERRACE,TORRINGTON,06790,CT,mamakscookiejar@gmail.com,Domestic,2018-11-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Commercial Bakeries (311812),311812.0,,,,,,,,,,,,,
RLB ENTERPRISES LLC,LLC,Active,Ready for dissolution,1290293,2019-03-31,97 EAST FARM ST,WATERBURY,06704,CT,RABALL43@ATT.NET,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
REAL SERENDIPITY LLC,LLC,Active,Ready for dissolution,1290294,2019-03-31,14 ESSEX ST UNIT E,HARTFORD,06114,CT,J.SO2@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
MBSTR LLC,LLC,Active,,1290295,2022-03-31,44 HEATHER DR,NEW CANAAN,06840,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
METRO SPORTS LLC,LLC,Active,Ready for dissolution,1290298,2019-03-31,140 LEXINGTON AVE,NEW HAVEN,06513,CT,JRS.CINCO@YAHOO.COM,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,,
"39 HARDING AVENUE, LLC",LLC,Dissolved,,1290300,2021-03-31,705 MOUNTAIN ROAD SUITE G-105,NEWINGTON,06111,CT,loriana@rpmhartfordmetro.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,2020-12-18T00:00:00.000,,,,,,
INTERSTELLAR DISRUPTION LLC,LLC,Active,Ready for dissolution,1290301,2019-03-31,803 QUANDT AVE,SPRINGDALE,,AR,ALI@SWANKYSMILES.COM,Foreign,2018-11-09,NM,NM,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,2018-12-01,,INTERSTELLAR DISRUPTION LLC,,"317 COMMERCIAL ST. NE, STE. A #170, ALBUQUERQUE, NM,","317 COMMERCIAL ST. NE, STE. A #170",ALBUQUERQUE,NM,,,,,,,,,,,,,,,,
JTL ARTS AND TECHNOLOGY LLC,LLC,Active,,1290302,2022-03-31,127 ROGER ROAD,NEW HAVEN,06515,CT,JOHNLOXSOM@sbcglobal.net,Domestic,2018-11-09,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:12:23.9766667,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
"AJ DENTAL, LLC",LLC,Active,Ready for dissolution,1290304,2020-03-31,"155 MAIN STREET, SUITE 400",DANBURY,06810,CT,thales@ajdentalct.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.9766667,,United States,,,,,,,,,,,,,,,,,,,,,,
HIDDEN ROCK FARM LLC,LLC,Active,Annual report past due,1290305,2021-03-31,176 S STREET EXT BLDG #2,COVENTRY,06238,CT,rjdunn39@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.0066667,,United States,,,,,,,,Timber Tract Operations (113110),113110.0,,,,,,,,,,,,,
"CUTMASTERZ LAWN CARE SERVICES, LLC",LLC,Active,Annual report past due,1290306,2021-03-31,148 VINE STREET 2ND FLOOR,HARTFORD,06112,CT,Cutmasterz78@gmail.com,Domestic,2018-11-09,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:24.0066667,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
CONSOR ENGINEERING AND LAND SURVEYING - NY PC,Stock,Active,Annual report due,1290307,2021-11-09,10 EAST 39TH STREET 12TH FLOOR,NEW YORK,10016,NY,kdennis@consoreng.com,Foreign,2018-11-09,NY,NY,False,False,False,False,False,,2021-11-10 00:12:24.0066667,2018-11-09,United States,CONSOR ENGINEERING AND LAND SURVEYING - NY PC,United States,,,,,,Engineering Services (541330),541330.0,,,,,,,,,,,,,
"SFR MASTER HOLDINGS GP, L.L.C.",LLC,Active,,1290308,2022-03-31,591 WEST PUTNAM AVENUE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-11-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.0066667,2018-11-09,United States,"SFR MASTER HOLDINGS GP, L.L.C.",United States,NONE,NONE,,,,Other Activities Related to Real Estate (531390),531210.0,NONE,NONE,,,,,,,,,,,
