name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,total_authorized_shares,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting
"AVION PHARMACEUTICALS, LLC",LLC,Active,,1287207,2022-03-31,1880 MCFARLAND PARKWAY SUITE 105,ALPHARETTA,30005,GA,Compliancemail@cscinfo.com,Foreign,2018-10-09,DE,DE,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2018-10-09,"AVION PHARMACEUTICALS, LLC","251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,United States,United States,United States,,,,
TRUSTWORTHY TILE INSTALLATION LLC,LLC,Active,Ready for dissolution,1287208,2019-03-31,160 BELLTOWN RD,STAMFORD,06905,CT,BUENODMATHEUS@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
PRESTIGE PAINTING AND RESTORATION LLC,LLC,Active,Ready for dissolution,1287209,2019-03-31,28 SMITH STREET,DERBY,06418,CT,PRESTIGE.PAINTING.RESTORATIONLLC@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
CARS & CUTS LLC,LLC,Active,,1287210,2022-03-31,222 WHIPPOORWILL ROAD,OLD LYME,06371,CT,carsandcutsbarbershop@gmail.com,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Barber Shops (812111),812111.0,,,,,,,,,,,,,,,,,,,,
"CV RES FUND I, LLC",LLC,Active,Ready for dissolution,1287211,2019-03-31,"895 DOVE STREET, SUITE 125",NEWPORT BEACH,92660,CA,MREGAN@CLEARVUERES.COM,Foreign,2018-10-09,CA,CA,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,2018-10-09,"CV RES FUND I, LLC","895 DOVE STREET, SUITE 125, NEWPORT BEACH, CA, 92660,","895 DOVE STREET, SUITE 125",NEWPORT BEACH,CA,92660,"895 DOVE STREET, SUITE 125, NEWPORT BEACH, CA, 92660,","895 DOVE STREET, SUITE 125",NEWPORT BEACH,CA,92660,,,,,,,,
BUSINESS CARDS UNLIMITED LLC,LLC,Active,Ready for dissolution,1287214,2019-03-31,85 TOLL GATE ROAD,ROCKY HILL,06067,CT,NATASHA@BCU-USA.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
EADESIGN ROOM LLC,LLC,Active,,1287215,2022-03-31,225 GOLDEN HILL ST 3G 3G,BRIDGEPORT,06604,CT,eadesignroom@gmail.com,Domestic,2018-10-09,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:33.1533333,United States,Interior Design Services (541410),541410.0,,,,,,,,,,,,,,,,,,,,
DIAS LEMUS CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1287217,2019-03-31,19A SRPING VALLEY RD,RIDGEFIELD,06877,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
FLICKA MANAGEMENT LLC,LLC,Active,Ready for dissolution,1287218,2019-03-31,513 S 3RD AVE,MOUNT VERNON,10550,NY,MARIA@EARLYSTARTMANAGEMENT.COM,Domestic,2018-10-09,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
GA GROUP LLC,LLC,Active,,1287219,2022-03-31,4 Noble St,Stamford,06902-7564,CT,EGUIZA94@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,
EXTREME CLEANING SERVICE LLC,LLC,Active,Ready for dissolution,1287220,2019-03-31,11 GROVE ST,DANBURY,06810,CT,EXTREMECLEANINGSERVICE@YAHOO.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
JOSE DARWIN SORIANO LLC,LLC,Active,Ready for dissolution,1287221,2019-03-31,8 TRINITY PLACE,NORWALK,06854,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
"HAIR ON CLOUD 9, LLC",LLC,Dissolved,,1287222,2021-03-31,22 WALDEN ST,HAMDEN,06517,CT,christymoore.cloud9@gmail.com,Domestic,2018-10-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Beauty Salons (812112),812112.0,,,,,,,,,,,,,,,,,,2021-05-26T00:00:00.000,,
M - R LANDSCAPING LLC,LLC,Active,Ready for dissolution,1287223,2019-03-31,133 FRANCIS AVE,HARTFORD,06106,CT,MONASPIKE@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
STATE OF ART DESIGNS LLC,LLC,Dissolved,,1287224,2021-03-31,839 MAIN STREET APT # 79,TORRINGTON,06790,CT,steven.bechard@icloud.com,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.1533333,United States,Graphic Design Services (541430),541430.0,,,,,,,,,,,,,,,,,,2021-02-02T00:00:00.000,,
A.I. ENGINEERING DESIGN & CONSULTING LLC,LLC,Active,Ready for dissolution,1287225,2019-03-31,59 OAK AVE,TORRINGTON,06790,CT,RENJRMALCOLM@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,,,,,,,,,,,,,,,,,,,,,,,
LEAMAN LYNN LLC,LLC,Active,Ready for dissolution,1287226,2020-03-31,46 HOUSTON TERRACE UNIT 1,STAMFORD,06902,CT,JLEAMAN4@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,United States,,,,,,,,,,,,,,,,,,,,,,
"HJ ZARABET & ASSOCIATES, CPAS LLC",LLC,Active,Ready for dissolution,1287227,2020-03-31,26 BAYBERRY LN,NEW MILFORD,06776,CT,HZARABET@HJZARABETCPA.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,United States,,,,,,,,,,,,,,,,,,,,,,
"GOLDEN HEART FOODS, INC.",Stock,Active,Annual report due,1287230,2021-12-07,47 ANDERSON STREET,STAMFORD,06902,CT,GOLDENHEARTFOODSINC@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Spice and Extract Manufacturing (311942),311942.0,,,,,,,,,,,,,1.0,,,,,,,
CREATIVE HOPE LLC,LLC,Active,,1287231,2022-03-31,56 ARBOR STREET,HARTFORD,06106,CT,cristina@creativehopellc.com,Domestic,2018-10-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,,
UNIFIED JAZZ LLC,LLC,Active,Annual report past due,1287235,2021-03-31,24 HIGHWOOD,SIMSBURY,06070,CT,kevinjaykearns@gmail.com,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Musical Groups and Artists (711130),,,,,,,,,,,,,,,,,,,,,
"DUNES AND BEACH ROSES, LLC",LLC,Active,,1287236,2022-03-31,136 LEIGH GATE ROAD,GLASTONBURY,06033,CT,fam136@cox.net,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
"EAB GLOBAL, INC.",Stock,Active,,1287239,2022-10-09,2445 M. ST. NW,WASHINGTON,20037,DC,legal@eab.com,Foreign,2018-10-09,DE,DE,False,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Educational Support Services (611710),611710.0,2017-11-17,"EAB GLOBAL, INC.",,,,,,,,,,,,United States,,,,,,
OFF DA HOOKAH LLC,LLC,Active,Ready for dissolution,1287241,2019-03-31,743 EAST MAIN STREET,BRIDGEPORT,06608,CT,,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,,,,,,,,,,,,,,,,,,,,,,,
"EMERVIVAL, LLC",LLC,Active,Ready for dissolution,1287242,2019-03-31,3 INDIAN SPRING RD.,DANBURY,06811,CT,A.DAVIS@EMERVIVAL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,,,,,,,,,,,,,,,,,,,,,,,
GOOD STUFF MEDIA LLC,LLC,Active,Ready for dissolution,1287243,2020-03-31,"57 CEDAR GROVE AVE, APT. APT.",NEW LONDON,06320,CT,PASKEWICH@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,United States,,,,,,,,,,,,,,,,,,,,,,
D'EL PATIO TRUCKING LLC,LLC,Active,Ready for dissolution,1287287,2019-03-31,267 CIRCULAR AVE,WATERBURY,06705,CT,DELPATIOTRUCKING@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1500000,,,,,,,,,,,,,,,,,,,,,,,
JOYAL GEORGE LLC,LLC,Active,Ready for dissolution,1287303,2019-03-31,1172 MERIDEN WATERBURY TRPK,PLANTSVILLE,06479,CT,JVR.ATLANTICA@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.1666667,,,,,,,,,,,,,,,,,,,,,,,
"VALLEY LAND SERVICES, LLC",LLC,Active,,1287327,2022-03-31,4383 HECKTOWN ROAD SUITE D,BETHLEHEM,18020,PA,jshoemaker@firstorderllc.net,Foreign,2018-10-09,PA,PA,False,False,False,False,False,,2021-11-10 00:08:31.6800000,United States,Surveying and Mapping (except Geophysical) Services (541370),541370.0,2018-11-01,"VALLEY LAND SERVICES, LLC","4383 HECKTOWN ROAD SUITE D, BETHLEHEM, PA, 18020,",4383 HECKTOWN ROAD SUITE D,BETHLEHEM,PA,18020,"4383 HECKTOWN ROAD SUITE D, BETHLEHEM, PA, 18020, United States",4383 HECKTOWN ROAD SUITE D,BETHLEHEM,PA,18020,,United States,,United States,,,,
"TOWER HILL, LLC",LLC,Active,,1287331,2022-03-31,500 VIRGINIA STREET EAST SUITE 800,CHARLESTON,25301,WV,LFrancois@snet.net,Domestic,2018-10-09,WV,Connecticut,True,False,False,False,False,,2021-11-10 00:08:31.6800000,United States,Logging (113310),113310.0,,,,,,,,,,,,,,,,,,,,
"LEAD GEN UNITE, LLC",LLC,Active,Ready for dissolution,1287351,2019-03-31,80 RIDGEWOOD AVE,STAMFORD,06907,CT,LEADGENUNITE@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:31.7300000,,,,,,,,,,,,,,,,,,,,,,,
"ELLEN GUNN, LLC",LLC,Active,Ready for dissolution,1287397,2020-03-31,282 CHERRY HILL DRIVE,NEWINGTON,06111,CT,PGUNN809@HOTMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,United States,,,,,,,,,,,,,,,,,,,,,,
"CPP REALTY, LLC",LLC,Active,Ready for dissolution,1287399,2019-03-31,696 LOWER LANE,BERLIN,06037,CT,,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.6166667,,,,,,,,,,,,,,,,,,,,,,,
STUDIO 11:11 LLC,LLC,Active,Ready for dissolution,1287499,2019-03-31,195 POQUONNOCK RD,GROTON,06340,CT,ANNIE.VAZQUEZ@YAHOO.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,
"ASCOTT SERVICES, LLC",LLC,Active,Ready for dissolution,1287506,2019-03-31,2389 MAIN ST STE 100,GLASTONBURY,06033,CT,ASCOTTSERVICESLL@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,
"SENIOR CARE INTEGRATED SOLUTIONS AT HOME, LLC",LLC,Active,Ready for dissolution,1287509,2019-03-31,27 WYNDWOOD RD,FARMINGTON,06032,CT,SCISAH182@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8200000,,,,,,,,,,,,,,,,,,,,,,,
"TRUE VINE CHURCH OF CHRIST, INC.",Religious,Active,,1287544,,No information provided,,,,,Domestic,2018-10-09,,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.3666667,,,,,,,,,,,,,,,,,,,,,,,
JOHNSON & BROWN ENTERPRISE LLC,LLC,Active,Ready for dissolution,1287569,2019-03-31,12 VINE ST,EAST HARTFORD,06112,CT,MJASONBROWN@YAHOO.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:23.4133333,,,,,,,,,,,,,,,,,,,,,,,
"EMPOWER INSURANCE AGENCY, LLC",LLC,Active,,1287580,2022-03-31,8515 E ORCHARD RD,GREENWOOD VILLAGE,80111,CO,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-10-09,CO,CO,False,False,False,False,False,,2021-11-10 00:12:23.4433333,United States,Insurance Agencies and Brokerages (524210),524210.0,2018-10-04,"EMPOWER INSURANCE AGENCY, LLC","8515 E ORCHARD RD, GREENWOOD VILLAGE, CO, 80111, United States",8515 E ORCHARD RD,GREENWOOD VILLAGE,CO,80111,"8515 E ORCHARD RD, GREENWOOD VILLAGE, CO, 80111, United States",8515 E ORCHARD RD,GREENWOOD VILLAGE,CO,80111,,United States,United States,United States,,,,
KIDS LIT QUIZ US INC.,Non-Stock,Active,First report past due,1287637,2020-10-09,No information provided,,,,,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:23.9766667,,,,,,,,,,,,,,,,,,,,,,,
"TURNBERRY SOLUTIONS, INC.",Stock,Active,,1287658,2022-10-09,1777 SENTRY PKWY W STE 401,BLUE BELL,19422,PA,jalves@turnberrysolutions.com,Foreign,2018-10-09,PA,PA,False,False,False,False,False,,2021-11-10 00:12:24.0233333,United States,Custom Computer Programming Services (541511),541511.0,2018-10-19,"TURNBERRY SOLUTIONS, INC.",,,,,,,,,,,,United States,,,,,,
"ERIS CLEARING, LLC",LLC,Active,,1287660,2022-03-31,111 S WACKER DR. SUITE 4730,CHICAGO,60606,IL,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-10-09,DE,DE,False,False,False,False,False,,2021-11-10 00:12:24.0233333,United States,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",522320.0,2018-10-01,"ERIS CLEARING, LLC","111 S WACKER DR. SUITE 4730, CHICAGO, IL, 60606, United States",111 S WACKER DR. SUITE 4730,CHICAGO,IL,60606,"111 S WACKER DR. SUITE 4730, CHICAGO, IL, 60606, United States",111 S WACKER DR. SUITE 4730,CHICAGO,IL,60606,,United States,United States,United States,,,,
"AES STAFF MANAGEMENT, LLC",LLC,Active,Ready for dissolution,1287661,2020-03-31,"13900 LAKESIDE CIRCLE, SUITE 200",STERLING HEIGHTS,48313,MI,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-10-09,MI,MI,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:24.0233333,United States,,,2018-10-09,"AES STAFF MANAGEMENT, LLC","13900 LAKESIDE CIRCLE, SUITE 200, STERLING HEIGHTS, MI, 48313,","13900 LAKESIDE CIRCLE, SUITE 200",STERLING HEIGHTS,MI,48313,"13900 LAKESIDE CIRCLE, SUITE 200, STERLING HEIGHTS, MI, 48313, United States","13900 LAKESIDE CIRCLE, SUITE 200",STERLING HEIGHTS,MI,48313,,United States,,United States,,,,
BASURTO'S TRUCKING LLC,LLC,Dissolved,,1287294,2019-03-31,81A WOOSTER HEIGHTS,DANBURY,06810,CT,ALBERTOBASURTO81@HOTMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:01.5600000,,,,,,,,,,,,,,,,,,,,,2019-10-22T00:00:00.000,,
"BEACON WESTON, LLC",LLC,Dissolved,,1287123,2019-03-31,163 FRANKLIN STREET,STAMFORD,06901,CT,MATTHEW@BEACONDEVELOPMENTLLC.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:00.2333333,,,,,,,,,,,,,,,,,,,,,2020-11-09T00:00:00.000,,
TEA TIME CONSULTING LLC,LLC,Dissolved,,1287157,2021-03-31,463 ORANGE STREET APT 21,NEW HAVEN,06511,CT,tracylynn.george@gmail.com,Domestic,2018-10-09,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:06:06.8266667,United States,"Colleges, Universities, and Professional Schools (611310)",,,,,,,,,,,,,,,,,,,2020-08-19T00:00:00.000,,
AHEAD LLC,LLC,Withdrawn,,1287240,2019-03-31,401 N. MICHIGAN AVE.,CHICAGO,60611,IL,CONTACT@THINKINGAHEAD.COM,Foreign,2018-10-09,IL,IL,False,False,False,False,False,,2021-11-10 00:06:06.7500000,,,,2018-11-01,AHEAD LLC,"401 N. MICHIGAN AVE. STE. 3400, CHICAGO, IL, 60611,",401 N. MICHIGAN AVE. STE. 3400,CHICAGO,IL,60611,"401 N. MICHIGAN AVE., CHICAGO, IL, 60611,",401 N. MICHIGAN AVE.,CHICAGO,IL,60611,,,,,,,,
BETTER BUILT HOME IMPROVEMENT LLC,LLC,Dissolved,,1287186,2019-03-31,14 DUDLEY ST.,MANCHESTER,06040,CT,BETTERBUILTHOMECT@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:18.3933333,,,,,,,,,,,,,,,,,,,,,2020-02-15T00:00:00.000,,
STATE ROADGUARD LLC,LLC,Dissolved,,1287564,2019-03-31,2861 NORTH MAIN ST,WATERBURY,06104,CT,DJROADWAYSAFETY61@AOL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:08.2433333,,,,,,,,,,,,,,,,,,,,,2018-10-18T00:00:00.000,,
AVATA FREEDOM SERVICE LLC,LLC,Dissolved,,1287135,2019-03-31,1355 FAIRFIELD AVENUE,BRIDGEPORT,06605,CT,SERVICE@MYLLC.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:18.3900000,,,,,,,,,,,,,,,,,,,,,2018-10-11T00:00:00.000,,
UNCAS PHARMACY LLC,LLC,Dissolved,,1287138,2020-03-31,20 TOWN ST,NORWICH,06360,CT,MANINDERARORA67@GMAIL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:24.2633333,United States,,,,,,,,,,,,,,,,,,,,2019-12-30T00:00:00.000,,
"SEI OF MICHIGAN, INC.",Stock,Withdrawn,,1286976,2020-10-09,3854 BROADMOOR AVE.,GRAND RAPIDS,49512,MI,managedreports@incorp.com,Foreign,2018-10-09,MI,MI,False,False,False,False,False,,2021-11-10 00:04:31.9666667,United States,,,2018-10-09,"SEI, INC.",,,,,,,,,,,,United States,,,,,,
IN2ACHINE LLC,LLC,Dissolved,,1287171,2019-03-31,5 WOODLEY LN,NORWALK,06851,CT,JUANITA@IN2ACHINE.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:40.8600000,,,,,,,,,,,,,,,,,,,,,2019-09-18T00:00:00.000,,
"RUICOL, LLC",LLC,Dissolved,,1287148,2019-03-31,161 THOMPSON STREET,NEW HAVEN,06511,CT,S.IRIZARRY13@YAHOO.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:55.9433333,,,,,,,,,,,,,,,,,,,,,2019-04-19T00:00:00.000,,
"A.K. TRANSPORTATION, LLC",LLC,Dissolved,,1287228,2019-03-31,402 DAVIS ST,OAKVILLE,06779,CT,MANNYKLLOBOCISHTA@YAHOO.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:07.2033333,,,,,,,,,,,,,,,,,,,,,2019-07-23T00:00:00.000,,
HAAST SYSTEMS LLC,LLC,Dissolved,,1287229,2019-03-31,478 SOUTH MAIN ST,THOMASTON,06787,CT,SBOSTICK@HAASTSYSTEMS.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:44.1666667,,,,,,,,,,,,,,,,,,,,,2019-04-29T00:00:00.000,,
PBUH APPAREL LLC,LLC,Dissolved,,1287164,2019-03-31,233 OXFORD CT,MERIDEN,06450,CT,RAZA@PBUHAPPAREL.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:09.9066667,,,,,,,,,,,,,,,,,,,,,2019-08-08T00:00:00.000,,
"PRECISION YARD JUNK REMOVAL, LLC",LLC,Dissolved,,1287159,2019-03-31,64 WINFIELD STREET,NORWALK,06855,CT,,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:27.3800000,,,,,,,,,,,,,,,,,,,,,2019-04-24T00:00:00.000,,
ODDS & ENDS PROPERTY MAINTENANCE LLC,LLC,Dissolved,,1287167,2019-03-31,39 OAK ST,WOLCOTT,06716,CT,VIVIANA@VIVIANARUA.COM,Domestic,2018-10-09,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:03:18.0500000,,,,,,,,,,,,,,,,,,,,,2019-03-15T00:00:00.000,,
1401 KINGS HWY LLC,LLC,Active,,1286077,2022-03-31,1375 KINGS HWY 4TH FLR,FAIRFIELD,06824,CT,mkeeney@abbeyroadadvisors.com,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
ECLIPSE CT LLC,LLC,Active,,1287129,2022-03-31,115 SUMMERHILL RD,WALLINGFORD,06492,CT,yourlifeconsultant44@yahoo.com,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:32.4666667,United States,Musical Groups and Artists (711130),711130.0,,,,,,,,,,,,,,,,,,,,
DECATUR TRANS LLC,LLC,Active,Ready for dissolution,1287143,2020-03-31,31 CENTER ST.,VERNON,06066,CT,DECATUR7575@GMAIL.COM,Domestic,2018-10-10,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:08:32.4666667,United States,,,,,,,,,,,,,,,,,,,,,,
WEIL OSROCK LLC,LLC,Active,Ready for dissolution,1287205,2019-03-31,182A APACHE LANE,STRATFORD,06614,CT,,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1200000,,,,,,,,,,,,,,,,,,,,,,,
INSPIRE MARBLE & GRANITE LLC,LLC,Active,Ready for dissolution,1287212,2020-03-31,41 BISMARK COURT,HAMDEN,06514,CT,INSPIRE_M.G@YAHOO.COM,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.1533333,United States,,,,,,,,,,,,,,,,,,,,,,
RAPHA BEHAVIORAL SERVICES LLC,LLC,Active,,1287232,2022-03-31,182 BURKE STREET,EAST HARTFORD,06118,CT,papa_de_talla@yahoo.com,Domestic,2018-10-10,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:33.6533333,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,,
MJ PHONES & REPAIRS LLC,LLC,Active,Ready for dissolution,1287234,2019-03-31,2739 MAIN STREET UNIT 2,HARTFORD,06120,CT,MJPHONES.REPAIRS@YAHOO.COM,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,,,,,,,,,,,,,,,,,,,,,,,
BLING AMAZING LLC,LLC,Active,Ready for dissolution,1287237,2020-03-31,132 OCEAN AVE,NEW LONDON,06320,CT,BLINGAMAZING@ATT.NET,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,United States,,,,,,,,,,,,,,,,,,,,,,
"VM CARPENTRY, LLC",LLC,Active,Ready for dissolution,1287238,2019-03-31,28 WEST AVENUE,STAMFORD,06902,CT,MRIVERA@CHOICESERVICESLLC.COM,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,,,,,,,,,,,,,,,,,,,,,,,
C & J CLEANER SUPPLY INC.,Stock,Active,,1287244,2022-09-22,286 CALIFORNIA STREET,STRATFORD,06615,CT,cj2469@hotmail.com,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:33.6533333,United States,Service Establishment Equipment and Supplies Merchant Wholesalers (423850),423850.0,,,,,,,,,,,,,200.0,,,,,,,
LEGEND COMMERCE LLC,LLC,Active,Ready for dissolution,1287245,2019-03-31,29 BAER CIRCLE BUILDING 1,EAST HAVEN,06512,CT,KYLE@LEGENDCOMMERCE.COM,Foreign,2018-10-10,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,United States,,,2018-08-01,LEGEND COMMERCE LLC,"4 CANAL STREET, REBOBOTH BEACH, DE, 19971,",4 CANAL STREET,REBOBOTH BEACH,DE,19971,"147 E 61ST STREET, APT #4B, NEW YORK, NY, 10065,","147 E 61ST STREET, APT #4B",NEW YORK,NY,10065,,United States,,,,,,
MUDD INTERNATIONAL LLC,LLC,Active,Ready for dissolution,1287246,2019-03-31,262 PEAT MEADOW ROAD APT A,NEW HAVEN,06513,CT,MUDDINTERNATIONAL@GMAIL.COM,Domestic,2018-10-10,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:33.6533333,,,,,,,,,,,,,,,,,,,,,,,
