name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,naics_sub_code,sub_status,reason_for_administrative,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
LONG PATH PARTNERS LIMITED PARTNERSHIP,Limited Partnership,Active,1268569,2022-04-04,4 LANDMARK SQUARE UNIT 301,STAMFORD,United States,06901,CT,Compliancemail@cscinfo.com,Foreign,2018-04-04,DE,DE,False,False,False,False,False,Investment Advice (523930),2021-11-10 00:08:21.0100000,523930.0,,,,,2018-04-04,LONG PATH PARTNERS LIMITED PARTNERSHIP,United States,,,,,,"C/O CORPORATION SERVICES COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 09808, United States",C/O CORPORATION SERVICES COMPANY 251 LITTLE FALLS DRIVE,WILMINGTON,DE,9808.0,United States,,,,
FOUR MILE RUN CENTER INC.,Stock,Active,1268570,2022-04-04,2359 RESEARCH CT,WOODBRIDGE,United States,22192,VA,Compliancemail@cscinfo.com,Foreign,2018-04-04,VA,VA,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:08:21.0100000,531190.0,,,,,2018-04-04,FOUR MILE RUN CENTER INC.,United States,,,,,,,,,,,,,,,
46 ATLANTIC PARTNER LLC,LLC,Active,1268581,2020-03-31,103 EAST LANE,STAMFORD,United States,06905,CT,TURNKEYMANAGEMENTITD@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6500000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
KENNEDY FLATS OPERATING COMPANY LLC,LLC,Active,1268584,2022-03-31,11755 WILSHIRE BLVD STE 1350,LOS ANGELES,United States,90025,CA,Compliancemail@cscinfo.com,Foreign,2018-04-04,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:21.6500000,531110.0,,,,,2018-04-04,KENNEDY FLATS OPERATING COMPANY LLC,United States,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808,",251 LITTLE FALLS DR,WILMINGTON,DE,19808.0,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808.0,United States,,,,
PHILLIMORE INVESTMENTS LIMITED PARTNERSHIP,Limited Partnership,Active,1268585,2020-04-04,2711 CENTERVILLE RD STE 400,WILMINGTON,United States,19808,DE,DANIEL.NACCARELLA@PHILLIMORE.COM,Foreign,2018-04-04,DE,DE,False,False,False,False,False,,2021-11-10 00:08:21.6500000,,No Agent,Failure to appoint or maintain an agent for service,,,2018-03-01,"PHILLIMORE INVESTMENTS, LP",United States,,,,,,"2711 CENTERVILLE ROAD  SUITE 400, WILMINGTON, DE, 19808, United States",2711 CENTERVILLE ROAD  SUITE 400,WILMINGTON,DE,19808.0,United States,,,,
"VALLEY ALTERNATIVE WELLNESS, LLC",LLC,Active,1268588,2020-03-31,249 ROOSEVELT DRIVE,DERBY,,06418,CT,BILLD@VALLEYALTERNATIVEWELLNESS.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6500000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"EVNY, INC.",Non-Stock,Withdrawn,1268591,2021-04-04,350 LEXINGTON AVENUE,MT. KISCO,United States,10549,NY,alloyd@clrkc.com,Foreign,2018-04-04,DE,DE,False,False,False,False,False,Other Grantmaking and Giving Services (813219),2021-11-10 00:08:21.6500000,813219.0,,,,,2018-04-01,"EVNY, INC.",United States,,,,,,,,,,,,,,,
"NEW ENGLAND PRINTING, LLC",LLC,Active,1268700,2020-03-31,1 ANGINA DR,ENFIELD,United States,06082,CT,bills@mmpne.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
E.P. BROWN TRUCKING LLC,LLC,Active,1268704,2019-03-31,33 KENNETH ST,WEST HAVEN,,06516,CT,ELVISBROWN1959@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.4000000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"THE UGOLIK FAMILY, LLC",LLC,Active,1268716,2022-03-31,765 HILL ST,HAMDEN,United States,06514,CT,rugolik@comcast.net,Domestic,2018-04-04,CT,Connecticut,True,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:08:22.4000000,531190.0,,,,,,,,,,,,,,,,,,,,,,
SCARLET'S MISSION INC.,Non-Stock,Active,1268838,2020-04-04,No information provided,,,,,,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9466667,,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,
"MOYA PILATES, LLC",LLC,Active,1268962,2022-03-31,20 WILTON ACRES,WILTON,United States,06897,CT,patriciamoya@yahoo.com,Domestic,2018-04-04,CT,Connecticut,True,False,True,False,False,Fitness and Recreational Sports Centers (713940),2021-11-10 00:08:22.2900000,713940.0,,,,,,,,,,,,,,,,,,,,,,
"BY THE BROOK, LLC",LLC,Active,1268963,2022-03-31,159 HARTFORD ROAD,BROOKLYN,United States,06234,CT,BYTHEBOOKSHEDS@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Furniture Stores (442110),2021-11-10 00:08:22.2900000,442110.0,,,,,,,,,,,,,,,,,,,,,,
"THE TIRE STORE WHOLESALE, LLC",LLC,Active,1268964,2022-03-31,127 BOSTON POST ROAD,EAST LYME,United States,06333,CT,MROCK55@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Tire Dealers (441320),2021-11-10 00:08:22.2900000,441320.0,,,,,,,,,,,,,,,,,,,,,,
"T2 ROYALTY, LLC",LLC,Active,1268965,2022-03-31,42 LANTHORNE RD.,MONROE,United States,06468,CT,anthony@monellilaw.com,Domestic,2018-04-04,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:22.2900000,531110.0,,,,,,,,,,,,,,,,,,,,,,
B-CHANGE LLC,LLC,Active,1268966,2021-03-31,1092 FARMINGTON AVENUE UNIT D,WEST HARTFORD,United States,06107,CT,ct-reports@statefilings.in,Foreign,2018-04-04,DE,DE,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),2021-11-10 00:08:22.2900000,519130.0,Annual report past due,,,,2018-04-04,B-CHANGE LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,United States,,,,
RBHVAC LLC,LLC,Active,1268968,2019-03-31,8 WEST HILL CIRCLE,STAMFORD,,06902,CT,RBASKAY@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.2900000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
CHEF SANDY LLC,LLC,Active,1268969,2020-03-31,"816 BROAD STREET, #10",MERIDEN,,06450,CT,JACLYN@PROCESSWITHTURNKEY.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.2900000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
CAD DESIGN CONSULTING INC,Stock,Active,1268970,2020-04-04,No information provided,,,,,DANNGPLLC@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.2900000,,First report past due,Failure to file First Report,,200.0,,,,,,,,,,,,,,,,,,
DIGITENT LLC,LLC,Dissolved,1268971,2022-03-31,"230 PARK AVE, 3RD FL",NEW YORK,United States,10169,NY,mavallone@thedigitent.com,Domestic,2018-04-04,NY,Connecticut,False,False,False,False,False,Advertising Agencies (541810),2021-11-10 00:08:22.2900000,,,,2021-09-14T00:00:00.000,,,,,,,,,,,,,,,,,,,
"KB & KG, LLC",LLC,Active,1268973,2019-03-31,95 CARRIAGE DRIVE,SOUTHPORT,,06890,CT,KBMORISON@HOTMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.2900000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
DYNAMIC REAL ESTATE TEAM LLC,LLC,Active,1268974,2022-03-31,7 BEECHWOOD DR,DANBURY,United States,06810,CT,mail@alexcamargo.com,Domestic,2018-04-04,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:22.2900000,531390.0,,,,,,,,,,,,,,,,,,,,,,
"JBC TRUCKING, LLC",LLC,Active,1268976,2022-03-31,310 ROSELAND PARK ROAD,WOODSTOCK,United States,06281,CT,JBC_trucking@yahoo.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:08:22.2900000,484121.0,,,,,,,,,,,,,,,,,,,,,,
"XOCASE, LLC",LLC,Active,1268977,2019-03-31,16 MOUNTAIN VIEW DRIVE,NEWINGTON,,06111,CT,ANTHONY.PERRI@XOPHONECASE.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"NICKERSON PROPERTIES, LLC",LLC,Active,1268978,2020-03-31,SUITE #117 800 VILLAGE WALK,GUILFORD,United States,06437,CT,WGB423@COMCAST.NET,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"LEON BROTHERS CONSTRUCTION, LLC",LLC,Active,1268981,2022-03-31,37 James St,Danbury,United States,06810-6123,CT,lb.construction@icloud.com,Domestic,2018-04-04,CT,Connecticut,False,False,True,False,False,Finish Carpentry Contractors (238350),2021-11-10 00:08:22.3200000,,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
LEYDEN REAL ESTATE LLC,LLC,Active,1268982,2019-03-31,14 GREEN ST,STAMFORD,,06902,CT,DJLEYDEN@ME.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"SVG ENTERPRISES, LLC",LLC,Active,1268984,2021-03-31,415 BARNES ROAD,WALLINGFORD,United States,06492,CT,joeygreenhouse@aol.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:08:22.3200000,531190.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"KHANDWALA CAPITAL MANAGEMENT, INC.",Stock,Active,1268986,2022-04-04,2 CORPORATE DRIVE SUITE 770,SHELTON,United States,06484,CT,mfleming@wisi.com,Domestic,2018-04-04,CT,Connecticut,False,False,True,False,False,Investment Advice (523930),2021-11-10 00:08:22.3200000,523930.0,,,,10000.0,,,,,,,,,,,,,,,,,,
BLUE IVY MEDICAL INCORPORATED,Stock,Active,1268987,2019-04-04,17 JAMES ST,NEW HAVEN,,06513,CT,BROSE@BLUEIVYMEDICAL.COM,Foreign,2018-04-04,DE,DE,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,2018-02-13,BLUE IVY MEDICAL INCORPORATED,,,,,,,,,,,,,,,,
"MAPLE VALE DICKINSON, LLC",LLC,Active,1268988,2022-03-31,119 MAPLE VALE DRIVE,WOODBRIDGE,United States,06525,CT,jkrystal@optonline.net,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Private Households (814110),2021-11-10 00:08:22.3200000,814110.0,,,,,,,,,,,,,,,,,,,,,,
9P LLC,LLC,Active,1268989,2021-03-31,110 DIVINITY STREET,BRISTOL,United States,06010,CT,ALMOSELSKY@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:22.3200000,531390.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
HAPPY GO LUCKY DAYCARE LLC,LLC,Active,1268990,2019-03-31,122 CLEVELAND ST 1ST FL,NEW BRITAIN,,06053,CT,HAPPYGOLUCKYDAYCARELLC@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"D&H VENTURES, LLC",LLC,Active,1268991,2019-03-31,1351 HALFMOON ROAD,CHESHIRE,,06410,CT,PJ2X4@SBCGLOBAL.NET,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
FREDY?S CAF� AND CATERING LLC,LLC,Active,1268992,2021-03-31,2200 WHITNEY AVE STE 190,HAMDEN,United States,06518,CT,INFO@ZGZTAXACCOUNTING.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,"Cafeterias, Grill Buffets, and Buffets (722514)",2021-11-10 00:08:22.3200000,,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CARDINAL CREMATION SERVICES, LLC",LLC,Active,1268993,2020-03-31,453 SHIPPAN  AVENUE 453 SHIPPAN  AVENUE,STAMFORD,,06902,CT,LWSANTORA@OPTONLINE.NET,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"DUCHESS GROUP, INC.",Stock,Active,1268994,2019-04-04,9113 TOWN RIDGE,MIDDLETOWN,,06457,CT,missannakimch@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,100.0,,,,,,,,,,,,,,,,,,
AUGURS IRISH PUB LLC,LLC,Active,1268995,2019-03-31,29 WATER STREET,GUILFORD,,06437,CT,KAUGUR@COMCAST.NET,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3200000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"DISTRIBUTION MANAGEMENT SERVICES, INC.",Stock,Active,1268997,2022-03-31,44 A Street,JOHNSTON,United States,02919,RI,mlewin@apslaw.com,Foreign,2018-04-04,RI,RI,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:08:22.3200000,484110.0,,,,,2017-12-04,"DISTRIBUTION MANAGEMENT SERVICES, INC.",United States,,,,,,,,,,,,,,,
PREMIER SOLUTIONS OF NY INC.,Stock,Active,1268999,2019-04-04,"648 BAY STREET, 2ND FLOOR",STATEN ISLAND,,10304,NY,MANDREWS@PREMIERSOLUTIONSNY.COM,Foreign,2018-04-04,NY,NY,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,2018-01-01,PREMIER SOLUTIONS OF NY INC.,,,,,,,,,,,,,,,,
PUCCIO CORP,Stock,Active,1269000,2020-04-04,No information provided,,,,,VPUCCIO69@CS.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,First report past due,Failure to file First Report,,1.0,,,,,,,,,,,,,,,,,,
OLIVEIRA AUTOMOTIVE LLC,LLC,Active,1269001,2022-03-31,311 OAK ST,NEW BRITAIN,United States,06051,CT,oliveiraautomotive@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,True,False,False,General Automotive Repair (811111),2021-11-10 00:08:22.3533333,811111.0,,,,,,,,,,,,,,,,,,,,,,
"STONINGTON KELP CO., LLC",LLC,Active,1269002,2022-03-31,179 MECHANIC STREET,PAWCATUCK,United States,06379,CT,suzie@stoningtonkelpco.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Other Aquaculture (112519),2021-11-10 00:08:22.3533333,,,,,,,,,,,,,,,,,,,,,,,
A TOUCH OF GRASS LANDSCAPING LLC,LLC,Active,1269004,2022-03-31,24 EAST AVE 149 149,NEW CANAAN,United States,06840,CT,EFILE1234@INCFILE.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),2021-11-10 00:08:22.3533333,812990.0,,,,,,,,,,,,,,,,,,,,,,
VISARC TECH LLC,LLC,Active,1269010,2019-03-31,"8 ROSE LN, SUITE 14-12",DANBURY,,06811,CT,EFILE1234@INCFILE.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"T&C ROOFING & CONSTRUCTION, LLC",LLC,Active,1269012,2019-03-31,1532 NORTH AVE 1 FL,BRIDGEPORT,,06604,CT,CAMILLA@COELHOINS.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
DT FAMILY ENTERPRISES LLC,LLC,Active,1269013,2020-03-31,24 HORSESHOE RD,DARIEN,United States,06820,CT,DTOSCANO87@AOL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
STARFISH VILT LLC,LLC,Active,1269016,2020-03-31,15 FREDERICK DRIVE,AVON,,06001,CT,LABRAMSON@STARFISHVILT.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
LIMITLESS VAPES II LLC,LLC,Active,1269017,2019-03-31,488 HOWE AVE,SHELTON,,06484,CT,LIMITLESSVAPES494@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
TEALALLA LLC,LLC,Active,1269018,2022-03-31,180 FERNCLIFF DRIVE,SOUTHINGTON,United States,06489,CT,Mlalla10g@gmail.com,Domestic,2018-04-04,CT,Connecticut,True,False,False,False,False,Food (Health) Supplement Stores (446191),2021-11-10 00:08:22.3533333,446191.0,,,,,,,,,,,,,,,,,,,,,,
"RYAN GARDNER, LLC",LLC,Dissolved,1269019,2019-03-31,251 UPPER PATTAGANSETT ROAD 251 UPPER PATTAGANSETT ROAD,EAST LYME,,06333,CT,RYAN.GARDNER.LLC@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,2021-09-13T00:00:00.000,,,,,,,,,,,,,,,,,,,
"FRANKE LUC, LLC",LLC,Active,1269020,2022-03-31,5 SPICEWOOD ROAD,NORWALK,United States,06854,CT,FRANCESCOLAURI@HOTMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:08:22.3533333,,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,garykhachian@yahoo.com,,
M. PALMAS CONSTRUCTION LLC,LLC,Active,1269021,2019-03-31,142 DORA ST,STAMFORD,United States,06902,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
DIAMOND NAILS & BEAUTY INC.,Stock,Active,1269023,2020-04-04,No information provided,,,,,MING.ACCTAX@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3700000,,First report past due,Failure to file First Report,,1000.0,,,,,,,,,,,,,,,,,,
"GEREMIA FARMS, INC.",Stock,Active,1269025,2020-04-04,415 BARNES ROAD,WALLINGFORD,United States,06492,CT,joeygreenhouse@aol.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Fruit and Vegetable Markets (445230),2021-11-10 00:08:22.4000000,445230.0,Ready for dissolution,Failure to file Annual Report,,5000.0,,,,,,,,,,,,,,,,,,
FINISH LINE REALTY LLC,LLC,Active,1269026,2021-03-31,57 NORTH ST SUITE 316,DANBURY,United States,06810,CT,sarahbeckerrealty@gmail.com,Domestic,2018-04-04,CT,Connecticut,True,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:08:22.4000000,531210.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"NOELLE ENTERPRISES, LLC",LLC,Active,1269050,2021-03-31,160 MAPLE ROAD,EASTON,United States,06612,CT,Noellecs143@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",2021-11-10 00:08:23.0566667,711410.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"GRAY & COMPANY, LLC",LLC,Active,1269053,2019-03-31,49 LANTERN RIDGE ROAD,NEW CANAAN,,06840,CT,GRAY.COMPANY.DESIGN@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.0566667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"JUNIORS PROPERTIES, LLC",LLC,Active,1269054,2022-03-31,287 HAMILTON AVE APT 4L,STAMFORD,United States,06902,CT,juniorelio@hotmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),2021-11-10 00:08:23.0566667,,,,,,,,,,,,,,,,,,,,,,,
JVH GROUP LLC,LLC,Active,1269055,2022-03-31,13 ECHO VALLEY RD,OXFORD,United States,06478,CT,Jvhgroupllc2018@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:08:23.0566667,531311.0,,,,,,,,,,,,,,,,,,,,,,
CAO'S ASIAN BISTRO INC,Stock,Active,1269056,2020-04-04,No information provided,,,,,WNCTAX@YAHOO.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.0566667,,First report past due,Failure to file First Report,,200.0,,,,,,,,,,,,,,,,,,
SML PRINTING PRESS SERVICE LLC,LLC,Active,1269057,2022-03-31,22 LEIGH DR 22 LEIGH DR,EAST HAVEN,United States,06512,CT,SMLPRESSSERVICE@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,True,False,False,False,Engineering Services (541330),2021-11-10 00:08:23.0566667,541330.0,,,,,,,,,,,,,,,,,,,,,,
"KYEREMEH, LLC",LLC,Active,1269058,2019-03-31,80 SIMMONS RD.,EAST HARTFORD,,06118-1148,CT,KYEREMEH74@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.0566667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
EMF BIOHACKERS LLC,LLC,Active,1269063,2019-03-31,30 BLUEBERRY HILL RD,REDDING,,06896,CT,EFILE1234@INCFILE.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.0566667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
NUBYA PARDINHO CLEANING LLC,LLC,Active,1269065,2021-03-31,179 CLAPBOARD RIDGE RD  179 CLAPBOARD RIDGE RD,DANBURY,United States,06811,CT,RMINSURANCE@SBCGLOBAL.NET,Domestic,2018-04-04,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:23.1033333,812990.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
ALB TRANSPORTATION INC,Stock,Active,1269066,2022-04-04,27 HUNGERFORD AVE,OAKVILLE,United States,06779,CT,emiljano.agastra@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",2021-11-10 00:08:23.1033333,484230.0,,,,100.0,,,,,,,,,,,,,,,,,,
PROTEIN CANDY LLC,LLC,Active,1269067,2019-03-31,47 GARDEN ST,FARMINGTON,,06032,CT,PROTEINCANDYLLC@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.1033333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
LOCKGATE ADVISORS LLC,LLC,Dissolved,1269068,2022-03-31,30 JOHN BEACH ROAD,NEWTOWN,United States,06470,CT,jim.r.podrazky@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),2021-11-10 00:08:23.1033333,523930.0,,,2021-10-20T00:00:00.000,,,,,,,,,,,,,,,,,,,
"SECOND FLOOR STUDIO, LLC.",LLC,Active,1269070,2020-03-31,737 VILLA AVENUE,FAIRFIELD,United States,06825,CT,SECONDFLOORSTUDIOCT@GMAIL.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.1033333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
JOHN'S LAWN CARE LLC,LLC,Active,1269072,2022-03-31,45 TARRAGON DR,EAST HAMPTON,United States,06424,CT,raymondlisa@sbcglobal.net,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:23.1033333,812990.0,,,,,,,,,,,,,,,,,,,,,,
"WEB GEO SOLUTIONS, LLC",LLC,Withdrawn,1269074,2021-03-31,1527 KYTHIRA DR,APEX,United States,27502,NC,suresh@webgeosolutions.com,Foreign,2018-04-04,NC,NC,False,False,False,False,False,Custom Computer Programming Services (541511),2021-11-10 00:08:23.1033333,541511.0,,,,,2018-04-02,"WEB GEO SOLUTIONS, LLC",United States,"1527 KYTHIRA DR, APEX, NC, 27502,",1527 KYTHIRA DR,APEX,NC,27502.0,"1527 KYTHIRA DR, APEX, NC, 27502, United States",1527 KYTHIRA DR,APEX,NC,27502.0,United States,,,,
JDL REALTY INVESTORS LLC,LLC,Active,1269075,2019-03-31,86 HILL STREET 86 HILL STREET,NAUGATUCK,,06770,CT,JONATHAN.AYALA@JDLREALTYINVESTORS.COM,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.1033333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
JRA BUILDERS LLC,LLC,Active,1269076,2022-03-31,23 PHINNEY LANE,CANTERBURY,United States,06331,CT,joshadamec@gmail.com,Domestic,2018-04-04,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:08:23.1033333,236118.0,,,,,,,,,,,,,,,,,,,,,,
