Sr.No.,CRO Name,CUIN,Company Name,Date of Incorporation,Date of Revocation of Licence,Reasons for revocation of Licence
236,Karachi,77127,THE MIND SPORTS ASSOCIATION OF PAKISTAN,19-Sep-11,8-Jul-17,Failed to apply for renewal of its license 
237,Lahore,69172,BUKSH FOUNDATION,16-Apr-09,29-Jan-16,Failed to comply with the requirements of the license
238,Karachi,4104,Computer Society of Pakistan ,21-Jul-73,13-Sep-17,Failed to comply with the requirements of the license
239,Islamabad,69466,INTERFAITH HARMONY INTERNATIONAL,15-May-09,12-Oct-17,Failed to comply with the requirements of the license
240,Lahore ,70566,Hum Pakistani Foundation ,29-Sep-09,13-Oct-17,on the request of the company
241,Peshawar,79267,ASSOCIATION FOR SUSTAINABLE INTEGRATED DEVELOPMENT,11-Apr-12,12-Oct-17,Failed to apply for renewal of its license 
242,Islamabad,84021,Social Development Enterprise ,3-Jun-13,19-Mar-18,on the request of the company
243,Karachi,80405,SLEEP RESEARCH FOUNDATION,2-Jul-12,27-Mar-18,Dormant 
244,Islamabad,80780,DEVELOPYST,7-Aug-12,27-Mar-18,Failed to apply for renewal of its license 
245,Islamabad,81078,DEVELOPMENTAL INITIATIVE AND EMPOWERMENT AXIS,12-Sep-12,27-Mar-18,Failed to apply for renewal of its license 
246,Islamabad,81807,DHAKA AHSANIA MISSION PAKISTAN,23-Nov-12,27-Mar-18,Failed to apply for renewal of its license 
247,Islamabad,82094,SABA KHIDMAT FOUNDATION,19-Dec-12,27-Mar-18,Failed to apply for renewal of its license 
248,Islamabad,82104,GOVERNANCE SUPPORT INITIATIVE,19-Dec-12,26-Mar-18,Failed to apply for renewal of its license 
249,Islamabad,83394,Saba Orphanage Foundation ,10-Apr-13,11-Mar-16,on the request of the company
250,Islamabad,66683,Relief Pakistan,27-Jun-08,18-Apr-18,on the request of the company
251,Multan,83593,ALFAUZ WELFARE FOUNDATION,25-Apr-13,10-May-16,on the request of the company
252,Islamabad,82883,The One Foundation ,26-Feb-13,8-May-18,Failed to apply for renewal of its license 
253,Islamabad,82913,TVO SOCIAL LINK,28-Feb-13,8-May-18,Failed to apply for renewal of its license 
254,Karachi,79064,Halaal Foundation,27-Mar-12,15-Jan-18,Failed to apply for renewal of its license 
255,Islamabad,80112,PASHUMA HEALTH FOUNDATION,6-Jun-12,7-Feb-18,Failed to apply for renewal of its license 
256,Islamabad,80375,HKS Foundation ,29-Jun-12,15-Jan-18,Failed to apply for renewal of its license 
257,Islamabad,80447,FEDERAL LIVER TRANSPLANT ENDOWMENT FUND,6-Jul-12,15-Jan-18,Failed to apply for renewal of its license 
258,Islamabad,79161,Belous Foundation,4-Apr-12,15-Jan-18,Failed to apply for renewal of its license 
259,Islamabad,80649,UROLOGY AND TRANSPLANTATION FOUNDATION,24-Jul-12,26-Mar-18,Failed to apply for renewal of its license 
260,Islamabad,81241,A BETTER LIFE,1-Oct-12,29-Jun-18,Failed to apply for renewal of its license 
261,Peshawar,83087,UMEED RURAL DEVELOPMENT ORGANISATION,15-Mar-13,29-Jun-18,Failed to apply for renewal of its license 
262,Islamabad,83454,MISSAL FOUNDATION,15-Apr-13,29-Jun-18,Failed to apply for renewal of its license 
263,Islamabad,73818,GUL-E-ARZU DEVELOPMENT ORGANIZATION ,19-Oct-10,2-Jun-16,Failed to comply with the requirements of the license
264,Islamabad,85002,My Biz Pakistan Foundation,4-Sep-13,7-Aug-18,on the request of the company
265,Karachi,24570,AGA KHAN UNIVERSITY HOSPITAL,15-Jul-91,15-Sep-18,on the request of the company
266,Karachi,81628,FOUNDATION FOR STRENGTHENING OF LOCAL PARTNERS,12-Nov-12,10-Sep-18,Failed to apply for renewal of its license 
267,Islamabad,84314,HIMALAYAN CONSERVATION AND RURAL SUPPORT PROGRAMME (HCRSP),25-Jun-13,10-Sep-18,Failed to apply for renewal of its license 
268,Islamabad,84366,THE CARING SOCIETY,28-Jun-13,10-Sep-18,Failed to apply for renewal of its license 
269,Lahore,83822,DASTAK FOUNDATION,15-May-13,10-Sep-18,Failed to apply for renewal of its license 
270,Multan,82551,Emperor Foundation ,31-Jan-13,10-Sep-18,Failed to apply for renewal of its license 
271,Multan,84574,SATLUJ WELFARE FOUNDATION,18-Jul-13,10-Sep-18,Failed to apply for renewal of its license 
272,Islamabad,88006,WATER AND SANITATION SUPPORT PROGRAM,24-Apr-14,10-Sep-18,Failed to apply for renewal of its license 
273,Lahore,83440,INSTITUTE OF PROFESSIONAL LEARNING,12-Apr-13,27-Sep-18,Failed to apply for renewal of its license 
274,Islamabad,84113,AFZAL & AFZAL LAW REFORMS INSTITUTE,12-Jun-13,5-Oct-18,Failed to apply for renewal of its license 
275,Islamabad,85092,Silk Source ,12-Sep-13,19-Oct-18,Failed to apply for renewal of its license 
276,Islamabad,76038,PAKTURK EDUCATION FOUNDATION,25-May-11,1-Jan-19,Involved in terrorist financing
277,Islamabad,81997,Akberia Foundation,10-Dec-12,2-Jan-19,Failed to file the statuory returns
278,Peshawar,88291,KHYBER PAKHTUNKHWA PRIMARY HEALTHCARE INITIATIVE,14-May-14,24-Jan-19,Failed to file the statuory returns
279,Islamabad,99992,ZTBL Foundation,1-Jun-16,20-Feb-19,on the request of the company
280,Islamabad,85973,DONNA BOYD FOUNDATION,4-Dec-13,15-Feb-19,Failed to file the statuory returns
281,Lahore,86643,HEALTHCARE VOLUNTEER PAKISTAN,24-Jan-14,15-Feb-19,Failed to file the statuory returns
282,Islamabad,84289,Zoya Science Schools Network,25-Jun-13,20-Mar-19,on the request of the company
283,Faisalabad,85307,GLOW FOUNDATION FOR HUMAN RIGHTS AND WOMEN LITERACY,30-Sep-13,25-Mar-19,on the request of the company
284,Lahore,118119,Children's Foundation of Pakistan,3-Apr-18,25-Mar-19,on the request of the company
285,Islamabad,82375,VICTIM SUPPORT AND DEVELOPMENT FOUNDATION,11-Jan-13,4-Apr-19,Failed to file the statuory returns
286,Islamabad,96141,CARE WITHOUT BORDERS,11-Nov-15,4-Apr-19,Failed to file the statuory returns
287,Quetta,98045,Alhamd Foundation,26-Feb-16,4-Apr-19,Failed to file the statuory returns
288,Multan,85368,PIYAR FOUNDATION,4-Oct-13,4-Apr-19,Failed to file the statuory returns
289,Islamabad,64259,BRAC PAKISTAN,4-Feb-08,4-Apr-19,involvemet in anti state activities
290,Islamabad,86076,SUPPORT WITH WORKING SOLUTIONS,11-Dec-13,19-Apr-19,Failed to file the statuory returns
291,Islamabad,101438,AMANUT HANDS,25-Aug-16,16-May-19,Failed to file the statuory returns
292,Islamabad,103800,ALFURQAN HUMANITARIAN RELIEF FOUNDATION,28-Nov-16,9-May-19,Failed to file the statuory returns
293,Islamabad,63769,COMSATS Technologies,12-Dec-07,28-May-19,on the request of the company
294,Islamabad,69606,COMSIANS foundation ,29-May-09,28-May-19,on the request of the company
295,Islamabad,73313,COMSATS EMPLOYEES HOUSING FOUNDATION,10-Aug-10,28-May-19,on the request of the company
296,Islamabad,85737,Maryam Foundation,8-Nov-13,21-Jun-19,Failed to file the statuory returns
297,Islamabad,91807,Babar Foundation ,4-Feb-15,2-Jul-19,Failed to file the statuory returns
298,Islamabad,49902,AAP Ki Sehat,28-Mar-05,1-Jul-19,Failed to file the statuory returns
299,Islamabad,84692,TAKBEER FOUNDATION,31-Jul-13,22-Jul-19,Failed to file the statuory returns
300,Islamabad,92838,VISIONS AND ACTIONS,7-Apr-15,22-Jul-19,Failed to file the statuory returns
301,Lahore,94863,Polaris Leaders,20-Aug-15,2-Aug-19,Failed to file the statuory returns
302,Karachi,100145,FOUNDATION FOR FAIZAN AULIA PAKISTAN,10-Jun-16,5-Aug-19,Failed to file the statuory returns
303,Islamabad,94764,Al Mustafa Educational Network  ,17-Aug-15,9-Aug-19,Failed to file the statuory returns
304,Lahore,83856,Agrihealth Association ,17-May-13,9-Aug-19,Failed to comply with the requirements of the license
305,Karachi,88401,Malnutrition Care Foundation ,20-May-14,9-Aug-19,Failed to file the statuory returns
306,Lahore,88356,Hopian Foundation ,19-May-14,9-Aug-19,Failed to file the statuory returns
307,Islamabad,96856,Center for Sustainability and Governance ,23-Dec-15,9-Aug-19,Failed to file the statuory returns
308,Islamabad,113593,Care Plus Welfare Organization,22-Nov-17,27-Aug-19,failed to maintain proper and true accounts 
309,Islamabad,92104,A. Hakim Siddiqui Foundation,23-Feb-15,29-Aug-19,failed to maintain proper and true accounts 
310,Islamabad,117711,Come Foundation,22-Mar-18,29-Aug-19,failed to maintain proper and true accounts 
311,Islamabad,87447,RADIANT BUSINESSMEN FORUM,19-Mar-14,30-Aug-19,Failed to file the statuory returns
312,Islamabad,88041,GUL JAN WELFARE,25-Apr-14,30-Aug-19,Failed to file the statuory returns
313,Lahore,101172,Naymet Pakistan,11-Aug-16,30-Aug-19,Failed to file the statuory returns
314,Multan,85649,AAS DEVELOPMENT FOUNDATION,31-Oct-13,3-Sep-19,failed to maintain proper and true accounts 
315,Sukkur,80067,Indus Crafts Foundation ,4-Jun-12,12-Sep-19,Failed to file the financial statements
316,Islamabad,88850,MOH,19-Jun-14,18-Sep-19,Failed to comply with the requirements of the license
317,Islamabad,87983,CHILDREN'S LITERATURE FESTIVAL,23-Apr-14,16-Sep-19,Failed to comply with the requirements of the license
318,Islamabad,90598,AKS FOUNDATION,14-Nov-14,26-Sep-19,Failed to file the statuory returns
319,Islamabad,92301,CENTRE OF VIRTUAL EDUCATIONAL RESEARCH,6-Mar-15,9-Oct-19,Failed to file the statuory returns
320,Multan,110921,AL SAFFAH WELFARE FOUNDATION,21-Aug-17,9-Oct-19,failed to maintain proper and true accounts 
321,Lahore,94812,THE POLYTECHNIC FOUNDATION,19-Aug-15,9-Oct-19,Failed to file the statuory returns
322,Islamabad,75842,Association for Education Enhancement,10-May-11,9-Aug-16,Failed to comply with the requirements of the license
323,Islamabad,84753,UMEED-E-NAU FOUNDATION,6-Aug-13,11-Oct-19,Failed to comply with the requirements of the license
324,Lahore,89414,LAHORE WATER AND SANITATION COMPANY,6-Aug-14,20-Nov-19,Dormant 
325,Karachi,71317,National Hero Foundation ,14-Jan-10,20-Nov-19,Failed to comply with the requirements of the license
326,Karachi,43134,Pakistan Bridge Federation ,30-Nov-01,9-Jul-15,Failed to comply with the requirements of the license
327,Islamabad,99992,ZTBL FOUNDATION,1-Jun-16,20-Feb-19,Company appplied for Surrender of licence
,Islamabad,150916,NLC KA PAKISTAN,8-May-20,23-Nov-20,Company appplied for Surrender of licence
328,Islamabad,64050,JAZZ FOUNDATION,15-Jan-08,27-Jan-21,Company appplied for Surrender of licence
329,Lahore,104833,JUSTICE FOR ALL FOUNDATION PAKISTAN,10-Jan-17,10-Mar-21,Company appplied for Surrender of licence
330,Islamabad,95526,DAIWAL SHARIF FOUNDATION,2-Oct-15,31-Oct-21,Failed to comply with the requirements of the license
331,Islamabad,96443,All Pakistan Foundation of the Blind,30-Nov-15,31-Oct-21,Failed to comply with the requirements of the license
332,Islamabad,97880,One Nation Movement,18-Feb-16,31-Oct-21,Failed to comply with the requirements of the license
333,Lahore,112043,AATAN Foundation,28-Sep-17,8-Nov-21,Company appplied for Surrender of licence
